slot_owner_a,slot_owner_b,slot_ref_count,slot_ref_count_abs_log1p,slot_ref_count_is_even,slot_ref_count_mod3,slot_ref_count_mod5,slot_ref_count_mod7,slot_ref_count_mod10,slot_numerator,slot_numerator_abs_log1p,slot_numerator_is_even,slot_numerator_mod3,slot_numerator_mod5,slot_numerator_mod7,slot_numerator_mod10,slot_denominator,slot_denominator_abs_log1p,slot_denominator_is_even,slot_denominator_mod3,slot_denominator_mod5,slot_denominator_mod7,slot_denominator_mod10,slot_offset,slot_offset_abs_log1p,slot_offset_is_even,slot_offset_mod3,slot_offset_mod5,slot_offset_mod7,slot_offset_mod10,gcd_all,n_multiple_pairs,y
4,9,63,4.1588830833596715,0,0,3,0,3,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,18,2.9444389791664403,1,0,3,4,8,1,2,99.0
0,3,45,3.828641396489095,0,0,0,3,5,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,22,3.1354942159291497,1,1,2,1,2,1,0,97.0
1,8,82,4.418840607796598,1,1,2,5,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,1,0,4,3,4,1,5,147.0
7,7,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,6,15.0
5,9,48,3.8918202981106265,1,0,3,6,8,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,27,3.332204510175204,0,0,2,6,7,1,4,81.0
9,9,45,3.828641396489095,0,0,0,3,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,29,3.4011973816621555,0,2,4,1,9,1,4,89.0
9,7,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,0,2,0,2,6,110.0
2,5,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,3,34.0
9,2,84,4.442651256490317,1,0,4,0,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,2,145.0
5,7,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,13,2.6390573296152584,0,1,3,6,3,1,4,58.0
8,6,42,3.7612001156935624,1,0,2,0,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,0,1,5,1,1,81.0
8,2,92,4.532599493153256,1,2,2,1,2,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,27,3.332204510175204,0,0,2,6,7,1,0,188.0
5,7,22,3.1354942159291497,1,1,2,1,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,1,4,42.0
3,0,15,2.772588722239781,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,21,3.091042453358316,0,0,1,0,1,1,5,41.0
0,5,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,1,4,33.0
7,0,78,4.3694478524670215,1,0,3,1,8,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,29,3.4011973816621555,0,2,4,1,9,1,4,120.0
1,2,33,3.5263605246161616,0,0,3,5,3,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,10,2.3978952727983707,1,1,0,3,0,1,1,64.0
8,5,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,2,6,40.0
1,3,56,4.04305126783455,1,2,1,0,6,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,6,64.0
8,6,77,4.356708826689592,0,2,2,0,7,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,1,104.0
3,8,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,13,2.6390573296152584,0,1,3,6,3,1,1,28.0
1,7,88,4.48863636973214,1,1,3,4,8,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,1,2,140.0
9,4,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,1,1,44.0
8,3,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,13,2.6390573296152584,0,1,3,6,3,1,3,85.0
9,2,86,4.465908118654584,1,2,1,2,6,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,27,3.332204510175204,0,0,2,6,7,1,1,156.0
2,3,78,4.3694478524670215,1,0,3,1,8,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,5,125.0
0,1,49,3.912023005428146,0,1,4,0,9,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,1,1,92.0
1,9,35,3.58351893845611,0,2,0,0,5,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,1,2,46.0
5,9,66,4.204692619390966,1,0,1,3,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,6,94.0
3,1,68,4.23410650459726,1,2,3,5,8,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,23,3.1780538303479458,0,2,3,2,3,1,4,108.0
7,5,96,4.574710978503383,1,0,1,5,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,0,1,5,1,4,135.0
3,5,44,3.8066624897703196,1,2,4,2,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,2,5,78.0
7,5,99,4.605170185988092,0,0,4,1,9,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,2,191.0
4,8,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,21,3.091042453358316,0,0,1,0,1,1,3,71.0
9,9,91,4.5217885770490405,0,1,1,0,1,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,21,3.091042453358316,0,0,1,0,1,1,2,164.0
3,6,40,3.713572066704308,1,1,0,5,0,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,21,3.091042453358316,0,0,1,0,1,1,2,76.0
1,5,32,3.4965075614664802,1,2,2,4,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,6,52.0
2,1,77,4.356708826689592,0,2,2,0,7,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,1,1,138.0
9,7,90,4.51085950651685,1,0,0,6,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,1,2,145.0
7,1,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,26,3.295836866004329,1,2,1,5,6,2,4,98.0
2,0,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,6,69.0
2,4,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,17,2.8903717578961645,0,2,2,3,7,1,1,33.0
7,0,48,3.8918202981106265,1,0,3,6,8,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,1,0,4,3,4,1,3,112.0
9,3,90,4.51085950651685,1,0,0,6,0,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,30,3.4339872044851463,1,0,0,2,0,1,4,140.0
4,9,65,4.189654742026425,0,2,0,2,5,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,1,1,128.0
5,8,88,4.48863636973214,1,1,3,4,8,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,1,3,113.0
4,1,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,21,3.091042453358316,0,0,1,0,1,1,3,45.0
7,9,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,1,2,85.0
6,7,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,1,3,105.0
0,9,75,4.330733340286331,0,0,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,24,3.2188758248682006,1,0,4,3,4,1,2,129.0
4,9,36,3.6109179126442243,1,0,1,1,6,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,1,4,44.0
1,0,96,4.574710978503383,1,0,1,5,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,2,4,0,4,1,4,142.0
1,1,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,4,8.0
1,2,99,4.605170185988092,0,0,4,1,9,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,1,1,193.0
2,7,44,3.8066624897703196,1,2,4,2,4,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,18,2.9444389791664403,1,0,3,4,8,1,2,98.0
7,0,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,22,3.1354942159291497,1,1,2,1,2,1,1,87.0
7,2,66,4.204692619390966,1,0,1,3,6,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,11,2.4849066497880004,0,2,1,4,1,1,4,89.0
2,1,44,3.8066624897703196,1,2,4,2,4,10,2.3978952727983707,1,1,0,3,0,11,2.4849066497880004,0,2,1,4,1,28,3.367295829986474,1,1,3,0,8,1,1,112.0
0,6,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,1,1,16.0
3,1,21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,18,2.9444389791664403,1,0,3,4,8,1,1,54.0
5,1,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,4,36.0
0,9,27,3.332204510175204,0,0,2,6,7,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,0,1,5,1,1,54.0
7,1,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,17,2.8903717578961645,0,2,2,3,7,1,2,80.0
9,7,35,3.58351893845611,0,2,0,0,5,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,21,3.091042453358316,0,0,1,0,1,1,2,76.0
9,3,63,4.1588830833596715,0,0,3,0,3,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,1,1,97.0
5,6,36,3.6109179126442243,1,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,15,2.772588722239781,0,0,0,1,5,3,3,69.0
0,1,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,93.0
2,2,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,1,2,59.0
3,6,63,4.1588830833596715,0,0,3,0,3,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,29,3.4011973816621555,0,2,4,1,9,1,1,148.0
3,0,100,4.61512051684126,1,1,0,2,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,13,2.6390573296152584,0,1,3,6,3,1,4,163.0
5,9,52,3.970291913552122,1,1,2,3,2,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,1,1,76.0
3,5,32,3.4965075614664802,1,2,2,4,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,1,4,59.0
7,1,49,3.912023005428146,0,1,4,0,9,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,29,3.4011973816621555,0,2,4,1,9,1,1,106.0
4,1,39,3.6888794541139363,0,0,4,4,9,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,1,2,77.0
8,6,96,4.574710978503383,1,0,1,5,6,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,30,3.4339872044851463,1,0,0,2,0,1,2,166.0
4,8,36,3.6109179126442243,1,0,1,1,6,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,23,3.1780538303479458,0,2,3,2,3,1,1,74.0
3,6,22,3.1354942159291497,1,1,2,1,2,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,3,32.0
0,5,86,4.465908118654584,1,2,1,2,6,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,5,137.0
1,9,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,4,14.0
4,4,21,3.091042453358316,0,0,1,0,1,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,30,3.4339872044851463,1,0,0,2,0,1,4,54.0
4,2,62,4.143134726391533,1,2,2,6,2,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,1,4,94.0
1,3,92,4.532599493153256,1,2,2,1,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,26,3.295836866004329,1,2,1,5,6,2,4,164.0
5,0,66,4.204692619390966,1,0,1,3,6,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,25,3.258096538021482,0,1,0,4,5,1,2,127.0
3,9,32,3.4965075614664802,1,2,2,4,2,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,2,59.0
8,9,90,4.51085950651685,1,0,0,6,0,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,1,4,161.0
2,3,77,4.356708826689592,0,2,2,0,7,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,7,2.0794415416798357,0,1,2,0,7,1,2,126.0
1,3,55,4.02535169073515,0,1,0,6,5,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,16,2.833213344056216,1,1,1,2,6,1,2,91.0
1,4,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,22,3.1354942159291497,1,1,2,1,2,1,4,78.0
8,6,56,4.04305126783455,1,2,1,0,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,29,3.4011973816621555,0,2,4,1,9,1,4,99.0
4,8,35,3.58351893845611,0,2,0,0,5,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,1,1,64.0
4,7,33,3.5263605246161616,0,0,3,5,3,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,23,3.1780538303479458,0,2,3,2,3,1,0,78.0
8,1,28,3.367295829986474,1,1,3,0,8,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,5,36.0
8,1,90,4.51085950651685,1,0,0,6,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,2,172.0
0,8,16,2.833213344056216,1,1,1,2,6,9,2.302585092994046,0,0,4,2,9,12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,1,1,46.0
2,0,60,4.110873864173311,1,0,0,4,0,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,1,2,126.0
4,7,32,3.4965075614664802,1,2,2,4,2,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,30,3.4339872044851463,1,0,0,2,0,1,4,66.0
6,5,54,4.007333185232471,1,0,4,5,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,1,4,102.0
3,2,84,4.442651256490317,1,0,4,0,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,5,141.0
5,7,96,4.574710978503383,1,0,1,5,6,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,3,177.0
3,6,70,4.2626798770413155,1,1,0,0,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,26,3.295836866004329,1,2,1,5,6,2,1,124.0
1,7,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,2,4,0,4,1,5,26.0
3,2,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,1,4,39.0
5,7,44,3.8066624897703196,1,2,4,2,4,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,1,5,79.0
4,1,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,4,13.0
3,4,27,3.332204510175204,0,0,2,6,7,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,24,3.2188758248682006,1,0,4,3,4,1,4,54.0
9,0,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,1,4,95.0
