slot_person,slot_a,slot_a_abs_log1p,slot_a_is_even,slot_a_mod3,slot_a_mod5,slot_a_mod7,slot_a_mod10,slot_d,slot_d_abs_log1p,slot_d_is_even,slot_d_mod3,slot_d_mod5,slot_d_mod7,slot_d_mod10,slot_item_a,slot_item_b,slot_super_category,slot_occasion,gcd_all,n_multiple_pairs,y
5,41,3.7376696182833684,0,2,1,6,1,19,2.995732273553991,0,1,4,5,9,20,19,3,0,1,0,101.0
14,87,4.477336814478207,0,0,2,3,7,8,2.1972245773362196,1,2,3,1,8,21,12,6,3,1,0,182.0
8,17,2.8903717578961645,0,2,2,3,7,8,2.1972245773362196,1,2,3,1,8,22,6,3,5,1,0,42.0
12,32,3.4965075614664802,1,2,2,4,2,20,3.044522437723423,1,2,0,6,0,23,20,5,3,4,0,84.0
8,25,3.258096538021482,0,1,0,4,5,21,3.091042453358316,0,0,1,0,1,4,11,3,3,1,0,71.0
5,120,4.795790545596741,1,0,0,1,0,23,3.1780538303479458,0,2,3,2,3,17,3,2,1,1,0,263.0
9,46,3.8501476017100584,1,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,14,17,6,6,2,0,96.0
8,116,4.762173934797756,1,2,1,4,6,16,2.833213344056216,1,1,1,2,6,0,0,0,7,4,0,248.0
0,114,4.74493212836325,1,0,4,2,4,20,3.044522437723423,1,2,0,6,0,6,11,3,5,2,0,248.0
12,22,3.1354942159291497,1,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,3,21,2,2,2,0,50.0
6,87,4.477336814478207,0,0,2,3,7,15,2.772588722239781,0,0,0,1,5,0,22,0,3,3,0,189.0
4,57,4.060443010546419,0,0,2,1,7,7,2.0794415416798357,0,1,2,0,7,18,0,0,1,1,0,121.0
3,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,24,2,2,7,1,1,51.0
7,36,3.6109179126442243,1,0,1,1,6,17,2.8903717578961645,0,2,2,3,7,7,23,0,0,1,0,89.0
5,35,3.58351893845611,0,2,0,0,5,8,2.1972245773362196,1,2,3,1,8,11,10,5,1,1,0,78.0
8,55,4.02535169073515,0,1,0,6,5,24,3.2188758248682006,1,0,4,3,4,11,10,5,6,1,0,134.0
12,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,25,4,3,5,2,1,62.0
9,111,4.718498871295094,0,0,1,6,1,21,3.091042453358316,0,0,1,0,1,12,12,6,4,3,0,243.0
7,28,3.367295829986474,1,1,3,0,8,10,2.3978952727983707,1,1,0,3,0,17,15,2,6,2,0,66.0
5,42,3.7612001156935624,1,0,2,0,2,18,2.9444389791664403,1,0,3,4,8,10,24,5,1,6,0,102.0
8,91,4.5217885770490405,0,1,1,0,1,25,3.258096538021482,0,1,0,4,5,26,8,4,2,1,0,207.0
4,76,4.343805421853684,1,1,1,6,6,20,3.044522437723423,1,2,0,6,0,5,1,1,1,4,0,172.0
12,96,4.574710978503383,1,0,1,5,6,11,2.4849066497880004,0,2,1,4,1,20,25,3,6,1,0,203.0
4,119,4.787491742782046,0,2,4,0,9,24,3.2188758248682006,1,0,4,3,4,14,17,6,7,1,0,262.0
9,31,3.4657359027997265,0,1,1,3,1,21,3.091042453358316,0,0,1,0,1,1,16,1,7,1,0,83.0
6,42,3.7612001156935624,1,0,2,0,2,15,2.772588722239781,0,0,0,1,5,7,26,0,0,3,0,99.0
0,95,4.564348191467836,0,2,0,4,5,16,2.833213344056216,1,1,1,2,6,12,17,6,0,1,0,206.0
12,67,4.219507705176107,0,1,2,4,7,5,1.791759469228055,0,2,0,5,5,27,24,5,0,1,0,139.0
8,119,4.787491742782046,0,2,4,0,9,1,0.6931471805599453,0,1,1,1,1,6,6,3,1,1,1,239.0
5,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,28,27,1,0,1,1,11.0
11,39,3.6888794541139363,0,0,4,4,9,10,2.3978952727983707,1,1,0,3,0,14,28,6,2,1,0,88.0
5,27,3.332204510175204,0,0,2,6,7,18,2.9444389791664403,1,0,3,4,8,11,9,5,4,9,0,72.0
0,23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,24,3,2,5,1,0,52.0
0,30,3.4339872044851463,1,0,0,2,0,14,2.70805020110221,1,2,4,0,4,19,8,4,0,2,0,74.0
12,18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,17,3,2,5,1,0,43.0
10,89,4.499809670330265,0,2,4,5,9,14,2.70805020110221,1,2,4,0,4,14,28,6,6,1,0,192.0
2,68,4.23410650459726,1,2,3,5,8,21,3.091042453358316,0,0,1,0,1,19,13,4,3,1,0,157.0
9,47,3.871201010907891,0,2,2,5,7,4,1.6094379124341003,1,1,4,4,4,25,25,3,3,1,0,98.0
12,49,3.912023005428146,0,1,4,0,9,22,3.1354942159291497,1,1,2,1,2,18,23,0,6,1,0,120.0
8,14,2.70805020110221,1,2,4,0,4,25,3.258096538021482,0,1,0,4,5,29,28,6,2,1,0,53.0
9,35,3.58351893845611,0,2,0,0,5,6,1.9459101490553132,1,0,1,6,6,9,8,4,4,1,0,76.0
9,108,4.6913478822291435,1,0,3,3,8,25,3.258096538021482,0,1,0,4,5,11,9,5,1,1,0,241.0
1,11,2.4849066497880004,0,2,1,4,1,22,3.1354942159291497,1,1,2,1,2,1,27,1,5,11,1,44.0
1,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,27,29,5,1,5,1,55.0
9,37,3.6375861597263857,0,1,2,2,7,19,2.995732273553991,0,1,4,5,9,18,0,0,3,1,0,93.0
7,39,3.6888794541139363,0,0,4,4,9,20,3.044522437723423,1,2,0,6,0,14,17,6,6,1,0,98.0
11,32,3.4965075614664802,1,2,2,4,2,13,2.6390573296152584,0,1,3,6,3,24,3,2,7,1,0,77.0
14,97,4.584967478670572,0,1,2,6,7,23,3.1780538303479458,0,2,3,2,3,5,1,1,6,1,0,217.0
9,112,4.727387818712341,1,1,2,0,2,9,2.302585092994046,0,0,4,2,9,13,22,0,5,1,0,233.0
13,34,3.5553480614894135,1,1,4,6,4,23,3.1780538303479458,0,2,3,2,3,1,16,1,6,1,0,91.0
14,90,4.51085950651685,1,0,0,6,0,7,2.0794415416798357,0,1,2,0,7,18,7,0,4,1,0,187.0
5,37,3.6375861597263857,0,1,2,2,7,10,2.3978952727983707,1,1,0,3,0,14,14,6,7,1,0,84.0
8,27,3.332204510175204,0,0,2,6,7,10,2.3978952727983707,1,1,0,3,0,11,24,5,2,1,0,64.0
1,10,2.3978952727983707,1,1,0,3,0,24,3.2188758248682006,1,0,4,3,4,22,6,3,6,2,0,44.0
14,86,4.465908118654584,1,2,1,2,6,2,1.0986122886681098,1,2,2,2,2,25,4,3,3,2,1,174.0
3,109,4.700480365792417,0,1,4,4,9,24,3.2188758248682006,1,0,4,3,4,9,13,4,1,1,0,242.0
8,9,2.302585092994046,0,0,4,2,9,24,3.2188758248682006,1,0,4,3,4,16,2,2,2,3,0,42.0
7,99,4.605170185988092,0,0,4,1,9,5,1.791759469228055,0,2,0,5,5,23,29,5,3,1,0,203.0
8,52,3.970291913552122,1,1,2,3,2,22,3.1354942159291497,1,1,2,1,2,23,20,5,4,2,0,126.0
7,106,4.672828834461906,1,1,1,1,6,13,2.6390573296152584,0,1,3,6,3,13,7,0,0,1,0,225.0
4,11,2.4849066497880004,0,2,1,4,1,12,2.5649493574615367,1,0,2,5,2,13,7,0,7,1,0,34.0
5,12,2.5649493574615367,1,0,2,5,2,23,3.1780538303479458,0,2,3,2,3,1,1,1,2,1,0,47.0
1,17,2.8903717578961645,0,2,2,3,7,12,2.5649493574615367,1,0,2,5,2,5,1,1,0,1,0,46.0
3,14,2.70805020110221,1,2,4,0,4,11,2.4849066497880004,0,2,1,4,1,28,27,1,4,1,0,39.0
10,89,4.499809670330265,0,2,4,5,9,17,2.8903717578961645,0,2,2,3,7,20,6,3,3,1,0,195.0
8,21,3.091042453358316,0,0,1,0,1,23,3.1780538303479458,0,2,3,2,3,9,8,4,5,1,0,65.0
13,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,30,30,4,5,3,1,51.0
10,86,4.465908118654584,1,2,1,2,6,11,2.4849066497880004,0,2,1,4,1,28,5,1,4,1,0,183.0
1,33,3.5263605246161616,0,0,3,5,3,13,2.6390573296152584,0,1,3,6,3,11,10,5,1,1,0,79.0
8,68,4.23410650459726,1,2,3,5,8,9,2.302585092994046,0,0,4,2,9,7,7,0,3,1,0,145.0
11,84,4.442651256490317,1,0,4,0,4,18,2.9444389791664403,1,0,3,4,8,25,6,3,3,6,0,186.0
12,18,2.9444389791664403,1,0,3,4,8,13,2.6390573296152584,0,1,3,6,3,29,14,6,7,1,0,49.0
0,52,3.970291913552122,1,1,2,3,2,15,2.772588722239781,0,0,0,1,5,4,11,3,2,1,0,119.0
8,64,4.174387269895637,1,1,4,1,4,19,2.995732273553991,0,1,4,5,9,6,25,3,6,1,0,147.0
14,53,3.9889840465642745,0,2,3,4,3,5,1.791759469228055,0,2,0,5,5,12,14,6,3,1,0,111.0
14,27,3.332204510175204,0,0,2,6,7,6,1.9459101490553132,1,0,1,6,6,11,24,5,1,3,0,60.0
8,93,4.543294782270004,0,0,3,2,3,13,2.6390573296152584,0,1,3,6,3,3,3,2,6,1,0,199.0
2,117,4.770684624465665,0,0,2,5,7,12,2.5649493574615367,1,0,2,5,2,16,3,2,2,3,0,246.0
10,89,4.499809670330265,0,2,4,5,9,14,2.70805020110221,1,2,4,0,4,16,21,2,2,1,0,192.0
11,93,4.543294782270004,0,0,3,2,3,19,2.995732273553991,0,1,4,5,9,6,11,3,0,1,0,205.0
1,57,4.060443010546419,0,0,2,1,7,2,1.0986122886681098,1,2,2,2,2,25,25,3,0,1,0,116.0
10,115,4.7535901911063645,0,1,0,3,5,6,1.9459101490553132,1,0,1,6,6,15,10,5,1,1,0,236.0
3,63,4.1588830833596715,0,0,3,0,3,7,2.0794415416798357,0,1,2,0,7,19,8,4,1,7,1,133.0
0,65,4.189654742026425,0,2,0,2,5,16,2.833213344056216,1,1,1,2,6,22,19,3,4,1,0,146.0
10,7,2.0794415416798357,0,1,2,0,7,13,2.6390573296152584,0,1,3,6,3,5,1,1,1,1,0,27.0
2,92,4.532599493153256,1,2,2,1,2,2,1.0986122886681098,1,2,2,2,2,5,16,1,3,2,1,186.0
14,114,4.74493212836325,1,0,4,2,4,17,2.8903717578961645,0,2,2,3,7,19,8,4,0,1,0,245.0
11,61,4.127134385045092,0,1,1,5,1,3,1.3862943611198906,0,0,3,3,3,18,23,0,4,1,0,125.0
5,41,3.7376696182833684,0,2,1,6,1,13,2.6390573296152584,0,1,3,6,3,30,30,4,4,1,0,95.0
11,26,3.295836866004329,1,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,15,9,5,7,1,0,55.0
14,40,3.713572066704308,1,1,0,5,0,20,3.044522437723423,1,2,0,6,0,28,27,1,7,20,1,100.0
11,66,4.204692619390966,1,0,1,3,6,4,1.6094379124341003,1,1,4,4,4,26,30,4,3,2,0,136.0
12,112,4.727387818712341,1,1,2,0,2,8,2.1972245773362196,1,2,3,1,8,8,1,1,6,8,1,232.0
1,62,4.143134726391533,1,2,2,6,2,20,3.044522437723423,1,2,0,6,0,23,24,5,6,2,0,144.0
5,117,4.770684624465665,0,0,2,5,7,12,2.5649493574615367,1,0,2,5,2,27,20,5,0,3,0,246.0
2,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,9,30,4,6,1,0,17.0
9,71,4.276666119016055,0,2,1,1,1,7,2.0794415416798357,0,1,2,0,7,20,25,3,5,1,0,149.0
10,79,4.382026634673881,0,1,4,2,9,10,2.3978952727983707,1,1,0,3,0,7,23,0,7,1,0,168.0
11,39,3.6888794541139363,0,0,4,4,9,1,0.6931471805599453,0,1,1,1,1,25,6,3,0,1,1,79.0
1,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,31,0,0,6,2,0,34.0
14,25,3.258096538021482,0,1,0,4,5,14,2.70805020110221,1,2,4,0,4,10,9,5,1,1,0,64.0
10,21,3.091042453358316,0,0,1,0,1,18,2.9444389791664403,1,0,3,4,8,19,13,4,2,3,0,60.0
0,120,4.795790545596741,1,0,0,1,0,16,2.833213344056216,1,1,1,2,6,24,3,2,7,8,0,256.0
12,30,3.4339872044851463,1,0,0,2,0,14,2.70805020110221,1,2,4,0,4,24,31,2,6,2,0,74.0
7,32,3.4965075614664802,1,2,2,4,2,24,3.2188758248682006,1,0,4,3,4,2,21,2,0,8,0,88.0
4,92,4.532599493153256,1,2,2,1,2,4,1.6094379124341003,1,1,4,4,4,7,26,0,0,4,1,188.0
6,6,1.9459101490553132,1,0,1,6,6,18,2.9444389791664403,1,0,3,4,8,4,4,3,5,6,1,30.0
11,85,4.454347296253507,0,1,0,1,5,13,2.6390573296152584,0,1,3,6,3,4,19,3,5,1,0,183.0
2,84,4.442651256490317,1,0,4,0,4,15,2.772588722239781,0,0,0,1,5,9,13,4,6,3,0,183.0
11,62,4.143134726391533,1,2,2,6,2,18,2.9444389791664403,1,0,3,4,8,9,13,4,5,2,0,142.0
14,33,3.5263605246161616,0,0,3,5,3,17,2.8903717578961645,0,2,2,3,7,3,15,2,7,1,0,83.0
8,46,3.8501476017100584,1,1,1,4,6,24,3.2188758248682006,1,0,4,3,4,14,17,6,7,2,0,116.0
12,53,3.9889840465642745,0,2,3,4,3,19,2.995732273553991,0,1,4,5,9,28,27,1,4,1,0,125.0
2,87,4.477336814478207,0,0,2,3,7,17,2.8903717578961645,0,2,2,3,7,9,8,4,3,1,0,191.0
0,83,4.430816798843313,0,2,3,6,3,5,1.791759469228055,0,2,0,5,5,5,1,1,5,1,0,171.0
6,23,3.1780538303479458,0,2,3,2,3,3,1.3862943611198906,0,0,3,3,3,2,31,2,1,1,0,49.0
7,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,10,9,5,3,1,1,85.0
0,78,4.3694478524670215,1,0,3,1,8,24,3.2188758248682006,1,0,4,3,4,19,18,4,4,6,0,180.0
13,106,4.672828834461906,1,1,1,1,6,7,2.0794415416798357,0,1,2,0,7,16,3,2,7,1,0,219.0
9,104,4.653960350157523,1,2,4,6,4,2,1.0986122886681098,1,2,2,2,2,2,15,2,4,2,1,210.0
2,102,4.634728988229636,1,0,2,4,2,3,1.3862943611198906,0,0,3,3,3,30,13,4,6,3,1,207.0
13,85,4.454347296253507,0,1,0,1,5,22,3.1354942159291497,1,1,2,1,2,13,0,0,0,1,0,192.0
8,88,4.48863636973214,1,1,3,4,8,18,2.9444389791664403,1,0,3,4,8,20,25,3,4,2,0,194.0
11,67,4.219507705176107,0,1,2,4,7,15,2.772588722239781,0,0,0,1,5,5,1,1,6,1,0,149.0
9,106,4.672828834461906,1,1,1,1,6,25,3.258096538021482,0,1,0,4,5,8,1,1,0,1,0,237.0
0,10,2.3978952727983707,1,1,0,3,0,9,2.302585092994046,0,0,4,2,9,17,2,2,3,1,0,29.0
10,116,4.762173934797756,1,2,1,4,6,8,2.1972245773362196,1,2,3,1,8,15,20,5,1,4,0,240.0
11,25,3.258096538021482,0,1,0,4,5,14,2.70805020110221,1,2,4,0,4,23,20,5,4,1,0,64.0
9,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,19,13,4,2,1,0,17.0
0,111,4.718498871295094,0,0,1,6,1,15,2.772588722239781,0,0,0,1,5,12,12,6,7,3,0,237.0
13,99,4.605170185988092,0,0,4,1,9,24,3.2188758248682006,1,0,4,3,4,16,15,2,7,3,0,222.0
7,70,4.2626798770413155,1,1,0,0,0,10,2.3978952727983707,1,1,0,3,0,11,29,5,1,10,1,150.0
10,112,4.727387818712341,1,1,2,0,2,6,1.9459101490553132,1,0,1,6,6,14,28,6,2,2,0,230.0
9,86,4.465908118654584,1,2,1,2,6,16,2.833213344056216,1,1,1,2,6,21,17,6,5,2,0,188.0
14,117,4.770684624465665,0,0,2,5,7,2,1.0986122886681098,1,2,2,2,2,22,4,3,6,1,0,236.0
0,39,3.6888794541139363,0,0,4,4,9,1,0.6931471805599453,0,1,1,1,1,26,8,4,2,1,1,79.0
12,9,2.302585092994046,0,0,4,2,9,17,2.8903717578961645,0,2,2,3,7,30,18,4,1,1,0,35.0
10,90,4.51085950651685,1,0,0,6,0,13,2.6390573296152584,0,1,3,6,3,15,20,5,0,1,0,193.0
11,69,4.248495242049359,0,0,4,6,9,12,2.5649493574615367,1,0,2,5,2,7,26,0,1,3,0,150.0
1,95,4.564348191467836,0,2,0,4,5,25,3.258096538021482,0,1,0,4,5,27,24,5,2,5,0,215.0
7,78,4.3694478524670215,1,0,3,1,8,17,2.8903717578961645,0,2,2,3,7,27,24,5,5,1,0,173.0
1,70,4.2626798770413155,1,1,0,0,0,6,1.9459101490553132,1,0,1,6,6,13,7,0,4,2,0,146.0
0,53,3.9889840465642745,0,2,3,4,3,1,0.6931471805599453,0,1,1,1,1,30,18,4,7,1,1,107.0
5,73,4.30406509320417,0,1,3,3,3,3,1.3862943611198906,0,0,3,3,3,9,13,4,5,1,0,149.0
14,95,4.564348191467836,0,2,0,4,5,8,2.1972245773362196,1,2,3,1,8,31,26,0,6,1,0,198.0
10,65,4.189654742026425,0,2,0,2,5,17,2.8903717578961645,0,2,2,3,7,0,22,0,6,1,0,147.0
7,117,4.770684624465665,0,0,2,5,7,2,1.0986122886681098,1,2,2,2,2,16,2,2,2,1,0,236.0
12,118,4.77912349311153,1,1,3,6,8,15,2.772588722239781,0,0,0,1,5,7,23,0,1,1,0,251.0
9,94,4.553876891600541,1,1,4,3,4,5,1.791759469228055,0,2,0,5,5,12,17,6,0,1,0,193.0
3,90,4.51085950651685,1,0,0,6,0,7,2.0794415416798357,0,1,2,0,7,13,0,0,2,1,0,187.0
7,86,4.465908118654584,1,2,1,2,6,12,2.5649493574615367,1,0,2,5,2,25,25,3,2,2,0,184.0
2,38,3.6635616461296463,1,2,3,3,8,6,1.9459101490553132,1,0,1,6,6,7,23,0,6,2,0,82.0
7,101,4.624972813284271,0,2,1,3,1,8,2.1972245773362196,1,2,3,1,8,10,9,5,5,1,0,210.0
7,49,3.912023005428146,0,1,4,0,9,16,2.833213344056216,1,1,1,2,6,19,13,4,3,1,0,114.0
2,26,3.295836866004329,1,2,1,5,6,18,2.9444389791664403,1,0,3,4,8,14,17,6,6,2,0,70.0
3,118,4.77912349311153,1,1,3,6,8,14,2.70805020110221,1,2,4,0,4,4,4,3,0,2,0,250.0
11,37,3.6375861597263857,0,1,2,2,7,13,2.6390573296152584,0,1,3,6,3,28,27,1,6,1,0,87.0
8,35,3.58351893845611,0,2,0,0,5,7,2.0794415416798357,0,1,2,0,7,3,15,2,6,7,1,77.0
10,111,4.718498871295094,0,0,1,6,1,7,2.0794415416798357,0,1,2,0,7,0,0,0,0,1,0,229.0
12,15,2.772588722239781,0,0,0,1,5,13,2.6390573296152584,0,1,3,6,3,15,10,5,6,1,0,43.0
3,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,7,7,0,4,2,1,82.0
7,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,15,20,5,1,2,0,28.0
3,83,4.430816798843313,0,2,3,6,3,12,2.5649493574615367,1,0,2,5,2,21,17,6,5,1,0,178.0
6,99,4.605170185988092,0,0,4,1,9,2,1.0986122886681098,1,2,2,2,2,6,11,3,1,1,0,200.0
12,89,4.499809670330265,0,2,4,5,9,15,2.772588722239781,0,0,0,1,5,11,10,5,6,1,0,193.0
14,40,3.713572066704308,1,1,0,5,0,13,2.6390573296152584,0,1,3,6,3,11,10,5,2,1,0,93.0
7,42,3.7612001156935624,1,0,2,0,2,15,2.772588722239781,0,0,0,1,5,25,4,3,1,3,0,99.0
1,102,4.634728988229636,1,0,2,4,2,8,2.1972245773362196,1,2,3,1,8,12,17,6,0,2,0,212.0
14,57,4.060443010546419,0,0,2,1,7,4,1.6094379124341003,1,1,4,4,4,18,7,0,1,1,0,118.0
1,17,2.8903717578961645,0,2,2,3,7,7,2.0794415416798357,0,1,2,0,7,12,17,6,3,1,0,41.0
0,116,4.762173934797756,1,2,1,4,6,3,1.3862943611198906,0,0,3,3,3,24,3,2,1,1,0,235.0
8,80,4.394449154672439,1,2,0,3,0,21,3.091042453358316,0,0,1,0,1,2,31,2,3,1,0,181.0
12,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,9,8,4,1,1,0,29.0
5,104,4.653960350157523,1,2,4,6,4,13,2.6390573296152584,0,1,3,6,3,13,22,0,6,13,1,221.0
2,81,4.406719247264253,0,0,1,4,1,23,3.1780538303479458,0,2,3,2,3,22,6,3,0,1,0,185.0
1,75,4.330733340286331,0,0,0,5,5,3,1.3862943611198906,0,0,3,3,3,23,29,5,0,3,1,153.0
3,45,3.828641396489095,0,0,0,3,5,16,2.833213344056216,1,1,1,2,6,21,28,6,0,1,0,106.0
1,78,4.3694478524670215,1,0,3,1,8,24,3.2188758248682006,1,0,4,3,4,27,9,5,4,6,0,180.0
4,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,19,18,4,5,2,0,80.0
2,33,3.5263605246161616,0,0,3,5,3,11,2.4849066497880004,0,2,1,4,1,2,31,2,0,11,1,77.0
2,60,4.110873864173311,1,0,0,4,0,24,3.2188758248682006,1,0,4,3,4,12,17,6,3,12,0,144.0
5,27,3.332204510175204,0,0,2,6,7,18,2.9444389791664403,1,0,3,4,8,28,5,1,1,9,0,72.0
2,90,4.51085950651685,1,0,0,6,0,23,3.1780538303479458,0,2,3,2,3,16,2,2,3,1,0,203.0
5,110,4.709530201312334,1,2,0,5,0,19,2.995732273553991,0,1,4,5,9,23,24,5,5,1,0,239.0
9,74,4.31748811353631,1,2,4,4,4,7,2.0794415416798357,0,1,2,0,7,25,19,3,4,1,0,155.0
0,63,4.1588830833596715,0,0,3,0,3,14,2.70805020110221,1,2,4,0,4,25,19,3,1,7,0,140.0
0,68,4.23410650459726,1,2,3,5,8,3,1.3862943611198906,0,0,3,3,3,31,22,0,1,1,0,139.0
1,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,25,6,3,5,5,1,75.0
12,42,3.7612001156935624,1,0,2,0,2,18,2.9444389791664403,1,0,3,4,8,0,22,0,0,6,0,102.0
3,72,4.290459441148391,1,0,2,2,2,13,2.6390573296152584,0,1,3,6,3,15,29,5,2,1,0,157.0
11,80,4.394449154672439,1,2,0,3,0,4,1.6094379124341003,1,1,4,4,4,30,30,4,4,4,1,164.0
5,18,2.9444389791664403,1,0,3,4,8,20,3.044522437723423,1,2,0,6,0,9,8,4,0,2,0,56.0
1,74,4.31748811353631,1,2,4,4,4,24,3.2188758248682006,1,0,4,3,4,13,23,0,0,2,0,172.0
14,110,4.709530201312334,1,2,0,5,0,9,2.302585092994046,0,0,4,2,9,26,8,4,2,1,0,229.0
2,86,4.465908118654584,1,2,1,2,6,16,2.833213344056216,1,1,1,2,6,30,30,4,6,2,0,188.0
14,119,4.787491742782046,0,2,4,0,9,5,1.791759469228055,0,2,0,5,5,15,29,5,6,1,0,243.0
10,67,4.219507705176107,0,1,2,4,7,25,3.258096538021482,0,1,0,4,5,5,1,1,7,1,0,159.0
12,106,4.672828834461906,1,1,1,1,6,20,3.044522437723423,1,2,0,6,0,9,30,4,7,2,0,232.0
5,61,4.127134385045092,0,1,1,5,1,10,2.3978952727983707,1,1,0,3,0,10,24,5,7,1,0,132.0
