slot_person_name,slot_item_name,slot_finds_per_day,slot_finds_per_day_abs_log1p,slot_finds_per_day_is_even,slot_finds_per_day_mod3,slot_finds_per_day_mod5,slot_finds_per_day_mod7,slot_finds_per_day_mod10,slot_per_item_cents,slot_per_item_cents_abs_log1p,slot_per_item_cents_is_even,slot_per_item_cents_mod3,slot_per_item_cents_mod7,slot_per_item_cents_mod10,slot_days,slot_days_abs_log1p,slot_days_is_even,slot_days_mod3,slot_days_mod5,slot_days_mod7,slot_days_mod10,slot_currency_symbol,slot_per_item_value_text,slot_period_label,gcd_all,n_multiple_pairs,y
1,7,21,3.091042453358316,0,0,1,0,1,25,3.258096538021482,0,1,4,5,35,3.58351893845611,0,2,0,0,5,1,26,5,1,0,183.75
5,0,21,3.091042453358316,0,0,1,0,1,50,3.9318256327243257,1,2,1,0,25,3.258096538021482,0,1,0,4,5,1,27,6,1,1,262.5
2,6,26,3.295836866004329,1,2,1,5,6,125,4.836281906951478,0,2,6,5,40,3.713572066704308,1,1,0,5,0,1,6,1,1,0,1300.0
0,0,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,28,3.367295829986474,1,1,3,0,8,2,28,5,1,0,42.0
0,7,21,3.091042453358316,0,0,1,0,1,125,4.836281906951478,0,2,6,5,21,3.091042453358316,0,0,1,0,1,2,21,6,1,1,551.25
6,2,32,3.4965075614664802,1,2,2,4,2,10,2.3978952727983707,1,1,3,0,12,2.5649493574615367,1,0,2,5,2,2,22,2,2,0,38.4
1,5,23,3.1780538303479458,0,2,3,2,3,20,3.044522437723423,1,2,6,0,5,1.791759469228055,0,2,0,5,5,2,29,0,1,1,23.0
1,7,24,3.2188758248682006,1,0,4,3,4,10,2.3978952727983707,1,1,3,0,11,2.4849066497880004,0,2,1,4,1,2,22,5,1,0,26.4
6,6,26,3.295836866004329,1,2,1,5,6,200,5.303304908059076,1,2,4,0,5,1.791759469228055,0,2,0,5,5,0,0,6,1,1,260.0
6,3,6,1.9459101490553132,1,0,1,6,6,125,4.836281906951478,0,2,6,5,32,3.4965075614664802,1,2,2,4,2,0,7,0,1,0,240.0
6,2,13,2.6390573296152584,0,1,3,6,3,50,3.9318256327243257,1,2,1,0,40,3.713572066704308,1,1,0,5,0,2,28,3,1,0,260.0
7,6,11,2.4849066497880004,0,2,1,4,1,50,3.9318256327243257,1,2,1,0,20,3.044522437723423,1,2,0,6,0,2,28,1,1,0,110.0
7,1,21,3.091042453358316,0,0,1,0,1,75,4.330733340286331,0,0,5,5,31,3.4657359027997265,0,1,1,3,1,1,9,2,1,0,488.25
4,2,11,2.4849066497880004,0,2,1,4,1,100,4.61512051684126,1,1,2,0,14,2.70805020110221,1,2,4,0,4,1,8,5,1,0,154.0
1,0,20,3.044522437723423,1,2,0,6,0,150,5.017279836814924,1,0,3,0,34,3.5553480614894135,1,1,4,6,4,0,19,3,2,0,1020.0
1,6,23,3.1780538303479458,0,2,3,2,3,10,2.3978952727983707,1,1,3,0,30,3.4339872044851463,1,0,0,2,0,2,22,5,1,1,69.0
2,0,5,1.791759469228055,0,2,0,5,5,200,5.303304908059076,1,2,4,0,40,3.713572066704308,1,1,0,5,0,0,0,5,5,3,400.0
7,3,9,2.302585092994046,0,0,4,2,9,25,3.258096538021482,0,1,4,5,11,2.4849066497880004,0,2,1,4,1,0,18,3,1,0,24.75
2,3,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,18,2.9444389791664403,1,0,3,4,8,0,2,0,1,1,45.0
4,1,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,5,0,35,3.58351893845611,0,2,0,0,5,1,24,2,1,0,84.0
0,4,33,3.5263605246161616,0,0,3,5,3,50,3.9318256327243257,1,2,1,0,39,3.6888794541139363,0,0,4,4,9,1,27,1,1,0,643.5
3,5,5,1.791759469228055,0,2,0,5,5,125,4.836281906951478,0,2,6,5,35,3.58351893845611,0,2,0,0,5,1,6,1,5,2,218.75
7,7,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,1,5,18,2.9444389791664403,1,0,3,4,8,0,20,1,3,1,24.3
4,5,16,2.833213344056216,1,1,1,2,6,200,5.303304908059076,1,2,4,0,36,3.6109179126442243,1,0,1,1,6,1,25,4,4,0,1152.0
7,1,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,1,5,14,2.70805020110221,1,2,4,0,4,2,23,3,1,0,8.4
1,7,13,2.6390573296152584,0,1,3,6,3,40,3.713572066704308,1,1,5,0,24,3.2188758248682006,1,0,4,3,4,1,24,1,1,0,124.8
4,4,21,3.091042453358316,0,0,1,0,1,50,3.9318256327243257,1,2,1,0,17,2.8903717578961645,0,2,2,3,7,2,28,4,1,0,178.5
2,3,32,3.4965075614664802,1,2,2,4,2,40,3.713572066704308,1,1,5,0,36,3.6109179126442243,1,0,1,1,6,2,15,3,4,0,460.8
6,4,39,3.6888794541139363,0,0,4,4,9,15,2.772588722239781,0,0,1,5,17,2.8903717578961645,0,2,2,3,7,1,14,1,1,0,99.45
0,7,15,2.772588722239781,0,0,0,1,5,15,2.772588722239781,0,0,1,5,27,3.332204510175204,0,0,2,6,7,1,14,3,3,1,60.75
2,1,35,3.58351893845611,0,2,0,0,5,75,4.330733340286331,0,0,5,5,11,2.4849066497880004,0,2,1,4,1,1,9,0,1,0,288.75
6,1,34,3.5553480614894135,1,1,4,6,4,5,1.791759469228055,0,2,5,5,24,3.2188758248682006,1,0,4,3,4,0,3,2,1,0,40.8
6,5,6,1.9459101490553132,1,0,1,6,6,100,4.61512051684126,1,1,2,0,21,3.091042453358316,0,0,1,0,1,0,30,5,1,0,126.0
0,6,12,2.5649493574615367,1,0,2,5,2,50,3.9318256327243257,1,2,1,0,39,3.6888794541139363,0,0,4,4,9,0,2,2,1,0,234.0
7,4,27,3.332204510175204,0,0,2,6,7,100,4.61512051684126,1,1,2,0,25,3.258096538021482,0,1,0,4,5,1,8,5,1,1,675.0
0,5,30,3.4339872044851463,1,0,0,2,0,20,3.044522437723423,1,2,6,0,8,2.1972245773362196,1,2,3,1,8,1,31,4,2,0,48.0
7,5,31,3.4657359027997265,0,1,1,3,1,50,3.9318256327243257,1,2,1,0,34,3.5553480614894135,1,1,4,6,4,2,28,1,1,0,527.0
7,6,13,2.6390573296152584,0,1,3,6,3,10,2.3978952727983707,1,1,3,0,38,3.6635616461296463,1,2,3,3,8,1,16,1,1,0,49.4
0,5,23,3.1780538303479458,0,2,3,2,3,15,2.772588722239781,0,0,1,5,9,2.302585092994046,0,0,4,2,9,1,14,0,1,0,31.05
3,5,35,3.58351893845611,0,2,0,0,5,75,4.330733340286331,0,0,5,5,14,2.70805020110221,1,2,4,0,4,2,32,5,1,0,367.5
5,4,22,3.1354942159291497,1,1,2,1,2,25,3.258096538021482,0,1,4,5,16,2.833213344056216,1,1,1,2,6,1,26,6,1,0,88.0
4,5,27,3.332204510175204,0,0,2,6,7,75,4.330733340286331,0,0,5,5,26,3.295836866004329,1,2,1,5,6,2,32,3,1,0,526.5
0,7,4,1.6094379124341003,1,1,4,4,4,150,5.017279836814924,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,1,1,5,2,1,72.0
6,5,20,3.044522437723423,1,2,0,6,0,50,3.9318256327243257,1,2,1,0,23,3.1780538303479458,0,2,3,2,3,1,27,3,1,0,230.0
0,7,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,5,5,33,3.5263605246161616,0,0,3,5,3,2,33,3,1,0,6.6
2,5,15,2.772588722239781,0,0,0,1,5,100,4.61512051684126,1,1,2,0,39,3.6888794541139363,0,0,4,4,9,2,34,3,1,0,585.0
5,2,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,3,0,20,3.044522437723423,1,2,0,6,0,1,16,1,2,1,16.0
7,4,33,3.5263605246161616,0,0,3,5,3,10,2.3978952727983707,1,1,3,0,5,1.791759469228055,0,2,0,5,5,0,35,6,1,1,16.5
4,4,37,3.6375861597263857,0,1,2,2,7,200,5.303304908059076,1,2,4,0,40,3.713572066704308,1,1,0,5,0,0,0,4,1,1,2960.0
5,2,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,3,0,15,2.772588722239781,0,0,0,1,5,0,35,3,1,0,27.0
5,7,8,2.1972245773362196,1,2,3,1,8,40,3.713572066704308,1,1,5,0,24,3.2188758248682006,1,0,4,3,4,2,15,4,8,2,76.8
1,4,23,3.1780538303479458,0,2,3,2,3,80,4.394449154672439,1,2,3,0,33,3.5263605246161616,0,0,3,5,3,0,36,5,1,0,607.2
6,1,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,5,5,17,2.8903717578961645,0,2,2,3,7,1,12,6,1,0,11.9
6,7,39,3.6888794541139363,0,0,4,4,9,200,5.303304908059076,1,2,4,0,21,3.091042453358316,0,0,1,0,1,2,37,2,1,0,1638.0
0,0,4,1.6094379124341003,1,1,4,4,4,200,5.303304908059076,1,2,4,0,13,2.6390573296152584,0,1,3,6,3,1,25,3,1,1,104.0
5,4,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,34,3.5553480614894135,1,1,4,6,4,0,2,3,2,0,102.0
6,1,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,5,5,25,3.258096538021482,0,1,0,4,5,2,33,3,5,2,18.75
1,1,25,3.258096538021482,0,1,0,4,5,80,4.394449154672439,1,2,3,0,10,2.3978952727983707,1,1,0,3,0,1,5,2,5,1,200.0
5,3,23,3.1780538303479458,0,2,3,2,3,25,3.258096538021482,0,1,4,5,33,3.5263605246161616,0,0,3,5,3,1,26,0,1,0,189.75
2,4,16,2.833213344056216,1,1,1,2,6,50,3.9318256327243257,1,2,1,0,23,3.1780538303479458,0,2,3,2,3,2,28,2,1,0,184.0
2,7,22,3.1354942159291497,1,1,2,1,2,100,4.61512051684126,1,1,2,0,15,2.772588722239781,0,0,0,1,5,0,30,5,1,0,330.0
4,3,9,2.302585092994046,0,0,4,2,9,150,5.017279836814924,1,0,3,0,37,3.6375861597263857,0,1,2,2,7,1,1,5,1,0,499.5
2,6,17,2.8903717578961645,0,2,2,3,7,75,4.330733340286331,0,0,5,5,38,3.6635616461296463,1,2,3,3,8,0,13,2,1,0,484.5
6,1,32,3.4965075614664802,1,2,2,4,2,200,5.303304908059076,1,2,4,0,24,3.2188758248682006,1,0,4,3,4,2,37,2,8,0,1536.0
2,2,12,2.5649493574615367,1,0,2,5,2,40,3.713572066704308,1,1,5,0,8,2.1972245773362196,1,2,3,1,8,2,15,0,4,1,38.4
1,6,33,3.5263605246161616,0,0,3,5,3,20,3.044522437723423,1,2,6,0,36,3.6109179126442243,1,0,1,1,6,0,17,6,1,0,237.6
0,5,27,3.332204510175204,0,0,2,6,7,20,3.044522437723423,1,2,6,0,22,3.1354942159291497,1,1,2,1,2,0,17,6,1,0,118.8
6,3,7,2.0794415416798357,0,1,2,0,7,150,5.017279836814924,1,0,3,0,19,2.995732273553991,0,1,4,5,9,0,19,3,1,0,199.5
7,6,39,3.6888794541139363,0,0,4,4,9,125,4.836281906951478,0,2,6,5,36,3.6109179126442243,1,0,1,1,6,2,21,1,1,0,1755.0
7,0,32,3.4965075614664802,1,2,2,4,2,5,1.791759469228055,0,2,5,5,31,3.4657359027997265,0,1,1,3,1,2,33,6,1,0,49.6
5,2,31,3.4657359027997265,0,1,1,3,1,15,2.772588722239781,0,0,1,5,5,1.791759469228055,0,2,0,5,5,1,14,1,1,1,23.25
3,7,23,3.1780538303479458,0,2,3,2,3,200,5.303304908059076,1,2,4,0,9,2.302585092994046,0,0,4,2,9,0,0,0,1,0,414.0
4,5,24,3.2188758248682006,1,0,4,3,4,40,3.713572066704308,1,1,5,0,15,2.772588722239781,0,0,0,1,5,2,15,3,1,0,144.0
5,7,16,2.833213344056216,1,1,1,2,6,15,2.772588722239781,0,0,1,5,14,2.70805020110221,1,2,4,0,4,0,20,1,1,0,33.6
7,0,36,3.6109179126442243,1,0,1,1,6,50,3.9318256327243257,1,2,1,0,28,3.367295829986474,1,1,3,0,8,1,27,3,2,0,504.0
7,1,3,1.3862943611198906,0,0,3,3,3,150,5.017279836814924,1,0,3,0,35,3.58351893845611,0,2,0,0,5,0,19,5,1,1,157.5
7,3,8,2.1972245773362196,1,2,3,1,8,75,4.330733340286331,0,0,5,5,34,3.5553480614894135,1,1,4,6,4,0,13,1,1,0,204.0
6,5,26,3.295836866004329,1,2,1,5,6,80,4.394449154672439,1,2,3,0,31,3.4657359027997265,0,1,1,3,1,1,5,1,1,0,644.8
2,0,37,3.6375861597263857,0,1,2,2,7,80,4.394449154672439,1,2,3,0,40,3.713572066704308,1,1,0,5,0,0,36,0,1,1,1184.0
2,1,38,3.6635616461296463,1,2,3,3,8,10,2.3978952727983707,1,1,3,0,11,2.4849066497880004,0,2,1,4,1,2,22,5,1,0,41.8
5,3,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,5,5,26,3.295836866004329,1,2,1,5,6,0,3,1,1,1,6.5
7,6,37,3.6375861597263857,0,1,2,2,7,10,2.3978952727983707,1,1,3,0,36,3.6109179126442243,1,0,1,1,6,2,22,5,1,0,133.2
4,5,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,6,0,19,2.995732273553991,0,1,4,5,9,2,29,6,1,1,76.0
0,7,29,3.4011973816621555,0,2,4,1,9,15,2.772588722239781,0,0,1,5,17,2.8903717578961645,0,2,2,3,7,1,14,3,1,0,73.95
7,2,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,5,5,24,3.2188758248682006,1,0,4,3,4,1,12,1,1,0,16.8
3,2,6,1.9459101490553132,1,0,1,6,6,80,4.394449154672439,1,2,3,0,29,3.4011973816621555,0,2,4,1,9,2,38,1,1,0,139.2
2,3,27,3.332204510175204,0,0,2,6,7,15,2.772588722239781,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,2,23,0,1,0,28.35
4,4,28,3.367295829986474,1,1,3,0,8,75,4.330733340286331,0,0,5,5,21,3.091042453358316,0,0,1,0,1,2,32,5,1,0,441.0
5,6,32,3.4965075614664802,1,2,2,4,2,200,5.303304908059076,1,2,4,0,26,3.295836866004329,1,2,1,5,6,1,25,6,2,0,1664.0
6,4,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,3,0,32,3.4965075614664802,1,2,2,4,2,2,22,4,1,0,9.6
4,3,26,3.295836866004329,1,2,1,5,6,80,4.394449154672439,1,2,3,0,8,2.1972245773362196,1,2,3,1,8,1,5,0,2,1,166.4
1,3,8,2.1972245773362196,1,2,3,1,8,75,4.330733340286331,0,0,5,5,5,1.791759469228055,0,2,0,5,5,1,9,0,1,1,30.0
3,7,40,3.713572066704308,1,1,0,5,0,25,3.258096538021482,0,1,4,5,29,3.4011973816621555,0,2,4,1,9,0,18,2,1,0,290.0
2,4,14,2.70805020110221,1,2,4,0,4,100,4.61512051684126,1,1,2,0,26,3.295836866004329,1,2,1,5,6,0,30,4,2,0,364.0
6,5,33,3.5263605246161616,0,0,3,5,3,15,2.772588722239781,0,0,1,5,33,3.5263605246161616,0,0,3,5,3,2,23,2,3,1,163.35
3,6,5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,1,5,12,2.5649493574615367,1,0,2,5,2,0,20,4,1,1,9.0
0,0,39,3.6888794541139363,0,0,4,4,9,25,3.258096538021482,0,1,4,5,9,2.302585092994046,0,0,4,2,9,2,11,2,1,0,87.75
2,7,27,3.332204510175204,0,0,2,6,7,40,3.713572066704308,1,1,5,0,23,3.1780538303479458,0,2,3,2,3,0,10,1,1,0,248.4
4,6,27,3.332204510175204,0,0,2,6,7,125,4.836281906951478,0,2,6,5,10,2.3978952727983707,1,1,0,3,0,1,6,0,1,0,337.5
2,1,9,2.302585092994046,0,0,4,2,9,50,3.9318256327243257,1,2,1,0,40,3.713572066704308,1,1,0,5,0,2,28,4,1,0,180.0
7,7,13,2.6390573296152584,0,1,3,6,3,25,3.258096538021482,0,1,4,5,38,3.6635616461296463,1,2,3,3,8,2,11,2,1,0,123.5
4,4,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,5,5,11,2.4849066497880004,0,2,1,4,1,1,12,0,1,1,5.5
4,1,11,2.4849066497880004,0,2,1,4,1,40,3.713572066704308,1,1,5,0,38,3.6635616461296463,1,2,3,3,8,1,24,2,1,0,167.2
0,1,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,6,0,12,2.5649493574615367,1,0,2,5,2,2,29,1,4,0,19.2
2,5,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,6,0,30,3.4339872044851463,1,0,0,2,0,2,29,0,10,2,60.0
2,7,11,2.4849066497880004,0,2,1,4,1,15,2.772588722239781,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,0,20,2,1,0,13.2
6,2,5,1.791759469228055,0,2,0,5,5,40,3.713572066704308,1,1,5,0,37,3.6375861597263857,0,1,2,2,7,0,10,6,1,1,74.0
5,5,3,1.3862943611198906,0,0,3,3,3,100,4.61512051684126,1,1,2,0,24,3.2188758248682006,1,0,4,3,4,0,30,4,1,1,72.0
1,1,7,2.0794415416798357,0,1,2,0,7,20,3.044522437723423,1,2,6,0,15,2.772588722239781,0,0,0,1,5,0,17,2,1,0,21.0
7,2,40,3.713572066704308,1,1,0,5,0,50,3.9318256327243257,1,2,1,0,13,2.6390573296152584,0,1,3,6,3,2,28,5,1,0,260.0
1,2,38,3.6635616461296463,1,2,3,3,8,200,5.303304908059076,1,2,4,0,13,2.6390573296152584,0,1,3,6,3,2,37,0,1,0,988.0
2,4,39,3.6888794541139363,0,0,4,4,9,75,4.330733340286331,0,0,5,5,21,3.091042453358316,0,0,1,0,1,0,13,0,3,0,614.25
7,4,38,3.6635616461296463,1,2,3,3,8,15,2.772588722239781,0,0,1,5,38,3.6635616461296463,1,2,3,3,8,0,20,6,1,1,216.6
4,0,29,3.4011973816621555,0,2,4,1,9,40,3.713572066704308,1,1,5,0,27,3.332204510175204,0,0,2,6,7,2,15,0,1,0,313.2
6,6,23,3.1780538303479458,0,2,3,2,3,125,4.836281906951478,0,2,6,5,21,3.091042453358316,0,0,1,0,1,2,21,4,1,0,603.75
7,7,7,2.0794415416798357,0,1,2,0,7,80,4.394449154672439,1,2,3,0,28,3.367295829986474,1,1,3,0,8,1,5,0,1,1,156.8
6,4,12,2.5649493574615367,1,0,2,5,2,10,2.3978952727983707,1,1,3,0,33,3.5263605246161616,0,0,3,5,3,0,35,1,1,0,39.6
3,5,31,3.4657359027997265,0,1,1,3,1,75,4.330733340286331,0,0,5,5,5,1.791759469228055,0,2,0,5,5,1,9,5,1,1,116.25
1,0,13,2.6390573296152584,0,1,3,6,3,25,3.258096538021482,0,1,4,5,24,3.2188758248682006,1,0,4,3,4,0,18,5,1,0,78.0
1,1,14,2.70805020110221,1,2,4,0,4,20,3.044522437723423,1,2,6,0,14,2.70805020110221,1,2,4,0,4,2,29,3,2,1,39.2
0,3,7,2.0794415416798357,0,1,2,0,7,200,5.303304908059076,1,2,4,0,11,2.4849066497880004,0,2,1,4,1,1,25,2,1,0,154.0
3,4,11,2.4849066497880004,0,2,1,4,1,80,4.394449154672439,1,2,3,0,16,2.833213344056216,1,1,1,2,6,2,38,6,1,1,140.8
1,0,16,2.833213344056216,1,1,1,2,6,200,5.303304908059076,1,2,4,0,34,3.5553480614894135,1,1,4,6,4,1,25,0,2,0,1088.0
3,1,22,3.1354942159291497,1,1,2,1,2,200,5.303304908059076,1,2,4,0,16,2.833213344056216,1,1,1,2,6,0,0,1,2,0,704.0
1,1,39,3.6888794541139363,0,0,4,4,9,200,5.303304908059076,1,2,4,0,30,3.4339872044851463,1,0,0,2,0,2,37,6,1,0,2340.0
7,4,27,3.332204510175204,0,0,2,6,7,80,4.394449154672439,1,2,3,0,33,3.5263605246161616,0,0,3,5,3,0,36,2,1,0,712.8
5,2,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,5,5,35,3.58351893845611,0,2,0,0,5,2,33,4,1,1,29.75
3,7,36,3.6109179126442243,1,0,1,1,6,80,4.394449154672439,1,2,3,0,21,3.091042453358316,0,0,1,0,1,0,36,4,1,0,604.8
1,5,7,2.0794415416798357,0,1,2,0,7,100,4.61512051684126,1,1,2,0,29,3.4011973816621555,0,2,4,1,9,0,30,3,1,0,203.0
2,7,32,3.4965075614664802,1,2,2,4,2,40,3.713572066704308,1,1,5,0,15,2.772588722239781,0,0,0,1,5,0,10,6,1,0,192.0
2,7,28,3.367295829986474,1,1,3,0,8,100,4.61512051684126,1,1,2,0,8,2.1972245773362196,1,2,3,1,8,0,30,3,4,0,224.0
