slot_buyer_name,slot_item1_name,slot_item2_name,slot_item3_name,slot_n_item1,slot_n_item1_abs_log1p,slot_n_item1_is_even,slot_n_item1_mod3,slot_n_item1_mod5,slot_n_item1_mod7,slot_n_item1_mod10,slot_n_item2,slot_n_item2_abs_log1p,slot_n_item2_is_even,slot_n_item2_mod3,slot_n_item2_mod5,slot_n_item2_mod7,slot_n_item2_mod10,slot_item3_per_item1,slot_item3_per_item1_abs_log1p,slot_item3_per_item1_is_even,slot_item3_per_item1_mod3,slot_item3_per_item1_mod5,slot_item3_per_item1_mod7,slot_item3_per_item1_mod10,slot_cost_item1,slot_cost_item1_abs_log1p,slot_cost_item1_mod3,slot_cost_item1_mod7,slot_ratio_num,slot_ratio_num_abs_log1p,slot_ratio_num_is_even,slot_ratio_num_mod3,slot_ratio_num_mod5,slot_ratio_num_mod7,slot_ratio_num_mod10,slot_ratio_den,slot_ratio_den_abs_log1p,slot_ratio_den_is_even,slot_ratio_den_mod3,slot_ratio_den_mod5,slot_ratio_den_mod7,slot_ratio_den_mod10,slot_cost_item3,slot_cost_item3_abs_log1p,slot_cost_item3_is_even,slot_cost_item3_mod3,slot_cost_item3_mod7,slot_cost_item3_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
5,5,5,5,6,1.9459101490553132,1,0,1,6,6,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,1440,7.273092595999522,0,5,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,145,4.983606621708336,0,1,5,5,1,1,7,21480.0
4,1,1,1,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2400,7.783640596221253,0,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,70,4.2626798770413155,1,1,0,0,0,1,17,78900.0
6,0,0,0,13,2.6390573296152584,0,1,3,6,3,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,2400,7.783640596221253,0,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,100,4.61512051684126,1,1,2,0,1,1,11,47920.0
5,0,0,0,25,3.258096538021482,0,1,0,4,5,19,2.995732273553991,0,1,4,5,9,6,1.9459101490553132,1,0,1,6,6,2700,7.901377353792616,0,5,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,20,3.044522437723423,1,2,6,0,2,1,4,116100.0
8,3,3,3,13,2.6390573296152584,0,1,3,6,3,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,10400,9.249657234353133,2,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,90,4.51085950651685,1,0,6,0,1,1,13,190710.0
8,6,6,6,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,340,5.831882477283517,1,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,240,5.484796933490655,1,0,2,0,0,1,14,13370.0
4,1,1,1,13,2.6390573296152584,0,1,3,6,3,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,1600,7.3783837129967145,1,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,70,4.2626798770413155,1,1,0,0,1,1,12,35640.0
7,4,4,4,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,7840,8.967121656230923,1,0,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,6,0,0,1,10,90280.0
8,3,3,3,8,2.1972245773362196,1,2,3,1,8,27,3.332204510175204,0,0,2,6,7,2,1.0986122886681098,1,2,2,2,2,2820,7.944846711001996,0,6,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,95,4.564348191467836,0,2,4,5,1,1,7,74840.0
2,3,3,3,19,2.995732273553991,0,1,4,5,9,21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,1080,6.985641817639208,0,2,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,330,5.802118375377063,1,0,1,0,3,1,10,55650.0
3,0,0,0,25,3.258096538021482,0,1,0,4,5,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,3100,8.03947991910045,1,6,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,185,5.225746673713202,0,2,3,5,0,1,7,97600.0
5,3,3,3,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1120,7.02197642307216,1,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,70,4.2626798770413155,1,1,0,0,2,1,8,17500.0
1,0,0,0,26,3.295836866004329,1,2,1,5,6,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,2040,7.621195162809845,0,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,190,5.25227342804663,1,1,1,0,3,1,13,78060.0
8,5,5,5,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1440,7.273092595999522,0,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,55,4.02535169073515,0,1,6,5,2,1,9,17185.0
5,6,6,6,21,3.091042453358316,0,0,1,0,1,23,3.1780538303479458,0,2,3,2,3,4,1.6094379124341003,1,1,4,4,4,3900,8.268988209506656,0,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,180,5.198497031265826,1,0,5,0,1,1,8,126920.0
7,5,5,5,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,14700,9.595670797663967,0,0,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,390,5.968707559985366,1,0,5,0,2,1,6,363600.0
5,0,0,0,26,3.295836866004329,1,2,1,5,6,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,14700,9.595670797663967,0,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,2,0,0,1,11,580540.0
8,4,4,4,16,2.833213344056216,1,1,1,2,6,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1440,7.273092595999522,0,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,1,13,30400.0
8,1,1,1,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1800,7.496097345175956,0,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,200,5.303304908059076,1,2,4,0,2,1,14,65100.0
8,4,4,4,30,3.4339872044851463,1,0,0,2,0,29,3.4011973816621555,0,2,4,1,9,6,1.9459101490553132,1,0,1,6,6,3600,8.188966863648876,0,2,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,280,5.638354669333745,1,1,0,0,2,1,8,236700.0
1,0,0,0,28,3.367295829986474,1,1,3,0,8,29,3.4011973816621555,0,2,4,1,9,4,1.6094379124341003,1,1,4,4,4,21200,9.961803629358965,2,4,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,105,4.663439094112067,0,0,0,5,1,1,10,682210.0
0,3,3,3,9,2.302585092994046,0,0,4,2,9,22,3.1354942159291497,1,1,2,1,2,5,1.791759469228055,0,2,0,5,5,11800,9.375939552625749,1,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,165,5.111987788356544,0,0,4,5,0,1,10,243425.0
2,6,6,6,14,2.70805020110221,1,2,4,0,4,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,1000,6.90875477931522,1,6,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,190,5.25227342804663,1,1,1,0,2,1,8,28660.0
4,5,5,5,27,3.332204510175204,0,0,2,6,7,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,2250,7.719129840906732,0,3,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,220,5.3981627015177525,1,1,3,0,3,1,13,86130.0
3,4,4,4,19,2.995732273553991,0,1,4,5,9,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,340,5.831882477283517,1,4,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,380,5.942799375126701,1,2,2,0,2,1,4,52330.0
0,4,4,4,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,1280,7.155396301896734,2,6,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,25,3.258096538021482,0,1,4,5,0,1,6,18350.0
5,6,6,6,28,3.367295829986474,1,1,3,0,8,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,960,6.8679744089702925,0,1,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,185,5.225746673713202,0,2,3,5,0,1,11,35900.0
1,0,0,0,17,2.8903717578961645,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,25800,10.158168529848494,0,5,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,180,5.198497031265826,1,0,5,0,1,1,9,533780.0
9,4,4,4,24,3.2188758248682006,1,0,4,3,4,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,10850,9.292012520620208,2,0,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,380,5.942799375126701,1,2,2,0,3,1,4,408120.0
6,4,4,4,3,1.3862943611198906,0,0,3,3,3,29,3.4011973816621555,0,2,4,1,9,4,1.6094379124341003,1,1,4,4,4,900,6.803505257608338,0,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,80,4.394449154672439,1,2,3,0,0,1,8,21060.0
1,6,6,6,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,2560,7.848153086199526,1,5,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,35,3.58351893845611,0,2,0,5,3,1,6,80525.0
2,0,0,0,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,12250,9.41336284529417,1,0,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,140,4.948759890378168,1,2,0,0,3,1,9,132860.0
4,3,3,3,25,3.258096538021482,0,1,0,4,5,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,4230,8.350193650720067,0,2,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,270,5.602118820879701,1,0,4,0,0,1,10,155650.0
5,1,1,1,30,3.4339872044851463,1,0,0,2,0,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,2820,7.944846711001996,0,6,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,150,5.017279836814924,1,0,3,0,2,1,18,150000.0
2,0,0,0,22,3.1354942159291497,1,1,2,1,2,27,3.332204510175204,0,0,2,6,7,2,1.0986122886681098,1,2,2,2,2,1750,7.467942332285852,1,0,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,60,4.110873864173311,1,0,4,0,0,1,6,81640.0
9,2,2,2,11,2.4849066497880004,0,2,1,4,1,28,3.367295829986474,1,1,3,0,8,6,1.9459101490553132,1,0,1,6,6,2240,7.714677473800927,2,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,1,1,10,42300.0
5,6,6,6,15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,0,1,6,6,600,6.398594934535208,0,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,260,5.564520407322694,1,2,1,0,3,1,11,35700.0
2,1,1,1,10,2.3978952727983707,1,1,0,3,0,22,3.1354942159291497,1,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,6300,8.748463629942055,0,0,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,310,5.739792912179234,1,1,2,0,3,1,4,204800.0
5,5,5,5,19,2.995732273553991,0,1,4,5,9,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,7420,8.912069097970134,1,0,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,35,3.58351893845611,0,2,0,5,3,1,6,206575.0
8,2,2,2,26,3.295836866004329,1,2,1,5,6,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2100,7.650168700845001,0,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,2,0,1,1,18,62460.0
8,0,0,0,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,10800,9.287394001418473,0,6,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,200,5.303304908059076,1,2,4,0,2,1,11,134400.0
4,2,2,2,22,3.1354942159291497,1,1,2,1,2,29,3.4011973816621555,0,2,4,1,9,5,1.791759469228055,0,2,0,5,5,1020,6.928537818164665,0,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,380,5.942799375126701,1,2,2,0,2,1,6,83960.0
8,3,3,3,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,6300,8.748463629942055,0,0,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,40,3.713572066704308,1,1,5,0,1,1,15,152500.0
1,3,3,3,12,2.5649493574615367,1,0,2,5,2,29,3.4011973816621555,0,2,4,1,9,1,0.6931471805599453,0,1,1,1,1,5880,8.679482094459956,0,0,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,2,0,2,1,16,99340.0
1,4,4,4,4,1.6094379124341003,1,1,4,4,4,28,3.367295829986474,1,1,3,0,8,5,1.791759469228055,0,2,0,5,5,1920,7.560601162768557,0,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,260,5.564520407322694,1,2,1,0,2,1,15,39760.0
9,0,0,0,12,2.5649493574615367,1,0,2,5,2,23,3.1780538303479458,0,2,3,2,3,3,1.3862943611198906,0,0,3,3,3,4230,8.350193650720067,0,2,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,70,4.2626798770413155,1,1,0,0,2,1,6,107330.0
7,1,1,1,7,2.0794415416798357,0,1,2,0,7,29,3.4011973816621555,0,2,4,1,9,2,1.0986122886681098,1,2,2,2,2,3000,8.006700845440367,0,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,6,0,1,1,7,79280.0
0,0,0,0,24,3.2188758248682006,1,0,4,3,4,17,2.8903717578961645,0,2,2,3,7,6,1.9459101490553132,1,0,1,6,6,3000,8.006700845440367,0,4,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,90,4.51085950651685,1,0,6,0,2,1,14,101960.0
