slot_person_name,slot_item,slot_container_singular,slot_container_plural,slot_servings_per_container,slot_servings_per_container_abs_log1p,slot_servings_per_container_is_even,slot_servings_per_container_mod3,slot_servings_per_container_mod5,slot_servings_per_container_mod7,slot_servings_per_container_mod10,slot_servings_per_day,slot_servings_per_day_abs_log1p,slot_servings_per_day_is_even,slot_servings_per_day_mod3,slot_servings_per_day_mod5,slot_servings_per_day_mod7,slot_servings_per_day_mod10,slot_days,slot_days_abs_log1p,slot_days_is_even,slot_days_mod3,slot_days_mod5,slot_days_mod7,slot_days_mod10,slot_price_per_container,slot_price_per_container_abs_log1p,slot_price_per_container_is_even,slot_price_per_container_mod3,slot_price_per_container_mod5,slot_price_per_container_mod7,slot_price_per_container_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
7,4,4,4,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,171,5.147494476813453,0,0,1,3,1,7,2.0794415416798357,0,1,2,0,7,0,1,1,133.0
6,4,6,6,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,44,3.8066624897703196,1,2,4,2,4,14,2.70805020110221,1,2,4,0,4,0,1,2,224.0
1,5,3,3,34,3.5553480614894135,1,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,136,4.919980925828125,1,1,1,3,6,9,2.302585092994046,0,0,4,2,9,1,1,2,108.0
7,6,0,0,23,3.1780538303479458,0,2,3,2,3,1,0.6931471805599453,0,1,1,1,1,115,4.7535901911063645,0,1,0,3,5,11,2.4849066497880004,0,2,1,4,1,1,1,4,55.0
0,4,2,2,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,65,4.189654742026425,0,2,0,2,5,7,2.0794415416798357,0,1,2,0,7,1,1,1,140.0
0,3,2,2,34,3.5553480614894135,1,1,4,6,4,2,1.0986122886681098,1,2,2,2,2,153,5.0369526024136295,0,0,3,6,3,5,1.791759469228055,0,2,0,5,5,1,1,1,45.0
8,4,1,1,26,3.295836866004329,1,2,1,5,6,1,0.6931471805599453,0,1,1,1,1,52,3.970291913552122,1,1,2,3,2,3,1.3862943611198906,0,0,3,3,3,0,1,4,6.0
6,4,5,5,34,3.5553480614894135,1,1,4,6,4,2,1.0986122886681098,1,2,2,2,2,34,3.5553480614894135,1,1,4,6,4,2,1.0986122886681098,1,2,2,2,2,2,2,6,4.0
5,4,7,7,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,39,3.6888794541139363,0,0,4,4,9,9,2.302585092994046,0,0,4,2,9,1,1,1,108.0
3,4,1,1,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,1,2,6,4.0
3,2,3,3,31,3.4657359027997265,0,1,1,3,1,2,1.0986122886681098,1,2,2,2,2,31,3.4657359027997265,0,1,1,3,1,6,1.9459101490553132,1,0,1,6,6,2,1,2,12.0
0,7,0,0,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,117,4.770684624465665,0,0,2,5,7,9,2.302585092994046,0,0,4,2,9,1,1,2,54.0
0,6,4,4,31,3.4657359027997265,0,1,1,3,1,1,0.6931471805599453,0,1,1,1,1,93,4.543294782270004,0,0,3,2,3,12,2.5649493574615367,1,0,2,5,2,0,1,4,36.0
6,8,6,6,23,3.1780538303479458,0,2,3,2,3,4,1.6094379124341003,1,1,4,4,4,69,4.248495242049359,0,0,4,6,9,8,2.1972245773362196,1,2,3,1,8,0,1,2,96.0
0,9,8,8,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,44,3.8066624897703196,1,2,4,2,4,14,2.70805020110221,1,2,4,0,4,1,1,1,280.0
7,5,1,1,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,75,4.330733340286331,0,0,0,5,5,14,2.70805020110221,1,2,4,0,4,2,1,2,70.0
0,3,7,7,17,2.8903717578961645,0,2,2,3,7,2,1.0986122886681098,1,2,2,2,2,34,3.5553480614894135,1,1,4,6,4,10,2.3978952727983707,1,1,0,3,0,2,1,3,40.0
5,8,1,1,26,3.295836866004329,1,2,1,5,6,1,0.6931471805599453,0,1,1,1,1,104,4.653960350157523,1,2,4,6,4,14,2.70805020110221,1,2,4,0,4,0,1,4,56.0
7,0,0,0,19,2.995732273553991,0,1,4,5,9,1,0.6931471805599453,0,1,1,1,1,38,3.6635616461296463,1,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,1,1,4,16.0
0,8,5,5,33,3.5263605246161616,0,0,3,5,3,2,1.0986122886681098,1,2,2,2,2,165,5.111987788356544,0,0,0,4,5,2,1.0986122886681098,1,2,2,2,2,1,1,2,20.0
1,7,5,5,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,78,4.3694478524670215,1,0,3,1,8,13,2.6390573296152584,0,1,3,6,3,2,1,2,169.0
4,5,7,7,23,3.1780538303479458,0,2,3,2,3,2,1.0986122886681098,1,2,2,2,2,138,4.9344739331306915,1,0,3,5,8,3,1.3862943611198906,0,0,3,3,3,2,1,3,36.0
2,3,8,8,17,2.8903717578961645,0,2,2,3,7,1,0.6931471805599453,0,1,1,1,1,102,4.634728988229636,1,0,2,4,2,7,2.0794415416798357,0,1,2,0,7,0,1,4,42.0
9,2,8,8,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,77,4.356708826689592,0,2,2,0,7,10,2.3978952727983707,1,1,0,3,0,0,1,4,110.0
5,9,7,7,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,39,3.6888794541139363,0,0,4,4,9,14,2.70805020110221,1,2,4,0,4,0,1,2,28.0
2,0,2,2,41,3.7376696182833684,0,2,1,6,1,4,1.6094379124341003,1,1,4,4,4,82,4.418840607796598,1,1,2,5,2,5,1.791759469228055,0,2,0,5,5,1,1,1,40.0
1,6,7,7,38,3.6635616461296463,1,2,3,3,8,3,1.3862943611198906,0,0,3,3,3,76,4.343805421853684,1,1,1,6,6,10,2.3978952727983707,1,1,0,3,0,2,1,1,60.0
0,8,5,5,23,3.1780538303479458,0,2,3,2,3,3,1.3862943611198906,0,0,3,3,3,115,4.7535901911063645,0,1,0,3,5,3,1.3862943611198906,0,0,3,3,3,1,1,2,45.0
5,2,1,1,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,33,3.5263605246161616,0,0,3,5,3,14,2.70805020110221,1,2,4,0,4,1,1,1,154.0
1,8,5,5,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,55,4.02535169073515,0,1,0,6,5,13,2.6390573296152584,0,1,3,6,3,0,1,1,143.0
8,5,6,6,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,156,5.056245805348308,1,0,1,2,6,12,2.5649493574615367,1,0,2,5,2,2,2,5,156.0
8,7,2,2,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,112,4.727387818712341,1,1,2,0,2,7,2.0794415416798357,0,1,2,0,7,2,1,3,112.0
5,6,0,0,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,175,5.170483995038151,0,1,0,0,5,15,2.772588722239781,0,0,0,1,5,0,1,1,210.0
1,9,4,4,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,100,4.61512051684126,1,1,0,2,0,4,1.6094379124341003,1,1,4,4,4,0,1,4,80.0
2,1,7,7,44,3.8066624897703196,1,2,4,2,4,5,1.791759469228055,0,2,0,5,5,176,5.176149732573829,1,2,1,1,6,9,2.302585092994046,0,0,4,2,9,0,1,1,180.0
2,5,1,1,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,75,4.330733340286331,0,0,0,5,5,11,2.4849066497880004,0,2,1,4,1,1,1,3,165.0
4,2,5,5,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,78,4.3694478524670215,1,0,3,1,8,3,1.3862943611198906,0,0,3,3,3,2,1,4,39.0
0,4,3,3,43,3.784189633918261,0,1,3,1,3,3,1.3862943611198906,0,0,3,3,3,43,3.784189633918261,0,1,3,1,3,9,2.302585092994046,0,0,4,2,9,1,1,2,27.0
0,5,5,5,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,0,1,0,13,2.6390573296152584,0,1,3,6,3,0,1,1,39.0
6,9,7,7,41,3.7376696182833684,0,2,1,6,1,3,1.3862943611198906,0,0,3,3,3,82,4.418840607796598,1,1,2,5,2,12,2.5649493574615367,1,0,2,5,2,0,1,2,72.0
4,6,3,3,32,3.4965075614664802,1,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,64,4.174387269895637,1,1,4,1,4,6,1.9459101490553132,1,0,1,6,6,0,2,3,48.0
6,6,5,5,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,162,5.093750200806762,1,0,2,1,2,8,2.1972245773362196,1,2,3,1,8,2,2,4,144.0
7,1,4,4,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,2,2,2,2,133,4.897839799950911,0,1,3,0,3,7,2.0794415416798357,0,1,2,0,7,0,1,2,49.0
7,2,3,3,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,75,4.330733340286331,0,0,0,5,5,8,2.1972245773362196,1,2,3,1,8,2,1,3,120.0
9,6,1,1,43,3.784189633918261,0,1,3,1,3,3,1.3862943611198906,0,0,3,3,3,43,3.784189633918261,0,1,3,1,3,12,2.5649493574615367,1,0,2,5,2,2,1,2,36.0
5,0,6,6,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,77,4.356708826689592,0,2,2,0,7,4,1.6094379124341003,1,1,4,4,4,0,1,4,44.0
4,7,1,1,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,52,3.970291913552122,1,1,2,3,2,13,2.6390573296152584,0,1,3,6,3,2,1,3,169.0
8,2,8,8,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,38,3.6635616461296463,1,2,3,3,8,5,1.791759469228055,0,2,0,5,5,1,1,2,50.0
0,9,3,3,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,88,4.48863636973214,1,1,3,4,8,6,1.9459101490553132,1,0,1,6,6,2,1,3,96.0
4,4,6,6,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,0,1,0,13,2.6390573296152584,0,1,3,6,3,1,1,1,65.0
9,4,8,8,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,91,4.5217885770490405,0,1,1,0,1,8,2.1972245773362196,1,2,3,1,8,1,1,2,112.0
5,9,3,3,35,3.58351893845611,0,2,0,0,5,1,0.6931471805599453,0,1,1,1,1,140,4.948759890378168,1,2,0,0,0,11,2.4849066497880004,0,2,1,4,1,2,1,4,44.0
3,2,4,4,42,3.7612001156935624,1,0,2,0,2,3,1.3862943611198906,0,0,3,3,3,140,4.948759890378168,1,2,0,0,0,4,1.6094379124341003,1,1,4,4,4,2,1,2,40.0
1,3,5,5,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,38,3.6635616461296463,1,2,3,3,8,15,2.772588722239781,0,0,0,1,5,1,1,2,60.0
0,5,1,1,32,3.4965075614664802,1,2,2,4,2,1,0.6931471805599453,0,1,1,1,1,160,5.081404364984463,1,1,0,6,0,8,2.1972245773362196,1,2,3,1,8,1,1,6,40.0
9,5,8,8,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,60,4.110873864173311,1,0,0,4,0,12,2.5649493574615367,1,0,2,5,2,2,1,4,216.0
4,8,6,6,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,45,3.828641396489095,0,0,0,3,5,11,2.4849066497880004,0,2,1,4,1,0,1,4,55.0
7,2,7,7,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,60,4.110873864173311,1,0,0,4,0,8,2.1972245773362196,1,2,3,1,8,2,1,4,48.0
2,9,2,2,32,3.4965075614664802,1,2,2,4,2,1,0.6931471805599453,0,1,1,1,1,128,4.859812404361672,1,2,3,2,8,14,2.70805020110221,1,2,4,0,4,2,1,4,56.0
3,7,7,7,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,2,1,3,33.0
5,5,2,2,29,3.4011973816621555,0,2,4,1,9,3,1.3862943611198906,0,0,3,3,3,145,4.983606621708336,0,1,0,5,5,9,2.302585092994046,0,0,4,2,9,1,1,2,135.0
9,2,1,1,44,3.8066624897703196,1,2,4,2,4,3,1.3862943611198906,0,0,3,3,3,176,5.176149732573829,1,2,1,1,6,14,2.70805020110221,1,2,4,0,4,1,1,1,168.0
4,8,1,1,35,3.58351893845611,0,2,0,0,5,1,0.6931471805599453,0,1,1,1,1,175,5.170483995038151,0,1,0,0,5,3,1.3862943611198906,0,0,3,3,3,1,1,4,15.0
6,9,5,5,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,70,4.2626798770413155,1,1,0,0,0,14,2.70805020110221,1,2,4,0,4,1,1,2,84.0
8,9,6,6,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,52,3.970291913552122,1,1,2,3,2,4,1.6094379124341003,1,1,4,4,4,1,1,3,52.0
1,0,8,8,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,135,4.912654885736052,0,0,0,2,5,12,2.5649493574615367,1,0,2,5,2,2,1,2,180.0
7,4,8,8,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,38,3.6635616461296463,1,2,3,3,8,9,2.302585092994046,0,0,4,2,9,2,1,2,36.0
3,6,1,1,44,3.8066624897703196,1,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,132,4.890349128221754,1,0,2,6,2,11,2.4849066497880004,0,2,1,4,1,0,1,5,132.0
2,0,1,1,43,3.784189633918261,0,1,3,1,3,3,1.3862943611198906,0,0,3,3,3,172,5.153291594497779,1,1,2,4,2,10,2.3978952727983707,1,1,0,3,0,2,1,1,120.0
7,5,3,3,26,3.295836866004329,1,2,1,5,6,1,0.6931471805599453,0,1,1,1,1,156,5.056245805348308,1,0,1,2,6,2,1.0986122886681098,1,2,2,2,2,0,1,6,12.0
0,6,6,6,32,3.4965075614664802,1,2,2,4,2,1,0.6931471805599453,0,1,1,1,1,160,5.081404364984463,1,1,0,6,0,11,2.4849066497880004,0,2,1,4,1,1,1,4,55.0
4,5,6,6,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,76,4.343805421853684,1,1,1,6,6,13,2.6390573296152584,0,1,3,6,3,2,1,2,247.0
3,8,1,1,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,48,3.8918202981106265,1,0,3,6,8,3,1.3862943611198906,0,0,3,3,3,1,1,2,36.0
6,3,6,6,47,3.871201010907891,0,2,2,5,7,3,1.3862943611198906,0,0,3,3,3,141,4.955827057601261,0,0,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,1,2,18.0
8,8,0,0,43,3.784189633918261,0,1,3,1,3,5,1.791759469228055,0,2,0,5,5,129,4.867534450455582,0,0,4,3,9,3,1.3862943611198906,0,0,3,3,3,2,1,2,45.0
8,9,6,6,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,144,4.976733742420574,1,0,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,3,6,72.0
6,2,7,7,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,112,4.727387818712341,1,1,2,0,2,9,2.302585092994046,0,0,4,2,9,0,1,1,144.0
0,8,0,0,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,160,5.081404364984463,1,1,0,6,0,9,2.302585092994046,0,0,4,2,9,0,1,3,144.0
9,5,0,0,39,3.6888794541139363,0,0,4,4,9,3,1.3862943611198906,0,0,3,3,3,104,4.653960350157523,1,2,4,6,4,7,2.0794415416798357,0,1,2,0,7,0,1,1,56.0
3,8,1,1,42,3.7612001156935624,1,0,2,0,2,4,1.6094379124341003,1,1,4,4,4,84,4.442651256490317,1,0,4,0,4,4,1.6094379124341003,1,1,4,4,4,0,2,4,32.0
9,3,3,3,27,3.332204510175204,0,0,2,6,7,5,1.791759469228055,0,2,0,5,5,108,4.6913478822291435,1,0,3,3,8,15,2.772588722239781,0,0,0,1,5,1,1,2,300.0
0,5,5,5,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,150,5.017279836814924,1,0,0,3,0,9,2.302585092994046,0,0,4,2,9,2,1,1,180.0
0,0,4,4,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,48,3.8918202981106265,1,0,3,6,8,15,2.772588722239781,0,0,0,1,5,2,1,3,60.0
3,2,4,4,34,3.5553480614894135,1,1,4,6,4,1,0.6931471805599453,0,1,1,1,1,68,4.23410650459726,1,2,3,5,8,4,1.6094379124341003,1,1,4,4,4,0,1,5,8.0
0,2,4,4,29,3.4011973816621555,0,2,4,1,9,3,1.3862943611198906,0,0,3,3,3,58,4.07753744390572,1,1,3,2,8,13,2.6390573296152584,0,1,3,6,3,2,1,1,78.0
2,9,7,7,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,160,5.081404364984463,1,1,0,6,0,12,2.5649493574615367,1,0,2,5,2,1,1,4,120.0
5,8,1,1,34,3.5553480614894135,1,1,4,6,4,1,0.6931471805599453,0,1,1,1,1,102,4.634728988229636,1,0,2,4,2,15,2.772588722239781,0,0,0,1,5,0,1,4,45.0
1,2,0,0,36,3.6109179126442243,1,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,126,4.844187086458591,1,0,1,0,6,9,2.302585092994046,0,0,4,2,9,0,1,3,126.0
8,9,2,2,34,3.5553480614894135,1,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,102,4.634728988229636,1,0,2,4,2,15,2.772588722239781,0,0,0,1,5,0,1,3,135.0
0,3,5,5,31,3.4657359027997265,0,1,1,3,1,3,1.3862943611198906,0,0,3,3,3,31,3.4657359027997265,0,1,1,3,1,3,1.3862943611198906,0,0,3,3,3,2,1,2,9.0
4,5,4,4,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,0,5,0,11,2.4849066497880004,0,2,1,4,1,2,1,2,55.0
4,1,1,1,43,3.784189633918261,0,1,3,1,3,5,1.791759469228055,0,2,0,5,5,129,4.867534450455582,0,0,4,3,9,13,2.6390573296152584,0,1,3,6,3,1,1,1,195.0
1,0,0,0,43,3.784189633918261,0,1,3,1,3,2,1.0986122886681098,1,2,2,2,2,172,5.153291594497779,1,1,2,4,2,2,1.0986122886681098,1,2,2,2,2,1,1,4,16.0
2,0,4,4,26,3.295836866004329,1,2,1,5,6,4,1.6094379124341003,1,1,4,4,4,104,4.653960350157523,1,2,4,6,4,3,1.3862943611198906,0,0,3,3,3,0,1,2,48.0
0,6,1,1,42,3.7612001156935624,1,0,2,0,2,4,1.6094379124341003,1,1,4,4,4,63,4.1588830833596715,0,0,3,0,3,14,2.70805020110221,1,2,4,0,4,0,1,1,84.0
4,3,7,7,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,77,4.356708826689592,0,2,2,0,7,15,2.772588722239781,0,0,0,1,5,2,1,2,165.0
6,8,8,8,27,3.332204510175204,0,0,2,6,7,3,1.3862943611198906,0,0,3,3,3,117,4.770684624465665,0,0,2,5,7,11,2.4849066497880004,0,2,1,4,1,1,1,2,143.0
9,8,6,6,24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,120,4.795790545596741,1,0,0,1,0,2,1.0986122886681098,1,2,2,2,2,1,2,6,40.0
4,4,4,4,27,3.332204510175204,0,0,2,6,7,1,0.6931471805599453,0,1,1,1,1,162,5.093750200806762,1,0,2,1,2,2,1.0986122886681098,1,2,2,2,2,0,1,5,12.0
1,8,7,7,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,36,3.6109179126442243,1,0,1,1,6,7,2.0794415416798357,0,1,2,0,7,2,1,1,140.0
3,7,0,0,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,0,5,0,15,2.772588722239781,0,0,0,1,5,2,1,2,75.0
2,5,2,2,33,3.5263605246161616,0,0,3,5,3,4,1.6094379124341003,1,1,4,4,4,132,4.890349128221754,1,0,2,6,2,14,2.70805020110221,1,2,4,0,4,2,1,2,224.0
4,6,3,3,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,72,4.290459441148391,1,0,2,2,2,13,2.6390573296152584,0,1,3,6,3,0,1,3,78.0
7,4,5,5,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,76,4.343805421853684,1,1,1,6,6,5,1.791759469228055,0,2,0,5,5,2,1,2,40.0
7,9,8,8,36,3.6109179126442243,1,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,162,5.093750200806762,1,0,2,1,2,2,1.0986122886681098,1,2,2,2,2,2,2,4,36.0
7,3,0,0,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,64,4.174387269895637,1,1,4,1,4,2,1.0986122886681098,1,2,2,2,2,0,1,3,16.0
6,6,5,5,23,3.1780538303479458,0,2,3,2,3,3,1.3862943611198906,0,0,3,3,3,69,4.248495242049359,0,0,4,6,9,3,1.3862943611198906,0,0,3,3,3,1,1,4,27.0
8,5,6,6,45,3.828641396489095,0,0,0,3,5,2,1.0986122886681098,1,2,2,2,2,180,5.198497031265826,1,0,0,5,0,7,2.0794415416798357,0,1,2,0,7,0,1,2,56.0
6,5,1,1,33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,99,4.605170185988092,0,0,4,1,9,7,2.0794415416798357,0,1,2,0,7,0,1,3,63.0
2,4,1,1,22,3.1354942159291497,1,1,2,1,2,4,1.6094379124341003,1,1,4,4,4,66,4.204692619390966,1,0,1,3,6,13,2.6390573296152584,0,1,3,6,3,2,1,1,156.0
9,1,5,5,31,3.4657359027997265,0,1,1,3,1,3,1.3862943611198906,0,0,3,3,3,93,4.543294782270004,0,0,3,2,3,4,1.6094379124341003,1,1,4,4,4,2,1,2,36.0
9,9,6,6,37,3.6375861597263857,0,1,2,2,7,1,0.6931471805599453,0,1,1,1,1,111,4.718498871295094,0,0,1,6,1,15,2.772588722239781,0,0,0,1,5,0,1,4,45.0
0,0,0,0,37,3.6375861597263857,0,1,2,2,7,3,1.3862943611198906,0,0,3,3,3,37,3.6375861597263857,0,1,2,2,7,6,1.9459101490553132,1,0,1,6,6,0,1,2,18.0
1,2,6,6,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,136,4.919980925828125,1,1,1,3,6,15,2.772588722239781,0,0,0,1,5,2,1,2,255.0
5,4,5,5,41,3.7376696182833684,0,2,1,6,1,5,1.791759469228055,0,2,0,5,5,164,5.10594547390058,1,2,4,3,4,12,2.5649493574615367,1,0,2,5,2,0,1,1,240.0
3,3,2,2,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,2,2,2,2,171,5.147494476813453,0,0,1,3,1,9,2.302585092994046,0,0,4,2,9,1,1,2,81.0
5,8,6,6,17,2.8903717578961645,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,68,4.23410650459726,1,2,3,5,8,4,1.6094379124341003,1,1,4,4,4,2,1,2,48.0
8,9,7,7,29,3.4011973816621555,0,2,4,1,9,4,1.6094379124341003,1,1,4,4,4,58,4.07753744390572,1,1,3,2,8,9,2.302585092994046,0,0,4,2,9,1,1,1,72.0
4,7,5,5,47,3.871201010907891,0,2,2,5,7,4,1.6094379124341003,1,1,4,4,4,141,4.955827057601261,0,0,1,1,1,5,1.791759469228055,0,2,0,5,5,0,1,1,60.0
2,3,8,8,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,125,4.836281906951478,0,2,0,6,5,12,2.5649493574615367,1,0,2,5,2,1,1,1,120.0
2,5,3,3,35,3.58351893845611,0,2,0,0,5,2,1.0986122886681098,1,2,2,2,2,175,5.170483995038151,0,1,0,0,5,12,2.5649493574615367,1,0,2,5,2,1,1,2,120.0
