slot_person_name,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_group_size,slot_group_size_abs_log1p,slot_group_size_is_even,slot_group_size_mod3,slot_group_size_mod5,slot_group_size_mod7,slot_group_size_mod10,slot_container_singular,slot_container_plural,slot_item_singular,slot_item_plural,slot_box_weight_oz,slot_box_weight_oz_abs_log1p,slot_box_weight_oz_is_even,slot_box_weight_oz_mod3,slot_box_weight_oz_mod5,slot_box_weight_oz_mod7,slot_box_weight_oz_mod10,slot_item_weight_oz,slot_item_weight_oz_abs_log1p,slot_item_weight_oz_is_even,slot_item_weight_oz_mod3,slot_item_weight_oz_mod5,slot_item_weight_oz_mod7,slot_item_weight_oz_mod10,gcd_all,n_multiple_pairs,y
7,99,4.605170185988092,0,0,4,1,9,11,2.4849066497880004,0,2,1,4,1,2,2,8,8,14,2.70805020110221,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,1,5,14.06
3,250,5.5254529391317835,1,1,0,5,0,10,2.3978952727983707,1,1,0,3,0,5,5,5,5,23,3.1780538303479458,0,2,3,2,3,2,1.0986122886681098,1,2,2,2,2,1,4,67.19
1,114,4.74493212836325,1,0,4,2,4,3,1.3862943611198906,0,0,3,3,3,9,9,1,1,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1,5,23.75
3,352,5.8664680569332965,1,1,2,2,2,11,2.4849066497880004,0,2,1,4,1,9,9,4,4,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,1,4,116.0
5,198,5.293304824724492,1,0,3,2,8,6,1.9459101490553132,1,0,1,6,6,8,8,9,9,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,3,68.06
0,380,5.942799375126701,1,2,0,2,0,10,2.3978952727983707,1,1,0,3,0,7,7,2,2,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,5,106.88
5,360,5.8888779583328805,1,0,0,3,0,9,2.302585092994046,0,0,4,2,9,1,1,5,5,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,1,6,90.0
9,240,5.484796933490655,1,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,1,1,3,3,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,1,5,77.5
7,55,4.02535169073515,0,1,0,6,5,11,2.4849066497880004,0,2,1,4,1,6,6,7,7,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,2,15.62
3,140,4.948759890378168,1,2,0,0,0,10,2.3978952727983707,1,1,0,3,0,4,4,8,8,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,1,37.62
7,108,4.6913478822291435,1,0,3,3,8,12,2.5649493574615367,1,0,2,5,2,8,8,5,5,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,3,27.56
9,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,2,2,4,4,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,1,2,29.25
9,260,5.564520407322694,1,2,0,1,0,10,2.3978952727983707,1,1,0,3,0,1,1,9,9,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,2,53.62
9,160,5.081404364984463,1,1,0,6,0,4,1.6094379124341003,1,1,4,4,4,7,7,8,8,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,10,30.0
1,224,5.41610040220442,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,3,3,6,6,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,1,6,54.25
4,96,4.574710978503383,1,0,1,5,6,4,1.6094379124341003,1,1,4,4,4,0,0,5,5,19,2.995732273553991,0,1,4,5,9,1,0.6931471805599453,0,1,1,1,1,1,7,34.5
3,140,4.948759890378168,1,2,0,0,0,5,1.791759469228055,0,2,0,5,5,5,5,5,5,23,3.1780538303479458,0,2,3,2,3,3,1.3862943611198906,0,0,3,3,3,1,1,66.5
4,360,5.8888779583328805,1,0,0,3,0,12,2.5649493574615367,1,0,2,5,2,1,1,2,2,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,1,2,144.38
4,440,6.089044875446846,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,9,9,9,9,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,1,4,165.0
4,176,5.176149732573829,1,2,1,1,6,8,2.1972245773362196,1,2,3,1,8,8,8,8,8,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,1,3,74.25
5,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,9,9,6,6,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,9,2.19
9,232,5.4510384535657,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,6,6,7,7,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,2,77.94
9,200,5.303304908059076,1,2,0,4,0,8,2.1972245773362196,1,2,3,1,8,3,3,0,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,7,64.06
0,112,4.727387818712341,1,1,2,0,2,7,2.0794415416798357,0,1,2,0,7,0,0,4,4,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,1,4,42.0
2,74,4.31748811353631,1,2,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,5,6,6,15,2.772588722239781,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,1,6,39.31
2,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,1,1,6,6,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,8,3.75
4,44,3.8066624897703196,1,2,4,2,4,2,1.0986122886681098,1,2,2,2,2,3,3,9,9,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,1,3,35.75
2,374,5.926926025970411,1,2,4,3,4,11,2.4849066497880004,0,2,1,4,1,2,2,5,5,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,1,1,110.5
7,160,5.081404364984463,1,1,0,6,0,5,1.791759469228055,0,2,0,5,5,8,8,1,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,1,7,40.0
8,33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,0,0,8,8,23,3.1780538303479458,0,2,3,2,3,5,1.791759469228055,0,2,0,5,5,1,1,26.12
1,126,4.844187086458591,1,0,1,0,6,9,2.302585092994046,0,0,4,2,9,4,4,8,8,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,1,5,17.5
9,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,0,0,5,5,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,1,5,18.0
2,396,5.983936280687191,1,0,1,4,6,12,2.5649493574615367,1,0,2,5,2,5,5,1,1,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,1,138.19
9,66,4.204692619390966,1,0,1,3,6,2,1.0986122886681098,1,2,2,2,2,7,7,7,7,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,1,8,16.5
7,65,4.189654742026425,0,2,0,2,5,5,1.791759469228055,0,2,0,5,5,0,0,2,2,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,1,2,31.69
5,250,5.5254529391317835,1,1,0,5,0,10,2.3978952727983707,1,1,0,3,0,6,6,2,2,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,4,50.0
9,32,3.4965075614664802,1,2,2,4,2,2,1.0986122886681098,1,2,2,2,2,5,5,2,2,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,2,7,18.0
6,330,5.802118375377063,1,0,0,1,0,10,2.3978952727983707,1,1,0,3,0,0,0,2,2,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,2,3,107.25
4,96,4.574710978503383,1,0,1,5,6,6,1.9459101490553132,1,0,1,6,6,7,7,3,3,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,1,4,42.0
9,342,5.8377304471659395,1,0,2,6,2,9,2.302585092994046,0,0,4,2,9,3,3,8,8,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,1,4,121.12
5,96,4.574710978503383,1,0,1,5,6,12,2.5649493574615367,1,0,2,5,2,3,3,5,5,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,9,6.5
3,65,4.189654742026425,0,2,0,2,5,5,1.791759469228055,0,2,0,5,5,1,1,7,7,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,2,17.06
3,156,5.056245805348308,1,0,1,2,6,6,1.9459101490553132,1,0,1,6,6,3,3,3,3,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,1,1,71.5
6,248,5.517452896464707,1,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,0,0,6,6,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,4,6,100.75
7,84,4.442651256490317,1,0,4,0,4,3,1.3862943611198906,0,0,3,3,3,5,5,2,2,17,2.8903717578961645,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,1,3,50.75
8,144,4.976733742420574,1,0,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,0,5,5,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,1,5,49.5
1,240,5.484796933490655,1,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,9,9,9,9,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,5,52.5
4,75,4.330733340286331,0,0,0,5,5,5,1.791759469228055,0,2,0,5,5,3,3,6,6,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,1,3,22.5
8,304,5.720311776607412,1,1,4,3,4,8,2.1972245773362196,1,2,3,1,8,6,6,5,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,6,76.0
2,180,5.198497031265826,1,0,0,5,0,5,1.791759469228055,0,2,0,5,5,3,3,0,0,14,2.70805020110221,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,1,5,42.75
1,168,5.1298987149230735,1,0,3,0,8,7,2.0794415416798357,0,1,2,0,7,2,2,7,7,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,2,61.5
3,92,4.532599493153256,1,2,2,1,2,4,1.6094379124341003,1,1,4,4,4,9,9,7,7,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,1,5,41.69
2,185,5.225746673713202,0,2,0,3,5,5,1.791759469228055,0,2,0,5,5,1,1,4,4,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,1,3,50.88
1,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,5,5,2,2,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,6,13.12
0,306,5.726847747587197,1,0,1,5,6,9,2.302585092994046,0,0,4,2,9,6,6,5,5,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,3,68.0
3,26,3.295836866004329,1,2,1,5,6,2,1.0986122886681098,1,2,2,2,2,1,1,3,3,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,4,11.38
8,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,2,2,2,2,0,0,8,8,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,1,4,26.12
4,232,5.4510384535657,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,5,5,1,1,17,2.8903717578961645,0,2,2,3,7,1,0.6931471805599453,0,1,1,1,1,1,6,45.31
0,120,4.795790545596741,1,0,0,1,0,6,1.9459101490553132,1,0,1,6,6,9,9,5,5,21,3.091042453358316,0,0,1,0,1,1,0.6931471805599453,0,1,1,1,1,1,5,33.75
9,84,4.442651256490317,1,0,4,0,4,6,1.9459101490553132,1,0,1,6,6,9,9,9,9,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,6,21.0
8,240,5.484796933490655,1,0,0,2,0,10,2.3978952727983707,1,1,0,3,0,4,4,6,6,23,3.1780538303479458,0,2,3,2,3,4,1.6094379124341003,1,1,4,4,4,1,4,94.5
8,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,5,5,9,9,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,6,4.5
1,90,4.51085950651685,1,0,0,6,0,5,1.791759469228055,0,2,0,5,5,4,4,7,7,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,1,3,40.5
9,96,4.574710978503383,1,0,1,5,6,8,2.1972245773362196,1,2,3,1,8,3,3,6,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,10,24.75
1,120,4.795790545596741,1,0,0,1,0,8,2.1972245773362196,1,2,3,1,8,8,8,0,0,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,2,6,31.88
9,90,4.51085950651685,1,0,0,6,0,10,2.3978952727983707,1,1,0,3,0,4,4,1,1,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,1,2,33.19
3,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,5,5,0,0,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,2,23.75
3,120,4.795790545596741,1,0,0,1,0,4,1.6094379124341003,1,1,4,4,4,0,0,5,5,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,1,3,71.25
3,320,5.771441123130016,1,2,0,5,0,10,2.3978952727983707,1,1,0,3,0,7,7,7,7,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,1,3,78.0
1,154,5.043425116919247,1,1,4,0,4,7,2.0794415416798357,0,1,2,0,7,0,0,0,0,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,6,20.62
9,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,9,9,1,1,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,1,7,5.0
3,128,4.859812404361672,1,2,3,2,8,4,1.6094379124341003,1,1,4,4,4,9,9,2,2,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,1,6,62.0
7,24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,4,4,4,4,22,3.1354942159291497,1,1,2,1,2,4,1.6094379124341003,1,1,4,4,4,2,5,14.25
7,210,5.351858133476067,1,0,0,0,0,10,2.3978952727983707,1,1,0,3,0,8,8,8,8,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,1,3,55.12
2,140,4.948759890378168,1,2,0,0,0,4,1.6094379124341003,1,1,4,4,4,2,2,2,2,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,1,3,72.19
6,56,4.04305126783455,1,2,1,0,6,8,2.1972245773362196,1,2,3,1,8,3,3,7,7,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,9,3.94
1,99,4.605170185988092,0,0,4,1,9,3,1.3862943611198906,0,0,3,3,3,2,2,6,6,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,1,2,72.19
0,112,4.727387818712341,1,1,2,0,2,4,1.6094379124341003,1,1,4,4,4,7,7,6,6,13,2.6390573296152584,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,1,7,29.75
1,192,5.262690188904886,1,0,2,3,2,8,2.1972245773362196,1,2,3,1,8,8,8,7,7,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,1,5,67.5
8,96,4.574710978503383,1,0,1,5,6,4,1.6094379124341003,1,1,4,4,4,2,2,7,7,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1,7,16.5
2,320,5.771441123130016,1,2,0,5,0,10,2.3978952727983707,1,1,0,3,0,3,3,7,7,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,1,4,126.0
3,116,4.762173934797756,1,2,1,4,6,4,1.6094379124341003,1,1,4,4,4,1,1,8,8,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,4,7,50.75
1,133,4.897839799950911,0,1,3,0,3,7,2.0794415416798357,0,1,2,0,7,8,8,3,3,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,2,32.06
1,117,4.770684624465665,0,0,2,5,7,9,2.302585092994046,0,0,4,2,9,9,9,4,4,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,1,2,37.38
8,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,9,9,3,3,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,1,3,22.5
5,42,3.7612001156935624,1,0,2,0,2,3,1.3862943611198906,0,0,3,3,3,7,7,8,8,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,1,4,14.0
0,66,4.204692619390966,1,0,1,3,6,11,2.4849066497880004,0,2,1,4,1,2,2,1,1,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,5,12.38
9,140,4.948759890378168,1,2,0,0,0,10,2.3978952727983707,1,1,0,3,0,5,5,8,8,23,3.1780538303479458,0,2,3,2,3,1,0.6931471805599453,0,1,1,1,1,1,5,28.88
7,156,5.056245805348308,1,0,1,2,6,4,1.6094379124341003,1,1,4,4,4,3,3,3,3,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,6,53.62
7,160,5.081404364984463,1,1,0,6,0,8,2.1972245773362196,1,2,3,1,8,4,4,7,7,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,1,6,28.75
2,112,4.727387818712341,1,1,2,0,2,8,2.1972245773362196,1,2,3,1,8,3,3,8,8,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,1,8,28.0
3,98,4.59511985013459,1,2,3,0,8,7,2.0794415416798357,0,1,2,0,7,7,7,2,2,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,1,6,24.5
0,170,5.14166355650266,1,2,0,2,0,10,2.3978952727983707,1,1,0,3,0,2,2,4,4,22,3.1354942159291497,1,1,2,1,2,5,1.791759469228055,0,2,0,5,5,1,3,76.5
