slot_reported,slot_reported_abs_log1p,slot_reported_is_even,slot_reported_mod3,slot_reported_mod5,slot_reported_mod7,slot_reported_mod10,slot_percent,slot_percent_abs_log1p,slot_percent_is_even,slot_percent_mod3,slot_percent_mod5,slot_percent_mod7,slot_percent_mod10,slot_name_overstater,slot_name_corrector,slot_event,gcd_all,n_multiple_pairs,y
368,5.910796644040527,1,2,3,4,8,15,2.772588722239781,0,0,0,1,5,3,5,8,1,0,320.0
1413,7.254177846456518,0,0,3,6,3,57,4.060443010546419,0,0,2,1,7,3,4,9,3,0,900.0
168,5.1298987149230735,1,0,3,0,8,5,1.791759469228055,0,2,0,5,5,3,2,0,1,0,160.0
1071,6.977281341630747,0,0,1,0,1,53,3.9889840465642745,0,2,3,4,3,7,5,7,1,0,700.0
240,5.484796933490655,1,0,0,2,0,60,4.110873864173311,1,0,0,4,0,7,5,0,60,1,150.0
196,5.2832037287379885,1,1,1,0,6,40,3.713572066704308,1,1,0,5,0,7,6,7,4,0,140.0
780,6.660575149839686,1,0,0,3,0,56,4.04305126783455,1,2,1,0,6,0,3,3,4,0,500.0
924,6.829793737512425,1,0,4,0,4,32,3.4965075614664802,1,2,2,4,2,6,0,1,4,0,700.0
368,5.910796644040527,1,2,3,4,8,15,2.772588722239781,0,0,0,1,5,2,1,9,1,0,320.0
1102,7.005789019253503,1,1,2,3,2,52,3.970291913552122,1,1,2,3,2,0,7,8,2,0,725.0
2919,7.979338895262328,0,0,4,0,9,39,3.6888794541139363,0,0,4,4,9,0,0,3,3,0,2100.0
612,6.418364935936212,1,0,2,3,2,44,3.8066624897703196,1,2,4,2,4,7,6,8,4,0,425.0
1853,7.5251007461258,0,2,3,5,3,9,2.302585092994046,0,0,4,2,9,7,5,6,1,0,1700.0
2233,7.711548979629146,0,1,3,0,3,54,4.007333185232471,1,0,4,5,4,6,4,2,1,0,1450.0
759,6.633318433280377,0,0,4,3,9,32,3.4965075614664802,1,2,2,4,2,4,1,3,1,0,575.0
3330,8.11102783819368,1,0,0,5,0,11,2.4849066497880004,0,2,1,4,1,5,1,3,1,0,3000.0
1131,7.0317412587631285,0,0,1,4,1,56,4.04305126783455,1,2,1,0,6,7,6,2,1,0,725.0
24,3.2188758248682006,1,0,4,3,4,50,3.9318256327243257,1,2,0,1,0,6,7,3,2,0,16.0
828,6.720220155135295,1,0,3,2,8,44,3.8066624897703196,1,2,4,2,4,0,1,6,4,0,575.0
1192,7.084226422097916,1,1,2,2,2,49,3.912023005428146,0,1,4,0,9,6,2,3,1,0,800.0
90,4.51085950651685,1,0,0,6,0,50,3.9318256327243257,1,2,0,1,0,7,1,9,10,0,60.0
354,5.872117789475416,1,0,4,4,4,18,2.9444389791664403,1,0,3,4,8,4,7,9,6,0,300.0
754,6.626717749249025,1,1,4,5,4,45,3.828641396489095,0,0,0,3,5,4,3,3,1,0,520.0
2882,7.9665866976384025,1,2,2,5,2,31,3.4657359027997265,0,1,1,3,1,5,5,7,1,0,2200.0
713,6.570882962339584,0,2,3,6,3,55,4.02535169073515,0,1,0,6,5,0,2,5,1,0,460.0
1812,7.502738210754851,1,0,2,6,2,51,3.9512437185814275,0,0,1,2,1,7,3,3,3,0,1200.0
1846,7.52131798019924,1,1,1,5,6,42,3.7612001156935624,1,0,2,0,2,2,0,1,2,0,1300.0
609,6.413458957167357,0,0,4,0,9,5,1.791759469228055,0,2,0,5,5,7,6,3,1,0,580.0
338,5.82600010738045,1,2,3,2,8,30,3.4339872044851463,1,0,0,2,0,0,6,4,2,0,260.0
3332,8.11162807830774,1,2,2,0,2,19,2.995732273553991,0,1,4,5,9,4,7,1,1,0,2800.0
155,5.049856007249537,0,2,0,1,5,24,3.2188758248682006,1,0,4,3,4,6,1,6,1,0,125.0
30,3.4339872044851463,1,0,0,2,0,50,3.9318256327243257,1,2,0,1,0,5,7,7,10,0,20.0
2057,7.629489916393995,0,2,2,6,7,21,3.091042453358316,0,0,1,0,1,6,2,2,1,0,1700.0
1407,7.249925536717988,0,0,2,0,7,34,3.5553480614894135,1,1,4,6,4,7,1,9,1,0,1050.0
216,5.37989735354046,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,3,2,1,8,1,200.0
3103,8.04044688130311,0,1,3,2,3,7,2.0794415416798357,0,1,2,0,7,5,2,0,1,0,2900.0
2646,7.881182202227102,1,0,1,0,6,47,3.871201010907891,0,2,2,5,7,1,1,8,1,0,1800.0
377,5.934894195619588,0,2,2,6,7,45,3.828641396489095,0,0,0,3,5,1,7,9,1,0,260.0
2834,7.949797216161852,1,2,4,6,4,9,2.302585092994046,0,0,4,2,9,4,1,6,1,0,2600.0
1908,7.554334823725748,1,0,3,4,8,59,4.0943445622221,0,2,4,3,9,3,0,5,1,0,1200.0
1224,7.110696122978827,1,0,4,6,4,53,3.9889840465642745,0,2,3,4,3,0,3,5,1,0,800.0
1476,7.29776828253138,1,0,1,6,6,23,3.1780538303479458,0,2,3,2,3,3,2,2,1,0,1200.0
1989,7.595889917718538,0,0,4,1,9,53,3.9889840465642745,0,2,3,4,3,4,0,5,1,0,1300.0
351,5.863631175598097,0,0,1,1,1,17,2.8903717578961645,0,2,2,3,7,3,2,8,1,0,300.0
3836,8.252446090246952,1,2,1,0,6,37,3.6375861597263857,0,1,2,2,7,6,5,3,1,0,2800.0
775,6.654152520183219,0,1,0,5,5,24,3.2188758248682006,1,0,4,3,4,3,0,2,1,0,625.0
780,6.660575149839686,1,0,0,3,0,56,4.04305126783455,1,2,1,0,6,6,4,1,4,0,500.0
783,6.664409020350408,0,0,3,6,3,16,2.833213344056216,1,1,1,2,6,1,2,3,1,0,675.0
959,6.866933284461882,0,2,4,0,9,37,3.6375861597263857,0,1,2,2,7,1,0,4,1,0,700.0
3171,8.06211758275474,0,0,1,0,1,51,3.9512437185814275,0,0,1,2,1,1,0,5,3,0,2100.0
452,6.115892125483034,1,2,2,4,2,13,2.6390573296152584,0,1,3,6,3,1,5,9,1,0,400.0
2907,7.97522083865341,0,0,2,2,7,53,3.9889840465642745,0,2,3,4,3,7,5,3,1,0,1900.0
756,6.6293632534374485,1,0,1,0,6,8,2.1972245773362196,1,2,3,1,8,2,5,1,4,0,700.0
1862,7.529943370601589,1,2,2,0,2,33,3.5263605246161616,0,0,3,5,3,1,3,2,1,0,1400.0
819,6.709304340258298,0,0,4,0,9,56,4.04305126783455,1,2,1,0,6,1,7,3,7,0,525.0
959,6.866933284461882,0,2,4,0,9,37,3.6375861597263857,0,1,2,2,7,6,4,4,1,0,700.0
612,6.418364935936212,1,0,2,3,2,44,3.8066624897703196,1,2,4,2,4,7,0,4,4,0,425.0
1834,7.51479976048867,1,1,4,0,4,31,3.4657359027997265,0,1,1,3,1,6,3,9,1,0,1400.0
464,6.142037405587356,1,2,4,2,4,16,2.833213344056216,1,1,1,2,6,5,6,7,16,1,400.0
504,6.22455842927536,1,0,4,0,4,12,2.5649493574615367,1,0,2,5,2,6,2,8,12,1,450.0
21,3.091042453358316,0,0,1,0,1,40,3.713572066704308,1,1,0,5,0,0,2,8,1,0,15.0
298,5.700443573390687,1,1,3,4,8,49,3.912023005428146,0,1,4,0,9,2,3,4,1,0,200.0
6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,0,1,0,3,4,2,2,0,4.0
273,5.6131281063880705,0,0,3,0,3,5,1.791759469228055,0,2,0,5,5,3,5,0,1,0,260.0
1806,7.499423290592229,1,0,1,0,6,29,3.4011973816621555,0,2,4,1,9,3,5,8,1,0,1400.0
3213,8.075271546297458,0,0,3,0,3,53,3.9889840465642745,0,2,3,4,3,0,5,0,1,0,2100.0
2703,7.902487437162855,0,0,3,1,3,59,4.0943445622221,0,2,4,3,9,5,7,8,1,0,1700.0
1232,7.117205503164344,1,2,2,0,2,54,4.007333185232471,1,0,4,5,4,6,7,3,2,0,800.0
315,5.755742213586912,0,0,0,0,5,5,1.791759469228055,0,2,0,5,5,5,2,7,5,1,300.0
2618,7.870547844507712,1,2,3,0,8,19,2.995732273553991,0,1,4,5,9,2,0,0,1,0,2200.0
3277,8.094988759303774,0,1,2,1,7,13,2.6390573296152584,0,1,3,6,3,5,4,7,1,0,2900.0
785,6.666956792429207,0,2,0,1,5,57,4.060443010546419,0,0,2,1,7,1,5,1,1,0,500.0
391,5.971261839790462,0,1,1,6,1,15,2.772588722239781,0,0,0,1,5,4,1,5,1,0,340.0
732,6.597145701886651,1,0,2,4,2,22,3.1354942159291497,1,1,2,1,2,4,4,5,2,0,600.0
3672,8.208764045819667,1,0,2,4,2,53,3.9889840465642745,0,2,3,4,3,2,1,0,1,0,2400.0
324,5.783825182329737,1,0,4,2,4,35,3.58351893845611,0,2,0,0,5,7,7,7,1,0,240.0
62,4.143134726391533,1,2,2,6,2,55,4.02535169073515,0,1,0,6,5,2,3,3,1,0,40.0
2086,7.643482907077201,1,1,1,0,6,49,3.912023005428146,0,1,4,0,9,6,2,6,7,0,1400.0
1809,7.501082124259871,0,0,4,3,9,34,3.5553480614894135,1,1,4,6,4,5,4,1,1,0,1350.0
91,4.5217885770490405,0,1,1,0,1,40,3.713572066704308,1,1,0,5,0,5,4,3,1,0,65.0
152,5.030437921392435,1,2,2,5,2,60,4.110873864173311,1,0,0,4,0,6,2,8,4,0,95.0
441,6.091309882077698,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,1,2,0,1,0,420.0
1518,7.325807502595773,1,0,3,6,8,38,3.6635616461296463,1,2,3,3,8,4,1,1,2,0,1100.0
738,6.6052979209482015,1,0,3,3,8,23,3.1780538303479458,0,2,3,2,3,5,3,5,1,0,600.0
595,6.39024066706535,0,1,0,0,5,19,2.995732273553991,0,1,4,5,9,4,0,2,1,0,500.0
315,5.755742213586912,0,0,0,0,5,26,3.295836866004329,1,2,1,5,6,0,1,8,1,0,250.0
117,4.770684624465665,0,0,2,5,7,56,4.04305126783455,1,2,1,0,6,7,0,9,1,0,75.0
1071,6.977281341630747,0,0,1,0,1,53,3.9889840465642745,0,2,3,4,3,1,6,8,1,0,700.0
1845,7.520776415062797,0,0,0,4,5,23,3.1780538303479458,0,2,3,2,3,3,6,7,1,0,1500.0
1694,7.43543801981455,1,2,4,0,4,21,3.091042453358316,0,0,1,0,1,5,4,4,7,0,1400.0
1794,7.492760300922379,1,0,4,2,4,38,3.6635616461296463,1,2,3,3,8,6,7,8,2,0,1300.0
2794,7.9355873855892,1,1,4,1,4,27,3.332204510175204,0,0,2,6,7,7,1,3,1,0,2200.0
1017,6.925595197110468,0,0,2,2,7,13,2.6390573296152584,0,1,3,6,3,4,3,5,1,0,900.0
1635,7.400009517162692,0,0,0,4,5,9,2.302585092994046,0,0,4,2,9,7,2,3,3,0,1500.0
299,5.703782474656201,0,2,4,5,9,15,2.772588722239781,0,0,0,1,5,6,5,6,1,0,260.0
2507,7.827240901752812,0,2,2,1,7,9,2.302585092994046,0,0,4,2,9,6,2,9,1,0,2300.0
112,4.727387818712341,1,1,2,0,2,60,4.110873864173311,1,0,0,4,0,3,0,1,4,0,70.0
1971,7.586803535162581,0,0,1,4,1,46,3.8501476017100584,1,1,1,4,6,2,6,2,1,0,1350.0
165,5.111987788356544,0,0,0,4,5,32,3.4965075614664802,1,2,2,4,2,6,4,0,1,0,125.0
702,6.555356891810665,1,0,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,4,5,2,0,650.0
627,6.4425401664681985,0,0,2,4,7,32,3.4965075614664802,1,2,2,4,2,6,6,8,1,0,475.0
264,5.579729825986222,1,0,4,5,4,10,2.3978952727983707,1,1,0,3,0,0,6,5,2,0,240.0
48,3.8918202981106265,1,0,3,6,8,60,4.110873864173311,1,0,0,4,0,2,6,4,12,0,30.0
162,5.093750200806762,1,0,2,1,2,35,3.58351893845611,0,2,0,0,5,2,1,4,1,0,120.0
528,6.270988431858299,1,0,3,3,8,32,3.4965075614664802,1,2,2,4,2,4,3,3,16,0,400.0
147,4.997212273764115,0,0,2,0,7,5,1.791759469228055,0,2,0,5,5,6,6,2,1,0,140.0
174,5.1647859739235145,1,0,4,6,4,45,3.828641396489095,0,0,0,3,5,4,6,4,3,0,120.0
1541,7.340835554123275,0,2,1,1,1,34,3.5553480614894135,1,1,4,6,4,4,0,9,1,0,1150.0
152,5.030437921392435,1,2,2,5,2,52,3.970291913552122,1,1,2,3,2,6,3,0,4,0,100.0
296,5.6937321388027,1,2,1,2,6,48,3.8918202981106265,1,0,3,6,8,3,6,4,8,0,200.0
546,6.304448802421981,1,0,1,0,6,56,4.04305126783455,1,2,1,0,6,1,4,6,14,0,350.0
889,6.7912214627261855,0,1,4,0,9,27,3.332204510175204,0,0,2,6,7,7,7,1,1,0,700.0
798,6.683360945766275,1,0,3,0,8,14,2.70805020110221,1,2,4,0,4,4,6,5,14,1,700.0
24,3.2188758248682006,1,0,4,3,4,60,4.110873864173311,1,0,0,4,0,1,0,1,12,0,15.0
1014,6.922643891475888,1,0,4,6,4,56,4.04305126783455,1,2,1,0,6,3,0,3,2,0,650.0
142,4.962844630259907,1,1,2,2,2,42,3.7612001156935624,1,0,2,0,2,2,6,5,2,0,100.0
819,6.709304340258298,0,0,4,0,9,17,2.8903717578961645,0,2,2,3,7,5,4,8,1,0,700.0
1256,7.136483208590247,1,2,1,3,6,57,4.060443010546419,0,0,2,1,7,6,1,2,1,0,800.0
174,5.1647859739235145,1,0,4,6,4,16,2.833213344056216,1,1,1,2,6,0,0,9,2,0,150.0
768,6.645090969505644,1,0,3,5,8,28,3.367295829986474,1,1,3,0,8,2,7,1,4,0,600.0
572,6.35088571671474,1,2,2,5,2,43,3.784189633918261,0,1,3,1,3,5,5,7,1,0,400.0
2540,7.840312983320164,1,2,0,6,0,27,3.332204510175204,0,0,2,6,7,1,3,4,1,0,2000.0
874,6.774223886357614,1,1,4,6,4,52,3.970291913552122,1,1,2,3,2,6,4,6,2,0,575.0
2115,7.65728279297819,0,0,0,1,5,41,3.7376696182833684,0,2,1,6,1,2,7,0,1,0,1500.0
1653,7.4109518755836366,0,0,3,1,3,14,2.70805020110221,1,2,4,0,4,3,2,1,1,0,1450.0
1425,7.262628600974241,0,0,0,4,5,14,2.70805020110221,1,2,4,0,4,1,4,7,1,0,1250.0
730,6.594413459749778,1,1,0,2,0,46,3.8501476017100584,1,1,1,4,6,7,5,1,2,0,500.0
1460,7.2868764117507,1,2,0,4,0,46,3.8501476017100584,1,1,1,4,6,2,2,1,2,0,1000.0
1530,7.333676395657684,1,0,0,4,0,53,3.9889840465642745,0,2,3,4,3,7,6,2,1,0,1000.0
2034,7.618251097876695,1,0,4,4,4,13,2.6390573296152584,0,1,3,6,3,6,6,0,1,0,1800.0
2398,7.782807262839695,1,1,3,4,8,9,2.302585092994046,0,0,4,2,9,2,7,5,1,0,2200.0
182,5.209486152841421,1,2,2,0,2,30,3.4339872044851463,1,0,0,2,0,0,3,6,2,0,140.0
1343,7.203405521083095,0,2,3,6,3,58,4.07753744390572,1,1,3,2,8,4,2,8,1,0,850.0
497,6.210600077024653,0,2,2,0,7,42,3.7612001156935624,1,0,2,0,2,4,2,6,7,0,350.0
3892,8.266935347610456,1,1,2,0,2,39,3.6888794541139363,0,0,4,4,9,5,1,4,1,0,2800.0
108,4.6913478822291435,1,0,3,3,8,44,3.8066624897703196,1,2,4,2,4,6,5,0,4,0,75.0
270,5.602118820879701,1,0,0,4,0,35,3.58351893845611,0,2,0,0,5,1,4,6,5,0,200.0
2961,7.993619994827744,0,0,1,0,1,41,3.7376696182833684,0,2,1,6,1,1,3,4,1,0,2100.0
632,6.450470422144176,1,2,2,2,2,58,4.07753744390572,1,1,3,2,8,3,7,3,2,0,400.0
1764,7.475905969367397,1,0,4,0,4,26,3.295836866004329,1,2,1,5,6,5,2,9,2,0,1400.0
2416,7.790282380703483,1,1,1,1,6,51,3.9512437185814275,0,0,1,2,1,5,0,8,1,0,1600.0
392,5.973809611869261,1,2,2,0,2,12,2.5649493574615367,1,0,2,5,2,6,3,4,4,0,350.0
1534,7.336285660021297,1,1,4,1,4,18,2.9444389791664403,1,0,3,4,8,5,6,9,2,0,1300.0
1890,7.544861068658458,1,0,0,0,0,26,3.295836866004329,1,2,1,5,6,3,4,4,2,0,1500.0
851,6.747586526829315,0,2,1,4,1,48,3.8918202981106265,1,0,3,6,8,0,7,1,1,0,575.0
72,4.290459441148391,1,0,2,2,2,60,4.110873864173311,1,0,0,4,0,3,7,7,12,0,45.0
1281,7.156176637480615,0,0,1,0,1,22,3.1354942159291497,1,1,2,1,2,3,1,1,1,0,1050.0
2489,7.820037989458753,0,2,4,4,9,31,3.4657359027997265,0,1,1,3,1,7,4,2,1,0,1900.0
864,6.762729506931879,1,0,4,3,4,28,3.367295829986474,1,1,3,0,8,5,2,2,4,0,675.0
292,5.680172609017068,1,1,2,5,2,46,3.8501476017100584,1,1,1,4,6,1,7,4,2,0,200.0
3234,8.081784206935001,1,0,4,0,4,47,3.871201010907891,0,2,2,5,7,6,0,6,1,0,2200.0
416,6.0330862217988015,1,2,1,3,6,28,3.367295829986474,1,1,3,0,8,7,6,0,4,0,325.0
87,4.477336814478207,0,0,2,3,7,50,3.9318256327243257,1,2,0,1,0,4,7,6,1,0,58.0
3059,8.026170194946426,0,2,4,0,9,33,3.5263605246161616,0,0,3,5,3,2,0,5,1,0,2300.0
2877,7.964850887447313,0,0,2,0,7,37,3.6375861597263857,0,1,2,2,7,4,6,8,1,0,2100.0
1694,7.43543801981455,1,2,4,0,4,21,3.091042453358316,0,0,1,0,1,7,7,1,7,0,1400.0
216,5.37989735354046,1,0,1,6,6,60,4.110873864173311,1,0,0,4,0,4,5,3,12,0,135.0
2662,7.887208585813932,1,1,2,2,2,21,3.091042453358316,0,0,1,0,1,0,6,3,1,0,2200.0
532,6.278521424165844,1,1,2,0,2,33,3.5263605246161616,0,0,3,5,3,6,7,6,1,0,400.0
2329,7.753623546559746,0,1,4,5,9,37,3.6375861597263857,0,1,2,2,7,2,1,7,1,0,1700.0
644,6.4692503167957724,1,2,4,0,4,12,2.5649493574615367,1,0,2,5,2,0,2,8,4,0,575.0
2616,7.869783902530146,1,0,1,5,6,9,2.302585092994046,0,0,4,2,9,5,2,7,3,0,2400.0
148,5.003946305945459,1,1,3,1,8,48,3.8918202981106265,1,0,3,6,8,4,1,3,4,0,100.0
1716,7.448333860897476,1,0,1,1,6,43,3.784189633918261,0,1,3,1,3,5,4,0,1,0,1200.0
1638,7.40184157874383,1,0,3,0,8,26,3.295836866004329,1,2,1,5,6,5,1,2,26,1,1300.0
3925,8.275376374836407,0,1,0,5,5,57,4.060443010546419,0,0,2,1,7,0,7,4,1,0,2500.0
670,6.508769136971682,1,1,0,5,0,34,3.5553480614894135,1,1,4,6,4,0,5,5,2,0,500.0
741,6.60934924316738,0,0,1,6,1,14,2.70805020110221,1,2,4,0,4,6,4,3,1,0,650.0
3725,8.223090551161533,0,2,0,1,5,49,3.912023005428146,0,1,4,0,9,7,0,7,1,0,2500.0
96,4.574710978503383,1,0,1,5,6,20,3.044522437723423,1,2,0,6,0,4,2,8,4,0,80.0
90,4.51085950651685,1,0,0,6,0,50,3.9318256327243257,1,2,0,1,0,5,4,7,10,0,60.0
2737,7.914983005848394,0,1,2,0,7,19,2.995732273553991,0,1,4,5,9,2,3,5,1,0,2300.0
973,6.881411303642535,0,1,3,0,3,39,3.6888794541139363,0,0,4,4,9,1,2,6,1,0,700.0
2385,7.777373602657861,0,0,0,5,5,59,4.0943445622221,0,2,4,3,9,2,3,2,1,0,1500.0
705,6.559615237493242,0,0,0,5,5,41,3.7376696182833684,0,2,1,6,1,6,5,0,1,0,500.0
244,5.501258210544727,1,1,4,6,4,22,3.1354942159291497,1,1,2,1,2,5,4,5,2,0,200.0
135,4.912654885736052,0,0,0,2,5,25,3.258096538021482,0,1,0,4,5,4,2,3,5,0,108.0
1926,7.563719668414366,1,0,1,1,6,7,2.0794415416798357,0,1,2,0,7,3,6,2,1,0,1800.0
3925,8.275376374836407,0,1,0,5,5,57,4.060443010546419,0,0,2,1,7,4,0,9,1,0,2500.0
4004,8.29529885950246,1,2,4,0,4,43,3.784189633918261,0,1,3,1,3,1,4,9,1,0,2800.0
420,6.042632833682381,1,0,0,0,0,5,1.791759469228055,0,2,0,5,5,5,3,3,5,1,400.0
168,5.1298987149230735,1,0,3,0,8,12,2.5649493574615367,1,0,2,5,2,3,0,5,12,1,150.0
3473,8.153061946801051,0,2,3,1,3,51,3.9512437185814275,0,0,1,2,1,6,4,0,1,0,2300.0
1896,7.5480289699350145,1,0,1,6,6,58,4.07753744390572,1,1,3,2,8,5,4,3,2,0,1200.0
2952,7.990576881743923,1,0,2,5,2,23,3.1780538303479458,0,2,3,2,3,7,3,8,1,0,2400.0
6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,0,1,0,5,6,1,2,0,4.0
299,5.703782474656201,0,2,4,5,9,30,3.4339872044851463,1,0,0,2,0,3,7,8,1,0,230.0
1168,7.063903961472068,1,1,3,6,8,46,3.8501476017100584,1,1,1,4,6,1,7,5,2,0,800.0
91,4.5217885770490405,0,1,1,0,1,30,3.4339872044851463,1,0,0,2,0,1,1,4,1,0,70.0
91,4.5217885770490405,0,1,1,0,1,30,3.4339872044851463,1,0,0,2,0,5,5,2,1,0,70.0
1287,7.160845906664299,0,0,2,6,7,17,2.8903717578961645,0,2,2,3,7,7,0,7,1,0,1100.0
1113,7.01571242048723,0,0,3,0,3,6,1.9459101490553132,1,0,1,6,6,1,3,1,3,0,1050.0
580,6.364750756851911,1,1,0,6,0,16,2.833213344056216,1,1,1,2,6,4,4,0,4,0,500.0
2054,7.628031126930335,1,2,4,3,4,58,4.07753744390572,1,1,3,2,8,3,4,8,2,0,1300.0
180,5.198497031265826,1,0,0,5,0,44,3.8066624897703196,1,2,4,2,4,1,0,0,4,0,125.0
203,5.318119993844216,0,2,3,0,3,45,3.828641396489095,0,0,0,3,5,2,4,2,1,0,140.0
1390,7.237778191923443,1,1,0,4,0,39,3.6888794541139363,0,0,4,4,9,1,0,8,1,0,1000.0
1917,7.559038255443384,0,0,2,6,7,42,3.7612001156935624,1,0,2,0,2,5,2,7,3,0,1350.0
252,5.53338948872752,1,0,2,0,2,26,3.295836866004329,1,2,1,5,6,6,1,4,2,0,200.0
315,5.755742213586912,0,0,0,0,5,5,1.791759469228055,0,2,0,5,5,1,0,3,5,1,300.0
414,6.028278520230698,1,0,4,1,4,38,3.6635616461296463,1,2,3,3,8,3,1,9,2,0,300.0
588,6.3784261836515865,1,0,3,0,8,47,3.871201010907891,0,2,2,5,7,3,2,1,1,0,400.0
621,6.432940092739179,0,0,1,5,1,38,3.6635616461296463,1,2,3,3,8,6,5,6,1,0,450.0
18,2.9444389791664403,1,0,3,4,8,20,3.044522437723423,1,2,0,6,0,6,0,3,2,0,15.0
760,6.634633357861686,1,1,0,4,0,52,3.970291913552122,1,1,2,3,2,0,4,9,4,0,500.0
825,6.716594773520978,0,0,0,6,5,32,3.4965075614664802,1,2,2,4,2,5,5,2,1,0,625.0
1586,7.369600720526409,1,2,1,4,6,22,3.1354942159291497,1,1,2,1,2,2,5,0,2,0,1300.0
1490,7.307202314764738,1,2,0,6,0,49,3.912023005428146,0,1,4,0,9,5,3,1,1,0,1000.0
1608,7.3833681469923835,1,0,3,5,8,34,3.5553480614894135,1,1,4,6,4,2,4,5,2,0,1200.0
468,6.150602768446279,1,0,3,6,8,56,4.04305126783455,1,2,1,0,6,4,1,8,4,0,300.0
1785,7.487733761436444,0,0,0,0,5,19,2.995732273553991,0,1,4,5,9,1,5,6,1,0,1500.0
1484,7.3031700512368,1,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,3,7,7,2,0,1400.0
1749,7.4673710669175595,0,0,4,6,9,59,4.0943445622221,0,2,4,3,9,2,7,4,1,0,1100.0
988,6.8966943316227125,1,1,3,1,8,52,3.970291913552122,1,1,2,3,2,5,1,6,52,1,650.0
174,5.1647859739235145,1,0,4,6,4,45,3.828641396489095,0,0,0,3,5,4,3,7,3,0,120.0
3825,8.249575150000199,0,0,0,3,5,53,3.9889840465642745,0,2,3,4,3,2,0,5,1,0,2500.0
1331,7.194436851100335,0,2,1,1,1,21,3.091042453358316,0,0,1,0,1,6,3,6,1,0,1100.0
360,5.8888779583328805,1,0,0,3,0,44,3.8066624897703196,1,2,4,2,4,7,3,0,4,0,250.0
1449,7.27931883541462,0,0,4,0,9,26,3.295836866004329,1,2,1,5,6,3,7,9,1,0,1150.0
432,6.07073772800249,1,0,2,5,2,44,3.8066624897703196,1,2,4,2,4,0,4,4,4,0,300.0
231,5.44673737166631,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,6,4,1,1,0,220.0
3454,8.14757773620177,1,1,4,3,4,57,4.060443010546419,0,0,2,1,7,3,2,5,1,0,2200.0
3570,8.18060094759445,1,0,0,0,0,19,2.995732273553991,0,1,4,5,9,6,7,9,1,0,3000.0
2023,7.6128310304073565,0,1,3,0,3,19,2.995732273553991,0,1,4,5,9,1,5,5,1,0,1700.0
