slot_person,slot_qty1,slot_qty1_abs_log1p,slot_qty1_is_even,slot_qty1_mod3,slot_qty1_mod5,slot_qty1_mod7,slot_qty1_mod10,slot_brand1,slot_qty2,slot_qty2_abs_log1p,slot_qty2_is_even,slot_qty2_mod3,slot_qty2_mod5,slot_qty2_mod7,slot_qty2_mod10,slot_brand2,slot_last_week_qty,slot_last_week_qty_abs_log1p,slot_last_week_qty_is_even,slot_last_week_qty_mod3,slot_last_week_qty_mod5,slot_last_week_qty_mod7,slot_last_week_qty_mod10,slot_unit,slot_category,gcd_all,n_multiple_pairs,y
6,17,2.8903717578961645,0,2,2,3,7,9,5,1.791759469228055,0,2,0,5,5,5,15,2.772588722239781,0,0,0,1,5,3,3,1,1,7.0
1,12,2.5649493574615367,1,0,2,5,2,10,16,2.833213344056216,1,1,1,2,6,0,12,2.5649493574615367,1,0,2,5,2,2,0,4,1,16.0
3,16,2.833213344056216,1,1,1,2,6,11,16,2.833213344056216,1,1,1,2,6,10,14,2.70805020110221,1,2,4,0,4,4,4,2,1,18.0
2,8,2.1972245773362196,1,2,3,1,8,4,16,2.833213344056216,1,1,1,2,6,6,17,2.8903717578961645,0,2,2,3,7,5,2,1,1,7.0
7,10,2.3978952727983707,1,1,0,3,0,12,9,2.302585092994046,0,0,4,2,9,8,3,1.3862943611198906,0,0,3,3,3,0,5,1,1,16.0
2,13,2.6390573296152584,0,1,3,6,3,13,8,2.1972245773362196,1,2,3,1,8,11,18,2.9444389791664403,1,0,3,4,8,0,6,1,0,3.0
8,3,1.3862943611198906,0,0,3,3,3,12,18,2.9444389791664403,1,0,3,4,8,12,17,2.8903717578961645,0,2,2,3,7,0,5,1,1,4.0
2,6,1.9459101490553132,1,0,1,6,6,10,3,1.3862943611198906,0,0,3,3,3,13,5,1.791759469228055,0,2,0,5,5,3,0,1,1,4.0
5,5,1.791759469228055,0,2,0,5,5,14,4,1.6094379124341003,1,1,4,4,4,14,4,1.6094379124341003,1,1,4,4,4,0,3,1,1,5.0
1,4,1.6094379124341003,1,1,4,4,4,0,18,2.9444389791664403,1,0,3,4,8,15,21,3.091042453358316,0,0,1,0,1,3,0,1,0,1.0
9,20,3.044522437723423,1,2,0,6,0,15,7,2.0794415416798357,0,1,2,0,7,11,13,2.6390573296152584,0,1,3,6,3,3,6,1,0,14.0
2,19,2.995732273553991,0,1,4,5,9,16,9,2.302585092994046,0,0,4,2,9,16,20,3.044522437723423,1,2,0,6,0,5,4,1,0,8.0
2,8,2.1972245773362196,1,2,3,1,8,17,12,2.5649493574615367,1,0,2,5,2,9,3,1.3862943611198906,0,0,3,3,3,3,3,1,1,17.0
7,18,2.9444389791664403,1,0,3,4,8,18,8,2.1972245773362196,1,2,3,1,8,11,11,2.4849066497880004,0,2,1,4,1,3,6,1,0,15.0
8,4,1.6094379124341003,1,1,4,4,4,4,3,1.3862943611198906,0,0,3,3,3,17,1,0.6931471805599453,0,1,1,1,1,6,2,1,2,6.0
7,17,2.8903717578961645,0,2,2,3,7,18,20,3.044522437723423,1,2,0,6,0,18,11,2.4849066497880004,0,2,1,4,1,0,6,1,0,26.0
6,8,2.1972245773362196,1,2,3,1,8,19,11,2.4849066497880004,0,2,1,4,1,1,13,2.6390573296152584,0,1,3,6,3,2,1,1,0,6.0
5,5,1.791759469228055,0,2,0,5,5,8,15,2.772588722239781,0,0,0,1,5,9,17,2.8903717578961645,0,2,2,3,7,2,3,1,1,3.0
3,2,1.0986122886681098,1,2,2,2,2,20,2,1.0986122886681098,1,2,2,2,2,3,3,1.3862943611198906,0,0,3,3,3,3,2,1,1,1.0
8,9,2.302585092994046,0,0,4,2,9,1,17,2.8903717578961645,0,2,2,3,7,19,16,2.833213344056216,1,1,1,2,6,0,1,1,0,10.0
2,16,2.833213344056216,1,1,1,2,6,21,15,2.772588722239781,0,0,0,1,5,20,7,2.0794415416798357,0,1,2,0,7,0,5,1,0,24.0
0,3,1.3862943611198906,0,0,3,3,3,20,9,2.302585092994046,0,0,4,2,9,3,6,1.9459101490553132,1,0,1,6,6,5,2,3,2,6.0
5,6,1.9459101490553132,1,0,1,6,6,13,11,2.4849066497880004,0,2,1,4,1,11,2,1.0986122886681098,1,2,2,2,2,0,6,1,1,15.0
3,16,2.833213344056216,1,1,1,2,6,2,14,2.70805020110221,1,2,4,0,4,2,3,1.3862943611198906,0,0,3,3,3,1,1,1,0,27.0
0,12,2.5649493574615367,1,0,2,5,2,4,12,2.5649493574615367,1,0,2,5,2,4,11,2.4849066497880004,0,2,1,4,1,3,2,1,1,13.0
1,12,2.5649493574615367,1,0,2,5,2,7,3,1.3862943611198906,0,0,3,3,3,8,3,1.3862943611198906,0,0,3,3,3,3,5,3,3,12.0
7,19,2.995732273553991,0,1,4,5,9,21,16,2.833213344056216,1,1,1,2,6,21,10,2.3978952727983707,1,1,0,3,0,4,5,1,0,25.0
4,13,2.6390573296152584,0,1,3,6,3,20,17,2.8903717578961645,0,2,2,3,7,4,7,2.0794415416798357,0,1,2,0,7,3,2,1,0,23.0
9,19,2.995732273553991,0,1,4,5,9,13,5,1.791759469228055,0,2,0,5,5,22,23,3.1780538303479458,0,2,3,2,3,2,6,1,0,1.0
9,18,2.9444389791664403,1,0,3,4,8,10,9,2.302585092994046,0,0,4,2,9,23,3,1.3862943611198906,0,0,3,3,3,4,0,3,3,24.0
7,12,2.5649493574615367,1,0,2,5,2,19,10,2.3978952727983707,1,1,0,3,0,2,3,1.3862943611198906,0,0,3,3,3,1,1,1,1,19.0
0,17,2.8903717578961645,0,2,2,3,7,22,6,1.9459101490553132,1,0,1,6,6,13,7,2.0794415416798357,0,1,2,0,7,3,0,1,0,16.0
5,18,2.9444389791664403,1,0,3,4,8,23,2,1.0986122886681098,1,2,2,2,2,17,10,2.3978952727983707,1,1,0,3,0,6,2,2,2,10.0
3,16,2.833213344056216,1,1,1,2,6,24,9,2.302585092994046,0,0,4,2,9,0,11,2.4849066497880004,0,2,1,4,1,0,0,1,0,14.0
5,17,2.8903717578961645,0,2,2,3,7,23,15,2.772588722239781,0,0,0,1,5,17,3,1.3862943611198906,0,0,3,3,3,5,2,1,1,29.0
7,10,2.3978952727983707,1,1,0,3,0,13,8,2.1972245773362196,1,2,3,1,8,22,4,1.6094379124341003,1,1,4,4,4,2,6,2,1,14.0
0,20,3.044522437723423,1,2,0,6,0,19,18,2.9444389791664403,1,0,3,4,8,2,26,3.295836866004329,1,2,1,5,6,0,1,2,0,12.0
8,19,2.995732273553991,0,1,4,5,9,1,8,2.1972245773362196,1,2,3,1,8,19,14,2.70805020110221,1,2,4,0,4,2,1,1,0,13.0
5,3,1.3862943611198906,0,0,3,3,3,21,10,2.3978952727983707,1,1,0,3,0,20,5,1.791759469228055,0,2,0,5,5,0,5,1,1,8.0
6,9,2.302585092994046,0,0,4,2,9,2,2,1.0986122886681098,1,2,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,1,1,1,9.0
3,18,2.9444389791664403,1,0,3,4,8,1,8,2.1972245773362196,1,2,3,1,8,24,9,2.302585092994046,0,0,4,2,9,1,1,1,1,17.0
7,17,2.8903717578961645,0,2,2,3,7,17,11,2.4849066497880004,0,2,1,4,1,9,4,1.6094379124341003,1,1,4,4,4,2,3,1,0,24.0
3,17,2.8903717578961645,0,2,2,3,7,25,10,2.3978952727983707,1,1,0,3,0,25,14,2.70805020110221,1,2,4,0,4,2,1,1,0,13.0
9,15,2.772588722239781,0,0,0,1,5,20,12,2.5649493574615367,1,0,2,5,2,26,23,3.1780538303479458,0,2,3,2,3,6,2,1,0,4.0
0,17,2.8903717578961645,0,2,2,3,7,16,9,2.302585092994046,0,0,4,2,9,27,17,2.8903717578961645,0,2,2,3,7,3,4,1,1,9.0
4,10,2.3978952727983707,1,1,0,3,0,0,20,3.044522437723423,1,2,0,6,0,28,4,1.6094379124341003,1,1,4,4,4,2,0,2,2,26.0
4,18,2.9444389791664403,1,0,3,4,8,1,11,2.4849066497880004,0,2,1,4,1,19,16,2.833213344056216,1,1,1,2,6,1,1,1,0,13.0
8,3,1.3862943611198906,0,0,3,3,3,18,9,2.302585092994046,0,0,4,2,9,11,2,1.0986122886681098,1,2,2,2,2,0,6,1,1,10.0
1,10,2.3978952727983707,1,1,0,3,0,3,5,1.791759469228055,0,2,0,5,5,17,3,1.3862943611198906,0,0,3,3,3,5,2,1,1,12.0
9,9,2.302585092994046,0,0,4,2,9,15,20,3.044522437723423,1,2,0,6,0,11,19,2.995732273553991,0,1,4,5,9,0,6,1,0,10.0
6,9,2.302585092994046,0,0,4,2,9,26,9,2.302585092994046,0,0,4,2,9,18,15,2.772588722239781,0,0,0,1,5,0,6,3,1,3.0
1,6,1.9459101490553132,1,0,1,6,6,18,16,2.833213344056216,1,1,1,2,6,18,21,3.091042453358316,0,0,1,0,1,3,6,1,0,1.0
5,13,2.6390573296152584,0,1,3,6,3,0,18,2.9444389791664403,1,0,3,4,8,15,28,3.367295829986474,1,1,3,0,8,4,0,1,0,3.0
2,4,1.6094379124341003,1,1,4,4,4,27,16,2.833213344056216,1,1,1,2,6,29,16,2.833213344056216,1,1,1,2,6,2,6,4,3,4.0
4,7,2.0794415416798357,0,1,2,0,7,11,18,2.9444389791664403,1,0,3,4,8,10,21,3.091042453358316,0,0,1,0,1,3,4,1,1,4.0
9,6,1.9459101490553132,1,0,1,6,6,14,14,2.70805020110221,1,2,4,0,4,30,19,2.995732273553991,0,1,4,5,9,3,3,1,0,1.0
7,6,1.9459101490553132,1,0,1,6,6,28,5,1.791759469228055,0,2,0,5,5,25,7,2.0794415416798357,0,1,2,0,7,2,1,1,0,4.0
0,4,1.6094379124341003,1,1,4,4,4,29,9,2.302585092994046,0,0,4,2,9,20,3,1.3862943611198906,0,0,3,3,3,0,5,1,1,10.0
5,8,2.1972245773362196,1,2,3,1,8,0,2,1.0986122886681098,1,2,2,2,2,13,6,1.9459101490553132,1,0,1,6,6,0,0,2,2,4.0
8,2,1.0986122886681098,1,2,2,2,2,30,15,2.772588722239781,0,0,0,1,5,23,14,2.70805020110221,1,2,4,0,4,0,0,1,1,3.0
9,7,2.0794415416798357,0,1,2,0,7,20,4,1.6094379124341003,1,1,4,4,4,26,2,1.0986122886681098,1,2,2,2,2,5,2,1,1,9.0
2,5,1.791759469228055,0,2,0,5,5,31,13,2.6390573296152584,0,1,3,6,3,3,15,2.772588722239781,0,0,0,1,5,3,2,1,1,3.0
9,20,3.044522437723423,1,2,0,6,0,8,16,2.833213344056216,1,1,1,2,6,9,30,3.4339872044851463,1,0,0,2,0,3,3,2,0,6.0
3,17,2.8903717578961645,0,2,2,3,7,21,7,2.0794415416798357,0,1,2,0,7,21,4,1.6094379124341003,1,1,4,4,4,0,5,1,0,20.0
6,16,2.833213344056216,1,1,1,2,6,8,15,2.772588722239781,0,0,0,1,5,5,17,2.8903717578961645,0,2,2,3,7,2,3,1,0,14.0
5,7,2.0794415416798357,0,1,2,0,7,8,2,1.0986122886681098,1,2,2,2,2,14,4,1.6094379124341003,1,1,4,4,4,0,3,1,1,5.0
0,15,2.772588722239781,0,0,0,1,5,27,15,2.772588722239781,0,0,0,1,5,31,13,2.6390573296152584,0,1,3,6,3,2,6,1,1,17.0
7,12,2.5649493574615367,1,0,2,5,2,4,20,3.044522437723423,1,2,0,6,0,17,13,2.6390573296152584,0,1,3,6,3,6,2,1,0,19.0
8,15,2.772588722239781,0,0,0,1,5,20,18,2.9444389791664403,1,0,3,4,8,3,8,2.1972245773362196,1,2,3,1,8,6,2,1,0,25.0
9,7,2.0794415416798357,0,1,2,0,7,31,5,1.791759469228055,0,2,0,5,5,26,11,2.4849066497880004,0,2,1,4,1,3,2,1,0,1.0
1,17,2.8903717578961645,0,2,2,3,7,3,2,1.0986122886681098,1,2,2,2,2,6,4,1.6094379124341003,1,1,4,4,4,6,2,1,1,15.0
4,12,2.5649493574615367,1,0,2,5,2,10,8,2.1972245773362196,1,2,3,1,8,15,2,1.0986122886681098,1,2,2,2,2,2,0,2,2,18.0
6,5,1.791759469228055,0,2,0,5,5,6,16,2.833213344056216,1,1,1,2,6,10,14,2.70805020110221,1,2,4,0,4,5,4,1,0,7.0
7,13,2.6390573296152584,0,1,3,6,3,30,7,2.0794415416798357,0,1,2,0,7,28,18,2.9444389791664403,1,0,3,4,8,3,0,1,0,2.0
7,13,2.6390573296152584,0,1,3,6,3,3,4,1.6094379124341003,1,1,4,4,4,26,12,2.5649493574615367,1,0,2,5,2,6,2,1,1,5.0
3,11,2.4849066497880004,0,2,1,4,1,27,13,2.6390573296152584,0,1,3,6,3,31,2,1.0986122886681098,1,2,2,2,2,3,6,1,0,22.0
1,8,2.1972245773362196,1,2,3,1,8,24,3,1.3862943611198906,0,0,3,3,3,23,6,1.9459101490553132,1,0,1,6,6,3,0,1,1,5.0
7,20,3.044522437723423,1,2,0,6,0,31,5,1.791759469228055,0,2,0,5,5,3,14,2.70805020110221,1,2,4,0,4,3,2,1,1,11.0
9,5,1.791759469228055,0,2,0,5,5,22,13,2.6390573296152584,0,1,3,6,3,13,10,2.3978952727983707,1,1,0,3,0,2,0,1,1,8.0
0,16,2.833213344056216,1,1,1,2,6,26,9,2.302585092994046,0,0,4,2,9,18,20,3.044522437723423,1,2,0,6,0,2,6,1,0,5.0
1,7,2.0794415416798357,0,1,2,0,7,20,16,2.833213344056216,1,1,1,2,6,4,16,2.833213344056216,1,1,1,2,6,5,2,1,1,7.0
4,15,2.772588722239781,0,0,0,1,5,17,16,2.833213344056216,1,1,1,2,6,30,4,1.6094379124341003,1,1,4,4,4,0,3,1,1,27.0
7,6,1.9459101490553132,1,0,1,6,6,32,20,3.044522437723423,1,2,0,6,0,16,20,3.044522437723423,1,2,0,6,0,4,4,2,1,6.0
2,11,2.4849066497880004,0,2,1,4,1,26,14,2.70805020110221,1,2,4,0,4,18,2,1.0986122886681098,1,2,2,2,2,2,6,1,1,23.0
0,4,1.6094379124341003,1,1,4,4,4,0,15,2.772588722239781,0,0,0,1,5,0,14,2.70805020110221,1,2,4,0,4,3,0,1,0,5.0
3,17,2.8903717578961645,0,2,2,3,7,6,5,1.791759469228055,0,2,0,5,5,10,18,2.9444389791664403,1,0,3,4,8,5,4,1,0,4.0
4,18,2.9444389791664403,1,0,3,4,8,25,12,2.5649493574615367,1,0,2,5,2,24,10,2.3978952727983707,1,1,0,3,0,1,1,2,0,20.0
5,18,2.9444389791664403,1,0,3,4,8,9,12,2.5649493574615367,1,0,2,5,2,14,5,1.791759469228055,0,2,0,5,5,2,3,1,0,25.0
9,6,1.9459101490553132,1,0,1,6,6,31,18,2.9444389791664403,1,0,3,4,8,26,9,2.302585092994046,0,0,4,2,9,3,2,3,2,15.0
1,15,2.772588722239781,0,0,0,1,5,31,17,2.8903717578961645,0,2,2,3,7,26,6,1.9459101490553132,1,0,1,6,6,6,2,1,0,26.0
5,3,1.3862943611198906,0,0,3,3,3,11,8,2.1972245773362196,1,2,3,1,8,32,9,2.302585092994046,0,0,4,2,9,3,4,1,1,2.0
3,2,1.0986122886681098,1,2,2,2,2,15,20,3.044522437723423,1,2,0,6,0,11,17,2.8903717578961645,0,2,2,3,7,0,6,1,1,5.0
6,20,3.044522437723423,1,2,0,6,0,33,15,2.772588722239781,0,0,0,1,5,7,25,3.258096538021482,0,1,0,4,5,3,4,5,0,10.0
7,8,2.1972245773362196,1,2,3,1,8,16,10,2.3978952727983707,1,1,0,3,0,32,14,2.70805020110221,1,2,4,0,4,5,4,2,0,4.0
3,5,1.791759469228055,0,2,0,5,5,24,18,2.9444389791664403,1,0,3,4,8,28,12,2.5649493574615367,1,0,2,5,2,4,0,1,0,11.0
8,4,1.6094379124341003,1,1,4,4,4,16,16,2.833213344056216,1,1,1,2,6,32,19,2.995732273553991,0,1,4,5,9,5,4,1,1,1.0
2,14,2.70805020110221,1,2,4,0,4,18,12,2.5649493574615367,1,0,2,5,2,29,13,2.6390573296152584,0,1,3,6,3,0,6,1,0,13.0
9,9,2.302585092994046,0,0,4,2,9,29,9,2.302585092994046,0,0,4,2,9,33,17,2.8903717578961645,0,2,2,3,7,0,5,1,1,1.0
6,3,1.3862943611198906,0,0,3,3,3,34,4,1.6094379124341003,1,1,4,4,4,20,2,1.0986122886681098,1,2,2,2,2,0,5,1,1,5.0
0,15,2.772588722239781,0,0,0,1,5,31,19,2.995732273553991,0,1,4,5,9,26,33,3.5263605246161616,0,0,3,5,3,6,2,1,0,1.0
1,5,1.791759469228055,0,2,0,5,5,7,10,2.3978952727983707,1,1,0,3,0,33,8,2.1972245773362196,1,2,3,1,8,0,5,1,1,7.0
8,15,2.772588722239781,0,0,0,1,5,6,12,2.5649493574615367,1,0,2,5,2,16,14,2.70805020110221,1,2,4,0,4,5,4,1,0,13.0
3,14,2.70805020110221,1,2,4,0,4,8,14,2.70805020110221,1,2,4,0,4,30,13,2.6390573296152584,0,1,3,6,3,2,3,1,1,15.0
7,9,2.302585092994046,0,0,4,2,9,4,18,2.9444389791664403,1,0,3,4,8,6,26,3.295836866004329,1,2,1,5,6,5,2,1,1,1.0
1,6,1.9459101490553132,1,0,1,6,6,18,7,2.0794415416798357,0,1,2,0,7,31,6,1.9459101490553132,1,0,1,6,6,3,6,1,1,7.0
2,7,2.0794415416798357,0,1,2,0,7,11,17,2.8903717578961645,0,2,2,3,7,10,15,2.772588722239781,0,0,0,1,5,4,4,1,0,9.0
5,8,2.1972245773362196,1,2,3,1,8,5,11,2.4849066497880004,0,2,1,4,1,14,10,2.3978952727983707,1,1,0,3,0,3,3,1,0,9.0
5,14,2.70805020110221,1,2,4,0,4,5,19,2.995732273553991,0,1,4,5,9,34,11,2.4849066497880004,0,2,1,4,1,3,3,1,0,22.0
8,10,2.3978952727983707,1,1,0,3,0,18,11,2.4849066497880004,0,2,1,4,1,31,18,2.9444389791664403,1,0,3,4,8,0,6,1,0,3.0
1,6,1.9459101490553132,1,0,1,6,6,17,4,1.6094379124341003,1,1,4,4,4,5,9,2.302585092994046,0,0,4,2,9,0,3,1,0,1.0
8,5,1.791759469228055,0,2,0,5,5,11,20,3.044522437723423,1,2,0,6,0,27,21,3.091042453358316,0,0,1,0,1,3,4,1,1,4.0
6,12,2.5649493574615367,1,0,2,5,2,6,7,2.0794415416798357,0,1,2,0,7,16,6,1.9459101490553132,1,0,1,6,6,5,4,1,1,13.0
6,15,2.772588722239781,0,0,0,1,5,5,7,2.0794415416798357,0,1,2,0,7,14,7,2.0794415416798357,0,1,2,0,7,3,3,1,1,15.0
9,18,2.9444389791664403,1,0,3,4,8,6,6,1.9459101490553132,1,0,1,6,6,16,17,2.8903717578961645,0,2,2,3,7,5,4,1,1,7.0
7,6,1.9459101490553132,1,0,1,6,6,30,7,2.0794415416798357,0,1,2,0,7,28,4,1.6094379124341003,1,1,4,4,4,3,0,1,0,9.0
3,17,2.8903717578961645,0,2,2,3,7,8,11,2.4849066497880004,0,2,1,4,1,30,15,2.772588722239781,0,0,0,1,5,0,3,1,0,13.0
5,20,3.044522437723423,1,2,0,6,0,19,11,2.4849066497880004,0,2,1,4,1,1,3,1.3862943611198906,0,0,3,3,3,0,1,1,0,28.0
6,12,2.5649493574615367,1,0,2,5,2,30,9,2.302585092994046,0,0,4,2,9,23,11,2.4849066497880004,0,2,1,4,1,2,0,1,0,10.0
9,10,2.3978952727983707,1,1,0,3,0,30,19,2.995732273553991,0,1,4,5,9,13,3,1.3862943611198906,0,0,3,3,3,4,0,1,0,26.0
0,13,2.6390573296152584,0,1,3,6,3,19,4,1.6094379124341003,1,1,4,4,4,1,9,2.302585092994046,0,0,4,2,9,2,1,1,0,8.0
5,18,2.9444389791664403,1,0,3,4,8,2,15,2.772588722239781,0,0,0,1,5,24,25,3.258096538021482,0,1,0,4,5,1,1,1,0,8.0
9,5,1.791759469228055,0,2,0,5,5,15,3,1.3862943611198906,0,0,3,3,3,31,3,1.3862943611198906,0,0,3,3,3,2,6,1,1,5.0
1,5,1.791759469228055,0,2,0,5,5,32,4,1.6094379124341003,1,1,4,4,4,16,1,0.6931471805599453,0,1,1,1,1,5,4,1,2,8.0
3,7,2.0794415416798357,0,1,2,0,7,3,16,2.833213344056216,1,1,1,2,6,6,22,3.1354942159291497,1,1,2,1,2,6,2,1,0,1.0
6,12,2.5649493574615367,1,0,2,5,2,5,13,2.6390573296152584,0,1,3,6,3,14,21,3.091042453358316,0,0,1,0,1,3,3,1,0,4.0
2,15,2.772588722239781,0,0,0,1,5,0,3,1.3862943611198906,0,0,3,3,3,13,8,2.1972245773362196,1,2,3,1,8,4,0,1,1,10.0
2,3,1.3862943611198906,0,0,3,3,3,20,4,1.6094379124341003,1,1,4,4,4,26,6,1.9459101490553132,1,0,1,6,6,5,2,1,1,1.0
7,8,2.1972245773362196,1,2,3,1,8,22,6,1.9459101490553132,1,0,1,6,6,13,8,2.1972245773362196,1,2,3,1,8,4,0,2,1,6.0
3,10,2.3978952727983707,1,1,0,3,0,6,20,3.044522437723423,1,2,0,6,0,10,22,3.1354942159291497,1,1,2,1,2,5,4,2,1,8.0
1,18,2.9444389791664403,1,0,3,4,8,17,16,2.833213344056216,1,1,1,2,6,34,22,3.1354942159291497,1,1,2,1,2,0,3,2,0,12.0
3,2,1.0986122886681098,1,2,2,2,2,19,7,2.0794415416798357,0,1,2,0,7,1,4,1.6094379124341003,1,1,4,4,4,0,1,1,1,5.0
9,5,1.791759469228055,0,2,0,5,5,20,12,2.5649493574615367,1,0,2,5,2,26,3,1.3862943611198906,0,0,3,3,3,5,2,1,1,14.0
7,15,2.772588722239781,0,0,0,1,5,20,20,3.044522437723423,1,2,0,6,0,26,23,3.1780538303479458,0,2,3,2,3,5,2,1,0,12.0
5,8,2.1972245773362196,1,2,3,1,8,5,5,1.791759469228055,0,2,0,5,5,9,4,1.6094379124341003,1,1,4,4,4,2,3,1,1,9.0
5,14,2.70805020110221,1,2,4,0,4,9,15,2.772588722239781,0,0,0,1,5,14,7,2.0794415416798357,0,1,2,0,7,3,3,1,1,22.0
9,8,2.1972245773362196,1,2,3,1,8,16,7,2.0794415416798357,0,1,2,0,7,27,14,2.70805020110221,1,2,4,0,4,5,4,1,1,1.0
3,13,2.6390573296152584,0,1,3,6,3,6,4,1.6094379124341003,1,1,4,4,4,7,9,2.302585092994046,0,0,4,2,9,3,4,1,0,8.0
7,3,1.3862943611198906,0,0,3,3,3,26,16,2.833213344056216,1,1,1,2,6,31,8,2.1972245773362196,1,2,3,1,8,0,6,1,1,11.0
3,11,2.4849066497880004,0,2,1,4,1,19,9,2.302585092994046,0,0,4,2,9,2,19,2.995732273553991,0,1,4,5,9,2,1,1,0,1.0
1,5,1.791759469228055,0,2,0,5,5,28,4,1.6094379124341003,1,1,4,4,4,25,2,1.0986122886681098,1,2,2,2,2,0,1,1,1,7.0
9,20,3.044522437723423,1,2,0,6,0,11,17,2.8903717578961645,0,2,2,3,7,27,12,2.5649493574615367,1,0,2,5,2,5,4,1,0,25.0
4,12,2.5649493574615367,1,0,2,5,2,32,7,2.0794415416798357,0,1,2,0,7,32,12,2.5649493574615367,1,0,2,5,2,3,4,1,1,7.0
3,19,2.995732273553991,0,1,4,5,9,9,17,2.8903717578961645,0,2,2,3,7,5,33,3.5263605246161616,0,0,3,5,3,2,3,1,0,3.0
5,2,1.0986122886681098,1,2,2,2,2,14,13,2.6390573296152584,0,1,3,6,3,30,11,2.4849066497880004,0,2,1,4,1,3,3,1,0,4.0
4,12,2.5649493574615367,1,0,2,5,2,14,14,2.70805020110221,1,2,4,0,4,14,9,2.302585092994046,0,0,4,2,9,2,3,1,0,17.0
3,3,1.3862943611198906,0,0,3,3,3,12,18,2.9444389791664403,1,0,3,4,8,33,18,2.9444389791664403,1,0,3,4,8,0,5,3,3,3.0
8,2,1.0986122886681098,1,2,2,2,2,27,11,2.4849066497880004,0,2,1,4,1,29,7,2.0794415416798357,0,1,2,0,7,2,6,1,0,6.0
6,14,2.70805020110221,1,2,4,0,4,11,14,2.70805020110221,1,2,4,0,4,27,5,1.791759469228055,0,2,0,5,5,4,4,1,1,23.0
4,20,3.044522437723423,1,2,0,6,0,5,3,1.3862943611198906,0,0,3,3,3,14,17,2.8903717578961645,0,2,2,3,7,0,3,1,0,6.0
4,17,2.8903717578961645,0,2,2,3,7,2,20,3.044522437723423,1,2,0,6,0,25,4,1.6094379124341003,1,1,4,4,4,2,1,1,1,33.0
1,9,2.302585092994046,0,0,4,2,9,2,2,1.0986122886681098,1,2,2,2,2,19,1,0.6931471805599453,0,1,1,1,1,0,1,1,2,10.0
5,5,1.791759469228055,0,2,0,5,5,4,18,2.9444389791664403,1,0,3,4,8,17,5,1.791759469228055,0,2,0,5,5,5,2,1,1,18.0
7,10,2.3978952727983707,1,1,0,3,0,29,12,2.5649493574615367,1,0,2,5,2,20,4,1.6094379124341003,1,1,4,4,4,0,5,2,1,18.0
5,16,2.833213344056216,1,1,1,2,6,0,18,2.9444389791664403,1,0,3,4,8,0,1,0.6931471805599453,0,1,1,1,1,4,0,1,2,33.0
0,18,2.9444389791664403,1,0,3,4,8,17,3,1.3862943611198906,0,0,3,3,3,34,5,1.791759469228055,0,2,0,5,5,3,3,1,1,16.0
0,7,2.0794415416798357,0,1,2,0,7,14,11,2.4849066497880004,0,2,1,4,1,30,7,2.0794415416798357,0,1,2,0,7,2,3,1,1,11.0
1,8,2.1972245773362196,1,2,3,1,8,13,5,1.791759469228055,0,2,0,5,5,18,9,2.302585092994046,0,0,4,2,9,3,6,1,0,4.0
