slot_name,slot_item,slot_prep_rate,slot_prep_rate_abs_log1p,slot_prep_rate_is_even,slot_prep_rate_mod3,slot_prep_rate_mod5,slot_prep_rate_mod7,slot_prep_rate_mod10,slot_batch_capacity,slot_batch_capacity_abs_log1p,slot_batch_capacity_is_even,slot_batch_capacity_mod3,slot_batch_capacity_mod5,slot_batch_capacity_mod7,slot_batch_capacity_mod10,slot_batch_time,slot_batch_time_abs_log1p,slot_batch_time_is_even,slot_batch_time_mod3,slot_batch_time_mod5,slot_batch_time_mod7,slot_batch_time_mod10,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,gcd_all,n_multiple_pairs,y
11,9,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,40,3.713572066704308,1,1,0,5,0,4,4,45.0
8,4,9,2.302585092994046,0,0,4,2,9,18,2.9444389791664403,1,0,3,4,8,24,3.2188758248682006,1,0,4,3,4,162,5.093750200806762,1,0,2,1,2,3,3,234.0
10,2,4,1.6094379124341003,1,1,4,4,4,32,3.4965075614664802,1,2,2,4,2,21,3.091042453358316,0,0,1,0,1,160,5.081404364984463,1,1,0,6,0,1,3,145.0
5,4,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,13,2.6390573296152584,0,1,3,6,3,10,2.3978952727983707,1,1,0,3,0,1,3,27.0
1,8,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,35,3.58351893845611,0,2,0,0,5,1,2,82.0
9,2,16,2.833213344056216,1,1,1,2,6,32,3.4965075614664802,1,2,2,4,2,21,3.091042453358316,0,0,1,0,1,192,5.262690188904886,1,0,2,3,2,1,3,138.0
7,11,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,45,3.828641396489095,0,0,0,3,5,1,3,102.0
5,7,15,2.772588722239781,0,0,0,1,5,25,3.258096538021482,0,1,0,4,5,19,2.995732273553991,0,1,4,5,9,150,5.017279836814924,1,0,0,3,0,1,2,124.0
11,12,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,14,2.70805020110221,1,2,4,0,4,24,3.2188758248682006,1,0,4,3,4,1,2,50.0
3,0,18,2.9444389791664403,1,0,3,4,8,18,2.9444389791664403,1,0,3,4,8,26,3.295836866004329,1,2,1,5,6,108,4.6913478822291435,1,0,3,3,8,2,3,162.0
10,9,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,18,2.9444389791664403,1,0,3,4,8,1,3,58.0
1,1,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,19,2.995732273553991,0,1,4,5,9,120,4.795790545596741,1,0,0,1,0,1,2,124.0
0,1,2,1.0986122886681098,1,2,2,2,2,36,3.6109179126442243,1,0,1,1,6,15,2.772588722239781,0,0,0,1,5,216,5.37989735354046,1,0,1,6,6,1,3,198.0
8,11,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,36,3.6109179126442243,1,0,1,1,6,1,3,32.0
9,12,14,2.70805020110221,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,26,3.295836866004329,1,2,1,5,6,56,4.04305126783455,1,2,1,0,6,2,2,186.0
9,10,54,4.007333185232471,1,0,4,5,4,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,54,4.007333185232471,1,0,4,5,4,2,3,43.0
7,2,8,2.1972245773362196,1,2,3,1,8,40,3.713572066704308,1,1,0,5,0,26,3.295836866004329,1,2,1,5,6,80,4.394449154672439,1,2,0,3,0,2,3,62.0
4,1,15,2.772588722239781,0,0,0,1,5,15,2.772588722239781,0,0,0,1,5,13,2.6390573296152584,0,1,3,6,3,45,3.828641396489095,0,0,0,3,5,1,3,42.0
1,9,60,4.110873864173311,1,0,0,4,0,30,3.4339872044851463,1,0,0,2,0,21,3.091042453358316,0,0,1,0,1,60,4.110873864173311,1,0,0,4,0,3,3,43.0
11,2,10,2.3978952727983707,1,1,0,3,0,30,3.4339872044851463,1,0,0,2,0,19,2.995732273553991,0,1,4,5,9,60,4.110873864173311,1,0,0,4,0,1,3,44.0
0,4,6,1.9459101490553132,1,0,1,6,6,15,2.772588722239781,0,0,0,1,5,19,2.995732273553991,0,1,4,5,9,30,3.4339872044851463,1,0,0,2,0,1,2,43.0
10,2,8,2.1972245773362196,1,2,3,1,8,32,3.4965075614664802,1,2,2,4,2,18,2.9444389791664403,1,0,3,4,8,256,5.54907608489522,1,1,1,4,6,2,3,176.0
3,7,40,3.713572066704308,1,1,0,5,0,50,3.9318256327243257,1,2,0,1,0,23,3.1780538303479458,0,2,3,2,3,200,5.303304908059076,1,2,0,4,0,1,2,97.0
7,7,27,3.332204510175204,0,0,2,6,7,45,3.828641396489095,0,0,0,3,5,18,2.9444389791664403,1,0,3,4,8,405,6.0063531596017325,0,0,0,6,5,9,2,177.0
2,9,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,17,2.8903717578961645,0,2,2,3,7,24,3.2188758248682006,1,0,4,3,4,1,3,46.0
3,7,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,2,4,32.0
7,1,4,1.6094379124341003,1,1,4,4,4,36,3.6109179126442243,1,0,1,1,6,27,3.332204510175204,0,0,2,6,7,72,4.290459441148391,1,0,2,2,2,1,3,72.0
11,5,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,18,2.9444389791664403,1,0,3,4,8,1,3,24.0
7,7,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,17,2.8903717578961645,0,2,2,3,7,75,4.330733340286331,0,0,0,5,5,1,3,66.0
11,1,45,3.828641396489095,0,0,0,3,5,45,3.828641396489095,0,0,0,3,5,14,2.70805020110221,1,2,4,0,4,405,6.0063531596017325,0,0,0,6,5,1,3,135.0
4,10,9,2.302585092994046,0,0,4,2,9,18,2.9444389791664403,1,0,3,4,8,18,2.9444389791664403,1,0,3,4,8,108,4.6913478822291435,1,0,3,3,8,9,6,120.0
5,6,8,2.1972245773362196,1,2,3,1,8,16,2.833213344056216,1,1,1,2,6,21,3.091042453358316,0,0,1,0,1,144,4.976733742420574,1,0,4,4,4,1,3,207.0
2,12,20,3.044522437723423,1,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,0,5,0,2,3,26.0
4,11,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,270,5.602118820879701,1,0,0,4,0,2,6,189.0
10,8,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,60,4.110873864173311,1,0,0,4,0,1,2,38.0
9,6,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,19,2.995732273553991,0,1,4,5,9,30,3.4339872044851463,1,0,0,2,0,1,3,63.0
8,9,6,1.9459101490553132,1,0,1,6,6,32,3.4965075614664802,1,2,2,4,2,12,2.5649493574615367,1,0,2,5,2,96,4.574710978503383,1,0,1,5,6,2,4,52.0
1,2,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,29,3.4011973816621555,0,2,4,1,9,48,3.8918202981106265,1,0,3,6,8,1,2,91.0
0,2,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,23,3.1780538303479458,0,2,3,2,3,32,3.4965075614664802,1,2,2,4,2,1,3,100.0
3,7,7,2.0794415416798357,0,1,2,0,7,10,2.3978952727983707,1,1,0,3,0,29,3.4011973816621555,0,2,4,1,9,70,4.2626798770413155,1,1,0,0,0,1,2,213.0
3,9,14,2.70805020110221,1,2,4,0,4,32,3.4965075614664802,1,2,2,4,2,20,3.044522437723423,1,2,0,6,0,224,5.41610040220442,1,2,4,0,4,2,2,156.0
0,11,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,21,3.091042453358316,0,0,1,0,1,24,3.2188758248682006,1,0,4,3,4,1,3,54.0
0,4,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,25,3.258096538021482,0,1,0,4,5,80,4.394449154672439,1,2,0,3,0,5,3,108.0
4,4,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,5,6,21.0
8,2,3,1.3862943611198906,0,0,3,3,3,32,3.4965075614664802,1,2,2,4,2,20,3.044522437723423,1,2,0,6,0,96,4.574710978503383,1,0,1,5,6,1,2,92.0
1,5,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,35,3.58351893845611,0,2,0,0,5,1,2,89.0
3,1,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,180,5.198497031265826,1,0,0,5,0,1,5,135.0
0,0,24,3.2188758248682006,1,0,4,3,4,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,72,4.290459441148391,1,0,2,2,2,2,2,43.0
4,3,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,0,1,5,23,3.1780538303479458,0,2,3,2,3,135,4.912654885736052,0,0,0,2,5,1,2,222.0
7,6,7,2.0794415416798357,0,1,2,0,7,32,3.4965075614664802,1,2,2,4,2,12,2.5649493574615367,1,0,2,5,2,224,5.41610040220442,1,2,4,0,4,1,2,116.0
0,7,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,26,3.295836866004329,1,2,1,5,6,50,3.9318256327243257,1,2,0,1,0,1,3,62.0
8,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,1,5,85.0
4,7,15,2.772588722239781,0,0,0,1,5,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,90,4.51085950651685,1,0,0,6,0,5,6,16.0
4,5,10,2.3978952727983707,1,1,0,3,0,50,3.9318256327243257,1,2,0,1,0,14,2.70805020110221,1,2,4,0,4,100,4.61512051684126,1,1,0,2,0,2,3,38.0
2,12,12,2.5649493574615367,1,0,2,5,2,24,3.2188758248682006,1,0,4,3,4,24,3.2188758248682006,1,0,4,3,4,144,4.976733742420574,1,0,4,4,4,12,6,156.0
11,5,5,1.791759469228055,0,2,0,5,5,36,3.6109179126442243,1,0,1,1,6,28,3.367295829986474,1,1,3,0,8,180,5.198497031265826,1,0,0,5,0,1,2,176.0
11,0,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,11,2.4849066497880004,0,2,1,4,1,144,4.976733742420574,1,0,4,4,4,1,3,136.0
1,4,2,1.0986122886681098,1,2,2,2,2,16,2.833213344056216,1,1,1,2,6,26,3.295836866004329,1,2,1,5,6,144,4.976733742420574,1,0,4,4,4,2,4,306.0
1,5,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,0,6,0,21,3.091042453358316,0,0,1,0,1,180,5.198497031265826,1,0,0,5,0,1,3,279.0
5,4,36,3.6109179126442243,1,0,1,1,6,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,72,4.290459441148391,1,0,2,2,2,1,3,68.0
11,6,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,0,4,5,17,2.8903717578961645,0,2,2,3,7,100,4.61512051684126,1,1,0,2,0,1,2,118.0
11,2,12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,28,3.367295829986474,1,1,3,0,8,36,3.6109179126442243,1,0,1,1,6,4,3,87.0
2,11,18,2.9444389791664403,1,0,3,4,8,12,2.5649493574615367,1,0,2,5,2,28,3.367295829986474,1,1,3,0,8,36,3.6109179126442243,1,0,1,1,6,2,2,86.0
4,10,8,2.1972245773362196,1,2,3,1,8,50,3.9318256327243257,1,2,0,1,0,22,3.1354942159291497,1,1,2,1,2,200,5.303304908059076,1,2,0,4,0,2,2,113.0
5,6,21,3.091042453358316,0,0,1,0,1,45,3.828641396489095,0,0,0,3,5,19,2.995732273553991,0,1,4,5,9,315,5.755742213586912,0,0,0,0,5,1,2,148.0
10,11,24,3.2188758248682006,1,0,4,3,4,32,3.4965075614664802,1,2,2,4,2,28,3.367295829986474,1,1,3,0,8,288,5.666426688112432,1,0,3,1,8,4,2,264.0
5,0,2,1.0986122886681098,1,2,2,2,2,16,2.833213344056216,1,1,1,2,6,21,3.091042453358316,0,0,1,0,1,80,4.394449154672439,1,2,0,3,0,1,3,145.0
5,12,15,2.772588722239781,0,0,0,1,5,45,3.828641396489095,0,0,0,3,5,18,2.9444389791664403,1,0,3,4,8,270,5.602118820879701,1,0,0,4,0,3,4,126.0
2,1,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,2,6,24,3.2188758248682006,1,0,4,3,4,128,4.859812404361672,1,2,3,2,8,4,4,224.0
9,0,10,2.3978952727983707,1,1,0,3,0,32,3.4965075614664802,1,2,2,4,2,10,2.3978952727983707,1,1,0,3,0,160,5.081404364984463,1,1,0,6,0,2,4,66.0
0,7,3,1.3862943611198906,0,0,3,3,3,24,3.2188758248682006,1,0,4,3,4,7,2.0794415416798357,0,1,2,0,7,144,4.976733742420574,1,0,4,4,4,1,3,90.0
10,8,40,3.713572066704308,1,1,0,5,0,24,3.2188758248682006,1,0,4,3,4,17,2.8903717578961645,0,2,2,3,7,120,4.795790545596741,1,0,0,1,0,1,2,88.0
6,10,14,2.70805020110221,1,2,4,0,4,18,2.9444389791664403,1,0,3,4,8,11,2.4849066497880004,0,2,1,4,1,126,4.844187086458591,1,0,1,0,6,1,2,86.0
2,11,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,45,3.828641396489095,0,0,0,3,5,1,3,153.0
0,9,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,12,2.5649493574615367,1,0,2,5,2,48,3.8918202981106265,1,0,3,6,8,4,4,40.0
6,2,32,3.4965075614664802,1,2,2,4,2,16,2.833213344056216,1,1,1,2,6,22,3.1354942159291497,1,1,2,1,2,64,4.174387269895637,1,1,4,1,4,2,3,90.0
9,0,12,2.5649493574615367,1,0,2,5,2,36,3.6109179126442243,1,0,1,1,6,16,2.833213344056216,1,1,1,2,6,252,5.53338948872752,1,0,2,0,2,4,3,133.0
4,3,6,1.9459101490553132,1,0,1,6,6,15,2.772588722239781,0,0,0,1,5,9,2.302585092994046,0,0,4,2,9,30,3.4339872044851463,1,0,0,2,0,3,2,23.0
2,0,10,2.3978952727983707,1,1,0,3,0,40,3.713572066704308,1,1,0,5,0,7,2.0794415416798357,0,1,2,0,7,240,5.484796933490655,1,0,0,2,0,1,3,66.0
0,3,5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,0,1,5,25,3.258096538021482,0,1,0,4,5,105,4.663439094112067,0,0,0,0,5,5,4,196.0
4,9,8,2.1972245773362196,1,2,3,1,8,40,3.713572066704308,1,1,0,5,0,8,2.1972245773362196,1,2,3,1,8,80,4.394449154672439,1,2,0,3,0,8,6,26.0
3,6,27,3.332204510175204,0,0,2,6,7,18,2.9444389791664403,1,0,3,4,8,12,2.5649493574615367,1,0,2,5,2,162,5.093750200806762,1,0,2,1,2,3,2,114.0
1,5,60,4.110873864173311,1,0,0,4,0,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,60,4.110873864173311,1,0,0,4,0,5,5,91.0
6,12,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,0,1,5,25,3.258096538021482,0,1,0,4,5,5,4,76.0
1,1,27,3.332204510175204,0,0,2,6,7,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,162,5.093750200806762,1,0,2,1,2,1,2,51.0
5,4,20,3.044522437723423,1,2,0,6,0,40,3.713572066704308,1,1,0,5,0,14,2.70805020110221,1,2,4,0,4,80,4.394449154672439,1,2,0,3,0,2,3,32.0
4,0,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,1,0,4,3,4,17,2.8903717578961645,0,2,2,3,7,192,5.262690188904886,1,0,2,3,2,1,3,232.0
4,10,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,96,4.574710978503383,1,0,1,5,6,6,6,112.0
11,1,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,0,5,0,6,1.9459101490553132,1,0,1,6,6,120,4.795790545596741,1,0,0,1,0,2,4,38.0
6,5,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,35,3.58351893845611,0,2,0,0,5,5,5,182.0
0,8,18,2.9444389791664403,1,0,3,4,8,36,3.6109179126442243,1,0,1,1,6,7,2.0794415416798357,0,1,2,0,7,180,5.198497031265826,1,0,0,5,0,1,3,45.0
7,12,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,48,3.8918202981106265,1,0,3,6,8,3,3,80.0
2,0,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,14,2.70805020110221,1,2,4,0,4,48,3.8918202981106265,1,0,3,6,8,2,3,68.0
1,8,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,12,2.5649493574615367,1,0,2,5,2,40,3.713572066704308,1,1,0,5,0,4,3,26.0
11,11,14,2.70805020110221,1,2,4,0,4,36,3.6109179126442243,1,0,1,1,6,20,3.044522437723423,1,2,0,6,0,252,5.53338948872752,1,0,2,0,2,2,2,158.0
2,5,50,3.9318256327243257,1,2,0,1,0,25,3.258096538021482,0,1,0,4,5,23,3.1780538303479458,0,2,3,2,3,100,4.61512051684126,1,1,0,2,0,1,3,94.0
6,7,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,42,3.7612001156935624,1,0,2,0,2,1,3,140.0
1,11,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,0,5,0,11,2.4849066497880004,0,2,1,4,1,240,5.484796933490655,1,0,0,2,0,1,2,146.0
2,8,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,0,5,0,17,2.8903717578961645,0,2,2,3,7,200,5.303304908059076,1,2,0,4,0,1,3,185.0
11,1,20,3.044522437723423,1,2,0,6,0,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,60,4.110873864173311,1,0,0,4,0,1,2,58.0
7,7,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,19,2.995732273553991,0,1,4,5,9,108,4.6913478822291435,1,0,3,3,8,1,3,198.0
4,0,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,2,6,10,2.3978952727983707,1,1,0,3,0,144,4.976733742420574,1,0,4,4,4,2,3,126.0
0,10,42,3.7612001156935624,1,0,2,0,2,36,3.6109179126442243,1,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,252,5.53338948872752,1,0,2,0,2,6,5,48.0
11,12,50,3.9318256327243257,1,2,0,1,0,50,3.9318256327243257,1,2,0,1,0,28,3.367295829986474,1,1,3,0,8,150,5.017279836814924,1,0,0,3,0,2,3,87.0
4,8,8,2.1972245773362196,1,2,3,1,8,36,3.6109179126442243,1,0,1,1,6,20,3.044522437723423,1,2,0,6,0,288,5.666426688112432,1,0,3,1,8,4,2,196.0
