slot_owner_name,slot_animal,slot_daily_eggs,slot_daily_eggs_abs_log1p,slot_daily_eggs_is_even,slot_daily_eggs_mod3,slot_daily_eggs_mod5,slot_daily_eggs_mod7,slot_daily_eggs_mod10,slot_pack_name,slot_group_size,slot_group_size_abs_log1p,slot_group_size_is_even,slot_group_size_mod3,slot_group_size_mod5,slot_group_size_mod7,slot_group_size_mod10,slot_price_per_pack,slot_price_per_pack_abs_log1p,slot_price_per_pack_is_even,slot_price_per_pack_mod3,slot_price_per_pack_mod5,slot_price_per_pack_mod7,slot_price_per_pack_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
3,3,258,5.556828061699537,1,0,3,6,8,4,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,0,1,1,5719.0
3,3,288,5.666426688112432,1,0,3,1,8,2,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,1,1,1,560.0
5,3,825,6.716594773520978,0,0,0,6,5,0,15,2.772588722239781,0,0,0,1,5,20,3.044522437723423,1,2,0,6,0,0,5,1,7700.0
1,0,576,6.3578422665081,1,0,1,2,6,4,18,2.9444389791664403,1,0,3,4,8,8,2.1972245773362196,1,2,3,1,8,1,2,2,1792.0
7,0,630,6.447305862541213,1,0,0,0,0,0,30,3.4339872044851463,1,0,0,2,0,7,2.0794415416798357,0,1,2,0,7,2,1,2,1029.0
6,2,216,5.37989735354046,1,0,1,6,6,4,12,2.5649493574615367,1,0,2,5,2,9,2.302585092994046,0,0,4,2,9,1,3,2,1134.0
1,2,570,6.3473892096560105,1,0,0,3,0,2,30,3.4339872044851463,1,0,0,2,0,13,2.6390573296152584,0,1,3,6,3,2,1,1,1729.0
6,2,855,6.752270376141742,0,0,0,1,5,0,15,2.772588722239781,0,0,0,1,5,10,2.3978952727983707,1,1,0,3,0,1,5,1,3990.0
2,1,126,4.844187086458591,1,0,1,0,6,4,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,0,6,3,294.0
5,3,550,6.311734809152915,1,1,0,4,0,0,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,2,2,3,770.0
7,1,490,6.19644412779452,1,1,0,0,0,4,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,1,2,1,2744.0
6,1,132,4.890349128221754,1,0,2,6,2,5,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,2,2,1,1540.0
0,1,696,6.546785410760524,1,0,1,3,6,2,24,3.2188758248682006,1,0,4,3,4,20,3.044522437723423,1,2,0,6,0,0,4,1,4060.0
3,2,340,5.831882477283517,1,1,0,4,0,1,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,1,1,1,357.0
5,2,840,6.734591659972948,1,0,0,0,0,2,24,3.2188758248682006,1,0,4,3,4,15,2.772588722239781,0,0,0,1,5,1,3,2,3675.0
3,2,216,5.37989735354046,1,0,1,6,6,2,24,3.2188758248682006,1,0,4,3,4,11,2.4849066497880004,0,2,1,4,1,2,1,1,693.0
2,3,530,6.274762021241939,1,2,0,5,0,1,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,0,10,2,7420.0
6,1,90,4.51085950651685,1,0,0,6,0,4,18,2.9444389791664403,1,0,3,4,8,20,3.044522437723423,1,2,0,6,0,1,2,1,700.0
0,3,330,5.802118375377063,1,0,0,1,0,2,15,2.772588722239781,0,0,0,1,5,17,2.8903717578961645,0,2,2,3,7,2,1,1,2618.0
2,2,600,6.398594934535208,1,0,0,5,0,2,30,3.4339872044851463,1,0,0,2,0,16,2.833213344056216,1,1,1,2,6,2,2,1,2240.0
6,3,624,6.437751649736401,1,0,4,1,4,0,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,0,2,3,728.0
7,2,600,6.398594934535208,1,0,0,5,0,1,12,2.5649493574615367,1,0,2,5,2,15,2.772588722239781,0,0,0,1,5,0,3,2,5250.0
0,2,774,6.652863029353347,1,0,4,4,4,4,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,1,3,3,903.0
0,1,126,4.844187086458591,1,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,2,3,294.0
6,0,230,5.442417710521793,1,2,0,6,0,4,10,2.3978952727983707,1,1,0,3,0,16,2.833213344056216,1,1,1,2,6,0,2,1,2576.0
5,3,396,5.983936280687191,1,0,1,4,6,1,12,2.5649493574615367,1,0,2,5,2,14,2.70805020110221,1,2,4,0,4,2,2,1,3234.0
0,2,180,5.198497031265826,1,0,0,5,0,2,30,3.4339872044851463,1,0,0,2,0,14,2.70805020110221,1,2,4,0,4,1,2,1,588.0
7,0,492,6.20050917404269,1,0,2,2,2,0,12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,2,12,3,3444.0
2,2,480,6.175867270105761,1,0,0,4,0,2,24,3.2188758248682006,1,0,4,3,4,19,2.995732273553991,0,1,4,5,9,0,1,1,2660.0
6,3,624,6.437751649736401,1,0,4,1,4,1,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,0,1,1,1820.0
3,2,108,4.6913478822291435,1,0,3,3,8,4,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,0,1,1,315.0
3,3,345,5.846438775057725,0,0,0,2,5,2,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,0,1,1,322.0
6,2,75,4.330733340286331,0,0,0,5,5,0,15,2.772588722239781,0,0,0,1,5,20,3.044522437723423,1,2,0,6,0,2,5,1,700.0
5,0,680,6.523562306149512,1,2,0,1,0,0,20,3.044522437723423,1,2,0,6,0,7,2.0794415416798357,0,1,2,0,7,0,1,1,1666.0
4,2,60,4.110873864173311,1,0,0,4,0,2,15,2.772588722239781,0,0,0,1,5,15,2.772588722239781,0,0,0,1,5,1,15,3,420.0
0,3,60,4.110873864173311,1,0,0,4,0,1,12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,0,6,1,630.0
7,2,60,4.110873864173311,1,0,0,4,0,1,6,1.9459101490553132,1,0,1,6,6,18,2.9444389791664403,1,0,3,4,8,2,6,2,1260.0
5,0,264,5.579729825986222,1,0,4,5,4,3,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,0,1,2,1694.0
7,1,360,5.8888779583328805,1,0,0,3,0,2,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,0,1,1,1,1,1,1,3,84.0
0,1,420,6.042632833682381,1,0,0,0,0,3,12,2.5649493574615367,1,0,2,5,2,19,2.995732273553991,0,1,4,5,9,0,1,1,4655.0
4,3,240,5.484796933490655,1,0,0,2,0,0,24,3.2188758248682006,1,0,4,3,4,9,2.302585092994046,0,0,4,2,9,1,3,1,630.0
4,3,900,6.803505257608338,1,0,0,4,0,2,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,1,5,3,1050.0
2,2,774,6.652863029353347,1,0,4,4,4,4,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,1,2,1,4214.0
5,3,270,5.602118820879701,1,0,0,4,0,1,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,1,1,2205.0
4,0,460,6.133398042996649,1,1,0,5,0,1,10,2.3978952727983707,1,1,0,3,0,18,2.9444389791664403,1,0,3,4,8,2,2,1,5796.0
7,2,648,6.47543271670409,1,0,3,4,8,0,24,3.2188758248682006,1,0,4,3,4,12,2.5649493574615367,1,0,2,5,2,1,12,3,2268.0
3,3,360,5.8888779583328805,1,0,0,3,0,0,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,0,1,3,105.0
3,3,264,5.579729825986222,1,0,4,5,4,5,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,0,1,1,5852.0
1,3,168,5.1298987149230735,1,0,3,0,8,1,12,2.5649493574615367,1,0,2,5,2,10,2.3978952727983707,1,1,0,3,0,2,2,1,980.0
5,0,465,6.144185634125646,0,0,0,3,5,0,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,0,1,1,434.0
2,2,264,5.579729825986222,1,0,4,5,4,0,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,1,1,1,385.0
2,1,720,6.580639137284949,1,0,0,6,0,0,30,3.4339872044851463,1,0,0,2,0,20,3.044522437723423,1,2,0,6,0,2,10,2,3360.0
4,2,504,6.22455842927536,1,0,4,0,4,4,12,2.5649493574615367,1,0,2,5,2,13,2.6390573296152584,0,1,3,6,3,2,1,1,3822.0
1,3,450,6.111467339502679,1,0,0,2,0,0,15,2.772588722239781,0,0,0,1,5,18,2.9444389791664403,1,0,3,4,8,1,3,2,3780.0
0,3,240,5.484796933490655,1,0,0,2,0,1,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,2,3,560.0
3,0,264,5.579729825986222,1,0,4,5,4,5,6,1.9459101490553132,1,0,1,6,6,17,2.8903717578961645,0,2,2,3,7,2,1,1,5236.0
4,3,465,6.144185634125646,0,0,0,3,5,2,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,2,1,1,434.0
0,1,510,6.236369590203704,1,0,0,6,0,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,0,2,3,714.0
5,2,860,6.7580945044277305,1,2,0,6,0,0,20,3.044522437723423,1,2,0,6,0,9,2.302585092994046,0,0,4,2,9,2,1,1,2709.0
1,0,774,6.652863029353347,1,0,4,4,4,2,18,2.9444389791664403,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,2,1,3,301.0
7,3,600,6.398594934535208,1,0,0,5,0,1,10,2.3978952727983707,1,1,0,3,0,17,2.8903717578961645,0,2,2,3,7,1,1,1,7140.0
3,1,870,6.769641976852503,1,0,0,2,0,2,30,3.4339872044851463,1,0,0,2,0,20,3.044522437723423,1,2,0,6,0,0,10,1,4060.0
1,0,800,6.68586094706836,1,2,0,2,0,1,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,2,20,3,5600.0
7,3,288,5.666426688112432,1,0,3,1,8,2,24,3.2188758248682006,1,0,4,3,4,15,2.772588722239781,0,0,0,1,5,0,3,1,1260.0
1,3,220,5.3981627015177525,1,1,0,3,0,0,10,2.3978952727983707,1,1,0,3,0,16,2.833213344056216,1,1,1,2,6,0,2,1,2464.0
3,2,696,6.546785410760524,1,0,1,3,6,2,24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,0,4,3,812.0
4,2,396,5.983936280687191,1,0,1,4,6,1,12,2.5649493574615367,1,0,2,5,2,10,2.3978952727983707,1,1,0,3,0,1,2,1,2310.0
1,3,612,6.418364935936212,1,0,2,3,2,4,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,0,2,1,3332.0
3,2,810,6.698268054115413,1,0,0,5,0,0,30,3.4339872044851463,1,0,0,2,0,9,2.302585092994046,0,0,4,2,9,0,3,2,1701.0
2,1,552,6.315358001522335,1,0,2,6,2,0,24,3.2188758248682006,1,0,4,3,4,18,2.9444389791664403,1,0,3,4,8,2,6,1,2898.0
5,0,345,5.846438775057725,0,0,0,2,5,2,15,2.772588722239781,0,0,0,1,5,10,2.3978952727983707,1,1,0,3,0,0,5,1,1610.0
2,3,480,6.175867270105761,1,0,0,4,0,2,24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,1,4,3,560.0
7,0,108,4.6913478822291435,1,0,3,3,8,2,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,1,3,3,126.0
2,2,780,6.660575149839686,1,0,0,3,0,0,30,3.4339872044851463,1,0,0,2,0,7,2.0794415416798357,0,1,2,0,7,1,1,1,1274.0
6,0,144,4.976733742420574,1,0,4,4,4,0,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,2,4,3,336.0
6,2,384,5.953243334287785,1,0,4,6,4,4,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,2,1,1,1568.0
5,0,40,3.713572066704308,1,1,0,5,0,4,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,1,5,1,420.0
6,3,66,4.204692619390966,1,0,1,3,6,5,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,1,2,1,1232.0
0,0,180,5.198497031265826,1,0,0,5,0,1,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,6,3,1260.0
6,3,370,5.916202062607435,1,1,0,6,0,0,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,0,2,1,3108.0
4,2,744,6.61338421837956,1,0,4,2,4,2,24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,0,4,3,868.0
5,2,432,6.07073772800249,1,0,2,5,2,3,12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,2,6,2,4536.0
1,2,192,5.262690188904886,1,0,2,3,2,2,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,1,2,3,112.0
2,1,60,4.110873864173311,1,0,0,4,0,0,15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,1,1,1,308.0
2,2,504,6.22455842927536,1,0,4,0,4,4,18,2.9444389791664403,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,0,1,3,196.0
5,1,522,6.259581464064923,1,0,2,4,2,2,18,2.9444389791664403,1,0,3,4,8,9,2.302585092994046,0,0,4,2,9,1,9,3,1827.0
5,0,180,5.198497031265826,1,0,0,5,0,1,10,2.3978952727983707,1,1,0,3,0,11,2.4849066497880004,0,2,1,4,1,0,1,1,1386.0
5,0,522,6.259581464064923,1,0,2,4,2,2,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,2,2,3,406.0
0,1,468,6.150602768446279,1,0,3,6,8,2,18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,1,1,1,1274.0
5,3,120,4.795790545596741,1,0,0,1,0,4,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,1,2,2,672.0
2,3,495,6.206575926724928,0,0,0,5,5,0,15,2.772588722239781,0,0,0,1,5,14,2.70805020110221,1,2,4,0,4,2,1,1,3234.0
4,2,660,6.493753839851686,1,0,0,2,0,0,20,3.044522437723423,1,2,0,6,0,14,2.70805020110221,1,2,4,0,4,0,2,1,3234.0
5,3,495,6.206575926724928,0,0,0,5,5,0,15,2.772588722239781,0,0,0,1,5,10,2.3978952727983707,1,1,0,3,0,1,5,1,2310.0
7,0,390,5.968707559985366,1,0,0,5,0,0,15,2.772588722239781,0,0,0,1,5,18,2.9444389791664403,1,0,3,4,8,1,3,1,3276.0
5,2,864,6.762729506931879,1,0,4,3,4,4,18,2.9444389791664403,1,0,3,4,8,11,2.4849066497880004,0,2,1,4,1,0,1,1,3696.0
0,3,450,6.111467339502679,1,0,0,2,0,2,30,3.4339872044851463,1,0,0,2,0,13,2.6390573296152584,0,1,3,6,3,0,1,1,1365.0
0,3,228,5.43372200355424,1,0,3,4,8,3,12,2.5649493574615367,1,0,2,5,2,13,2.6390573296152584,0,1,3,6,3,2,1,1,1729.0
6,1,324,5.783825182329737,1,0,4,2,4,4,6,1.9459101490553132,1,0,1,6,6,18,2.9444389791664403,1,0,3,4,8,0,6,3,6804.0
6,0,480,6.175867270105761,1,0,0,4,0,0,30,3.4339872044851463,1,0,0,2,0,10,2.3978952727983707,1,1,0,3,0,2,10,3,1120.0
2,0,550,6.311734809152915,1,1,0,4,0,0,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,0,1,3,385.0
4,1,675,6.516193076042964,0,0,0,3,5,2,15,2.772588722239781,0,0,0,1,5,13,2.6390573296152584,0,1,3,6,3,1,1,1,4095.0
7,0,156,5.056245805348308,1,0,1,2,6,0,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,1,1,3,91.0
1,2,270,5.602118820879701,1,0,0,4,0,2,30,3.4339872044851463,1,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,1,2,1,504.0
6,1,420,6.042632833682381,1,0,0,0,0,0,12,2.5649493574615367,1,0,2,5,2,17,2.8903717578961645,0,2,2,3,7,1,1,1,4165.0
5,2,390,5.968707559985366,1,0,0,5,0,2,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,0,1,1,1,1,1,1,3,91.0
5,0,315,5.755742213586912,0,0,0,0,5,0,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,0,1,1,294.0
3,1,510,6.236369590203704,1,0,0,6,0,0,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,2,2,3,238.0
0,0,192,5.262690188904886,1,0,2,3,2,1,12,2.5649493574615367,1,0,2,5,2,14,2.70805020110221,1,2,4,0,4,1,2,1,1568.0
0,3,600,6.398594934535208,1,0,0,5,0,2,24,3.2188758248682006,1,0,4,3,4,11,2.4849066497880004,0,2,1,4,1,2,1,1,1925.0
0,3,330,5.802118375377063,1,0,0,1,0,0,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,2,3,3,462.0
2,3,156,5.056245805348308,1,0,1,2,6,4,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,2,4,1,1456.0
7,3,144,4.976733742420574,1,0,4,4,4,4,18,2.9444389791664403,1,0,3,4,8,19,2.995732273553991,0,1,4,5,9,1,1,1,1064.0
6,0,456,6.124683390894205,1,0,1,1,6,1,12,2.5649493574615367,1,0,2,5,2,14,2.70805020110221,1,2,4,0,4,1,2,1,3724.0
4,1,276,5.6240175061873385,1,0,1,3,6,5,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,2,1,1,6118.0
7,3,220,5.3981627015177525,1,1,0,3,0,0,20,3.044522437723423,1,2,0,6,0,14,2.70805020110221,1,2,4,0,4,2,2,1,1078.0
2,2,900,6.803505257608338,1,0,0,4,0,4,18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,2,1,1,2450.0
7,3,168,5.1298987149230735,1,0,3,0,8,2,24,3.2188758248682006,1,0,4,3,4,20,3.044522437723423,1,2,0,6,0,2,4,1,980.0
1,0,72,4.290459441148391,1,0,2,2,2,4,18,2.9444389791664403,1,0,3,4,8,13,2.6390573296152584,0,1,3,6,3,1,1,1,364.0
0,2,84,4.442651256490317,1,0,4,0,4,0,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,2,2,3,98.0
2,2,780,6.660575149839686,1,0,0,3,0,0,20,3.044522437723423,1,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,1,4,1,2184.0
7,1,320,5.771441123130016,1,2,0,5,0,1,10,2.3978952727983707,1,1,0,3,0,16,2.833213344056216,1,1,1,2,6,2,2,2,3584.0
2,0,810,6.698268054115413,1,0,0,5,0,4,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,2,2,2,3150.0
4,2,168,5.1298987149230735,1,0,3,0,8,2,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,1,1,3,49.0
