slot_person_name,slot_item_plural,slot_target_color,slot_other_color,slot_shade_a,slot_shade_b,slot_target_count_a,slot_target_count_a_abs_log1p,slot_target_count_a_is_even,slot_target_count_a_mod3,slot_target_count_a_mod5,slot_target_count_a_mod7,slot_target_count_a_mod10,slot_target_count_b,slot_target_count_b_abs_log1p,slot_target_count_b_is_even,slot_target_count_b_mod3,slot_target_count_b_mod5,slot_target_count_b_mod7,slot_target_count_b_mod10,slot_other_count_a,slot_other_count_a_abs_log1p,slot_other_count_a_is_even,slot_other_count_a_mod3,slot_other_count_a_mod5,slot_other_count_a_mod7,slot_other_count_a_mod10,slot_other_count_b,slot_other_count_b_abs_log1p,slot_other_count_b_is_even,slot_other_count_b_mod3,slot_other_count_b_mod5,slot_other_count_b_mod7,slot_other_count_b_mod10,gcd_all,n_multiple_pairs,y
1,5,8,5,1,7,20,3.044522437723423,1,2,0,6,0,21,3.091042453358316,0,0,1,0,1,14,2.70805020110221,1,2,4,0,4,27,3.332204510175204,0,0,2,6,7,1,0,50.0
6,1,1,5,1,5,60,4.110873864173311,1,0,0,4,0,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,2,0,68.0
7,8,1,2,3,9,57,4.060443010546419,0,0,2,1,7,102,4.634728988229636,1,0,2,4,2,48,3.8918202981106265,1,0,3,6,8,5,1.791759469228055,0,2,0,5,5,1,0,75.0
4,0,2,2,6,8,81,4.406719247264253,0,0,1,4,1,33,3.5263605246161616,0,0,3,5,3,12,2.5649493574615367,1,0,2,5,2,26,3.295836866004329,1,2,1,5,6,1,0,75.0
7,6,5,5,1,4,73,4.30406509320417,0,1,3,3,3,71,4.276666119016055,0,2,1,1,1,4,1.6094379124341003,1,1,4,4,4,44,3.8066624897703196,1,2,4,2,4,1,1,75.0
8,3,8,3,6,2,4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,0,1,0,21,3.091042453358316,0,0,1,0,1,45,3.828641396489095,0,0,0,3,5,1,0,45.0
2,8,6,7,5,2,2,1.0986122886681098,1,2,2,2,2,96,4.574710978503383,1,0,1,5,6,49,3.912023005428146,0,1,4,0,9,49,3.912023005428146,0,1,4,0,9,1,2,50.0
6,4,3,0,6,7,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,2,4,0,4,1,1,50.0
3,2,5,8,5,2,36,3.6109179126442243,1,0,1,1,6,111,4.718498871295094,0,0,1,6,1,44,3.8066624897703196,1,2,4,2,4,5,1.791759469228055,0,2,0,5,5,1,0,75.0
4,5,4,1,5,0,74,4.31748811353631,1,2,4,4,4,100,4.61512051684126,1,1,0,2,0,33,3.5263605246161616,0,0,3,5,3,25,3.258096538021482,0,1,0,4,5,1,1,75.0
7,9,4,5,2,7,19,2.995732273553991,0,1,4,5,9,18,2.9444389791664403,1,0,3,4,8,36,3.6109179126442243,1,0,1,1,6,1,0.6931471805599453,0,1,1,1,1,1,4,50.0
0,7,7,6,1,4,32,3.4965075614664802,1,2,2,4,2,16,2.833213344056216,1,1,1,2,6,18,2.9444389791664403,1,0,3,4,8,30,3.4339872044851463,1,0,0,2,0,2,1,50.0
8,7,6,5,3,9,52,3.970291913552122,1,1,2,3,2,26,3.295836866004329,1,2,1,5,6,21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,1,1,75.0
0,2,7,1,9,3,80,4.394449154672439,1,2,0,3,0,47,3.871201010907891,0,2,2,5,7,54,4.007333185232471,1,0,4,5,4,73,4.30406509320417,0,1,3,3,3,1,0,50.0
3,8,6,3,8,7,111,4.718498871295094,0,0,1,6,1,10,2.3978952727983707,1,1,0,3,0,106,4.672828834461906,1,1,1,1,6,15,2.772588722239781,0,0,0,1,5,1,0,50.0
3,5,5,7,7,0,55,4.02535169073515,0,1,0,6,5,61,4.127134385045092,0,1,1,5,1,6,1.9459101490553132,1,0,1,6,6,23,3.1780538303479458,0,2,3,2,3,1,0,80.0
6,2,7,2,9,1,5,1.791759469228055,0,2,0,5,5,61,4.127134385045092,0,1,1,5,1,15,2.772588722239781,0,0,0,1,5,29,3.4011973816621555,0,2,4,1,9,1,1,60.0
0,4,3,5,9,9,161,5.087596335232384,0,2,1,0,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,51,3.9512437185814275,0,0,1,2,1,1,4,75.0
8,3,3,0,6,7,89,4.499809670330265,0,2,4,5,9,54,4.007333185232471,1,0,4,5,4,121,4.804021044733257,0,1,1,2,1,22,3.1354942159291497,1,1,2,1,2,1,0,50.0
3,7,7,1,0,6,2,1.0986122886681098,1,2,2,2,2,19,2.995732273553991,0,1,4,5,9,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,1,0,60.0
5,4,4,6,8,9,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,0,1,1,6,20,3.044522437723423,1,2,0,6,0,19,2.995732273553991,0,1,4,5,9,1,1,50.0
7,2,3,0,5,8,11,2.4849066497880004,0,2,1,4,1,172,5.153291594497779,1,1,2,4,2,45,3.828641396489095,0,0,0,3,5,16,2.833213344056216,1,1,1,2,6,1,0,75.0
8,5,6,1,3,9,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,21,3.091042453358316,0,0,1,0,1,13,2.6390573296152584,0,1,3,6,3,1,1,15.0
6,4,8,4,4,6,20,3.044522437723423,1,2,0,6,0,23,3.1780538303479458,0,2,3,2,3,38,3.6635616461296463,1,2,3,3,8,5,1.791759469228055,0,2,0,5,5,1,1,50.0
6,8,1,3,9,0,5,1.791759469228055,0,2,0,5,5,34,3.5553480614894135,1,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,23,3.1780538303479458,0,2,3,2,3,1,0,60.0
6,2,4,0,2,4,9,2.302585092994046,0,0,4,2,9,76,4.343805421853684,1,1,1,6,6,30,3.4339872044851463,1,0,0,2,0,55,4.02535169073515,0,1,0,6,5,1,0,50.0
6,4,7,1,6,5,6,1.9459101490553132,1,0,1,6,6,123,4.820281565605037,0,0,3,4,3,37,3.6375861597263857,0,1,2,2,7,92,4.532599493153256,1,2,2,1,2,1,0,50.0
1,0,4,8,8,7,2,1.0986122886681098,1,2,2,2,2,22,3.1354942159291497,1,1,2,1,2,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,4,80.0
6,0,4,7,1,6,13,2.6390573296152584,0,1,3,6,3,18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,24,3.2188758248682006,1,0,4,3,4,1,0,50.0
0,9,0,5,2,7,36,3.6109179126442243,1,0,1,1,6,45,3.828641396489095,0,0,0,3,5,64,4.174387269895637,1,1,4,1,4,17,2.8903717578961645,0,2,2,3,7,1,0,50.0
1,6,2,7,7,9,16,2.833213344056216,1,1,1,2,6,35,3.58351893845611,0,2,0,0,5,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,1,1,68.0
5,7,7,6,0,4,97,4.584967478670572,0,1,2,6,7,18,2.9444389791664403,1,0,3,4,8,88,4.48863636973214,1,1,3,4,8,27,3.332204510175204,0,0,2,6,7,1,0,50.0
7,10,3,5,5,9,42,3.7612001156935624,1,0,2,0,2,91,4.5217885770490405,0,1,1,0,1,86,4.465908118654584,1,2,1,2,6,47,3.871201010907891,0,2,2,5,7,1,0,50.0
9,4,7,3,7,4,8,2.1972245773362196,1,2,3,1,8,36,3.6109179126442243,1,0,1,1,6,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,1,80.0
1,11,8,5,1,6,116,4.762173934797756,1,2,1,4,6,7,2.0794415416798357,0,1,2,0,7,119,4.787491742782046,0,2,4,0,9,4,1.6094379124341003,1,1,4,4,4,1,2,50.0
8,5,1,2,8,9,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,22,3.1354942159291497,1,1,2,1,2,14,2.70805020110221,1,2,4,0,4,1,1,20.0
6,9,1,8,1,6,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,0,4,5,1,4,10.0
8,8,7,5,5,2,190,5.25227342804663,1,1,0,1,0,46,3.8501476017100584,1,1,1,4,6,32,3.4965075614664802,1,2,2,4,2,27,3.332204510175204,0,0,2,6,7,1,0,80.0
7,8,1,1,4,4,14,2.70805020110221,1,2,4,0,4,23,3.1780538303479458,0,2,3,2,3,30,3.4339872044851463,1,0,0,2,0,81,4.406719247264253,0,0,1,4,1,1,0,25.0
3,5,8,4,3,9,42,3.7612001156935624,1,0,2,0,2,25,3.258096538021482,0,1,0,4,5,7,2.0794415416798357,0,1,2,0,7,60,4.110873864173311,1,0,0,4,0,1,1,50.0
1,0,2,7,9,1,51,3.9512437185814275,0,0,1,2,1,96,4.574710978503383,1,0,1,5,6,16,2.833213344056216,1,1,1,2,6,33,3.5263605246161616,0,0,3,5,3,1,1,75.0
1,9,3,5,9,0,22,3.1354942159291497,1,1,2,1,2,131,4.882801922586371,0,2,1,5,1,16,2.833213344056216,1,1,1,2,6,56,4.04305126783455,1,2,1,0,6,1,0,68.0
6,5,1,4,4,7,36,3.6109179126442243,1,0,1,1,6,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,109,4.700480365792417,0,1,4,4,9,1,4,25.0
2,5,2,8,1,2,31,3.4657359027997265,0,1,1,3,1,25,3.258096538021482,0,1,0,4,5,52,3.970291913552122,1,1,2,3,2,52,3.970291913552122,1,1,2,3,2,1,1,35.0
9,1,5,3,0,2,31,3.4657359027997265,0,1,1,3,1,45,3.828641396489095,0,0,0,3,5,35,3.58351893845611,0,2,0,0,5,41,3.7376696182833684,0,2,1,6,1,1,0,50.0
3,2,7,1,6,0,34,3.5553480614894135,1,1,4,6,4,25,3.258096538021482,0,1,0,4,5,30,3.4339872044851463,1,0,0,2,0,29,3.4011973816621555,0,2,4,1,9,1,0,50.0
7,5,7,1,6,4,3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,2,4,0,4,50,3.9318256327243257,1,2,0,1,0,18,2.9444389791664403,1,0,3,4,8,1,1,20.0
6,1,7,3,2,0,6,1.9459101490553132,1,0,1,6,6,53,3.9889840465642745,0,2,3,4,3,5,1.791759469228055,0,2,0,5,5,54,4.007333185232471,1,0,4,5,4,1,1,50.0
6,10,2,1,6,3,62,4.143134726391533,1,2,2,6,2,37,3.6375861597263857,0,1,2,2,7,18,2.9444389791664403,1,0,3,4,8,15,2.772588722239781,0,0,0,1,5,1,0,75.0
2,8,1,5,1,8,14,2.70805020110221,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,68,4.23410650459726,1,2,3,5,8,185,5.225746673713202,0,2,0,3,5,1,0,8.0
1,6,6,3,8,3,40,3.713572066704308,1,1,0,5,0,64,4.174387269895637,1,1,4,1,4,41,3.7376696182833684,0,2,1,6,1,63,4.1588830833596715,0,0,3,0,3,1,0,50.0
0,3,4,6,0,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,26,3.295836866004329,1,2,1,5,6,1,0,16.0
1,5,1,1,8,4,84,4.442651256490317,1,0,4,0,4,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,103,4.6443908991413725,0,1,3,5,3,1,1,50.0
3,2,7,0,3,0,18,2.9444389791664403,1,0,3,4,8,39,3.6888794541139363,0,0,4,4,9,112,4.727387818712341,1,1,2,0,2,59,4.0943445622221,0,2,4,3,9,1,0,25.0
4,4,3,3,5,8,34,3.5553480614894135,1,1,4,6,4,20,3.044522437723423,1,2,0,6,0,33,3.5263605246161616,0,0,3,5,3,63,4.1588830833596715,0,0,3,0,3,1,0,36.0
7,5,7,4,5,5,15,2.772588722239781,0,0,0,1,5,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,1,1,80.0
3,4,1,5,3,6,125,4.836281906951478,0,2,0,6,5,14,2.70805020110221,1,2,4,0,4,50,3.9318256327243257,1,2,0,1,0,89,4.499809670330265,0,2,4,5,9,1,0,50.0
3,4,5,3,6,1,20,3.044522437723423,1,2,0,6,0,31,3.4657359027997265,0,1,1,3,1,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,3,85.0
5,3,6,0,0,8,7,2.0794415416798357,0,1,2,0,7,107,4.68213122712422,0,2,2,2,7,21,3.091042453358316,0,0,1,0,1,17,2.8903717578961645,0,2,2,3,7,1,1,75.0
7,8,1,5,9,3,47,3.871201010907891,0,2,2,5,7,50,3.9318256327243257,1,2,0,1,0,45,3.828641396489095,0,0,0,3,5,52,3.970291913552122,1,1,2,3,2,1,0,50.0
8,3,3,7,1,8,19,2.995732273553991,0,1,4,5,9,30,3.4339872044851463,1,0,0,2,0,15,2.772588722239781,0,0,0,1,5,34,3.5553480614894135,1,1,4,6,4,1,1,50.0
2,3,5,4,4,0,37,3.6375861597263857,0,1,2,2,7,76,4.343805421853684,1,1,1,6,6,22,3.1354942159291497,1,1,2,1,2,91,4.5217885770490405,0,1,1,0,1,1,0,50.0
1,3,8,2,6,5,58,4.07753744390572,1,1,3,2,8,1,0.6931471805599453,0,1,1,1,1,11,2.4849066497880004,0,2,1,4,1,48,3.8918202981106265,1,0,3,6,8,1,3,50.0
1,5,4,0,0,2,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,98,4.59511985013459,1,2,3,0,8,2,1,25.0
2,5,8,6,7,2,53,3.9889840465642745,0,2,3,4,3,43,3.784189633918261,0,1,3,1,3,65,4.189654742026425,0,2,0,2,5,31,3.4657359027997265,0,1,1,3,1,1,0,50.0
5,0,0,8,7,8,57,4.060443010546419,0,0,2,1,7,53,3.9889840465642745,0,2,3,4,3,8,2.1972245773362196,1,2,3,1,8,157,5.062595033026967,0,1,2,3,7,1,0,40.0
5,11,0,8,3,3,25,3.258096538021482,0,1,0,4,5,61,4.127134385045092,0,1,1,5,1,37,3.6375861597263857,0,1,2,2,7,49,3.912023005428146,0,1,4,0,9,1,0,50.0
2,0,1,7,6,8,117,4.770684624465665,0,0,2,5,7,22,3.1354942159291497,1,1,2,1,2,104,4.653960350157523,1,2,4,6,4,35,3.58351893845611,0,2,0,0,5,1,0,50.0
4,1,4,8,0,1,104,4.653960350157523,1,2,4,6,4,23,3.1780538303479458,0,2,3,2,3,38,3.6635616461296463,1,2,3,3,8,89,4.499809670330265,0,2,4,5,9,1,0,50.0
0,6,8,4,5,8,67,4.219507705176107,0,1,2,4,7,41,3.7376696182833684,0,2,1,6,1,5,1.791759469228055,0,2,0,5,5,112,4.727387818712341,1,1,2,0,2,1,0,48.0
0,11,7,5,1,6,104,4.653960350157523,1,2,4,6,4,27,3.332204510175204,0,0,2,6,7,55,4.02535169073515,0,1,0,6,5,76,4.343805421853684,1,1,1,6,6,1,0,50.0
9,1,1,5,1,2,130,4.875197323201151,1,1,0,4,0,17,2.8903717578961645,0,2,2,3,7,42,3.7612001156935624,1,0,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,1,75.0
4,1,3,0,2,8,8,2.1972245773362196,1,2,3,1,8,40,3.713572066704308,1,1,0,5,0,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,6,96.0
2,7,4,6,4,9,52,3.970291913552122,1,1,2,3,2,20,3.044522437723423,1,2,0,6,0,7,2.0794415416798357,0,1,2,0,7,17,2.8903717578961645,0,2,2,3,7,1,0,75.0
8,7,4,2,0,1,45,3.828641396489095,0,0,0,3,5,12,2.5649493574615367,1,0,2,5,2,93,4.543294782270004,0,0,3,2,3,40,3.713572066704308,1,1,0,5,0,1,0,30.0
5,11,2,1,7,4,20,3.044522437723423,1,2,0,6,0,42,3.7612001156935624,1,0,2,0,2,40,3.713572066704308,1,1,0,5,0,146,4.990432586778736,1,2,1,6,6,2,1,25.0
7,6,1,5,2,8,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,41,3.7376696182833684,0,2,1,6,1,1,0.6931471805599453,0,1,1,1,1,1,4,25.0
6,0,1,2,4,4,1,0.6931471805599453,0,1,1,1,1,25,3.258096538021482,0,1,0,4,5,71,4.276666119016055,0,2,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,3,25.0
3,11,4,7,1,1,61,4.127134385045092,0,1,1,5,1,56,4.04305126783455,1,2,1,0,6,72,4.290459441148391,1,0,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,1,60.0
3,8,3,4,9,0,39,3.6888794541139363,0,0,4,4,9,27,3.332204510175204,0,0,2,6,7,65,4.189654742026425,0,2,0,2,5,1,0.6931471805599453,0,1,1,1,1,1,3,50.0
1,7,2,6,0,6,7,2.0794415416798357,0,1,2,0,7,92,4.532599493153256,1,2,2,1,2,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,1,1,75.0
7,6,0,8,3,6,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,17,2.8903717578961645,0,2,2,3,7,13,2.6390573296152584,0,1,3,6,3,1,1,25.0
3,0,0,2,1,3,8,2.1972245773362196,1,2,3,1,8,49,3.912023005428146,0,1,4,0,9,41,3.7376696182833684,0,2,1,6,1,16,2.833213344056216,1,1,1,2,6,1,1,50.0
7,4,0,7,1,3,5,1.791759469228055,0,2,0,5,5,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,1,0,50.0
7,6,3,0,7,3,43,3.784189633918261,0,1,3,1,3,74,4.31748811353631,1,2,4,4,4,9,2.302585092994046,0,0,4,2,9,69,4.248495242049359,0,0,4,6,9,1,0,60.0
8,5,0,4,7,7,92,4.532599493153256,1,2,2,1,2,136,4.919980925828125,1,1,1,3,6,22,3.1354942159291497,1,1,2,1,2,35,3.58351893845611,0,2,0,0,5,1,0,80.0
0,1,4,7,3,1,37,3.6375861597263857,0,1,2,2,7,14,2.70805020110221,1,2,4,0,4,18,2.9444389791664403,1,0,3,4,8,33,3.5263605246161616,0,0,3,5,3,1,0,50.0
0,2,1,6,5,0,104,4.653960350157523,1,2,4,6,4,18,2.9444389791664403,1,0,3,4,8,56,4.04305126783455,1,2,1,0,6,66,4.204692619390966,1,0,1,3,6,2,0,50.0
7,2,4,7,4,8,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,1,40.0
2,6,4,6,5,2,89,4.499809670330265,0,2,4,5,9,5,1.791759469228055,0,2,0,5,5,49,3.912023005428146,0,1,4,0,9,45,3.828641396489095,0,0,0,3,5,1,1,50.0
1,10,4,7,4,8,98,4.59511985013459,1,2,3,0,8,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,175,5.170483995038151,0,1,0,0,5,1,2,40.0
5,10,7,7,9,3,107,4.68213122712422,0,2,2,2,7,29,3.4011973816621555,0,2,4,1,9,97,4.584967478670572,0,1,2,6,7,39,3.6888794541139363,0,0,4,4,9,1,0,50.0
8,1,3,4,4,1,70,4.2626798770413155,1,1,0,0,0,8,2.1972245773362196,1,2,3,1,8,53,3.9889840465642745,0,2,3,4,3,25,3.258096538021482,0,1,0,4,5,1,0,50.0
7,2,6,5,6,0,44,3.8066624897703196,1,2,4,2,4,79,4.382026634673881,0,1,4,2,9,96,4.574710978503383,1,0,1,5,6,27,3.332204510175204,0,0,2,6,7,1,0,50.0
7,5,8,4,8,9,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,0,4,5,43,3.784189633918261,0,1,3,1,3,110,4.709530201312334,1,2,0,5,0,1,1,15.0
1,11,4,1,7,6,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,1,40.0
3,5,7,3,1,2,86,4.465908118654584,1,2,1,2,6,43,3.784189633918261,0,1,3,1,3,12,2.5649493574615367,1,0,2,5,2,31,3.4657359027997265,0,1,1,3,1,1,1,75.0
9,9,6,1,8,5,23,3.1780538303479458,0,2,3,2,3,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,4,80.0
6,10,7,3,3,4,77,4.356708826689592,0,2,2,0,7,1,0.6931471805599453,0,1,1,1,1,100,4.61512051684126,1,1,0,2,0,17,2.8903717578961645,0,2,2,3,7,1,3,40.0
5,7,3,2,4,3,5,1.791759469228055,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,31,3.4657359027997265,0,1,1,3,1,32,3.4965075614664802,1,2,2,4,2,1,1,25.0
7,10,3,1,8,6,117,4.770684624465665,0,0,2,5,7,6,1.9459101490553132,1,0,1,6,6,69,4.248495242049359,0,0,4,6,9,13,2.6390573296152584,0,1,3,6,3,1,1,60.0
6,4,1,8,9,1,7,2.0794415416798357,0,1,2,0,7,56,4.04305126783455,1,2,1,0,6,86,4.465908118654584,1,2,1,2,6,26,3.295836866004329,1,2,1,5,6,1,1,36.0
