slot_person_name,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_food,slot_animal_plural,slot_animal_singular,slot_days,slot_days_abs_log1p,slot_days_is_even,slot_days_mod3,slot_days_mod5,slot_days_mod7,slot_days_mod10,slot_first_daily,slot_first_daily_abs_log1p,slot_first_daily_is_even,slot_first_daily_mod3,slot_first_daily_mod5,slot_first_daily_mod7,slot_first_daily_mod10,slot_delta,slot_delta_abs_log1p,slot_delta_is_even,slot_delta_mod3,slot_delta_mod5,slot_delta_mod7,slot_delta_mod10,gcd_all,n_multiple_pairs,y
2,650,6.478509642208569,1,2,0,6,0,6,4,4,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,2,2,17.0
6,440,6.089044875446846,1,2,0,6,0,3,0,0,10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,1,27.0
0,584,6.371611847231857,1,2,4,3,4,3,5,5,8,2.1972245773362196,1,2,3,1,8,25,3.258096538021482,0,1,0,4,5,4,1.6094379124341003,1,1,4,4,4,1,3,19.0
2,520,6.255750041753367,1,1,0,2,0,0,7,7,10,2.3978952727983707,1,1,0,3,0,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,1,3,15.0
1,396,5.983936280687191,1,0,1,4,6,8,6,6,9,2.302585092994046,0,0,4,2,9,13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,0,1,6,6,1,2,12.0
0,231,5.44673737166631,0,0,1,0,1,6,3,3,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,3,15.0
3,420,6.042632833682381,1,0,0,0,0,3,2,2,7,2.0794415416798357,0,1,2,0,7,14,2.70805020110221,1,2,4,0,4,11,2.4849066497880004,0,2,1,4,1,1,3,21.0
6,584,6.371611847231857,1,2,4,3,4,0,2,2,8,2.1972245773362196,1,2,3,1,8,17,2.8903717578961645,0,2,2,3,7,9,2.302585092994046,0,0,4,2,9,1,1,30.0
6,215,5.375278407684165,0,2,0,5,5,2,3,3,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,1,26.0
7,330,5.802118375377063,1,0,0,1,0,7,2,2,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,1,16.0
6,322,5.777652323222656,1,1,2,0,2,7,2,2,7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,1,1,8.0
7,273,5.6131281063880705,0,0,3,0,3,9,4,4,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,1,4,26.0
4,476,6.1675164908883415,1,2,1,0,6,3,5,5,7,2.0794415416798357,0,1,2,0,7,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,1,3,24.0
0,594,6.38856140554563,1,0,4,6,4,9,6,6,9,2.302585092994046,0,0,4,2,9,19,2.995732273553991,0,1,4,5,9,12,2.5649493574615367,1,0,2,5,2,1,1,16.0
1,540,6.293419278846481,1,0,0,1,0,4,3,3,9,2.302585092994046,0,0,4,2,9,23,3.1780538303479458,0,2,3,2,3,12,2.5649493574615367,1,0,2,5,2,1,2,2.0
3,380,5.942799375126701,1,2,0,2,0,9,3,3,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,4,1.6094379124341003,1,1,4,4,4,1,3,22.0
4,225,5.420534999272286,0,0,0,1,5,2,3,3,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,1,2,3.0
6,231,5.44673737166631,0,0,1,0,1,5,0,0,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,1,1,11.0
0,657,6.489204931325317,0,0,2,6,7,2,2,2,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,12,2.5649493574615367,1,0,2,5,2,1,1,39.0
2,837,6.731018100482083,0,0,2,4,7,8,4,4,9,2.302585092994046,0,0,4,2,9,22,3.1354942159291497,1,1,2,1,2,10,2.3978952727983707,1,1,0,3,0,1,1,39.0
2,296,5.6937321388027,1,2,1,2,6,2,2,2,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,1,4,18.0
0,432,6.07073772800249,1,0,2,5,2,2,7,7,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,1,3,27.0
2,740,6.608000625296087,1,2,0,5,0,5,4,4,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,11,2.4849066497880004,0,2,1,4,1,1,1,17.0
6,550,6.311734809152915,1,1,0,4,0,9,3,3,10,2.3978952727983707,1,1,0,3,0,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,1,2,6.0
0,340,5.831882477283517,1,1,0,4,0,3,0,0,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,4,1.6094379124341003,1,1,4,4,4,1,3,14.0
1,450,6.111467339502679,1,0,0,2,0,5,7,7,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,4,30.0
2,427,6.059123195581797,0,1,2,0,7,4,7,7,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,1,2,37.0
6,513,6.2422232654551655,0,0,3,2,3,9,7,7,9,2.302585092994046,0,0,4,2,9,17,2.8903717578961645,0,2,2,3,7,9,2.302585092994046,0,0,4,2,9,1,3,14.0
2,567,6.342121418721152,0,0,2,0,7,2,1,1,9,2.302585092994046,0,0,4,2,9,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,1,1,32.0
3,320,5.771441123130016,1,2,0,5,0,9,1,1,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,4,1.6094379124341003,1,1,4,4,4,1,3,10.0
5,245,5.5053315359323625,0,2,0,0,5,5,6,6,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,1,2,15.0
4,372,5.921578419643816,1,0,2,1,2,3,6,6,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,1,3,31.0
0,216,5.37989735354046,1,0,1,6,6,3,1,1,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,4,20.0
0,770,6.647688373563329,1,2,0,0,0,7,5,5,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,1,2,36.0
6,495,6.206575926724928,0,0,0,5,5,7,7,7,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,11,2.4849066497880004,0,2,1,4,1,1,2,24.0
0,270,5.602118820879701,1,0,0,4,0,3,4,4,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,1,3,4.0
3,245,5.5053315359323625,0,2,0,0,5,5,0,0,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,1,2,4.0
4,140,4.948759890378168,1,2,0,0,0,8,7,7,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,4,14.0
1,448,6.1070228877422545,1,1,3,0,8,8,6,6,7,2.0794415416798357,0,1,2,0,7,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,1,1,29.0
6,370,5.916202062607435,1,1,0,6,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,1,3,4.0
7,297,5.697093486505405,0,0,2,3,7,5,4,4,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,1,3,14.0
7,440,6.089044875446846,1,2,0,6,0,0,3,3,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,8,2.1972245773362196,1,2,3,1,8,1,2,38.0
7,306,5.726847747587197,1,0,1,5,6,2,1,1,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,9,2.302585092994046,0,0,4,2,9,1,2,10.0
4,217,5.384495062789089,0,1,2,0,7,4,5,5,7,2.0794415416798357,0,1,2,0,7,14,2.70805020110221,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,1,5,2.0
6,266,5.58724865840025,1,2,1,0,6,9,7,7,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,12,2.5649493574615367,1,0,2,5,2,1,1,8.0
1,410,6.018593214496234,1,2,0,4,0,0,0,0,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,5,4,6.0
4,270,5.602118820879701,1,0,0,4,0,1,3,3,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,1,3,2.0
4,231,5.44673737166631,0,0,1,0,1,3,5,5,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,5,26.0
1,224,5.41610040220442,1,2,4,0,4,1,4,4,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,3,9.0
1,220,5.3981627015177525,1,1,0,3,0,7,0,0,5,1.791759469228055,0,2,0,5,5,14,2.70805020110221,1,2,4,0,4,7,2.0794415416798357,0,1,2,0,7,1,2,9.0
3,480,6.175867270105761,1,0,0,4,0,2,6,6,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,2,4,18.0
4,351,5.863631175598097,0,0,1,1,1,1,0,0,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,3,4,27.0
1,371,5.918893854273146,0,2,1,0,1,5,5,5,7,2.0794415416798357,0,1,2,0,7,17,2.8903717578961645,0,2,2,3,7,8,2.1972245773362196,1,2,3,1,8,1,1,11.0
4,280,5.638354669333745,1,1,0,0,0,3,1,1,5,1.791759469228055,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,12,2.5649493574615367,1,0,2,5,2,1,1,12.0
3,567,6.342121418721152,0,0,2,0,7,2,3,3,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,5,1.791759469228055,0,2,0,5,5,1,1,32.0
3,511,6.238324625039508,0,1,1,0,1,2,1,1,7,2.0794415416798357,0,1,2,0,7,17,2.8903717578961645,0,2,2,3,7,1,0.6931471805599453,0,1,1,1,1,1,4,38.0
7,420,6.042632833682381,1,0,0,0,0,3,5,5,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,6,1.9459101490553132,1,0,1,6,6,2,3,32.0
2,195,5.278114659230517,0,0,0,6,5,3,4,4,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,1,22.0
4,531,6.2766434893416445,0,0,1,6,1,5,7,7,9,2.302585092994046,0,0,4,2,9,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,1,1,3.0
1,282,5.645446897643238,1,0,2,2,2,3,0,0,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,1,1,10.0
4,330,5.802118375377063,1,0,0,1,0,2,7,7,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,1,3,20.0
4,224,5.41610040220442,1,2,4,0,4,0,6,6,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,1,2,7.0
2,600,6.398594934535208,1,0,0,5,0,3,7,7,10,2.3978952727983707,1,1,0,3,0,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,1,5,11.0
6,240,5.484796933490655,1,0,0,2,0,4,6,6,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,4,11.0
5,544,6.300785794663244,1,1,4,5,4,7,1,1,8,2.1972245773362196,1,2,3,1,8,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,1,3,36.0
4,300,5.707110264748875,1,0,0,6,0,2,5,5,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,1,2,34.0
5,420,6.042632833682381,1,0,0,0,0,1,2,2,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,1,3,23.0
3,621,6.432940092739179,0,0,1,5,1,4,5,5,9,2.302585092994046,0,0,4,2,9,23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,1,2,17.0
2,135,4.912654885736052,0,0,0,2,5,1,1,1,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,1,2,11.0
4,585,6.373319789577012,0,0,0,4,5,6,0,0,9,2.302585092994046,0,0,4,2,9,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,1,2,26.0
0,210,5.351858133476067,1,0,0,0,0,8,0,0,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,1,4,7.0
7,640,6.46302945692067,1,1,0,3,0,5,0,0,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,9,2.302585092994046,0,0,4,2,9,1,1,9.0
2,371,5.918893854273146,0,2,1,0,1,6,3,3,7,2.0794415416798357,0,1,2,0,7,19,2.995732273553991,0,1,4,5,9,7,2.0794415416798357,0,1,2,0,7,1,3,8.0
4,222,5.407171771460119,1,0,2,5,2,6,7,7,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,1,1,10.0
2,623,6.436150368369428,0,2,3,0,3,2,0,0,7,2.0794415416798357,0,1,2,0,7,24,3.2188758248682006,1,0,4,3,4,10,2.3978952727983707,1,1,0,3,0,1,1,31.0
0,540,6.293419278846481,1,0,0,1,0,2,6,6,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,1,0.6931471805599453,0,1,1,1,1,1,4,7.0
4,360,5.8888779583328805,1,0,0,3,0,0,5,5,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,1,4,14.0
6,490,6.19644412779452,1,1,0,0,0,6,2,2,10,2.3978952727983707,1,1,0,3,0,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,2,1,9.0
6,304,5.720311776607412,1,1,4,3,4,1,7,7,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,3,24.0
0,516,6.248042874508429,1,0,1,5,6,0,3,3,6,1.9459101490553132,1,0,1,6,6,22,3.1354942159291497,1,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,2,3,36.0
3,595,6.39024066706535,0,1,0,0,5,2,3,3,7,2.0794415416798357,0,1,2,0,7,23,3.1780538303479458,0,2,3,2,3,12,2.5649493574615367,1,0,2,5,2,1,1,27.0
0,666,6.502790045915623,1,0,1,1,6,9,7,7,9,2.302585092994046,0,0,4,2,9,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,1,4,25.0
4,256,5.54907608489522,1,1,1,4,6,8,3,3,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,1,2,11.0
0,315,5.755742213586912,0,0,0,0,5,0,0,0,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,1,2,1.0
5,408,6.013715156042802,1,0,3,2,8,5,2,2,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,9,2.302585092994046,0,0,4,2,9,1,1,21.0
3,360,5.8888779583328805,1,0,0,3,0,8,1,1,5,1.791759469228055,0,2,0,5,5,18,2.9444389791664403,1,0,3,4,8,9,2.302585092994046,0,0,4,2,9,1,4,27.0
2,320,5.771441123130016,1,2,0,5,0,8,3,3,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,1,2,34.0
6,413,6.025865973825314,0,2,3,0,3,7,4,4,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,1,1,7.0
0,900,6.803505257608338,1,0,0,4,0,5,2,2,10,2.3978952727983707,1,1,0,3,0,25,3.258096538021482,0,1,0,4,5,7,2.0794415416798357,0,1,2,0,7,1,2,33.0
4,860,6.7580945044277305,1,2,0,6,0,7,5,5,10,2.3978952727983707,1,1,0,3,0,18,2.9444389791664403,1,0,3,4,8,11,2.4849066497880004,0,2,1,4,1,1,1,39.0
5,217,5.384495062789089,0,1,2,0,7,2,5,5,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,1,10.0
6,270,5.602118820879701,1,0,0,4,0,2,1,1,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,2,2,25.0
2,438,6.0844994130751715,1,0,3,4,8,3,1,1,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,7,2.0794415416798357,0,1,2,0,7,1,1,26.0
5,355,5.87493073085203,0,1,0,5,5,7,4,4,5,1.791759469228055,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,6,1.9459101490553132,1,0,1,6,6,1,1,31.0
1,160,5.081404364984463,1,1,0,6,0,5,2,2,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,2,3.0
3,516,6.248042874508429,1,0,1,5,6,2,3,3,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,9,2.302585092994046,0,0,4,2,9,1,1,39.0
2,396,5.983936280687191,1,0,1,4,6,1,5,5,9,2.302585092994046,0,0,4,2,9,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,1,3,9.0
7,120,4.795790545596741,1,0,0,1,0,2,3,3,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,2,5.0
7,350,5.860786223465865,1,2,0,0,0,2,1,1,10,2.3978952727983707,1,1,0,3,0,11,2.4849066497880004,0,2,1,4,1,12,2.5649493574615367,1,0,2,5,2,1,1,1.0
5,215,5.375278407684165,0,2,0,5,5,2,1,1,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,1,1,23.0
4,456,6.124683390894205,1,0,1,1,6,4,4,4,8,2.1972245773362196,1,2,3,1,8,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,0,1,6,6,2,5,3.0
2,324,5.783825182329737,1,0,4,2,4,3,6,6,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,2,23.0
3,492,6.20050917404269,1,0,2,2,2,0,4,4,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,1,2,37.0
1,150,5.017279836814924,1,0,0,3,0,1,3,3,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,2,6.0
5,360,5.8888779583328805,1,0,0,3,0,3,7,7,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,1,5,9.0
3,384,5.953243334287785,1,0,4,6,4,5,7,7,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,1,2,21.0
0,840,6.734591659972948,1,0,0,0,0,3,6,6,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,7,2.0794415416798357,0,1,2,0,7,1,2,31.0
4,414,6.028278520230698,1,0,4,1,4,4,2,2,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,1,2,26.0
