slot_player_a,slot_player_b,slot_sport,slot_score_unit,slot_a_first_score,slot_a_first_score_abs_log1p,slot_a_first_score_is_even,slot_a_first_score_mod3,slot_a_first_score_mod5,slot_a_first_score_mod7,slot_a_first_score_mod10,slot_b_fewer_in_first,slot_b_fewer_in_first_abs_log1p,slot_b_fewer_in_first_is_even,slot_b_fewer_in_first_mod3,slot_b_fewer_in_first_mod5,slot_b_fewer_in_first_mod7,slot_b_fewer_in_first_mod10,slot_a_fewer_in_second_vs_b_first,slot_a_fewer_in_second_vs_b_first_abs_log1p,slot_a_fewer_in_second_vs_b_first_is_even,slot_a_fewer_in_second_vs_b_first_mod3,slot_a_fewer_in_second_vs_b_first_mod5,slot_a_fewer_in_second_vs_b_first_mod7,slot_a_fewer_in_second_vs_b_first_mod10,gcd_all,n_multiple_pairs,y
9,12,3,1,42,3.7612001156935624,1,0,2,0,2,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,1,0,4,3,4,6,2,54.0
10,9,4,1,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,3,3,15.0
5,2,2,1,26,3.295836866004329,1,2,1,5,6,9,2.302585092994046,0,0,4,2,9,8,2.1972245773362196,1,2,3,1,8,1,0,35.0
5,3,5,0,49,3.912023005428146,0,1,4,0,9,35,3.58351893845611,0,2,0,0,5,12,2.5649493574615367,1,0,2,5,2,1,0,51.0
11,4,2,1,42,3.7612001156935624,1,0,2,0,2,26,3.295836866004329,1,2,1,5,6,12,2.5649493574615367,1,0,2,5,2,2,0,46.0
7,10,2,1,55,4.02535169073515,0,1,0,6,5,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,5,0,85.0
12,13,0,0,34,3.5553480614894135,1,1,4,6,4,8,2.1972245773362196,1,2,3,1,8,25,3.258096538021482,0,1,0,4,5,1,0,35.0
11,2,3,1,39,3.6888794541139363,0,0,4,4,9,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,0,2,0,1,0,44.0
13,14,4,1,22,3.1354942159291497,1,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,1,35.0
6,6,2,1,40,3.713572066704308,1,1,0,5,0,22,3.1354942159291497,1,1,2,1,2,15,2.772588722239781,0,0,0,1,5,1,0,43.0
14,7,2,1,49,3.912023005428146,0,1,4,0,9,30,3.4339872044851463,1,0,0,2,0,12,2.5649493574615367,1,0,2,5,2,1,0,56.0
5,1,6,1,20,3.044522437723423,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,8,2.1972245773362196,1,2,3,1,8,1,0,21.0
2,3,1,1,22,3.1354942159291497,1,1,2,1,2,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,1,0,33.0
4,4,6,1,23,3.1780538303479458,0,2,3,2,3,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,1,1,26.0
10,4,6,1,39,3.6888794541139363,0,0,4,4,9,21,3.091042453358316,0,0,1,0,1,16,2.833213344056216,1,1,1,2,6,1,0,41.0
7,0,2,1,13,2.6390573296152584,0,1,3,6,3,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,1,2,15.0
4,13,0,0,59,4.0943445622221,0,2,4,3,9,9,2.302585092994046,0,0,4,2,9,42,3.7612001156935624,1,0,2,0,2,1,0,67.0
15,9,5,0,36,3.6109179126442243,1,0,1,1,6,19,2.995732273553991,0,1,4,5,9,1,0.6931471805599453,0,1,1,1,1,1,2,52.0
4,14,1,1,47,3.871201010907891,0,2,2,5,7,45,3.828641396489095,0,0,0,3,5,2,1.0986122886681098,1,2,2,2,2,1,0,47.0
13,9,6,1,34,3.5553480614894135,1,1,4,6,4,14,2.70805020110221,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,2,0,46.0
5,3,2,1,46,3.8501476017100584,1,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,34,3.5553480614894135,1,1,4,6,4,2,0,54.0
3,8,3,1,52,3.970291913552122,1,1,2,3,2,34,3.5553480614894135,1,1,4,6,4,1,0.6931471805599453,0,1,1,1,1,1,2,69.0
16,8,0,0,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,1,0,37.0
5,15,1,1,31,3.4657359027997265,0,1,1,3,1,2,1.0986122886681098,1,2,2,2,2,17,2.8903717578961645,0,2,2,3,7,1,0,43.0
6,16,2,1,49,3.912023005428146,0,1,4,0,9,39,3.6888794541139363,0,0,4,4,9,6,1.9459101490553132,1,0,1,6,6,1,0,53.0
11,9,5,0,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,1,0,16.0
15,4,3,1,37,3.6375861597263857,0,1,2,2,7,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,1,70.0
10,9,2,1,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,2,0,22.0
3,17,5,0,41,3.7376696182833684,0,2,1,6,1,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,1,1,43.0
0,3,4,1,26,3.295836866004329,1,2,1,5,6,22,3.1354942159291497,1,1,2,1,2,1,0.6931471805599453,0,1,1,1,1,1,2,29.0
8,7,1,1,46,3.8501476017100584,1,1,1,4,6,20,3.044522437723423,1,2,0,6,0,21,3.091042453358316,0,0,1,0,1,1,0,51.0
2,15,4,1,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2,2,14.0
0,18,3,1,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,1,0,23.0
5,13,1,1,33,3.5263605246161616,0,0,3,5,3,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,1,2,41.0
10,7,0,0,22,3.1354942159291497,1,1,2,1,2,21,3.091042453358316,0,0,1,0,1,1,0.6931471805599453,0,1,1,1,1,1,2,22.0
14,15,1,1,44,3.8066624897703196,1,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,21,3.091042453358316,0,0,1,0,1,1,1,63.0
2,10,0,0,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,2,12.0
15,4,5,0,24,3.2188758248682006,1,0,4,3,4,16,2.833213344056216,1,1,1,2,6,8,2.1972245773362196,1,2,3,1,8,8,2,24.0
14,10,1,1,43,3.784189633918261,0,1,3,1,3,9,2.302585092994046,0,0,4,2,9,32,3.4965075614664802,1,2,2,4,2,1,0,45.0
14,5,3,1,26,3.295836866004329,1,2,1,5,6,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,1,0,30.0
3,19,5,0,42,3.7612001156935624,1,0,2,0,2,34,3.5553480614894135,1,1,4,6,4,4,1.6094379124341003,1,1,4,4,4,2,0,46.0
17,19,2,1,46,3.8501476017100584,1,1,1,4,6,45,3.828641396489095,0,0,0,3,5,1,0.6931471805599453,0,1,1,1,1,1,2,46.0
8,1,2,1,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,1,13.0
15,11,0,0,40,3.713572066704308,1,1,0,5,0,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,2,2,2,2,2,2,42.0
8,10,3,1,17,2.8903717578961645,0,2,2,3,7,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,0,21.0
12,1,4,1,13,2.6390573296152584,0,1,3,6,3,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,0,13.0
0,19,5,0,57,4.060443010546419,0,0,2,1,7,4,1.6094379124341003,1,1,4,4,4,53,3.9889840465642745,0,2,3,4,3,1,0,57.0
3,11,1,1,40,3.713572066704308,1,1,0,5,0,36,3.6109179126442243,1,0,1,1,6,1,0.6931471805599453,0,1,1,1,1,1,2,43.0
11,2,3,1,39,3.6888794541139363,0,0,4,4,9,33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,3,2,42.0
18,1,4,1,21,3.091042453358316,0,0,1,0,1,17,2.8903717578961645,0,2,2,3,7,1,0.6931471805599453,0,1,1,1,1,1,2,24.0
8,9,1,1,21,3.091042453358316,0,0,1,0,1,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,3,0,27.0
12,8,1,1,48,3.8918202981106265,1,0,3,6,8,24,3.2188758248682006,1,0,4,3,4,13,2.6390573296152584,0,1,3,6,3,1,1,59.0
18,2,3,1,33,3.5263605246161616,0,0,3,5,3,31,3.4657359027997265,0,1,1,3,1,2,1.0986122886681098,1,2,2,2,2,1,0,33.0
2,1,4,1,48,3.8918202981106265,1,0,3,6,8,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,2,2,2,2,2,2,56.0
10,4,0,0,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,1,0,14.0
0,7,0,0,32,3.4965075614664802,1,2,2,4,2,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,1,1,46.0
1,16,1,1,56,4.04305126783455,1,2,1,0,6,16,2.833213344056216,1,1,1,2,6,15,2.772588722239781,0,0,0,1,5,1,0,81.0
4,10,1,1,41,3.7376696182833684,0,2,1,6,1,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,2,2,2,2,1,1,44.0
7,11,2,1,21,3.091042453358316,0,0,1,0,1,4,1.6094379124341003,1,1,4,4,4,13,2.6390573296152584,0,1,3,6,3,1,0,25.0
5,0,1,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,1,15.0
11,19,0,0,21,3.091042453358316,0,0,1,0,1,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,1,1,24.0
19,5,6,1,34,3.5553480614894135,1,1,4,6,4,11,2.4849066497880004,0,2,1,4,1,19,2.995732273553991,0,1,4,5,9,1,0,38.0
10,15,6,1,42,3.7612001156935624,1,0,2,0,2,5,1.791759469228055,0,2,0,5,5,26,3.295836866004329,1,2,1,5,6,1,0,53.0
16,3,5,0,44,3.8066624897703196,1,2,4,2,4,11,2.4849066497880004,0,2,1,4,1,21,3.091042453358316,0,0,1,0,1,1,1,56.0
5,14,6,1,47,3.871201010907891,0,2,2,5,7,44,3.8066624897703196,1,2,4,2,4,2,1.0986122886681098,1,2,2,2,2,1,1,48.0
15,6,4,1,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,0,12.0
12,16,3,1,50,3.9318256327243257,1,2,0,1,0,25,3.258096538021482,0,1,0,4,5,12,2.5649493574615367,1,0,2,5,2,1,1,63.0
7,3,4,1,47,3.871201010907891,0,2,2,5,7,24,3.2188758248682006,1,0,4,3,4,20,3.044522437723423,1,2,0,6,0,1,0,50.0
9,18,3,1,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0,13.0
13,4,1,1,57,4.060443010546419,0,0,2,1,7,21,3.091042453358316,0,0,1,0,1,33,3.5263605246161616,0,0,3,5,3,3,0,60.0
10,9,2,1,38,3.6635616461296463,1,2,3,3,8,7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,0,1,5,1,0,54.0
3,10,4,1,36,3.6109179126442243,1,0,1,1,6,9,2.302585092994046,0,0,4,2,9,12,2.5649493574615367,1,0,2,5,2,3,2,51.0
9,3,3,1,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,3,18.0
9,19,4,1,56,4.04305126783455,1,2,1,0,6,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,1,1,62.0
4,16,2,1,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,40.0
15,7,4,1,40,3.713572066704308,1,1,0,5,0,34,3.5553480614894135,1,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,1,0,43.0
6,9,2,1,58,4.07753744390572,1,1,3,2,8,48,3.8918202981106265,1,0,3,6,8,10,2.3978952727983707,1,1,0,3,0,2,0,58.0
12,1,6,1,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,2,1,32.0
8,3,1,1,53,3.9889840465642745,0,2,3,4,3,48,3.8918202981106265,1,0,3,6,8,4,1.6094379124341003,1,1,4,4,4,1,1,54.0
10,15,2,1,20,3.044522437723423,1,2,0,6,0,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,1,27.0
3,5,1,1,50,3.9318256327243257,1,2,0,1,0,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,1,1,73.0
16,4,1,1,48,3.8918202981106265,1,0,3,6,8,14,2.70805020110221,1,2,4,0,4,14,2.70805020110221,1,2,4,0,4,2,1,68.0
13,1,2,1,19,2.995732273553991,0,1,4,5,9,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,1,1,26.0
9,7,4,1,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,10.0
4,12,0,0,14,2.70805020110221,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,2,19.0
14,1,5,0,45,3.828641396489095,0,0,0,3,5,41,3.7376696182833684,0,2,1,6,1,4,1.6094379124341003,1,1,4,4,4,1,0,45.0
11,3,4,1,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,24,3.2188758248682006,1,0,4,3,4,1,1,41.0
19,2,2,1,21,3.091042453358316,0,0,1,0,1,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,0,29.0
6,14,2,1,49,3.912023005428146,0,1,4,0,9,20,3.044522437723423,1,2,0,6,0,17,2.8903717578961645,0,2,2,3,7,1,0,61.0
10,18,3,1,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,0,10.0
0,5,0,0,29,3.4011973816621555,0,2,4,1,9,1,0.6931471805599453,0,1,1,1,1,16,2.833213344056216,1,1,1,2,6,1,2,41.0
12,18,2,1,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,1,9.0
7,14,4,1,36,3.6109179126442243,1,0,1,1,6,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,0,6,0,4,0,44.0
16,3,3,1,25,3.258096538021482,0,1,0,4,5,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,1,0,34.0
10,19,3,1,29,3.4011973816621555,0,2,4,1,9,27,3.332204510175204,0,0,2,6,7,1,0.6931471805599453,0,1,1,1,1,1,2,30.0
8,2,4,1,39,3.6888794541139363,0,0,4,4,9,13,2.6390573296152584,0,1,3,6,3,13,2.6390573296152584,0,1,3,6,3,13,3,52.0
16,1,0,0,48,3.8918202981106265,1,0,3,6,8,14,2.70805020110221,1,2,4,0,4,34,3.5553480614894135,1,1,4,6,4,2,0,48.0
16,2,3,1,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,0,12.0
1,2,1,1,48,3.8918202981106265,1,0,3,6,8,30,3.4339872044851463,1,0,0,2,0,10,2.3978952727983707,1,1,0,3,0,2,1,56.0
11,3,2,1,22,3.1354942159291497,1,1,2,1,2,1,0.6931471805599453,0,1,1,1,1,14,2.70805020110221,1,2,4,0,4,1,2,29.0
8,4,5,0,27,3.332204510175204,0,0,2,6,7,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,0,44.0
0,5,0,0,32,3.4965075614664802,1,2,2,4,2,9,2.302585092994046,0,0,4,2,9,12,2.5649493574615367,1,0,2,5,2,1,0,43.0
12,15,3,1,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,37,3.6375861597263857,0,1,2,2,7,1,1,79.0
13,0,2,1,33,3.5263605246161616,0,0,3,5,3,11,2.4849066497880004,0,2,1,4,1,19,2.995732273553991,0,1,4,5,9,1,1,36.0
6,2,1,1,47,3.871201010907891,0,2,2,5,7,1,0.6931471805599453,0,1,1,1,1,38,3.6635616461296463,1,2,3,3,8,1,2,55.0
9,1,2,1,52,3.970291913552122,1,1,2,3,2,35,3.58351893845611,0,2,0,0,5,6,1.9459101490553132,1,0,1,6,6,1,0,63.0
18,16,4,1,39,3.6888794541139363,0,0,4,4,9,37,3.6375861597263857,0,1,2,2,7,2,1.0986122886681098,1,2,2,2,2,1,0,39.0
13,6,4,1,26,3.295836866004329,1,2,1,5,6,16,2.833213344056216,1,1,1,2,6,6,1.9459101490553132,1,0,1,6,6,2,0,30.0
6,16,4,1,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,0,17.0
8,17,5,0,18,2.9444389791664403,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,1,2,25.0
18,17,0,0,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,26,3.295836866004329,1,2,1,5,6,2,2,68.0
6,5,5,0,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,0,12.0
5,14,5,0,59,4.0943445622221,0,2,4,3,9,50,3.9318256327243257,1,2,0,1,0,7,2.0794415416798357,0,1,2,0,7,1,0,61.0
5,12,2,1,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,2,13.0
6,15,2,1,44,3.8066624897703196,1,2,4,2,4,8,2.1972245773362196,1,2,3,1,8,25,3.258096538021482,0,1,0,4,5,1,0,55.0
2,12,6,1,41,3.7376696182833684,0,2,1,6,1,14,2.70805020110221,1,2,4,0,4,26,3.295836866004329,1,2,1,5,6,1,0,42.0
18,18,3,1,59,4.0943445622221,0,2,4,3,9,29,3.4011973816621555,0,2,4,1,9,25,3.258096538021482,0,1,0,4,5,1,0,64.0
3,6,6,1,38,3.6635616461296463,1,2,3,3,8,15,2.772588722239781,0,0,0,1,5,22,3.1354942159291497,1,1,2,1,2,1,0,39.0
0,5,1,1,27,3.332204510175204,0,0,2,6,7,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,1,2,28.0
6,18,3,1,46,3.8501476017100584,1,1,1,4,6,9,2.302585092994046,0,0,4,2,9,14,2.70805020110221,1,2,4,0,4,1,0,69.0
4,16,1,1,32,3.4965075614664802,1,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,1,49.0
8,8,4,1,53,3.9889840465642745,0,2,3,4,3,12,2.5649493574615367,1,0,2,5,2,9,2.302585092994046,0,0,4,2,9,1,0,85.0
19,7,2,1,53,3.9889840465642745,0,2,3,4,3,51,3.9512437185814275,0,0,1,2,1,2,1.0986122886681098,1,2,2,2,2,1,0,53.0
5,17,1,1,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,0,17.0
17,15,6,1,28,3.367295829986474,1,1,3,0,8,18,2.9444389791664403,1,0,3,4,8,9,2.302585092994046,0,0,4,2,9,1,1,29.0
13,1,1,1,55,4.02535169073515,0,1,0,6,5,26,3.295836866004329,1,2,1,5,6,12,2.5649493574615367,1,0,2,5,2,1,0,72.0
16,0,4,1,39,3.6888794541139363,0,0,4,4,9,38,3.6635616461296463,1,2,3,3,8,1,0.6931471805599453,0,1,1,1,1,1,2,39.0
2,17,0,0,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,2,19.0
3,11,5,0,21,3.091042453358316,0,0,1,0,1,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,1,0,21.0
8,15,5,0,33,3.5263605246161616,0,0,3,5,3,13,2.6390573296152584,0,1,3,6,3,18,2.9444389791664403,1,0,3,4,8,1,0,35.0
2,14,0,0,55,4.02535169073515,0,1,0,6,5,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,0,2,0,1,1,77.0
8,3,1,1,49,3.912023005428146,0,1,4,0,9,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,1,1,59.0
5,8,5,0,37,3.6375861597263857,0,1,2,2,7,31,3.4657359027997265,0,1,1,3,1,3,1.3862943611198906,0,0,3,3,3,1,0,40.0
8,2,5,0,20,3.044522437723423,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,0,26.0
3,9,6,1,52,3.970291913552122,1,1,2,3,2,15,2.772588722239781,0,0,0,1,5,13,2.6390573296152584,0,1,3,6,3,1,1,76.0
10,3,2,1,39,3.6888794541139363,0,0,4,4,9,25,3.258096538021482,0,1,0,4,5,14,2.70805020110221,1,2,4,0,4,1,0,39.0
18,14,0,0,45,3.828641396489095,0,0,0,3,5,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,1,0,72.0
8,5,4,1,47,3.871201010907891,0,2,2,5,7,19,2.995732273553991,0,1,4,5,9,24,3.2188758248682006,1,0,4,3,4,1,0,51.0
10,12,1,1,40,3.713572066704308,1,1,0,5,0,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,2,2,2,2,2,2,40.0
1,10,6,1,43,3.784189633918261,0,1,3,1,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0,78.0
19,10,0,0,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,2,16.0
11,13,2,1,33,3.5263605246161616,0,0,3,5,3,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,1,50.0
3,11,0,0,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,2,13.0
15,18,5,0,47,3.871201010907891,0,2,2,5,7,20,3.044522437723423,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,1,2,73.0
0,0,6,1,33,3.5263605246161616,0,0,3,5,3,2,1.0986122886681098,1,2,2,2,2,17,2.8903717578961645,0,2,2,3,7,1,0,47.0
14,6,5,0,36,3.6109179126442243,1,0,1,1,6,17,2.8903717578961645,0,2,2,3,7,1,0.6931471805599453,0,1,1,1,1,1,2,54.0
11,17,3,1,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,2,17.0
15,0,3,1,28,3.367295829986474,1,1,3,0,8,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,2,0,30.0
1,12,6,1,30,3.4339872044851463,1,0,0,2,0,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,1,1,31.0
