slot_seller_name,slot_unit_desc,slot_target,slot_target_abs_log1p,slot_target_is_even,slot_target_mod3,slot_target_mod5,slot_target_mod7,slot_target_mod10,slot_closed_day1,slot_closed_day2,slot_weekend_sales,slot_weekend_sales_abs_log1p,slot_weekend_sales_is_even,slot_weekend_sales_mod3,slot_weekend_sales_mod5,slot_weekend_sales_mod7,slot_weekend_sales_mod10,slot_d1_label,slot_d2_label,slot_d3_label,slot_d1_sales,slot_d1_sales_abs_log1p,slot_d1_sales_is_even,slot_d1_sales_mod3,slot_d1_sales_mod5,slot_d1_sales_mod7,slot_d1_sales_mod10,slot_d2_sales,slot_d2_sales_abs_log1p,slot_d2_sales_is_even,slot_d2_sales_mod3,slot_d2_sales_mod5,slot_d2_sales_mod7,slot_d2_sales_mod10,slot_d3_sales,slot_d3_sales_abs_log1p,slot_d3_sales_is_even,slot_d3_sales_mod3,slot_d3_sales_mod5,slot_d3_sales_mod7,slot_d3_sales_mod10,gcd_all,n_multiple_pairs,y
6,1,277,5.627621113690637,0,1,2,4,7,3,1,31,3.4657359027997265,0,1,1,3,1,2,1,3,56,4.04305126783455,1,2,1,0,6,52,3.970291913552122,1,1,2,3,2,57,4.060443010546419,0,0,2,1,7,1,0,81.0
1,3,242,5.493061443340548,1,2,2,4,2,1,1,60,4.110873864173311,1,0,0,4,0,1,1,1,51,3.9512437185814275,0,0,1,2,1,6,1.9459101490553132,1,0,1,6,6,47,3.871201010907891,0,2,2,5,7,1,1,78.0
7,6,211,5.356586274672012,0,1,1,1,1,0,2,42,3.7612001156935624,1,0,2,0,2,0,1,4,38,3.6635616461296463,1,2,3,3,8,44,3.8066624897703196,1,2,4,2,4,14,2.70805020110221,1,2,4,0,4,1,1,73.0
0,7,173,5.159055299214529,0,2,3,5,3,0,1,34,3.5553480614894135,1,1,4,6,4,4,2,0,10,2.3978952727983707,1,1,0,3,0,30,3.4339872044851463,1,0,0,2,0,9,2.302585092994046,0,0,4,2,9,1,1,90.0
7,2,243,5.497168225293202,0,0,3,5,3,0,2,67,4.219507705176107,0,1,2,4,7,3,4,4,42,3.7612001156935624,1,0,2,0,2,38,3.6635616461296463,1,2,3,3,8,58,4.07753744390572,1,1,3,2,8,1,0,38.0
2,3,185,5.225746673713202,0,2,0,3,5,0,4,44,3.8066624897703196,1,2,4,2,4,4,4,4,38,3.6635616461296463,1,2,3,3,8,19,2.995732273553991,0,1,4,5,9,50,3.9318256327243257,1,2,0,1,0,1,1,34.0
6,2,255,5.545177444479562,0,0,0,3,5,1,3,71,4.276666119016055,0,2,1,1,1,3,4,4,14,2.70805020110221,1,2,4,0,4,56,4.04305126783455,1,2,1,0,6,45,3.828641396489095,0,0,0,3,5,1,1,69.0
4,0,197,5.288267030694535,0,2,2,1,7,2,1,79,4.382026634673881,0,1,4,2,9,1,3,3,24,3.2188758248682006,1,0,4,3,4,28,3.367295829986474,1,1,3,0,8,35,3.58351893845611,0,2,0,0,5,1,0,31.0
5,5,303,5.717027701406222,0,0,3,2,3,0,0,73,4.30406509320417,0,1,3,3,3,4,4,0,58,4.07753744390572,1,1,3,2,8,40,3.713572066704308,1,1,0,5,0,40,3.713572066704308,1,1,0,5,0,1,1,92.0
4,2,216,5.37989735354046,1,0,1,6,6,0,0,63,4.1588830833596715,0,0,3,0,3,4,1,2,45,3.828641396489095,0,0,0,3,5,21,3.091042453358316,0,0,1,0,1,10,2.3978952727983707,1,1,0,3,0,1,1,77.0
2,5,166,5.117993812416755,1,1,1,5,6,4,2,50,3.9318256327243257,1,2,0,1,0,2,1,4,18,2.9444389791664403,1,0,3,4,8,42,3.7612001156935624,1,0,2,0,2,35,3.58351893845611,0,2,0,0,5,1,0,21.0
3,4,155,5.049856007249537,0,2,0,1,5,2,3,76,4.343805421853684,1,1,1,6,6,0,0,4,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,1,2,56.0
6,4,211,5.356586274672012,0,1,1,1,1,3,4,17,2.8903717578961645,0,2,2,3,7,2,4,3,34,3.5553480614894135,1,1,4,6,4,49,3.912023005428146,0,1,4,0,9,18,2.9444389791664403,1,0,3,4,8,1,1,93.0
2,4,127,4.852030263919617,0,1,2,1,7,2,3,65,4.189654742026425,0,2,0,2,5,0,2,3,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,19,2.995732273553991,0,1,4,5,9,1,0,28.0
3,0,188,5.241747015059643,1,2,3,6,8,0,1,13,2.6390573296152584,0,1,3,6,3,4,1,4,54,4.007333185232471,1,0,4,5,4,11,2.4849066497880004,0,2,1,4,1,35,3.58351893845611,0,2,0,0,5,1,0,75.0
1,2,136,4.919980925828125,1,1,1,3,6,2,2,69,4.248495242049359,0,0,4,6,9,2,4,4,34,3.5553480614894135,1,1,4,6,4,21,3.091042453358316,0,0,1,0,1,9,2.302585092994046,0,0,4,2,9,1,1,3.0
1,1,193,5.267858159063328,0,1,3,4,3,1,1,67,4.219507705176107,0,1,2,4,7,3,2,1,15,2.772588722239781,0,0,0,1,5,34,3.5553480614894135,1,1,4,6,4,27,3.332204510175204,0,0,2,6,7,1,0,50.0
5,0,261,5.568344503761097,0,0,1,2,1,4,0,60,4.110873864173311,1,0,0,4,0,4,3,0,19,2.995732273553991,0,1,4,5,9,52,3.970291913552122,1,1,2,3,2,13,2.6390573296152584,0,1,3,6,3,1,1,117.0
5,3,221,5.402677381872279,0,2,1,4,1,1,0,16,2.833213344056216,1,1,1,2,6,2,1,2,53,3.9889840465642745,0,2,3,4,3,52,3.970291913552122,1,1,2,3,2,55,4.02535169073515,0,1,0,6,5,1,0,45.0
7,0,163,5.099866427824199,0,1,3,2,3,2,2,18,2.9444389791664403,1,0,3,4,8,0,3,4,54,4.007333185232471,1,0,4,5,4,20,3.044522437723423,1,2,0,6,0,21,3.091042453358316,0,0,1,0,1,1,1,50.0
5,6,284,5.652489180268651,1,2,4,4,4,3,3,59,4.0943445622221,0,2,4,3,9,4,4,0,46,3.8501476017100584,1,1,1,4,6,30,3.4339872044851463,1,0,0,2,0,32,3.4965075614664802,1,2,2,4,2,1,0,117.0
3,3,265,5.583496308781699,0,1,0,6,5,2,0,54,4.007333185232471,1,0,4,5,4,0,0,1,7,2.0794415416798357,0,1,2,0,7,60,4.110873864173311,1,0,0,4,0,41,3.7376696182833684,0,2,1,6,1,1,0,103.0
2,7,249,5.521460917862246,0,0,4,4,9,1,0,49,3.912023005428146,0,1,4,0,9,3,4,1,25,3.258096538021482,0,1,0,4,5,36,3.6109179126442243,1,0,1,1,6,28,3.367295829986474,1,1,3,0,8,1,0,111.0
6,1,173,5.159055299214529,0,2,3,5,3,3,1,36,3.6109179126442243,1,0,1,1,6,4,1,1,55,4.02535169073515,0,1,0,6,5,35,3.58351893845611,0,2,0,0,5,41,3.7376696182833684,0,2,1,6,1,1,0,6.0
0,5,272,5.60947179518496,1,2,2,6,2,3,3,79,4.382026634673881,0,1,4,2,9,0,1,3,59,4.0943445622221,0,2,4,3,9,16,2.833213344056216,1,1,1,2,6,17,2.8903717578961645,0,2,2,3,7,1,2,101.0
0,0,128,4.859812404361672,1,2,3,2,8,0,0,13,2.6390573296152584,0,1,3,6,3,0,1,3,25,3.258096538021482,0,1,0,4,5,40,3.713572066704308,1,1,0,5,0,7,2.0794415416798357,0,1,2,0,7,1,0,43.0
2,7,228,5.43372200355424,1,0,3,4,8,2,2,66,4.204692619390966,1,0,1,3,6,2,4,4,53,3.9889840465642745,0,2,3,4,3,8,2.1972245773362196,1,2,3,1,8,48,3.8918202981106265,1,0,3,6,8,1,1,53.0
4,3,251,5.529429087511423,0,2,1,6,1,4,2,5,1.791759469228055,0,2,0,5,5,1,1,1,58,4.07753744390572,1,1,3,2,8,13,2.6390573296152584,0,1,3,6,3,57,4.060443010546419,0,0,2,1,7,1,0,118.0
2,5,328,5.796057750765372,1,1,3,6,8,0,0,59,4.0943445622221,0,2,4,3,9,0,0,0,37,3.6375861597263857,0,1,2,2,7,57,4.060443010546419,0,0,2,1,7,59,4.0943445622221,0,2,4,3,9,1,1,116.0
0,7,100,4.61512051684126,1,1,0,2,0,2,0,24,3.2188758248682006,1,0,4,3,4,0,3,3,17,2.8903717578961645,0,2,2,3,7,9,2.302585092994046,0,0,4,2,9,19,2.995732273553991,0,1,4,5,9,1,0,31.0
4,0,265,5.583496308781699,0,1,0,6,5,4,3,11,2.4849066497880004,0,2,1,4,1,3,0,4,36,3.6109179126442243,1,0,1,1,6,60,4.110873864173311,1,0,0,4,0,49,3.912023005428146,0,1,4,0,9,1,0,109.0
7,5,158,5.0689042022202315,1,2,3,4,8,1,4,37,3.6375861597263857,0,1,2,2,7,1,4,1,49,3.912023005428146,0,1,4,0,9,27,3.332204510175204,0,0,2,6,7,33,3.5263605246161616,0,0,3,5,3,1,0,12.0
3,4,129,4.867534450455582,0,0,4,3,9,1,0,57,4.060443010546419,0,0,2,1,7,0,1,1,21,3.091042453358316,0,0,1,0,1,6,1.9459101490553132,1,0,1,6,6,44,3.8066624897703196,1,2,4,2,4,1,0,1.0
4,4,238,5.476463551931511,1,1,3,0,8,2,1,8,2.1972245773362196,1,2,3,1,8,4,2,1,53,3.9889840465642745,0,2,3,4,3,35,3.58351893845611,0,2,0,0,5,45,3.828641396489095,0,0,0,3,5,1,0,97.0
4,0,186,5.231108616854587,1,0,1,4,6,3,3,42,3.7612001156935624,1,0,2,0,2,0,1,3,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,5,112.0
7,0,266,5.58724865840025,1,2,1,0,6,1,0,33,3.5263605246161616,0,0,3,5,3,2,4,0,49,3.912023005428146,0,1,4,0,9,47,3.871201010907891,0,2,2,5,7,51,3.9512437185814275,0,0,1,2,1,1,0,86.0
5,5,225,5.420534999272286,0,0,0,1,5,2,1,74,4.31748811353631,1,2,4,4,4,4,2,1,11,2.4849066497880004,0,2,1,4,1,49,3.912023005428146,0,1,4,0,9,56,4.04305126783455,1,2,1,0,6,1,0,35.0
4,3,142,4.962844630259907,1,1,2,2,2,3,1,13,2.6390573296152584,0,1,3,6,3,3,0,1,17,2.8903717578961645,0,2,2,3,7,23,3.1780538303479458,0,2,3,2,3,39,3.6888794541139363,0,0,4,4,9,1,1,50.0
1,5,245,5.5053315359323625,0,2,0,0,5,0,4,72,4.290459441148391,1,0,2,2,2,0,0,4,13,2.6390573296152584,0,1,3,6,3,25,3.258096538021482,0,1,0,4,5,43,3.784189633918261,0,1,3,1,3,1,0,92.0
1,6,226,5.424950017481403,1,1,1,2,6,4,2,13,2.6390573296152584,0,1,3,6,3,3,3,4,31,3.4657359027997265,0,1,1,3,1,33,3.5263605246161616,0,0,3,5,3,53,3.9889840465642745,0,2,3,4,3,1,0,96.0
5,2,182,5.209486152841421,1,2,2,0,2,4,2,15,2.772588722239781,0,0,0,1,5,1,1,1,32,3.4965075614664802,1,2,2,4,2,27,3.332204510175204,0,0,2,6,7,5,1.791759469228055,0,2,0,5,5,1,1,103.0
1,2,240,5.484796933490655,1,0,0,2,0,4,0,61,4.127134385045092,0,1,1,5,1,3,3,3,18,2.9444389791664403,1,0,3,4,8,42,3.7612001156935624,1,0,2,0,2,25,3.258096538021482,0,1,0,4,5,1,0,94.0
3,5,143,4.969813299576001,0,2,3,3,3,3,4,28,3.367295829986474,1,1,3,0,8,0,0,1,52,3.970291913552122,1,1,2,3,2,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,1,51.0
6,6,267,5.5909869805108565,0,0,2,1,7,0,2,79,4.382026634673881,0,1,4,2,9,3,2,2,53,3.9889840465642745,0,2,3,4,3,20,3.044522437723423,1,2,0,6,0,45,3.828641396489095,0,0,0,3,5,1,0,70.0
3,7,200,5.303304908059076,1,2,0,4,0,3,1,70,4.2626798770413155,1,1,0,0,0,2,0,0,34,3.5553480614894135,1,1,4,6,4,5,1.791759469228055,0,2,0,5,5,34,3.5553480614894135,1,1,4,6,4,1,3,57.0
0,7,222,5.407171771460119,1,0,2,5,2,3,4,48,3.8918202981106265,1,0,3,6,8,4,4,1,54,4.007333185232471,1,0,4,5,4,39,3.6888794541139363,0,0,4,4,9,53,3.9889840465642745,0,2,3,4,3,1,0,28.0
0,1,204,5.3230099791384085,1,0,4,1,4,4,0,65,4.189654742026425,0,2,0,2,5,2,0,0,59,4.0943445622221,0,2,4,3,9,46,3.8501476017100584,1,1,1,4,6,7,2.0794415416798357,0,1,2,0,7,1,0,27.0
5,0,252,5.53338948872752,1,0,2,0,2,0,0,59,4.0943445622221,0,2,4,3,9,0,1,3,47,3.871201010907891,0,2,2,5,7,14,2.70805020110221,1,2,4,0,4,28,3.367295829986474,1,1,3,0,8,1,3,104.0
5,7,153,5.0369526024136295,0,0,3,6,3,3,1,54,4.007333185232471,1,0,4,5,4,3,3,3,7,2.0794415416798357,0,1,2,0,7,48,3.8918202981106265,1,0,3,6,8,12,2.5649493574615367,1,0,2,5,2,1,1,32.0
0,5,267,5.5909869805108565,0,0,2,1,7,0,1,62,4.143134726391533,1,2,2,6,2,1,1,3,57,4.060443010546419,0,0,2,1,7,50,3.9318256327243257,1,2,0,1,0,12,2.5649493574615367,1,0,2,5,2,1,0,86.0
7,0,245,5.5053315359323625,0,2,0,0,5,3,3,71,4.276666119016055,0,2,1,1,1,3,0,2,56,4.04305126783455,1,2,1,0,6,33,3.5263605246161616,0,0,3,5,3,30,3.4339872044851463,1,0,0,2,0,1,0,55.0
6,0,291,5.676753802268282,0,0,1,4,1,3,4,28,3.367295829986474,1,1,3,0,8,0,3,3,50,3.9318256327243257,1,2,0,1,0,60,4.110873864173311,1,0,0,4,0,40,3.713572066704308,1,1,0,5,0,1,0,113.0
6,7,175,5.170483995038151,0,1,0,0,5,4,0,35,3.58351893845611,0,2,0,0,5,4,1,1,52,3.970291913552122,1,1,2,3,2,26,3.295836866004329,1,2,1,5,6,23,3.1780538303479458,0,2,3,2,3,1,2,39.0
6,1,276,5.6240175061873385,1,0,1,3,6,3,2,54,4.007333185232471,1,0,4,5,4,3,4,1,36,3.6109179126442243,1,0,1,1,6,32,3.4965075614664802,1,2,2,4,2,53,3.9889840465642745,0,2,3,4,3,1,0,101.0
5,7,296,5.6937321388027,1,2,1,2,6,4,3,65,4.189654742026425,0,2,0,2,5,1,0,0,46,3.8501476017100584,1,1,1,4,6,31,3.4657359027997265,0,1,1,3,1,44,3.8066624897703196,1,2,4,2,4,1,0,110.0
1,1,139,4.941642422609304,0,1,4,6,9,1,0,45,3.828641396489095,0,0,0,3,5,0,3,0,29,3.4011973816621555,0,2,4,1,9,15,2.772588722239781,0,0,0,1,5,28,3.367295829986474,1,1,3,0,8,1,1,22.0
5,3,249,5.521460917862246,0,0,4,4,9,2,1,62,4.143134726391533,1,2,2,6,2,1,3,3,11,2.4849066497880004,0,2,1,4,1,17,2.8903717578961645,0,2,2,3,7,58,4.07753744390572,1,1,3,2,8,1,0,101.0
0,7,122,4.812184355372417,1,2,2,3,2,2,2,25,3.258096538021482,0,1,0,4,5,1,3,2,8,2.1972245773362196,1,2,3,1,8,43,3.784189633918261,0,1,3,1,3,40,3.713572066704308,1,1,0,5,0,1,1,6.0
0,1,173,5.159055299214529,0,2,3,5,3,0,0,52,3.970291913552122,1,1,2,3,2,3,4,3,28,3.367295829986474,1,1,3,0,8,51,3.9512437185814275,0,0,1,2,1,6,1.9459101490553132,1,0,1,6,6,1,0,36.0
7,6,149,5.0106352940962555,0,2,4,2,9,3,4,12,2.5649493574615367,1,0,2,5,2,0,0,1,37,3.6375861597263857,0,1,2,2,7,59,4.0943445622221,0,2,4,3,9,14,2.70805020110221,1,2,4,0,4,1,0,27.0
6,6,228,5.43372200355424,1,0,3,4,8,2,1,26,3.295836866004329,1,2,1,5,6,1,0,1,11,2.4849066497880004,0,2,1,4,1,60,4.110873864173311,1,0,0,4,0,30,3.4339872044851463,1,0,0,2,0,1,1,101.0
0,4,119,4.787491742782046,0,2,4,0,9,4,2,19,2.995732273553991,0,1,4,5,9,1,3,0,29,3.4011973816621555,0,2,4,1,9,16,2.833213344056216,1,1,1,2,6,39,3.6888794541139363,0,0,4,4,9,1,0,16.0
4,2,295,5.69035945432406,0,1,0,1,5,3,3,70,4.2626798770413155,1,1,0,0,0,3,0,2,45,3.828641396489095,0,0,0,3,5,57,4.060443010546419,0,0,2,1,7,36,3.6109179126442243,1,0,1,1,6,1,0,87.0
2,3,163,5.099866427824199,0,1,3,2,3,1,0,43,3.784189633918261,0,1,3,1,3,0,1,1,36,3.6109179126442243,1,0,1,1,6,17,2.8903717578961645,0,2,2,3,7,11,2.4849066497880004,0,2,1,4,1,1,0,56.0
5,3,182,5.209486152841421,1,2,2,0,2,4,4,33,3.5263605246161616,0,0,3,5,3,2,0,4,18,2.9444389791664403,1,0,3,4,8,38,3.6635616461296463,1,2,3,3,8,20,3.044522437723423,1,2,0,6,0,1,0,73.0
0,6,215,5.375278407684165,0,2,0,5,5,4,0,48,3.8918202981106265,1,0,3,6,8,2,1,3,37,3.6375861597263857,0,1,2,2,7,43,3.784189633918261,0,1,3,1,3,23,3.1780538303479458,0,2,3,2,3,1,1,64.0
7,4,161,5.087596335232384,0,2,1,0,1,4,3,13,2.6390573296152584,0,1,3,6,3,3,2,3,52,3.970291913552122,1,1,2,3,2,43,3.784189633918261,0,1,3,1,3,29,3.4011973816621555,0,2,4,1,9,1,1,24.0
7,4,62,4.143134726391533,1,2,2,6,2,0,0,29,3.4011973816621555,0,2,4,1,9,0,1,3,5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,1,1,5.0
6,6,163,5.099866427824199,0,1,3,2,3,0,0,11,2.4849066497880004,0,2,1,4,1,0,0,0,49,3.912023005428146,0,1,4,0,9,35,3.58351893845611,0,2,0,0,5,16,2.833213344056216,1,1,1,2,6,1,0,52.0
3,0,156,5.056245805348308,1,0,1,2,6,1,4,10,2.3978952727983707,1,1,0,3,0,2,4,4,19,2.995732273553991,0,1,4,5,9,54,4.007333185232471,1,0,4,5,4,43,3.784189633918261,0,1,3,1,3,1,0,30.0
0,0,161,5.087596335232384,0,2,1,0,1,1,4,19,2.995732273553991,0,1,4,5,9,2,2,2,48,3.8918202981106265,1,0,3,6,8,36,3.6109179126442243,1,0,1,1,6,48,3.8918202981106265,1,0,3,6,8,1,1,10.0
0,2,255,5.545177444479562,0,0,0,3,5,4,3,48,3.8918202981106265,1,0,3,6,8,1,1,3,20,3.044522437723423,1,2,0,6,0,32,3.4965075614664802,1,2,2,4,2,35,3.58351893845611,0,2,0,0,5,1,0,120.0
4,6,226,5.424950017481403,1,1,1,2,6,0,4,11,2.4849066497880004,0,2,1,4,1,1,0,2,50,3.9318256327243257,1,2,0,1,0,44,3.8066624897703196,1,2,4,2,4,34,3.5553480614894135,1,1,4,6,4,1,1,87.0
7,4,68,4.23410650459726,1,2,3,5,8,3,1,5,1.791759469228055,0,2,0,5,5,4,3,0,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,1,1,32.0
2,2,235,5.4638318050256105,0,1,0,4,5,3,1,79,4.382026634673881,0,1,4,2,9,4,3,0,32,3.4965075614664802,1,2,2,4,2,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,1,113.0
3,6,208,5.342334251964811,1,1,3,5,8,0,2,25,3.258096538021482,0,1,0,4,5,1,1,2,5,1.791759469228055,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,58,4.07753744390572,1,1,3,2,8,1,1,103.0
6,3,116,4.762173934797756,1,2,1,4,6,1,4,24,3.2188758248682006,1,0,4,3,4,1,3,2,19,2.995732273553991,0,1,4,5,9,13,2.6390573296152584,0,1,3,6,3,22,3.1354942159291497,1,1,2,1,2,1,0,38.0
