slot_person,slot_source1,slot_source2,slot_currency_word,slot_initial,slot_initial_abs_log1p,slot_initial_mod3,slot_initial_mod7,slot_first_amount,slot_first_amount_abs_log1p,slot_first_amount_mod3,slot_first_amount_mod7,slot_ratio,slot_ratio_abs_log1p,slot_ratio_is_even,slot_ratio_mod3,slot_ratio_mod5,slot_ratio_mod7,slot_ratio_mod10,gcd_all,n_multiple_pairs,y
2,1,2,3,11200,9.32375833901174,1,0,2300,7.741099090035366,2,4,2,1.0986122886681098,1,2,2,2,2,2,2,18100.0
5,8,10,3,2400,7.783640596221253,0,6,14400,9.575052927597383,0,1,6,1.9459101490553132,1,0,1,6,6,6,3,103200.0
7,9,7,6,3400,8.131824785007195,1,5,14100,9.55400099583723,0,2,7,2.0794415416798357,0,1,2,0,7,1,0,116200.0
2,10,10,1,2000,7.601402334583733,2,5,14200,9.561067663645012,1,4,2,1.0986122886681098,1,2,2,2,2,2,2,44600.0
3,9,6,2,15000,9.61587214452889,0,6,7400,8.909370405197466,2,1,2,1.0986122886681098,1,2,2,2,2,2,2,37200.0
7,11,0,4,9200,9.127067452782361,2,2,14000,9.546884034617925,2,0,7,2.0794415416798357,0,1,2,0,7,1,1,121200.0
1,12,7,3,5400,8.594339400592892,0,3,4400,8.38958706681109,2,4,4,1.6094379124341003,1,1,4,4,4,4,2,27400.0
4,1,2,1,11500,9.350189267092581,1,6,3200,8.071218539969863,2,1,5,1.791759469228055,0,2,0,5,5,5,2,30700.0
5,11,11,2,2100,7.650168700845001,0,0,11200,9.32375833901174,1,0,6,1.9459101490553132,1,0,1,6,6,2,1,80500.0
3,7,3,0,9600,9.169622538697624,0,3,1500,7.313886831633462,0,2,4,1.6094379124341003,1,1,4,4,4,4,2,17100.0
3,9,9,4,7600,8.936035096566041,1,5,4100,8.31898612539206,2,5,5,1.791759469228055,0,2,0,5,5,5,2,32200.0
3,1,1,1,11800,9.375939552625749,1,5,8800,9.082620630373812,1,1,2,1.0986122886681098,1,2,2,2,2,2,2,38200.0
2,5,6,5,7800,8.962007209588313,0,2,14500,9.581972891547895,1,3,7,2.0794415416798357,0,1,2,0,7,1,0,123800.0
1,6,4,0,4400,8.38958706681109,2,4,11800,9.375939552625749,1,5,2,1.0986122886681098,1,2,2,2,2,2,2,39800.0
1,13,9,0,11300,9.332646496360152,2,2,10500,9.259225769705994,0,0,7,2.0794415416798357,0,1,2,0,7,1,1,95300.0
6,3,10,3,3400,8.131824785007195,1,5,5500,8.612685172875459,1,5,5,1.791759469228055,0,2,0,5,5,5,2,36400.0
6,11,6,6,10500,9.259225769705994,0,0,9000,9.105090961257085,0,5,7,2.0794415416798357,0,1,2,0,7,1,1,82500.0
6,13,12,0,7500,8.922791623969637,0,3,11000,9.305741456739435,2,3,2,1.0986122886681098,1,2,2,2,2,2,2,40500.0
6,10,7,6,6700,8.81001204797317,1,1,13600,9.517898598432753,1,6,4,1.6094379124341003,1,1,4,4,4,4,2,74700.0
4,10,8,3,14100,9.55400099583723,0,2,9100,9.116139576577355,1,0,4,1.6094379124341003,1,1,4,4,4,4,2,59600.0
1,3,12,0,2200,7.696667081526462,1,2,14200,9.561067663645012,1,4,6,1.9459101490553132,1,0,1,6,6,2,0,101600.0
3,10,1,4,9100,9.116139576577355,1,0,6100,8.716207971151853,1,3,5,1.791759469228055,0,2,0,5,5,5,2,45700.0
2,3,6,5,2300,7.741099090035366,2,4,10800,9.287394001418473,0,6,6,1.9459101490553132,1,0,1,6,6,2,1,77900.0
7,8,4,2,2500,7.824445930877619,1,1,4700,8.45553053102413,2,3,7,2.0794415416798357,0,1,2,0,7,1,0,40100.0
2,7,9,1,2400,7.783640596221253,0,6,2200,7.696667081526462,1,2,3,1.3862943611198906,0,0,3,3,3,1,1,11200.0
2,10,13,4,5200,8.556606193773073,1,6,1600,7.3783837129967145,1,4,5,1.791759469228055,0,2,0,5,5,5,2,14800.0
6,4,13,6,8300,9.024131268455035,2,5,3800,8.24301946898925,2,6,6,1.9459101490553132,1,0,1,6,6,2,0,34900.0
7,10,13,2,13900,9.539716058977092,1,5,13600,9.517898598432753,1,6,6,1.9459101490553132,1,0,1,6,6,2,0,109100.0
2,7,14,1,13400,9.503084610020228,2,2,13000,9.472781556562168,1,1,2,1.0986122886681098,1,2,2,2,2,2,2,52400.0
4,7,14,3,10900,9.296609807128359,1,1,5000,8.517393171418904,2,2,3,1.3862943611198906,0,0,3,3,3,1,0,30900.0
2,14,2,4,12500,9.433563920090563,2,5,2500,7.824445930877619,1,1,2,1.0986122886681098,1,2,2,2,2,2,3,20000.0
0,9,12,2,6400,8.764209507142004,1,2,10100,9.220389707829185,2,6,3,1.3862943611198906,0,0,3,3,3,1,0,46800.0
1,1,14,5,9700,9.179984251961283,1,5,11600,9.358846580275406,2,1,4,1.6094379124341003,1,1,4,4,4,4,2,67700.0
7,0,3,4,13000,9.472781556562168,1,1,12100,9.401043372798053,1,4,5,1.791759469228055,0,2,0,5,5,5,2,85600.0
0,5,1,5,7200,8.881975184248867,0,4,1600,7.3783837129967145,1,4,2,1.0986122886681098,1,2,2,2,2,2,2,12000.0
4,10,12,2,10100,9.220389707829185,2,6,13000,9.472781556562168,1,1,5,1.791759469228055,0,2,0,5,5,5,2,88100.0
2,8,0,3,7200,8.881975184248867,0,4,1700,7.438971592395862,2,6,6,1.9459101490553132,1,0,1,6,6,2,1,19100.0
7,10,7,4,1500,7.313886831633462,0,2,14600,9.588845298501564,2,5,7,2.0794415416798357,0,1,2,0,7,1,0,118300.0
5,14,1,1,10500,9.259225769705994,0,0,7800,8.962007209588313,0,2,6,1.9459101490553132,1,0,1,6,6,6,2,65100.0
5,1,10,1,2700,7.901377353792616,0,5,2800,7.937731775260109,1,0,6,1.9459101490553132,1,0,1,6,6,2,1,22300.0
1,6,14,6,11500,9.350189267092581,1,6,10500,9.259225769705994,0,0,5,1.791759469228055,0,2,0,5,5,5,2,74500.0
5,9,3,4,6700,8.81001204797317,1,1,1100,7.00397413672268,2,1,7,2.0794415416798357,0,1,2,0,7,1,0,15500.0
6,15,11,4,12000,9.392745258631441,0,2,13500,9.510519035757246,0,4,4,1.6094379124341003,1,1,4,4,4,4,2,79500.0
4,3,6,3,2700,7.901377353792616,0,5,9600,9.169622538697624,0,3,7,2.0794415416798357,0,1,2,0,7,1,0,79500.0
3,10,1,4,6600,8.79497643168877,0,6,12800,9.45727857185611,2,4,5,1.791759469228055,0,2,0,5,5,5,2,83400.0
2,14,7,0,7700,8.94910546953925,2,0,2700,7.901377353792616,0,5,3,1.3862943611198906,0,0,3,3,3,1,1,18500.0
2,6,6,3,13300,9.495594499353297,1,0,8300,9.024131268455035,2,5,2,1.0986122886681098,1,2,2,2,2,2,2,38200.0
3,6,7,0,11500,9.350189267092581,1,6,5000,8.517393171418904,2,2,5,1.791759469228055,0,2,0,5,5,5,2,41500.0
3,5,5,1,3300,8.101980731853192,0,3,8000,8.987321812850125,2,6,7,2.0794415416798357,0,1,2,0,7,1,0,67300.0
0,15,13,1,12100,9.401043372798053,1,4,11400,9.34145634983372,0,4,7,2.0794415416798357,0,1,2,0,7,1,0,103300.0
0,4,2,6,7100,8.867990898182093,2,2,9000,9.105090961257085,0,5,2,1.0986122886681098,1,2,2,2,2,2,2,34100.0
7,12,0,2,2200,7.696667081526462,1,2,9800,9.19023970026918,2,0,4,1.6094379124341003,1,1,4,4,4,4,2,51200.0
0,4,4,4,8800,9.082620630373812,1,1,10300,9.239996256883693,1,3,6,1.9459101490553132,1,0,1,6,6,2,0,80900.0
7,0,4,5,6700,8.81001204797317,1,1,10500,9.259225769705994,0,0,2,1.0986122886681098,1,2,2,2,2,2,2,38200.0
4,6,3,0,9700,9.179984251961283,1,5,7900,8.974744612722734,1,4,4,1.6094379124341003,1,1,4,4,4,4,2,49200.0
2,13,7,5,1300,7.170888478512505,1,5,2100,7.650168700845001,0,0,5,1.791759469228055,0,2,0,5,5,5,2,13900.0
5,6,12,6,13400,9.503084610020228,2,2,12800,9.45727857185611,2,4,2,1.0986122886681098,1,2,2,2,2,2,2,51800.0
4,14,8,5,6800,8.824824939175638,2,3,12900,9.465060106725137,0,6,2,1.0986122886681098,1,2,2,2,2,2,2,45500.0
5,13,5,5,6200,8.732465848349879,2,5,9300,9.137877200242468,0,4,2,1.0986122886681098,1,2,2,2,2,2,2,34100.0
5,0,9,4,5000,8.517393171418904,2,2,3600,8.188966863648876,0,2,4,1.6094379124341003,1,1,4,4,4,4,2,23000.0
6,7,13,0,2700,7.901377353792616,0,5,12900,9.465060106725137,0,6,3,1.3862943611198906,0,0,3,3,3,3,2,54300.0
5,3,0,2,12600,9.441531454869693,0,0,1700,7.438971592395862,2,6,2,1.0986122886681098,1,2,2,2,2,2,2,17700.0
6,11,7,4,8200,9.012011377036412,1,3,13900,9.539716058977092,1,5,7,2.0794415416798357,0,1,2,0,7,1,0,119400.0
3,2,6,0,2200,7.696667081526462,1,2,14100,9.55400099583723,0,2,5,1.791759469228055,0,2,0,5,5,5,2,86800.0
3,3,7,2,2100,7.650168700845001,0,0,3700,8.216358332386156,1,4,3,1.3862943611198906,0,0,3,3,3,1,1,16900.0
6,6,14,5,2100,7.650168700845001,0,0,7100,8.867990898182093,2,2,5,1.791759469228055,0,2,0,5,5,5,2,44700.0
0,0,15,2,14600,9.588845298501564,2,5,4300,8.366602832783736,1,2,2,1.0986122886681098,1,2,2,2,2,2,2,27500.0
0,2,15,4,5000,8.517393171418904,2,2,4900,8.497194544909547,1,0,3,1.3862943611198906,0,0,3,3,3,1,0,24600.0
5,13,5,5,2600,7.8636512654486515,2,3,6400,8.764209507142004,1,2,2,1.0986122886681098,1,2,2,2,2,2,2,21800.0
0,7,10,5,11900,9.38437770918244,2,0,14000,9.546884034617925,2,0,4,1.6094379124341003,1,1,4,4,4,4,2,81900.0
4,10,11,6,12500,9.433563920090563,2,5,11500,9.350189267092581,1,6,2,1.0986122886681098,1,2,2,2,2,2,2,47000.0
6,13,15,1,8300,9.024131268455035,2,5,3600,8.188966863648876,0,2,6,1.9459101490553132,1,0,1,6,6,2,1,33500.0
4,5,11,5,7200,8.881975184248867,0,4,4100,8.31898612539206,2,5,5,1.791759469228055,0,2,0,5,5,5,2,31800.0
5,1,15,6,4700,8.45553053102413,2,3,14200,9.561067663645012,1,4,4,1.6094379124341003,1,1,4,4,4,4,2,75700.0
3,2,15,6,13500,9.510519035757246,0,4,12000,9.392745258631441,0,2,4,1.6094379124341003,1,1,4,4,4,4,2,73500.0
2,8,12,1,8600,9.059633754551479,2,4,4200,8.343077871169383,0,0,4,1.6094379124341003,1,1,4,4,4,4,2,29600.0
1,5,11,1,4900,8.497194544909547,1,0,2400,7.783640596221253,0,6,4,1.6094379124341003,1,1,4,4,4,4,2,16900.0
3,11,11,5,14500,9.581972891547895,1,3,10500,9.259225769705994,0,0,7,2.0794415416798357,0,1,2,0,7,1,1,98500.0
3,4,13,4,4700,8.45553053102413,2,3,2700,7.901377353792616,0,5,5,1.791759469228055,0,2,0,5,5,5,2,20900.0
5,5,2,3,3500,8.160803920954665,2,0,11600,9.358846580275406,2,1,5,1.791759469228055,0,2,0,5,5,5,2,73100.0
0,1,14,4,1500,7.313886831633462,0,2,6500,8.77971129020447,2,4,7,2.0794415416798357,0,1,2,0,7,1,0,53500.0
7,2,8,1,9700,9.179984251961283,1,5,14900,9.60918360377546,2,4,3,1.3862943611198906,0,0,3,3,3,1,0,69300.0
2,11,8,1,7600,8.936035096566041,1,5,2900,7.972810784121404,2,2,2,1.0986122886681098,1,2,2,2,2,2,2,16300.0
1,6,6,0,15000,9.61587214452889,0,6,5500,8.612685172875459,1,5,4,1.6094379124341003,1,1,4,4,4,4,2,42500.0
0,13,5,6,8200,9.012011377036412,1,3,14100,9.55400099583723,0,2,6,1.9459101490553132,1,0,1,6,6,2,1,106900.0
5,0,11,3,9300,9.137877200242468,0,4,8800,9.082620630373812,1,1,4,1.6094379124341003,1,1,4,4,4,4,2,53300.0
4,13,0,6,13600,9.517898598432753,1,6,2600,7.8636512654486515,2,3,4,1.6094379124341003,1,1,4,4,4,4,2,26600.0
5,13,3,1,6000,8.699681400989514,0,1,12900,9.465060106725137,0,6,4,1.6094379124341003,1,1,4,4,4,4,2,70500.0
6,11,6,4,8200,9.012011377036412,1,3,10000,9.210440366976517,1,4,7,2.0794415416798357,0,1,2,0,7,1,0,88200.0
7,11,7,2,13000,9.472781556562168,1,1,4000,8.294299608857235,1,3,2,1.0986122886681098,1,2,2,2,2,2,2,25000.0
6,9,9,6,2000,7.601402334583733,2,5,6700,8.81001204797317,1,1,2,1.0986122886681098,1,2,2,2,2,2,2,22100.0
3,3,13,4,9200,9.127067452782361,2,2,2500,7.824445930877619,1,1,7,2.0794415416798357,0,1,2,0,7,1,0,29200.0
5,13,13,1,11500,9.350189267092581,1,6,14800,9.60245002503719,1,2,6,1.9459101490553132,1,0,1,6,6,2,0,115100.0
6,0,5,2,10300,9.239996256883693,1,3,10100,9.220389707829185,2,6,2,1.0986122886681098,1,2,2,2,2,2,2,40600.0
2,8,10,3,12400,9.425532393502772,1,3,9800,9.19023970026918,2,0,5,1.791759469228055,0,2,0,5,5,5,2,71200.0
1,14,12,5,2900,7.972810784121404,2,2,14100,9.55400099583723,0,2,7,2.0794415416798357,0,1,2,0,7,1,0,115700.0
7,6,13,4,11800,9.375939552625749,1,5,7100,8.867990898182093,2,2,7,2.0794415416798357,0,1,2,0,7,1,0,68600.0
0,0,1,5,4400,8.38958706681109,2,4,10400,9.249657234353133,2,5,2,1.0986122886681098,1,2,2,2,2,2,2,35600.0
2,13,11,6,11300,9.332646496360152,2,2,4300,8.366602832783736,1,2,7,2.0794415416798357,0,1,2,0,7,1,0,45700.0
5,7,10,6,8200,9.012011377036412,1,3,10700,9.278092474027002,2,4,4,1.6094379124341003,1,1,4,4,4,4,2,61700.0
1,7,3,1,9700,9.179984251961283,1,5,5900,8.682877107057168,2,6,6,1.9459101490553132,1,0,1,6,6,2,0,51000.0
5,14,10,4,13600,9.517898598432753,1,6,8300,9.024131268455035,2,5,5,1.791759469228055,0,2,0,5,5,5,2,63400.0
3,10,10,5,11200,9.32375833901174,1,0,14800,9.60245002503719,1,2,6,1.9459101490553132,1,0,1,6,6,2,0,114800.0
5,5,8,4,7900,8.974744612722734,1,4,13900,9.539716058977092,1,5,2,1.0986122886681098,1,2,2,2,2,2,2,49600.0
3,13,13,2,2100,7.650168700845001,0,0,3300,8.101980731853192,0,3,6,1.9459101490553132,1,0,1,6,6,6,2,25200.0
0,3,1,3,12100,9.401043372798053,1,4,4300,8.366602832783736,1,2,2,1.0986122886681098,1,2,2,2,2,2,2,25000.0
2,9,6,4,8900,9.093918908958932,2,3,1100,7.00397413672268,2,1,5,1.791759469228055,0,2,0,5,5,5,2,15500.0
3,0,10,3,12000,9.392745258631441,0,2,2600,7.8636512654486515,2,3,2,1.0986122886681098,1,2,2,2,2,2,2,19800.0
3,14,0,4,1000,6.90875477931522,1,6,11100,9.314790473332646,0,5,7,2.0794415416798357,0,1,2,0,7,1,0,89800.0
1,4,2,3,10700,9.278092474027002,2,4,6000,8.699681400989514,0,1,6,1.9459101490553132,1,0,1,6,6,2,1,52700.0
1,2,9,1,9000,9.105090961257085,0,5,1100,7.00397413672268,2,1,2,1.0986122886681098,1,2,2,2,2,2,2,12300.0
0,11,15,2,6900,8.839421607620602,0,5,9400,9.148571345578551,1,6,7,2.0794415416798357,0,1,2,0,7,1,0,82100.0
2,11,0,6,6000,8.699681400989514,0,1,1500,7.313886831633462,0,2,5,1.791759469228055,0,2,0,5,5,5,3,15000.0
2,3,14,2,8700,9.071193240566025,0,6,8100,8.999742789830492,0,1,3,1.3862943611198906,0,0,3,3,3,3,2,41100.0
6,3,8,3,13900,9.539716058977092,1,5,10100,9.220389707829185,2,6,7,2.0794415416798357,0,1,2,0,7,1,0,94700.0
2,11,2,5,8900,9.093918908958932,2,3,8600,9.059633754551479,2,4,7,2.0794415416798357,0,1,2,0,7,1,0,77700.0
0,1,9,2,2500,7.824445930877619,1,1,12400,9.425532393502772,1,3,2,1.0986122886681098,1,2,2,2,2,2,2,39700.0
5,1,6,2,6100,8.716207971151853,1,3,5300,8.575650760987806,2,1,3,1.3862943611198906,0,0,3,3,3,1,0,27300.0
2,0,4,6,11900,9.38437770918244,2,0,14600,9.588845298501564,2,5,4,1.6094379124341003,1,1,4,4,4,4,2,84900.0
2,6,4,5,3000,8.006700845440367,0,4,2100,7.650168700845001,0,0,3,1.3862943611198906,0,0,3,3,3,3,2,11400.0
5,10,7,3,5500,8.612685172875459,1,5,11700,9.367429587218957,0,3,2,1.0986122886681098,1,2,2,2,2,2,2,40600.0
5,8,13,0,6500,8.77971129020447,2,4,11300,9.332646496360152,2,2,2,1.0986122886681098,1,2,2,2,2,2,2,40400.0
2,8,2,3,14700,9.595670797663967,0,0,11700,9.367429587218957,0,3,2,1.0986122886681098,1,2,2,2,2,2,2,49800.0
3,1,2,1,14400,9.575052927597383,0,1,14100,9.55400099583723,0,2,7,2.0794415416798357,0,1,2,0,7,1,0,127200.0
6,6,7,2,2900,7.972810784121404,2,2,3600,8.188966863648876,0,2,6,1.9459101490553132,1,0,1,6,6,2,1,28100.0
4,2,11,3,11200,9.32375833901174,1,0,12800,9.45727857185611,2,4,7,2.0794415416798357,0,1,2,0,7,1,1,113600.0
5,7,8,5,13400,9.503084610020228,2,2,14400,9.575052927597383,0,1,5,1.791759469228055,0,2,0,5,5,5,2,99800.0
5,15,5,3,7100,8.867990898182093,2,2,12900,9.465060106725137,0,6,7,2.0794415416798357,0,1,2,0,7,1,0,110300.0
2,2,8,5,1200,7.0909098220799835,0,3,4300,8.366602832783736,1,2,4,1.6094379124341003,1,1,4,4,4,4,2,22700.0
6,15,3,1,14300,9.568084743872936,2,6,4300,8.366602832783736,1,2,4,1.6094379124341003,1,1,4,4,4,4,2,35800.0
0,5,5,4,9800,9.19023970026918,2,0,2800,7.937731775260109,1,0,7,2.0794415416798357,0,1,2,0,7,7,2,32200.0
1,8,7,5,9400,9.148571345578551,1,6,4100,8.31898612539206,2,5,5,1.791759469228055,0,2,0,5,5,5,2,34000.0
3,3,13,5,2900,7.972810784121404,2,2,3900,8.268988209506656,0,1,3,1.3862943611198906,0,0,3,3,3,1,1,18500.0
0,1,6,5,7900,8.974744612722734,1,4,5700,8.648396877031582,0,2,5,1.791759469228055,0,2,0,5,5,5,2,42100.0
7,1,1,2,6200,8.732465848349879,2,5,12400,9.425532393502772,1,3,3,1.3862943611198906,0,0,3,3,3,1,1,55800.0
2,1,12,1,1600,7.3783837129967145,1,4,11100,9.314790473332646,0,5,7,2.0794415416798357,0,1,2,0,7,1,0,90400.0
3,11,3,6,8500,9.04793908261736,1,2,3200,8.071218539969863,2,1,4,1.6094379124341003,1,1,4,4,4,4,2,24500.0
4,6,4,5,7800,8.962007209588313,0,2,14500,9.581972891547895,1,3,6,1.9459101490553132,1,0,1,6,6,2,1,109300.0
6,9,14,5,12600,9.441531454869693,0,0,2100,7.650168700845001,0,0,2,1.0986122886681098,1,2,2,2,2,2,3,18900.0
6,10,14,5,2100,7.650168700845001,0,0,2900,7.972810784121404,2,2,7,2.0794415416798357,0,1,2,0,7,1,1,25300.0
6,4,9,1,14000,9.546884034617925,2,0,2200,7.696667081526462,1,2,5,1.791759469228055,0,2,0,5,5,5,2,27200.0
6,12,0,2,11100,9.314790473332646,0,5,10400,9.249657234353133,2,5,6,1.9459101490553132,1,0,1,6,6,2,1,83900.0
0,12,5,4,2700,7.901377353792616,0,5,3700,8.216358332386156,1,4,2,1.0986122886681098,1,2,2,2,2,2,2,13800.0
1,3,2,0,9700,9.179984251961283,1,5,13000,9.472781556562168,1,1,7,2.0794415416798357,0,1,2,0,7,1,0,113700.0
3,8,1,5,8400,9.036106025364846,0,0,13600,9.517898598432753,1,6,2,1.0986122886681098,1,2,2,2,2,2,2,49200.0
4,11,9,6,4700,8.45553053102413,2,3,7600,8.936035096566041,1,5,7,2.0794415416798357,0,1,2,0,7,1,0,65500.0
2,10,5,6,9700,9.179984251961283,1,5,1000,6.90875477931522,1,6,6,1.9459101490553132,1,0,1,6,6,2,0,16700.0
0,3,6,5,8700,9.071193240566025,0,6,1800,7.496097345175956,0,1,7,2.0794415416798357,0,1,2,0,7,1,0,23100.0
3,12,3,3,8100,8.999742789830492,0,1,5000,8.517393171418904,2,2,4,1.6094379124341003,1,1,4,4,4,4,2,33100.0
0,12,8,5,13100,9.48044384215367,2,3,7500,8.922791623969637,0,3,7,2.0794415416798357,0,1,2,0,7,1,0,73100.0
2,5,12,2,14900,9.60918360377546,2,4,12500,9.433563920090563,2,5,3,1.3862943611198906,0,0,3,3,3,1,0,64900.0
7,9,7,4,10500,9.259225769705994,0,0,3000,8.006700845440367,0,4,5,1.791759469228055,0,2,0,5,5,5,2,28500.0
7,9,7,1,7500,8.922791623969637,0,3,12300,9.417435838868785,0,1,6,1.9459101490553132,1,0,1,6,6,6,2,93600.0
0,13,3,5,13300,9.495594499353297,1,0,13000,9.472781556562168,1,1,5,1.791759469228055,0,2,0,5,5,5,2,91300.0
3,1,15,6,11100,9.314790473332646,0,5,10000,9.210440366976517,1,4,2,1.0986122886681098,1,2,2,2,2,2,2,41100.0
5,0,3,6,9400,9.148571345578551,1,6,7600,8.936035096566041,1,5,7,2.0794415416798357,0,1,2,0,7,1,0,70200.0
6,2,9,0,6000,8.699681400989514,0,1,10700,9.278092474027002,2,4,6,1.9459101490553132,1,0,1,6,6,2,1,80900.0
0,0,14,0,3100,8.03947991910045,1,6,2800,7.937731775260109,1,0,2,1.0986122886681098,1,2,2,2,2,2,2,11500.0
3,8,8,2,12700,9.44943600950432,1,2,14800,9.60245002503719,1,2,4,1.6094379124341003,1,1,4,4,4,4,2,86700.0
4,9,14,0,13600,9.517898598432753,1,6,4500,8.412054873292933,0,6,2,1.0986122886681098,1,2,2,2,2,2,2,27100.0
5,7,5,3,4500,8.412054873292933,0,6,11100,9.314790473332646,0,5,5,1.791759469228055,0,2,0,5,5,5,2,71100.0
3,9,14,4,7200,8.881975184248867,0,4,9900,9.200391041122515,0,2,2,1.0986122886681098,1,2,2,2,2,2,2,36900.0
5,11,4,1,10400,9.249657234353133,2,5,12900,9.465060106725137,0,6,4,1.6094379124341003,1,1,4,4,4,4,2,74900.0
4,12,15,0,11400,9.34145634983372,0,4,10200,9.23024103368252,0,1,5,1.791759469228055,0,2,0,5,5,5,2,72600.0
5,3,4,4,1600,7.3783837129967145,1,4,4700,8.45553053102413,2,3,3,1.3862943611198906,0,0,3,3,3,1,0,20400.0
3,14,4,4,12400,9.425532393502772,1,3,2200,7.696667081526462,1,2,5,1.791759469228055,0,2,0,5,5,5,2,25600.0
5,12,13,2,11100,9.314790473332646,0,5,11900,9.38437770918244,2,0,3,1.3862943611198906,0,0,3,3,3,1,1,58700.0
1,4,14,0,3300,8.101980731853192,0,3,8000,8.987321812850125,2,6,2,1.0986122886681098,1,2,2,2,2,2,2,27300.0
5,15,10,4,8800,9.082620630373812,1,1,11800,9.375939552625749,1,5,5,1.791759469228055,0,2,0,5,5,5,2,79600.0
5,3,1,3,12700,9.44943600950432,1,2,10900,9.296609807128359,1,1,7,2.0794415416798357,0,1,2,0,7,1,0,99900.0
6,9,4,5,8700,9.071193240566025,0,6,9700,9.179984251961283,1,5,5,1.791759469228055,0,2,0,5,5,5,2,66900.0
7,5,4,6,6400,8.764209507142004,1,2,9400,9.148571345578551,1,6,3,1.3862943611198906,0,0,3,3,3,1,0,44000.0
5,5,9,1,12100,9.401043372798053,1,4,3000,8.006700845440367,0,4,5,1.791759469228055,0,2,0,5,5,5,2,30100.0
3,6,9,6,3300,8.101980731853192,0,3,4800,8.476579508530941,0,5,4,1.6094379124341003,1,1,4,4,4,4,2,27300.0
0,3,12,5,12200,9.409273194575334,2,6,12600,9.441531454869693,0,0,3,1.3862943611198906,0,0,3,3,3,1,1,62600.0
0,0,2,3,6400,8.764209507142004,1,2,2300,7.741099090035366,2,4,6,1.9459101490553132,1,0,1,6,6,2,0,22500.0
3,13,15,6,7100,8.867990898182093,2,2,1300,7.170888478512505,1,5,4,1.6094379124341003,1,1,4,4,4,4,2,13600.0
2,8,12,2,14500,9.581972891547895,1,3,14700,9.595670797663967,0,0,6,1.9459101490553132,1,0,1,6,6,2,1,117400.0
1,5,10,0,5100,8.537191877922927,0,4,3400,8.131824785007195,1,5,7,2.0794415416798357,0,1,2,0,7,1,0,32300.0
3,3,15,6,9600,9.169622538697624,0,3,1600,7.3783837129967145,1,4,5,1.791759469228055,0,2,0,5,5,5,3,19200.0
0,9,3,4,6100,8.716207971151853,1,3,4800,8.476579508530941,0,5,7,2.0794415416798357,0,1,2,0,7,1,0,44500.0
0,0,9,5,5400,8.594339400592892,0,3,10500,9.259225769705994,0,0,3,1.3862943611198906,0,0,3,3,3,3,2,47400.0
1,2,11,3,3300,8.101980731853192,0,3,4300,8.366602832783736,1,2,6,1.9459101490553132,1,0,1,6,6,2,1,33400.0
