slot_item,slot_price,slot_price_abs_log1p,slot_price_mod3,slot_price_mod7,slot_discount_percent,slot_discount_percent_abs_log1p,slot_discount_percent_is_even,slot_discount_percent_mod3,slot_discount_percent_mod7,slot_discount_percent_mod10,slot_currency_symbol,slot_store,gcd_all,n_multiple_pairs,y
2,3720,8.221747728346623,0,3,65,4.189654742026425,0,2,2,5,3,7,5,0,1302.0
7,4040,8.304247465078474,2,1,70,4.2626798770413155,1,1,0,0,3,6,10,0,1212.0
2,3480,8.15507488781144,0,1,50,3.9318256327243257,1,2,1,0,0,9,10,0,1740.0
4,3300,8.101980731853192,0,3,10,2.3978952727983707,1,1,3,0,3,3,10,1,2970.0
6,4060,8.309184527686298,1,0,75,4.330733340286331,0,0,5,5,0,6,5,0,1015.0
3,2140,7.669028288589683,1,5,30,3.4339872044851463,1,0,2,0,0,9,10,0,1498.0
8,1980,7.591357046698551,0,6,20,3.044522437723423,1,2,6,0,0,0,20,1,1584.0
8,2760,7.923348211930154,0,2,60,4.110873864173311,1,0,4,0,1,6,60,1,1104.0
5,3440,8.14351740579748,2,3,80,4.394449154672439,1,2,3,0,0,9,80,1,688.0
1,2900,7.972810784121404,2,2,75,4.330733340286331,0,0,5,5,1,2,25,0,725.0
5,500,6.2166061010848646,2,3,35,3.58351893845611,0,2,0,5,3,10,5,0,325.0
1,2240,7.714677473800927,2,0,35,3.58351893845611,0,2,0,5,0,6,35,1,1456.0
0,2320,7.749753406274437,1,3,15,2.772588722239781,0,0,1,5,3,1,5,0,1972.0
0,3140,8.052296499538647,2,4,40,3.713572066704308,1,1,5,0,3,4,20,0,1884.0
1,1100,7.00397413672268,2,1,75,4.330733340286331,0,0,5,5,0,9,25,0,275.0
3,2700,7.901377353792616,0,5,40,3.713572066704308,1,1,5,0,1,8,20,0,1620.0
2,2900,7.972810784121404,2,2,90,4.51085950651685,1,0,6,0,2,0,10,0,290.0
2,3740,8.227108234348146,2,2,20,3.044522437723423,1,2,6,0,3,6,20,1,2992.0
2,4080,8.314097335405807,0,6,5,1.791759469228055,0,2,5,5,3,6,5,1,3876.0
2,3600,8.188966863648876,0,2,85,4.454347296253507,0,1,1,5,0,5,5,0,540.0
5,4920,8.501267040865978,0,6,90,4.51085950651685,1,0,6,0,2,10,30,0,492.0
3,1820,7.507141079727608,2,0,10,2.3978952727983707,1,1,3,0,3,7,10,1,1638.0
6,3360,8.119993827725105,0,0,40,3.713572066704308,1,1,5,0,2,9,40,1,2016.0
1,2700,7.901377353792616,0,5,45,3.828641396489095,0,0,3,5,0,2,45,1,1485.0
5,1400,7.244941546337007,2,0,55,4.02535169073515,0,1,6,5,0,8,5,0,630.0
9,2300,7.741099090035366,2,4,70,4.2626798770413155,1,1,0,0,2,9,10,0,690.0
2,1500,7.313886831633462,0,2,80,4.394449154672439,1,2,3,0,0,4,20,0,300.0
7,2100,7.650168700845001,0,0,40,3.713572066704308,1,1,5,0,2,1,20,0,1260.0
4,2840,7.951911381854188,2,5,65,4.189654742026425,0,2,2,5,0,7,5,0,994.0
9,1620,7.390798521735676,0,3,45,3.828641396489095,0,0,3,5,3,2,45,1,891.0
0,2940,7.9865049385539955,0,0,35,3.58351893845611,0,2,0,5,1,3,35,1,1911.0
5,2340,7.75833346749091,0,2,65,4.189654742026425,0,2,2,5,1,9,65,1,819.0
2,1120,7.02197642307216,1,0,35,3.58351893845611,0,2,0,5,3,10,35,1,728.0
2,3120,8.045908742270779,0,5,65,4.189654742026425,0,2,2,5,2,9,65,1,1092.0
7,520,6.255750041753367,1,2,80,4.394449154672439,1,2,3,0,2,5,40,0,104.0
3,5000,8.517393171418904,2,2,75,4.330733340286331,0,0,5,5,2,7,25,0,1250.0
5,4120,8.323851131338817,1,4,75,4.330733340286331,0,0,5,5,3,4,5,0,1030.0
7,2140,7.669028288589683,1,5,75,4.330733340286331,0,0,5,5,3,7,5,0,535.0
6,4580,8.429672593886743,2,2,30,3.4339872044851463,1,0,2,0,0,2,10,0,3206.0
9,1500,7.313886831633462,0,2,50,3.9318256327243257,1,2,1,0,1,3,50,1,750.0
4,3620,8.19450550976564,2,1,85,4.454347296253507,0,1,1,5,2,9,5,0,543.0
5,2600,7.8636512654486515,2,3,30,3.4339872044851463,1,0,2,0,2,3,10,0,1820.0
6,4300,8.366602832783736,1,2,40,3.713572066704308,1,1,5,0,0,1,20,0,2580.0
7,3060,8.026496938945412,0,1,15,2.772588722239781,0,0,1,5,0,5,15,1,2601.0
5,2220,7.7057128238944275,0,1,35,3.58351893845611,0,2,0,5,0,8,5,0,1443.0
0,2420,7.791935956938058,2,5,15,2.772588722239781,0,0,1,5,2,1,5,0,2057.0
2,2900,7.972810784121404,2,2,55,4.02535169073515,0,1,6,5,2,7,5,0,1305.0
4,240,5.484796933490655,0,2,80,4.394449154672439,1,2,3,0,3,2,80,1,48.0
8,240,5.484796933490655,0,2,10,2.3978952727983707,1,1,3,0,3,5,10,1,216.0
1,380,5.942799375126701,2,2,25,3.258096538021482,0,1,4,5,2,4,5,0,285.0
9,2600,7.8636512654486515,2,3,5,1.791759469228055,0,2,5,5,2,6,5,1,2470.0
8,2540,7.840312983320164,2,6,70,4.2626798770413155,1,1,0,0,2,2,10,0,762.0
5,1240,7.123672785204607,1,1,60,4.110873864173311,1,0,4,0,3,8,20,0,496.0
7,1260,7.13966033596492,0,0,25,3.258096538021482,0,1,4,5,2,2,5,0,945.0
5,4720,8.459775920546287,1,2,40,3.713572066704308,1,1,5,0,2,1,40,1,2832.0
8,5000,8.517393171418904,2,2,75,4.330733340286331,0,0,5,5,2,7,25,0,1250.0
5,4540,8.420902531097951,1,4,50,3.9318256327243257,1,2,1,0,0,5,10,0,2270.0
0,4740,8.464003362902119,0,1,50,3.9318256327243257,1,2,1,0,1,3,10,0,2370.0
2,920,6.825460036255307,2,3,70,4.2626798770413155,1,1,0,0,1,1,10,0,276.0
1,2840,7.951911381854188,2,5,20,3.044522437723423,1,2,6,0,2,2,20,1,2272.0
1,3380,8.125926802707886,2,6,55,4.02535169073515,0,1,6,5,2,9,5,0,1521.0
1,580,6.364750756851911,1,6,35,3.58351893845611,0,2,0,5,1,4,5,0,377.0
0,1300,7.170888478512505,1,5,10,2.3978952727983707,1,1,3,0,1,3,10,1,1170.0
4,3160,8.058643712215618,1,3,90,4.51085950651685,1,0,6,0,2,5,10,0,316.0
0,1660,7.415175109613295,1,1,65,4.189654742026425,0,2,2,5,2,3,5,0,581.0
3,3880,8.263848131368906,1,2,85,4.454347296253507,0,1,1,5,0,4,5,0,582.0
9,3640,8.200013648175434,1,0,75,4.330733340286331,0,0,5,5,0,0,5,0,910.0
5,1660,7.415175109613295,1,1,25,3.258096538021482,0,1,4,5,0,5,5,0,1245.0
3,1880,7.53955882930103,2,4,35,3.58351893845611,0,2,0,5,3,10,5,0,1222.0
5,4560,8.4252971767117,0,3,90,4.51085950651685,1,0,6,0,1,10,30,0,456.0
8,1380,7.2305631534092925,0,1,60,4.110873864173311,1,0,4,0,2,6,60,1,552.0
4,1700,7.438971592395862,2,6,85,4.454347296253507,0,1,1,5,3,10,85,1,255.0
6,840,6.734591659972948,0,0,90,4.51085950651685,1,0,6,0,1,4,30,0,84.0
7,4920,8.501267040865978,0,6,75,4.330733340286331,0,0,5,5,2,1,15,0,1230.0
3,3920,8.27410200229233,2,0,70,4.2626798770413155,1,1,0,0,0,0,70,1,1176.0
7,1500,7.313886831633462,0,2,60,4.110873864173311,1,0,4,0,3,10,60,1,600.0
4,4160,8.333510708982942,2,2,40,3.713572066704308,1,1,5,0,1,2,40,1,2496.0
4,4080,8.314097335405807,0,6,35,3.58351893845611,0,2,0,5,3,8,5,0,2652.0
3,1140,7.039660349862076,0,6,60,4.110873864173311,1,0,4,0,0,6,60,1,456.0
9,360,5.8888779583328805,0,3,35,3.58351893845611,0,2,0,5,0,10,5,0,234.0
3,1940,7.57095858316901,2,1,65,4.189654742026425,0,2,2,5,0,5,5,0,679.0
5,1560,7.353081920515432,0,6,70,4.2626798770413155,1,1,0,0,0,2,10,0,468.0
8,600,6.398594934535208,0,5,35,3.58351893845611,0,2,0,5,3,1,5,0,390.0
1,4100,8.31898612539206,2,5,15,2.772588722239781,0,0,1,5,0,9,5,0,3485.0
5,4200,8.343077871169383,0,0,65,4.189654742026425,0,2,2,5,2,9,5,0,1470.0
4,220,5.3981627015177525,1,3,60,4.110873864173311,1,0,4,0,2,4,20,0,88.0
2,3340,8.114025442356757,1,1,10,2.3978952727983707,1,1,3,0,2,1,10,1,3006.0
5,3380,8.125926802707886,2,6,60,4.110873864173311,1,0,4,0,1,9,20,0,1352.0
8,420,6.042632833682381,0,0,70,4.2626798770413155,1,1,0,0,2,6,70,1,126.0
3,920,6.825460036255307,2,3,50,3.9318256327243257,1,2,1,0,1,7,10,0,460.0
1,2720,7.908754738783246,2,4,20,3.044522437723423,1,2,6,0,2,1,20,1,2176.0
7,4220,8.347827345782498,2,6,85,4.454347296253507,0,1,1,5,2,1,5,0,633.0
9,3400,8.131824785007195,1,5,80,4.394449154672439,1,2,3,0,2,7,40,0,680.0
8,4080,8.314097335405807,0,6,50,3.9318256327243257,1,2,1,0,3,0,10,0,2040.0
6,260,5.564520407322694,2,1,60,4.110873864173311,1,0,4,0,1,10,20,0,104.0
3,2680,7.893945138235959,1,6,15,2.772588722239781,0,0,1,5,1,5,5,0,2278.0
9,520,6.255750041753367,1,2,30,3.4339872044851463,1,0,2,0,0,5,10,0,364.0
5,3440,8.14351740579748,2,3,10,2.3978952727983707,1,1,3,0,3,7,10,1,3096.0
7,3080,8.033009498596668,2,0,10,2.3978952727983707,1,1,3,0,3,6,10,1,2772.0
3,3500,8.160803920954665,2,0,75,4.330733340286331,0,0,5,5,2,0,25,0,875.0
7,2760,7.923348211930154,0,2,20,3.044522437723423,1,2,6,0,1,10,20,1,2208.0
1,2040,7.621195162809845,0,3,85,4.454347296253507,0,1,1,5,0,0,85,1,306.0
9,3300,8.101980731853192,0,3,50,3.9318256327243257,1,2,1,0,0,10,50,1,1650.0
1,1220,7.107425474110705,2,2,90,4.51085950651685,1,0,6,0,3,3,10,0,122.0
9,3140,8.052296499538647,2,4,75,4.330733340286331,0,0,5,5,0,6,5,0,785.0
1,4700,8.45553053102413,2,3,60,4.110873864173311,1,0,4,0,0,8,20,0,1880.0
7,3320,8.108021221376747,2,2,35,3.58351893845611,0,2,0,5,3,3,5,0,2158.0
8,3700,8.216358332386156,1,4,50,3.9318256327243257,1,2,1,0,2,8,50,1,1850.0
5,1200,7.0909098220799835,0,3,20,3.044522437723423,1,2,6,0,3,2,20,1,960.0
6,4500,8.412054873292933,0,6,60,4.110873864173311,1,0,4,0,0,6,60,1,1800.0
7,1600,7.3783837129967145,1,4,55,4.02535169073515,0,1,6,5,3,8,5,0,720.0
2,2420,7.791935956938058,2,5,20,3.044522437723423,1,2,6,0,0,6,20,1,1936.0
2,3000,8.006700845440367,0,4,70,4.2626798770413155,1,1,0,0,0,10,10,0,900.0
9,4560,8.4252971767117,0,3,5,1.791759469228055,0,2,5,5,2,3,5,1,4332.0
7,4140,8.328692583545568,0,3,65,4.189654742026425,0,2,2,5,0,4,5,0,1449.0
3,3060,8.026496938945412,0,1,5,1.791759469228055,0,2,5,5,1,6,5,1,2907.0
3,480,6.175867270105761,0,4,10,2.3978952727983707,1,1,3,0,1,5,10,1,432.0
7,1840,7.518064181233078,1,6,50,3.9318256327243257,1,2,1,0,2,2,10,0,920.0
1,2860,7.95892649305011,1,4,30,3.4339872044851463,1,0,2,0,3,2,10,0,2002.0
6,4300,8.366602832783736,1,2,50,3.9318256327243257,1,2,1,0,0,9,50,1,2150.0
7,1660,7.415175109613295,1,1,80,4.394449154672439,1,2,3,0,0,9,20,0,332.0
9,4760,8.46821300919452,2,0,10,2.3978952727983707,1,1,3,0,3,2,10,1,4284.0
6,1100,7.00397413672268,2,1,40,3.713572066704308,1,1,5,0,1,6,20,0,660.0
8,1960,7.581209826196346,1,0,35,3.58351893845611,0,2,0,5,3,9,35,1,1274.0
3,540,6.293419278846481,0,1,15,2.772588722239781,0,0,1,5,1,0,15,1,459.0
7,3800,8.24301946898925,2,6,15,2.772588722239781,0,0,1,5,2,5,5,0,3230.0
3,3900,8.268988209506656,0,1,55,4.02535169073515,0,1,6,5,2,9,5,0,1755.0
9,2300,7.741099090035366,2,4,70,4.2626798770413155,1,1,0,0,0,10,10,0,690.0
9,4140,8.328692583545568,0,3,55,4.02535169073515,0,1,6,5,1,0,5,0,1863.0
9,2300,7.741099090035366,2,4,35,3.58351893845611,0,2,0,5,2,2,5,0,1495.0
8,440,6.089044875446846,2,6,80,4.394449154672439,1,2,3,0,1,9,40,0,88.0
1,300,5.707110264748875,0,6,60,4.110873864173311,1,0,4,0,0,1,60,1,120.0
2,1340,7.201170883281678,2,3,75,4.330733340286331,0,0,5,5,0,7,5,0,335.0
3,3320,8.108021221376747,2,2,30,3.4339872044851463,1,0,2,0,2,5,10,0,2324.0
4,380,5.942799375126701,2,2,15,2.772588722239781,0,0,1,5,0,4,5,0,323.0
3,1040,6.947937068614969,2,4,75,4.330733340286331,0,0,5,5,3,4,5,0,260.0
8,4100,8.31898612539206,2,5,20,3.044522437723423,1,2,6,0,1,9,20,1,3280.0
9,2260,7.72356247227797,1,6,5,1.791759469228055,0,2,5,5,3,0,5,1,2147.0
0,2680,7.893945138235959,1,6,85,4.454347296253507,0,1,1,5,1,10,5,0,402.0
2,4100,8.31898612539206,2,5,85,4.454347296253507,0,1,1,5,2,8,5,0,615.0
0,720,6.580639137284949,0,6,75,4.330733340286331,0,0,5,5,2,10,15,0,180.0
8,1300,7.170888478512505,1,5,85,4.454347296253507,0,1,1,5,1,7,5,0,195.0
2,5000,8.517393171418904,2,2,25,3.258096538021482,0,1,4,5,3,8,25,1,3750.0
9,2060,7.630946580890459,2,2,25,3.258096538021482,0,1,4,5,0,7,5,0,1545.0
7,2540,7.840312983320164,2,6,65,4.189654742026425,0,2,2,5,3,9,5,0,889.0
9,2400,7.783640596221253,0,6,30,3.4339872044851463,1,0,2,0,1,1,30,1,1680.0
6,480,6.175867270105761,0,4,5,1.791759469228055,0,2,5,5,0,6,5,1,456.0
5,760,6.634633357861686,1,4,35,3.58351893845611,0,2,0,5,3,3,5,0,494.0
0,1160,7.057036981697891,2,5,90,4.51085950651685,1,0,6,0,1,4,10,0,116.0
9,220,5.3981627015177525,1,3,20,3.044522437723423,1,2,6,0,1,6,20,1,176.0
8,2360,7.766840537085513,2,1,5,1.791759469228055,0,2,5,5,2,4,5,1,2242.0
1,1300,7.170888478512505,1,5,20,3.044522437723423,1,2,6,0,2,7,20,1,1040.0
3,2420,7.791935956938058,2,5,5,1.791759469228055,0,2,5,5,2,8,5,1,2299.0
7,4220,8.347827345782498,2,6,60,4.110873864173311,1,0,4,0,0,9,20,0,1688.0
9,4980,8.513385953073284,0,3,85,4.454347296253507,0,1,1,5,1,4,5,0,747.0
3,1740,7.462214939768189,0,4,65,4.189654742026425,0,2,2,5,1,0,5,0,609.0
4,3220,8.0774471493312,1,0,40,3.713572066704308,1,1,5,0,3,5,20,0,1932.0
1,1560,7.353081920515432,0,6,80,4.394449154672439,1,2,3,0,1,10,40,0,312.0
0,2360,7.766840537085513,2,1,55,4.02535169073515,0,1,6,5,0,3,5,0,1062.0
2,880,6.78105762593618,1,5,75,4.330733340286331,0,0,5,5,2,0,5,0,220.0
1,2600,7.8636512654486515,2,3,90,4.51085950651685,1,0,6,0,1,8,10,0,260.0
8,4220,8.347827345782498,2,6,15,2.772588722239781,0,0,1,5,2,5,5,0,3587.0
7,3120,8.045908742270779,0,5,10,2.3978952727983707,1,1,3,0,0,3,10,1,2808.0
1,1400,7.244941546337007,2,0,5,1.791759469228055,0,2,5,5,0,4,5,1,1330.0
3,1020,6.928537818164665,0,5,75,4.330733340286331,0,0,5,5,0,7,15,0,255.0
7,4940,8.50532301884575,2,5,40,3.713572066704308,1,1,5,0,0,4,20,0,2964.0
4,4300,8.366602832783736,1,2,85,4.454347296253507,0,1,1,5,3,2,5,0,645.0
3,3600,8.188966863648876,0,2,5,1.791759469228055,0,2,5,5,0,10,5,1,3420.0
0,1060,6.966967138613983,1,3,75,4.330733340286331,0,0,5,5,2,0,5,0,265.0
1,4080,8.314097335405807,0,6,20,3.044522437723423,1,2,6,0,0,4,20,1,3264.0
7,3980,8.289288323000317,2,4,70,4.2626798770413155,1,1,0,0,0,0,10,0,1194.0
6,4440,8.398634855292102,0,2,10,2.3978952727983707,1,1,3,0,0,9,10,1,3996.0
9,4820,8.480736654405622,2,4,50,3.9318256327243257,1,2,1,0,3,8,10,0,2410.0
2,4740,8.464003362902119,0,1,15,2.772588722239781,0,0,1,5,0,9,15,1,4029.0
0,880,6.78105762593618,1,5,70,4.2626798770413155,1,1,0,0,1,4,10,0,264.0
6,2800,7.937731775260109,1,0,5,1.791759469228055,0,2,5,5,2,6,5,1,2660.0
9,2220,7.7057128238944275,0,1,45,3.828641396489095,0,0,3,5,2,2,15,0,1221.0
8,1640,7.403061091090091,2,2,20,3.044522437723423,1,2,6,0,1,3,20,1,1312.0
7,640,6.46302945692067,1,3,25,3.258096538021482,0,1,4,5,3,10,5,0,480.0
6,3080,8.033009498596668,2,0,70,4.2626798770413155,1,1,0,0,3,9,70,1,924.0
9,680,6.523562306149512,2,1,25,3.258096538021482,0,1,4,5,3,1,5,0,510.0
0,3240,8.083637203141548,0,6,90,4.51085950651685,1,0,6,0,0,0,90,1,324.0
7,800,6.68586094706836,2,2,80,4.394449154672439,1,2,3,0,1,1,80,1,160.0
8,3540,8.172164452111904,0,5,15,2.772588722239781,0,0,1,5,3,2,15,1,3009.0
9,1520,7.327123292259293,2,1,25,3.258096538021482,0,1,4,5,3,7,5,0,1140.0
3,3860,8.258681496264236,2,3,85,4.454347296253507,0,1,1,5,0,2,5,0,579.0
1,2420,7.791935956938058,2,5,15,2.772588722239781,0,0,1,5,2,5,5,0,2057.0
2,560,6.329720905522696,2,0,45,3.828641396489095,0,0,3,5,0,9,5,0,308.0
6,2200,7.696667081526462,1,2,5,1.791759469228055,0,2,5,5,1,7,5,1,2090.0
4,3500,8.160803920954665,2,0,90,4.51085950651685,1,0,6,0,3,4,10,0,350.0
8,3700,8.216358332386156,1,4,75,4.330733340286331,0,0,5,5,2,3,25,0,925.0
8,1200,7.0909098220799835,0,3,45,3.828641396489095,0,0,3,5,3,3,15,0,660.0
2,1520,7.327123292259293,2,1,20,3.044522437723423,1,2,6,0,1,6,20,1,1216.0
7,3400,8.131824785007195,1,5,20,3.044522437723423,1,2,6,0,0,6,20,1,2720.0
5,3580,8.183397369998433,1,3,65,4.189654742026425,0,2,2,5,0,5,5,0,1253.0
6,2880,7.9658927350845286,0,3,15,2.772588722239781,0,0,1,5,1,5,15,1,2448.0
6,3040,8.019941687677365,1,2,60,4.110873864173311,1,0,4,0,1,0,20,0,1216.0
0,2980,8.000014093678072,1,5,90,4.51085950651685,1,0,6,0,1,8,10,0,298.0
6,1220,7.107425474110705,2,2,10,2.3978952727983707,1,1,3,0,1,7,10,1,1098.0
3,2920,7.979681302387741,1,1,25,3.258096538021482,0,1,4,5,0,8,5,0,2190.0
1,3120,8.045908742270779,0,5,35,3.58351893845611,0,2,0,5,2,3,5,0,2028.0
4,4840,8.484876589939695,1,3,50,3.9318256327243257,1,2,1,0,3,9,10,0,2420.0
3,3260,8.089789175789319,2,5,30,3.4339872044851463,1,0,2,0,1,4,10,0,2282.0
