slot_person_name,slot_item1,slot_item2,slot_item3,slot_min1,slot_min1_abs_log1p,slot_min1_is_even,slot_min1_mod3,slot_min1_mod7,slot_min1_mod10,slot_min2,slot_min2_abs_log1p,slot_min2_is_even,slot_min2_mod3,slot_min2_mod7,slot_min2_mod10,slot_min3,slot_min3_abs_log1p,slot_min3_is_even,slot_min3_mod3,slot_min3_mod7,slot_min3_mod10,slot_extra_percent,slot_extra_percent_abs_log1p,slot_extra_percent_is_even,slot_extra_percent_mod3,slot_extra_percent_mod7,slot_extra_percent_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
1,4,7,1,790,6.673297967767654,1,1,6,0,1500,7.313886831633462,1,0,2,0,185,5.225746673713202,0,2,3,5,50,3.9318256327243257,1,2,1,0,2,5,1,44550.0
4,7,3,2,275,5.62040086571715,0,2,2,5,1590,7.372118028337787,1,0,1,0,1010,6.918695219020472,1,2,2,0,125,4.836281906951478,0,2,6,5,1,5,0,77625.0
14,2,4,3,200,5.303304908059076,1,2,4,0,1735,7.459338895220296,0,1,6,5,840,6.734591659972948,1,0,0,0,25,3.258096538021482,0,1,4,5,3,5,1,41625.0
6,0,2,1,145,4.983606621708336,0,1,5,5,90,4.51085950651685,1,0,6,0,265,5.583496308781699,0,1,6,5,100,4.61512051684126,1,1,2,0,0,5,0,12000.0
6,3,4,1,1025,6.933423025730715,0,2,3,5,750,6.621405651764134,1,0,1,0,475,6.16541785423142,0,1,6,5,50,3.9318256327243257,1,2,1,0,1,25,1,40500.0
9,3,1,3,165,5.111987788356544,0,0,4,5,1555,7.349873704738337,0,1,1,5,980,6.8885724595653635,1,2,0,0,150,5.017279836814924,1,0,3,0,3,5,0,81000.0
0,5,2,6,1535,7.336936913707618,0,2,2,5,50,3.9318256327243257,1,2,1,0,1765,7.476472381163905,0,1,1,5,25,3.258096538021482,0,1,4,5,0,5,1,50250.0
7,5,7,5,1810,7.501634457883413,1,1,4,0,975,6.883462586413092,0,0,2,5,1240,7.123672785204607,1,1,1,0,175,5.170483995038151,0,1,0,5,1,5,0,132825.0
2,6,4,4,225,5.420534999272286,0,0,1,5,1410,7.252053951852814,1,0,3,0,2190,7.692113339595466,1,0,6,0,125,4.836281906951478,0,2,6,5,1,5,0,103275.0
13,3,1,6,845,6.740519359606223,0,2,5,5,320,5.771441123130016,1,2,5,0,135,4.912654885736052,0,0,2,5,25,3.258096538021482,0,1,4,5,1,5,0,19500.0
1,4,5,4,1835,7.515344571180436,0,2,1,5,260,5.564520407322694,1,2,1,0,680,6.523562306149512,1,2,1,0,75,4.330733340286331,0,0,5,5,2,5,0,58275.0
13,4,7,1,1490,7.307202314764738,1,2,6,0,1205,7.095064377287131,0,2,1,5,605,6.406879986069314,0,2,3,5,125,4.836281906951478,0,2,6,5,3,5,0,89100.0
14,6,1,0,1635,7.400009517162692,0,0,4,5,1060,6.966967138613983,1,1,3,0,1430,7.266128779556451,1,2,2,0,75,4.330733340286331,0,0,5,5,0,5,0,86625.0
14,2,5,1,1945,7.57353126274595,0,1,6,5,690,6.53813982376767,1,0,4,0,2815,7.943072717277933,0,1,1,5,150,5.017279836814924,1,0,3,0,3,5,0,163500.0
8,5,0,0,900,6.803505257608338,1,0,4,0,1605,7.381501894506707,0,0,2,5,2795,7.935945103353701,0,2,2,5,125,4.836281906951478,0,2,6,5,1,5,0,143100.0
1,7,5,5,575,6.3561076606958915,0,2,1,5,1225,7.111512116496157,0,1,0,5,1750,7.467942332285852,1,1,0,0,175,5.170483995038151,0,1,0,5,0,25,2,117150.0
4,2,0,1,595,6.39024066706535,0,1,0,5,1940,7.57095858316901,1,2,1,0,2540,7.840312983320164,1,2,6,0,50,3.9318256327243257,1,2,1,0,0,5,0,91350.0
9,5,6,4,1895,7.547501682814967,0,2,5,5,1900,7.550135342488429,1,1,3,0,2555,7.846198815497425,0,2,0,5,175,5.170483995038151,0,1,0,5,0,5,0,209550.0
2,7,3,2,1910,7.555381944240273,1,2,6,0,1340,7.201170883281678,1,2,3,0,2125,7.661997558901893,0,1,4,5,50,3.9318256327243257,1,2,1,0,3,5,0,96750.0
6,6,3,0,945,6.852242569051878,0,0,0,5,660,6.493753839851686,1,0,2,0,995,6.903747257584598,0,2,1,5,175,5.170483995038151,0,1,0,5,0,5,0,85800.0
3,3,2,6,150,5.017279836814924,1,0,3,0,1640,7.403061091090091,1,2,2,0,2835,7.950149887652018,0,0,0,5,125,4.836281906951478,0,2,6,5,1,5,0,124875.0
10,1,5,6,395,5.981414211254481,0,2,3,5,1205,7.095064377287131,0,2,1,5,2075,7.638198244285779,0,2,3,5,125,4.836281906951478,0,2,6,5,1,5,0,99225.0
14,6,4,7,1345,7.204892510204673,0,1,1,5,160,5.081404364984463,1,1,6,0,445,6.100318952020064,0,1,4,5,75,4.330733340286331,0,0,5,5,0,5,0,40950.0
8,4,5,3,1195,7.086737934510577,0,1,5,5,595,6.39024066706535,0,1,0,5,2260,7.72356247227797,1,1,6,0,150,5.017279836814924,1,0,3,0,0,5,0,121500.0
2,4,7,5,1675,7.424165281042028,0,1,2,5,445,6.100318952020064,0,1,4,5,755,6.628041376179533,0,2,6,5,50,3.9318256327243257,1,2,1,0,1,5,0,51750.0
4,3,2,1,1200,7.0909098220799835,1,0,3,0,560,6.329720905522696,1,2,0,0,2265,7.725771441587952,0,0,4,5,75,4.330733340286331,0,0,5,5,0,5,1,84525.0
4,3,0,6,385,5.955837369464831,0,1,0,5,1350,7.208600337960199,1,0,6,0,2790,7.934155233536322,1,0,4,0,125,4.836281906951478,0,2,6,5,0,5,0,122175.0
14,5,0,2,975,6.883462586413092,0,0,2,5,1965,7.583756300707112,0,0,5,5,910,6.814542897259958,1,1,0,0,25,3.258096538021482,0,1,4,5,2,5,1,57750.0
2,3,3,5,1035,6.943122422819428,0,0,6,5,1930,7.565793282428515,1,1,5,0,1435,7.269616749608169,0,1,0,5,100,4.61512051684126,1,1,2,0,3,5,0,105600.0
6,7,3,0,965,6.873163834212518,0,2,6,5,125,4.836281906951478,0,2,6,5,2410,7.787796878181171,1,1,2,0,75,4.330733340286331,0,0,5,5,0,5,0,73500.0
10,4,4,3,1620,7.390798521735676,1,0,3,0,1545,7.343426229147367,0,0,5,5,2235,7.71244383427499,0,0,2,5,175,5.170483995038151,0,1,0,5,2,5,0,178200.0
6,0,7,1,850,6.7464121285733745,1,1,3,0,1510,7.32052696227274,1,1,5,0,2115,7.65728279297819,0,0,1,5,25,3.258096538021482,0,1,4,5,1,5,1,67125.0
2,1,4,2,1710,7.444833273892193,1,0,2,0,635,6.455198563340122,0,2,5,5,2305,7.743269700829004,0,1,2,5,25,3.258096538021482,0,1,4,5,0,5,0,69750.0
8,1,2,3,1585,7.368970402194793,0,1,3,5,1840,7.518064181233078,1,1,6,0,275,5.62040086571715,0,2,2,5,50,3.9318256327243257,1,2,1,0,1,5,0,66600.0
6,0,4,0,1765,7.476472381163905,0,1,1,5,930,6.836259277277067,1,0,6,0,380,5.942799375126701,1,2,2,0,150,5.017279836814924,1,0,3,0,1,5,0,92250.0
7,7,3,7,1470,7.293697720601438,1,0,0,0,690,6.53813982376767,1,0,4,0,2665,7.888334500738654,0,1,5,5,50,3.9318256327243257,1,2,1,0,0,5,0,86850.0
2,6,4,5,410,6.018593214496234,1,2,4,0,1565,7.356279876550748,0,2,4,5,1350,7.208600337960199,1,0,6,0,175,5.170483995038151,0,1,0,5,1,5,0,109725.0
11,0,3,2,1590,7.372118028337787,1,0,1,0,1340,7.201170883281678,1,2,3,0,870,6.769641976852503,1,0,2,0,125,4.836281906951478,0,2,6,5,3,5,0,102600.0
13,6,5,5,1905,7.552762084214147,0,0,1,5,50,3.9318256327243257,1,2,1,0,2170,7.682943169878292,1,1,0,0,125,4.836281906951478,0,2,6,5,2,5,0,111375.0
11,4,3,7,1945,7.57353126274595,0,1,6,5,1450,7.280008252884188,1,1,1,0,1505,7.317212408359839,0,2,0,5,75,4.330733340286331,0,0,5,5,0,5,0,102900.0
11,0,1,0,1140,7.039660349862076,1,0,6,0,1125,7.026426808699636,0,0,5,5,1185,7.078341579557671,0,0,2,5,75,4.330733340286331,0,0,5,5,3,15,1,72450.0
11,5,0,1,1245,7.1276936993473985,0,0,6,5,955,6.862757913051401,0,1,3,5,1075,6.98100574072173,0,1,4,5,150,5.017279836814924,1,0,3,0,1,5,0,98250.0
10,0,5,5,1895,7.547501682814967,0,2,5,5,660,6.493753839851686,1,0,2,0,2170,7.682943169878292,1,1,0,0,25,3.258096538021482,0,1,4,5,0,5,0,70875.0
7,6,4,7,1220,7.107425474110705,1,2,2,0,175,5.170483995038151,0,1,0,5,2780,7.930565854233965,1,2,1,0,100,4.61512051684126,1,1,2,0,0,5,0,100200.0
2,5,5,0,125,4.836281906951478,0,2,6,5,760,6.634633357861686,1,1,4,0,165,5.111987788356544,0,0,4,5,100,4.61512051684126,1,1,2,0,0,5,0,25200.0
14,0,5,0,1920,7.560601162768557,1,0,2,0,270,5.602118820879701,1,0,4,0,2560,7.848153086199526,1,1,5,0,75,4.330733340286331,0,0,5,5,3,5,0,99750.0
1,7,4,7,435,6.077642243349034,0,0,1,5,115,4.7535901911063645,0,1,3,5,1700,7.438971592395862,1,2,6,0,150,5.017279836814924,1,0,3,0,3,5,0,67500.0
10,0,6,3,270,5.602118820879701,1,0,4,0,1510,7.32052696227274,1,1,5,0,1820,7.507141079727608,1,2,0,0,75,4.330733340286331,0,0,5,5,2,5,0,75600.0
0,5,2,3,1595,7.3752557780097545,0,2,6,5,1625,7.3938782901077555,0,2,1,5,2755,7.9215356321335495,0,1,4,5,150,5.017279836814924,1,0,3,0,2,5,0,179250.0
1,7,2,5,980,6.8885724595653635,1,2,0,0,150,5.017279836814924,1,0,3,0,745,6.61472560020376,0,1,3,5,125,4.836281906951478,0,2,6,5,0,5,0,50625.0
11,0,1,4,1720,7.450660796211539,1,1,5,0,225,5.420534999272286,0,0,1,5,1230,7.115582126184454,1,0,5,0,150,5.017279836814924,1,0,3,0,0,5,0,95250.0
3,3,4,2,1825,7.509883061154913,0,1,5,5,950,6.85751406254539,1,2,5,0,1450,7.280008252884188,1,1,1,0,75,4.330733340286331,0,0,5,5,0,25,0,88725.0
10,5,0,7,1395,7.241366283322318,0,0,2,5,395,5.981414211254481,0,2,3,5,260,5.564520407322694,1,2,1,0,50,3.9318256327243257,1,2,1,0,2,5,0,36900.0
5,5,0,1,1540,7.340186835320115,1,1,0,0,1475,7.297091005160418,0,2,5,5,85,4.454347296253507,0,1,1,5,175,5.170483995038151,0,1,0,5,3,5,0,102300.0
4,0,5,7,500,6.2166061010848646,1,2,3,0,2000,7.601402334583733,1,2,5,0,675,6.516193076042964,0,0,3,5,150,5.017279836814924,1,0,3,0,3,25,1,95250.0
6,1,1,4,125,4.836281906951478,0,2,6,5,525,6.26530121273771,0,0,0,5,375,5.929589143389895,0,0,4,5,150,5.017279836814924,1,0,3,0,1,25,1,30750.0
12,3,5,3,840,6.734591659972948,1,0,0,0,155,5.049856007249537,0,2,1,5,755,6.628041376179533,0,2,6,5,75,4.330733340286331,0,0,5,5,3,5,0,36750.0
0,3,6,3,695,6.54534966033442,0,2,2,5,1920,7.560601162768557,1,0,2,0,310,5.739792912179234,1,1,2,0,50,3.9318256327243257,1,2,1,0,3,5,0,52650.0
1,0,7,5,1510,7.32052696227274,1,1,5,0,1735,7.459338895220296,0,1,6,5,2955,7.991592282068092,0,0,1,5,125,4.836281906951478,0,2,6,5,2,5,0,167400.0
13,7,3,2,1860,7.528869256642251,1,0,5,0,1135,7.035268599281097,0,1,1,5,1605,7.381501894506707,0,0,2,5,175,5.170483995038151,0,1,0,5,0,5,0,151800.0
10,5,1,1,235,5.4638318050256105,0,1,4,5,940,6.846943139585379,1,1,2,0,2250,7.719129840906732,1,0,3,0,125,4.836281906951478,0,2,6,5,1,5,2,92475.0
7,5,7,2,1645,7.406103381237015,0,1,0,5,985,6.893656354602635,0,1,5,5,2020,7.611347717403621,1,1,4,0,175,5.170483995038151,0,1,0,5,2,5,0,153450.0
10,4,0,0,1810,7.501634457883413,1,1,4,0,1360,7.215975002651466,1,1,2,0,2805,7.939515260662406,0,0,5,5,150,5.017279836814924,1,0,3,0,3,5,0,179250.0
10,6,4,7,1275,7.151485463904735,0,0,1,5,1420,7.259116128097101,1,1,6,0,580,6.364750756851911,1,1,6,0,125,4.836281906951478,0,2,6,5,1,5,0,88425.0
6,4,1,4,1195,7.086737934510577,0,1,5,5,315,5.755742213586912,0,0,0,5,590,6.3818160174060985,1,2,2,0,50,3.9318256327243257,1,2,1,0,2,5,0,37800.0
11,4,3,2,135,4.912654885736052,0,0,2,5,1485,7.303843225277705,0,0,1,5,1955,7.578656850594762,0,2,2,5,50,3.9318256327243257,1,2,1,0,2,5,1,64350.0
11,7,7,6,1545,7.343426229147367,0,0,5,5,1845,7.520776415062797,0,0,4,5,2610,7.8674885686991285,1,0,6,0,50,3.9318256327243257,1,2,1,0,0,5,0,108000.0
10,2,6,0,1020,6.928537818164665,1,0,5,0,1600,7.3783837129967145,1,1,4,0,80,4.394449154672439,1,2,3,0,175,5.170483995038151,0,1,0,5,0,5,1,89100.0
8,7,1,6,1770,7.479299637782834,1,0,6,0,855,6.752270376141742,0,0,1,5,525,6.26530121273771,0,0,0,5,25,3.258096538021482,0,1,4,5,0,5,1,47250.0
8,4,5,2,840,6.734591659972948,1,0,0,0,510,6.236369590203704,1,0,6,0,500,6.2166061010848646,1,2,3,0,75,4.330733340286331,0,0,5,5,2,5,0,38850.0
7,7,7,3,1525,7.330405211844402,0,1,6,5,1655,7.412160334945205,0,2,3,5,195,5.278114659230517,0,0,6,5,75,4.330733340286331,0,0,5,5,2,5,0,70875.0
2,7,2,1,800,6.68586094706836,1,2,2,0,1845,7.520776415062797,0,0,4,5,1655,7.412160334945205,0,2,3,5,25,3.258096538021482,0,1,4,5,1,5,1,64500.0
2,4,1,3,1790,7.490529402060711,1,2,5,0,825,6.716594773520978,0,0,6,5,1610,7.384610383176974,1,2,0,0,75,4.330733340286331,0,0,5,5,2,5,1,88725.0
4,2,4,3,325,5.786897381366708,0,1,3,5,870,6.769641976852503,1,0,2,0,805,6.692083742506628,0,1,0,5,175,5.170483995038151,0,1,0,5,2,5,0,66000.0
4,1,7,3,790,6.673297967767654,1,1,6,0,1835,7.515344571180436,0,2,1,5,1325,7.189922170745808,0,2,2,5,75,4.330733340286331,0,0,5,5,0,5,0,82950.0
14,0,3,6,580,6.364750756851911,1,1,6,0,1480,7.300472814267799,1,1,3,0,2790,7.934155233536322,1,0,4,0,150,5.017279836814924,1,0,3,0,1,10,0,145500.0
2,3,7,3,275,5.62040086571715,0,2,2,5,1525,7.330405211844402,0,1,6,5,2200,7.696667081526462,1,1,2,0,25,3.258096538021482,0,1,4,5,1,25,4,60000.0
3,7,4,4,315,5.755742213586912,0,0,0,5,515,6.246106765481563,0,2,4,5,320,5.771441123130016,1,2,5,0,50,3.9318256327243257,1,2,1,0,1,5,0,20700.0
13,7,0,6,965,6.873163834212518,0,2,6,5,1745,7.465082736399547,0,2,2,5,315,5.755742213586912,0,0,0,5,75,4.330733340286331,0,0,5,5,1,5,0,63525.0
12,5,2,2,225,5.420534999272286,0,0,1,5,1325,7.189922170745808,0,2,2,5,2875,7.964155718840937,0,1,5,5,50,3.9318256327243257,1,2,1,0,2,25,0,79650.0
11,2,4,2,325,5.786897381366708,0,1,3,5,275,5.62040086571715,0,2,2,5,2500,7.824445930877619,1,1,1,0,100,4.61512051684126,1,1,2,0,3,25,1,74400.0
13,2,4,3,1075,6.98100574072173,0,1,4,5,760,6.634633357861686,1,1,4,0,1365,7.2196420401307355,0,0,0,5,125,4.836281906951478,0,2,6,5,1,5,0,86400.0
9,1,1,6,940,6.846943139585379,1,1,2,0,430,6.066108090103747,1,1,3,0,1330,7.193685818395112,1,1,0,0,125,4.836281906951478,0,2,6,5,2,5,0,72900.0
7,3,0,6,1580,7.365812837209472,1,2,5,0,1685,7.430114138561801,0,2,5,5,1760,7.473637108496206,1,2,3,0,175,5.170483995038151,0,1,0,5,3,5,0,165825.0
1,6,2,5,1155,7.052721049232323,0,0,0,5,1820,7.507141079727608,1,2,0,0,325,5.786897381366708,0,1,3,5,75,4.330733340286331,0,0,5,5,3,5,0,69300.0
2,5,0,5,1700,7.438971592395862,1,2,6,0,1165,7.061334366910438,0,1,3,5,2460,7.8083230503910555,1,0,3,0,175,5.170483995038151,0,1,0,5,1,5,0,175725.0
1,3,1,2,1465,7.290292882446597,0,1,2,5,1810,7.501634457883413,1,1,4,0,2975,7.998335395952982,0,2,0,5,125,4.836281906951478,0,2,6,5,1,5,0,168750.0
1,3,1,7,855,6.752270376141742,0,0,1,5,610,6.415096959171596,1,1,1,0,2035,7.618742377670413,0,1,5,5,75,4.330733340286331,0,0,5,5,1,5,0,73500.0
11,5,0,3,575,6.3561076606958915,0,2,1,5,1785,7.487733761436444,0,0,0,5,2240,7.714677473800927,1,2,0,0,25,3.258096538021482,0,1,4,5,3,5,1,69000.0
11,2,3,6,250,5.5254529391317835,1,1,5,0,180,5.198497031265826,1,0,5,0,470,6.154858094016418,1,2,1,0,125,4.836281906951478,0,2,6,5,0,5,1,24300.0
10,6,4,1,980,6.8885724595653635,1,2,0,0,1960,7.581209826196346,1,1,0,0,160,5.081404364984463,1,1,6,0,100,4.61512051684126,1,1,2,0,2,20,1,74400.0
2,0,4,4,750,6.621405651764134,1,0,1,0,1975,7.588829878307813,0,1,1,5,150,5.017279836814924,1,0,3,0,175,5.170483995038151,0,1,0,5,2,25,1,94875.0
1,3,5,4,650,6.478509642208569,1,2,6,0,1175,7.069874128458572,0,2,6,5,2525,7.8343923029104365,0,2,5,5,150,5.017279836814924,1,0,3,0,1,25,0,130500.0
9,3,5,3,195,5.278114659230517,0,0,6,5,1445,7.27655640271871,0,2,3,5,2110,7.65491704784832,1,1,3,0,175,5.170483995038151,0,1,0,5,0,5,0,123750.0
10,7,5,4,460,6.133398042996649,1,1,5,0,395,5.981414211254481,0,2,3,5,1495,7.310550158534422,0,1,4,5,100,4.61512051684126,1,1,2,0,3,5,0,56400.0
12,3,4,7,1375,7.226936018493289,0,1,3,5,750,6.621405651764134,1,0,1,0,1900,7.550135342488429,1,1,3,0,100,4.61512051684126,1,1,2,0,0,25,1,96600.0
14,2,7,1,70,4.2626798770413155,1,1,0,0,1715,7.447751280047908,0,2,0,5,790,6.673297967767654,1,1,6,0,100,4.61512051684126,1,1,2,0,3,5,0,61800.0
11,7,2,1,1340,7.201170883281678,1,2,3,0,985,6.893656354602635,0,1,5,5,2225,7.70796153183549,0,2,6,5,50,3.9318256327243257,1,2,1,0,2,5,0,81900.0
5,5,6,7,1190,7.0825485693553,1,2,0,0,290,5.673323267171493,1,2,3,0,2845,7.953669778649798,0,1,3,5,75,4.330733340286331,0,0,5,5,3,5,0,90825.0
8,7,4,3,1185,7.078341579557671,0,0,2,5,1275,7.151485463904735,0,0,1,5,1415,7.255591274253665,0,2,1,5,50,3.9318256327243257,1,2,1,0,0,5,0,69750.0
10,6,2,6,785,6.666956792429207,0,2,1,5,395,5.981414211254481,0,2,3,5,695,6.54534966033442,0,2,2,5,125,4.836281906951478,0,2,6,5,0,5,0,50625.0
6,2,2,1,605,6.406879986069314,0,2,3,5,55,4.02535169073515,0,1,6,5,865,6.763884908562435,0,1,4,5,50,3.9318256327243257,1,2,1,0,1,5,1,27450.0
11,2,2,7,1590,7.372118028337787,1,0,1,0,985,6.893656354602635,0,1,5,5,725,6.587550014824796,0,2,4,5,75,4.330733340286331,0,0,5,5,2,5,0,69300.0
