slot_producer,slot_product_name_singular,slot_product_name_plural,slot_per_day,slot_per_day_abs_log1p,slot_per_day_is_even,slot_per_day_mod3,slot_per_day_mod5,slot_per_day_mod7,slot_per_day_mod10,slot_unit_price,slot_unit_price_abs_log1p,slot_unit_price_is_even,slot_unit_price_mod3,slot_unit_price_mod5,slot_unit_price_mod7,slot_unit_price_mod10,slot_currency_symbol,slot_num_weeks,slot_num_weeks_abs_log1p,slot_num_weeks_is_even,slot_num_weeks_mod3,slot_num_weeks_mod5,slot_num_weeks_mod7,slot_num_weeks_mod10,n_multiple_pairs,y
4,1,1,16877,9.733766277717912,0,2,2,0,7,21,3.091042453358316,0,0,1,0,1,0,6,1.9459101490553132,1,0,1,6,6,2,14885514.0
1,3,3,19955,9.901285128980929,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,1,5,1.791759469228055,0,2,0,5,5,1,13270075.0
5,5,5,3282,8.096512917501594,1,0,2,6,2,4,1.6094379124341003,1,1,4,4,4,0,1,0.6931471805599453,0,1,1,1,1,3,91896.0
5,9,9,3708,8.21851757748959,1,0,3,5,8,1,0.6931471805599453,0,1,1,1,1,0,2,1.0986122886681098,1,2,2,2,2,4,51912.0
6,1,1,14541,9.584796293210003,0,0,1,2,1,23,3.1780538303479458,0,2,3,2,3,3,4,1.6094379124341003,1,1,4,4,4,0,9364404.0
0,0,0,4125,8.325063693631197,0,0,0,2,5,4,1.6094379124341003,1,1,4,4,4,2,5,1.791759469228055,0,2,0,5,5,1,577500.0
6,9,9,7168,8.877521453852872,1,1,3,0,8,9,2.302585092994046,0,0,4,2,9,1,1,0.6931471805599453,0,1,1,1,1,4,451584.0
3,7,7,15952,9.677402178300998,1,1,2,6,2,8,2.1972245773362196,1,2,3,1,8,1,4,1.6094379124341003,1,1,4,4,4,3,3573248.0
6,5,5,2643,7.880048200971577,0,0,3,4,3,13,2.6390573296152584,0,1,3,6,3,1,2,1.0986122886681098,1,2,2,2,2,0,481026.0
1,5,5,12016,9.3940775929113,1,1,1,4,6,2,1.0986122886681098,1,2,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,4,168224.0
0,8,8,685,6.530877627725885,0,1,0,6,5,15,2.772588722239781,0,0,0,1,5,0,5,1.791759469228055,0,2,0,5,5,2,359625.0
1,9,9,1087,6.992096427415888,0,1,2,2,7,13,2.6390573296152584,0,1,3,6,3,1,1,0.6931471805599453,0,1,1,1,1,3,98917.0
4,0,0,13843,9.535607204755236,0,1,3,4,3,23,3.1780538303479458,0,2,3,2,3,3,5,1.791759469228055,0,2,0,5,5,0,11143615.0
1,5,5,9934,9.203819154985917,1,1,4,1,4,9,2.302585092994046,0,0,4,2,9,2,3,1.3862943611198906,0,0,3,3,3,1,1877526.0
3,6,6,3180,8.064950891749143,1,0,0,2,0,11,2.4849066497880004,0,2,1,4,1,0,5,1.791759469228055,0,2,0,5,5,1,1224300.0
2,5,5,5365,8.58783803098557,0,1,0,3,5,14,2.70805020110221,1,2,4,0,4,1,2,1.0986122886681098,1,2,2,2,2,2,1051540.0
5,2,2,12207,9.409846753524238,0,0,2,6,7,4,1.6094379124341003,1,1,4,4,4,0,2,1.0986122886681098,1,2,2,2,2,1,683592.0
6,3,3,14720,9.597030324758013,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,0,5,1.791759469228055,0,2,0,5,5,1,5667200.0
6,0,0,2965,7.994969522697877,0,1,0,4,5,13,2.6390573296152584,0,1,3,6,3,3,2,1.0986122886681098,1,2,2,2,2,0,539630.0
5,7,7,8785,9.080914824535725,0,1,0,0,5,3,1.3862943611198906,0,0,3,3,3,1,3,1.3862943611198906,0,0,3,3,3,2,553455.0
4,2,2,11039,9.309280319831087,0,2,4,0,9,9,2.302585092994046,0,0,4,2,9,2,6,1.9459101490553132,1,0,1,6,6,1,4172742.0
3,9,9,17337,9.760655903428585,0,0,2,5,7,1,0.6931471805599453,0,1,1,1,1,2,3,1.3862943611198906,0,0,3,3,3,4,364077.0
2,8,8,5373,8.589327789175437,0,0,3,4,3,11,2.4849066497880004,0,2,1,4,1,2,4,1.6094379124341003,1,1,4,4,4,0,1654884.0
5,1,1,6233,8.737773460327283,0,2,3,3,3,20,3.044522437723423,1,2,0,6,0,2,6,1.9459101490553132,1,0,1,6,6,0,5235720.0
0,1,1,12569,9.439068301584292,0,2,4,4,9,7,2.0794415416798357,0,1,2,0,7,2,5,1.791759469228055,0,2,0,5,5,1,3079405.0
3,0,0,8646,9.06496771896043,1,0,1,1,6,23,3.1780538303479458,0,2,3,2,3,0,6,1.9459101490553132,1,0,1,6,6,1,8352036.0
2,1,1,15151,9.625887815425859,0,1,1,3,1,21,3.091042453358316,0,0,1,0,1,3,3,1.3862943611198906,0,0,3,3,3,2,6681591.0
1,2,2,5166,8.550047528287184,1,0,1,0,6,3,1.3862943611198906,0,0,3,3,3,3,1,0.6931471805599453,0,1,1,1,1,5,108486.0
0,4,4,12138,9.404178688897805,1,0,3,0,8,1,0.6931471805599453,0,1,1,1,1,0,1,0.6931471805599453,0,1,1,1,1,6,84966.0
0,1,1,13759,9.529521111487334,0,1,4,4,9,24,3.2188758248682006,1,0,4,3,4,3,2,1.0986122886681098,1,2,2,2,2,1,4623024.0
3,6,6,14979,9.61447125707121,0,0,4,6,9,14,2.70805020110221,1,2,4,0,4,3,6,1.9459101490553132,1,0,1,6,6,1,8807652.0
3,3,3,2602,7.864419904994565,1,1,2,5,2,23,3.1780538303479458,0,2,3,2,3,2,3,1.3862943611198906,0,0,3,3,3,0,1256766.0
4,7,7,3116,8.044626279767337,1,2,1,1,6,6,1.9459101490553132,1,0,1,6,6,2,4,1.6094379124341003,1,1,4,4,4,1,523488.0
5,1,1,14998,9.61573881119536,1,1,3,4,8,17,2.8903717578961645,0,2,2,3,7,3,4,1.6094379124341003,1,1,4,4,4,0,7139048.0
6,4,4,14500,9.581972891547895,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,2,3,1.3862943611198906,0,0,3,3,3,1,6090000.0
0,4,4,14761,9.599811590329997,0,1,1,5,1,15,2.772588722239781,0,0,0,1,5,2,4,1.6094379124341003,1,1,4,4,4,0,6199620.0
0,5,5,586,6.375024819828097,1,1,1,5,6,8,2.1972245773362196,1,2,3,1,8,3,6,1.9459101490553132,1,0,1,6,6,0,196896.0
6,1,1,13482,9.509184911634074,1,0,2,0,2,3,1.3862943611198906,0,0,3,3,3,2,1,0.6931471805599453,0,1,1,1,1,5,283122.0
5,1,1,8947,9.09918532261002,0,1,2,1,7,13,2.6390573296152584,0,1,3,6,3,3,2,1.0986122886681098,1,2,2,2,2,0,1628354.0
5,2,2,3679,8.210668031162976,0,1,4,4,9,12,2.5649493574615367,1,0,2,5,2,0,2,1.0986122886681098,1,2,2,2,2,1,618072.0
2,2,2,12417,9.426902311924838,0,0,2,6,7,4,1.6094379124341003,1,1,4,4,4,1,3,1.3862943611198906,0,0,3,3,3,1,1043028.0
2,2,2,14526,9.583764265872883,1,0,1,1,6,19,2.995732273553991,0,1,4,5,9,1,5,1.791759469228055,0,2,0,5,5,0,9659790.0
1,3,3,7565,8.931419805192975,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,2,6,1.9459101490553132,1,0,1,6,6,0,5083680.0
0,6,6,10355,9.245321340871428,0,2,0,2,5,16,2.833213344056216,1,1,1,2,6,1,4,1.6094379124341003,1,1,4,4,4,1,4639040.0
2,1,1,19771,9.89202207442685,0,1,1,3,1,7,2.0794415416798357,0,1,2,0,7,3,3,1.3862943611198906,0,0,3,3,3,1,2906337.0
0,1,1,15198,9.628984915196462,1,0,3,1,8,13,2.6390573296152584,0,1,3,6,3,2,1,0.6931471805599453,0,1,1,1,1,3,1383018.0
2,7,7,19064,9.855609472291665,1,2,4,3,4,20,3.044522437723423,1,2,0,6,0,2,3,1.3862943611198906,0,0,3,3,3,0,8006880.0
4,1,1,14268,9.565844630930576,1,0,3,2,8,5,1.791759469228055,0,2,0,5,5,2,6,1.9459101490553132,1,0,1,6,6,1,2996280.0
5,4,4,11248,9.328034514792826,1,1,3,6,8,20,3.044522437723423,1,2,0,6,0,1,4,1.6094379124341003,1,1,4,4,4,2,6298880.0
2,3,3,18592,9.830540444780063,1,1,2,0,2,23,3.1780538303479458,0,2,3,2,3,1,4,1.6094379124341003,1,1,4,4,4,2,11973248.0
3,8,8,13704,9.525516008736886,1,0,4,5,4,11,2.4849066497880004,0,2,1,4,1,3,1,0.6931471805599453,0,1,1,1,1,3,1055208.0
1,3,3,13272,9.493487175626202,1,0,2,0,2,4,1.6094379124341003,1,1,4,4,4,1,2,1.0986122886681098,1,2,2,2,2,4,743232.0
2,9,9,8811,9.083869707922235,0,0,1,5,1,25,3.258096538021482,0,1,0,4,5,1,6,1.9459101490553132,1,0,1,6,6,0,9251550.0
2,9,9,10702,9.278279354984376,1,1,2,6,2,22,3.1354942159291497,1,1,2,1,2,3,4,1.6094379124341003,1,1,4,4,4,0,6592432.0
6,7,7,1589,7.371489295214277,0,2,4,0,9,19,2.995732273553991,0,1,4,5,9,1,1,0.6931471805599453,0,1,1,1,1,4,211337.0
6,2,2,17727,9.78290058954701,0,0,2,3,7,4,1.6094379124341003,1,1,4,4,4,0,5,1.791759469228055,0,2,0,5,5,0,2481780.0
0,8,8,1599,7.3777589082278725,0,0,4,3,9,25,3.258096538021482,0,1,0,4,5,3,5,1.791759469228055,0,2,0,5,5,1,1399125.0
6,2,2,14232,9.563318491070625,1,0,2,1,2,14,2.70805020110221,1,2,4,0,4,0,1,0.6931471805599453,0,1,1,1,1,4,1394736.0
6,1,1,14938,9.611730522042317,1,1,3,0,8,12,2.5649493574615367,1,0,2,5,2,3,4,1.6094379124341003,1,1,4,4,4,2,5019168.0
2,3,3,3915,8.272826003650401,0,0,0,2,5,9,2.302585092994046,0,0,4,2,9,3,6,1.9459101490553132,1,0,1,6,6,1,1479870.0
3,7,7,4419,8.393894975071744,0,0,4,2,9,16,2.833213344056216,1,1,1,2,6,2,1,0.6931471805599453,0,1,1,1,1,3,494928.0
4,0,0,18190,9.808682245262217,1,1,0,4,0,20,3.044522437723423,1,2,0,6,0,2,3,1.3862943611198906,0,0,3,3,3,0,7639800.0
2,8,8,2863,7.9599745280805365,0,1,3,0,3,9,2.302585092994046,0,0,4,2,9,2,2,1.0986122886681098,1,2,2,2,2,1,360738.0
4,4,4,3028,8.015987811027237,1,1,3,4,8,8,2.1972245773362196,1,2,3,1,8,3,6,1.9459101490553132,1,0,1,6,6,0,1017408.0
6,6,6,17801,9.787066089518877,0,2,1,0,1,11,2.4849066497880004,0,2,1,4,1,1,4,1.6094379124341003,1,1,4,4,4,1,5482708.0
4,9,9,586,6.375024819828097,1,1,1,5,6,17,2.8903717578961645,0,2,2,3,7,0,1,0.6931471805599453,0,1,1,1,1,3,69734.0
6,9,9,9512,9.160414563206457,1,2,2,6,2,20,3.044522437723423,1,2,0,6,0,3,3,1.3862943611198906,0,0,3,3,3,0,3995040.0
5,8,8,4649,8.444622498581403,0,2,4,1,9,25,3.258096538021482,0,1,0,4,5,3,6,1.9459101490553132,1,0,1,6,6,0,4881450.0
6,8,8,17973,9.796681548218318,0,0,3,4,3,18,2.9444389791664403,1,0,3,4,8,2,6,1.9459101490553132,1,0,1,6,6,1,13587588.0
1,6,6,7404,8.909910726701899,1,0,4,5,4,23,3.1780538303479458,0,2,3,2,3,2,3,1.3862943611198906,0,0,3,3,3,1,3576132.0
2,4,4,849,6.745236349484363,0,0,4,2,9,14,2.70805020110221,1,2,4,0,4,2,3,1.3862943611198906,0,0,3,3,3,2,249606.0
0,3,3,13358,9.499945593989812,1,2,3,2,8,5,1.791759469228055,0,2,0,5,5,3,2,1.0986122886681098,1,2,2,2,2,1,935060.0
2,6,6,7903,8.975124239427704,0,1,3,0,3,21,3.091042453358316,0,0,1,0,1,0,3,1.3862943611198906,0,0,3,3,3,3,3485223.0
4,7,7,14685,9.594649938011555,0,0,0,6,5,17,2.8903717578961645,0,2,2,3,7,2,3,1.3862943611198906,0,0,3,3,3,1,5242545.0
6,6,6,18358,9.817875196460205,1,1,3,4,8,22,3.1354942159291497,1,1,2,1,2,3,5,1.791759469228055,0,2,0,5,5,0,14135660.0
6,0,0,919,6.824373670043086,0,1,4,2,9,8,2.1972245773362196,1,2,3,1,8,1,6,1.9459101490553132,1,0,1,6,6,0,308784.0
3,9,9,12122,9.402859753746583,1,2,2,5,2,4,1.6094379124341003,1,1,4,4,4,3,2,1.0986122886681098,1,2,2,2,2,2,678832.0
4,3,3,16137,9.688932018408451,0,0,2,2,7,14,2.70805020110221,1,2,4,0,4,2,4,1.6094379124341003,1,1,4,4,4,1,6325704.0
5,1,1,16417,9.706133572908211,0,1,2,2,7,14,2.70805020110221,1,2,4,0,4,0,1,0.6931471805599453,0,1,1,1,1,4,1608866.0
1,7,7,10856,9.292565312231853,1,2,1,6,6,14,2.70805020110221,1,2,4,0,4,3,4,1.6094379124341003,1,1,4,4,4,2,4255552.0
2,7,7,8914,9.09549053029724,1,1,4,3,4,3,1.3862943611198906,0,0,3,3,3,1,5,1.791759469228055,0,2,0,5,5,0,935970.0
6,0,0,552,6.315358001522335,1,0,2,6,2,8,2.1972245773362196,1,2,3,1,8,2,5,1.791759469228055,0,2,0,5,5,1,154560.0
6,2,2,19868,9.89691600715309,1,2,3,2,8,10,2.3978952727983707,1,1,0,3,0,0,6,1.9459101490553132,1,0,1,6,6,0,8344560.0
5,0,0,5077,8.532672762264625,0,1,2,2,7,15,2.772588722239781,0,0,0,1,5,1,5,1.791759469228055,0,2,0,5,5,1,2665425.0
5,9,9,11319,9.334326351757174,0,0,4,0,9,8,2.1972245773362196,1,2,3,1,8,0,5,1.791759469228055,0,2,0,5,5,1,3169320.0
3,2,2,12773,9.455167134121535,0,2,3,5,3,2,1.0986122886681098,1,2,2,2,2,0,3,1.3862943611198906,0,0,3,3,3,0,536466.0
5,7,7,7355,8.903271585724212,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,3,4,1.6094379124341003,1,1,4,4,4,3,205940.0
3,8,8,13423,9.504799428706987,0,1,3,4,3,10,2.3978952727983707,1,1,0,3,0,1,5,1.791759469228055,0,2,0,5,5,1,4698050.0
2,1,1,17738,9.78352088448894,1,2,3,0,8,1,0.6931471805599453,0,1,1,1,1,0,3,1.3862943611198906,0,0,3,3,3,4,372498.0
0,5,5,12392,9.424887076064874,1,2,2,2,2,18,2.9444389791664403,1,0,3,4,8,3,3,1.3862943611198906,0,0,3,3,3,1,4684176.0
1,3,3,17349,9.761347785375005,0,0,4,3,9,5,1.791759469228055,0,2,0,5,5,3,1,0.6931471805599453,0,1,1,1,1,3,607215.0
6,9,9,13996,9.546598299920646,1,1,1,3,6,3,1.3862943611198906,0,0,3,3,3,0,6,1.9459101490553132,1,0,1,6,6,1,1763496.0
5,2,2,17739,9.78357725586357,0,0,4,1,9,25,3.258096538021482,0,1,0,4,5,1,4,1.6094379124341003,1,1,4,4,4,0,12417300.0
3,3,3,13516,9.511703431483827,1,1,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,3,1.3862943611198906,0,0,3,3,3,1,1986852.0
0,3,3,16258,9.696401880595555,1,1,3,4,8,2,1.0986122886681098,1,2,2,2,2,3,4,1.6094379124341003,1,1,4,4,4,2,910448.0
3,1,1,11135,9.317938382574201,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,3,3,1.3862943611198906,0,0,3,3,3,1,3975195.0
3,4,4,8133,9.00380808646717,0,0,3,6,3,15,2.772588722239781,0,0,0,1,5,3,1,0.6931471805599453,0,1,1,1,1,3,853965.0
4,3,3,12855,9.461565907417349,0,0,0,3,5,10,2.3978952727983707,1,1,0,3,0,2,2,1.0986122886681098,1,2,2,2,2,1,1799700.0
4,8,8,6519,8.782629654920699,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,3,5,1.791759469228055,0,2,0,5,5,3,228165.0
6,3,3,13968,9.544595867727551,1,0,3,3,8,24,3.2188758248682006,1,0,4,3,4,2,1,0.6931471805599453,0,1,1,1,1,4,2346624.0
6,8,8,17935,9.79456514531194,0,1,0,1,5,16,2.833213344056216,1,1,1,2,6,0,6,1.9459101490553132,1,0,1,6,6,0,12052320.0
1,1,1,11268,9.329810871952349,1,0,3,5,8,18,2.9444389791664403,1,0,3,4,8,1,5,1.791759469228055,0,2,0,5,5,1,7098840.0
4,6,6,18368,9.818419740146064,1,2,3,0,8,11,2.4849066497880004,0,2,1,4,1,0,2,1.0986122886681098,1,2,2,2,2,2,2828672.0
6,5,5,2207,7.699842407396986,0,2,2,2,7,15,2.772588722239781,0,0,0,1,5,3,3,1.3862943611198906,0,0,3,3,3,1,695205.0
1,5,5,2284,7.734121303328305,1,1,4,2,4,11,2.4849066497880004,0,2,1,4,1,0,6,1.9459101490553132,1,0,1,6,6,0,1055208.0
6,3,3,12785,9.456106101326672,0,2,0,3,5,18,2.9444389791664403,1,0,3,4,8,0,5,1.791759469228055,0,2,0,5,5,1,8054550.0
1,0,0,15342,9.638414622945206,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,1,1,0.6931471805599453,0,1,1,1,1,3,859152.0
1,6,6,6125,8.72029728739272,0,2,0,0,5,17,2.8903717578961645,0,2,2,3,7,3,4,1.6094379124341003,1,1,4,4,4,1,2915500.0
6,5,5,19427,9.874470603465635,0,2,2,2,7,11,2.4849066497880004,0,2,1,4,1,3,3,1.3862943611198906,0,0,3,3,3,0,4487637.0
3,1,1,9531,9.162409838218633,0,0,1,4,1,8,2.1972245773362196,1,2,3,1,8,1,5,1.791759469228055,0,2,0,5,5,0,2668680.0
0,1,1,3624,8.195609567288775,1,0,4,5,4,18,2.9444389791664403,1,0,3,4,8,2,5,1.791759469228055,0,2,0,5,5,0,2283120.0
0,9,9,18914,9.84771053706713,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,0,1,0.6931471805599453,0,1,1,1,1,4,397194.0
5,7,7,6540,8.785845337961213,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,2,5,1.791759469228055,0,2,0,5,5,2,457800.0
4,9,9,3049,8.022896869601457,0,1,4,4,9,9,2.302585092994046,0,0,4,2,9,0,3,1.3862943611198906,0,0,3,3,3,1,576261.0
2,3,3,11943,9.387984339219026,0,0,3,1,3,8,2.1972245773362196,1,2,3,1,8,0,2,1.0986122886681098,1,2,2,2,2,1,1337616.0
4,4,4,8636,9.063810579280286,1,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,1,3,1.3862943611198906,0,0,3,3,3,1,544068.0
1,6,6,5042,8.525756422076725,1,2,2,2,2,15,2.772588722239781,0,0,0,1,5,1,3,1.3862943611198906,0,0,3,3,3,1,1588230.0
5,6,6,5653,8.640118538253535,0,1,3,4,3,7,2.0794415416798357,0,1,2,0,7,3,2,1.0986122886681098,1,2,2,2,2,1,553994.0
2,0,0,11849,9.380083146563278,0,2,4,5,9,22,3.1354942159291497,1,1,2,1,2,1,2,1.0986122886681098,1,2,2,2,2,1,3649492.0
2,9,9,11607,9.359449794564023,0,0,2,1,7,14,2.70805020110221,1,2,4,0,4,1,1,0.6931471805599453,0,1,1,1,1,4,1137486.0
2,5,5,2442,7.8009820712577405,1,0,2,6,2,8,2.1972245773362196,1,2,3,1,8,3,5,1.791759469228055,0,2,0,5,5,0,683760.0
0,3,3,12172,9.406975663409597,1,1,2,6,2,21,3.091042453358316,0,0,1,0,1,3,3,1.3862943611198906,0,0,3,3,3,2,5367852.0
3,4,4,13202,9.488199355479201,1,2,2,0,2,20,3.044522437723423,1,2,0,6,0,2,4,1.6094379124341003,1,1,4,4,4,2,7393120.0
0,2,2,12928,9.467228129254554,1,1,3,6,8,25,3.258096538021482,0,1,0,4,5,3,6,1.9459101490553132,1,0,1,6,6,0,13574400.0
2,7,7,4470,8.405367376233981,1,0,0,4,0,25,3.258096538021482,0,1,0,4,5,0,4,1.6094379124341003,1,1,4,4,4,0,3129000.0
3,3,3,8410,9.037295651962438,1,1,0,3,0,16,2.833213344056216,1,1,1,2,6,2,6,1.9459101490553132,1,0,1,6,6,0,5651520.0
5,2,2,8916,9.095714846134879,1,0,1,5,6,12,2.5649493574615367,1,0,2,5,2,3,2,1.0986122886681098,1,2,2,2,2,3,1497888.0
1,1,1,11264,9.329455852866344,1,2,4,1,4,14,2.70805020110221,1,2,4,0,4,2,1,0.6931471805599453,0,1,1,1,1,4,1103872.0
2,9,9,11468,9.347403022364523,1,2,3,2,8,20,3.044522437723423,1,2,0,6,0,3,5,1.791759469228055,0,2,0,5,5,1,8027600.0
3,1,1,8867,9.090204570736201,0,2,2,5,7,17,2.8903717578961645,0,2,2,3,7,1,5,1.791759469228055,0,2,0,5,5,0,5275865.0
1,6,6,16848,9.732046586838385,1,0,3,6,8,24,3.2188758248682006,1,0,4,3,4,1,4,1.6094379124341003,1,1,4,4,4,3,11321856.0
5,7,7,16966,9.73902556004294,1,1,1,5,6,10,2.3978952727983707,1,1,0,3,0,3,1,0.6931471805599453,0,1,1,1,1,3,1187620.0
2,6,6,15108,9.62304587173984,1,0,3,2,8,18,2.9444389791664403,1,0,3,4,8,2,5,1.791759469228055,0,2,0,5,5,0,9518040.0
4,6,6,3055,8.024862150286411,0,1,0,3,5,7,2.0794415416798357,0,1,2,0,7,0,5,1.791759469228055,0,2,0,5,5,2,748475.0
2,5,5,2083,7.642044402873258,0,1,3,4,3,24,3.2188758248682006,1,0,4,3,4,1,6,1.9459101490553132,1,0,1,6,6,1,2099664.0
6,7,7,19966,9.901836189786897,1,1,1,2,6,17,2.8903717578961645,0,2,2,3,7,3,3,1.3862943611198906,0,0,3,3,3,0,7127862.0
1,9,9,11748,9.371523409567573,1,0,3,2,8,10,2.3978952727983707,1,1,0,3,0,0,4,1.6094379124341003,1,1,4,4,4,1,3289440.0
2,6,6,9883,9.1986725671085,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,3,2,1.0986122886681098,1,2,2,2,2,1,553448.0
2,6,6,14215,9.562123369834488,0,1,0,5,5,17,2.8903717578961645,0,2,2,3,7,0,3,1.3862943611198906,0,0,3,3,3,0,5074755.0
4,6,6,19781,9.892527712299787,0,2,1,6,1,4,1.6094379124341003,1,1,4,4,4,3,4,1.6094379124341003,1,1,4,4,4,1,2215472.0
6,5,5,16647,9.720045368073471,0,0,2,1,7,9,2.302585092994046,0,0,4,2,9,3,5,1.791759469228055,0,2,0,5,5,0,5243805.0
5,4,4,10190,9.229260256828693,1,2,0,5,0,8,2.1972245773362196,1,2,3,1,8,3,3,1.3862943611198906,0,0,3,3,3,0,1711920.0
0,8,8,7245,8.888204871455022,0,0,0,0,5,21,3.091042453358316,0,0,1,0,1,0,4,1.6094379124341003,1,1,4,4,4,3,4260060.0
1,6,6,11757,9.3722891389622,0,0,2,4,7,18,2.9444389791664403,1,0,3,4,8,3,5,1.791759469228055,0,2,0,5,5,0,7406910.0
5,1,1,11860,9.381010986029276,1,1,0,2,0,10,2.3978952727983707,1,1,0,3,0,2,6,1.9459101490553132,1,0,1,6,6,1,4981200.0
4,4,4,16146,9.689489552881621,1,0,1,4,6,14,2.70805020110221,1,2,4,0,4,1,4,1.6094379124341003,1,1,4,4,4,1,6329232.0
5,8,8,2302,7.741967899820685,1,1,2,6,2,10,2.3978952727983707,1,1,0,3,0,3,5,1.791759469228055,0,2,0,5,5,1,805700.0
5,5,5,12030,9.395241931033524,1,0,0,4,0,21,3.091042453358316,0,0,1,0,1,3,4,1.6094379124341003,1,1,4,4,4,1,7073640.0
