slot_person_name,slot_base_age,slot_base_age_abs_log1p,slot_base_age_is_even,slot_base_age_mod3,slot_base_age_mod5,slot_base_age_mod7,slot_base_age_mod10,slot_brother_multiplier,slot_brother_multiplier_abs_log1p,slot_brother_multiplier_is_even,slot_brother_multiplier_mod3,slot_brother_multiplier_mod5,slot_brother_multiplier_mod7,slot_brother_multiplier_mod10,slot_younger_percent,slot_younger_percent_abs_log1p,slot_younger_percent_is_even,slot_younger_percent_mod3,slot_younger_percent_mod7,slot_younger_percent_mod10,gcd_all,n_multiple_pairs,y
2,60,4.110873864173311,1,0,0,4,0,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,3,408.0
4,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,1,114.0
8,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,3,0,1,2,147.0
2,55,4.02535169073515,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,40,3.713572066704308,1,1,5,0,5,2,363.0
7,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,0,36.0
2,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,2,0,2,3,37.0
4,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,0,36.0
6,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,2,342.0
1,22,3.1354942159291497,1,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,2,0,165.0
4,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,6,0,4,3,116.0
6,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,4,5,1,1,69.0
7,40,3.713572066704308,1,1,0,5,0,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,2,0,1,1,188.0
8,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,1,1,78.0
3,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,0,95.0
2,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,5,0,4,2,336.0
6,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,2,0,3,3,141.0
5,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,1,228.0
0,50,3.9318256327243257,1,2,0,1,0,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,2,0,2,1,385.0
3,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,6,0,2,2,58.0
1,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,30.0
2,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,150.0
1,42,3.7612001156935624,1,0,2,0,2,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,1,1,273.0
4,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,2,342.0
5,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,5,0,2,3,72.0
2,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,3,0,2,3,39.0
6,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,40,3.713572066704308,1,1,5,0,5,3,66.0
2,35,3.58351893845611,0,2,0,0,5,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,6,0,1,1,133.0
2,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,5,2,130.0
9,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,5,3,325.0
2,28,3.367295829986474,1,1,3,0,8,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,105.0
1,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,5,3,65.0
8,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,2,0,1,1,235.0
8,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,3,0,2,1,79.0
2,40,3.713572066704308,1,1,0,5,0,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,5,0,2,1,304.0
8,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,6,0,4,3,116.0
4,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,3,0,2,1,158.0
9,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,40,3.713572066704308,1,1,5,0,5,2,231.0
3,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,1,57.0
9,55,4.02535169073515,0,1,0,6,5,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,6,0,1,1,209.0
2,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,3,0,2,2,236.0
4,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,4,5,1,1,372.0
4,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,6,0,2,2,190.0
9,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,6,0,1,1,48.0
8,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,3,272.0
5,28,3.367295829986474,1,1,3,0,8,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,1,1,182.0
9,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,5,0,1,1,90.0
0,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,2,0,5,2,335.0
7,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,3,0,2,2,354.0
2,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,0,95.0
7,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,4,5,1,0,62.0
8,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,2,0,5,2,134.0
9,45,3.828641396489095,0,0,0,3,5,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,5,0,1,1,207.0
8,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,2,342.0
5,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,3,0,2,2,236.0
4,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,6,0,1,1,96.0
3,50,3.9318256327243257,1,2,0,1,0,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,2,0,2,1,385.0
0,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,3,0,2,3,234.0
2,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,3,0,2,3,234.0
2,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,6,0,2,3,152.0
4,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,6,0,2,1,174.0
5,54,4.007333185232471,1,0,4,5,4,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,2,2,189.0
9,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,1,1,78.0
8,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,3,0,2,3,39.0
2,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,6,0,1,2,288.0
9,60,4.110873864173311,1,0,0,4,0,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,2,0,6,3,462.0
2,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,2,0,5,3,67.0
7,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,3,136.0
1,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,1,108.0
7,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,6,0,1,0,117.0
5,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,40,3.713572066704308,1,1,5,0,5,3,66.0
3,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,30.0
0,45,3.828641396489095,0,0,0,3,5,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,5,0,1,1,162.0
3,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,3,0,5,3,69.0
6,32,3.4965075614664802,1,2,2,4,2,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,4,5,1,1,216.0
9,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,6,0,1,1,72.0
9,35,3.58351893845611,0,2,0,0,5,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,5,0,1,1,126.0
7,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,2,1,45.0
1,44,3.8066624897703196,1,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,4,5,1,1,253.0
1,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,6,0,2,2,114.0
6,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,2,0,2,2,148.0
2,22,3.1354942159291497,1,1,2,1,2,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,1,1,143.0
2,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,0,38.0
1,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,3,0,5,3,207.0
5,54,4.007333185232471,1,0,4,5,4,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,2,1,405.0
1,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,2,0,2,3,111.0
0,32,3.4965075614664802,1,2,2,4,2,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,0,144.0
4,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,2,0,2,2,77.0
6,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,2,0,60.0
6,44,3.8066624897703196,1,2,4,2,4,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,4,5,1,0,341.0
4,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,3,0,2,3,234.0
3,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,3,68.0
5,46,3.8501476017100584,1,1,1,4,6,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,2,0,345.0
9,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,3,0,2,1,295.0
2,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,5,0,1,0,418.0
3,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,2,0,2,2,185.0
6,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,1,228.0
7,36,3.6109179126442243,1,0,1,1,6,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,1,1,234.0
4,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,3,0,2,1,79.0
7,38,3.6635616461296463,1,2,3,3,8,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,0,171.0
8,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,0,285.0
1,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,2,0,2,3,222.0
9,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,135.0
9,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,6,0,1,0,429.0
9,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,3,0,2,1,177.0
5,56,4.04305126783455,1,2,1,0,6,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,4,5,1,1,378.0
7,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,225.0
3,28,3.367295829986474,1,1,3,0,8,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,1,1,182.0
3,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,3,0,2,3,195.0
0,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,5,0,2,2,216.0
0,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,2,170.0
7,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,6,0,1,0,240.0
8,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,2,102.0
1,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,5,0,1,1,69.0
0,52,3.970291913552122,1,1,2,3,2,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,195.0
8,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,2,0,2,1,154.0
8,55,4.02535169073515,0,1,0,6,5,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,5,0,1,0,253.0
6,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,5,0,4,3,224.0
8,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,6,0,1,0,429.0
4,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,4,5,1,1,81.0
4,36,3.6109179126442243,1,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,4,5,1,1,279.0
3,44,3.8066624897703196,1,2,4,2,4,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,4,5,1,0,341.0
4,26,3.295836866004329,1,2,1,5,6,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,2,2,91.0
4,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,3,0,2,1,59.0
6,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,2,204.0
1,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,5,0,1,1,84.0
6,28,3.367295829986474,1,1,3,0,8,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,0,133.0
7,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,2,2,21.0
0,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,2,2,140.0
9,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,6,0,1,1,96.0
9,46,3.8501476017100584,1,1,1,4,6,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,2,2,161.0
5,26,3.295836866004329,1,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,0,117.0
7,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,5,0,1,0,190.0
8,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,3,0,1,2,294.0
6,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,5,0,1,0,230.0
0,30,3.4339872044851463,1,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,5,0,2,1,228.0
4,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,4,5,1,1,54.0
6,50,3.9318256327243257,1,2,0,1,0,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,3,0,2,1,395.0
7,32,3.4965075614664802,1,2,2,4,2,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,2,2,112.0
3,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,1,114.0
7,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,5,0,1,1,54.0
1,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,2,1,360.0
9,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,3,0,5,3,69.0
1,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,0,76.0
5,24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,4,5,1,1,138.0
1,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,2,306.0
6,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,2,1,360.0
0,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,2,342.0
8,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,3,0,1,1,245.0
4,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,30.0
8,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,2,0,5,2,335.0
