slot_seller,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_item_name,slot_container_name,slot_capacity_per_container,slot_capacity_per_container_abs_log1p,slot_capacity_per_container_is_even,slot_capacity_per_container_mod3,slot_capacity_per_container_mod5,slot_capacity_per_container_mod7,slot_capacity_per_container_mod10,slot_price_per_container,slot_price_per_container_abs_log1p,slot_price_per_container_frac,slot_price_per_container_n_decimals,slot_currency_symbol,gcd_all,y
1,1239,7.122866658599083,0,0,4,0,9,2,3,21,3.091042453358316,0,0,1,0,1,7.25,2.1102132003465894,0.25,2,3,21,427.75
6,7280,8.893023494394711,1,2,0,0,0,4,1,56,4.04305126783455,1,2,1,0,6,14.5,2.740840023925201,0.5,1,3,56,1885.0
4,392,5.973809611869261,1,2,2,0,2,2,1,28,3.367295829986474,1,1,3,0,8,8.75,2.277267285009756,0.75,2,2,28,122.5
1,5130,8.543055850941965,1,0,0,6,0,3,1,57,4.060443010546419,0,0,2,1,7,6.75,2.0476928433652555,0.75,2,0,57,607.5
5,1043,6.950814768442584,0,2,3,0,3,0,2,7,2.0794415416798357,0,1,2,0,7,3.25,1.4469189829363254,0.25,2,3,7,484.25
1,605,6.406879986069314,0,2,0,3,5,0,2,11,2.4849066497880004,0,2,1,4,1,8.5,2.2512917986064953,0.5,1,2,11,467.5
1,276,5.6240175061873385,1,0,1,3,6,2,4,6,1.9459101490553132,1,0,1,6,6,1.25,0.8109302162163288,0.25,2,0,6,57.5
6,1440,7.273092595999522,1,0,0,5,0,5,4,30,3.4339872044851463,1,0,0,2,0,6.25,1.9810014688665833,0.25,2,2,30,300.0
5,5170,8.550821372396221,1,1,0,4,0,4,2,55,4.02535169073515,0,1,0,6,5,4.5,1.7047480922384253,0.5,1,1,55,423.0
6,1872,7.5352967024440884,1,0,2,3,2,3,6,24,3.2188758248682006,1,0,4,3,4,15.5,2.803360380906535,0.5,1,0,24,1209.0
3,1053,6.960347729101308,0,0,3,3,3,5,1,39,3.6888794541139363,0,0,4,4,9,17.25,2.9041650800285006,0.25,2,1,39,465.75
3,775,6.654152520183219,0,1,0,5,5,7,3,25,3.258096538021482,0,1,0,4,5,17.5,2.917770732084279,0.5,1,1,25,542.5
2,486,6.18826412308259,1,0,1,3,6,2,4,9,2.302585092994046,0,0,4,2,9,17.0,2.8903717578961645,0.0,1,1,9,918.0
1,3857,8.257904193465674,0,2,2,0,7,4,1,29,3.4011973816621555,0,2,4,1,9,8.0,2.1972245773362196,0.0,1,3,29,1064.0
0,612,6.418364935936212,1,0,2,3,2,0,4,6,1.9459101490553132,1,0,1,6,6,18.75,2.9831534913471307,0.75,2,0,6,1912.5
0,1849,7.52294091807237,0,1,4,1,9,4,3,43,3.784189633918261,0,1,3,1,3,2.5,1.252762968495368,0.5,1,2,43,107.5
0,5712,8.650499558724462,1,0,2,0,2,0,6,51,3.9512437185814275,0,0,1,2,1,9.75,2.3749057545736716,0.75,2,0,51,1092.0
2,4332,8.374015421739909,1,0,2,6,2,7,5,57,4.060443010546419,0,0,2,1,7,9.25,2.327277705584417,0.25,2,1,57,703.0
4,342,5.8377304471659395,1,0,2,6,2,1,1,9,2.302585092994046,0,0,4,2,9,13.0,2.6390573296152584,0.0,1,3,9,494.0
3,618,6.428105272684596,1,0,3,2,8,6,4,6,1.9459101490553132,1,0,1,6,6,17.25,2.9041650800285006,0.25,2,3,6,1776.75
4,2200,7.696667081526462,1,1,0,2,0,6,4,25,3.258096538021482,0,1,0,4,5,11.0,2.4849066497880004,0.0,1,3,25,968.0
4,162,5.093750200806762,1,0,2,1,2,7,1,3,1.3862943611198906,0,0,3,3,3,13.25,2.6567569067146595,0.25,2,0,3,715.5
3,279,5.634789603169249,0,0,4,6,9,5,0,31,3.4657359027997265,0,1,1,3,1,5.75,1.9095425048844386,0.75,2,1,31,51.75
4,1458,7.285506548522785,1,0,3,2,8,4,5,27,3.332204510175204,0,0,2,6,7,13.75,2.691243082785829,0.75,2,1,27,742.5
2,420,6.042632833682381,1,0,0,0,0,1,6,21,3.091042453358316,0,0,1,0,1,1.75,1.0116009116784799,0.75,2,2,21,35.0
4,4719,8.459564078579602,0,0,4,1,9,4,0,39,3.6888794541139363,0,0,4,4,9,11.0,2.4849066497880004,0.0,1,0,39,1331.0
3,1392,7.239214973779806,1,0,2,6,2,7,4,24,3.2188758248682006,1,0,4,3,4,3.25,1.4469189829363254,0.25,2,0,24,188.5
6,1116,7.018401799069201,1,0,1,3,6,6,5,12,2.5649493574615367,1,0,2,5,2,0.5,0.4054651081081644,0.5,1,3,12,46.5
3,2889,7.969011781106478,0,0,4,5,9,6,2,27,3.332204510175204,0,0,2,6,7,14.5,2.740840023925201,0.5,1,3,27,1551.5
2,1400,7.244941546337007,1,2,0,0,0,6,6,10,2.3978952727983707,1,1,0,3,0,9.0,2.302585092994046,0.0,1,2,10,1260.0
0,6327,8.75273950944749,0,0,2,6,7,2,3,57,4.060443010546419,0,0,2,1,7,19.0,2.995732273553991,0.0,1,1,57,2109.0
0,1998,7.6004023345004,1,0,3,3,8,2,1,27,3.332204510175204,0,0,2,6,7,2.0,1.0986122886681098,0.0,1,0,27,148.0
0,418,6.037870919922137,1,1,3,5,8,2,3,19,2.995732273553991,0,1,4,5,9,14.0,2.70805020110221,0.0,1,3,19,308.0
4,2397,7.7823903355874595,0,0,2,3,7,5,4,47,3.871201010907891,0,2,2,5,7,12.5,2.6026896854443837,0.5,1,0,47,637.5
0,3060,8.026496938945412,1,0,0,1,0,5,0,34,3.5553480614894135,1,1,4,6,4,9.75,2.3749057545736716,0.75,2,0,34,877.5
6,975,6.883462586413092,0,0,0,2,5,5,2,13,2.6390573296152584,0,1,3,6,3,20.0,3.044522437723423,0.0,1,3,13,1500.0
6,935,6.841615476477592,0,2,0,4,5,3,0,17,2.8903717578961645,0,2,2,3,7,12.5,2.6026896854443837,0.5,1,0,17,687.5
2,8732,9.074864232413733,1,2,2,3,2,1,3,59,4.0943445622221,0,2,4,3,9,9.75,2.3749057545736716,0.75,2,3,59,1443.0
2,2408,7.786967002614872,1,2,3,0,8,6,1,28,3.367295829986474,1,1,3,0,8,11.75,2.545531271604435,0.75,2,1,28,1010.5
1,1320,7.186144304522325,1,0,0,4,0,7,2,22,3.1354942159291497,1,1,2,1,2,14.5,2.740840023925201,0.5,1,0,22,870.0
3,4368,8.382289428951436,1,0,3,0,8,0,4,42,3.7612001156935624,1,0,2,0,2,1.25,0.8109302162163288,0.25,2,1,42,130.0
0,7140,8.87360810154911,1,0,0,0,0,6,2,60,4.110873864173311,1,0,0,4,0,9.5,2.3513752571634776,0.5,1,2,60,1130.5
0,3420,8.137688184977605,1,0,0,4,0,0,6,36,3.6109179126442243,1,0,1,1,6,19.5,3.0204248861443626,0.5,1,0,36,1852.5
6,1050,6.957497370876951,1,0,0,0,0,5,6,21,3.091042453358316,0,0,1,0,1,1.5,0.9162907318741551,0.5,1,0,21,75.0
5,96,4.574710978503383,1,0,1,5,6,5,3,16,2.833213344056216,1,1,1,2,6,14.75,2.7568403652716422,0.75,2,0,16,88.5
5,2646,7.881182202227102,1,0,1,0,6,5,2,18,2.9444389791664403,1,0,3,4,8,9.0,2.302585092994046,0.0,1,0,18,1323.0
5,1116,7.018401799069201,1,0,1,3,6,6,1,9,2.302585092994046,0,0,4,2,9,14.0,2.70805020110221,0.0,1,3,9,1736.0
1,450,6.111467339502679,1,0,0,2,0,1,4,9,2.302585092994046,0,0,4,2,9,13.25,2.6567569067146595,0.25,2,0,9,662.5
1,216,5.37989735354046,1,0,1,6,6,0,1,6,1.9459101490553132,1,0,1,6,6,14.75,2.7568403652716422,0.75,2,2,6,531.0
6,4324,8.37216741936598,1,1,4,5,4,0,1,46,3.8501476017100584,1,1,1,4,6,2.0,1.0986122886681098,0.0,1,0,46,188.0
4,36,3.6109179126442243,1,0,1,1,6,5,1,2,1.0986122886681098,1,2,2,2,2,6.0,1.9459101490553132,0.0,1,3,2,108.0
0,3393,8.129764445794171,0,0,3,5,3,7,6,29,3.4011973816621555,0,2,4,1,9,13.5,2.6741486494265287,0.5,1,2,29,1579.5
0,2120,7.659642954564682,1,2,0,6,0,0,0,53,3.9889840465642745,0,2,3,4,3,2.5,1.252762968495368,0.5,1,3,53,100.0
2,6156,8.72534492491121,1,0,1,3,6,3,5,57,4.060443010546419,0,0,2,1,7,16.5,2.8622008809294686,0.5,1,2,57,1782.0
4,2244,7.716460800176355,1,0,4,4,4,5,2,34,3.5553480614894135,1,1,4,6,4,12.25,2.583997552432231,0.25,2,0,34,808.5
3,3774,8.236155661683124,1,0,4,1,4,7,6,34,3.5553480614894135,1,1,4,6,4,9.5,2.3513752571634776,0.5,1,1,34,1054.5
4,1625,7.3938782901077555,0,2,0,1,5,7,4,25,3.258096538021482,0,1,0,4,5,18.0,2.9444389791664403,0.0,1,2,25,1170.0
0,1204,7.094234845924755,1,1,4,0,4,3,6,28,3.367295829986474,1,1,3,0,8,7.75,2.169053700369523,0.75,2,0,28,333.25
6,4860,8.488999457045455,1,0,0,2,0,7,5,36,3.6109179126442243,1,0,1,1,6,15.75,2.8183982582710754,0.75,2,2,36,2126.25
3,4275,8.360773272144936,0,0,0,5,5,6,6,57,4.060443010546419,0,0,2,1,7,14.25,2.7245795030534206,0.25,2,0,57,1068.75
5,312,5.746203190540153,1,0,2,4,2,5,0,24,3.2188758248682006,1,0,4,3,4,16.5,2.8622008809294686,0.5,1,2,24,214.5
5,3135,8.0507033814703,0,0,0,6,5,3,2,57,4.060443010546419,0,0,2,1,7,9.75,2.3749057545736716,0.75,2,2,57,536.25
2,28,3.367295829986474,1,1,3,0,8,3,0,2,1.0986122886681098,1,2,2,2,2,10.0,2.3978952727983707,0.0,1,2,2,140.0
0,860,6.7580945044277305,1,2,0,6,0,0,3,20,3.044522437723423,1,2,0,6,0,0.75,0.5596157879354227,0.75,2,3,20,32.25
2,1008,6.9167150203536085,1,0,3,0,8,0,5,42,3.7612001156935624,1,0,2,0,2,17.0,2.8903717578961645,0.0,1,3,42,408.0
3,4836,8.484049972822984,1,0,1,6,6,2,6,39,3.6888794541139363,0,0,4,4,9,7.0,2.0794415416798357,0.0,1,0,39,868.0
1,3504,8.16194579946869,1,0,4,4,4,6,0,24,3.2188758248682006,1,0,4,3,4,12.5,2.6026896854443837,0.5,1,3,24,1825.0
4,3900,8.268988209506656,1,0,0,1,0,3,5,30,3.4339872044851463,1,0,0,2,0,15.25,2.7880929087757464,0.25,2,3,30,1982.5
3,200,5.303304908059076,1,2,0,4,0,7,4,25,3.258096538021482,0,1,0,4,5,7.75,2.169053700369523,0.75,2,0,25,62.0
5,7482,8.920389060080359,1,0,2,6,2,1,4,58,4.07753744390572,1,1,3,2,8,16.25,2.847812143477369,0.25,2,2,58,2096.25
4,2020,7.611347717403621,1,1,0,4,0,1,2,20,3.044522437723423,1,2,0,6,0,20.0,3.044522437723423,0.0,1,2,20,2020.0
1,1092,6.996681488176539,1,0,2,0,2,6,0,14,2.70805020110221,1,2,4,0,4,19.75,3.0325462466767075,0.75,2,2,14,1540.5
0,918,6.823286122355687,1,0,3,1,8,1,5,34,3.5553480614894135,1,1,4,6,4,19.0,2.995732273553991,0.0,1,3,34,513.0
0,2860,7.95892649305011,1,1,0,4,0,4,0,26,3.295836866004329,1,2,1,5,6,0.25,0.22314355131420976,0.25,2,3,26,27.5
0,1692,7.4342573821331355,1,0,2,5,2,2,5,47,3.871201010907891,0,2,2,5,7,5.0,1.791759469228055,0.0,1,1,47,180.0
0,7791,8.960852845322371,0,0,1,0,1,2,5,53,3.9889840465642745,0,2,3,4,3,7.5,2.1400661634962708,0.5,1,0,53,1102.5
1,348,5.855071922202427,1,0,3,5,8,5,5,58,4.07753744390572,1,1,3,2,8,15.5,2.803360380906535,0.5,1,2,58,93.0
5,4160,8.333510708982942,1,2,0,2,0,6,6,32,3.4965075614664802,1,2,2,4,2,19.75,3.0325462466767075,0.75,2,3,32,2567.5
6,2760,7.923348211930154,1,0,0,2,0,1,0,46,3.8501476017100584,1,1,1,4,6,2.5,1.252762968495368,0.5,1,0,46,150.0
0,1656,7.4127640174265625,1,0,1,4,6,3,4,23,3.1780538303479458,0,2,3,2,3,2.25,1.1786549963416462,0.25,2,3,23,162.0
1,6099,8.716044050161402,0,0,4,2,9,0,0,57,4.060443010546419,0,0,2,1,7,16.5,2.8622008809294686,0.5,1,2,57,1765.5
0,1054,6.961296045910167,1,1,4,4,4,5,5,31,3.4657359027997265,0,1,1,3,1,18.5,2.970414465569701,0.5,1,1,31,629.0
0,4658,8.446556111816797,1,2,3,3,8,4,2,34,3.5553480614894135,1,1,4,6,4,5.75,1.9095425048844386,0.75,2,0,34,787.75
4,3300,8.101980731853192,1,0,0,3,0,0,3,44,3.8066624897703196,1,2,4,2,4,12.25,2.583997552432231,0.25,2,0,44,918.75
5,2751,7.920083199053234,0,0,1,0,1,3,6,21,3.091042453358316,0,0,1,0,1,15.25,2.7880929087757464,0.25,2,3,21,1997.75
1,344,5.84354441703136,1,2,4,1,4,5,4,8,2.1972245773362196,1,2,3,1,8,0.5,0.4054651081081644,0.5,1,2,8,21.5
2,3036,8.01862546504575,1,0,1,5,6,5,0,44,3.8066624897703196,1,2,4,2,4,5.5,1.8718021769015913,0.5,1,2,44,379.5
2,3003,8.007700012884026,0,0,3,0,3,4,6,33,3.5263605246161616,0,0,3,5,3,17.0,2.8903717578961645,0.0,1,1,33,1547.0
2,847,6.742880635791903,0,1,2,0,7,6,2,7,2.0794415416798357,0,1,2,0,7,2.0,1.0986122886681098,0.0,1,3,7,242.0
3,494,6.20455776256869,1,2,4,4,4,0,2,26,3.295836866004329,1,2,1,5,6,17.25,2.9041650800285006,0.25,2,1,26,327.75
6,1302,7.172424577124845,1,0,2,0,2,2,3,42,3.7612001156935624,1,0,2,0,2,16.75,2.8763855159214247,0.75,2,2,42,519.25
5,2730,7.912423121473705,1,0,0,0,0,1,5,35,3.58351893845611,0,2,0,0,5,9.5,2.3513752571634776,0.5,1,2,35,741.0
3,945,6.852242569051878,0,0,0,0,5,2,3,15,2.772588722239781,0,0,0,1,5,15.5,2.803360380906535,0.5,1,1,15,976.5
4,247,5.5134287461649825,0,1,2,2,7,1,0,19,2.995732273553991,0,1,4,5,9,13.25,2.6567569067146595,0.25,2,2,19,172.25
5,2926,7.9817332866918855,1,1,1,0,6,1,1,22,3.1354942159291497,1,1,2,1,2,7.75,2.169053700369523,0.75,2,2,22,1030.75
1,1960,7.581209826196346,1,1,0,0,0,0,5,28,3.367295829986474,1,1,3,0,8,12.5,2.6026896854443837,0.5,1,1,28,875.0
1,1440,7.273092595999522,1,0,0,5,0,3,4,45,3.828641396489095,0,0,0,3,5,10.0,2.3978952727983707,0.0,1,0,45,320.0
1,6750,8.81744592104187,1,0,0,2,0,7,0,45,3.828641396489095,0,0,0,3,5,5.5,1.8718021769015913,0.5,1,0,45,825.0
5,832,6.725033642166843,1,1,2,6,2,1,4,8,2.1972245773362196,1,2,3,1,8,17.0,2.8903717578961645,0.0,1,2,8,1768.0
4,7260,8.890272839380247,1,0,0,1,0,6,0,60,4.110873864173311,1,0,0,4,0,15.25,2.7880929087757464,0.25,2,0,60,1845.25
2,336,5.820082930352362,1,0,1,0,6,0,0,6,1.9459101490553132,1,0,1,6,6,3.75,1.55814461804655,0.75,2,3,6,210.0
1,1792,7.491645473605133,1,1,2,0,2,6,5,28,3.367295829986474,1,1,3,0,8,15.5,2.803360380906535,0.5,1,0,28,992.0
6,3700,8.216358332386156,1,1,0,4,0,6,1,25,3.258096538021482,0,1,0,4,5,10.0,2.3978952727983707,0.0,1,1,25,1480.0
5,1734,7.45876269238096,1,0,4,5,4,3,5,17,2.8903717578961645,0,2,2,3,7,18.0,2.9444389791664403,0.0,1,2,17,1836.0
1,3888,8.265907334155747,1,0,3,3,8,2,0,48,3.8918202981106265,1,0,3,6,8,15.5,2.803360380906535,0.5,1,0,48,1255.5
5,3450,8.146419323098003,1,0,0,6,0,3,4,23,3.1780538303479458,0,2,3,2,3,14.25,2.7245795030534206,0.25,2,2,23,2137.5
3,456,6.124683390894205,1,0,1,1,6,7,3,4,1.6094379124341003,1,1,4,4,4,11.0,2.4849066497880004,0.0,1,1,4,1254.0
4,1472,7.29505641646263,1,2,2,2,2,6,5,32,3.4965075614664802,1,2,2,4,2,6.5,2.0149030205422647,0.5,1,0,32,299.0
0,2646,7.881182202227102,1,0,1,0,6,1,0,27,3.332204510175204,0,0,2,6,7,6.25,1.9810014688665833,0.25,2,3,27,612.5
3,946,6.853299093186078,1,1,1,1,6,6,0,11,2.4849066497880004,0,2,1,4,1,6.25,1.9810014688665833,0.25,2,3,11,537.5
3,5538,8.619569258033104,1,0,3,1,8,0,4,39,3.6888794541139363,0,0,4,4,9,9.5,2.3513752571634776,0.5,1,3,39,1349.0
0,693,6.542471960506805,0,0,3,0,3,7,1,9,2.302585092994046,0,0,4,2,9,1.25,0.8109302162163288,0.25,2,2,9,96.25
1,237,5.472270673671475,0,0,2,6,7,5,4,3,1.3862943611198906,0,0,3,3,3,6.0,1.9459101490553132,0.0,1,1,3,474.0
2,408,6.013715156042802,1,0,3,2,8,3,6,6,1.9459101490553132,1,0,1,6,6,3.75,1.55814461804655,0.75,2,3,6,255.0
4,2793,7.935229539816907,0,0,3,0,3,7,0,57,4.060443010546419,0,0,2,1,7,7.25,2.1102132003465894,0.25,2,2,57,355.25
4,1695,7.4360278163518485,0,0,0,1,5,3,2,15,2.772588722239781,0,0,0,1,5,8.0,2.1972245773362196,0.0,1,2,15,904.0
6,228,5.43372200355424,1,0,3,4,8,1,1,2,1.0986122886681098,1,2,2,2,2,5.25,1.8325814637483102,0.25,2,3,2,598.5
6,102,4.634728988229636,1,0,2,4,2,3,4,6,1.9459101490553132,1,0,1,6,6,20.0,3.044522437723423,0.0,1,3,6,340.0
1,1410,7.252053951852814,1,0,0,3,0,7,0,15,2.772588722239781,0,0,0,1,5,8.75,2.277267285009756,0.75,2,3,15,822.5
3,5096,8.536407410340042,1,2,1,0,6,0,1,52,3.970291913552122,1,1,2,3,2,19.25,3.0081547935525483,0.25,2,1,52,1886.5
0,825,6.716594773520978,0,0,0,6,5,5,6,55,4.02535169073515,0,1,0,6,5,7.0,2.0794415416798357,0.0,1,2,55,105.0
5,4002,8.294799358992574,1,0,2,5,2,4,3,46,3.8501476017100584,1,1,1,4,6,6.5,2.0149030205422647,0.5,1,2,46,565.5
6,4600,8.434028950155469,1,1,0,1,0,7,4,40,3.713572066704308,1,1,0,5,0,4.75,1.749199854809259,0.75,2,0,40,546.25
1,782,6.663132695990803,1,2,2,5,2,6,5,17,2.8903717578961645,0,2,2,3,7,5.0,1.791759469228055,0.0,1,2,17,230.0
1,240,5.484796933490655,1,0,0,2,0,2,6,5,1.791759469228055,0,2,0,5,5,2.25,1.1786549963416462,0.25,2,3,5,108.0
3,6580,8.791941988456118,1,1,0,0,0,3,4,47,3.871201010907891,0,2,2,5,7,6.75,2.0476928433652555,0.75,2,1,47,945.0
3,4366,8.381831553485561,1,1,1,5,6,7,3,59,4.0943445622221,0,2,4,3,9,18.5,2.970414465569701,0.5,1,1,59,1369.0
5,3836,8.252446090246952,1,2,1,0,6,3,6,28,3.367295829986474,1,1,3,0,8,16.75,2.8763855159214247,0.75,2,3,28,2294.75
5,360,5.8888779583328805,1,0,0,3,0,5,0,3,1.3862943611198906,0,0,3,3,3,18.5,2.970414465569701,0.5,1,1,3,2220.0
1,1368,7.221835825288449,1,0,3,3,8,1,2,36,3.6109179126442243,1,0,1,1,6,16.5,2.8622008809294686,0.5,1,2,36,627.0
5,486,6.18826412308259,1,0,1,3,6,1,6,54,4.007333185232471,1,0,4,5,4,12.25,2.583997552432231,0.25,2,1,54,110.25
0,1682,7.428333194190806,1,2,2,2,2,6,5,29,3.4011973816621555,0,2,4,1,9,15.25,2.7880929087757464,0.25,2,0,29,884.5
0,1443,7.275172319452771,0,0,3,1,3,1,5,39,3.6888794541139363,0,0,4,4,9,5.0,1.791759469228055,0.0,1,3,39,185.0
2,3699,8.216088098632316,0,0,4,3,9,7,0,27,3.332204510175204,0,0,2,6,7,1.25,0.8109302162163288,0.25,2,3,27,171.25
5,5671,8.643297068211963,0,1,1,1,1,1,1,53,3.9889840465642745,0,2,3,4,3,19.75,3.0325462466767075,0.75,2,1,53,2113.25
3,186,5.231108616854587,1,0,1,4,6,0,5,2,1.0986122886681098,1,2,2,2,2,7.75,2.169053700369523,0.75,2,1,2,720.75
1,336,5.820082930352362,1,0,1,0,6,0,0,4,1.6094379124341003,1,1,4,4,4,0.75,0.5596157879354227,0.75,2,0,4,63.0
3,256,5.54907608489522,1,1,1,4,6,4,5,32,3.4965075614664802,1,2,2,4,2,4.5,1.7047480922384253,0.5,1,0,32,36.0
2,4118,8.323365694436081,1,2,3,2,8,7,3,58,4.07753744390572,1,1,3,2,8,14.0,2.70805020110221,0.0,1,1,58,994.0
2,1100,7.00397413672268,1,2,0,1,0,0,1,10,2.3978952727983707,1,1,0,3,0,12.75,2.6210388241125804,0.75,2,2,10,1402.5
0,2376,7.773594467360194,1,0,1,3,6,4,1,24,3.2188758248682006,1,0,4,3,4,5.25,1.8325814637483102,0.25,2,0,24,519.75
4,864,6.762729506931879,1,0,4,3,4,6,3,16,2.833213344056216,1,1,1,2,6,19.0,2.995732273553991,0.0,1,0,16,1026.0
3,3332,8.11162807830774,1,2,2,0,2,1,3,34,3.5553480614894135,1,1,4,6,4,14.75,2.7568403652716422,0.75,2,1,34,1445.5
6,3782,8.23827262463303,1,2,2,2,2,7,2,31,3.4657359027997265,0,1,1,3,1,5.75,1.9095425048844386,0.75,2,1,31,701.5
4,7155,8.87570644462861,0,0,0,1,5,2,5,53,3.9889840465642745,0,2,3,4,3,16.5,2.8622008809294686,0.5,1,1,53,2227.5
5,992,6.900730664045173,1,2,2,5,2,4,1,16,2.833213344056216,1,1,1,2,6,3.25,1.4469189829363254,0.25,2,3,16,201.5
6,5995,8.698847859222488,0,1,0,3,5,4,5,55,4.02535169073515,0,1,0,6,5,14.5,2.740840023925201,0.5,1,3,55,1580.5
2,2491,7.820840879907344,0,1,1,6,1,7,6,47,3.871201010907891,0,2,2,5,7,11.5,2.5257286443082556,0.5,1,3,47,609.5
5,4268,8.359134886757962,1,2,3,5,8,3,0,44,3.8066624897703196,1,2,4,2,4,19.5,3.0204248861443626,0.5,1,2,44,1891.5
3,1656,7.4127640174265625,1,0,1,4,6,7,6,46,3.8501476017100584,1,1,1,4,6,20.0,3.044522437723423,0.0,1,1,46,720.0
0,2806,7.939871576361883,1,1,1,6,6,4,1,23,3.1780538303479458,0,2,3,2,3,9.5,2.3513752571634776,0.5,1,2,23,1159.0
0,96,4.574710978503383,1,0,1,5,6,1,6,16,2.833213344056216,1,1,1,2,6,1.0,0.6931471805599453,0.0,1,3,16,6.0
5,810,6.698268054115413,1,0,0,5,0,6,5,6,1.9459101490553132,1,0,1,6,6,15.0,2.772588722239781,0.0,1,0,6,2025.0
