slot_name_equal1,slot_name_equal2,slot_name_diff_more,slot_name_diff_less,slot_item_plural,slot_action_past,slot_total_count,slot_total_count_abs_log1p,slot_total_count_is_even,slot_total_count_mod3,slot_total_count_mod5,slot_total_count_mod7,slot_total_count_mod10,slot_pair_total,slot_pair_total_abs_log1p,slot_pair_total_is_even,slot_pair_total_mod3,slot_pair_total_mod5,slot_pair_total_mod7,slot_pair_total_mod10,slot_difference,slot_difference_abs_log1p,slot_difference_is_even,slot_difference_mod3,slot_difference_mod5,slot_difference_mod7,slot_difference_mod10,gcd_all,n_multiple_pairs,y
9,6,9,9,6,6,84,4.442651256490317,1,0,4,0,4,52,3.970291913552122,1,1,2,3,2,18,2.9444389791664403,1,0,3,4,8,2,0,19.0
10,11,10,10,7,7,98,4.59511985013459,1,2,3,0,8,68,4.23410650459726,1,2,3,5,8,12,2.5649493574615367,1,0,2,5,2,2,0,25.0
0,12,11,11,3,3,45,3.828641396489095,0,0,0,3,5,25,3.258096538021482,0,1,0,4,5,13,2.6390573296152584,0,1,3,6,3,1,0,9.0
0,13,8,3,2,2,84,4.442651256490317,1,0,4,0,4,46,3.8501476017100584,1,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,2,1,6.0
11,0,12,4,0,0,120,4.795790545596741,1,0,0,1,0,72,4.290459441148391,1,0,2,2,2,20,3.044522437723423,1,2,0,6,0,4,1,22.0
11,14,0,12,8,8,102,4.634728988229636,1,0,2,4,2,74,4.31748811353631,1,2,4,4,4,18,2.9444389791664403,1,0,3,4,8,2,0,32.0
12,15,10,13,8,8,47,3.871201010907891,0,2,2,5,7,35,3.58351893845611,0,2,0,0,5,11,2.4849066497880004,0,2,1,4,1,1,0,17.0
13,16,2,14,7,7,135,4.912654885736052,0,0,0,2,5,71,4.276666119016055,0,2,1,1,1,11,2.4849066497880004,0,2,1,4,1,1,0,9.0
14,17,9,4,1,1,67,4.219507705176107,0,1,2,4,7,37,3.6375861597263857,0,1,2,2,7,5,1.791759469228055,0,2,0,5,5,1,0,6.0
6,18,13,15,0,0,137,4.927253685157205,0,2,2,4,7,77,4.356708826689592,0,2,2,0,7,19,2.995732273553991,0,1,4,5,9,1,0,18.0
15,19,12,6,0,0,92,4.532599493153256,1,2,2,1,2,68,4.23410650459726,1,2,3,5,8,16,2.833213344056216,1,1,1,2,6,4,0,30.0
2,14,7,9,1,1,36,3.6109179126442243,1,0,1,1,6,20,3.044522437723423,1,2,0,6,0,16,2.833213344056216,1,1,1,2,6,4,0,10.0
16,13,14,16,2,2,104,4.653960350157523,1,2,4,6,4,58,4.07753744390572,1,1,3,2,8,14,2.70805020110221,1,2,4,0,4,2,0,13.0
13,20,15,12,5,5,107,4.68213122712422,0,2,2,2,7,67,4.219507705176107,0,1,2,4,7,19,2.995732273553991,0,1,4,5,9,1,0,23.0
0,16,11,17,4,4,61,4.127134385045092,0,1,1,5,1,41,3.7376696182833684,0,2,1,6,1,5,1.791759469228055,0,2,0,5,5,1,0,13.0
3,19,14,5,0,0,88,4.48863636973214,1,1,3,4,8,70,4.2626798770413155,1,1,0,0,0,12,2.5649493574615367,1,0,2,5,2,2,0,32.0
14,17,10,3,0,0,32,3.4965075614664802,1,2,2,4,2,14,2.70805020110221,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,2,1,2.0
16,21,16,18,3,3,110,4.709530201312334,1,2,0,5,0,72,4.290459441148391,1,0,2,2,2,20,3.044522437723423,1,2,0,6,0,2,0,27.0
3,13,11,8,8,8,39,3.6888794541139363,0,0,4,4,9,33,3.5263605246161616,0,0,3,5,3,11,2.4849066497880004,0,2,1,4,1,1,1,19.0
10,16,17,19,7,7,30,3.4339872044851463,1,0,0,2,0,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,2,1,3.0
2,6,18,19,3,3,52,3.970291913552122,1,1,2,3,2,26,3.295836866004329,1,2,1,5,6,6,1.9459101490553132,1,0,1,6,6,2,1,3.0
17,22,19,20,3,3,56,4.04305126783455,1,2,1,0,6,48,3.8918202981106265,1,0,3,6,8,18,2.9444389791664403,1,0,3,4,8,2,0,29.0
14,2,13,16,8,8,61,4.127134385045092,0,1,1,5,1,31,3.4657359027997265,0,1,1,3,1,3,1.3862943611198906,0,0,3,3,3,1,0,2.0
18,21,14,21,0,0,74,4.31748811353631,1,2,4,4,4,42,3.7612001156935624,1,0,2,0,2,6,1.9459101490553132,1,0,1,6,6,2,1,8.0
1,18,6,3,4,4,105,4.663439094112067,0,0,0,0,5,59,4.0943445622221,0,2,4,3,9,19,2.995732273553991,0,1,4,5,9,1,0,16.0
16,7,15,21,6,6,83,4.430816798843313,0,2,3,6,3,47,3.871201010907891,0,2,2,5,7,5,1.791759469228055,0,2,0,5,5,1,0,8.0
19,16,20,7,3,3,21,3.091042453358316,0,0,1,0,1,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,1,4.0
3,3,15,1,7,7,41,3.7376696182833684,0,2,1,6,1,25,3.258096538021482,0,1,0,4,5,15,2.772588722239781,0,0,0,1,5,1,0,12.0
2,23,21,6,8,8,118,4.77912349311153,1,1,3,6,8,56,4.04305126783455,1,2,1,0,6,16,2.833213344056216,1,1,1,2,6,2,0,5.0
8,11,7,22,6,6,110,4.709530201312334,1,2,0,5,0,58,4.07753744390572,1,1,3,2,8,6,1.9459101490553132,1,0,1,6,6,2,0,6.0
0,8,1,22,4,4,64,4.174387269895637,1,1,4,1,4,42,3.7612001156935624,1,0,2,0,2,10,2.3978952727983707,1,1,0,3,0,2,0,15.0
20,8,1,17,7,7,67,4.219507705176107,0,1,2,4,7,45,3.828641396489095,0,0,0,3,5,15,2.772588722239781,0,0,0,1,5,1,1,19.0
13,24,17,1,0,0,62,4.143134726391533,1,2,2,6,2,48,3.8918202981106265,1,0,3,6,8,14,2.70805020110221,1,2,4,0,4,2,0,24.0
19,15,6,10,9,9,150,5.017279836814924,1,0,0,3,0,70,4.2626798770413155,1,1,0,0,0,20,3.044522437723423,1,2,0,6,0,10,0,5.0
9,15,4,16,5,5,66,4.204692619390966,1,0,1,3,6,40,3.713572066704308,1,1,0,5,0,6,1.9459101490553132,1,0,1,6,6,2,1,10.0
0,12,19,11,7,7,94,4.553876891600541,1,1,4,3,4,62,4.143134726391533,1,2,2,6,2,6,1.9459101490553132,1,0,1,6,6,2,0,18.0
7,2,15,16,2,2,98,4.59511985013459,1,2,3,0,8,54,4.007333185232471,1,0,4,5,4,20,3.044522437723423,1,2,0,6,0,2,0,15.0
18,23,22,6,3,3,46,3.8501476017100584,1,1,1,4,6,26,3.295836866004329,1,2,1,5,6,8,2.1972245773362196,1,2,3,1,8,2,0,7.0
19,11,3,23,9,9,112,4.727387818712341,1,1,2,0,2,74,4.31748811353631,1,2,4,4,4,16,2.833213344056216,1,1,1,2,6,2,1,26.0
21,4,9,18,3,3,100,4.61512051684126,1,1,0,2,0,66,4.204692619390966,1,0,1,3,6,6,1.9459101490553132,1,0,1,6,6,2,1,19.0
22,14,17,7,7,7,116,4.762173934797756,1,2,1,4,6,56,4.04305126783455,1,2,1,0,6,6,1.9459101490553132,1,0,1,6,6,2,0,1.0
4,20,23,20,5,5,21,3.091042453358316,0,0,1,0,1,13,2.6390573296152584,0,1,3,6,3,13,2.6390573296152584,0,1,3,6,3,1,1,9.0
17,25,7,10,1,1,122,4.812184355372417,1,2,2,3,2,66,4.204692619390966,1,0,1,3,6,20,3.044522437723423,1,2,0,6,0,2,0,15.0
6,21,7,20,7,7,39,3.6888794541139363,0,0,4,4,9,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,1,1,5.0
9,22,6,24,0,0,129,4.867534450455582,0,0,4,3,9,65,4.189654742026425,0,2,0,2,5,19,2.995732273553991,0,1,4,5,9,1,0,10.0
19,1,3,17,9,9,72,4.290459441148391,1,0,2,2,2,66,4.204692619390966,1,0,1,3,6,20,3.044522437723423,1,2,0,6,0,2,0,40.0
5,8,19,21,3,3,85,4.454347296253507,0,1,0,1,5,63,4.1588830833596715,0,0,3,0,3,7,2.0794415416798357,0,1,2,0,7,1,1,24.0
7,22,21,6,5,5,136,4.919980925828125,1,1,1,3,6,60,4.110873864173311,1,0,0,4,0,20,3.044522437723423,1,2,0,6,0,4,1,2.0
22,16,18,14,0,0,56,4.04305126783455,1,2,1,0,6,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,2,2,23.0
2,0,6,3,9,9,138,4.9344739331306915,1,0,3,5,8,66,4.204692619390966,1,0,1,3,6,12,2.5649493574615367,1,0,2,5,2,6,0,3.0
12,19,5,18,7,7,69,4.248495242049359,0,0,4,6,9,51,3.9512437185814275,0,0,1,2,1,7,2.0794415416798357,0,1,2,0,7,1,0,20.0
23,13,6,23,8,8,46,3.8501476017100584,1,1,1,4,6,38,3.6635616461296463,1,2,3,3,8,10,2.3978952727983707,1,1,0,3,0,2,0,20.0
9,24,19,22,9,9,22,3.1354942159291497,1,1,2,1,2,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,2,0,1.0
8,6,21,25,4,4,96,4.574710978503383,1,0,1,5,6,62,4.143134726391533,1,2,2,6,2,6,1.9459101490553132,1,0,1,6,6,2,1,17.0
7,14,2,12,5,5,104,4.653960350157523,1,2,4,6,4,74,4.31748811353631,1,2,4,4,4,18,2.9444389791664403,1,0,3,4,8,2,0,31.0
22,7,21,26,3,3,120,4.795790545596741,1,0,0,1,0,62,4.143134726391533,1,2,2,6,2,6,1.9459101490553132,1,0,1,6,6,2,1,5.0
17,14,19,11,3,3,79,4.382026634673881,0,1,4,2,9,53,3.9889840465642745,0,2,3,4,3,11,2.4849066497880004,0,2,1,4,1,1,0,19.0
8,8,18,14,3,3,160,5.081404364984463,1,1,0,6,0,80,4.394449154672439,1,2,0,3,0,20,3.044522437723423,1,2,0,6,0,20,3,10.0
18,20,3,9,0,0,102,4.634728988229636,1,0,2,4,2,48,3.8918202981106265,1,0,3,6,8,20,3.044522437723423,1,2,0,6,0,2,0,7.0
1,3,17,15,3,3,62,4.143134726391533,1,2,2,6,2,42,3.7612001156935624,1,0,2,0,2,6,1.9459101490553132,1,0,1,6,6,2,1,14.0
5,25,6,6,1,1,23,3.1780538303479458,0,2,3,2,3,13,2.6390573296152584,0,1,3,6,3,13,2.6390573296152584,0,1,3,6,3,1,1,8.0
6,9,12,4,4,4,67,4.219507705176107,0,1,2,4,7,41,3.7376696182833684,0,2,1,6,1,5,1.791759469228055,0,2,0,5,5,1,0,10.0
8,8,9,4,9,9,79,4.382026634673881,0,1,4,2,9,61,4.127134385045092,0,1,1,5,1,13,2.6390573296152584,0,1,3,6,3,1,0,28.0
10,17,13,27,8,8,131,4.882801922586371,0,2,1,5,1,67,4.219507705176107,0,1,2,4,7,15,2.772588722239781,0,0,0,1,5,1,0,9.0
20,8,9,17,7,7,117,4.770684624465665,0,0,2,5,7,77,4.356708826689592,0,2,2,0,7,17,2.8903717578961645,0,2,2,3,7,1,0,27.0
15,26,12,6,5,5,101,4.624972813284271,0,2,1,3,1,55,4.02535169073515,0,1,0,6,5,17,2.8903717578961645,0,2,2,3,7,1,0,13.0
8,4,2,21,5,5,44,3.8066624897703196,1,2,4,2,4,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,2,0,3.0
11,12,13,20,0,0,83,4.430816798843313,0,2,3,6,3,55,4.02535169073515,0,1,0,6,5,7,2.0794415416798357,0,1,2,0,7,1,0,17.0
20,2,1,3,7,7,31,3.4657359027997265,0,1,1,3,1,17,2.8903717578961645,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,1,0,3.0
22,12,5,16,6,6,72,4.290459441148391,1,0,2,2,2,60,4.110873864173311,1,0,0,4,0,20,3.044522437723423,1,2,0,6,0,4,1,34.0
11,19,24,4,6,6,86,4.465908118654584,1,2,1,2,6,44,3.8066624897703196,1,2,4,2,4,12,2.5649493574615367,1,0,2,5,2,2,0,7.0
5,17,20,8,8,8,72,4.290459441148391,1,0,2,2,2,52,3.970291913552122,1,1,2,3,2,2,1.0986122886681098,1,2,2,2,2,2,2,17.0
24,25,9,25,3,3,112,4.727387818712341,1,1,2,0,2,54,4.007333185232471,1,0,4,5,4,8,2.1972245773362196,1,2,3,1,8,2,1,2.0
22,24,8,16,7,7,152,5.030437921392435,1,2,2,5,2,74,4.31748811353631,1,2,4,4,4,14,2.70805020110221,1,2,4,0,4,2,0,5.0
21,26,16,8,9,9,53,3.9889840465642745,0,2,3,4,3,29,3.4011973816621555,0,2,4,1,9,9,2.302585092994046,0,0,4,2,9,1,0,7.0
5,9,25,7,0,0,154,5.043425116919247,1,1,4,0,4,80,4.394449154672439,1,2,0,3,0,20,3.044522437723423,1,2,0,6,0,2,1,13.0
11,24,9,15,3,3,60,4.110873864173311,1,0,0,4,0,34,3.5553480614894135,1,1,4,6,4,20,3.044522437723423,1,2,0,6,0,2,1,14.0
16,1,9,18,4,4,62,4.143134726391533,1,2,2,6,2,46,3.8501476017100584,1,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,2,0,17.0
23,10,2,14,6,6,61,4.127134385045092,0,1,1,5,1,47,3.871201010907891,0,2,2,5,7,11,2.4849066497880004,0,2,1,4,1,1,0,22.0
6,10,7,15,9,9,48,3.8918202981106265,1,0,3,6,8,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,2,3,1.0
25,12,5,6,6,6,78,4.3694478524670215,1,0,3,1,8,46,3.8501476017100584,1,1,1,4,6,6,1.9459101490553132,1,0,1,6,6,2,1,10.0
11,3,12,5,5,5,47,3.871201010907891,0,2,2,5,7,35,3.58351893845611,0,2,0,0,5,13,2.6390573296152584,0,1,3,6,3,1,0,18.0
7,14,9,22,1,1,73,4.30406509320417,0,1,3,3,3,43,3.784189633918261,0,1,3,1,3,19,2.995732273553991,0,1,4,5,9,1,0,16.0
21,14,13,19,0,0,104,4.653960350157523,1,2,4,6,4,58,4.07753744390572,1,1,3,2,8,6,1.9459101490553132,1,0,1,6,6,2,0,9.0
21,14,25,12,2,2,125,4.836281906951478,0,2,0,6,5,65,4.189654742026425,0,2,0,2,5,15,2.772588722239781,0,0,0,1,5,5,0,10.0
12,1,23,21,8,8,69,4.248495242049359,0,0,4,6,9,33,3.5263605246161616,0,0,3,5,3,19,2.995732273553991,0,1,4,5,9,1,0,8.0
3,12,26,2,4,4,97,4.584967478670572,0,1,2,6,7,71,4.276666119016055,0,2,1,1,1,19,2.995732273553991,0,1,4,5,9,1,0,32.0
1,14,22,4,1,1,127,4.852030263919617,0,1,2,1,7,67,4.219507705176107,0,1,2,4,7,7,2.0794415416798357,0,1,2,0,7,1,0,7.0
22,25,4,7,5,5,34,3.5553480614894135,1,1,4,6,4,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,2,1,13.0
2,7,10,19,4,4,84,4.442651256490317,1,0,4,0,4,48,3.8918202981106265,1,0,3,6,8,16,2.833213344056216,1,1,1,2,6,4,1,14.0
9,19,21,25,4,4,115,4.7535901911063645,0,1,0,3,5,57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,1,1,1.0
4,10,24,9,8,8,23,3.1780538303479458,0,2,3,2,3,17,2.8903717578961645,0,2,2,3,7,17,2.8903717578961645,0,2,2,3,7,1,1,14.0
5,19,23,19,1,1,132,4.890349128221754,1,0,2,6,2,66,4.204692619390966,1,0,1,3,6,10,2.3978952727983707,1,1,0,3,0,2,1,5.0
6,15,13,18,2,2,41,3.7376696182833684,0,2,1,6,1,25,3.258096538021482,0,1,0,4,5,15,2.772588722239781,0,0,0,1,5,1,0,12.0
24,26,8,24,2,2,60,4.110873864173311,1,0,0,4,0,54,4.007333185232471,1,0,4,5,4,14,2.70805020110221,1,2,4,0,4,2,0,31.0
21,26,16,2,6,6,88,4.48863636973214,1,1,3,4,8,62,4.143134726391533,1,2,2,6,2,8,2.1972245773362196,1,2,3,1,8,2,1,22.0
24,20,10,14,7,7,81,4.406719247264253,0,0,1,4,1,67,4.219507705176107,0,1,2,4,7,9,2.302585092994046,0,0,4,2,9,1,1,31.0
18,9,16,23,5,5,115,4.7535901911063645,0,1,0,3,5,73,4.30406509320417,0,1,3,3,3,19,2.995732273553991,0,1,4,5,9,1,0,25.0
21,10,14,5,1,1,70,4.2626798770413155,1,1,0,0,0,36,3.6109179126442243,1,0,1,1,6,14,2.70805020110221,1,2,4,0,4,2,1,8.0
24,12,27,15,1,1,71,4.276666119016055,0,2,1,1,1,51,3.9512437185814275,0,0,1,2,1,13,2.6390573296152584,0,1,3,6,3,1,0,22.0
15,4,17,3,4,4,68,4.23410650459726,1,2,3,5,8,46,3.8501476017100584,1,1,1,4,6,16,2.833213344056216,1,1,1,2,6,2,0,20.0
5,14,13,3,7,7,154,5.043425116919247,1,1,4,0,4,76,4.343805421853684,1,1,1,6,6,18,2.9444389791664403,1,0,3,4,8,2,0,8.0
18,21,21,6,1,1,74,4.31748811353631,1,2,4,4,4,68,4.23410650459726,1,2,3,5,8,10,2.3978952727983707,1,1,0,3,0,2,0,36.0
10,15,15,8,3,3,90,4.51085950651685,1,0,0,6,0,40,3.713572066704308,1,1,0,5,0,12,2.5649493574615367,1,0,2,5,2,2,0,1.0
8,5,15,13,3,3,108,4.6913478822291435,1,0,3,3,8,62,4.143134726391533,1,2,2,6,2,12,2.5649493574615367,1,0,2,5,2,2,1,14.0
23,15,5,17,7,7,123,4.820281565605037,0,0,3,4,3,61,4.127134385045092,0,1,1,5,1,19,2.995732273553991,0,1,4,5,9,1,0,9.0
20,8,11,11,5,5,38,3.6635616461296463,1,2,3,3,8,32,3.4965075614664802,1,2,2,4,2,14,2.70805020110221,1,2,4,0,4,2,0,20.0
9,13,24,12,5,5,139,4.941642422609304,0,1,4,6,9,71,4.276666119016055,0,2,1,1,1,13,2.6390573296152584,0,1,3,6,3,1,0,8.0
15,10,11,14,1,1,69,4.248495242049359,0,0,4,6,9,55,4.02535169073515,0,1,0,6,5,17,2.8903717578961645,0,2,2,3,7,1,0,29.0
18,11,10,20,2,2,104,4.653960350157523,1,2,4,6,4,62,4.143134726391533,1,2,2,6,2,18,2.9444389791664403,1,0,3,4,8,2,0,19.0
26,15,18,0,8,8,82,4.418840607796598,1,1,2,5,2,72,4.290459441148391,1,0,2,2,2,16,2.833213344056216,1,1,1,2,6,2,0,39.0
4,0,11,3,9,9,47,3.871201010907891,0,2,2,5,7,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,1,0,13.0
19,9,27,13,8,8,80,4.394449154672439,1,2,0,3,0,36,3.6109179126442243,1,0,1,1,6,20,3.044522437723423,1,2,0,6,0,4,1,6.0
23,9,16,1,4,4,109,4.700480365792417,0,1,4,4,9,67,4.219507705176107,0,1,2,4,7,9,2.302585092994046,0,0,4,2,9,1,0,17.0
3,12,15,0,5,5,151,5.0238805208462765,0,1,1,4,1,71,4.276666119016055,0,2,1,1,1,11,2.4849066497880004,0,2,1,4,1,1,0,1.0
6,19,11,18,8,8,79,4.382026634673881,0,1,4,2,9,61,4.127134385045092,0,1,1,5,1,15,2.772588722239781,0,0,0,1,5,1,0,29.0
2,4,1,20,8,8,119,4.787491742782046,0,2,4,0,9,65,4.189654742026425,0,2,0,2,5,15,2.772588722239781,0,0,0,1,5,1,0,13.0
2,2,7,25,3,3,25,3.258096538021482,0,1,0,4,5,15,2.772588722239781,0,0,0,1,5,9,2.302585092994046,0,0,4,2,9,1,0,7.0
1,25,19,17,1,1,49,3.912023005428146,0,1,4,0,9,37,3.6375861597263857,0,1,2,2,7,5,1.791759469228055,0,2,0,5,5,1,0,15.0
5,12,24,23,3,3,74,4.31748811353631,1,2,4,4,4,36,3.6109179126442243,1,0,1,1,6,16,2.833213344056216,1,1,1,2,6,2,0,7.0
20,15,12,5,2,2,85,4.454347296253507,0,1,0,1,5,43,3.784189633918261,0,1,3,1,3,11,2.4849066497880004,0,2,1,4,1,1,0,6.0
12,23,12,21,4,4,57,4.060443010546419,0,0,2,1,7,43,3.784189633918261,0,1,3,1,3,17,2.8903717578961645,0,2,2,3,7,1,0,23.0
23,5,13,20,2,2,77,4.356708826689592,0,2,2,0,7,51,3.9512437185814275,0,0,1,2,1,9,2.302585092994046,0,0,4,2,9,1,0,17.0
8,4,9,10,3,3,88,4.48863636973214,1,1,3,4,8,66,4.204692619390966,1,0,1,3,6,10,2.3978952727983707,1,1,0,3,0,2,0,27.0
6,7,14,11,7,7,83,4.430816798843313,0,2,3,6,3,69,4.248495242049359,0,0,4,6,9,19,2.995732273553991,0,1,4,5,9,1,0,37.0
25,7,5,25,1,1,129,4.867534450455582,0,0,4,3,9,71,4.276666119016055,0,2,1,1,1,11,2.4849066497880004,0,2,1,4,1,1,0,12.0
7,27,21,25,7,7,56,4.04305126783455,1,2,1,0,6,24,3.2188758248682006,1,0,4,3,4,20,3.044522437723423,1,2,0,6,0,4,0,6.0
4,1,16,19,2,2,55,4.02535169073515,0,1,0,6,5,33,3.5263605246161616,0,0,3,5,3,11,2.4849066497880004,0,2,1,4,1,11,2,11.0
0,9,26,2,7,7,110,4.709530201312334,1,2,0,5,0,60,4.110873864173311,1,0,0,4,0,18,2.9444389791664403,1,0,3,4,8,2,0,14.0
12,8,12,8,5,5,74,4.31748811353631,1,2,4,4,4,32,3.4965075614664802,1,2,2,4,2,18,2.9444389791664403,1,0,3,4,8,2,0,4.0
6,7,11,1,6,6,42,3.7612001156935624,1,0,2,0,2,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,2,2,2,2,2,2,16.0
21,17,26,7,3,3,88,4.48863636973214,1,1,3,4,8,68,4.23410650459726,1,2,3,5,8,20,3.044522437723423,1,2,0,6,0,4,0,34.0
10,8,21,14,1,1,41,3.7376696182833684,0,2,1,6,1,31,3.4657359027997265,0,1,1,3,1,3,1.3862943611198906,0,0,3,3,3,1,0,12.0
1,13,0,12,1,1,110,4.709530201312334,1,2,0,5,0,64,4.174387269895637,1,1,4,1,4,12,2.5649493574615367,1,0,2,5,2,2,0,15.0
8,19,24,17,8,8,68,4.23410650459726,1,2,3,5,8,58,4.07753744390572,1,1,3,2,8,12,2.5649493574615367,1,0,2,5,2,2,0,30.0
17,4,26,6,4,4,124,4.8283137373023015,1,1,4,5,4,56,4.04305126783455,1,2,1,0,6,14,2.70805020110221,1,2,4,0,4,2,1,1.0
26,6,13,7,0,0,22,3.1354942159291497,1,1,2,1,2,14,2.70805020110221,1,2,4,0,4,10,2.3978952727983707,1,1,0,3,0,2,0,8.0
16,17,15,27,7,7,64,4.174387269895637,1,1,4,1,4,36,3.6109179126442243,1,0,1,1,6,10,2.3978952727983707,1,1,0,3,0,2,0,9.0
23,11,18,1,6,6,94,4.553876891600541,1,1,4,3,4,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,2,2,2.0
17,15,11,8,2,2,104,4.653960350157523,1,2,4,6,4,66,4.204692619390966,1,0,1,3,6,8,2.1972245773362196,1,2,3,1,8,2,1,18.0
15,10,8,16,6,6,97,4.584967478670572,0,1,2,6,7,49,3.912023005428146,0,1,4,0,9,19,2.995732273553991,0,1,4,5,9,1,0,10.0
9,26,5,23,6,6,103,4.6443908991413725,0,1,3,5,3,55,4.02535169073515,0,1,0,6,5,3,1.3862943611198906,0,0,3,3,3,1,0,5.0
22,0,14,27,1,1,74,4.31748811353631,1,2,4,4,4,46,3.8501476017100584,1,1,1,4,6,2,1.0986122886681098,1,2,2,2,2,2,2,10.0
10,17,14,1,4,4,41,3.7376696182833684,0,2,1,6,1,31,3.4657359027997265,0,1,1,3,1,15,2.772588722239781,0,0,0,1,5,1,0,18.0
24,9,12,16,5,5,112,4.727387818712341,1,1,2,0,2,66,4.204692619390966,1,0,1,3,6,10,2.3978952727983707,1,1,0,3,0,2,0,15.0
19,15,11,14,7,7,82,4.418840607796598,1,1,2,5,2,54,4.007333185232471,1,0,4,5,4,16,2.833213344056216,1,1,1,2,6,2,0,21.0
15,13,0,15,0,0,89,4.499809670330265,0,2,4,5,9,47,3.871201010907891,0,2,2,5,7,11,2.4849066497880004,0,2,1,4,1,1,0,8.0
0,0,12,9,9,9,60,4.110873864173311,1,0,0,4,0,34,3.5553480614894135,1,1,4,6,4,12,2.5649493574615367,1,0,2,5,2,2,1,10.0
18,11,0,14,1,1,61,4.127134385045092,0,1,1,5,1,39,3.6888794541139363,0,0,4,4,9,7,2.0794415416798357,0,1,2,0,7,1,0,12.0
24,25,6,18,5,5,69,4.248495242049359,0,0,4,6,9,39,3.6888794541139363,0,0,4,4,9,7,2.0794415416798357,0,1,2,0,7,1,0,8.0
9,4,23,18,2,2,151,5.0238805208462765,0,1,1,4,1,71,4.276666119016055,0,2,1,1,1,13,2.6390573296152584,0,1,3,6,3,1,0,2.0
14,18,3,21,3,3,73,4.30406509320417,0,1,3,3,3,57,4.060443010546419,0,0,2,1,7,7,2.0794415416798357,0,1,2,0,7,1,0,24.0
