slot_provider_name,slot_cost_cents,slot_cost_cents_abs_log1p,slot_cost_cents_is_even,slot_cost_cents_mod3,slot_cost_cents_mod7,slot_cost_cents_mod10,slot_c1,slot_c1_abs_log1p,slot_c1_sign,slot_c1_is_even,slot_c1_mod3,slot_c1_mod5,slot_c1_mod7,slot_c1_mod10,slot_u1,slot_u1_abs_log1p,slot_u1_is_even,slot_u1_mod3,slot_u1_mod5,slot_u1_mod7,slot_u1_mod10,slot_c2,slot_c2_abs_log1p,slot_c2_sign,slot_c2_is_even,slot_c2_mod3,slot_c2_mod5,slot_c2_mod7,slot_c2_mod10,slot_u2,slot_u2_abs_log1p,slot_u2_is_even,slot_u2_mod3,slot_u2_mod5,slot_u2_mod7,slot_u2_mod10,slot_c3,slot_c3_abs_log1p,slot_c3_sign,slot_c3_is_even,slot_c3_mod3,slot_c3_mod5,slot_c3_mod7,slot_c3_mod10,slot_u3,slot_u3_abs_log1p,slot_u3_is_even,slot_u3_mod3,slot_u3_mod5,slot_u3_mod7,slot_u3_mod10,gcd_all,n_multiple_pairs,y
6,20,3.044522437723423,1,2,6,0,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,1,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,1,14,5.4
6,25,3.258096538021482,0,1,4,5,18,2.9444389791664403,1,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,1,11,19.5
2,30,3.4339872044851463,1,0,2,0,17,2.8903717578961645,1,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,18,2.9444389791664403,1,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,9,42.9
0,50,3.9318256327243257,1,2,1,0,11,2.4849066497880004,1,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,1,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,15,2.772588722239781,1,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,1,10,36.0
4,40,3.713572066704308,1,1,5,0,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,11,2.4849066497880004,1,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,1,9,10.0
6,30,3.4339872044851463,1,0,2,0,20,3.044522437723423,1,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,1,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,1,9,29.1
2,35,3.58351893845611,0,2,0,5,4,1.6094379124341003,1,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,1,7,34.3
0,50,3.9318256327243257,1,2,1,0,10,2.3978952727983707,1,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,1,7,17.0
1,25,3.258096538021482,0,1,4,5,11,2.4849066497880004,1,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,1,12,12.75
0,15,2.772588722239781,0,0,1,5,8,2.1972245773362196,1,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,1,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,10,8.55
4,15,2.772588722239781,0,0,1,5,13,2.6390573296152584,1,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,13,2.6390573296152584,1,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,3,19.65
0,20,3.044522437723423,1,2,6,0,4,1.6094379124341003,1,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,18,2.9444389791664403,1,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,19,2.995732273553991,1,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,1,10,18.2
0,15,2.772588722239781,0,0,1,5,16,2.833213344056216,1,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,1,13,31.2
7,5,1.791759469228055,0,2,5,5,20,3.044522437723423,1,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,16,2.833213344056216,1,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,1,10,6.3
7,5,1.791759469228055,0,2,5,5,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,20,3.044522437723423,1,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,1,11,4.5
1,15,2.772588722239781,0,0,1,5,8,2.1972245773362196,1,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,1,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,1,6,9.15
0,30,3.4339872044851463,1,0,2,0,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,18,2.9444389791664403,1,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,2,12,12.0
2,35,3.58351893845611,0,2,0,5,11,2.4849066497880004,1,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,1,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,19,2.995732273553991,1,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,1,3,34.3
1,5,1.791759469228055,0,2,5,5,5,1.791759469228055,1,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,1,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,1,13,1.4
2,10,2.3978952727983707,1,1,3,0,7,2.0794415416798357,1,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,19,2.995732273553991,1,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,3,8.6
0,40,3.713572066704308,1,1,5,0,1,0.6931471805599453,1,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,1,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,16,20.0
0,35,3.58351893845611,0,2,0,5,17,2.8903717578961645,1,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,17,2.8903717578961645,1,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,11,2.4849066497880004,1,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,1,8,39.55
3,5,1.791759469228055,0,2,5,5,18,2.9444389791664403,1,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,17,2.8903717578961645,1,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,1,9,7.15
3,40,3.713572066704308,1,1,5,0,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,15,2.772588722239781,1,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,1,7,45.2
6,25,3.258096538021482,0,1,4,5,9,2.302585092994046,1,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,19,2.995732273553991,1,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,1,6,24.0
6,50,3.9318256327243257,1,2,1,0,9,2.302585092994046,1,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,13,2.6390573296152584,1,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,1,9,24.0
5,10,2.3978952727983707,1,1,3,0,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,1,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,0,1,1,1,1,1,9,3.6
5,35,3.58351893845611,0,2,0,5,14,2.70805020110221,1,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,1,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,6,23.45
2,25,3.258096538021482,0,1,4,5,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,17,2.8903717578961645,1,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,1,5,31.5
0,50,3.9318256327243257,1,2,1,0,7,2.0794415416798357,1,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,1,8,27.5
5,25,3.258096538021482,0,1,4,5,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,1,9,17.0
7,50,3.9318256327243257,1,2,1,0,13,2.6390573296152584,1,0,1,3,6,3,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,1,10,7.5
6,35,3.58351893845611,0,2,0,5,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,1,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,8,13.65
5,25,3.258096538021482,0,1,4,5,3,1.3862943611198906,1,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,11,8.75
1,5,1.791759469228055,0,2,5,5,4,1.6094379124341003,1,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,17,2.8903717578961645,1,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,13,2.6390573296152584,1,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,3,6.15
5,40,3.713572066704308,1,1,5,0,5,1.791759469228055,1,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,18,2.9444389791664403,1,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,1,10,35.2
7,10,2.3978952727983707,1,1,3,0,5,1.791759469228055,1,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,1,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,18,2.6
4,10,2.3978952727983707,1,1,3,0,9,2.302585092994046,1,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,4,4.7
6,25,3.258096538021482,0,1,4,5,9,2.302585092994046,1,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,1,14,6.5
6,20,3.044522437723423,1,2,6,0,8,2.1972245773362196,1,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,1,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,8,13.6
0,10,2.3978952727983707,1,1,3,0,17,2.8903717578961645,1,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,1,13,10.2
7,25,3.258096538021482,0,1,4,5,2,1.0986122886681098,1,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,1,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,10,16.5
4,5,1.791759469228055,0,2,5,5,16,2.833213344056216,1,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,0,1,1,1,1,1,10,4.4
0,15,2.772588722239781,0,0,1,5,10,2.3978952727983707,1,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,1,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,1,10,14.1
6,10,2.3978952727983707,1,1,3,0,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,2,2,2,2,16,2.833213344056216,1,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,2,14,3.6
2,40,3.713572066704308,1,1,5,0,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,1,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1,10,4.0
