slot_name,slot_monthly_qty,slot_monthly_qty_abs_log1p,slot_monthly_qty_is_even,slot_monthly_qty_mod3,slot_monthly_qty_mod5,slot_monthly_qty_mod7,slot_monthly_qty_mod10,slot_annual_spend,slot_annual_spend_abs_log1p,slot_annual_spend_mod7,slot_currency,slot_item_singular,slot_item_plural,gcd_all,y
4,11,2.4849066497880004,0,2,1,4,1,21780,9.988793309115229,3,0,3,3,11,165.0
8,10,2.3978952727983707,1,1,0,3,0,22800,10.034559673629849,1,3,8,8,10,190.0
5,2,1.0986122886681098,1,2,2,2,2,6840,8.830689198760998,1,5,8,8,2,285.0
8,2,1.0986122886681098,1,2,2,2,2,2400,7.783640596221253,6,5,1,1,2,100.0
7,5,1.791759469228055,0,2,0,5,5,3300,8.101980731853192,3,2,2,2,5,55.0
8,1,0.6931471805599453,0,1,1,1,1,1380,7.2305631534092925,1,1,6,6,1,115.0
7,9,2.302585092994046,0,0,4,2,9,10800,9.287394001418473,6,5,7,7,9,100.0
7,10,2.3978952727983707,1,1,0,3,0,23400,10.060534035475412,6,1,8,8,10,195.0
2,2,1.0986122886681098,1,2,2,2,2,4200,8.343077871169383,0,1,0,0,2,175.0
1,3,1.3862943611198906,0,0,3,3,3,1080,6.985641817639208,2,5,5,5,3,30.0
4,4,1.6094379124341003,1,1,4,4,4,6000,8.699681400989514,1,2,10,10,4,125.0
8,10,2.3978952727983707,1,1,0,3,0,15600,9.65509029374725,4,0,9,9,10,130.0
1,3,1.3862943611198906,0,0,3,3,3,10800,9.287394001418473,6,4,7,7,3,300.0
6,1,0.6931471805599453,0,1,1,1,1,60,4.110873864173311,4,0,5,5,1,5.0
1,10,2.3978952727983707,1,1,0,3,0,13200,9.488047863280759,5,3,6,6,10,110.0
0,2,1.0986122886681098,1,2,2,2,2,2880,7.9658927350845286,3,2,4,4,2,120.0
5,9,2.302585092994046,0,0,4,2,9,29160,10.280587479087396,5,0,3,3,9,270.0
9,4,1.6094379124341003,1,1,4,4,4,4560,8.4252971767117,3,6,0,0,4,95.0
8,4,1.6094379124341003,1,1,4,4,4,13440,9.506065016071148,0,3,6,6,4,280.0
1,1,0.6931471805599453,0,1,1,1,1,1560,7.353081920515432,6,1,2,2,1,130.0
4,6,1.9459101490553132,1,0,1,6,6,13680,9.523763287920113,2,5,3,3,6,190.0
2,1,0.6931471805599453,0,1,1,1,1,3480,8.15507488781144,1,5,9,9,1,290.0
9,4,1.6094379124341003,1,1,4,4,4,960,6.8679744089702925,1,6,10,10,4,20.0
0,3,1.3862943611198906,0,0,3,3,3,10800,9.287394001418473,6,0,1,1,3,300.0
5,4,1.6094379124341003,1,1,4,4,4,11760,9.372544251851037,0,3,9,9,4,245.0
0,5,1.791759469228055,0,2,0,5,5,10200,9.23024103368252,1,6,0,0,5,170.0
0,4,1.6094379124341003,1,1,4,4,4,7680,8.946505025998682,1,2,5,5,4,160.0
9,10,2.3978952727983707,1,1,0,3,0,27600,10.225607282932941,6,5,1,1,10,230.0
4,5,1.791759469228055,0,2,0,5,5,8400,9.036106025364846,0,2,3,3,5,140.0
9,10,2.3978952727983707,1,1,0,3,0,9600,9.169622538697624,3,6,0,0,10,80.0
2,9,2.302585092994046,0,0,4,2,9,15120,9.623839785112668,0,4,0,0,9,140.0
7,12,2.5649493574615367,1,0,2,5,2,41040,10.62232684601953,6,3,3,3,12,285.0
6,8,2.1972245773362196,1,2,3,1,8,24000,10.085850775128717,4,6,0,0,8,250.0
5,6,1.9459101490553132,1,0,1,6,6,21600,9.980494888896912,5,0,5,5,6,300.0
4,6,1.9459101490553132,1,0,1,6,6,11880,9.382695764458287,1,5,8,8,6,165.0
4,4,1.6094379124341003,1,1,4,4,4,13200,9.488047863280759,5,7,4,4,4,275.0
6,3,1.3862943611198906,0,0,3,3,3,4320,8.371242135931933,1,1,8,8,3,120.0
9,6,1.9459101490553132,1,0,1,6,6,17640,9.777981017296407,0,3,4,4,6,245.0
9,2,1.0986122886681098,1,2,2,2,2,5160,8.548885638148727,1,7,4,4,2,215.0
6,4,1.6094379124341003,1,1,4,4,4,5760,8.658866349732383,6,3,7,7,4,120.0
2,2,1.0986122886681098,1,2,2,2,2,3000,8.006700845440367,4,7,0,0,2,125.0
8,2,1.0986122886681098,1,2,2,2,2,1320,7.186144304522325,4,1,3,3,2,55.0
5,4,1.6094379124341003,1,1,4,4,4,3360,8.119993827725105,0,6,5,5,4,70.0
0,5,1.791759469228055,0,2,0,5,5,300,5.707110264748875,6,6,9,9,5,5.0
2,10,2.3978952727983707,1,1,0,3,0,33600,10.422311107413181,0,3,9,9,10,280.0
6,11,2.4849066497880004,0,2,1,4,1,15840,9.670356794688852,6,3,0,0,11,120.0
4,2,1.0986122886681098,1,2,2,2,2,4680,8.45126704130007,4,4,2,2,2,195.0
3,1,0.6931471805599453,0,1,1,1,1,3240,8.083637203141548,6,2,7,7,1,270.0
1,3,1.3862943611198906,0,0,3,3,3,5400,8.594339400592892,3,1,2,2,3,150.0
2,3,1.3862943611198906,0,0,3,3,3,2700,7.901377353792616,5,4,1,1,3,75.0
6,5,1.791759469228055,0,2,0,5,5,11700,9.367429587218957,3,6,8,8,5,195.0
5,4,1.6094379124341003,1,1,4,4,4,9840,9.194312610898985,5,1,6,6,4,205.0
4,10,2.3978952727983707,1,1,0,3,0,24000,10.085850775128717,4,0,6,6,10,200.0
6,11,2.4849066497880004,0,2,1,4,1,39600,10.586609649448985,1,6,4,4,11,300.0
6,9,2.302585092994046,0,0,4,2,9,16200,9.692828247710418,2,2,0,0,9,150.0
9,7,2.0794415416798357,0,1,2,0,7,21000,9.952325334619427,0,6,8,8,7,250.0
6,8,2.1972245773362196,1,2,3,1,8,1920,7.560601162768557,2,2,6,6,8,20.0
9,12,2.5649493574615367,1,0,2,5,2,12240,9.412546252075513,4,5,4,4,12,85.0
5,8,2.1972245773362196,1,2,3,1,8,8640,9.0642735958414,2,5,4,4,8,90.0
2,9,2.302585092994046,0,0,4,2,9,31860,10.369137970290991,3,6,9,9,9,295.0
3,3,1.3862943611198906,0,0,3,3,3,10260,9.236105579862208,5,0,0,0,3,285.0
2,2,1.0986122886681098,1,2,2,2,2,3600,8.188966863648876,2,7,4,4,2,150.0
7,10,2.3978952727983707,1,1,0,3,0,18000,9.798182590890704,3,3,3,3,10,150.0
1,4,1.6094379124341003,1,1,4,4,4,8160,9.007121989469242,5,3,2,2,4,170.0
4,1,0.6931471805599453,0,1,1,1,1,3360,8.119993827725105,0,3,2,2,1,280.0
0,6,1.9459101490553132,1,0,1,6,6,19800,9.893487720457795,4,1,4,4,6,275.0
3,5,1.791759469228055,0,2,0,5,5,12900,9.465060106725137,6,3,4,4,5,215.0
9,8,2.1972245773362196,1,2,3,1,8,2400,7.783640596221253,6,7,5,5,8,25.0
8,7,2.0794415416798357,0,1,2,0,7,8820,9.084890521258767,0,2,0,0,7,105.0
6,12,2.5649493574615367,1,0,2,5,2,8640,9.0642735958414,2,3,4,4,12,60.0
6,12,2.5649493574615367,1,0,2,5,2,37440,10.530521639636548,4,3,1,1,12,260.0
2,6,1.9459101490553132,1,0,1,6,6,14400,9.575052927597383,1,3,0,0,6,200.0
6,4,1.6094379124341003,1,1,4,4,4,1440,7.273092595999522,5,1,6,6,4,30.0
7,12,2.5649493574615367,1,0,2,5,2,35280,10.471099854390227,0,5,3,3,12,245.0
3,4,1.6094379124341003,1,1,4,4,4,9840,9.194312610898985,5,7,6,6,4,205.0
6,2,1.0986122886681098,1,2,2,2,2,5880,8.679482094459956,0,5,5,5,2,245.0
1,7,2.0794415416798357,0,1,2,0,7,25200,10.134638955251866,0,0,0,0,7,300.0
8,6,1.9459101490553132,1,0,1,6,6,11880,9.382695764458287,1,0,1,1,6,165.0
4,12,2.5649493574615367,1,0,2,5,2,17280,9.757362911053992,4,1,4,4,12,120.0
3,7,2.0794415416798357,0,1,2,0,7,2940,7.9865049385539955,0,2,7,7,7,35.0
1,12,2.5649493574615367,1,0,2,5,2,18000,9.798182590890704,3,6,10,10,12,125.0
9,11,2.4849066497880004,0,2,1,4,1,36300,10.499600568082863,5,3,5,5,11,275.0
4,7,2.0794415416798357,0,1,2,0,7,5460,8.605387202152153,0,1,8,8,7,65.0
7,12,2.5649493574615367,1,0,2,5,2,12960,9.469700127423375,3,1,7,7,12,90.0
5,3,1.3862943611198906,0,0,3,3,3,720,6.580639137284949,6,3,9,9,3,20.0
0,1,0.6931471805599453,0,1,1,1,1,1440,7.273092595999522,5,5,7,7,1,120.0
0,4,1.6094379124341003,1,1,4,4,4,3840,8.253488028345904,4,1,8,8,4,80.0
2,6,1.9459101490553132,1,0,1,6,6,7560,8.93075873555827,0,2,1,1,6,105.0
1,10,2.3978952727983707,1,1,0,3,0,4800,8.476579508530941,5,5,0,0,10,40.0
7,9,2.302585092994046,0,0,4,2,9,27540,10.223431082444048,2,1,8,8,9,255.0
7,4,1.6094379124341003,1,1,4,4,4,4560,8.4252971767117,3,2,0,0,4,95.0
1,3,1.3862943611198906,0,0,3,3,3,900,6.803505257608338,4,6,1,1,3,25.0
6,9,2.302585092994046,0,0,4,2,9,2700,7.901377353792616,5,3,9,9,9,25.0
2,12,2.5649493574615367,1,0,2,5,2,33120,10.407922801280105,3,0,7,7,12,230.0
2,8,2.1972245773362196,1,2,3,1,8,960,6.8679744089702925,1,7,5,5,8,10.0
5,6,1.9459101490553132,1,0,1,6,6,3240,8.083637203141548,6,6,4,4,6,45.0
7,3,1.3862943611198906,0,0,3,3,3,3960,8.284251797621916,5,0,3,3,3,110.0
5,10,2.3978952727983707,1,1,0,3,0,4200,8.343077871169383,0,0,0,0,10,35.0
9,9,2.302585092994046,0,0,4,2,9,23220,10.05281232064669,1,4,7,7,9,215.0
6,8,2.1972245773362196,1,2,3,1,8,19680,9.887408982323437,3,6,2,2,8,205.0
0,12,2.5649493574615367,1,0,2,5,2,2160,7.6783263565068856,4,5,5,5,12,15.0
6,10,2.3978952727983707,1,1,0,3,0,13200,9.488047863280759,5,3,4,4,10,110.0
9,7,2.0794415416798357,0,1,2,0,7,25200,10.134638955251866,0,0,2,2,7,300.0
1,6,1.9459101490553132,1,0,1,6,6,9000,9.105090961257085,5,3,3,3,6,125.0
5,11,2.4849066497880004,0,2,1,4,1,20460,9.92627591416656,6,5,7,7,11,155.0
1,4,1.6094379124341003,1,1,4,4,4,5280,8.571870752706934,2,1,10,10,4,110.0
1,2,1.0986122886681098,1,2,2,2,2,4800,8.476579508530941,5,2,10,10,2,200.0
8,5,1.791759469228055,0,2,0,5,5,3000,8.006700845440367,4,4,7,7,5,50.0
5,9,2.302585092994046,0,0,4,2,9,20520,9.929204031040765,3,0,9,9,9,190.0
7,3,1.3862943611198906,0,0,3,3,3,8460,9.0432226489245,4,2,7,7,3,235.0
8,4,1.6094379124341003,1,1,4,4,4,13680,9.523763287920113,2,1,10,10,4,285.0
0,11,2.4849066497880004,0,2,1,4,1,1980,7.591357046698551,6,6,4,4,11,15.0
9,9,2.302585092994046,0,0,4,2,9,540,6.293419278846481,1,2,8,8,9,5.0
4,10,2.3978952727983707,1,1,0,3,0,9600,9.169622538697624,3,6,4,4,10,80.0
6,1,0.6931471805599453,0,1,1,1,1,420,6.042632833682381,0,2,1,1,1,35.0
3,3,1.3862943611198906,0,0,3,3,3,2520,7.83241092718792,0,2,8,8,3,70.0
6,12,2.5649493574615367,1,0,2,5,2,43200,10.673618922112436,3,3,10,10,12,300.0
5,10,2.3978952727983707,1,1,0,3,0,15000,9.61587214452889,6,3,10,10,10,125.0
5,11,2.4849066497880004,0,2,1,4,1,11220,9.325542301664866,6,6,3,3,11,85.0
5,1,0.6931471805599453,0,1,1,1,1,420,6.042632833682381,0,7,5,5,1,35.0
8,3,1.3862943611198906,0,0,3,3,3,4860,8.488999457045455,2,4,1,1,3,135.0
1,2,1.0986122886681098,1,2,2,2,2,5520,8.616314282284044,4,6,0,0,2,230.0
5,2,1.0986122886681098,1,2,2,2,2,600,6.398594934535208,5,2,2,2,2,25.0
6,4,1.6094379124341003,1,1,4,4,4,4080,8.314097335405807,6,3,8,8,4,85.0
5,11,2.4849066497880004,0,2,1,4,1,36960,10.517618581666662,0,0,9,9,11,280.0
1,6,1.9459101490553132,1,0,1,6,6,13680,9.523763287920113,2,1,4,4,6,190.0
9,12,2.5649493574615367,1,0,2,5,2,4320,8.371242135931933,1,1,3,3,12,30.0
1,12,2.5649493574615367,1,0,2,5,2,29520,10.292857153479407,1,6,10,10,12,205.0
7,9,2.302585092994046,0,0,4,2,9,17280,9.757362911053992,4,5,1,1,9,160.0
5,6,1.9459101490553132,1,0,1,6,6,10800,9.287394001418473,6,2,9,9,6,150.0
9,6,1.9459101490553132,1,0,1,6,6,13320,9.497097016351463,6,1,1,1,6,185.0
6,11,2.4849066497880004,0,2,1,4,1,38280,10.552708968527668,4,5,8,8,11,290.0
6,5,1.791759469228055,0,2,0,5,5,13800,9.53249633228804,3,3,0,0,5,230.0
5,11,2.4849066497880004,0,2,1,4,1,30360,10.320914169043537,1,1,7,7,11,230.0
7,8,2.1972245773362196,1,2,3,1,8,17280,9.757362911053992,4,3,5,5,8,180.0
2,12,2.5649493574615367,1,0,2,5,2,14400,9.575052927597383,1,7,8,8,12,100.0
2,1,0.6931471805599453,0,1,1,1,1,2880,7.9658927350845286,3,2,7,7,1,240.0
6,8,2.1972245773362196,1,2,3,1,8,8640,9.0642735958414,2,4,7,7,8,90.0
4,7,2.0794415416798357,0,1,2,0,7,10920,9.298442820197728,0,4,4,4,7,130.0
8,4,1.6094379124341003,1,1,4,4,4,480,6.175867270105761,4,5,9,9,4,10.0
9,4,1.6094379124341003,1,1,4,4,4,5040,8.525359754082631,0,5,6,6,4,105.0
7,7,2.0794415416798357,0,1,2,0,7,24780,10.117832509493988,0,7,9,9,7,295.0
0,10,2.3978952727983707,1,1,0,3,0,36000,10.491301994830229,6,2,3,3,10,300.0
3,9,2.302585092994046,0,0,4,2,9,20520,9.929204031040765,3,7,4,4,9,190.0
7,3,1.3862943611198906,0,0,3,3,3,9900,9.200391041122515,2,3,7,7,3,275.0
0,5,1.791759469228055,0,2,0,5,5,11700,9.367429587218957,3,5,0,0,5,195.0
9,2,1.0986122886681098,1,2,2,2,2,3600,8.188966863648876,2,2,4,4,2,150.0
6,3,1.3862943611198906,0,0,3,3,3,7380,8.906664409770052,2,0,9,9,3,205.0
1,4,1.6094379124341003,1,1,4,4,4,13440,9.506065016071148,0,0,1,1,4,280.0
3,3,1.3862943611198906,0,0,3,3,3,7920,8.97727273946428,3,7,3,3,3,220.0
0,11,2.4849066497880004,0,2,1,4,1,34320,10.443512690706546,6,7,5,5,11,260.0
3,3,1.3862943611198906,0,0,3,3,3,900,6.803505257608338,4,7,1,1,3,25.0
4,10,2.3978952727983707,1,1,0,3,0,30000,10.308985993422082,5,4,1,1,10,250.0
3,3,1.3862943611198906,0,0,3,3,3,7380,8.906664409770052,2,6,1,1,3,205.0
7,1,0.6931471805599453,0,1,1,1,1,1200,7.0909098220799835,3,7,0,0,1,100.0
6,10,2.3978952727983707,1,1,0,3,0,15000,9.61587214452889,6,1,6,6,10,125.0
3,2,1.0986122886681098,1,2,2,2,2,1440,7.273092595999522,5,3,1,1,2,60.0
3,6,1.9459101490553132,1,0,1,6,6,3240,8.083637203141548,6,7,9,9,6,45.0
9,12,2.5649493574615367,1,0,2,5,2,36720,10.51110407747908,5,6,6,6,12,255.0
9,9,2.302585092994046,0,0,4,2,9,19980,9.902537101000133,2,5,3,3,9,185.0
1,12,2.5649493574615367,1,0,2,5,2,12240,9.412546252075513,4,2,4,4,12,85.0
1,6,1.9459101490553132,1,0,1,6,6,17640,9.777981017296407,0,3,4,4,6,245.0
7,8,2.1972245773362196,1,2,3,1,8,7680,8.946505025998682,1,2,8,8,8,80.0
6,2,1.0986122886681098,1,2,2,2,2,840,6.734591659972948,0,3,2,2,2,35.0
0,10,2.3978952727983707,1,1,0,3,0,16800,9.729193687429403,0,6,1,1,10,140.0
5,5,1.791759469228055,0,2,0,5,5,4500,8.412054873292933,6,0,9,9,5,75.0
5,10,2.3978952727983707,1,1,0,3,0,3000,8.006700845440367,4,1,2,2,10,25.0
8,3,1.3862943611198906,0,0,3,3,3,3780,8.237743803890933,0,6,3,3,3,105.0
1,3,1.3862943611198906,0,0,3,3,3,7380,8.906664409770052,2,3,3,3,3,205.0
2,4,1.6094379124341003,1,1,4,4,4,9360,9.144307401371744,1,1,2,2,4,195.0
5,6,1.9459101490553132,1,0,1,6,6,10080,9.218407743053941,0,2,4,4,6,140.0
3,6,1.9459101490553132,1,0,1,6,6,12600,9.441531454869693,0,2,1,1,6,175.0
3,1,0.6931471805599453,0,1,1,1,1,3060,8.026496938945412,1,1,6,6,1,255.0
1,6,1.9459101490553132,1,0,1,6,6,15840,9.670356794688852,6,7,10,10,6,220.0
0,2,1.0986122886681098,1,2,2,2,2,4680,8.45126704130007,4,6,6,6,2,195.0
8,8,2.1972245773362196,1,2,3,1,8,2400,7.783640596221253,6,5,9,9,8,25.0
0,11,2.4849066497880004,0,2,1,4,1,2640,7.878912912297133,1,0,2,2,11,20.0
8,2,1.0986122886681098,1,2,2,2,2,6240,8.738895704934043,3,2,0,0,2,260.0
5,4,1.6094379124341003,1,1,4,4,4,6960,8.848078421168667,2,6,7,7,4,145.0
2,4,1.6094379124341003,1,1,4,4,4,5040,8.525359754082631,0,1,2,2,4,105.0
8,7,2.0794415416798357,0,1,2,0,7,4620,8.438366410870266,0,2,4,4,7,55.0
0,7,2.0794415416798357,0,1,2,0,7,420,6.042632833682381,0,4,7,7,7,5.0
1,4,1.6094379124341003,1,1,4,4,4,12720,9.45100945015621,1,5,5,5,4,265.0
0,5,1.791759469228055,0,2,0,5,5,11700,9.367429587218957,3,3,3,3,5,195.0
8,5,1.791759469228055,0,2,0,5,5,12300,9.417435838868785,1,6,3,3,5,205.0
1,4,1.6094379124341003,1,1,4,4,4,13200,9.488047863280759,5,0,10,10,4,275.0
2,3,1.3862943611198906,0,0,3,3,3,1260,7.13966033596492,0,3,2,2,3,35.0
8,8,2.1972245773362196,1,2,3,1,8,1440,7.273092595999522,5,0,0,0,8,15.0
4,11,2.4849066497880004,0,2,1,4,1,17160,9.750394646402302,3,2,0,0,11,130.0
5,1,0.6931471805599453,0,1,1,1,1,540,6.293419278846481,1,7,8,8,1,45.0
0,2,1.0986122886681098,1,2,2,2,2,1320,7.186144304522325,4,2,1,1,2,55.0
6,3,1.3862943611198906,0,0,3,3,3,180,5.198497031265826,5,4,2,2,3,5.0
9,2,1.0986122886681098,1,2,2,2,2,4440,8.398634855292102,2,3,8,8,2,185.0
3,8,2.1972245773362196,1,2,3,1,8,12480,9.431962766918454,6,6,8,8,8,130.0
2,11,2.4849066497880004,0,2,1,4,1,7920,8.97727273946428,3,3,1,1,11,60.0
5,11,2.4849066497880004,0,2,1,4,1,25740,10.155840330434325,1,5,8,8,11,195.0
9,8,2.1972245773362196,1,2,3,1,8,18720,9.837401167408268,2,3,1,1,8,195.0
9,10,2.3978952727983707,1,1,0,3,0,12600,9.441531454869693,0,2,1,1,10,105.0
4,12,2.5649493574615367,1,0,2,5,2,35280,10.471099854390227,0,2,10,10,12,245.0
5,9,2.302585092994046,0,0,4,2,9,16200,9.692828247710418,2,1,0,0,9,150.0
3,12,2.5649493574615367,1,0,2,5,2,36720,10.51110407747908,5,3,5,5,12,255.0
7,10,2.3978952727983707,1,1,0,3,0,6000,8.699681400989514,1,2,7,7,10,50.0
7,5,1.791759469228055,0,2,0,5,5,2400,7.783640596221253,6,1,6,6,5,40.0
7,5,1.791759469228055,0,2,0,5,5,14400,9.575052927597383,1,6,8,8,5,240.0
6,9,2.302585092994046,0,0,4,2,9,17820,9.7881328161731,5,5,2,2,9,165.0
0,7,2.0794415416798357,0,1,2,0,7,12180,9.407632639699958,0,5,1,1,7,145.0
9,7,2.0794415416798357,0,1,2,0,7,15120,9.623839785112668,0,3,9,9,7,180.0
2,9,2.302585092994046,0,0,4,2,9,18900,9.846970109700957,0,6,2,2,9,175.0
4,2,1.0986122886681098,1,2,2,2,2,3960,8.284251797621916,5,2,10,10,2,165.0
5,2,1.0986122886681098,1,2,2,2,2,1680,7.427144133408616,0,3,10,10,2,70.0
4,3,1.3862943611198906,0,0,3,3,3,3780,8.237743803890933,0,4,6,6,3,105.0
8,1,0.6931471805599453,0,1,1,1,1,540,6.293419278846481,1,0,10,10,1,45.0
3,4,1.6094379124341003,1,1,4,4,4,8880,9.091669442258505,4,4,2,2,4,185.0
4,11,2.4849066497880004,0,2,1,4,1,31020,10.3424196734772,3,0,2,2,11,235.0
5,12,2.5649493574615367,1,0,2,5,2,41760,10.639718168629964,5,7,1,1,12,290.0
8,6,1.9459101490553132,1,0,1,6,6,2520,7.83241092718792,0,1,9,9,6,35.0
9,10,2.3978952727983707,1,1,0,3,0,600,6.398594934535208,5,3,8,8,10,5.0
5,7,2.0794415416798357,0,1,2,0,7,20580,9.93212359907246,0,4,1,1,7,245.0
0,4,1.6094379124341003,1,1,4,4,4,12240,9.412546252075513,4,7,4,4,4,255.0
6,7,2.0794415416798357,0,1,2,0,7,21840,9.991544216356411,0,3,2,2,7,260.0
7,8,2.1972245773362196,1,2,3,1,8,5280,8.571870752706934,2,0,0,0,8,55.0
5,3,1.3862943611198906,0,0,3,3,3,8280,9.0217190130337,6,0,4,4,3,230.0
7,10,2.3978952727983707,1,1,0,3,0,19200,9.862717639992917,6,1,6,6,10,160.0
4,3,1.3862943611198906,0,0,3,3,3,7920,8.97727273946428,3,7,2,2,3,220.0
3,3,1.3862943611198906,0,0,3,3,3,9540,9.163353580751846,6,4,8,8,3,265.0
0,4,1.6094379124341003,1,1,4,4,4,2880,7.9658927350845286,3,4,4,4,4,60.0
7,12,2.5649493574615367,1,0,2,5,2,1440,7.273092595999522,5,1,6,6,12,10.0
8,7,2.0794415416798357,0,1,2,0,7,21000,9.952325334619427,0,6,10,10,7,250.0
3,2,1.0986122886681098,1,2,2,2,2,6960,8.848078421168667,2,2,4,4,2,290.0
4,1,0.6931471805599453,0,1,1,1,1,600,6.398594934535208,5,6,4,4,1,50.0
2,7,2.0794415416798357,0,1,2,0,7,10080,9.218407743053941,0,4,6,6,7,120.0
1,5,1.791759469228055,0,2,0,5,5,10800,9.287394001418473,6,6,1,1,5,180.0
5,12,2.5649493574615367,1,0,2,5,2,33840,10.429428364110965,2,0,8,8,12,235.0
