slot_name_a,slot_name_b,slot_name_c,slot_base_count,slot_base_count_abs_log1p,slot_base_count_mod3,slot_base_count_mod5,slot_base_count_mod7,slot_base_count_mod10,slot_multiplier,slot_multiplier_abs_log1p,slot_multiplier_is_even,slot_multiplier_mod3,slot_multiplier_mod5,slot_multiplier_mod7,slot_multiplier_mod10,slot_item_plural,n_multiple_pairs,y
2,2,3,32,3.4965075614664802,2,2,4,2,9,2.302585092994046,0,0,4,2,9,3,4,112.0
3,4,10,44,3.8066624897703196,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,3,6,44.0
6,11,5,40,3.713572066704308,1,0,5,0,3,1.3862943611198906,0,0,3,3,3,4,4,20.0
11,4,7,46,3.8501476017100584,1,1,4,6,5,1.791759469228055,0,2,0,5,5,1,4,69.0
11,0,7,22,3.1354942159291497,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,1,5,44.0
5,7,6,34,3.5553480614894135,1,4,6,4,7,2.0794415416798357,0,1,2,0,7,1,4,85.0
10,0,9,32,3.4965075614664802,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,1,6,96.0
4,4,1,30,3.4339872044851463,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,3,6,60.0
7,2,7,16,2.833213344056216,1,1,2,6,9,2.302585092994046,0,0,4,2,9,0,4,56.0
5,1,0,56,4.04305126783455,2,1,0,6,3,1.3862943611198906,0,0,3,3,3,0,4,28.0
7,7,2,58,4.07753744390572,1,3,2,8,9,2.302585092994046,0,0,4,2,9,8,4,203.0
6,5,8,2,1.0986122886681098,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,8,4,5.0
3,0,3,2,1.0986122886681098,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,4,6,6.0
2,7,10,8,2.1972245773362196,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,0,4,4.0
6,11,8,10,2.3978952727983707,1,0,3,0,9,2.302585092994046,0,0,4,2,9,6,4,35.0
6,6,9,6,1.9459101490553132,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,2,5,3.0
7,8,7,12,2.5649493574615367,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,8,5,36.0
4,2,5,40,3.713572066704308,1,0,5,0,7,2.0794415416798357,0,1,2,0,7,6,4,100.0
2,3,2,46,3.8501476017100584,1,1,4,6,5,1.791759469228055,0,2,0,5,5,3,4,69.0
2,2,4,48,3.8918202981106265,0,3,6,8,3,1.3862943611198906,0,0,3,3,3,2,5,24.0
4,9,9,26,3.295836866004329,2,1,5,6,9,2.302585092994046,0,0,4,2,9,6,4,91.0
7,1,2,26,3.295836866004329,2,1,5,6,4,1.6094379124341003,1,1,4,4,4,2,5,26.0
1,1,10,54,4.007333185232471,0,4,5,4,8,2.1972245773362196,1,2,3,1,8,8,5,162.0
8,7,10,28,3.367295829986474,1,3,0,8,5,1.791759469228055,0,2,0,5,5,5,4,42.0
7,11,3,24,3.2188758248682006,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,5,6,24.0
1,0,5,46,3.8501476017100584,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,7,5,46.0
1,11,11,32,3.4965075614664802,2,2,4,2,3,1.3862943611198906,0,0,3,3,3,4,4,16.0
9,10,10,42,3.7612001156935624,0,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,5,105.0
11,10,7,42,3.7612001156935624,0,2,0,2,5,1.791759469228055,0,2,0,5,5,5,4,63.0
0,5,10,54,4.007333185232471,0,4,5,4,9,2.302585092994046,0,0,4,2,9,5,5,189.0
7,6,11,8,2.1972245773362196,2,3,1,8,5,1.791759469228055,0,2,0,5,5,7,4,12.0
4,7,9,26,3.295836866004329,2,1,5,6,4,1.6094379124341003,1,1,4,4,4,0,5,26.0
3,8,6,58,4.07753744390572,1,3,2,8,4,1.6094379124341003,1,1,4,4,4,0,5,58.0
2,8,9,56,4.04305126783455,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,6,6,56.0
8,7,11,22,3.1354942159291497,1,2,1,2,5,1.791759469228055,0,2,0,5,5,8,4,33.0
6,4,6,38,3.6635616461296463,2,3,3,8,5,1.791759469228055,0,2,0,5,5,7,4,57.0
0,10,11,36,3.6109179126442243,0,1,1,6,5,1.791759469228055,0,2,0,5,5,4,4,54.0
6,6,2,8,2.1972245773362196,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,6,4,20.0
0,9,5,40,3.713572066704308,1,0,5,0,5,1.791759469228055,0,2,0,5,5,5,5,60.0
5,5,10,54,4.007333185232471,0,4,5,4,8,2.1972245773362196,1,2,3,1,8,0,5,162.0
5,10,7,10,2.3978952727983707,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,2,4,25.0
2,3,6,16,2.833213344056216,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,5,4,40.0
2,9,0,42,3.7612001156935624,0,2,0,2,5,1.791759469228055,0,2,0,5,5,6,4,63.0
3,2,11,6,1.9459101490553132,0,1,6,6,9,2.302585092994046,0,0,4,2,9,9,4,21.0
8,7,2,46,3.8501476017100584,1,1,4,6,5,1.791759469228055,0,2,0,5,5,6,4,69.0
7,5,4,14,2.70805020110221,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,1,4,7.0
1,3,4,34,3.5553480614894135,1,4,6,4,5,1.791759469228055,0,2,0,5,5,9,4,51.0
3,10,0,2,1.0986122886681098,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,7,6,2.0
11,9,5,8,2.1972245773362196,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,9,4,4.0
4,7,10,6,1.9459101490553132,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,3,5,6.0
1,11,5,6,1.9459101490553132,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,3,4,15.0
5,11,2,54,4.007333185232471,0,4,5,4,4,1.6094379124341003,1,1,4,4,4,4,5,54.0
7,7,1,56,4.04305126783455,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,7,6,56.0
10,8,5,48,3.8918202981106265,0,3,6,8,9,2.302585092994046,0,0,4,2,9,8,4,168.0
10,4,2,12,2.5649493574615367,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,2,5,6.0
7,8,6,58,4.07753744390572,1,3,2,8,8,2.1972245773362196,1,2,3,1,8,0,5,174.0
10,2,9,8,2.1972245773362196,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,8,6,24.0
8,4,3,44,3.8066624897703196,2,4,2,4,8,2.1972245773362196,1,2,3,1,8,7,5,132.0
8,8,1,12,2.5649493574615367,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,5,6,24.0
7,8,6,26,3.295836866004329,2,1,5,6,7,2.0794415416798357,0,1,2,0,7,3,4,65.0
6,4,8,50,3.9318256327243257,2,0,1,0,6,1.9459101490553132,1,0,1,6,6,9,5,100.0
6,2,0,48,3.8918202981106265,0,3,6,8,7,2.0794415416798357,0,1,2,0,7,9,4,120.0
0,5,9,56,4.04305126783455,2,1,0,6,7,2.0794415416798357,0,1,2,0,7,6,5,140.0
6,6,9,52,3.970291913552122,1,2,3,2,8,2.1972245773362196,1,2,3,1,8,0,5,156.0
5,5,2,38,3.6635616461296463,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,4,5,114.0
0,8,6,54,4.007333185232471,0,4,5,4,4,1.6094379124341003,1,1,4,4,4,0,5,54.0
3,8,11,54,4.007333185232471,0,4,5,4,7,2.0794415416798357,0,1,2,0,7,1,4,135.0
7,1,11,22,3.1354942159291497,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,0,5,44.0
4,1,3,34,3.5553480614894135,1,4,6,4,6,1.9459101490553132,1,0,1,6,6,2,5,68.0
10,11,10,24,3.2188758248682006,0,4,3,4,9,2.302585092994046,0,0,4,2,9,7,4,84.0
8,2,7,52,3.970291913552122,1,2,3,2,8,2.1972245773362196,1,2,3,1,8,7,5,156.0
11,8,4,18,2.9444389791664403,0,3,4,8,9,2.302585092994046,0,0,4,2,9,0,5,63.0
11,1,0,58,4.07753744390572,1,3,2,8,8,2.1972245773362196,1,2,3,1,8,7,5,174.0
4,2,8,24,3.2188758248682006,0,4,3,4,9,2.302585092994046,0,0,4,2,9,4,4,84.0
8,11,1,20,3.044522437723423,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,2,5,60.0
9,10,6,36,3.6109179126442243,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,4,6,72.0
2,0,2,38,3.6635616461296463,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,0,5,114.0
0,0,2,2,1.0986122886681098,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,4,1.0
9,4,7,30,3.4339872044851463,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,5,5,30.0
10,4,1,58,4.07753744390572,1,3,2,8,6,1.9459101490553132,1,0,1,6,6,3,5,116.0
6,9,0,24,3.2188758248682006,0,4,3,4,9,2.302585092994046,0,0,4,2,9,1,4,84.0
0,4,2,38,3.6635616461296463,2,3,3,8,9,2.302585092994046,0,0,4,2,9,2,4,133.0
1,10,7,56,4.04305126783455,2,1,0,6,5,1.791759469228055,0,2,0,5,5,5,4,84.0
7,9,6,30,3.4339872044851463,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,6,5,90.0
7,8,10,2,1.0986122886681098,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,3,4,5.0
10,9,0,36,3.6109179126442243,0,1,1,6,8,2.1972245773362196,1,2,3,1,8,5,5,108.0
7,5,2,38,3.6635616461296463,2,3,3,8,7,2.0794415416798357,0,1,2,0,7,0,4,95.0
4,7,6,18,2.9444389791664403,0,3,4,8,8,2.1972245773362196,1,2,3,1,8,9,5,54.0
0,0,0,28,3.367295829986474,1,3,0,8,8,2.1972245773362196,1,2,3,1,8,0,5,84.0
1,5,10,34,3.5553480614894135,1,4,6,4,6,1.9459101490553132,1,0,1,6,6,1,5,68.0
3,5,8,38,3.6635616461296463,2,3,3,8,6,1.9459101490553132,1,0,1,6,6,8,5,76.0
4,4,3,16,2.833213344056216,1,1,2,6,5,1.791759469228055,0,2,0,5,5,2,4,24.0
8,9,0,40,3.713572066704308,1,0,5,0,8,2.1972245773362196,1,2,3,1,8,8,6,120.0
3,0,2,4,1.6094379124341003,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,3,4,10.0
5,11,7,10,2.3978952727983707,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,5,4,5.0
9,7,7,52,3.970291913552122,1,2,3,2,9,2.302585092994046,0,0,4,2,9,6,4,182.0
7,8,7,14,2.70805020110221,2,4,0,4,9,2.302585092994046,0,0,4,2,9,8,4,49.0
4,4,10,20,3.044522437723423,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,1,5,60.0
8,2,9,32,3.4965075614664802,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,1,6,32.0
9,7,6,46,3.8501476017100584,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,2,5,46.0
2,8,7,38,3.6635616461296463,2,3,3,8,7,2.0794415416798357,0,1,2,0,7,5,4,95.0
4,10,3,40,3.713572066704308,1,0,5,0,3,1.3862943611198906,0,0,3,3,3,1,4,20.0
6,1,5,32,3.4965075614664802,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,0,6,96.0
6,11,5,34,3.5553480614894135,1,4,6,4,8,2.1972245773362196,1,2,3,1,8,2,5,102.0
3,8,8,14,2.70805020110221,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,3,5,28.0
5,8,4,14,2.70805020110221,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,0,5,14.0
0,6,4,12,2.5649493574615367,0,2,5,2,5,1.791759469228055,0,2,0,5,5,4,4,18.0
9,3,0,44,3.8066624897703196,2,4,2,4,3,1.3862943611198906,0,0,3,3,3,7,4,22.0
10,3,0,20,3.044522437723423,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,2,5,40.0
8,4,7,30,3.4339872044851463,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,7,5,30.0
6,1,6,40,3.713572066704308,1,0,5,0,9,2.302585092994046,0,0,4,2,9,4,4,140.0
3,5,2,54,4.007333185232471,0,4,5,4,5,1.791759469228055,0,2,0,5,5,5,4,81.0
1,10,3,6,1.9459101490553132,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,4,5,6.0
0,3,4,42,3.7612001156935624,0,2,0,2,8,2.1972245773362196,1,2,3,1,8,9,5,126.0
3,11,11,48,3.8918202981106265,0,3,6,8,4,1.6094379124341003,1,1,4,4,4,4,6,48.0
11,1,9,12,2.5649493574615367,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,9,6,24.0
0,9,10,44,3.8066624897703196,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,4,6,44.0
8,3,11,44,3.8066624897703196,2,4,2,4,6,1.9459101490553132,1,0,1,6,6,4,5,88.0
3,2,6,28,3.367295829986474,1,3,0,8,5,1.791759469228055,0,2,0,5,5,4,4,42.0
4,4,4,44,3.8066624897703196,2,4,2,4,3,1.3862943611198906,0,0,3,3,3,3,4,22.0
6,9,7,32,3.4965075614664802,2,2,4,2,7,2.0794415416798357,0,1,2,0,7,8,4,80.0
3,2,5,48,3.8918202981106265,0,3,6,8,5,1.791759469228055,0,2,0,5,5,9,4,72.0
10,3,2,26,3.295836866004329,2,1,5,6,6,1.9459101490553132,1,0,1,6,6,8,5,52.0
8,9,4,20,3.044522437723423,2,0,6,0,9,2.302585092994046,0,0,4,2,9,4,4,70.0
3,2,11,58,4.07753744390572,1,3,2,8,6,1.9459101490553132,1,0,1,6,6,6,5,116.0
5,1,2,46,3.8501476017100584,1,1,4,6,3,1.3862943611198906,0,0,3,3,3,7,4,23.0
0,8,8,34,3.5553480614894135,1,4,6,4,9,2.302585092994046,0,0,4,2,9,0,4,119.0
2,2,4,8,2.1972245773362196,2,3,1,8,9,2.302585092994046,0,0,4,2,9,6,4,28.0
7,9,7,52,3.970291913552122,1,2,3,2,3,1.3862943611198906,0,0,3,3,3,2,4,26.0
1,9,8,38,3.6635616461296463,2,3,3,8,6,1.9459101490553132,1,0,1,6,6,5,5,76.0
2,3,2,50,3.9318256327243257,2,0,1,0,7,2.0794415416798357,0,1,2,0,7,3,4,125.0
11,3,5,54,4.007333185232471,0,4,5,4,5,1.791759469228055,0,2,0,5,5,1,4,81.0
5,2,11,34,3.5553480614894135,1,4,6,4,9,2.302585092994046,0,0,4,2,9,9,4,119.0
4,5,9,6,1.9459101490553132,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,5,6.0
2,1,6,2,1.0986122886681098,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,0,4,1.0
5,1,8,48,3.8918202981106265,0,3,6,8,7,2.0794415416798357,0,1,2,0,7,0,4,120.0
7,10,1,38,3.6635616461296463,2,3,3,8,6,1.9459101490553132,1,0,1,6,6,8,5,76.0
10,9,5,20,3.044522437723423,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,5,5,40.0
11,0,3,24,3.2188758248682006,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,3,5,12.0
10,2,5,8,2.1972245773362196,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,5,4,4.0
3,5,10,12,2.5649493574615367,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,5,4,30.0
7,1,11,56,4.04305126783455,2,1,0,6,7,2.0794415416798357,0,1,2,0,7,6,5,140.0
8,3,7,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,9,5,16.0
3,7,6,16,2.833213344056216,1,1,2,6,5,1.791759469228055,0,2,0,5,5,9,4,24.0
1,0,6,48,3.8918202981106265,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,9,6,96.0
11,2,6,38,3.6635616461296463,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,4,5,114.0
5,4,0,38,3.6635616461296463,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,6,5,38.0
7,5,6,34,3.5553480614894135,1,4,6,4,8,2.1972245773362196,1,2,3,1,8,5,5,102.0
11,1,4,6,1.9459101490553132,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,5,5,18.0
0,11,2,12,2.5649493574615367,0,2,5,2,9,2.302585092994046,0,0,4,2,9,1,4,42.0
8,9,1,4,1.6094379124341003,1,4,4,4,5,1.791759469228055,0,2,0,5,5,9,4,6.0
9,6,1,46,3.8501476017100584,1,1,4,6,9,2.302585092994046,0,0,4,2,9,0,4,161.0
1,9,8,40,3.713572066704308,1,0,5,0,7,2.0794415416798357,0,1,2,0,7,2,4,100.0
8,3,4,10,2.3978952727983707,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,0,4,5.0
6,1,4,18,2.9444389791664403,0,3,4,8,9,2.302585092994046,0,0,4,2,9,2,5,63.0
4,5,10,30,3.4339872044851463,0,0,2,0,9,2.302585092994046,0,0,4,2,9,5,4,105.0
0,9,4,2,1.0986122886681098,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,0,6,2.0
4,2,4,48,3.8918202981106265,0,3,6,8,4,1.6094379124341003,1,1,4,4,4,4,6,48.0
5,7,10,12,2.5649493574615367,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,6,4,30.0
7,8,3,34,3.5553480614894135,1,4,6,4,8,2.1972245773362196,1,2,3,1,8,5,5,102.0
1,11,3,56,4.04305126783455,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,8,6,56.0
3,7,8,20,3.044522437723423,2,0,6,0,9,2.302585092994046,0,0,4,2,9,2,4,70.0
2,1,6,58,4.07753744390572,1,3,2,8,4,1.6094379124341003,1,1,4,4,4,3,5,58.0
6,8,0,18,2.9444389791664403,0,3,4,8,5,1.791759469228055,0,2,0,5,5,6,4,27.0
3,5,4,18,2.9444389791664403,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,9,5,9.0
8,3,2,26,3.295836866004329,2,1,5,6,7,2.0794415416798357,0,1,2,0,7,1,4,65.0
8,9,7,46,3.8501476017100584,1,1,4,6,8,2.1972245773362196,1,2,3,1,8,2,5,138.0
4,1,2,46,3.8501476017100584,1,1,4,6,9,2.302585092994046,0,0,4,2,9,5,4,161.0
11,11,2,54,4.007333185232471,0,4,5,4,4,1.6094379124341003,1,1,4,4,4,2,5,54.0
1,0,1,56,4.04305126783455,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,0,6,56.0
8,5,2,2,1.0986122886681098,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,7,4,1.0
0,3,2,12,2.5649493574615367,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,8,5,36.0
8,7,2,14,2.70805020110221,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,4,5,14.0
9,10,1,40,3.713572066704308,1,0,5,0,6,1.9459101490553132,1,0,1,6,6,9,5,80.0
3,9,2,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,7,5,16.0
3,0,0,54,4.007333185232471,0,4,5,4,4,1.6094379124341003,1,1,4,4,4,1,5,54.0
0,7,7,8,2.1972245773362196,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,3,6,24.0
0,1,3,58,4.07753744390572,1,3,2,8,9,2.302585092994046,0,0,4,2,9,1,4,203.0
10,0,7,42,3.7612001156935624,0,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,5,105.0
0,5,7,36,3.6109179126442243,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,7,6,36.0
7,7,6,28,3.367295829986474,1,3,0,8,6,1.9459101490553132,1,0,1,6,6,5,5,56.0
4,3,7,32,3.4965075614664802,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,4,6,32.0
1,7,3,46,3.8501476017100584,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,9,5,46.0
7,5,9,2,1.0986122886681098,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,0,4,1.0
0,4,3,16,2.833213344056216,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,3,4,8.0
3,9,2,46,3.8501476017100584,1,1,4,6,3,1.3862943611198906,0,0,3,3,3,6,4,23.0
11,11,3,28,3.367295829986474,1,3,0,8,5,1.791759469228055,0,2,0,5,5,9,4,42.0
4,3,1,52,3.970291913552122,1,2,3,2,8,2.1972245773362196,1,2,3,1,8,8,5,156.0
9,6,4,14,2.70805020110221,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,0,5,14.0
8,4,5,32,3.4965075614664802,2,2,4,2,7,2.0794415416798357,0,1,2,0,7,3,4,80.0
0,0,2,8,2.1972245773362196,2,3,1,8,9,2.302585092994046,0,0,4,2,9,4,4,28.0
8,0,5,22,3.1354942159291497,1,2,1,2,4,1.6094379124341003,1,1,4,4,4,9,5,22.0
9,2,9,48,3.8918202981106265,0,3,6,8,9,2.302585092994046,0,0,4,2,9,1,4,168.0
5,1,1,58,4.07753744390572,1,3,2,8,8,2.1972245773362196,1,2,3,1,8,3,5,174.0
0,3,9,16,2.833213344056216,1,1,2,6,6,1.9459101490553132,1,0,1,6,6,7,5,32.0
9,2,9,26,3.295836866004329,2,1,5,6,9,2.302585092994046,0,0,4,2,9,5,4,91.0
9,7,9,6,1.9459101490553132,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,8,5,6.0
8,8,4,38,3.6635616461296463,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,6,5,38.0
9,6,7,2,1.0986122886681098,2,2,2,2,9,2.302585092994046,0,0,4,2,9,3,4,7.0
4,6,4,56,4.04305126783455,2,1,0,6,8,2.1972245773362196,1,2,3,1,8,0,6,168.0
9,5,6,28,3.367295829986474,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,5,6,28.0
6,3,7,34,3.5553480614894135,1,4,6,4,4,1.6094379124341003,1,1,4,4,4,6,5,34.0
7,6,3,50,3.9318256327243257,2,0,1,0,9,2.302585092994046,0,0,4,2,9,2,4,175.0
5,0,6,34,3.5553480614894135,1,4,6,4,7,2.0794415416798357,0,1,2,0,7,3,4,85.0
10,9,2,22,3.1354942159291497,1,2,1,2,7,2.0794415416798357,0,1,2,0,7,8,4,55.0
10,8,9,20,3.044522437723423,2,0,6,0,7,2.0794415416798357,0,1,2,0,7,3,4,50.0
6,1,2,26,3.295836866004329,2,1,5,6,6,1.9459101490553132,1,0,1,6,6,6,5,52.0
7,0,2,20,3.044522437723423,2,0,6,0,9,2.302585092994046,0,0,4,2,9,1,4,70.0
7,5,3,58,4.07753744390572,1,3,2,8,6,1.9459101490553132,1,0,1,6,6,3,5,116.0
6,6,1,32,3.4965075614664802,2,2,4,2,5,1.791759469228055,0,2,0,5,5,6,4,48.0
9,0,5,22,3.1354942159291497,1,2,1,2,4,1.6094379124341003,1,1,4,4,4,0,5,22.0
0,9,6,14,2.70805020110221,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,5,5,28.0
2,1,1,24,3.2188758248682006,0,4,3,4,5,1.791759469228055,0,2,0,5,5,3,4,36.0
1,8,4,14,2.70805020110221,2,4,0,4,9,2.302585092994046,0,0,4,2,9,2,4,49.0
6,10,2,2,1.0986122886681098,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,4,4,5.0
3,3,9,54,4.007333185232471,0,4,5,4,7,2.0794415416798357,0,1,2,0,7,6,4,135.0
