slot_total_people,slot_total_people_abs_log1p,slot_total_people_mod3,slot_total_people_mod5,slot_total_people_mod7,slot_total_people_mod10,slot_per_group1_each,slot_per_group1_each_abs_log1p,slot_per_group1_each_is_even,slot_per_group1_each_mod3,slot_per_group1_each_mod5,slot_per_group1_each_mod7,slot_per_group1_each_mod10,slot_base_factor,slot_base_factor_abs_log1p,slot_base_factor_is_even,slot_base_factor_mod3,slot_base_factor_mod5,slot_base_factor_mod7,slot_base_factor_mod10,slot_extra_factor,slot_extra_factor_abs_log1p,slot_extra_factor_is_even,slot_extra_factor_mod3,slot_extra_factor_mod5,slot_extra_factor_mod7,slot_extra_factor_mod10,slot_item,slot_group1_member,slot_group2_member,gcd_all,n_multiple_pairs,y
56,4.04305126783455,2,1,0,6,39,3.6888794541139363,0,0,4,4,9,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,7,1,1,1,1,390.0
48,3.8918202981106265,0,3,6,8,43,3.784189633918261,0,1,3,1,3,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,0,1,1,1,1,430.0
44,3.8066624897703196,2,4,2,4,17,2.8903717578961645,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,8,7,7,1,0,136.0
12,2.5649493574615367,0,2,5,2,31,3.4657359027997265,0,1,1,3,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,6,6,1,2,217.0
48,3.8918202981106265,0,3,6,8,23,3.1780538303479458,0,2,3,2,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,3,8,8,1,1,184.0
10,2.3978952727983707,1,0,3,0,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,2,0,0,1,0,209.0
30,3.4339872044851463,0,0,2,0,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,7,3,3,1,2,360.0
26,3.295836866004329,2,1,5,6,101,4.624972813284271,0,2,1,3,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,5,6,6,1,1,1212.0
48,3.8918202981106265,0,3,6,8,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,7,7,7,1,5,120.0
4,1.6094379124341003,1,4,4,4,66,4.204692619390966,1,0,1,3,6,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,6,7,7,1,2,462.0
60,4.110873864173311,0,0,4,0,32,3.4965075614664802,1,2,2,4,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,8,6,6,1,2,352.0
26,3.295836866004329,2,1,5,6,99,4.605170185988092,0,0,4,1,9,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,9,9,1,0,891.0
18,2.9444389791664403,0,3,4,8,54,4.007333185232471,1,0,4,5,4,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,4,4,4,1,4,270.0
6,1.9459101490553132,0,1,6,6,33,3.5263605246161616,0,0,3,5,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,6,6,1,2,198.0
26,3.295836866004329,2,1,5,6,112,4.727387818712341,1,1,2,0,2,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,2,3,3,1,1,1008.0
8,2.1972245773362196,2,3,1,8,69,4.248495242049359,0,0,4,6,9,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,8,3,3,1,1,897.0
56,4.04305126783455,2,1,0,6,26,3.295836866004329,1,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,9,1,1,1,2,130.0
18,2.9444389791664403,0,3,4,8,70,4.2626798770413155,1,1,0,0,0,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,5,5,1,3,420.0
14,2.70805020110221,2,4,0,4,41,3.7376696182833684,0,2,1,6,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,7,7,1,0,287.0
40,3.713572066704308,1,0,5,0,90,4.51085950651685,1,0,0,6,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,4,7,7,1,3,720.0
32,3.4965075614664802,2,2,4,2,71,4.276666119016055,0,2,1,1,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,6,9,9,1,4,213.0
12,2.5649493574615367,0,2,5,2,96,4.574710978503383,1,0,1,5,6,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,6,8,8,1,2,960.0
12,2.5649493574615367,0,2,5,2,89,4.499809670330265,0,2,4,5,9,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,4,4,1,1,712.0
60,4.110873864173311,0,0,4,0,86,4.465908118654584,1,2,1,2,6,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,8,3,3,1,5,258.0
50,3.9318256327243257,2,0,1,0,87,4.477336814478207,0,0,2,3,7,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,8,8,8,1,2,435.0
40,3.713572066704308,1,0,5,0,75,4.330733340286331,0,0,0,5,5,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,0,2,2,1,4,375.0
26,3.295836866004329,2,1,5,6,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,2,6,6,1,2,360.0
48,3.8918202981106265,0,3,6,8,89,4.499809670330265,0,2,4,5,9,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,0,5,5,1,1,623.0
26,3.295836866004329,2,1,5,6,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,5,3,3,1,1,80.0
28,3.367295829986474,1,3,0,8,95,4.564348191467836,0,2,0,4,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,8,4,4,1,1,475.0
38,3.6635616461296463,2,3,3,8,119,4.787491742782046,0,2,4,0,9,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,3,9,9,1,3,595.0
60,4.110873864173311,0,0,4,0,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,8,3,3,2,3,400.0
38,3.6635616461296463,2,3,3,8,106,4.672828834461906,1,1,1,1,6,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,7,3,3,1,0,848.0
10,2.3978952727983707,1,0,3,0,39,3.6888794541139363,0,0,4,4,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,9,2,2,1,2,195.0
22,3.1354942159291497,1,2,1,2,119,4.787491742782046,0,2,4,0,9,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,4,4,4,1,4,357.0
6,1.9459101490553132,0,1,6,6,63,4.1588830833596715,0,0,3,0,3,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,2,2,3,5,378.0
40,3.713572066704308,1,0,5,0,49,3.912023005428146,0,1,4,0,9,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,2,6,6,1,2,588.0
18,2.9444389791664403,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,4,9,9,1,6,18.0
44,3.8066624897703196,2,4,2,4,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,6,8,8,2,3,500.0
52,3.970291913552122,1,2,3,2,22,3.1354942159291497,1,1,2,1,2,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,8,6,6,1,0,286.0
28,3.367295829986474,1,3,0,8,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,0,3,3,1,2,216.0
58,4.07753744390572,1,3,2,8,91,4.5217885770490405,0,1,1,0,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,0,1,1,1,4,273.0
12,2.5649493574615367,0,2,5,2,111,4.718498871295094,0,0,1,6,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,8,3,3,1,4,333.0
8,2.1972245773362196,2,3,1,8,120,4.795790545596741,1,0,0,1,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,8,7,7,1,3,1320.0
24,3.2188758248682006,0,4,3,4,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,7,3,3,1,3,216.0
46,3.8501476017100584,1,1,4,6,116,4.762173934797756,1,2,1,4,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,5,6,6,1,3,464.0
46,3.8501476017100584,1,1,4,6,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,4,9,9,1,5,180.0
48,3.8918202981106265,0,3,6,8,93,4.543294782270004,0,0,3,2,3,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,3,3,1,3,744.0
54,4.007333185232471,0,4,5,4,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,6,2,2,1,2,200.0
10,2.3978952727983707,1,0,3,0,59,4.0943445622221,0,2,4,3,9,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,4,4,1,1,295.0
12,2.5649493574615367,0,2,5,2,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,9,9,1,4,200.0
46,3.8501476017100584,1,1,4,6,100,4.61512051684126,1,1,0,2,0,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,2,7,7,1,1,1100.0
12,2.5649493574615367,0,2,5,2,33,3.5263605246161616,0,0,3,5,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,9,6,6,1,1,231.0
28,3.367295829986474,1,3,0,8,64,4.174387269895637,1,1,4,1,4,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,5,3,3,1,5,128.0
60,4.110873864173311,0,0,4,0,82,4.418840607796598,1,1,2,5,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,6,6,1,2,656.0
40,3.713572066704308,1,0,5,0,120,4.795790545596741,1,0,0,1,0,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,7,8,8,1,6,240.0
46,3.8501476017100584,1,1,4,6,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,6,1,1,1,5,84.0
48,3.8918202981106265,0,3,6,8,96,4.574710978503383,1,0,1,5,6,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,7,8,8,2,5,960.0
48,3.8918202981106265,0,3,6,8,70,4.2626798770413155,1,1,0,0,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,3,2,2,2,4,420.0
52,3.970291913552122,1,2,3,2,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,7,3,3,1,4,48.0
44,3.8066624897703196,2,4,2,4,111,4.718498871295094,0,0,1,6,1,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,0,5,5,1,0,1443.0
26,3.295836866004329,2,1,5,6,82,4.418840607796598,1,1,2,5,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,6,8,8,1,1,492.0
16,2.833213344056216,1,1,2,6,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,7,3,3,1,3,180.0
56,4.04305126783455,2,1,0,6,77,4.356708826689592,0,2,2,0,7,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,6,7,7,1,1,539.0
4,1.6094379124341003,1,4,4,4,58,4.07753744390572,1,1,3,2,8,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,9,1,1,1,3,232.0
22,3.1354942159291497,1,2,1,2,79,4.382026634673881,0,1,4,2,9,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,4,9,9,1,3,316.0
6,1.9459101490553132,0,1,6,6,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,3,2,2,1,2,98.0
8,2.1972245773362196,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,3,3,2,4,64.0
48,3.8918202981106265,0,3,6,8,32,3.4965075614664802,1,2,2,4,2,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,7,4,4,1,2,416.0
42,3.7612001156935624,0,2,0,2,47,3.871201010907891,0,2,2,5,7,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,7,9,9,1,1,376.0
42,3.7612001156935624,0,2,0,2,41,3.7376696182833684,0,2,1,6,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,2,2,1,2,205.0
60,4.110873864173311,0,0,4,0,101,4.624972813284271,0,2,1,3,1,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,0,4,4,1,2,909.0
48,3.8918202981106265,0,3,6,8,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,6,6,1,3,70.0
12,2.5649493574615367,0,2,5,2,38,3.6635616461296463,1,2,3,3,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,8,9,9,1,2,266.0
58,4.07753744390572,1,3,2,8,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,5,0,0,2,5,56.0
38,3.6635616461296463,2,3,3,8,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,2,2,2,1,3,50.0
30,3.4339872044851463,0,0,2,0,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,4,3,3,1,3,225.0
46,3.8501476017100584,1,1,4,6,82,4.418840607796598,1,1,2,5,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,4,0,0,1,1,492.0
34,3.5553480614894135,1,4,6,4,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,2,1,1,1,0,110.0
32,3.4965075614664802,2,2,4,2,21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,5,5,1,3,126.0
28,3.367295829986474,1,3,0,8,22,3.1354942159291497,1,1,2,1,2,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,4,4,4,1,3,198.0
4,1.6094379124341003,1,4,4,4,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,4,1,1,2,4,180.0
28,3.367295829986474,1,3,0,8,45,3.828641396489095,0,0,0,3,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,2,2,1,2,315.0
16,2.833213344056216,1,1,2,6,38,3.6635616461296463,1,2,3,3,8,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,2,3,3,1,1,418.0
18,2.9444389791664403,0,3,4,8,83,4.430816798843313,0,2,3,6,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,4,4,1,2,415.0
6,1.9459101490553132,0,1,6,6,98,4.59511985013459,1,2,3,0,8,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,0,9,9,2,5,392.0
6,1.9459101490553132,0,1,6,6,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,8,5,5,1,2,140.0
56,4.04305126783455,2,1,0,6,55,4.02535169073515,0,1,0,6,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,1,0,0,1,3,330.0
50,3.9318256327243257,2,0,1,0,91,4.5217885770490405,0,1,1,0,1,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,6,6,1,2,1092.0
46,3.8501476017100584,1,1,4,6,93,4.543294782270004,0,0,3,2,3,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,0,0,1,2,465.0
40,3.713572066704308,1,0,5,0,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,4,7,7,1,5,80.0
24,3.2188758248682006,0,4,3,4,80,4.394449154672439,1,2,0,3,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,4,0,0,4,5,960.0
10,2.3978952727983707,1,0,3,0,112,4.727387818712341,1,1,2,0,2,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,4,6,6,2,3,896.0
52,3.970291913552122,1,2,3,2,17,2.8903717578961645,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,0,0,0,1,1,102.0
46,3.8501476017100584,1,1,4,6,96,4.574710978503383,1,0,1,5,6,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,5,6,6,1,5,192.0
10,2.3978952727983707,1,0,3,0,65,4.189654742026425,0,2,0,2,5,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,8,2,2,1,0,650.0
22,3.1354942159291497,1,2,1,2,63,4.1588830833596715,0,0,3,0,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,6,6,1,0,567.0
54,4.007333185232471,0,4,5,4,31,3.4657359027997265,0,1,1,3,1,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,8,8,1,1,217.0
6,1.9459101490553132,0,1,6,6,61,4.127134385045092,0,1,1,5,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,2,2,1,2,305.0
32,3.4965075614664802,2,2,4,2,37,3.6375861597263857,0,1,2,2,7,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,5,7,7,1,1,333.0
24,3.2188758248682006,0,4,3,4,46,3.8501476017100584,1,1,1,4,6,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,0,0,2,4,460.0
4,1.6094379124341003,1,4,4,4,47,3.871201010907891,0,2,2,5,7,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,2,9,9,1,1,517.0
18,2.9444389791664403,0,3,4,8,67,4.219507705176107,0,1,2,4,7,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,0,0,1,1,536.0
14,2.70805020110221,2,4,0,4,102,4.634728988229636,1,0,2,4,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,2,2,1,3,612.0
24,3.2188758248682006,0,4,3,4,69,4.248495242049359,0,0,4,6,9,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,5,5,1,3,483.0
60,4.110873864173311,0,0,4,0,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,9,6,6,2,3,140.0
56,4.04305126783455,2,1,0,6,116,4.762173934797756,1,2,1,4,6,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,5,9,9,4,4,1392.0
42,3.7612001156935624,0,2,0,2,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,6,2,2,1,3,210.0
6,1.9459101490553132,0,1,6,6,96,4.574710978503383,1,0,1,5,6,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2,9,9,2,5,960.0
38,3.6635616461296463,2,3,3,8,57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,5,3,3,1,1,570.0
56,4.04305126783455,2,1,0,6,22,3.1354942159291497,1,1,2,1,2,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,6,5,5,1,1,242.0
4,1.6094379124341003,1,4,4,4,33,3.5263605246161616,0,0,3,5,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,9,9,9,1,3,198.0
32,3.4965075614664802,2,2,4,2,90,4.51085950651685,1,0,0,6,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,7,3,3,2,3,1080.0
38,3.6635616461296463,2,3,3,8,85,4.454347296253507,0,1,0,1,5,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,8,9,9,1,0,595.0
46,3.8501476017100584,1,1,4,6,57,4.060443010546419,0,0,2,1,7,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,7,7,1,2,342.0
20,3.044522437723423,2,0,6,0,39,3.6888794541139363,0,0,4,4,9,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,0,7,7,1,1,429.0
40,3.713572066704308,1,0,5,0,119,4.787491742782046,0,2,4,0,9,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,6,9,9,1,5,238.0
24,3.2188758248682006,0,4,3,4,38,3.6635616461296463,1,2,3,3,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,0,2,2,1,3,228.0
8,2.1972245773362196,2,3,1,8,118,4.77912349311153,1,1,3,6,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,9,1,1,1,2,826.0
44,3.8066624897703196,2,4,2,4,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2,2,2,1,1,168.0
30,3.4339872044851463,0,0,2,0,116,4.762173934797756,1,2,1,4,6,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,6,8,8,2,2,1160.0
36,3.6109179126442243,0,1,1,6,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,5,8,8,1,5,150.0
38,3.6635616461296463,2,3,3,8,58,4.07753744390572,1,1,3,2,8,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,1,1,1,1,0,638.0
20,3.044522437723423,2,0,6,0,94,4.553876891600541,1,1,4,3,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4,6,6,1,4,564.0
10,2.3978952727983707,1,0,3,0,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5,2,2,1,2,133.0
48,3.8918202981106265,0,3,6,8,97,4.584967478670572,0,1,2,6,7,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,1,4,4,1,1,970.0
36,3.6109179126442243,0,1,1,6,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,8,4,4,4,5,64.0
48,3.8918202981106265,0,3,6,8,103,4.6443908991413725,0,1,3,5,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,4,5,5,1,4,515.0
50,3.9318256327243257,2,0,1,0,26,3.295836866004329,1,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,8,6,6,1,0,260.0
