slot_person,slot_place,slot_unit,slot_day1,slot_day2,slot_day3,slot_base_amount,slot_base_amount_abs_log1p,slot_base_amount_is_even,slot_base_amount_mod3,slot_base_amount_mod5,slot_base_amount_mod7,slot_base_amount_mod10,slot_mult_day2,slot_mult_day2_abs_log1p,slot_mult_day2_is_even,slot_mult_day2_mod3,slot_mult_day2_mod5,slot_mult_day2_mod7,slot_mult_day2_mod10,slot_mult_day3,slot_mult_day3_abs_log1p,slot_mult_day3_is_even,slot_mult_day3_mod3,slot_mult_day3_mod5,slot_mult_day3_mod7,slot_mult_day3_mod10,slot_initial_total,slot_initial_total_abs_log1p,slot_initial_total_is_even,slot_initial_total_mod3,slot_initial_total_mod5,slot_initial_total_mod7,slot_initial_total_mod10,gcd_all,n_multiple_pairs,y
3,6,1,2,2,2,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,109,4.700480365792417,0,1,4,4,9,1,1,28.0
7,6,0,2,2,2,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,375,5.929589143389895,0,0,0,4,5,1,1,11.0
1,0,2,4,4,4,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,368,5.910796644040527,1,2,3,4,8,1,1,45.0
5,0,0,4,4,4,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,383,5.950642552587727,0,2,3,5,3,1,0,45.0
5,3,0,4,4,4,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,274,5.616771097666572,1,1,4,1,4,1,2,40.0
7,3,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,83,4.430816798843313,0,2,3,6,3,1,2,23.0
0,2,4,1,1,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,130,4.875197323201151,1,1,0,4,0,1,1,46.0
4,0,1,3,3,3,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,595,6.39024066706535,0,1,0,0,5,1,3,6.0
1,7,2,3,3,3,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,183,5.214935757608986,0,0,3,1,3,1,3,43.0
3,4,3,3,3,3,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,204,5.3230099791384085,1,0,4,1,4,1,1,28.0
5,1,3,0,0,0,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,210,5.351858133476067,1,0,0,0,0,2,4,34.0
2,1,0,4,4,4,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,213,5.365976015021851,0,0,3,3,3,1,1,42.0
1,4,1,2,2,2,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,254,5.541263545158426,1,2,4,2,4,1,0,33.0
1,2,4,1,1,1,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,158,5.0689042022202315,1,2,3,4,8,1,1,48.0
5,0,0,0,0,0,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,514,6.244166900663736,1,1,4,3,4,1,1,18.0
5,5,4,0,0,0,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,100,4.61512051684126,1,1,0,2,0,1,2,10.0
2,7,3,1,1,1,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,232,5.4510384535657,1,1,2,1,2,1,1,7.0
1,5,2,1,1,1,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,337,5.823045895483019,0,1,2,1,7,1,3,27.0
4,5,3,1,1,1,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,183,5.214935757608986,0,0,3,1,3,1,0,8.0
4,0,2,0,0,0,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,42,3.7612001156935624,1,0,2,0,2,1,4,15.0
0,0,1,3,3,3,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,266,5.58724865840025,1,2,1,0,6,1,1,42.0
2,7,0,0,0,0,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,318,5.765191102784844,1,0,3,3,8,1,0,43.0
0,3,3,1,1,1,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,140,4.948759890378168,1,2,0,0,0,1,4,40.0
4,6,2,3,3,3,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,453,6.118097198041348,0,0,3,5,3,1,0,3.0
7,3,0,2,2,2,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,194,5.272999558563747,1,2,4,5,4,1,1,47.0
3,1,0,1,1,1,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,533,6.280395838960195,0,2,3,1,3,1,2,13.0
6,5,3,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,62,4.143134726391533,1,2,2,6,2,1,3,27.0
5,1,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,68,4.23410650459726,1,2,3,5,8,1,3,14.0
3,4,2,4,4,4,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,426,6.056784013228625,1,0,1,6,6,1,1,10.0
6,6,1,2,2,2,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,232,5.4510384535657,1,1,2,1,2,1,3,37.0
5,5,1,4,4,4,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,357,5.8805329864007,0,0,2,0,7,1,3,42.0
4,3,4,2,2,2,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,447,6.104793232414985,0,0,2,6,7,1,3,27.0
1,0,0,2,2,2,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,157,5.062595033026967,0,1,2,3,7,1,3,2.0
1,7,4,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,67,4.219507705176107,0,1,2,4,7,1,1,34.0
7,3,3,4,4,4,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,195,5.278114659230517,0,0,0,6,5,1,1,19.0
1,0,4,1,1,1,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,583,6.369900982828227,0,1,3,2,3,1,1,25.0
4,0,2,4,4,4,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,408,6.013715156042802,1,0,3,2,8,1,3,9.0
1,3,1,0,0,0,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,378,5.937536205082426,1,0,3,0,8,1,1,37.0
7,7,3,1,1,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,145,4.983606621708336,0,1,0,5,5,1,2,35.0
0,6,3,3,3,3,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,230,5.442417710521793,1,2,0,6,0,2,4,22.0
2,0,3,1,1,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,90,4.51085950651685,1,0,0,6,0,2,4,46.0
5,7,3,1,1,1,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,334,5.814130531825066,1,1,4,5,4,1,1,46.0
2,2,2,3,3,3,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,261,5.568344503761097,0,0,1,2,1,1,1,13.0
0,7,2,4,4,4,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,383,5.950642552587727,0,2,3,5,3,1,0,26.0
0,3,2,3,3,3,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,169,5.135798437050262,0,1,4,1,9,1,1,43.0
7,2,3,0,0,0,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,417,6.035481432524756,0,0,2,4,7,1,1,18.0
0,1,2,3,3,3,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,125,4.836281906951478,0,2,0,6,5,1,1,34.0
3,7,2,0,0,0,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,83,4.430816798843313,0,2,3,6,3,1,1,48.0
4,5,3,3,3,3,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,297,5.697093486505405,0,0,2,3,7,1,1,50.0
0,6,4,3,3,3,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,449,6.1092475827643655,0,2,4,1,9,1,1,49.0
1,3,3,3,3,3,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,201,5.308267697401205,0,0,1,5,1,1,1,11.0
3,7,1,1,1,1,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,177,5.181783550292085,0,0,2,2,7,1,1,12.0
3,4,1,0,0,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,65,4.189654742026425,0,2,0,2,5,1,2,1.0
5,0,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,98,4.59511985013459,1,2,3,0,8,1,1,35.0
7,5,2,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,109,4.700480365792417,0,1,4,4,9,1,1,14.0
4,4,4,2,2,2,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,120,4.795790545596741,1,0,0,1,0,3,5,3.0
6,6,0,4,4,4,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,98,4.59511985013459,1,2,3,0,8,1,1,50.0
3,7,0,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,0,1,1,6,1,4,9.0
2,2,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,107,4.68213122712422,0,2,2,2,7,1,2,29.0
3,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,204,5.3230099791384085,1,0,4,1,4,1,3,15.0
1,7,3,4,4,4,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,176,5.176149732573829,1,2,1,1,6,1,3,16.0
1,5,2,2,2,2,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,264,5.579729825986222,1,0,4,5,4,1,3,24.0
0,5,0,4,4,4,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,141,4.955827057601261,0,0,1,1,1,1,1,31.0
2,1,0,2,2,2,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,238,5.476463551931511,1,1,3,0,8,1,2,29.0
4,6,4,0,0,0,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,396,5.983936280687191,1,0,1,4,6,1,3,18.0
5,1,0,1,1,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,46,3.8501476017100584,1,1,1,4,6,1,2,10.0
4,7,2,0,0,0,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,380,5.942799375126701,1,2,0,2,0,2,3,2.0
7,1,3,2,2,2,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,271,5.605802066295998,0,1,1,5,1,1,0,50.0
0,4,0,1,1,1,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,492,6.20050917404269,1,0,2,2,2,1,1,50.0
4,6,3,4,4,4,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,175,5.170483995038151,0,1,0,0,5,1,1,40.0
4,0,0,1,1,1,17,2.8903717578961645,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,407,6.0112671744041615,0,2,2,1,7,1,1,50.0
3,1,3,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,134,4.90527477843843,1,2,4,1,4,1,0,50.0
7,1,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,144,4.976733742420574,1,0,4,4,4,1,5,36.0
2,3,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,81,4.406719247264253,0,0,1,4,1,1,1,11.0
2,5,2,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,60,4.110873864173311,1,0,0,4,0,2,6,32.0
2,5,4,4,4,4,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,135,4.912654885736052,0,0,0,2,5,1,2,7.0
4,2,3,2,2,2,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,165,5.111987788356544,0,0,0,4,5,1,2,22.0
1,1,3,0,0,0,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,103,4.6443908991413725,0,1,3,5,3,1,1,26.0
6,6,0,4,4,4,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,46,3.8501476017100584,1,1,1,4,6,1,2,19.0
7,2,1,4,4,4,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,382,5.948034989180646,1,1,2,4,2,1,1,2.0
6,7,0,2,2,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,85,4.454347296253507,0,1,0,1,5,1,1,40.0
6,3,2,3,3,3,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,367,5.908082938168931,0,1,2,3,7,1,2,47.0
7,4,4,1,1,1,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,189,5.247024072160486,0,0,4,0,9,1,2,29.0
7,0,2,1,1,1,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,457,6.126869184114185,0,1,2,2,7,1,1,23.0
3,4,1,3,3,3,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,179,5.19295685089021,0,2,4,4,9,1,1,36.0
7,7,1,2,2,2,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,383,5.950642552587727,0,2,3,5,3,1,1,5.0
5,3,3,0,0,0,17,2.8903717578961645,0,2,2,3,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,237,5.472270673671475,0,0,2,6,7,1,0,16.0
7,6,4,0,0,0,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,401,5.996452088619021,0,2,1,2,1,1,1,11.0
0,1,0,1,1,1,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,304,5.720311776607412,1,1,4,3,4,1,3,48.0
4,4,3,3,3,3,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,484,6.184148890937483,1,1,4,1,4,1,1,9.0
0,1,2,0,0,0,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,251,5.529429087511423,0,2,1,6,1,1,1,11.0
4,2,4,2,2,2,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,80,4.394449154672439,1,2,0,3,0,1,3,2.0
0,0,3,3,3,3,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,388,5.963579343618446,1,1,3,3,8,1,1,47.0
5,5,2,4,4,4,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,442,6.093569770045136,1,1,2,1,2,1,1,43.0
3,3,0,3,3,3,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,362,5.8944028342648505,1,2,2,5,2,1,0,37.0
6,7,4,3,3,3,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,124,4.8283137373023015,1,1,4,5,4,1,2,22.0
6,2,3,4,4,4,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,145,4.983606621708336,0,1,0,5,5,1,1,28.0
5,4,0,0,0,0,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,174,5.1647859739235145,1,0,4,6,4,2,3,6.0
2,3,4,4,4,4,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,142,4.962844630259907,1,1,2,2,2,2,5,44.0
5,7,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,292,5.680172609017068,1,1,2,5,2,1,1,6.0
2,7,0,2,2,2,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,221,5.402677381872279,0,2,1,4,1,1,1,50.0
0,5,3,2,2,2,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,117,4.770684624465665,0,0,2,5,7,1,3,47.0
2,0,1,2,2,2,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,176,5.176149732573829,1,2,1,1,6,2,4,46.0
4,0,2,0,0,0,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,113,4.736198448394496,0,2,3,1,3,1,0,37.0
3,5,3,2,2,2,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,227,5.429345628954441,0,2,2,3,7,1,2,29.0
7,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,212,5.3612921657094255,1,2,2,2,2,1,1,42.0
6,2,1,3,3,3,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,197,5.288267030694535,0,2,2,1,7,1,1,41.0
2,2,3,1,1,1,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,344,5.84354441703136,1,2,4,1,4,1,1,3.0
1,6,2,0,0,0,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,414,6.028278520230698,1,0,4,1,4,1,1,15.0
4,1,2,4,4,4,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,176,5.176149732573829,1,2,1,1,6,1,1,7.0
1,2,2,0,0,0,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,146,4.990432586778736,1,2,1,6,6,1,2,3.0
2,2,3,2,2,2,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,144,4.976733742420574,1,0,4,4,4,1,4,16.0
6,4,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,133,4.897839799950911,0,1,3,0,3,1,2,42.0
