slot_group_a_label,slot_group_b_label,slot_ra,slot_ra_abs_log1p,slot_ra_is_even,slot_ra_mod3,slot_ra_mod5,slot_ra_mod7,slot_ra_mod10,slot_rb,slot_rb_abs_log1p,slot_rb_is_even,slot_rb_mod3,slot_rb_mod5,slot_rb_mod7,slot_rb_mod10,slot_total,slot_total_abs_log1p,slot_total_is_even,slot_total_mod3,slot_total_mod5,slot_total_mod7,slot_total_mod10,slot_b_leaves,slot_b_leaves_abs_log1p,slot_b_leaves_sign,slot_b_leaves_is_even,slot_b_leaves_mod3,slot_b_leaves_mod5,slot_b_leaves_mod7,slot_b_leaves_mod10,gcd_all,n_multiple_pairs,y
5,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,162,5.093750200806762,1,0,2,1,2,16,2.833213344056216,1,1,1,1,2,6,1,3,38.0
6,6,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,432,6.07073772800249,1,0,2,5,2,68,4.23410650459726,1,1,2,3,5,8,4,4,76.0
5,5,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,168,5.1298987149230735,1,0,3,0,8,43,3.784189633918261,1,0,1,3,1,3,1,1,5.0
7,7,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,187,5.236441962829949,0,1,2,5,7,50,3.9318256327243257,1,1,2,0,1,0,1,1,35.0
0,0,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,60,4.110873864173311,1,0,0,4,0,6,1.9459101490553132,1,1,0,1,6,6,2,5,4.0
7,7,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,684,6.529418838262226,1,0,4,5,4,126,4.844187086458591,1,1,0,1,0,6,1,2,234.0
5,5,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,114,4.74493212836325,1,0,4,2,4,7,2.0794415416798357,1,0,1,2,0,7,1,3,12.0
8,8,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,234,5.459585514144159,1,0,4,3,4,41,3.7376696182833684,1,0,2,1,6,1,1,1,139.0
3,3,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,252,5.53338948872752,1,0,2,0,2,12,2.5649493574615367,1,1,0,2,5,2,2,6,24.0
8,8,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,407,6.0112671744041615,0,2,2,1,7,10,2.3978952727983707,1,1,1,0,3,0,1,1,175.0
2,2,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,600,6.398594934535208,1,0,0,5,0,204,5.3230099791384085,1,1,0,4,1,4,3,2,156.0
8,8,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,320,5.771441123130016,1,2,0,5,0,135,4.912654885736052,1,0,0,0,2,5,1,1,5.0
5,5,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,224,5.41610040220442,1,2,4,0,4,23,3.1780538303479458,1,0,2,3,2,3,1,0,61.0
7,7,12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,680,6.523562306149512,1,2,0,1,0,228,5.43372200355424,1,1,0,3,4,8,4,2,44.0
7,7,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,555,6.320768294250582,0,0,0,2,5,2,1.0986122886681098,1,1,2,2,2,2,1,1,146.0
6,6,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,360,5.8888779583328805,1,0,0,3,0,61,4.127134385045092,1,0,1,1,5,1,1,1,19.0
4,4,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,442,6.093569770045136,1,1,2,1,2,0,0.0,0,1,0,0,0,0,1,2,34.0
6,6,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,187,5.236441962829949,0,1,2,5,7,89,4.499809670330265,1,0,2,4,5,9,1,0,10.0
1,1,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,108,4.6913478822291435,1,0,3,3,8,17,2.8903717578961645,1,0,2,2,3,7,1,4,10.0
3,3,11,2.4849066497880004,0,2,1,4,1,7,2.0794415416798357,0,1,2,0,7,270,5.602118820879701,1,0,0,4,0,31,3.4657359027997265,1,0,1,1,3,1,1,0,74.0
5,5,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,70,4.2626798770413155,1,1,0,0,0,26,3.295836866004329,1,1,2,1,5,6,2,3,34.0
5,5,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,174,5.1647859739235145,1,0,4,6,4,22,3.1354942159291497,1,1,1,2,1,2,1,3,7.0
9,9,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,209,5.3471075307174685,0,2,4,6,9,168,5.1298987149230735,1,1,0,3,0,8,1,1,3.0
9,9,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,240,5.484796933490655,1,0,0,2,0,26,3.295836866004329,1,1,2,1,5,6,1,1,74.0
0,0,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,96,4.574710978503383,1,0,1,5,6,11,2.4849066497880004,1,0,2,1,4,1,1,3,13.0
6,6,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,420,6.042632833682381,1,0,0,0,0,3,1.3862943611198906,1,0,0,3,3,3,1,4,32.0
5,5,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,0,2,5,2,0,0.0,0,1,0,0,0,0,1,3,3.0
1,1,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,340,5.831882477283517,1,1,0,4,0,89,4.499809670330265,1,0,2,4,5,9,1,0,131.0
3,3,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,60,4.110873864173311,1,0,0,4,0,0,0.0,0,1,0,0,0,0,6,3,30.0
2,2,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,406,6.008813185442595,1,1,1,0,6,165,5.111987788356544,1,0,0,0,4,5,1,2,183.0
5,5,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,560,6.329720905522696,1,2,0,0,0,236,5.4680601411351315,1,1,2,1,5,6,1,1,9.0
8,8,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,275,5.62040086571715,0,2,0,2,5,21,3.091042453358316,1,0,0,1,0,1,1,0,204.0
0,0,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,364,5.8998973535824915,1,1,4,0,4,81,4.406719247264253,1,0,0,1,4,1,1,2,231.0
4,4,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,437,6.082218910376446,0,2,2,3,7,77,4.356708826689592,1,0,2,2,0,7,1,0,153.0
2,2,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,203,5.318119993844216,0,2,3,0,3,5,1.791759469228055,1,0,2,0,5,5,1,3,24.0
4,4,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,360,5.8888779583328805,1,0,0,3,0,12,2.5649493574615367,1,1,0,2,5,2,3,4,204.0
6,6,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,169,5.135798437050262,0,1,4,1,9,7,2.0794415416798357,1,0,1,2,0,7,1,3,6.0
4,4,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,153,5.0369526024136295,0,0,3,6,3,29,3.4011973816621555,1,0,2,4,1,9,1,0,16.0
2,2,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,216,5.37989735354046,1,0,1,6,6,111,4.718498871295094,1,0,0,1,6,1,1,1,57.0
7,7,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,42,3.7612001156935624,1,0,2,0,2,15,2.772588722239781,1,0,0,0,1,5,1,2,9.0
9,9,11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,0,1,6,6,102,4.634728988229636,1,0,2,4,2,22,3.1354942159291497,1,1,1,2,1,2,1,2,14.0
3,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,90,4.51085950651685,1,0,0,6,0,58,4.07753744390572,1,1,1,3,2,8,2,3,2.0
8,8,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,153,5.0369526024136295,0,0,3,6,3,9,2.302585092994046,1,0,0,4,2,9,1,1,76.0
3,3,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,220,5.3981627015177525,1,1,0,3,0,4,1.6094379124341003,1,1,1,4,4,4,1,3,36.0
8,8,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,0,0.0,0,1,0,0,0,0,1,2,16.0
2,2,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,406,6.008813185442595,1,1,1,0,6,38,3.6635616461296463,1,1,2,3,3,8,2,0,136.0
7,7,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,156,5.056245805348308,1,0,1,2,6,7,2.0794415416798357,1,0,1,2,0,7,1,2,110.0
2,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,112,4.727387818712341,1,1,2,0,2,2,1.0986122886681098,1,1,2,2,2,2,1,1,68.0
2,2,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,160,5.081404364984463,1,1,0,6,0,19,2.995732273553991,1,0,1,4,5,9,1,1,81.0
0,0,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,98,4.59511985013459,1,2,3,0,8,10,2.3978952727983707,1,1,1,0,3,0,1,0,32.0
1,1,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,288,5.666426688112432,1,0,3,1,8,189,5.247024072160486,1,0,0,4,0,9,1,3,27.0
7,7,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,160,5.081404364984463,1,1,0,6,0,5,1.791759469228055,1,0,2,0,5,5,1,4,11.0
2,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,156,5.056245805348308,1,0,1,2,6,10,2.3978952727983707,1,1,1,0,3,0,1,1,55.0
8,8,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,0,2,5,2,156,5.056245805348308,1,0,1,2,6,63,4.1588830833596715,1,0,0,3,0,3,1,4,81.0
8,8,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,280,5.638354669333745,1,1,0,0,0,127,4.852030263919617,1,0,1,2,1,7,1,3,113.0
1,1,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,308,5.733341276897746,1,2,3,0,8,193,5.267858159063328,1,0,1,3,4,3,1,0,5.0
2,2,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,288,5.666426688112432,1,0,3,1,8,29,3.4011973816621555,1,0,2,4,1,9,1,3,43.0
6,6,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,455,6.1224928095143865,0,2,0,0,5,308,5.733341276897746,1,1,2,3,0,8,1,2,77.0
3,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,48,3.8918202981106265,1,0,3,6,8,8,2.1972245773362196,1,1,2,3,1,8,2,6,24.0
4,4,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,48,3.8918202981106265,1,0,3,6,8,17,2.8903717578961645,1,0,2,2,3,7,1,1,13.0
3,3,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,594,6.38856140554563,1,0,4,6,4,259,5.560681631015528,1,0,1,4,0,9,1,2,104.0
8,8,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,180,5.198497031265826,1,0,0,5,0,55,4.02535169073515,1,0,1,0,6,5,1,2,20.0
9,9,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,22,3.1354942159291497,1,1,2,1,2,0,0.0,0,1,0,0,0,0,1,2,2.0
5,5,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,1,2,2,2,2,2,3,28.0
2,2,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,204,5.3230099791384085,1,0,4,1,4,93,4.543294782270004,1,0,0,3,2,3,3,3,9.0
8,8,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,527,6.269096283706261,0,2,2,2,7,285,5.655991810819852,1,0,0,0,5,5,1,0,56.0
8,8,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,60,4.110873864173311,1,0,0,4,0,6,1.9459101490553132,1,1,0,1,6,6,1,2,10.0
5,5,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,297,5.697093486505405,0,0,2,3,7,22,3.1354942159291497,1,1,1,2,1,2,1,1,44.0
2,2,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,126,4.844187086458591,1,0,1,0,6,36,3.6109179126442243,1,1,0,1,1,6,3,5,6.0
6,6,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,296,5.6937321388027,1,2,1,2,6,110,4.709530201312334,1,1,2,0,5,0,1,3,149.0
9,9,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,216,5.37989735354046,1,0,1,6,6,103,4.6443908991413725,1,0,1,3,5,3,1,3,41.0
5,5,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,384,5.953243334287785,1,0,4,6,4,24,3.2188758248682006,1,1,0,4,3,4,2,4,40.0
3,3,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,348,5.855071922202427,1,0,3,5,8,145,4.983606621708336,1,0,1,0,5,5,1,3,29.0
5,5,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,420,6.042632833682381,1,0,0,0,0,38,3.6635616461296463,1,1,2,3,3,8,1,1,74.0
8,8,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,320,5.771441123130016,1,2,0,5,0,130,4.875197323201151,1,1,1,0,4,0,2,1,62.0
1,1,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,1,0,0,3,3,3,1,2,22.0
3,3,9,2.302585092994046,0,0,4,2,9,8,2.1972245773362196,1,2,3,1,8,510,6.236369590203704,1,0,0,6,0,43,3.784189633918261,1,0,1,3,1,3,1,0,197.0
4,4,9,2.302585092994046,0,0,4,2,9,8,2.1972245773362196,1,2,3,1,8,680,6.523562306149512,1,2,0,1,0,277,5.627621113690637,1,0,1,2,4,7,1,1,43.0
9,9,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,117,4.770684624465665,0,0,2,5,7,20,3.044522437723423,1,1,2,0,6,0,1,2,19.0
7,7,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,210,5.351858133476067,1,0,0,0,0,19,2.995732273553991,1,0,1,4,5,9,1,2,23.0
6,6,10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,340,5.831882477283517,1,1,0,4,0,45,3.828641396489095,1,0,0,0,3,5,1,1,95.0
5,5,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,66,4.204692619390966,1,0,1,3,6,2,1.0986122886681098,1,1,2,2,2,2,1,6,20.0
4,4,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,525,6.26530121273771,0,0,0,0,5,56,4.04305126783455,1,1,2,1,0,6,1,2,294.0
0,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,14,2.70805020110221,1,1,2,4,0,4,1,1,1.0
8,8,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,384,5.953243334287785,1,0,4,6,4,7,2.0794415416798357,1,0,1,2,0,7,1,0,113.0
7,7,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,360,5.8888779583328805,1,0,0,3,0,0,0.0,0,1,0,0,0,0,4,3,120.0
2,2,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,378,5.937536205082426,1,0,3,0,8,207,5.337538079701318,1,0,0,2,4,7,1,0,3.0
2,2,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,1,0,2,0,5,5,1,5,2.0
0,0,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,740,6.608000625296087,1,2,0,5,0,153,5.0369526024136295,1,0,0,3,6,3,1,1,254.0
9,9,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,70,4.2626798770413155,1,1,0,0,0,3,1.3862943611198906,1,0,0,3,3,3,1,3,7.0
7,7,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,171,5.147494476813453,0,0,1,3,1,25,3.258096538021482,1,0,1,0,4,5,1,3,127.0
7,7,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,351,5.863631175598097,0,0,1,1,1,188,5.241747015059643,1,1,2,3,6,8,1,3,124.0
2,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,91,4.5217885770490405,0,1,1,0,1,13,2.6390573296152584,1,0,1,3,6,3,1,1,13.0
5,5,11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,0,1,6,6,119,4.787491742782046,0,2,4,0,9,35,3.58351893845611,1,0,2,0,0,5,1,0,7.0
1,1,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,204,5.3230099791384085,1,0,4,1,4,51,3.9512437185814275,1,0,0,1,2,1,1,3,119.0
3,3,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,132,4.890349128221754,1,0,2,6,2,30,3.4339872044851463,1,1,0,0,2,0,1,4,90.0
2,2,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,216,5.37989735354046,1,0,1,6,6,40,3.713572066704308,1,1,1,0,5,0,2,3,68.0
8,8,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,90,4.51085950651685,1,0,0,6,0,12,2.5649493574615367,1,1,0,2,5,2,1,4,69.0
9,9,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,112,4.727387818712341,1,1,2,0,2,40,3.713572066704308,1,1,1,0,5,0,1,1,23.0
2,2,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,260,5.564520407322694,1,2,0,1,0,160,5.081404364984463,1,1,1,0,6,0,1,0,22.0
7,7,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,532,6.278521424165844,1,1,2,0,2,10,2.3978952727983707,1,1,1,0,3,0,2,0,294.0
4,4,10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,391,5.971261839790462,0,1,1,6,1,47,3.871201010907891,1,0,2,2,5,7,1,0,114.0
5,5,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,434,6.075346031088684,1,2,4,0,4,164,5.10594547390058,1,1,2,4,3,4,2,0,84.0
4,4,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,184,5.220355825078324,1,1,4,2,4,1,0.6931471805599453,1,0,1,1,1,1,1,6,91.0
2,2,10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,220,5.3981627015177525,1,1,0,3,0,95,4.564348191467836,1,0,2,0,4,5,5,3,15.0
0,0,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,792,6.675823221634848,1,0,2,1,2,307,5.730099782973574,1,0,1,2,6,7,1,1,125.0
4,4,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,392,5.973809611869261,1,2,2,0,2,109,4.700480365792417,1,0,1,4,4,9,1,1,59.0
3,3,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,286,5.659482215759621,1,1,1,6,6,106,4.672828834461906,1,1,1,1,1,6,1,0,4.0
5,5,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,80,4.394449154672439,1,2,0,3,0,27,3.332204510175204,1,0,0,2,6,7,1,1,8.0
0,0,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,270,5.602118820879701,1,0,0,4,0,64,4.174387269895637,1,1,1,4,1,4,2,2,116.0
2,2,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,238,5.476463551931511,1,1,3,0,8,28,3.367295829986474,1,1,1,3,0,8,1,3,6.0
3,3,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,34,3.5553480614894135,1,1,4,6,4,7,2.0794415416798357,1,0,1,2,0,7,1,0,15.0
4,4,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,72,4.290459441148391,1,0,2,2,2,58,4.07753744390572,1,1,1,3,2,8,1,3,5.0
8,8,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,475,6.16541785423142,0,1,0,6,5,133,4.897839799950911,1,0,1,3,0,3,1,0,142.0
2,2,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,168,5.1298987149230735,1,0,3,0,8,116,4.762173934797756,1,1,2,1,4,6,1,4,31.0
7,7,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,374,5.926926025970411,1,2,4,3,4,278,5.631211781821365,1,1,2,3,5,8,1,2,28.0
3,3,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,192,5.262690188904886,1,0,2,3,2,46,3.8501476017100584,1,1,1,1,4,6,1,0,62.0
2,2,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,209,5.3471075307174685,0,2,4,6,9,31,3.4657359027997265,1,0,1,1,3,1,1,0,45.0
7,7,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,160,5.081404364984463,1,1,0,6,0,3,1.3862943611198906,1,0,0,3,3,3,1,4,141.0
5,5,10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,140,4.948759890378168,1,2,0,0,0,55,4.02535169073515,1,0,1,0,6,5,5,3,15.0
5,5,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,280,5.638354669333745,1,1,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,1,5,39.0
2,2,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,44,3.8066624897703196,1,2,4,2,4,12,2.5649493574615367,1,1,0,2,5,2,2,5,10.0
4,4,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,507,6.230481447578482,0,0,2,3,7,197,5.288267030694535,1,0,2,2,1,7,1,0,76.0
8,8,8,2.1972245773362196,1,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,400,5.993961427306569,1,1,0,1,0,140,4.948759890378168,1,1,2,0,0,0,4,1,100.0
8,8,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,361,5.8916442118257715,0,1,1,4,1,0,0.0,0,1,0,0,0,0,1,0,133.0
0,0,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,80,4.394449154672439,1,2,0,3,0,17,2.8903717578961645,1,0,2,2,3,7,1,1,15.0
9,9,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,280,5.638354669333745,1,1,0,0,0,32,3.4965075614664802,1,1,2,2,4,2,1,1,73.0
9,9,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,36,3.6109179126442243,1,0,1,1,6,10,2.3978952727983707,1,1,1,0,3,0,2,3,14.0
