slot_person_name,slot_container_count,slot_container_count_abs_log1p,slot_container_count_is_even,slot_container_count_mod3,slot_container_count_mod5,slot_container_count_mod7,slot_container_count_mod10,slot_items_per_container,slot_items_per_container_abs_log1p,slot_items_per_container_is_even,slot_items_per_container_mod3,slot_items_per_container_mod5,slot_items_per_container_mod7,slot_items_per_container_mod10,slot_pieces_per_unit,slot_pieces_per_unit_abs_log1p,slot_pieces_per_unit_is_even,slot_pieces_per_unit_mod3,slot_pieces_per_unit_mod5,slot_pieces_per_unit_mod7,slot_pieces_per_unit_mod10,slot_unit_name,slot_small_piece_item_name,slot_container_name,slot_heat_device,slot_price_per_unit,slot_price_per_unit_abs_log1p,slot_price_per_unit_frac,slot_price_per_unit_n_decimals,slot_currency_symbol,gcd_all,n_multiple_pairs,y
6,11,2.4849066497880004,0,2,1,4,1,143,4.969813299576001,0,2,3,3,3,11,2.4849066497880004,0,2,1,4,1,0,0,4,2,9.0,2.302585092994046,0.0,1,2,11,3,1287.0
0,4,1.6094379124341003,1,1,4,4,4,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,3,2,0,3,7.75,2.169053700369523,0.75,2,0,4,3,465.0
0,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,1,3,1,0,9.25,2.327277705584417,0.25,2,0,2,2,370.0
5,6,1.9459101490553132,1,0,1,6,6,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,4,0,1,3,5.25,1.8325814637483102,0.25,2,3,2,3,283.5
3,12,2.5649493574615367,1,0,2,5,2,121,4.804021044733257,0,1,1,2,1,11,2.4849066497880004,0,2,1,4,1,1,5,4,2,1.5,0.9162907318741551,0.5,1,2,1,1,198.0
5,8,2.1972245773362196,1,2,3,1,8,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,3,5,5,2,2.0,1.0986122886681098,0.0,1,0,1,1,112.0
5,6,1.9459101490553132,1,0,1,6,6,75,4.330733340286331,0,0,0,5,5,5,1.791759469228055,0,2,0,5,5,4,3,2,3,3.25,1.4469189829363254,0.25,2,2,1,1,292.5
2,3,1.3862943611198906,0,0,3,3,3,84,4.442651256490317,1,0,4,0,4,7,2.0794415416798357,0,1,2,0,7,2,5,2,1,5.75,1.9095425048844386,0.75,2,2,1,2,207.0
4,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,0,5,0,10,2.3978952727983707,1,1,0,3,0,2,3,0,0,0.75,0.5596157879354227,0.75,2,0,2,3,6.0
4,7,2.0794415416798357,0,1,2,0,7,32,3.4965075614664802,1,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,3,2,3,0,4.5,1.7047480922384253,0.5,1,1,1,1,126.0
3,5,1.791759469228055,0,2,0,5,5,70,4.2626798770413155,1,1,0,0,0,5,1.791759469228055,0,2,0,5,5,1,4,1,2,5.0,1.791759469228055,0.0,1,0,5,3,350.0
3,9,2.302585092994046,0,0,4,2,9,63,4.1588830833596715,0,0,3,0,3,7,2.0794415416798357,0,1,2,0,7,0,1,2,0,2.75,1.3217558399823195,0.75,2,2,1,2,222.75
3,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,1,3,2,2,6.25,1.9810014688665833,0.25,2,2,1,1,37.5
6,3,1.3862943611198906,0,0,3,3,3,45,3.828641396489095,0,0,0,3,5,9,2.302585092994046,0,0,4,2,9,3,4,1,1,4.5,1.7047480922384253,0.5,1,1,3,3,67.5
6,11,2.4849066497880004,0,2,1,4,1,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,3,4,4,3,2.75,1.3217558399823195,0.75,2,3,1,1,363.0
6,5,1.791759469228055,0,2,0,5,5,98,4.59511985013459,1,2,3,0,8,7,2.0794415416798357,0,1,2,0,7,4,4,3,3,7.0,2.0794415416798357,0.0,1,0,1,1,490.0
5,11,2.4849066497880004,0,2,1,4,1,56,4.04305126783455,1,2,1,0,6,7,2.0794415416798357,0,1,2,0,7,5,4,2,2,3.5,1.5040773967762742,0.5,1,2,1,1,308.0
3,11,2.4849066497880004,0,2,1,4,1,36,3.6109179126442243,1,0,1,1,6,9,2.302585092994046,0,0,4,2,9,3,3,3,1,5.75,1.9095425048844386,0.75,2,0,1,1,253.0
7,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,5,2,3,2,8.75,2.277267285009756,0.75,2,0,2,1,210.0
5,7,2.0794415416798357,0,1,2,0,7,144,4.976733742420574,1,0,4,4,4,12,2.5649493574615367,1,0,2,5,2,2,1,3,1,9.0,2.302585092994046,0.0,1,0,1,1,756.0
7,8,2.1972245773362196,1,2,3,1,8,60,4.110873864173311,1,0,0,4,0,10,2.3978952727983707,1,1,0,3,0,4,0,2,3,5.25,1.8325814637483102,0.25,2,3,2,1,252.0
1,8,2.1972245773362196,1,2,3,1,8,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,1,1,4,3,7.25,2.1102132003465894,0.25,2,1,1,1,406.0
5,6,1.9459101490553132,1,0,1,6,6,27,3.332204510175204,0,0,2,6,7,9,2.302585092994046,0,0,4,2,9,2,4,5,1,9.5,2.3513752571634776,0.5,1,3,3,1,171.0
4,3,1.3862943611198906,0,0,3,3,3,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,4,1,4,0,2.0,1.0986122886681098,0.0,1,2,1,1,24.0
6,5,1.791759469228055,0,2,0,5,5,117,4.770684624465665,0,0,2,5,7,9,2.302585092994046,0,0,4,2,9,2,5,4,1,6.25,1.9810014688665833,0.25,2,3,1,1,406.25
4,7,2.0794415416798357,0,1,2,0,7,99,4.605170185988092,0,0,4,1,9,11,2.4849066497880004,0,2,1,4,1,2,2,2,0,6.25,1.9810014688665833,0.25,2,3,1,1,393.75
0,4,1.6094379124341003,1,1,4,4,4,80,4.394449154672439,1,2,0,3,0,8,2.1972245773362196,1,2,3,1,8,5,4,0,3,0.75,0.5596157879354227,0.75,2,0,4,3,30.0
3,4,1.6094379124341003,1,1,4,4,4,70,4.2626798770413155,1,1,0,0,0,7,2.0794415416798357,0,1,2,0,7,3,4,2,2,1.5,0.9162907318741551,0.5,1,0,1,1,60.0
7,7,2.0794415416798357,0,1,2,0,7,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,5,3,5,1,1.0,0.6931471805599453,0.0,1,0,1,1,63.0
4,7,2.0794415416798357,0,1,2,0,7,84,4.442651256490317,1,0,4,0,4,7,2.0794415416798357,0,1,2,0,7,0,2,4,2,5.75,1.9095425048844386,0.75,2,1,7,3,483.0
3,4,1.6094379124341003,1,1,4,4,4,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,3,0,1,2,2.5,1.252762968495368,0.5,1,3,1,1,30.0
6,5,1.791759469228055,0,2,0,5,5,36,3.6109179126442243,1,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,3,1,3,2,0.5,0.4054651081081644,0.5,1,2,1,1,15.0
7,9,2.302585092994046,0,0,4,2,9,99,4.605170185988092,0,0,4,1,9,9,2.302585092994046,0,0,4,2,9,2,2,0,3,2.5,1.252762968495368,0.5,1,3,9,3,247.5
6,10,2.3978952727983707,1,1,0,3,0,91,4.5217885770490405,0,1,1,0,1,7,2.0794415416798357,0,1,2,0,7,5,1,2,1,6.75,2.0476928433652555,0.75,2,0,1,1,877.5
4,9,2.302585092994046,0,0,4,2,9,64,4.174387269895637,1,1,4,1,4,8,2.1972245773362196,1,2,3,1,8,1,4,5,1,8.75,2.277267285009756,0.75,2,1,1,1,630.0
1,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,3,4,4,2,1.0,0.6931471805599453,0.0,1,3,1,1,10.0
7,11,2.4849066497880004,0,2,1,4,1,24,3.2188758248682006,1,0,4,3,4,8,2.1972245773362196,1,2,3,1,8,2,1,4,3,8.75,2.277267285009756,0.75,2,0,1,1,288.75
7,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,4,1,5,3,9.5,2.3513752571634776,0.5,1,1,2,2,570.0
1,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,5,4,5,0,9.75,2.3749057545736716,0.75,2,1,1,1,438.75
1,9,2.302585092994046,0,0,4,2,9,56,4.04305126783455,1,2,1,0,6,7,2.0794415416798357,0,1,2,0,7,2,1,2,0,0.5,0.4054651081081644,0.5,1,2,1,1,36.0
0,12,2.5649493574615367,1,0,2,5,2,144,4.976733742420574,1,0,4,4,4,12,2.5649493574615367,1,0,2,5,2,0,1,0,3,6.5,2.0149030205422647,0.5,1,1,12,3,936.0
7,5,1.791759469228055,0,2,0,5,5,60,4.110873864173311,1,0,0,4,0,12,2.5649493574615367,1,0,2,5,2,5,0,5,0,5.0,1.791759469228055,0.0,1,2,1,2,125.0
4,12,2.5649493574615367,1,0,2,5,2,52,3.970291913552122,1,1,2,3,2,4,1.6094379124341003,1,1,4,4,4,4,0,4,1,9.0,2.302585092994046,0.0,1,0,4,2,1404.0
6,12,2.5649493574615367,1,0,2,5,2,135,4.912654885736052,0,0,0,2,5,9,2.302585092994046,0,0,4,2,9,5,5,2,0,5.75,1.9095425048844386,0.75,2,3,3,1,1035.0
2,10,2.3978952727983707,1,1,0,3,0,72,4.290459441148391,1,0,2,2,2,12,2.5649493574615367,1,0,2,5,2,0,4,2,3,6.75,2.0476928433652555,0.75,2,1,2,1,405.0
5,4,1.6094379124341003,1,1,4,4,4,55,4.02535169073515,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,1,2,5,2,6.25,1.9810014688665833,0.25,2,3,1,1,275.0
5,6,1.9459101490553132,1,0,1,6,6,22,3.1354942159291497,1,1,2,1,2,2,1.0986122886681098,1,2,2,2,2,2,2,5,1,8.5,2.2512917986064953,0.5,1,1,2,2,561.0
7,3,1.3862943611198906,0,0,3,3,3,117,4.770684624465665,0,0,2,5,7,9,2.302585092994046,0,0,4,2,9,2,5,2,1,8.5,2.2512917986064953,0.5,1,2,3,3,331.5
1,3,1.3862943611198906,0,0,3,3,3,156,5.056245805348308,1,0,1,2,6,12,2.5649493574615367,1,0,2,5,2,1,0,3,3,6.0,1.9459101490553132,0.0,1,1,3,3,234.0
5,6,1.9459101490553132,1,0,1,6,6,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,1,1,1,3,4.75,1.749199854809259,0.75,2,2,2,2,199.5
5,11,2.4849066497880004,0,2,1,4,1,165,5.111987788356544,0,0,0,4,5,11,2.4849066497880004,0,2,1,4,1,0,1,4,3,4.25,1.6582280766035324,0.25,2,2,11,3,701.25
7,8,2.1972245773362196,1,2,3,1,8,121,4.804021044733257,0,1,1,2,1,11,2.4849066497880004,0,2,1,4,1,3,3,3,0,2.25,1.1786549963416462,0.25,2,1,1,1,198.0
1,4,1.6094379124341003,1,1,4,4,4,84,4.442651256490317,1,0,4,0,4,7,2.0794415416798357,0,1,2,0,7,4,3,5,0,6.25,1.9810014688665833,0.25,2,2,1,2,300.0
5,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,2,3,2,3,4.75,1.749199854809259,0.75,2,2,1,1,213.75
7,3,1.3862943611198906,0,0,3,3,3,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,5,3,0,0,10.0,2.3978952727983707,0.0,1,3,3,3,240.0
5,3,1.3862943611198906,0,0,3,3,3,90,4.51085950651685,1,0,0,6,0,10,2.3978952727983707,1,1,0,3,0,3,2,5,1,5.25,1.8325814637483102,0.25,2,3,1,2,141.75
6,11,2.4849066497880004,0,2,1,4,1,36,3.6109179126442243,1,0,1,1,6,9,2.302585092994046,0,0,4,2,9,1,0,1,3,4.75,1.749199854809259,0.75,2,1,1,1,209.0
2,5,1.791759469228055,0,2,0,5,5,48,3.8918202981106265,1,0,3,6,8,12,2.5649493574615367,1,0,2,5,2,1,3,3,2,3.5,1.5040773967762742,0.5,1,1,1,1,70.0
4,7,2.0794415416798357,0,1,2,0,7,60,4.110873864173311,1,0,0,4,0,10,2.3978952727983707,1,1,0,3,0,4,4,2,0,1.25,0.8109302162163288,0.25,2,1,1,1,52.5
4,10,2.3978952727983707,1,1,0,3,0,27,3.332204510175204,0,0,2,6,7,3,1.3862943611198906,0,0,3,3,3,3,5,3,1,9.75,2.3749057545736716,0.75,2,0,1,1,877.5
4,10,2.3978952727983707,1,1,0,3,0,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,5,3,4,1,4.25,1.6582280766035324,0.25,2,2,5,2,297.5
3,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,2,4,2,1,5.5,1.8718021769015913,0.5,1,2,1,2,88.0
6,2,1.0986122886681098,1,2,2,2,2,54,4.007333185232471,1,0,4,5,4,9,2.302585092994046,0,0,4,2,9,2,5,0,1,6.25,1.9810014688665833,0.25,2,2,1,2,75.0
1,2,1.0986122886681098,1,2,2,2,2,33,3.5263605246161616,0,0,3,5,3,11,2.4849066497880004,0,2,1,4,1,1,5,5,0,7.75,2.169053700369523,0.75,2,3,1,1,46.5
0,3,1.3862943611198906,0,0,3,3,3,180,5.198497031265826,1,0,0,5,0,12,2.5649493574615367,1,0,2,5,2,5,4,5,1,1.75,1.0116009116784799,0.75,2,0,3,3,78.75
5,11,2.4849066497880004,0,2,1,4,1,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,1,3,3,1,6.75,2.0476928433652555,0.75,2,1,1,1,222.75
0,5,1.791759469228055,0,2,0,5,5,121,4.804021044733257,0,1,1,2,1,11,2.4849066497880004,0,2,1,4,1,2,0,1,3,3.5,1.5040773967762742,0.5,1,3,1,1,192.5
2,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,0,1,0,10,2.3978952727983707,1,1,0,3,0,4,0,4,2,4.25,1.6582280766035324,0.25,2,1,5,3,106.25
5,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,0,3,5,2,4.0,1.6094379124341003,0.0,1,3,4,3,48.0
2,8,2.1972245773362196,1,2,3,1,8,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,4,0,4,3,2.0,1.0986122886681098,0.0,1,3,1,1,192.0
5,10,2.3978952727983707,1,1,0,3,0,168,5.1298987149230735,1,0,3,0,8,12,2.5649493574615367,1,0,2,5,2,0,2,0,2,3.25,1.4469189829363254,0.25,2,0,2,1,455.0
5,7,2.0794415416798357,0,1,2,0,7,126,4.844187086458591,1,0,1,0,6,9,2.302585092994046,0,0,4,2,9,5,3,3,0,3.5,1.5040773967762742,0.5,1,1,1,2,343.0
5,11,2.4849066497880004,0,2,1,4,1,44,3.8066624897703196,1,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,4,4,1,1,0.5,0.4054651081081644,0.5,1,1,1,2,60.5
0,10,2.3978952727983707,1,1,0,3,0,168,5.1298987149230735,1,0,3,0,8,12,2.5649493574615367,1,0,2,5,2,3,5,3,2,7.5,2.1400661634962708,0.5,1,2,2,1,1050.0
4,11,2.4849066497880004,0,2,1,4,1,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,4,5,2,2,7.75,2.169053700369523,0.75,2,1,1,1,1278.75
1,9,2.302585092994046,0,0,4,2,9,44,3.8066624897703196,1,2,4,2,4,11,2.4849066497880004,0,2,1,4,1,3,5,5,0,8.25,2.224623551524334,0.25,2,1,1,1,297.0
1,7,2.0794415416798357,0,1,2,0,7,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,2,1,3,2,9.25,2.327277705584417,0.25,2,3,1,1,647.5
0,9,2.302585092994046,0,0,4,2,9,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,2,5,2,0,9.75,2.3749057545736716,0.75,2,3,1,1,877.5
6,4,1.6094379124341003,1,1,4,4,4,32,3.4965075614664802,1,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,2,2,0,3,3.25,1.4469189829363254,0.25,2,3,4,3,52.0
7,2,1.0986122886681098,1,2,2,2,2,80,4.394449154672439,1,2,0,3,0,8,2.1972245773362196,1,2,3,1,8,3,2,0,3,9.25,2.327277705584417,0.25,2,0,2,3,185.0
3,6,1.9459101490553132,1,0,1,6,6,110,4.709530201312334,1,2,0,5,0,11,2.4849066497880004,0,2,1,4,1,5,5,4,2,9.75,2.3749057545736716,0.75,2,0,1,1,585.0
3,6,1.9459101490553132,1,0,1,6,6,36,3.6109179126442243,1,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,0,1,3,3,8.5,2.2512917986064953,0.5,1,0,2,2,459.0
3,8,2.1972245773362196,1,2,3,1,8,63,4.1588830833596715,0,0,3,0,3,9,2.302585092994046,0,0,4,2,9,1,4,5,1,6.25,1.9810014688665833,0.25,2,3,1,1,350.0
2,7,2.0794415416798357,0,1,2,0,7,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,3,5,3,0,1.0,0.6931471805599453,0.0,1,1,1,1,42.0
2,4,1.6094379124341003,1,1,4,4,4,77,4.356708826689592,0,2,2,0,7,7,2.0794415416798357,0,1,2,0,7,0,1,1,1,1.0,0.6931471805599453,0.0,1,1,1,1,44.0
1,12,2.5649493574615367,1,0,2,5,2,36,3.6109179126442243,1,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,5,2,2,1,6.75,2.0476928433652555,0.75,2,3,4,3,729.0
5,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,3,2,0,0,3.25,1.4469189829363254,0.25,2,0,3,3,39.0
7,7,2.0794415416798357,0,1,2,0,7,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,3,5,1,1,1.0,0.6931471805599453,0.0,1,1,1,1,56.0
7,5,1.791759469228055,0,2,0,5,5,99,4.605170185988092,0,0,4,1,9,9,2.302585092994046,0,0,4,2,9,0,2,4,0,3.25,1.4469189829363254,0.25,2,1,1,1,178.75
3,9,2.302585092994046,0,0,4,2,9,75,4.330733340286331,0,0,0,5,5,5,1.791759469228055,0,2,0,5,5,0,4,2,0,9.75,2.3749057545736716,0.75,2,0,1,1,1316.25
6,12,2.5649493574615367,1,0,2,5,2,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,4,3,1,3,10.0,2.3978952727983707,0.0,1,2,1,1,720.0
2,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,0,1,4,0,4.75,1.749199854809259,0.75,2,0,4,2,190.0
5,4,1.6094379124341003,1,1,4,4,4,77,4.356708826689592,0,2,2,0,7,7,2.0794415416798357,0,1,2,0,7,0,1,1,3,9.0,2.302585092994046,0.0,1,1,1,1,396.0
7,11,2.4849066497880004,0,2,1,4,1,56,4.04305126783455,1,2,1,0,6,8,2.1972245773362196,1,2,3,1,8,0,3,1,2,3.0,1.3862943611198906,0.0,1,0,1,1,231.0
6,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,4,2,0,2,6.75,2.0476928433652555,0.75,2,0,1,2,337.5
0,9,2.302585092994046,0,0,4,2,9,32,3.4965075614664802,1,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,3,0,5,1,8.5,2.2512917986064953,0.5,1,0,1,1,306.0
7,11,2.4849066497880004,0,2,1,4,1,60,4.110873864173311,1,0,0,4,0,10,2.3978952727983707,1,1,0,3,0,0,4,2,3,2.75,1.3217558399823195,0.75,2,0,1,1,181.5
3,11,2.4849066497880004,0,2,1,4,1,84,4.442651256490317,1,0,4,0,4,12,2.5649493574615367,1,0,2,5,2,5,5,2,3,6.25,1.9810014688665833,0.25,2,3,1,1,481.25
4,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,0,1,2,0,1.0,0.6931471805599453,0.0,1,3,2,3,8.0
1,6,1.9459101490553132,1,0,1,6,6,54,4.007333185232471,1,0,4,5,4,6,1.9459101490553132,1,0,1,6,6,4,1,5,2,10.0,2.3978952727983707,0.0,1,1,6,3,540.0
7,11,2.4849066497880004,0,2,1,4,1,44,3.8066624897703196,1,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,2,2,0,2,3.25,1.4469189829363254,0.25,2,1,1,2,393.25
5,2,1.0986122886681098,1,2,2,2,2,70,4.2626798770413155,1,1,0,0,0,7,2.0794415416798357,0,1,2,0,7,2,0,3,2,10.0,2.3978952727983707,0.0,1,0,1,2,200.0
4,8,2.1972245773362196,1,2,3,1,8,117,4.770684624465665,0,0,2,5,7,9,2.302585092994046,0,0,4,2,9,3,2,0,1,4.75,1.749199854809259,0.75,2,0,1,1,494.0
0,3,1.3862943611198906,0,0,3,3,3,60,4.110873864173311,1,0,0,4,0,10,2.3978952727983707,1,1,0,3,0,2,0,3,0,4.0,1.6094379124341003,0.0,1,1,1,2,72.0
6,5,1.791759469228055,0,2,0,5,5,70,4.2626798770413155,1,1,0,0,0,5,1.791759469228055,0,2,0,5,5,5,3,5,1,5.0,1.791759469228055,0.0,1,1,5,3,350.0
5,7,2.0794415416798357,0,1,2,0,7,28,3.367295829986474,1,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,3,2,1,3,5.5,1.8718021769015913,0.5,1,1,1,2,269.5
6,11,2.4849066497880004,0,2,1,4,1,81,4.406719247264253,0,0,1,4,1,9,2.302585092994046,0,0,4,2,9,5,3,0,2,2.25,1.1786549963416462,0.25,2,2,1,1,222.75
2,10,2.3978952727983707,1,1,0,3,0,108,4.6913478822291435,1,0,3,3,8,9,2.302585092994046,0,0,4,2,9,5,2,1,1,6.5,2.0149030205422647,0.5,1,0,1,1,780.0
7,9,2.302585092994046,0,0,4,2,9,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,5,4,3,1,5.0,1.791759469228055,0.0,1,1,1,1,135.0
6,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,0,5,4,1,3.75,1.55814461804655,0.75,2,2,1,1,112.5
5,2,1.0986122886681098,1,2,2,2,2,44,3.8066624897703196,1,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,1,4,5,1,1.0,0.6931471805599453,0.0,1,1,2,3,22.0
0,8,2.1972245773362196,1,2,3,1,8,156,5.056245805348308,1,0,1,2,6,12,2.5649493574615367,1,0,2,5,2,4,2,4,1,3.25,1.4469189829363254,0.25,2,0,4,1,338.0
4,9,2.302585092994046,0,0,4,2,9,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,3,2,1,0,3.75,1.55814461804655,0.75,2,1,1,1,202.5
4,12,2.5649493574615367,1,0,2,5,2,45,3.828641396489095,0,0,0,3,5,9,2.302585092994046,0,0,4,2,9,4,3,2,0,0.5,0.4054651081081644,0.5,1,2,3,1,30.0
5,10,2.3978952727983707,1,1,0,3,0,32,3.4965075614664802,1,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,3,0,5,1,6.5,2.0149030205422647,0.5,1,1,2,1,520.0
3,8,2.1972245773362196,1,2,3,1,8,42,3.7612001156935624,1,0,2,0,2,3,1.3862943611198906,0,0,3,3,3,2,3,1,0,2.5,1.252762968495368,0.5,1,0,1,1,280.0
5,10,2.3978952727983707,1,1,0,3,0,65,4.189654742026425,0,2,0,2,5,5,1.791759469228055,0,2,0,5,5,0,0,0,3,7.0,2.0794415416798357,0.0,1,3,5,2,910.0
1,6,1.9459101490553132,1,0,1,6,6,80,4.394449154672439,1,2,0,3,0,8,2.1972245773362196,1,2,3,1,8,2,5,2,3,7.75,2.169053700369523,0.75,2,3,2,1,465.0
1,3,1.3862943611198906,0,0,3,3,3,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,1,5,0,0,0.75,0.5596157879354227,0.75,2,0,1,2,33.75
0,5,1.791759469228055,0,2,0,5,5,99,4.605170185988092,0,0,4,1,9,9,2.302585092994046,0,0,4,2,9,2,1,1,1,8.0,2.1972245773362196,0.0,1,0,1,1,440.0
