slot_owner,slot_item,slot_currency_symbol,slot_initial_price,slot_initial_price_abs_log1p,slot_initial_price_mod3,slot_initial_price_mod7,slot_rate1,slot_rate1_abs_log1p,slot_rate1_is_even,slot_rate1_mod3,slot_rate1_mod5,slot_rate1_mod7,slot_rate1_mod10,slot_rate2,slot_rate2_abs_log1p,slot_rate2_is_even,slot_rate2_mod3,slot_rate2_mod5,slot_rate2_mod7,slot_rate2_mod10,slot_rate3,slot_rate3_abs_log1p,slot_rate3_is_even,slot_rate3_mod3,slot_rate3_mod5,slot_rate3_mod7,slot_rate3_mod10,gcd_all,n_multiple_pairs,y
5,4,5,11000,9.305741456739435,2,3,23,3.1780538303479458,0,2,3,2,3,16,2.833213344056216,1,1,1,2,6,19,2.995732273553991,0,1,4,5,9,1,0,5762.99
8,5,4,22500,10.021315031649332,0,2,11,2.4849066497880004,0,2,1,4,1,38,3.6635616461296463,1,2,3,3,8,36,3.6109179126442243,1,0,1,1,6,1,1,7945.92
0,2,4,12700,9.44943600950432,1,2,11,2.4849066497880004,0,2,1,4,1,37,3.6375861597263857,0,1,2,2,7,25,3.258096538021482,0,1,0,4,5,1,1,5340.67
9,3,5,28700,10.264687244346277,2,0,41,3.7376696182833684,0,2,1,6,1,44,3.8066624897703196,1,2,4,2,4,30,3.4339872044851463,1,0,0,2,0,1,1,6637.74
0,7,2,2900,7.972810784121404,2,2,38,3.6635616461296463,1,2,3,3,8,28,3.367295829986474,1,1,3,0,8,14,2.70805020110221,1,2,4,0,4,2,1,1113.32
2,2,8,11600,9.358846580275406,2,1,42,3.7612001156935624,1,0,2,0,2,16,2.833213344056216,1,1,1,2,6,36,3.6109179126442243,1,0,1,1,6,2,1,3616.97
3,1,8,25500,10.146472946063877,0,6,35,3.58351893845611,0,2,0,0,5,30,3.4339872044851463,1,0,0,2,0,7,2.0794415416798357,0,1,2,0,7,1,2,10790.33
7,4,3,2500,7.824445930877619,1,1,17,2.8903717578961645,0,2,2,3,7,35,3.58351893845611,0,2,0,0,5,31,3.4657359027997265,0,1,1,3,1,1,0,930.64
3,2,1,18400,9.820160289946374,1,4,42,3.7612001156935624,1,0,2,0,2,22,3.1354942159291497,1,1,2,1,2,22,3.1354942159291497,1,1,2,1,2,2,1,6492.84
4,5,0,29100,10.278527816830314,0,1,27,3.332204510175204,0,0,2,6,7,36,3.6109179126442243,1,0,1,1,6,30,3.4339872044851463,1,0,0,2,0,3,1,9516.86
9,6,4,20600,9.933094897288786,2,6,31,3.4657359027997265,0,1,1,3,1,48,3.8918202981106265,1,0,3,6,8,34,3.5553480614894135,1,1,4,6,4,1,0,4878.24
9,7,8,24000,10.085850775128717,0,4,20,3.044522437723423,1,2,0,6,0,30,3.4339872044851463,1,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,2,3,12364.8
5,6,3,18500,9.825580063659602,2,6,16,2.833213344056216,1,1,1,2,6,16,2.833213344056216,1,1,1,2,6,38,3.6635616461296463,1,2,3,3,8,2,1,8093.23
2,6,2,11600,9.358846580275406,2,1,26,3.295836866004329,1,2,1,5,6,25,3.258096538021482,0,1,0,4,5,19,2.995732273553991,0,1,4,5,9,1,1,5214.78
6,3,8,3500,8.160803920954665,2,0,41,3.7376696182833684,0,2,1,6,1,47,3.871201010907891,0,2,2,5,7,22,3.1354942159291497,1,1,2,1,2,1,0,853.67
1,4,4,29400,10.288783966353765,0,0,17,2.8903717578961645,0,2,2,3,7,26,3.295836866004329,1,2,1,5,6,19,2.995732273553991,0,1,4,5,9,1,0,14626.56
9,5,1,7200,8.881975184248867,0,4,49,3.912023005428146,0,1,4,0,9,31,3.4657359027997265,0,1,1,3,1,5,1.791759469228055,0,2,0,5,5,1,1,2407.0
8,7,6,13100,9.48044384215367,2,3,47,3.871201010907891,0,2,2,5,7,25,3.258096538021482,0,1,0,4,5,26,3.295836866004329,1,2,1,5,6,1,1,3853.37
8,0,4,27500,10.221977646629885,2,4,35,3.58351893845611,0,2,0,0,5,13,2.6390573296152584,0,1,3,6,3,37,3.6375861597263857,0,1,2,2,7,1,0,9797.29
8,2,7,10500,9.259225769705994,0,0,32,3.4965075614664802,1,2,2,4,2,17,2.8903717578961645,0,2,2,3,7,20,3.044522437723423,1,2,0,6,0,1,1,4740.96
9,5,6,15200,9.62911649414402,2,3,41,3.7376696182833684,0,2,1,6,1,34,3.5553480614894135,1,1,4,6,4,36,3.6109179126442243,1,0,1,1,6,1,0,3788.08
8,5,3,20300,9.918425424900335,2,0,32,3.4965075614664802,1,2,2,4,2,23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,1,0,9991.34
6,0,6,18400,9.820160289946374,1,4,35,3.58351893845611,0,2,0,0,5,24,3.2188758248682006,1,0,4,3,4,21,3.091042453358316,0,0,1,0,1,1,0,7180.78
7,3,6,17000,9.741027444837728,2,4,28,3.367295829986474,1,1,3,0,8,14,2.70805020110221,1,2,4,0,4,34,3.5553480614894135,1,1,4,6,4,2,2,6947.42
1,5,8,15600,9.65509029374725,0,4,10,2.3978952727983707,1,1,0,3,0,42,3.7612001156935624,1,0,2,0,2,25,3.258096538021482,0,1,0,4,5,1,2,6107.4
9,0,7,28900,10.27163147557801,1,4,11,2.4849066497880004,0,2,1,4,1,12,2.5649493574615367,1,0,2,5,2,23,3.1780538303479458,0,2,3,2,3,1,0,17428.55
5,6,0,25200,10.134638955251866,0,0,44,3.8066624897703196,1,2,4,2,4,41,3.7376696182833684,0,2,1,6,1,39,3.6888794541139363,0,0,4,4,9,1,0,5078.91
3,6,4,15700,9.661479683575521,1,6,32,3.4965075614664802,1,2,2,4,2,13,2.6390573296152584,0,1,3,6,3,19,2.995732273553991,0,1,4,5,9,1,0,7523.38
9,6,5,21400,9.97119292889014,1,1,10,2.3978952727983707,1,1,0,3,0,44,3.8066624897703196,1,2,4,2,4,29,3.4011973816621555,0,2,4,1,9,1,1,7657.78
7,1,6,18900,9.846970109700957,0,0,15,2.772588722239781,0,0,0,1,5,13,2.6390573296152584,0,1,3,6,3,15,2.772588722239781,0,0,0,1,5,1,3,11880.07
2,6,5,28000,10.239995502805316,1,0,36,3.6109179126442243,1,0,1,1,6,30,3.4339872044851463,1,0,0,2,0,37,3.6375861597263857,0,1,2,2,7,1,0,7902.72
9,0,2,26600,10.188704088048116,2,0,49,3.912023005428146,0,1,4,0,9,44,3.8066624897703196,1,2,4,2,4,28,3.367295829986474,1,1,3,0,8,1,1,5469.81
7,3,7,21400,9.97119292889014,1,1,23,3.1780538303479458,0,2,3,2,3,39,3.6888794541139363,0,0,4,4,9,32,3.4965075614664802,1,2,2,4,2,1,0,6835.07
0,1,4,23800,10.077482875583607,1,0,38,3.6635616461296463,1,2,3,3,8,47,3.871201010907891,0,2,2,5,7,19,2.995732273553991,0,1,4,5,9,1,1,6334.75
7,2,3,19100,9.857495968685136,2,4,17,2.8903717578961645,0,2,2,3,7,47,3.871201010907891,0,2,2,5,7,21,3.091042453358316,0,0,1,0,1,1,0,6637.65
6,6,5,23100,10.047631185616188,0,0,24,3.2188758248682006,1,0,4,3,4,17,2.8903717578961645,0,2,2,3,7,36,3.6109179126442243,1,0,1,1,6,1,0,9325.75
3,6,1,2300,7.741099090035366,2,4,19,2.995732273553991,0,1,4,5,9,28,3.367295829986474,1,1,3,0,8,27,3.332204510175204,0,0,2,6,7,1,0,979.19
2,3,7,27900,10.236417809461043,0,5,20,3.044522437723423,1,2,0,6,0,39,3.6888794541139363,0,0,4,4,9,21,3.091042453358316,0,0,1,0,1,1,1,10756.01
7,2,8,25200,10.134638955251866,0,0,28,3.367295829986474,1,1,3,0,8,29,3.4011973816621555,0,2,4,1,9,13,2.6390573296152584,0,1,3,6,3,1,1,11207.55
9,2,6,21100,9.957075711706057,1,2,18,2.9444389791664403,1,0,3,4,8,41,3.7376696182833684,0,2,1,6,1,14,2.70805020110221,1,2,4,0,4,1,0,8779.03
8,3,3,7500,8.922791623969637,0,3,17,2.8903717578961645,0,2,2,3,7,10,2.3978952727983707,1,1,0,3,0,40,3.713572066704308,1,1,0,5,0,1,2,3361.5
7,7,2,10400,9.249657234353133,2,5,50,3.9318256327243257,1,2,0,1,0,18,2.9444389791664403,1,0,3,4,8,29,3.4011973816621555,0,2,4,1,9,1,1,3027.44
2,4,4,6800,8.824824939175638,2,3,12,2.5649493574615367,1,0,2,5,2,41,3.7376696182833684,0,2,1,6,1,23,3.1780538303479458,0,2,3,2,3,1,0,2718.53
2,3,5,20600,9.933094897288786,2,6,47,3.871201010907891,0,2,2,5,7,43,3.784189633918261,0,1,3,1,3,34,3.5553480614894135,1,1,4,6,4,1,0,4107.35
5,1,5,13800,9.53249633228804,0,3,19,2.995732273553991,0,1,4,5,9,42,3.7612001156935624,1,0,2,0,2,18,2.9444389791664403,1,0,3,4,8,1,0,5316.26
5,1,7,6100,8.716207971151853,1,3,44,3.8066624897703196,1,2,4,2,4,19,2.995732273553991,0,1,4,5,9,34,3.5553480614894135,1,1,4,6,4,1,0,1826.19
9,5,5,15200,9.62911649414402,2,3,16,2.833213344056216,1,1,1,2,6,35,3.58351893845611,0,2,0,0,5,31,3.4657359027997265,0,1,1,3,1,1,1,5726.45
1,0,3,18500,9.825580063659602,2,6,26,3.295836866004329,1,2,1,5,6,16,2.833213344056216,1,1,1,2,6,8,2.1972245773362196,1,2,3,1,8,2,1,10579.63
5,1,5,7600,8.936035096566041,1,5,38,3.6635616461296463,1,2,3,3,8,36,3.6109179126442243,1,0,1,1,6,5,1.791759469228055,0,2,0,5,5,1,2,2864.9
9,7,6,16200,9.692828247710418,0,2,20,3.044522437723423,1,2,0,6,0,25,3.258096538021482,0,1,0,4,5,25,3.258096538021482,0,1,0,4,5,5,4,7290.0
8,0,0,21400,9.97119292889014,1,1,19,2.995732273553991,0,1,4,5,9,22,3.1354942159291497,1,1,2,1,2,38,3.6635616461296463,1,2,3,3,8,1,1,8382.72
3,4,1,3400,8.131824785007195,1,5,15,2.772588722239781,0,0,0,1,5,44,3.8066624897703196,1,2,4,2,4,12,2.5649493574615367,1,0,2,5,2,1,0,1424.19
3,7,2,15600,9.65509029374725,0,4,42,3.7612001156935624,1,0,2,0,2,29,3.4011973816621555,0,2,4,1,9,14,2.70805020110221,1,2,4,0,4,1,1,5524.71
9,0,8,17400,9.76428295481558,0,5,11,2.4849066497880004,0,2,1,4,1,39,3.6888794541139363,0,0,4,4,9,12,2.5649493574615367,1,0,2,5,2,1,1,8312.88
1,3,3,13800,9.53249633228804,0,3,25,3.258096538021482,0,1,0,4,5,23,3.1780538303479458,0,2,3,2,3,30,3.4339872044851463,1,0,0,2,0,1,3,5578.65
5,5,1,14100,9.55400099583723,0,2,14,2.70805020110221,1,2,4,0,4,42,3.7612001156935624,1,0,2,0,2,18,2.9444389791664403,1,0,3,4,8,2,1,5767.13
6,1,2,8800,9.082620630373812,1,1,17,2.8903717578961645,0,2,2,3,7,23,3.1780538303479458,0,2,3,2,3,12,2.5649493574615367,1,0,2,5,2,1,0,4949.19
3,2,6,18300,9.814710982145282,0,2,25,3.258096538021482,0,1,0,4,5,31,3.4657359027997265,0,1,1,3,1,7,2.0794415416798357,0,1,2,0,7,1,1,8807.33
6,2,6,9600,9.169622538697624,0,3,42,3.7612001156935624,1,0,2,0,2,18,2.9444389791664403,1,0,3,4,8,34,3.5553480614894135,1,1,4,6,4,2,0,3013.4
6,4,2,28900,10.27163147557801,1,4,21,3.091042453358316,0,0,1,0,1,29,3.4011973816621555,0,2,4,1,9,35,3.58351893845611,0,2,0,0,5,1,0,10536.51
4,5,3,24300,10.098272780745283,0,3,22,3.1354942159291497,1,1,2,1,2,13,2.6390573296152584,0,1,3,6,3,32,3.4965075614664802,1,2,2,4,2,1,0,11213.19
1,4,5,18700,9.83633227734872,1,3,46,3.8501476017100584,1,1,1,4,6,34,3.5553480614894135,1,1,4,6,4,39,3.6888794541139363,0,0,4,4,9,1,1,4065.45
1,4,1,16800,9.729193687429403,0,0,27,3.332204510175204,0,0,2,6,7,26,3.295836866004329,1,2,1,5,6,6,1.9459101490553132,1,0,1,6,6,1,1,8530.84
3,4,8,11100,9.314790473332646,0,5,48,3.8918202981106265,1,0,3,6,8,12,2.5649493574615367,1,0,2,5,2,39,3.6888794541139363,0,0,4,4,9,3,2,3098.41
7,6,2,3700,8.216358332386156,1,4,23,3.1780538303479458,0,2,3,2,3,47,3.871201010907891,0,2,2,5,7,26,3.295836866004329,1,2,1,5,6,1,0,1117.38
1,5,2,27700,10.229223792606835,1,1,36,3.6109179126442243,1,0,1,1,6,32,3.4965075614664802,1,2,2,4,2,30,3.4339872044851463,1,0,0,2,0,2,0,8438.53
6,7,0,9500,9.15915233520675,2,1,25,3.258096538021482,0,1,0,4,5,14,2.70805020110221,1,2,4,0,4,7,2.0794415416798357,0,1,2,0,7,1,2,5698.58
4,6,6,11700,9.367429587218957,0,3,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,34,3.5553480614894135,1,1,4,6,4,2,1,5445.55
6,1,7,24700,10.114599007626499,1,4,43,3.784189633918261,0,1,3,1,3,42,3.7612001156935624,1,0,2,0,2,40,3.713572066704308,1,1,0,5,0,1,0,4899.49
2,3,1,3000,8.006700845440367,0,4,21,3.091042453358316,0,0,1,0,1,28,3.367295829986474,1,1,3,0,8,27,3.332204510175204,0,0,2,6,7,1,0,1245.67
9,1,2,19400,9.873079890114703,2,3,49,3.912023005428146,0,1,4,0,9,22,3.1354942159291497,1,1,2,1,2,29,3.4011973816621555,0,2,4,1,9,1,0,5479.3
5,4,1,11500,9.350189267092581,1,6,42,3.7612001156935624,1,0,2,0,2,36,3.6109179126442243,1,0,1,1,6,35,3.58351893845611,0,2,0,0,5,1,0,2774.72
2,5,1,8200,9.012011377036412,1,3,43,3.784189633918261,0,1,3,1,3,12,2.5649493574615367,1,0,2,5,2,10,2.3978952727983707,1,1,0,3,0,1,1,3701.81
4,0,2,26600,10.188704088048116,2,0,47,3.871201010907891,0,2,2,5,7,49,3.912023005428146,0,1,4,0,9,17,2.8903717578961645,0,2,2,3,7,1,0,5967.68
2,6,7,18100,9.803722464346553,1,5,11,2.4849066497880004,0,2,1,4,1,36,3.6109179126442243,1,0,1,1,6,16,2.833213344056216,1,1,1,2,6,1,0,8660.2
3,0,8,13800,9.53249633228804,0,3,25,3.258096538021482,0,1,0,4,5,30,3.4339872044851463,1,0,0,2,0,19,2.995732273553991,0,1,4,5,9,1,2,5868.45
1,2,6,29600,10.295563423525277,2,4,15,2.772588722239781,0,0,0,1,5,47,3.871201010907891,0,2,2,5,7,27,3.332204510175204,0,0,2,6,7,1,0,9734.4
2,6,2,19100,9.857495968685136,2,4,36,3.6109179126442243,1,0,1,1,6,27,3.332204510175204,0,0,2,6,7,27,3.332204510175204,0,0,2,6,7,1,1,6514.17
2,0,2,4600,8.434028950155469,1,1,27,3.332204510175204,0,0,2,6,7,27,3.332204510175204,0,0,2,6,7,5,1.791759469228055,0,2,0,5,5,1,2,2328.77
9,1,3,21400,9.97119292889014,1,1,34,3.5553480614894135,1,1,4,6,4,46,3.8501476017100584,1,1,1,4,6,12,2.5649493574615367,1,0,2,5,2,2,0,6711.72
7,0,0,6400,8.764209507142004,1,2,31,3.4657359027997265,0,1,1,3,1,35,3.58351893845611,0,2,0,0,5,26,3.295836866004329,1,2,1,5,6,1,0,2124.1
6,6,4,17200,9.75272280064639,1,1,17,2.8903717578961645,0,2,2,3,7,42,3.7612001156935624,1,0,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,1,7700.47
6,2,2,24400,10.102379394048045,1,5,16,2.833213344056216,1,1,1,2,6,30,3.4339872044851463,1,0,0,2,0,14,2.70805020110221,1,2,4,0,4,2,1,12338.59
7,2,7,28800,10.268165387743457,0,2,15,2.772588722239781,0,0,0,1,5,35,3.58351893845611,0,2,0,0,5,20,3.044522437723423,1,2,0,6,0,5,2,12729.6
6,7,4,19000,9.852246888342531,1,2,10,2.3978952727983707,1,1,0,3,0,40,3.713572066704308,1,1,0,5,0,7,2.0794415416798357,0,1,2,0,7,1,3,9541.8
4,3,7,25100,10.130662964963708,2,5,18,2.9444389791664403,1,0,3,4,8,43,3.784189633918261,0,1,3,1,3,8,2.1972245773362196,1,2,3,1,8,1,0,10793.2
7,1,3,12300,9.417435838868785,0,1,21,3.091042453358316,0,0,1,0,1,24,3.2188758248682006,1,0,4,3,4,29,3.4011973816621555,0,2,4,1,9,1,0,5243.29
3,0,8,6900,8.839421607620602,0,5,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,4,4,3886.08
5,2,6,24500,10.106469212026385,2,0,11,2.4849066497880004,0,2,1,4,1,14,2.70805020110221,1,2,4,0,4,15,2.772588722239781,0,0,0,1,5,1,1,15939.46
0,3,0,25600,10.150386692204734,1,1,34,3.5553480614894135,1,1,4,6,4,48,3.8918202981106265,1,0,3,6,8,27,3.332204510175204,0,0,2,6,7,1,0,6413.72
8,5,8,18300,9.814710982145282,0,2,45,3.828641396489095,0,0,0,3,5,47,3.871201010907891,0,2,2,5,7,17,2.8903717578961645,0,2,2,3,7,1,0,4427.59
4,0,7,25800,10.158168529848494,0,5,36,3.6109179126442243,1,0,1,1,6,24,3.2188758248682006,1,0,4,3,4,26,3.295836866004329,1,2,1,5,6,2,1,9286.35
0,5,0,19200,9.862717639992917,0,6,17,2.8903717578961645,0,2,2,3,7,21,3.091042453358316,0,0,1,0,1,19,2.995732273553991,0,1,4,5,9,1,0,10197.45
6,4,8,24600,10.110542371500753,0,2,38,3.6635616461296463,1,2,3,3,8,26,3.295836866004329,1,2,1,5,6,18,2.9444389791664403,1,0,3,4,8,2,0,9254.91
2,6,0,18000,9.798182590890704,0,3,32,3.4965075614664802,1,2,2,4,2,33,3.5263605246161616,0,0,3,5,3,20,3.044522437723423,1,2,0,6,0,1,1,6560.64
8,2,1,8800,9.082620630373812,1,1,50,3.9318256327243257,1,2,0,1,0,50,3.9318256327243257,1,2,0,1,0,40,3.713572066704308,1,1,0,5,0,10,4,1320.0
4,2,1,24200,10.094149233605084,2,1,23,3.1780538303479458,0,2,3,2,3,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,1,1,13751.89
1,2,4,5100,8.537191877922927,0,4,28,3.367295829986474,1,1,3,0,8,40,3.713572066704308,1,1,0,5,0,19,2.995732273553991,0,1,4,5,9,1,0,1784.59
3,1,1,3700,8.216358332386156,1,4,23,3.1780538303479458,0,2,3,2,3,43,3.784189633918261,0,1,3,1,3,29,3.4011973816621555,0,2,4,1,9,1,0,1152.99
6,7,0,11500,9.350189267092581,1,6,49,3.912023005428146,0,1,4,0,9,30,3.4339872044851463,1,0,0,2,0,30,3.4339872044851463,1,0,0,2,0,1,1,2873.85
6,2,7,10900,9.296609807128359,1,1,47,3.871201010907891,0,2,2,5,7,26,3.295836866004329,1,2,1,5,6,34,3.5553480614894135,1,1,4,6,4,1,0,2821.49
1,6,6,22100,10.003378135350923,2,1,43,3.784189633918261,0,1,3,1,3,35,3.58351893845611,0,2,0,0,5,36,3.6109179126442243,1,0,1,1,6,1,0,5240.35
9,1,2,15400,9.642187721358466,1,0,16,2.833213344056216,1,1,1,2,6,49,3.912023005428146,0,1,4,0,9,22,3.1354942159291497,1,1,2,1,2,1,1,5145.94
6,7,5,23700,10.073272520325904,0,5,45,3.828641396489095,0,0,0,3,5,23,3.1780538303479458,0,2,3,2,3,17,2.8903717578961645,0,2,2,3,7,1,0,8330.67
9,5,8,28500,10.25769445336048,0,3,47,3.871201010907891,0,2,2,5,7,44,3.8066624897703196,1,2,4,2,4,13,2.6390573296152584,0,1,3,6,3,1,0,7359.16
9,4,8,25700,10.154285180632154,2,3,18,2.9444389791664403,1,0,3,4,8,30,3.4339872044851463,1,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,2,2,13866.69
8,0,1,28100,10.243560441877241,2,2,16,2.833213344056216,1,1,1,2,6,50,3.9318256327243257,1,2,0,1,0,13,2.6390573296152584,0,1,3,6,3,1,1,10267.74
3,1,8,27100,10.207325906555994,1,3,28,3.367295829986474,1,1,3,0,8,35,3.58351893845611,0,2,0,0,5,23,3.1780538303479458,0,2,3,2,3,1,0,9765.76
5,3,6,16200,9.692828247710418,0,2,24,3.2188758248682006,1,0,4,3,4,50,3.9318256327243257,1,2,0,1,0,29,3.4011973816621555,0,2,4,1,9,1,2,4370.76
8,1,4,8000,8.987321812850125,2,6,32,3.4965075614664802,1,2,2,4,2,48,3.8918202981106265,1,0,3,6,8,17,2.8903717578961645,0,2,2,3,7,1,1,2347.9
5,4,7,11000,9.305741456739435,2,3,25,3.258096538021482,0,1,0,4,5,38,3.6635616461296463,1,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,1,2,4705.8
0,7,2,14700,9.595670797663967,0,0,12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,31,3.4657359027997265,0,1,1,3,1,1,3,7854.74
5,3,4,25500,10.146472946063877,0,6,44,3.8066624897703196,1,2,4,2,4,50,3.9318256327243257,1,2,0,1,0,22,3.1354942159291497,1,1,2,1,2,2,2,5569.2
4,3,1,13700,9.525224101853109,2,1,16,2.833213344056216,1,1,1,2,6,35,3.58351893845611,0,2,0,0,5,37,3.6375861597263857,0,1,2,2,7,1,0,4712.53
3,1,5,19400,9.873079890114703,2,3,24,3.2188758248682006,1,0,4,3,4,36,3.6109179126442243,1,0,1,1,6,12,2.5649493574615367,1,0,2,5,2,4,2,8303.82
6,0,8,6200,8.732465848349879,2,5,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,26,3.295836866004329,1,2,1,5,6,1,0,3593.32
4,4,7,10400,9.249657234353133,2,5,21,3.091042453358316,0,0,1,0,1,34,3.5553480614894135,1,1,4,6,4,15,2.772588722239781,0,0,0,1,5,1,0,4609.18
0,7,3,12000,9.392745258631441,0,2,50,3.9318256327243257,1,2,0,1,0,25,3.258096538021482,0,1,0,4,5,8,2.1972245773362196,1,2,3,1,8,1,4,4140.0
1,7,5,21500,9.975854724662028,2,3,33,3.5263605246161616,0,0,3,5,3,20,3.044522437723423,1,2,0,6,0,22,3.1354942159291497,1,1,2,1,2,1,1,8988.72
6,4,2,28800,10.268165387743457,0,2,42,3.7612001156935624,1,0,2,0,2,50,3.9318256327243257,1,2,0,1,0,23,3.1780538303479458,0,2,3,2,3,1,1,6431.04
9,4,2,21400,9.97119292889014,1,1,46,3.8501476017100584,1,1,1,4,6,23,3.1780538303479458,0,2,3,2,3,24,3.2188758248682006,1,0,4,3,4,1,1,6762.57
9,6,7,6300,8.748463629942055,0,0,33,3.5263605246161616,0,0,3,5,3,17,2.8903717578961645,0,2,2,3,7,29,3.4011973816621555,0,2,4,1,9,1,0,2487.44
9,0,5,6000,8.699681400989514,0,1,24,3.2188758248682006,1,0,4,3,4,42,3.7612001156935624,1,0,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,2,2459.66
1,2,0,16500,9.711176264112805,0,1,28,3.367295829986474,1,1,3,0,8,22,3.1354942159291497,1,1,2,1,2,22,3.1354942159291497,1,1,2,1,2,2,3,7227.79
2,3,7,4900,8.497194544909547,1,0,13,2.6390573296152584,0,1,3,6,3,31,3.4657359027997265,0,1,1,3,1,21,3.091042453358316,0,0,1,0,1,1,0,2323.76
