slot_owner_name,slot_fast_entity,slot_slow_entity,slot_ratio,slot_ratio_abs_log1p,slot_ratio_is_even,slot_ratio_mod3,slot_ratio_mod5,slot_ratio_mod7,slot_ratio_mod10,slot_fast_speed,slot_fast_speed_abs_log1p,slot_fast_speed_is_even,slot_fast_speed_mod3,slot_fast_speed_mod5,slot_fast_speed_mod7,slot_fast_speed_mod10,slot_dist_unit,slot_time_unit_singular,slot_time_unit_plural,slot_time_duration,slot_time_duration_abs_log1p,slot_time_duration_is_even,slot_time_duration_mod3,slot_time_duration_mod5,slot_time_duration_mod7,slot_time_duration_mod10,gcd_all,n_multiple_pairs,y
5,0,0,2,1.0986122886681098,1,2,2,2,2,80,4.394449154672439,1,2,0,3,0,5,1,1,10,2.3978952727983707,1,1,0,3,0,2,3,400.0
0,0,0,8,2.1972245773362196,1,2,3,1,8,56,4.04305126783455,1,2,1,0,6,0,2,2,125,4.836281906951478,0,2,0,6,5,1,1,875.0
6,7,7,6,1.9459101490553132,1,0,1,6,6,126,4.844187086458591,1,0,1,0,6,4,2,2,146,4.990432586778736,1,2,1,6,6,2,1,3066.0
2,6,6,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,2,1,1,32,3.4965075614664802,1,2,2,4,2,1,1,192.0
0,4,4,7,2.0794415416798357,0,1,2,0,7,77,4.356708826689592,0,2,2,0,7,5,2,2,74,4.31748811353631,1,2,4,4,4,1,1,814.0
7,9,9,5,1.791759469228055,0,2,0,5,5,170,5.14166355650266,1,2,0,2,0,5,1,1,63,4.1588830833596715,0,0,3,0,3,1,1,2142.0
1,6,6,3,1.3862943611198906,0,0,3,3,3,99,4.605170185988092,0,0,4,1,9,1,1,1,11,2.4849066497880004,0,2,1,4,1,1,2,363.0
2,9,9,4,1.6094379124341003,1,1,4,4,4,140,4.948759890378168,1,2,0,0,0,0,0,0,83,4.430816798843313,0,2,3,6,3,1,1,2905.0
2,7,7,9,2.302585092994046,0,0,4,2,9,117,4.770684624465665,0,0,2,5,7,4,2,2,113,4.736198448394496,0,2,3,1,3,1,1,1469.0
4,2,2,5,1.791759469228055,0,2,0,5,5,190,5.25227342804663,1,1,0,1,0,0,1,1,154,5.043425116919247,1,1,4,0,4,1,1,5852.0
9,8,8,4,1.6094379124341003,1,1,4,4,4,76,4.343805421853684,1,1,1,6,6,1,1,1,122,4.812184355372417,1,2,2,3,2,2,1,2318.0
2,7,7,4,1.6094379124341003,1,1,4,4,4,116,4.762173934797756,1,2,1,4,6,4,2,2,18,2.9444389791664403,1,0,3,4,8,2,1,522.0
0,1,1,5,1.791759469228055,0,2,0,5,5,60,4.110873864173311,1,0,0,4,0,4,2,2,150,5.017279836814924,1,0,0,3,0,5,2,1800.0
4,7,7,9,2.302585092994046,0,0,4,2,9,45,3.828641396489095,0,0,0,3,5,4,1,1,158,5.0689042022202315,1,2,3,4,8,1,1,790.0
5,3,3,7,2.0794415416798357,0,1,2,0,7,182,5.209486152841421,1,2,2,0,2,0,2,2,58,4.07753744390572,1,1,3,2,8,1,1,1508.0
0,7,7,7,2.0794415416798357,0,1,2,0,7,259,5.560681631015528,0,1,4,0,9,1,1,1,147,4.997212273764115,0,0,2,0,7,7,2,5439.0
6,5,5,6,1.9459101490553132,1,0,1,6,6,180,5.198497031265826,1,0,0,5,0,0,1,1,32,3.4965075614664802,1,2,2,4,2,2,1,960.0
2,1,1,5,1.791759469228055,0,2,0,5,5,100,4.61512051684126,1,1,0,2,0,5,0,0,180,5.198497031265826,1,0,0,5,0,5,2,3600.0
7,5,5,9,2.302585092994046,0,0,4,2,9,360,5.8888779583328805,1,0,0,3,0,4,1,1,179,5.19295685089021,0,2,4,4,9,1,1,7160.0
7,5,5,6,1.9459101490553132,1,0,1,6,6,168,5.1298987149230735,1,0,3,0,8,1,0,0,96,4.574710978503383,1,0,1,5,6,6,2,2688.0
8,1,1,5,1.791759469228055,0,2,0,5,5,45,3.828641396489095,0,0,0,3,5,5,1,1,66,4.204692619390966,1,0,1,3,6,1,1,594.0
3,4,4,9,2.302585092994046,0,0,4,2,9,45,3.828641396489095,0,0,0,3,5,5,1,1,148,5.003946305945459,1,1,3,1,8,1,1,740.0
4,3,3,9,2.302585092994046,0,0,4,2,9,243,5.497168225293202,0,0,3,5,3,2,1,1,41,3.7376696182833684,0,2,1,6,1,1,1,1107.0
1,5,5,7,2.0794415416798357,0,1,2,0,7,175,5.170483995038151,0,1,0,0,5,1,1,1,68,4.23410650459726,1,2,3,5,8,1,1,1700.0
2,1,1,5,1.791759469228055,0,2,0,5,5,145,4.983606621708336,0,1,0,5,5,1,2,2,39,3.6888794541139363,0,0,4,4,9,1,1,1131.0
6,7,7,9,2.302585092994046,0,0,4,2,9,162,5.093750200806762,1,0,2,1,2,3,2,2,122,4.812184355372417,1,2,2,3,2,1,1,2196.0
3,6,6,3,1.3862943611198906,0,0,3,3,3,81,4.406719247264253,0,0,1,4,1,2,0,0,47,3.871201010907891,0,2,2,5,7,1,1,1269.0
4,6,6,5,1.791759469228055,0,2,0,5,5,145,4.983606621708336,0,1,0,5,5,2,2,2,108,4.6913478822291435,1,0,3,3,8,1,1,3132.0
1,0,0,7,2.0794415416798357,0,1,2,0,7,259,5.560681631015528,0,1,4,0,9,0,0,0,175,5.170483995038151,0,1,0,0,5,7,2,6475.0
5,8,8,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,3,0,0,28,3.367295829986474,1,1,3,0,8,1,1,168.0
7,1,1,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,3,1,1,24,3.2188758248682006,1,0,4,3,4,4,3,72.0
0,1,1,2,1.0986122886681098,1,2,2,2,2,64,4.174387269895637,1,1,4,1,4,2,0,0,16,2.833213344056216,1,1,1,2,6,2,3,512.0
1,8,8,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,1,1,1,162,5.093750200806762,1,0,2,1,2,1,1,648.0
3,3,3,6,1.9459101490553132,1,0,1,6,6,114,4.74493212836325,1,0,4,2,4,2,1,1,35,3.58351893845611,0,2,0,0,5,1,1,665.0
1,3,3,8,2.1972245773362196,1,2,3,1,8,296,5.6937321388027,1,2,1,2,6,3,0,0,118,4.77912349311153,1,1,3,6,8,2,1,4366.0
1,1,1,2,1.0986122886681098,1,2,2,2,2,58,4.07753744390572,1,1,3,2,8,0,2,2,29,3.4011973816621555,0,2,4,1,9,1,2,841.0
2,9,9,8,2.1972245773362196,1,2,3,1,8,168,5.1298987149230735,1,0,3,0,8,0,2,2,173,5.159055299214529,0,2,3,5,3,1,1,3633.0
2,6,6,3,1.3862943611198906,0,0,3,3,3,72,4.290459441148391,1,0,2,2,2,2,0,0,151,5.0238805208462765,0,1,1,4,1,1,1,3624.0
6,8,8,8,2.1972245773362196,1,2,3,1,8,104,4.653960350157523,1,2,4,6,4,2,1,1,39,3.6888794541139363,0,0,4,4,9,1,1,507.0
1,0,0,9,2.302585092994046,0,0,4,2,9,351,5.863631175598097,0,0,1,1,1,2,2,2,34,3.5553480614894135,1,1,4,6,4,1,1,1326.0
9,6,6,3,1.3862943611198906,0,0,3,3,3,93,4.543294782270004,0,0,3,2,3,4,1,1,63,4.1588830833596715,0,0,3,0,3,3,2,1953.0
9,4,4,3,1.3862943611198906,0,0,3,3,3,63,4.1588830833596715,0,0,3,0,3,5,2,2,82,4.418840607796598,1,1,2,5,2,1,1,1722.0
2,5,5,6,1.9459101490553132,1,0,1,6,6,78,4.3694478524670215,1,0,3,1,8,1,1,1,158,5.0689042022202315,1,2,3,4,8,2,1,2054.0
9,6,6,9,2.302585092994046,0,0,4,2,9,234,5.459585514144159,1,0,4,3,4,4,0,0,123,4.820281565605037,0,0,3,4,3,3,1,3198.0
0,4,4,9,2.302585092994046,0,0,4,2,9,216,5.37989735354046,1,0,1,6,6,5,1,1,78,4.3694478524670215,1,0,3,1,8,3,1,1872.0
7,8,8,3,1.3862943611198906,0,0,3,3,3,60,4.110873864173311,1,0,0,4,0,3,1,1,85,4.454347296253507,0,1,0,1,5,1,1,1700.0
5,0,0,4,1.6094379124341003,1,1,4,4,4,64,4.174387269895637,1,1,4,1,4,2,0,0,38,3.6635616461296463,1,2,3,3,8,2,1,608.0
8,1,1,7,2.0794415416798357,0,1,2,0,7,245,5.5053315359323625,0,2,0,0,5,4,0,0,84,4.442651256490317,1,0,4,0,4,7,2,2940.0
6,6,6,2,1.0986122886681098,1,2,2,2,2,18,2.9444389791664403,1,0,3,4,8,1,2,2,125,4.836281906951478,0,2,0,6,5,1,1,1125.0
8,8,8,9,2.302585092994046,0,0,4,2,9,270,5.602118820879701,1,0,0,4,0,2,1,1,12,2.5649493574615367,1,0,2,5,2,3,1,360.0
6,1,1,7,2.0794415416798357,0,1,2,0,7,231,5.44673737166631,0,0,1,0,1,5,0,0,50,3.9318256327243257,1,2,0,1,0,1,1,1650.0
7,4,4,4,1.6094379124341003,1,1,4,4,4,36,3.6109179126442243,1,0,1,1,6,1,1,1,70,4.2626798770413155,1,1,0,0,0,2,1,630.0
5,1,1,8,2.1972245773362196,1,2,3,1,8,104,4.653960350157523,1,2,4,6,4,0,2,2,20,3.044522437723423,1,2,0,6,0,4,1,260.0
8,9,9,5,1.791759469228055,0,2,0,5,5,60,4.110873864173311,1,0,0,4,0,1,2,2,64,4.174387269895637,1,1,4,1,4,1,1,768.0
5,9,9,9,2.302585092994046,0,0,4,2,9,207,5.337538079701318,0,0,2,4,7,5,2,2,162,5.093750200806762,1,0,2,1,2,9,2,3726.0
5,3,3,6,1.9459101490553132,1,0,1,6,6,186,5.231108616854587,1,0,1,4,6,4,1,1,139,4.941642422609304,0,1,4,6,9,1,1,4309.0
0,5,5,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,2,1,1,146,4.990432586778736,1,2,1,6,6,2,2,876.0
9,9,9,9,2.302585092994046,0,0,4,2,9,252,5.53338948872752,1,0,2,0,2,1,1,1,166,5.117993812416755,1,1,1,5,6,1,1,4648.0
6,2,2,7,2.0794415416798357,0,1,2,0,7,42,3.7612001156935624,1,0,2,0,2,5,2,2,158,5.0689042022202315,1,2,3,4,8,1,1,948.0
6,7,7,9,2.302585092994046,0,0,4,2,9,126,4.844187086458591,1,0,1,0,6,4,1,1,161,5.087596335232384,0,2,1,0,1,1,1,2254.0
5,8,8,8,2.1972245773362196,1,2,3,1,8,40,3.713572066704308,1,1,0,5,0,0,2,2,40,3.713572066704308,1,1,0,5,0,8,3,200.0
6,9,9,7,2.0794415416798357,0,1,2,0,7,140,4.948759890378168,1,2,0,0,0,1,2,2,176,5.176149732573829,1,2,1,1,6,1,1,3520.0
3,2,2,9,2.302585092994046,0,0,4,2,9,72,4.290459441148391,1,0,2,2,2,5,2,2,124,4.8283137373023015,1,1,4,5,4,1,1,992.0
7,7,7,5,1.791759469228055,0,2,0,5,5,95,4.564348191467836,0,2,0,4,5,0,1,1,140,4.948759890378168,1,2,0,0,0,5,2,2660.0
8,9,9,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,0,2,0,1,0,0,72,4.290459441148391,1,0,2,2,2,1,1,432.0
7,0,0,8,2.1972245773362196,1,2,3,1,8,272,5.60947179518496,1,2,2,6,2,2,2,2,150,5.017279836814924,1,0,0,3,0,2,1,5100.0
4,0,0,7,2.0794415416798357,0,1,2,0,7,168,5.1298987149230735,1,0,3,0,8,3,0,0,13,2.6390573296152584,0,1,3,6,3,1,1,312.0
9,4,4,3,1.3862943611198906,0,0,3,3,3,90,4.51085950651685,1,0,0,6,0,4,0,0,131,4.882801922586371,0,2,1,5,1,1,1,3930.0
1,5,5,3,1.3862943611198906,0,0,3,3,3,111,4.718498871295094,0,0,1,6,1,3,0,0,42,3.7612001156935624,1,0,2,0,2,3,2,1554.0
8,9,9,2,1.0986122886681098,1,2,2,2,2,34,3.5553480614894135,1,1,4,6,4,3,1,1,111,4.718498871295094,0,0,1,6,1,1,1,1887.0
0,3,3,4,1.6094379124341003,1,1,4,4,4,32,3.4965075614664802,1,2,2,4,2,0,0,0,69,4.248495242049359,0,0,4,6,9,1,1,552.0
9,5,5,6,1.9459101490553132,1,0,1,6,6,102,4.634728988229636,1,0,2,4,2,5,1,1,100,4.61512051684126,1,1,0,2,0,2,1,1700.0
0,7,7,8,2.1972245773362196,1,2,3,1,8,144,4.976733742420574,1,0,4,4,4,0,2,2,26,3.295836866004329,1,2,1,5,6,2,1,468.0
3,2,2,4,1.6094379124341003,1,1,4,4,4,136,4.919980925828125,1,1,1,3,6,0,1,1,148,5.003946305945459,1,1,3,1,8,4,2,5032.0
2,2,2,8,2.1972245773362196,1,2,3,1,8,32,3.4965075614664802,1,2,2,4,2,0,0,0,121,4.804021044733257,0,1,1,2,1,1,1,484.0
9,0,0,3,1.3862943611198906,0,0,3,3,3,120,4.795790545596741,1,0,0,1,0,5,2,2,45,3.828641396489095,0,0,0,3,5,3,2,1800.0
0,2,2,9,2.302585092994046,0,0,4,2,9,90,4.51085950651685,1,0,0,6,0,5,0,0,160,5.081404364984463,1,1,0,6,0,1,1,1600.0
4,0,0,8,2.1972245773362196,1,2,3,1,8,96,4.574710978503383,1,0,1,5,6,3,2,2,63,4.1588830833596715,0,0,3,0,3,1,1,756.0
0,6,6,7,2.0794415416798357,0,1,2,0,7,154,5.043425116919247,1,1,4,0,4,3,2,2,113,4.736198448394496,0,2,3,1,3,1,1,2486.0
2,6,6,5,1.791759469228055,0,2,0,5,5,60,4.110873864173311,1,0,0,4,0,5,2,2,110,4.709530201312334,1,2,0,5,0,5,2,1320.0
6,9,9,8,2.1972245773362196,1,2,3,1,8,184,5.220355825078324,1,1,4,2,4,1,1,1,49,3.912023005428146,0,1,4,0,9,1,1,1127.0
5,9,9,2,1.0986122886681098,1,2,2,2,2,28,3.367295829986474,1,1,3,0,8,3,2,2,103,4.6443908991413725,0,1,3,5,3,1,1,1442.0
6,8,8,6,1.9459101490553132,1,0,1,6,6,108,4.6913478822291435,1,0,3,3,8,4,1,1,96,4.574710978503383,1,0,1,5,6,6,2,1728.0
9,9,9,7,2.0794415416798357,0,1,2,0,7,70,4.2626798770413155,1,1,0,0,0,1,2,2,180,5.198497031265826,1,0,0,5,0,1,1,1800.0
4,1,1,4,1.6094379124341003,1,1,4,4,4,108,4.6913478822291435,1,0,3,3,8,5,1,1,107,4.68213122712422,0,2,2,2,7,1,1,2889.0
4,2,2,9,2.302585092994046,0,0,4,2,9,72,4.290459441148391,1,0,2,2,2,4,1,1,106,4.672828834461906,1,1,1,1,6,1,1,848.0
9,2,2,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,1,0,0,141,4.955827057601261,0,0,1,1,1,3,2,423.0
4,8,8,8,2.1972245773362196,1,2,3,1,8,224,5.41610040220442,1,2,4,0,4,1,2,2,123,4.820281565605037,0,0,3,4,3,1,1,3444.0
6,8,8,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,5,0,0,65,4.189654742026425,0,2,0,2,5,1,1,195.0
3,9,9,7,2.0794415416798357,0,1,2,0,7,28,3.367295829986474,1,1,3,0,8,4,1,1,70,4.2626798770413155,1,1,0,0,0,7,2,280.0
9,4,4,8,2.1972245773362196,1,2,3,1,8,248,5.517452896464707,1,2,3,3,8,5,1,1,22,3.1354942159291497,1,1,2,1,2,2,1,682.0
3,7,7,9,2.302585092994046,0,0,4,2,9,81,4.406719247264253,0,0,1,4,1,1,2,2,127,4.852030263919617,0,1,2,1,7,1,1,1143.0
1,1,1,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,1,0,4,3,4,3,2,2,95,4.564348191467836,0,2,0,4,5,1,1,380.0
5,3,3,7,2.0794415416798357,0,1,2,0,7,217,5.384495062789089,0,1,2,0,7,4,1,1,20,3.044522437723423,1,2,0,6,0,1,1,620.0
8,0,0,6,1.9459101490553132,1,0,1,6,6,42,3.7612001156935624,1,0,2,0,2,5,2,2,81,4.406719247264253,0,0,1,4,1,3,1,567.0
3,1,1,7,2.0794415416798357,0,1,2,0,7,280,5.638354669333745,1,1,0,0,0,0,2,2,173,5.159055299214529,0,2,3,5,3,1,1,6920.0
4,2,2,2,1.0986122886681098,1,2,2,2,2,80,4.394449154672439,1,2,0,3,0,1,1,1,175,5.170483995038151,0,1,0,0,5,1,1,7000.0
8,2,2,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,1,0,4,3,4,2,1,1,47,3.871201010907891,0,2,2,5,7,1,1,564.0
8,7,7,8,2.1972245773362196,1,2,3,1,8,168,5.1298987149230735,1,0,3,0,8,4,1,1,176,5.176149732573829,1,2,1,1,6,8,2,3696.0
9,1,1,5,1.791759469228055,0,2,0,5,5,130,4.875197323201151,1,1,0,4,0,0,2,2,94,4.553876891600541,1,1,4,3,4,1,1,2444.0
2,4,4,9,2.302585092994046,0,0,4,2,9,171,5.147494476813453,0,0,1,3,1,0,0,0,31,3.4657359027997265,0,1,1,3,1,1,1,589.0
6,1,1,2,1.0986122886681098,1,2,2,2,2,70,4.2626798770413155,1,1,0,0,0,1,0,0,36,3.6109179126442243,1,0,1,1,6,2,2,1260.0
7,1,1,9,2.302585092994046,0,0,4,2,9,270,5.602118820879701,1,0,0,4,0,4,1,1,51,3.9512437185814275,0,0,1,2,1,3,1,1530.0
0,8,8,4,1.6094379124341003,1,1,4,4,4,60,4.110873864173311,1,0,0,4,0,1,2,2,29,3.4011973816621555,0,2,4,1,9,1,1,435.0
1,6,6,2,1.0986122886681098,1,2,2,2,2,22,3.1354942159291497,1,1,2,1,2,1,1,1,74,4.31748811353631,1,2,4,4,4,2,2,814.0
2,3,3,4,1.6094379124341003,1,1,4,4,4,68,4.23410650459726,1,2,3,5,8,2,0,0,179,5.19295685089021,0,2,4,4,9,1,1,3043.0
0,9,9,2,1.0986122886681098,1,2,2,2,2,32,3.4965075614664802,1,2,2,4,2,4,1,1,28,3.367295829986474,1,1,3,0,8,2,2,448.0
2,2,2,5,1.791759469228055,0,2,0,5,5,175,5.170483995038151,0,1,0,0,5,1,2,2,140,4.948759890378168,1,2,0,0,0,5,2,4900.0
4,5,5,6,1.9459101490553132,1,0,1,6,6,132,4.890349128221754,1,0,2,6,2,1,0,0,14,2.70805020110221,1,2,4,0,4,2,1,308.0
7,3,3,2,1.0986122886681098,1,2,2,2,2,64,4.174387269895637,1,1,4,1,4,2,1,1,85,4.454347296253507,0,1,0,1,5,1,1,2720.0
7,3,3,5,1.791759469228055,0,2,0,5,5,180,5.198497031265826,1,0,0,5,0,1,1,1,22,3.1354942159291497,1,1,2,1,2,1,1,792.0
3,1,1,3,1.3862943611198906,0,0,3,3,3,93,4.543294782270004,0,0,3,2,3,3,0,0,158,5.0689042022202315,1,2,3,4,8,1,1,4898.0
0,6,6,8,2.1972245773362196,1,2,3,1,8,256,5.54907608489522,1,1,1,4,6,2,0,0,49,3.912023005428146,0,1,4,0,9,1,1,1568.0
1,2,2,7,2.0794415416798357,0,1,2,0,7,42,3.7612001156935624,1,0,2,0,2,1,2,2,157,5.062595033026967,0,1,2,3,7,1,1,942.0
6,2,2,4,1.6094379124341003,1,1,4,4,4,96,4.574710978503383,1,0,1,5,6,2,2,2,160,5.081404364984463,1,1,0,6,0,4,2,3840.0
1,5,5,2,1.0986122886681098,1,2,2,2,2,26,3.295836866004329,1,2,1,5,6,4,2,2,105,4.663439094112067,0,0,0,0,5,1,1,1365.0
8,2,2,9,2.302585092994046,0,0,4,2,9,261,5.568344503761097,0,0,1,2,1,4,0,0,179,5.19295685089021,0,2,4,4,9,1,1,5191.0
6,3,3,6,1.9459101490553132,1,0,1,6,6,216,5.37989735354046,1,0,1,6,6,4,1,1,58,4.07753744390572,1,1,3,2,8,2,1,2088.0
9,4,4,9,2.302585092994046,0,0,4,2,9,54,4.007333185232471,1,0,4,5,4,5,0,0,107,4.68213122712422,0,2,2,2,7,1,1,642.0
8,7,7,8,2.1972245773362196,1,2,3,1,8,168,5.1298987149230735,1,0,3,0,8,5,1,1,30,3.4339872044851463,1,0,0,2,0,2,1,630.0
1,9,9,5,1.791759469228055,0,2,0,5,5,190,5.25227342804663,1,1,0,1,0,2,0,0,178,5.187385805840755,1,1,3,3,8,1,1,6764.0
8,0,0,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,1,0,4,3,4,0,2,2,86,4.465908118654584,1,2,1,2,6,2,2,1032.0
5,1,1,9,2.302585092994046,0,0,4,2,9,225,5.420534999272286,0,0,0,1,5,4,2,2,40,3.713572066704308,1,1,0,5,0,1,1,1000.0
6,4,4,6,1.9459101490553132,1,0,1,6,6,210,5.351858133476067,1,0,0,0,0,5,2,2,127,4.852030263919617,0,1,2,1,7,1,1,4445.0
4,0,0,5,1.791759469228055,0,2,0,5,5,160,5.081404364984463,1,1,0,6,0,0,0,0,136,4.919980925828125,1,1,1,3,6,1,1,4352.0
0,3,3,8,2.1972245773362196,1,2,3,1,8,216,5.37989735354046,1,0,1,6,6,5,0,0,111,4.718498871295094,0,0,1,6,1,1,1,2997.0
4,2,2,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,0,1,0,0,0,0,17,2.8903717578961645,0,2,2,3,7,1,1,425.0
8,4,4,2,1.0986122886681098,1,2,2,2,2,16,2.833213344056216,1,1,1,2,6,2,0,0,49,3.912023005428146,0,1,4,0,9,1,1,392.0
3,6,6,5,1.791759469228055,0,2,0,5,5,170,5.14166355650266,1,2,0,2,0,2,2,2,141,4.955827057601261,0,0,1,1,1,1,1,4794.0
6,9,9,7,2.0794415416798357,0,1,2,0,7,140,4.948759890378168,1,2,0,0,0,2,0,0,131,4.882801922586371,0,2,1,5,1,1,1,2620.0
5,0,0,9,2.302585092994046,0,0,4,2,9,72,4.290459441148391,1,0,2,2,2,5,2,2,136,4.919980925828125,1,1,1,3,6,1,1,1088.0
6,8,8,6,1.9459101490553132,1,0,1,6,6,102,4.634728988229636,1,0,2,4,2,0,1,1,47,3.871201010907891,0,2,2,5,7,1,1,799.0
