slot_group_count,slot_group_count_abs_log1p,slot_group_count_mod3,slot_group_count_mod7,slot_avg_units_per_member,slot_avg_units_per_member_abs_log1p,slot_avg_units_per_member_mod3,slot_avg_units_per_member_mod7,slot_unit_price,slot_unit_price_abs_log1p,slot_unit_price_frac,slot_unit_price_n_decimals,slot_unit_cost,slot_unit_cost_abs_log1p,slot_unit_cost_frac,slot_unit_cost_n_decimals,slot_group_label,slot_item_name,slot_currency_symbol,slot_fund_purpose,gcd_all,n_multiple_pairs,y
60,4.110873864173311,0,4,30,3.4339872044851463,0,2,1.6,0.9555114450274363,0.6000000000000001,1,1.1,0.7419373447293773,0.10000000000000009,1,1,4,3,1,30,1,900.0
20,3.044522437723423,2,6,50,3.9318256327243257,2,1,1.21,0.7929925155296614,0.20999999999999996,2,0.84,0.6097655716208943,0.84,2,0,1,3,2,10,0,370.0
170,5.14166355650266,2,2,30,3.4339872044851463,0,2,2.84,1.3454723665996355,0.8399999999999999,2,2.6,1.2809338454620642,0.6000000000000001,1,2,1,3,3,10,0,1224.0
100,4.61512051684126,1,2,70,4.2626798770413155,1,0,5.07,1.803358605071407,0.07000000000000028,2,3.66,1.5390154481375546,0.6600000000000001,2,5,2,2,2,10,0,9870.0
170,5.14166355650266,2,2,90,4.51085950651685,0,6,5.35,1.8484548129046001,0.34999999999999964,2,4.88,1.7715567619105355,0.8799999999999999,2,3,5,1,3,10,0,7191.0
20,3.044522437723423,2,6,100,4.61512051684126,1,2,2.12,1.1378330018213911,0.1200000000000001,2,0.33,0.2851789422336624,0.33,2,1,4,0,4,20,1,3580.0
190,5.25227342804663,1,1,50,3.9318256327243257,2,1,3.16,1.425515074273172,0.16000000000000014,2,1.7,0.9932517730102833,0.7,1,3,4,0,4,10,0,13870.0
120,4.795790545596741,0,1,10,2.3978952727983707,1,3,2.2,1.1631508098056809,0.20000000000000018,1,1.66,0.9783261227936076,0.6599999999999999,2,4,4,0,3,10,1,648.0
30,3.4339872044851463,0,2,100,4.61512051684126,1,2,4.65,1.7316555451583497,0.6500000000000004,2,3.78,1.5644405465033646,0.7799999999999998,2,1,2,1,0,10,0,2610.0
130,4.875197323201151,1,4,20,3.044522437723423,2,6,1.52,0.9242589015233319,0.52,2,0.5,0.4054651081081644,0.5,1,5,4,3,4,10,0,2652.0
30,3.4339872044851463,0,2,100,4.61512051684126,1,2,2.09,1.128171090909654,0.08999999999999986,2,1.34,0.8501509293696101,0.3400000000000001,2,1,4,1,3,10,0,2250.0
70,4.2626798770413155,1,0,40,3.713572066704308,1,5,4.02,1.6134299337036377,0.019999999999999574,2,3.51,1.506297153514587,0.5099999999999998,2,0,3,1,5,10,0,1428.0
90,4.51085950651685,0,6,50,3.9318256327243257,2,1,2.57,1.2725655957915476,0.5699999999999998,2,2.39,1.220829921392359,0.3900000000000001,2,2,2,2,4,10,0,810.0
60,4.110873864173311,0,4,90,4.51085950651685,0,6,1.91,1.068153081183401,0.9099999999999999,2,0.35,0.30010459245033805,0.35,2,4,2,3,5,30,0,8424.0
120,4.795790545596741,0,1,80,4.394449154672439,2,3,2.5,1.252762968495368,0.5,1,2.24,1.1755733298042381,0.2400000000000002,2,0,0,2,5,40,0,2496.0
30,3.4339872044851463,0,2,90,4.51085950651685,0,6,6.25,1.9810014688665833,0.25,2,4.41,1.6882490928583902,0.41000000000000014,2,0,5,3,5,30,1,4968.0
120,4.795790545596741,0,1,60,4.110873864173311,0,4,1.57,0.9439058989071285,0.5700000000000001,2,0.91,0.6471032420585385,0.91,2,5,1,0,0,60,1,4752.0
110,4.709530201312334,2,5,60,4.110873864173311,0,4,1.74,1.007957920399979,0.74,2,0.49,0.3987761199573678,0.49,2,1,1,2,4,10,0,8250.0
120,4.795790545596741,0,1,80,4.394449154672439,2,3,2.94,1.3711807233098425,0.94,2,2.73,1.3164082336557241,0.73,2,3,4,2,0,40,0,2016.0
190,5.25227342804663,1,1,100,4.61512051684126,1,2,4.0,1.6094379124341003,0.0,1,2.1,1.1314021114911006,0.10000000000000009,1,4,4,3,4,10,0,36100.0
30,3.4339872044851463,0,2,30,3.4339872044851463,0,2,5.93,1.9358598132018119,0.9299999999999997,2,4.58,1.7191887763932197,0.5800000000000001,2,4,3,0,0,30,1,1215.0
200,5.303304908059076,2,4,90,4.51085950651685,0,6,2.96,1.3762440252663892,0.96,2,1.19,0.7839015438284094,0.18999999999999995,2,3,5,3,2,10,0,31860.0
140,4.948759890378168,2,0,100,4.61512051684126,1,2,1.5,0.9162907318741551,0.5,1,1.43,0.8878912573524571,0.42999999999999994,2,0,0,2,2,20,0,980.0
90,4.51085950651685,0,6,30,3.4339872044851463,0,2,3.02,1.3912819026309298,0.020000000000000018,2,2.28,1.1878434223960523,0.2799999999999998,2,0,1,2,3,30,1,1998.0
160,5.081404364984463,1,6,40,3.713572066704308,1,5,4.43,1.691939133945844,0.4299999999999997,2,4.26,1.6601310267496185,0.2599999999999998,2,3,4,3,1,40,1,1088.0
90,4.51085950651685,0,6,80,4.394449154672439,2,3,3.57,1.5195132049061133,0.5699999999999998,2,2.59,1.2781522025001875,0.5899999999999999,2,3,3,3,4,10,0,7056.0
180,5.198497031265826,0,5,50,3.9318256327243257,2,1,1.78,1.0224509277025458,0.78,2,0.53,0.4252677354043441,0.53,2,4,3,1,2,10,0,11250.0
80,4.394449154672439,2,3,10,2.3978952727983707,1,3,1.34,0.8501509293696101,0.3400000000000001,2,0.37,0.31481073984003355,0.37,2,1,3,1,0,10,1,776.0
30,3.4339872044851463,0,2,20,3.044522437723423,2,6,4.21,1.6505798557652755,0.20999999999999996,2,2.56,1.269760544863939,0.56,2,3,3,3,3,10,0,990.0
170,5.14166355650266,2,2,30,3.4339872044851463,0,2,3.88,1.5851452198650557,0.8799999999999999,2,2.82,1.3402504226184837,0.8199999999999998,2,2,3,1,5,10,0,5406.0
120,4.795790545596741,0,1,60,4.110873864173311,0,4,5.84,1.922787731634459,0.8399999999999999,2,4.49,1.7029282555214393,0.4900000000000002,2,1,0,2,5,60,1,9720.0
130,4.875197323201151,1,4,10,2.3978952727983707,1,3,2.06,1.1184149159642893,0.06000000000000005,2,1.75,1.0116009116784799,0.75,2,4,1,3,3,10,1,403.0
130,4.875197323201151,1,4,30,3.4339872044851463,0,2,6.71,2.0425181875752383,0.71,2,4.77,1.7526720805200082,0.7699999999999996,2,4,0,3,0,10,0,7566.0
30,3.4339872044851463,0,2,100,4.61512051684126,1,2,4.9,1.7749523509116738,0.9000000000000004,1,4.75,1.749199854809259,0.75,2,0,4,1,2,10,0,450.0
50,3.9318256327243257,2,1,90,4.51085950651685,0,6,3.79,1.5665304114228238,0.79,2,3.06,1.4011829736136412,0.06000000000000005,2,2,4,2,1,10,0,3285.0
120,4.795790545596741,0,1,80,4.394449154672439,2,3,4.35,1.6770965609079151,0.34999999999999964,2,2.75,1.3217558399823195,0.75,2,1,2,2,1,40,0,15360.0
90,4.51085950651685,0,6,60,4.110873864173311,0,4,5.42,1.8594181177018698,0.41999999999999993,2,5.0,1.791759469228055,0.0,1,1,1,2,2,30,0,2268.0
150,5.017279836814924,0,3,80,4.394449154672439,2,3,2.9,1.3609765531356006,0.8999999999999999,1,1.6,0.9555114450274363,0.6000000000000001,1,4,5,0,5,10,0,15600.0
180,5.198497031265826,0,5,90,4.51085950651685,0,6,2.51,1.2556160374777743,0.5099999999999998,2,1.55,0.9360933591703348,0.55,2,0,3,1,3,90,1,15552.0
70,4.2626798770413155,1,0,40,3.713572066704308,1,5,5.71,1.9035989509835904,0.71,2,3.83,1.5748464676644813,0.8300000000000001,2,1,5,2,3,10,0,5264.0
50,3.9318256327243257,2,1,90,4.51085950651685,0,6,4.0,1.6094379124341003,0.0,1,3.01,1.3887912413184778,0.009999999999999787,2,5,4,3,4,10,0,4455.0
120,4.795790545596741,0,1,60,4.110873864173311,0,4,2.2,1.1631508098056809,0.20000000000000018,1,1.63,0.9669838461896731,0.6299999999999999,2,0,0,1,4,60,1,4104.0
110,4.709530201312334,2,5,70,4.2626798770413155,1,0,5.26,1.8341801851120072,0.2599999999999998,2,4.6,1.7227665977411035,0.5999999999999996,1,3,0,1,2,10,0,5082.0
150,5.017279836814924,0,3,70,4.2626798770413155,1,0,3.72,1.551808799597464,0.7200000000000002,2,2.34,1.205970806988609,0.33999999999999986,2,0,4,3,0,10,0,14490.0
200,5.303304908059076,2,4,30,3.4339872044851463,0,2,1.01,0.6981347220709844,0.010000000000000009,2,0.72,0.5423242908253617,0.72,2,3,0,2,5,10,0,1740.0
140,4.948759890378168,2,0,80,4.394449154672439,2,3,2.79,1.332366019094335,0.79,2,1.37,0.8628899551470398,0.3700000000000001,2,0,0,0,0,20,0,15904.0
60,4.110873864173311,0,4,90,4.51085950651685,0,6,0.89,0.636576829071551,0.89,2,0.8,0.5877866649021191,0.8,1,1,2,2,5,30,0,486.0
60,4.110873864173311,0,4,90,4.51085950651685,0,6,2.76,1.324418957401803,0.7599999999999998,2,2.01,1.1019400787607843,0.009999999999999787,2,1,5,0,2,30,0,4050.0
30,3.4339872044851463,0,2,30,3.4339872044851463,0,2,3.54,1.5129270120532565,0.54,2,1.94,1.0784095813505903,0.94,2,5,0,1,1,30,1,1440.0
110,4.709530201312334,2,5,90,4.51085950651685,0,6,2.09,1.128171090909654,0.08999999999999986,2,0.68,0.5187937934151676,0.68,2,3,4,3,3,10,0,13959.0
40,3.713572066704308,1,5,80,4.394449154672439,2,3,2.7,1.308332819650179,0.7000000000000002,1,1.47,0.9042181506398859,0.47,2,1,4,0,1,40,1,3936.0
60,4.110873864173311,0,4,70,4.2626798770413155,1,0,1.81,1.0331844833456545,0.81,2,0.78,0.5766133643039938,0.78,2,4,2,1,0,10,0,4326.0
120,4.795790545596741,0,1,40,3.713572066704308,1,5,2.5,1.252762968495368,0.5,1,0.78,0.5766133643039938,0.78,2,3,5,3,2,40,1,8256.0
70,4.2626798770413155,1,0,100,4.61512051684126,1,2,3.01,1.3887912413184778,0.009999999999999787,2,1.58,0.9477893989335261,0.5800000000000001,2,2,0,0,5,10,0,10010.0
80,4.394449154672439,2,3,100,4.61512051684126,1,2,4.39,1.6845453849209058,0.3899999999999997,2,3.77,1.56234630490025,0.77,2,1,2,1,3,20,0,4960.0
90,4.51085950651685,0,6,10,2.3978952727983707,1,3,4.22,1.6524974018945473,0.21999999999999975,2,2.53,1.2612978709452054,0.5299999999999998,2,3,2,2,2,10,1,1521.0
140,4.948759890378168,2,0,10,2.3978952727983707,1,3,2.22,1.169381359556317,0.2200000000000002,2,1.96,1.085189268335969,0.96,2,3,4,1,3,10,1,364.0
100,4.61512051684126,1,2,50,3.9318256327243257,2,1,5.97,1.9416152247724325,0.9699999999999998,2,4.75,1.749199854809259,0.75,2,5,0,2,5,50,1,6100.0
140,4.948759890378168,2,0,50,3.9318256327243257,2,1,3.93,1.5953389880545987,0.9300000000000002,2,2.83,1.3428648031925547,0.8300000000000001,2,5,0,1,1,10,0,7700.0
30,3.4339872044851463,0,2,70,4.2626798770413155,1,0,5.94,1.937301774518713,0.9400000000000004,2,4.59,1.7209792871670078,0.5899999999999999,2,2,1,3,4,10,0,2835.0
80,4.394449154672439,2,3,80,4.394449154672439,2,3,4.16,1.6409365794934714,0.16000000000000014,2,3.3,1.4586150226995167,0.2999999999999998,1,3,3,3,1,80,1,5504.0
60,4.110873864173311,0,4,40,3.713572066704308,1,5,4.27,1.6620303625532709,0.2699999999999996,2,3.4,1.4816045409242156,0.3999999999999999,1,4,2,3,5,20,0,2088.0
80,4.394449154672439,2,3,10,2.3978952727983707,1,3,2.68,1.3029127521808397,0.6800000000000002,2,2.09,1.128171090909654,0.08999999999999986,2,1,0,1,4,10,1,472.0
40,3.713572066704308,1,5,60,4.110873864173311,0,4,6.32,1.9906103279732201,0.3200000000000003,2,4.69,1.7387102481382397,0.6900000000000004,2,4,5,2,2,20,0,3912.0
170,5.14166355650266,2,2,70,4.2626798770413155,1,0,6.39,2.0001277349601105,0.3899999999999997,2,4.39,1.6845453849209058,0.3899999999999997,2,0,3,2,1,10,0,23800.0
70,4.2626798770413155,1,0,40,3.713572066704308,1,5,4.01,1.6114359150967734,0.009999999999999787,2,3.91,1.5912739418064292,0.9100000000000001,2,1,4,0,5,10,0,280.0
120,4.795790545596741,0,1,50,3.9318256327243257,2,1,5.2,1.824549292051046,0.20000000000000018,1,4.76,1.7509374747078,0.7599999999999998,2,5,0,3,2,10,0,2640.0
70,4.2626798770413155,1,0,40,3.713572066704308,1,5,3.81,1.5706970841176697,0.81,2,3.7,1.547562508716013,0.7000000000000002,1,4,3,1,3,10,0,308.0
130,4.875197323201151,1,4,30,3.4339872044851463,0,2,4.91,1.776645831418007,0.9100000000000001,2,3.05,1.3987168811184478,0.04999999999999982,2,1,2,0,2,10,0,7254.0
40,3.713572066704308,1,5,100,4.61512051684126,1,2,4.47,1.6992786164338898,0.46999999999999975,2,4.15,1.6389967146756448,0.15000000000000036,2,2,0,2,4,20,0,1280.0
190,5.25227342804663,1,1,70,4.2626798770413155,1,0,2.52,1.2584609896100056,0.52,2,2.41,1.2267122912954254,0.41000000000000014,2,1,1,2,5,10,0,1463.0
120,4.795790545596741,0,1,90,4.51085950651685,0,6,2.49,1.2499017362143359,0.4900000000000002,2,1.02,0.7030975114131134,0.020000000000000018,2,0,3,2,0,30,0,15876.0
110,4.709530201312334,2,5,40,3.713572066704308,1,5,2.76,1.324418957401803,0.7599999999999998,2,2.15,1.1474024528375417,0.1499999999999999,2,1,4,3,1,10,0,2684.0
30,3.4339872044851463,0,2,40,3.713572066704308,1,5,5.61,1.888583653863595,0.6100000000000003,2,4.35,1.6770965609079151,0.34999999999999964,2,2,4,0,3,10,0,1512.0
110,4.709530201312334,2,5,40,3.713572066704308,1,5,3.66,1.5390154481375546,0.6600000000000001,2,3.4,1.4816045409242156,0.3999999999999999,1,1,2,1,3,10,0,1144.0
80,4.394449154672439,2,3,20,3.044522437723423,2,6,3.21,1.43746264769429,0.20999999999999996,2,1.26,0.8153648132841945,0.26,2,4,1,0,4,20,1,3120.0
20,3.044522437723423,2,6,60,4.110873864173311,0,4,1.47,0.9042181506398859,0.47,2,0.88,0.6312717768418579,0.88,2,3,3,3,1,20,1,708.0
70,4.2626798770413155,1,0,80,4.394449154672439,2,3,5.66,1.8961194845522977,0.6600000000000001,2,3.77,1.56234630490025,0.77,2,5,5,0,0,10,0,10584.0
120,4.795790545596741,0,1,40,3.713572066704308,1,5,6.31,1.9892432737616872,0.3099999999999996,2,4.97,1.7867469274045107,0.9699999999999998,2,0,0,3,2,40,1,6432.0
130,4.875197323201151,1,4,40,3.713572066704308,1,5,5.95,1.9387416595767009,0.9500000000000002,2,4.93,1.780024213009634,0.9299999999999997,2,3,5,1,1,10,0,5304.0
130,4.875197323201151,1,4,60,4.110873864173311,0,4,3.07,1.4036429994545037,0.06999999999999984,2,1.07,0.7275486072772778,0.07000000000000006,2,5,2,2,3,10,0,15600.0
100,4.61512051684126,1,2,60,4.110873864173311,0,4,5.79,1.9154509415706047,0.79,2,4.24,1.6563214983329508,0.2400000000000002,2,3,0,2,2,20,0,9300.0
40,3.713572066704308,1,5,100,4.61512051684126,1,2,3.05,1.3987168811184478,0.04999999999999982,2,1.37,0.8628899551470398,0.3700000000000001,2,2,0,1,2,20,0,6720.0
190,5.25227342804663,1,1,30,3.4339872044851463,0,2,2.41,1.2267122912954254,0.41000000000000014,2,0.81,0.5933268452777344,0.81,2,5,0,1,1,10,0,9120.0
70,4.2626798770413155,1,0,70,4.2626798770413155,1,0,3.22,1.4398351280479205,0.2200000000000002,2,3.17,1.4279160358107101,0.16999999999999993,2,0,3,1,3,70,1,245.0
30,3.4339872044851463,0,2,90,4.51085950651685,0,6,5.47,1.8671761085128091,0.46999999999999975,2,3.81,1.5706970841176697,0.81,2,0,2,1,4,30,1,4482.0
110,4.709530201312334,2,5,100,4.61512051684126,1,2,4.91,1.776645831418007,0.9100000000000001,2,4.24,1.6563214983329508,0.2400000000000002,2,1,5,3,2,10,0,7370.0
50,3.9318256327243257,2,1,100,4.61512051684126,1,2,1.04,0.712949807856125,0.040000000000000036,2,0.49,0.3987761199573678,0.49,2,3,2,3,1,50,1,2750.0
50,3.9318256327243257,2,1,60,4.110873864173311,0,4,5.89,1.9300710850255671,0.8899999999999997,2,4.4,1.6863989535702288,0.40000000000000036,1,1,4,2,0,10,0,4470.0
160,5.081404364984463,1,6,80,4.394449154672439,2,3,3.2,1.4350845252893227,0.20000000000000018,1,1.95,1.0818051703517284,0.95,2,0,0,3,5,80,1,16000.0
40,3.713572066704308,1,5,90,4.51085950651685,0,6,1.11,0.7466879474879752,0.1100000000000001,2,0.48,0.3920420877760237,0.48,2,1,0,3,5,10,0,2268.0
200,5.303304908059076,2,4,10,2.3978952727983707,1,3,2.73,1.3164082336557241,0.73,2,1.93,1.0750024230289759,0.9299999999999999,2,2,5,2,5,10,1,1600.0
60,4.110873864173311,0,4,70,4.2626798770413155,1,0,3.42,1.4861396960896067,0.41999999999999993,2,1.65,0.9745596399981308,0.6499999999999999,2,0,3,0,4,10,0,7434.0
90,4.51085950651685,0,6,20,3.044522437723423,2,6,3.69,1.545432582458188,0.69,2,2.87,1.3532545070416904,0.8700000000000001,2,3,5,3,1,10,0,1476.0
120,4.795790545596741,0,1,60,4.110873864173311,0,4,5.38,1.8531680973566984,0.3799999999999999,2,3.45,1.4929040961781488,0.4500000000000002,2,2,5,1,5,60,1,13896.0
90,4.51085950651685,0,6,40,3.713572066704308,1,5,5.71,1.9035989509835904,0.71,2,4.47,1.6992786164338898,0.46999999999999975,2,5,3,0,5,10,0,4464.0
140,4.948759890378168,2,0,50,3.9318256327243257,2,1,2.41,1.2267122912954254,0.41000000000000014,2,1.21,0.7929925155296614,0.20999999999999996,2,5,0,0,3,10,0,8400.0
200,5.303304908059076,2,4,10,2.3978952727983707,1,3,1.49,0.9122827104766162,0.49,2,0.71,0.5364933705145685,0.71,2,1,0,3,4,10,1,1560.0
50,3.9318256327243257,2,1,100,4.61512051684126,1,2,0.6,0.4700036292457355,0.6,1,0.24,0.2151113796169455,0.24,2,1,3,2,2,50,1,1800.0
50,3.9318256327243257,2,1,80,4.394449154672439,2,3,2.47,1.244154593958768,0.4700000000000002,2,0.69,0.5247285289349821,0.69,2,2,3,1,0,10,0,7120.0
150,5.017279836814924,0,3,90,4.51085950651685,0,6,4.91,1.776645831418007,0.9100000000000001,2,4.58,1.7191887763932197,0.5800000000000001,2,2,2,3,5,30,0,4455.0
170,5.14166355650266,2,2,10,2.3978952727983707,1,3,2.15,1.1474024528375417,0.1499999999999999,2,0.32,0.2776317365982795,0.32,2,2,3,0,1,10,1,3111.0
60,4.110873864173311,0,4,80,4.394449154672439,2,3,1.17,0.7747271675523681,0.16999999999999993,2,0.87,0.6259384308664953,0.87,2,3,2,2,5,20,0,1440.0
30,3.4339872044851463,0,2,90,4.51085950651685,0,6,2.97,1.3787660946990992,0.9700000000000002,2,2.03,1.1085626195212777,0.029999999999999805,2,2,2,2,4,30,1,2538.0
20,3.044522437723423,2,6,40,3.713572066704308,1,5,5.81,1.918392120161421,0.8099999999999996,2,4.22,1.6524974018945473,0.21999999999999975,2,2,1,1,5,20,1,1272.0
130,4.875197323201151,1,4,30,3.4339872044851463,0,2,3.2,1.4350845252893227,0.20000000000000018,1,2.33,1.2029723039923526,0.33000000000000007,2,3,4,1,0,10,0,3393.0
90,4.51085950651685,0,6,90,4.51085950651685,0,6,0.98,0.6830968447064438,0.98,2,0.25,0.22314355131420976,0.25,2,3,2,3,1,90,1,5913.0
130,4.875197323201151,1,4,100,4.61512051684126,1,2,5.32,1.843719208158766,0.3200000000000003,2,3.76,1.5602476682433286,0.7599999999999998,2,5,1,0,0,10,0,20280.0
70,4.2626798770413155,1,0,100,4.61512051684126,1,2,5.33,1.8453002361560848,0.33000000000000007,2,3.97,1.6034198401085373,0.9700000000000002,2,4,3,1,1,10,0,9520.0
170,5.14166355650266,2,2,40,3.713572066704308,1,5,2.87,1.3532545070416904,0.8700000000000001,2,1.24,0.8064758658669485,0.24,2,0,1,1,2,10,0,11084.0
170,5.14166355650266,2,2,40,3.713572066704308,1,5,3.31,1.4609379041156565,0.31000000000000005,2,2.75,1.3217558399823195,0.75,2,3,0,1,2,10,0,3808.0
160,5.081404364984463,1,6,40,3.713572066704308,1,5,3.43,1.4883995840570443,0.43000000000000016,2,1.96,1.085189268335969,0.96,2,3,3,1,5,40,1,9408.0
20,3.044522437723423,2,6,10,2.3978952727983707,1,3,1.01,0.6981347220709844,0.010000000000000009,2,0.56,0.44468582126144574,0.56,2,1,4,1,2,10,1,90.0
170,5.14166355650266,2,2,50,3.9318256327243257,2,1,2.44,1.235471471385307,0.43999999999999995,2,0.96,0.6729444732424258,0.96,2,2,3,3,0,10,0,12580.0
150,5.017279836814924,0,3,60,4.110873864173311,0,4,4.19,1.6467336971777973,0.1900000000000004,2,3.96,1.601405740736836,0.96,2,0,2,2,4,30,0,2070.0
70,4.2626798770413155,1,0,30,3.4339872044851463,0,2,4.72,1.7439688053917064,0.7199999999999998,2,3.98,1.6054298910365616,0.98,2,4,1,1,5,10,0,1554.0
160,5.081404364984463,1,6,10,2.3978952727983707,1,3,2.27,1.184789984909162,0.27,2,1.6,0.9555114450274363,0.6000000000000001,1,5,5,0,4,10,1,1072.0
20,3.044522437723423,2,6,90,4.51085950651685,0,6,5.62,1.890095369948917,0.6200000000000001,2,4.34,1.6752256529721035,0.33999999999999986,2,4,5,3,2,10,0,2304.0
60,4.110873864173311,0,4,40,3.713572066704308,1,5,5.4,1.8562979903656263,0.40000000000000036,1,4.88,1.7715567619105355,0.8799999999999999,2,3,1,1,2,20,0,1248.0
50,3.9318256327243257,2,1,80,4.394449154672439,2,3,1.7,0.9932517730102833,0.7,1,1.02,0.7030975114131134,0.020000000000000018,2,5,0,3,4,10,0,2720.0
190,5.25227342804663,1,1,30,3.4339872044851463,0,2,3.97,1.6034198401085373,0.9700000000000002,2,2.37,1.2149127443642704,0.3700000000000001,2,4,4,2,0,10,0,9120.0
150,5.017279836814924,0,3,70,4.2626798770413155,1,0,5.71,1.9035989509835904,0.71,2,4.18,1.6448050562713916,0.17999999999999972,2,5,5,0,3,10,0,16065.0
200,5.303304908059076,2,4,60,4.110873864173311,0,4,2.36,1.2119409739751128,0.3599999999999999,2,1.51,0.9202827531436926,0.51,2,1,4,2,4,20,0,10200.0
90,4.51085950651685,0,6,30,3.4339872044851463,0,2,3.71,1.5496879080283263,0.71,2,2.07,1.1216775615991057,0.06999999999999984,2,1,3,1,1,30,1,4428.0
90,4.51085950651685,0,6,100,4.61512051684126,1,2,5.41,1.8578592709325787,0.41000000000000014,2,4.84,1.7647307968401356,0.8399999999999999,2,4,3,0,4,10,0,5130.0
20,3.044522437723423,2,6,90,4.51085950651685,0,6,2.15,1.1474024528375417,0.1499999999999999,2,1.62,0.9631743177730056,0.6200000000000001,2,4,5,1,3,10,0,954.0
120,4.795790545596741,0,1,40,3.713572066704308,1,5,2.19,1.1600209167967532,0.18999999999999995,2,1.35,0.8544153281560676,0.3500000000000001,2,5,2,0,4,40,1,4032.0
70,4.2626798770413155,1,0,60,4.110873864173311,0,4,4.78,1.7544036826842861,0.7800000000000002,2,4.63,1.728109442151599,0.6299999999999999,2,3,3,2,1,10,0,630.0
190,5.25227342804663,1,1,70,4.2626798770413155,1,0,1.38,0.8671004876833833,0.3799999999999999,2,0.84,0.6097655716208943,0.84,2,4,5,1,0,10,0,7182.0
140,4.948759890378168,2,0,20,3.044522437723423,2,6,3.13,1.4182774069729414,0.1299999999999999,2,2.57,1.2725655957915476,0.5699999999999998,2,1,2,2,2,20,1,1568.0
