slot_dist_first_to_second,slot_dist_first_to_second_abs_log1p,slot_dist_first_to_second_is_even,slot_dist_first_to_second_mod3,slot_dist_first_to_second_mod5,slot_dist_first_to_second_mod7,slot_dist_first_to_second_mod10,slot_dist_second_to_third,slot_dist_second_to_third_abs_log1p,slot_dist_second_to_third_is_even,slot_dist_second_to_third_mod3,slot_dist_second_to_third_mod5,slot_dist_second_to_third_mod7,slot_dist_second_to_third_mod10,slot_reduction_from_combined,slot_reduction_from_combined_abs_log1p,slot_reduction_from_combined_is_even,slot_reduction_from_combined_mod3,slot_reduction_from_combined_mod5,slot_reduction_from_combined_mod7,slot_reduction_from_combined_mod10,slot_loops_per_day,slot_loops_per_day_abs_log1p,slot_loops_per_day_is_even,slot_loops_per_day_mod3,slot_loops_per_day_mod5,slot_loops_per_day_mod7,slot_loops_per_day_mod10,slot_service_interval_distance,slot_service_interval_distance_abs_log1p,slot_service_interval_distance_is_even,slot_service_interval_distance_mod3,slot_service_interval_distance_mod5,slot_service_interval_distance_mod7,slot_service_interval_distance_mod10,slot_unit,slot_vehicle,slot_location_label,gcd_all,n_multiple_pairs,y
332,5.808142489980444,1,2,2,3,2,384,5.953243334287785,1,0,4,6,4,510,6.236369590203704,1,0,0,6,0,8,2.1972245773362196,1,2,3,1,8,228656,12.339978343093861,1,2,1,1,6,0,1,3,2,2,31.0
41,3.7376696182833684,0,2,1,6,1,76,4.343805421853684,1,1,1,6,6,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,27232,10.212184752202996,1,1,2,2,2,0,2,1,1,2,37.0
165,5.111987788356544,0,0,0,4,5,181,5.204006687076795,0,1,1,6,1,100,4.61512051684126,1,1,0,2,0,5,1.791759469228055,0,2,0,5,5,150960,11.924776804291822,1,0,0,5,0,0,2,4,1,3,51.0
153,5.0369526024136295,0,0,3,6,3,24,3.2188758248682006,1,0,4,3,4,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,6210,8.734077192559303,1,0,0,1,0,0,6,7,1,6,18.0
30,3.4339872044851463,1,0,0,2,0,338,5.82600010738045,1,2,3,2,8,355,5.87493073085203,0,1,0,5,5,1,0.6931471805599453,0,1,1,1,1,7239,8.887376485379763,0,0,4,1,9,0,2,7,1,4,19.0
97,4.584967478670572,0,1,2,6,7,307,5.730099782973574,0,1,2,6,7,214,5.3706380281276624,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,38016,10.545788707090159,1,0,1,6,6,0,0,2,1,1,8.0
233,5.455321115357702,0,2,3,2,3,319,5.768320995793772,0,1,4,4,9,281,5.641907070938114,0,2,1,1,1,6,1.9459101490553132,1,0,1,6,6,118512,11.682777938181559,1,0,2,2,2,0,2,6,1,1,24.0
37,3.6375861597263857,0,1,2,2,7,112,4.727387818712341,1,1,2,0,2,127,4.852030263919617,0,1,2,1,7,8,2.1972245773362196,1,2,3,1,8,25992,10.16558254998528,1,0,2,1,2,0,3,0,1,2,19.0
300,5.707110264748875,1,0,0,6,0,217,5.384495062789089,0,1,2,0,7,27,3.332204510175204,0,0,2,6,7,2,1.0986122886681098,1,2,2,2,2,76532,11.245477299349258,1,2,2,1,2,1,2,2,1,2,38.0
95,4.564348191467836,0,2,0,4,5,62,4.143134726391533,1,2,2,6,2,99,4.605170185988092,0,0,4,1,9,8,2.1972245773362196,1,2,3,1,8,53320,10.88408552880545,1,1,0,1,0,0,1,7,1,2,31.0
334,5.814130531825066,1,1,4,5,4,36,3.6109179126442243,1,0,1,1,6,90,4.51085950651685,1,0,0,6,0,4,1.6094379124341003,1,1,4,4,4,23400,10.060534035475412,1,0,0,6,0,1,3,4,2,4,9.0
56,4.04305126783455,1,2,1,0,6,177,5.181783550292085,0,0,2,2,7,149,5.0106352940962555,0,2,4,2,9,4,1.6094379124341003,1,1,4,4,4,43112,10.671579854742356,1,2,2,6,2,0,4,9,1,2,34.0
212,5.3612921657094255,1,2,2,2,2,295,5.69035945432406,0,1,0,1,5,401,5.996452088619021,0,2,1,2,1,2,1.0986122886681098,1,2,2,2,2,50266,10.825104077165632,1,1,1,6,6,0,4,6,1,2,41.0
199,5.298317366548036,0,1,4,3,9,108,4.6913478822291435,1,0,3,3,8,201,5.308267697401205,0,0,1,5,1,7,2.0794415416798357,0,1,2,0,7,167678,12.029806716356573,1,2,3,0,8,0,5,7,1,1,58.0
278,5.631211781821365,1,2,3,5,8,271,5.605802066295998,0,1,1,5,1,219,5.393627546352362,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,24612,10.111030037621687,1,0,2,0,2,1,0,3,1,1,7.0
353,5.869296913133774,0,2,3,3,3,268,5.594711379601839,1,1,3,2,8,479,6.173786103901937,0,2,4,3,9,1,0.6931471805599453,0,1,1,1,1,28994,10.274878680310541,1,2,4,0,4,0,2,3,1,4,38.0
167,5.123963979403259,0,2,2,6,7,209,5.3471075307174685,0,2,4,6,9,357,5.8805329864007,0,0,2,0,7,4,1.6094379124341003,1,1,4,4,4,93220,11.442728297180931,1,1,0,1,0,0,7,8,1,1,59.0
152,5.030437921392435,1,2,2,5,2,100,4.61512051684126,1,1,0,2,0,231,5.44673737166631,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,19110,9.858019364488982,1,0,0,0,0,1,1,0,1,2,10.0
322,5.777652323222656,1,1,2,0,2,291,5.676753802268282,0,0,1,4,1,608,6.411818267709897,1,2,3,6,8,3,1.3862943611198906,0,0,3,3,3,111240,11.619454297879592,1,0,0,3,0,0,0,3,1,2,60.0
39,3.6888794541139363,0,0,4,4,9,168,5.1298987149230735,1,0,3,0,8,59,4.0943445622221,0,2,4,3,9,2,1.0986122886681098,1,2,2,2,2,26270,10.176220948190334,1,2,0,6,0,1,1,1,1,2,37.0
115,4.7535901911063645,0,1,0,3,5,201,5.308267697401205,0,0,1,5,1,262,5.572154032177765,1,1,2,3,2,5,1.791759469228055,0,2,0,5,5,55500,10.92415631759022,1,0,0,4,0,0,7,0,1,2,30.0
266,5.58724865840025,1,2,1,0,6,39,3.6888794541139363,0,0,4,4,9,159,5.075173815233827,0,0,4,5,9,6,1.9459101490553132,1,0,1,6,6,13530,9.512738628263644,1,0,0,6,0,1,6,4,1,1,5.0
215,5.375278407684165,0,2,0,5,5,60,4.110873864173311,1,0,0,4,0,255,5.545177444479562,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,75225,11.228252194862863,0,0,0,3,5,1,7,7,5,5,51.0
151,5.0238805208462765,0,1,1,4,1,313,5.749392985908253,0,1,3,5,3,363,5.8971538676367405,0,0,3,6,3,6,1.9459101490553132,1,0,1,6,6,128820,11.766179122840509,1,0,0,6,0,0,5,8,1,1,38.0
67,4.219507705176107,0,1,2,4,7,135,4.912654885736052,0,0,0,2,5,198,5.293304824724492,1,0,3,2,8,7,2.0794415416798357,0,1,2,0,7,7210,8.88336291691676,1,1,0,0,0,0,2,9,1,1,5.0
286,5.659482215759621,1,1,1,6,6,393,5.976350909297934,0,0,3,1,3,88,4.48863636973214,1,1,3,4,8,7,2.0794415416798357,0,1,2,0,7,80010,11.28991940420376,1,0,0,0,0,1,6,0,1,1,9.0
163,5.099866427824199,0,1,3,2,3,74,4.31748811353631,1,2,4,4,4,120,4.795790545596741,1,0,0,1,0,7,2.0794415416798357,0,1,2,0,7,17346,9.76117485976141,1,0,1,0,6,1,7,8,1,1,7.0
231,5.44673737166631,0,0,1,0,1,280,5.638354669333745,1,1,0,0,0,374,5.926926025970411,1,2,4,3,4,3,1.3862943611198906,0,0,3,3,3,62208,11.038254962793788,1,0,3,6,8,0,4,0,1,2,32.0
344,5.84354441703136,1,2,4,1,4,213,5.365976015021851,0,0,3,3,3,491,6.198478716492308,0,2,1,1,1,1,0.6931471805599453,0,1,1,1,1,12460,9.430359045942868,1,1,0,0,0,1,6,5,1,4,20.0
246,5.5093883366279774,1,0,1,1,6,79,4.382026634673881,0,1,4,2,9,131,4.882801922586371,0,2,1,5,1,2,1.0986122886681098,1,2,2,2,2,15570,9.653165488841426,1,0,0,2,0,1,7,4,1,2,15.0
314,5.752572638825633,1,2,4,6,4,108,4.6913478822291435,1,0,3,3,8,25,3.258096538021482,0,1,0,4,5,4,1.6094379124341003,1,1,4,4,4,26208,10.17385814221302,1,0,3,0,8,1,6,5,1,2,8.0
171,5.147494476813453,0,0,1,3,1,165,5.111987788356544,0,0,0,4,5,37,3.6375861597263857,0,1,2,2,7,6,1.9459101490553132,1,0,1,6,6,160020,11.983060335603437,1,0,0,0,0,0,4,6,1,1,42.0
148,5.003946305945459,1,1,3,1,8,286,5.659482215759621,1,1,1,6,6,415,6.030685260261263,0,1,0,2,5,4,1.6094379124341003,1,1,4,4,4,96036,11.472488812862714,1,0,1,3,6,1,5,1,1,2,53.0
108,4.6913478822291435,1,0,3,3,8,178,5.187385805840755,1,1,3,3,8,28,3.367295829986474,1,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,113152,11.636496164187891,1,1,2,4,2,1,2,2,2,3,52.0
362,5.8944028342648505,1,2,2,5,2,105,4.663439094112067,0,0,0,0,5,112,4.727387818712341,1,1,2,0,2,8,2.1972245773362196,1,2,3,1,8,223584,12.317546933934132,1,0,4,4,4,1,5,4,1,2,34.0
253,5.537334267018537,0,1,3,1,3,120,4.795790545596741,1,0,0,1,0,345,5.846438775057725,0,0,0,2,5,6,1.9459101490553132,1,0,1,6,6,26466,10.183653952946246,1,0,1,6,6,1,6,9,1,2,11.0
159,5.075173815233827,0,0,4,5,9,248,5.517452896464707,1,2,3,3,8,41,3.7376696182833684,0,2,1,6,1,8,2.1972245773362196,1,2,3,1,8,333936,12.718707631412837,1,0,1,1,6,1,3,4,1,2,54.0
261,5.568344503761097,0,0,1,2,1,85,4.454347296253507,0,1,0,1,5,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,81840,11.312533619514689,1,0,0,3,0,0,4,2,1,2,20.0
175,5.170483995038151,0,1,0,0,5,93,4.543294782270004,0,0,3,2,3,112,4.727387818712341,1,1,2,0,2,7,2.0794415416798357,0,1,2,0,7,65296,11.086701372402121,1,1,1,0,6,0,2,8,1,4,22.0
166,5.117993812416755,1,1,1,5,6,222,5.407171771460119,1,0,2,5,2,338,5.82600010738045,1,2,3,2,8,8,2.1972245773362196,1,2,3,1,8,63072,11.05204806472275,1,0,2,2,2,1,4,5,2,1,18.0
108,4.6913478822291435,1,0,3,3,8,76,4.343805421853684,1,1,1,6,6,78,4.3694478524670215,1,0,3,1,8,2,1.0986122886681098,1,2,2,2,2,20300,9.918425424900335,1,2,0,0,0,0,1,8,2,4,35.0
171,5.147494476813453,0,0,1,3,1,360,5.8888779583328805,1,0,0,3,0,334,5.814130531825066,1,1,4,5,4,8,2.1972245773362196,1,2,3,1,8,58240,10.97234485305283,1,1,0,0,0,1,2,6,1,2,10.0
382,5.948034989180646,1,1,2,4,2,237,5.472270673671475,0,0,2,6,7,597,6.393590753950631,0,0,2,2,7,8,2.1972245773362196,1,2,3,1,8,30768,10.334262968600457,1,0,3,3,8,1,1,3,1,1,6.0
252,5.53338948872752,1,0,2,0,2,152,5.030437921392435,1,2,2,5,2,177,5.181783550292085,0,0,2,2,7,1,0.6931471805599453,0,1,1,1,1,31550,10.359360563188138,1,2,0,1,0,1,0,2,1,4,50.0
282,5.645446897643238,1,0,2,2,2,154,5.043425116919247,1,1,4,0,4,418,6.037870919922137,1,1,3,5,8,5,1.791759469228055,0,2,0,5,5,127120,11.752894667762412,1,1,0,0,0,0,6,0,1,1,56.0
97,4.584967478670572,0,1,2,6,7,91,4.5217885770490405,0,1,1,0,1,125,4.836281906951478,0,2,0,6,5,6,1.9459101490553132,1,0,1,6,6,9036,9.109082539901955,1,0,1,6,6,0,2,2,1,1,6.0
59,4.0943445622221,0,2,4,3,9,116,4.762173934797756,1,2,1,4,6,64,4.174387269895637,1,1,4,1,4,3,1.3862943611198906,0,0,3,3,3,28314,10.251146978547906,1,0,4,6,4,1,7,3,1,1,33.0
89,4.499809670330265,0,2,4,5,9,264,5.579729825986222,1,0,4,5,4,124,4.8283137373023015,1,1,4,5,4,3,1.3862943611198906,0,0,3,3,3,66348,11.102683968056724,1,0,3,2,8,1,4,5,1,2,38.0
384,5.953243334287785,1,0,4,6,4,356,5.877735781779639,1,2,1,6,6,440,6.089044875446846,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,245440,12.410811871468244,1,1,0,6,0,0,7,4,4,4,59.0
312,5.746203190540153,1,0,2,4,2,333,5.811140992976701,0,0,3,4,3,98,4.59511985013459,1,2,3,0,8,1,0.6931471805599453,0,1,1,1,1,66752,11.108754519072777,1,2,2,0,2,1,0,1,1,4,56.0
88,4.48863636973214,1,1,3,4,8,225,5.420534999272286,0,0,0,1,5,128,4.859812404361672,1,2,3,2,8,4,1.6094379124341003,1,1,4,4,4,85656,11.358106228375357,1,0,1,4,6,1,4,1,1,3,43.0
358,5.883322388488279,1,1,3,1,8,379,5.940171252720432,0,1,4,1,9,262,5.572154032177765,1,1,2,3,2,6,1.9459101490553132,1,0,1,6,6,138168,11.836232852563427,1,0,3,2,8,1,2,8,1,1,19.0
279,5.634789603169249,0,0,4,6,9,376,5.932245187448011,1,1,1,5,6,552,6.315358001522335,1,0,2,6,2,8,2.1972245773362196,1,2,3,1,8,48512,10.789587082246053,1,2,2,2,2,0,0,9,1,3,8.0
53,3.9889840465642745,0,2,3,4,3,81,4.406719247264253,0,0,1,4,1,57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,13293,9.495068084601527,0,0,3,0,3,0,5,7,1,3,21.0
157,5.062595033026967,0,1,2,3,7,394,5.978885764901122,1,1,4,2,4,448,6.1070228877422545,1,1,3,0,8,1,0.6931471805599453,0,1,1,1,1,38586,10.560670711162487,1,0,1,2,6,0,5,9,1,4,59.0
234,5.459585514144159,1,0,4,3,4,332,5.808142489980444,1,2,2,3,2,219,5.393627546352362,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,27390,10.217969771265725,1,0,0,6,0,1,6,3,1,4,30.0
203,5.318119993844216,0,2,3,0,3,260,5.564520407322694,1,2,0,1,0,234,5.459585514144159,1,0,4,3,4,7,2.0794415416798357,0,1,2,0,7,213136,12.269690430420189,1,1,1,0,6,0,4,7,1,2,44.0
178,5.187385805840755,1,1,3,3,8,20,3.044522437723423,1,2,0,6,0,107,4.68213122712422,0,2,2,2,7,4,1.6094379124341003,1,1,4,4,4,41616,10.636264016619267,1,0,1,1,6,0,6,3,1,2,36.0
23,3.1780538303479458,0,2,3,2,3,358,5.883322388488279,1,1,3,1,8,138,4.9344739331306915,1,0,3,5,8,2,1.0986122886681098,1,2,2,2,2,49920,10.818197034893952,1,0,0,3,0,0,6,1,1,4,40.0
152,5.030437921392435,1,2,2,5,2,397,5.986452005284438,0,1,2,5,7,142,4.962844630259907,1,1,2,2,2,4,1.6094379124341003,1,1,4,4,4,61184,11.021657340419768,1,2,4,4,4,0,3,6,1,2,16.0
147,4.997212273764115,0,0,2,0,7,378,5.937536205082426,1,0,3,0,8,467,6.148468295917647,0,2,2,5,7,4,1.6094379124341003,1,1,4,4,4,130592,11.779840895613116,1,2,2,0,2,1,7,6,1,1,56.0
365,5.902633333401366,0,2,0,1,5,193,5.267858159063328,0,1,3,4,3,372,5.921578419643816,1,0,2,1,2,8,2.1972245773362196,1,2,3,1,8,238080,12.38036623088686,1,0,0,3,0,0,6,2,1,2,40.0
224,5.41610040220442,1,2,4,0,4,219,5.393627546352362,0,0,4,2,9,269,5.598421958998375,0,2,4,3,9,8,2.1972245773362196,1,2,3,1,8,162888,12.000824266220523,1,0,3,5,8,1,6,9,1,2,33.0
360,5.8888779583328805,1,0,0,3,0,35,3.58351893845611,0,2,0,0,5,345,5.846438775057725,0,0,0,2,5,3,1.3862943611198906,0,0,3,3,3,70755,11.166992617563398,0,0,0,6,5,0,4,5,1,3,53.0
381,5.945420608606575,0,0,1,3,1,275,5.62040086571715,0,2,0,2,5,616,6.424869023905388,1,1,1,0,6,3,1.3862943611198906,0,0,3,3,3,87696,11.381642970249528,1,0,1,0,6,0,3,1,1,2,42.0
364,5.8998973535824915,1,1,4,0,4,317,5.762051382780177,0,2,2,2,7,557,6.324358962381311,0,2,2,4,7,8,2.1972245773362196,1,2,3,1,8,167440,12.028386329390628,1,1,0,0,0,0,2,8,1,2,26.0
72,4.290459441148391,1,0,2,2,2,66,4.204692619390966,1,0,1,3,6,40,3.713572066704308,1,1,0,5,0,7,2.0794415416798357,0,1,2,0,7,97468,11.48728965771158,1,1,3,0,8,1,3,9,1,1,59.0
56,4.04305126783455,1,2,1,0,6,349,5.857933154483459,0,1,4,6,9,239,5.480638923341991,0,2,4,1,9,1,0.6931471805599453,0,1,1,1,1,33689,10.424956336400598,0,2,4,5,9,0,3,2,1,4,59.0
369,5.91350300563827,0,0,4,5,9,159,5.075173815233827,0,0,4,5,9,107,4.68213122712422,0,2,2,2,7,2,1.0986122886681098,1,2,2,2,2,91104,11.41976796648398,1,0,4,6,4,0,0,7,1,1,48.0
368,5.910796644040527,1,2,3,4,8,239,5.480638923341991,0,2,4,1,9,482,6.180016653652572,1,2,2,6,2,8,2.1972245773362196,1,2,3,1,8,286944,12.567045838746258,1,0,4,0,4,0,7,6,1,2,49.0
154,5.043425116919247,1,1,4,0,4,327,5.793013608384144,0,0,2,5,7,306,5.726847747587197,1,0,1,5,6,1,0.6931471805599453,0,1,1,1,1,17712,9.782054112252597,1,0,2,2,2,0,6,4,1,4,27.0
332,5.808142489980444,1,2,2,3,2,30,3.4339872044851463,1,0,0,2,0,208,5.342334251964811,1,1,3,5,8,3,1.3862943611198906,0,0,3,3,3,65016,11.082404053144092,1,0,1,0,6,1,6,8,1,2,42.0
271,5.605802066295998,0,1,1,5,1,110,4.709530201312334,1,2,0,5,0,24,3.2188758248682006,1,0,4,3,4,7,2.0794415416798357,0,1,2,0,7,129150,11.768737541428582,1,0,0,0,0,1,5,5,1,1,25.0
226,5.424950017481403,1,1,1,2,6,36,3.6109179126442243,1,0,1,1,6,182,5.209486152841421,1,2,2,0,2,3,1.3862943611198906,0,0,3,3,3,10260,9.236105579862208,1,0,0,5,0,0,5,8,1,3,10.0
207,5.337538079701318,0,0,2,4,7,369,5.91350300563827,0,0,4,5,9,95,4.564348191467836,0,2,0,4,5,7,2.0794415416798357,0,1,2,0,7,258965,12.464452057933197,0,2,0,0,5,1,3,2,1,1,35.0
339,5.8289456176102075,0,0,4,3,9,130,4.875197323201151,1,1,0,4,0,389,5.966146739123692,0,2,4,4,9,7,2.0794415416798357,0,1,2,0,7,142191,11.864933535978256,0,0,1,0,1,1,2,3,1,1,37.0
327,5.793013608384144,0,0,2,5,7,215,5.375278407684165,0,2,0,5,5,287,5.662960480135946,0,2,2,0,7,8,2.1972245773362196,1,2,3,1,8,165776,12.01839879070961,1,2,1,2,6,0,1,9,1,1,26.0
123,4.820281565605037,0,0,3,4,3,221,5.402677381872279,0,2,1,4,1,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,23256,10.054361440970256,1,0,1,2,6,0,2,4,1,4,36.0
276,5.6240175061873385,1,0,1,3,6,222,5.407171771460119,1,0,2,5,2,188,5.241747015059643,1,2,3,6,8,2,1.0986122886681098,1,2,2,2,2,88880,11.395053675375332,1,2,0,1,0,1,0,4,2,4,55.0
332,5.808142489980444,1,2,2,3,2,87,4.477336814478207,0,0,2,3,7,408,6.013715156042802,1,0,3,2,8,8,2.1972245773362196,1,2,3,1,8,151360,11.927422991029209,1,1,0,6,0,1,6,0,1,2,44.0
173,5.159055299214529,0,2,3,5,3,287,5.662960480135946,0,2,2,0,7,48,3.8918202981106265,1,0,3,6,8,8,2.1972245773362196,1,2,3,1,8,251136,12.433753885943215,1,0,1,4,6,0,7,3,1,3,36.0
387,5.961005339623274,0,0,2,2,7,157,5.062595033026967,0,1,2,3,7,409,6.016157159698354,0,1,4,3,9,4,1.6094379124341003,1,1,4,4,4,95060,11.462274069784455,1,2,0,0,0,0,1,3,1,1,35.0
176,5.176149732573829,1,2,1,1,6,264,5.579729825986222,1,0,4,5,4,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,8680,9.068892008391808,1,1,0,0,0,0,3,7,2,5,5.0
162,5.093750200806762,1,0,2,1,2,120,4.795790545596741,1,0,0,1,0,72,4.290459441148391,1,0,2,2,2,8,2.1972245773362196,1,2,3,1,8,181056,12.106567177799045,1,0,1,1,6,0,4,3,2,3,46.0
390,5.968707559985366,1,0,0,5,0,287,5.662960480135946,0,2,2,0,7,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,316476,12.665005848099565,1,0,1,6,6,1,4,2,1,2,59.0
206,5.332718793265369,1,2,1,3,6,278,5.631211781821365,1,2,3,5,8,387,5.961005339623274,0,0,2,2,7,8,2.1972245773362196,1,2,3,1,8,79016,11.277418298172556,1,2,1,0,6,1,7,0,1,1,17.0
56,4.04305126783455,1,2,1,0,6,356,5.877735781779639,1,2,1,6,6,80,4.394449154672439,1,2,0,3,0,7,2.0794415416798357,0,1,2,0,7,218736,12.295625373882485,1,0,1,0,6,1,4,6,1,3,42.0
