slot_venue_name,slot_venue_capacity,slot_venue_capacity_abs_log1p,slot_venue_capacity_is_even,slot_venue_capacity_mod3,slot_venue_capacity_mod5,slot_venue_capacity_mod7,slot_venue_capacity_mod10,slot_num_participants,slot_num_participants_abs_log1p,slot_num_participants_is_even,slot_num_participants_mod3,slot_num_participants_mod5,slot_num_participants_mod7,slot_num_participants_mod10,slot_reserved_staff,slot_reserved_staff_abs_log1p,slot_reserved_staff_is_even,slot_reserved_staff_mod3,slot_reserved_staff_mod5,slot_reserved_staff_mod7,slot_reserved_staff_mod10,slot_group_term,slot_staff_term,gcd_all,n_multiple_pairs,y
5,12921,9.466686564118111,0,0,1,6,1,2063,7.6324011266014535,0,2,3,5,3,543,6.298949246855942,0,0,3,4,3,0,4,1,0,5.0
2,15050,9.619199713152362,1,2,0,0,0,1275,7.151485463904735,0,0,0,1,5,1025,6.933423025730715,0,2,0,3,5,3,0,25,0,10.0
6,2080,7.640603826393634,1,1,0,1,0,176,5.176149732573829,1,2,1,1,6,672,6.511745329644728,1,0,2,0,2,1,4,16,0,7.0
2,10337,9.243581705755984,0,2,2,5,7,705,6.559615237493242,0,0,0,5,5,1172,7.067319848653476,1,2,2,3,2,0,2,1,0,12.0
5,19065,9.855661923053523,0,0,0,4,5,2327,7.752764808851328,0,2,2,3,7,449,6.1092475827643655,0,2,4,1,9,0,5,1,0,7.0
7,707,6.56244409369372,0,2,2,0,7,175,5.170483995038151,0,1,0,0,5,182,5.209486152841421,1,2,2,0,2,3,5,7,0,2.0
7,6647,8.802071336535285,0,2,2,4,7,446,6.102558594613569,1,2,1,5,6,849,6.745236349484363,0,0,4,2,9,6,3,1,0,12.0
1,32645,10.39347761571398,0,2,0,4,5,2383,7.776535028185241,0,1,3,3,3,1666,7.418780882750794,1,1,1,0,6,4,5,1,0,12.0
7,13680,9.523763287920113,1,0,0,2,0,1786,7.488293515159428,1,1,1,1,6,1178,7.072421900537371,1,2,3,2,8,0,2,38,0,6.0
5,7383,8.907070776182689,0,0,3,5,3,2338,7.757478766584179,1,1,3,0,8,369,5.91350300563827,0,0,4,5,9,6,1,1,0,2.0
4,24909,10.123024608256227,0,0,4,3,9,2687,7.89655270164304,0,2,2,6,7,726,6.588926477533519,1,0,1,5,6,6,3,1,0,8.0
5,17965,9.796236361789152,0,1,0,3,5,2286,7.734996194022781,1,0,1,4,6,1963,7.582738488914411,0,1,3,3,3,3,1,1,0,6.0
4,12623,9.443355043085656,0,2,3,2,3,2825,7.946617563244473,0,2,0,4,5,1323,7.188412736496954,0,0,3,0,3,4,4,1,0,3.0
6,9327,9.140775908590273,0,0,2,3,7,2646,7.881182202227102,1,0,1,0,6,1389,7.237059026124737,0,0,4,3,9,4,3,3,0,2.0
0,8649,9.065314599925925,0,0,4,4,9,1477,7.298445101508147,0,1,2,0,7,1264,7.142827401161621,1,1,4,4,4,3,5,1,0,4.0
5,3275,8.09437844497296,0,2,0,6,5,250,5.5254529391317835,1,1,0,5,0,525,6.26530121273771,0,0,0,0,5,0,5,25,0,10.0
3,20557,9.931005438572868,0,1,2,5,7,1775,7.4821189235521155,0,2,0,4,5,1032,6.940222469119639,1,0,2,3,2,5,4,1,0,10.0
0,6299,8.748304912379623,0,2,4,6,9,2413,7.789040401657477,0,1,3,5,3,1473,7.295735072749282,0,0,3,3,3,1,0,1,0,1.0
0,3893,8.267192185932146,0,2,3,1,3,1167,7.0630481633881725,0,0,2,5,7,1559,7.352441100243583,0,2,4,5,9,4,3,1,0,1.0
5,10542,9.26321741157695,1,0,2,0,2,1012,6.920671504248683,1,1,2,4,2,422,6.0473721790462776,1,2,2,2,2,0,6,2,0,9.0
4,1482,7.301822342137932,1,0,2,5,2,56,4.04305126783455,1,2,1,0,6,1258,7.138073034044347,1,1,3,5,8,3,5,2,0,3.0
6,7097,8.867568333206442,0,2,2,6,7,873,6.773080375655535,0,0,3,5,3,113,4.736198448394496,0,2,3,1,3,3,2,1,0,7.0
8,3545,8.173575486634153,0,2,0,3,5,369,5.91350300563827,0,0,4,5,9,962,6.870053411798126,1,2,2,3,2,6,0,1,0,6.0
8,8925,9.096723645189215,0,0,0,0,5,2039,7.620705086838262,0,2,4,2,9,769,6.646390514847729,0,1,4,6,9,5,1,1,0,3.0
9,13028,9.474932921202932,1,2,3,1,8,2011,7.60688453121963,0,1,1,2,1,962,6.870053411798126,1,2,2,3,2,6,4,1,0,5.0
3,25148,10.132573413305968,1,2,3,4,8,2616,7.869783902530146,1,0,1,5,6,1604,7.380879035564116,1,2,4,1,4,5,5,4,0,8.0
1,13684,9.52405562147478,1,1,4,6,4,2524,7.83399634170946,1,1,4,4,4,1064,6.970730078143525,1,2,4,0,4,0,3,4,0,4.0
7,36674,10.509850603011182,1,2,4,1,4,2972,7.997326822998097,1,2,2,4,2,1010,6.918695219020472,1,2,0,2,0,4,2,2,0,11.0
0,13893,9.539212371252827,0,0,3,5,3,2089,7.644919344958857,0,1,4,3,9,1359,7.215239978730097,0,0,4,1,9,3,2,1,0,5.0
4,15282,9.634496378527837,1,0,2,1,2,1514,7.323170717943469,1,2,4,2,4,1656,7.4127640174265625,1,0,1,4,6,5,4,2,0,8.0
8,6494,8.7787879291047,1,2,4,5,4,1542,7.341483852363161,1,0,2,2,2,326,5.7899601708972535,1,2,1,4,6,5,5,2,0,3.0
7,6834,8.82981174915805,1,0,4,2,4,1851,7.524021415206125,0,0,1,3,1,1281,7.156176637480615,0,0,1,0,1,5,1,3,0,2.0
9,10989,9.304741047397666,0,0,4,6,9,1873,7.535830462798367,0,1,3,4,3,1624,7.393263094763838,1,1,4,0,4,0,6,1,0,4.0
1,4521,8.416709652837914,0,0,1,6,1,1596,7.3758821482150125,1,0,1,0,6,1329,7.1929342212158,0,0,4,6,9,4,0,3,0,1.0
8,25856,10.16033663631551,1,2,1,5,6,2011,7.60688453121963,0,1,1,2,1,1724,7.45298232946546,1,2,4,2,4,1,6,1,0,11.0
6,23480,10.063946862472948,1,2,0,2,0,1999,7.600902459542082,0,1,4,4,9,1491,7.307872780763706,0,0,1,0,1,5,1,1,0,10.0
5,9461,9.155039056191093,0,2,1,4,1,769,6.646390514847729,0,1,4,6,9,1002,6.910750787961936,1,0,2,1,2,5,4,1,0,10.0
8,16201,9.692889970390437,0,1,1,3,1,2878,7.965198290612176,1,1,3,1,8,1811,7.502186486602924,0,2,1,5,1,4,5,1,0,4.0
9,2705,7.903226808730733,0,2,0,3,5,774,6.652863029353347,1,0,4,4,4,1157,7.05444965813294,0,2,2,2,7,3,6,1,0,1.0
8,13404,9.50338305067006,1,0,4,6,4,2228,7.709308333385869,1,2,3,2,8,36,3.6109179126442243,1,0,1,1,6,2,1,4,0,5.0
4,5419,8.597851094433691,0,1,4,1,9,706,6.561030665896573,1,1,1,6,6,477,6.169610732491456,0,0,2,1,7,0,3,1,0,6.0
3,3897,8.268218880067506,0,0,2,5,7,368,5.910796644040527,1,2,3,4,8,217,5.384495062789089,0,1,2,0,7,3,6,1,0,9.0
2,13926,9.541584681053092,1,0,1,3,6,2625,7.873217054862741,0,0,0,0,5,801,6.687108607866515,0,0,1,3,1,3,3,3,0,4.0
5,25754,10.156384061999686,1,2,4,1,4,2662,7.887208585813932,1,1,2,2,2,1796,7.493873886783559,1,2,1,4,6,0,6,2,0,8.0
5,3500,8.160803920954665,1,2,0,0,0,222,5.407171771460119,1,0,2,5,2,614,6.421622267806518,1,2,4,5,4,3,4,2,0,12.0
4,4150,8.33110454805304,1,1,0,6,0,833,6.726233402358747,0,2,3,0,3,818,6.70808408385307,1,2,3,6,8,1,0,1,0,3.0
4,6239,8.738735461363474,0,2,4,2,9,786,6.668228248417403,1,0,1,2,6,737,6.6039438246004725,0,2,2,2,7,1,1,1,0,6.0
5,2097,7.6487397889562425,0,0,2,4,7,131,4.882801922586371,0,2,1,5,1,787,6.669498089857879,0,1,2,3,7,1,2,1,0,9.0
1,13837,9.535173710058757,0,1,2,5,7,1856,7.526717561352706,1,2,1,1,6,845,6.740519359606223,0,2,0,5,5,4,1,1,0,6.0
8,5607,8.631949428714426,0,0,2,0,7,768,6.645090969505644,1,0,3,5,8,999,6.907755278982137,0,0,4,5,9,4,5,3,0,5.0
9,13348,9.499196754655733,1,1,3,6,8,1453,7.282073658093465,0,1,3,4,3,1724,7.45298232946546,1,2,4,2,4,1,1,1,0,7.0
7,5465,8.606302366488013,0,2,0,5,5,1336,7.198183577101943,1,1,1,6,6,121,4.804021044733257,0,1,1,2,1,6,6,1,0,3.0
0,32657,10.393845127662255,0,2,2,2,7,2427,7.794823152179389,0,0,2,5,7,1106,7.009408932708637,1,2,1,0,6,5,5,1,0,12.0
8,27031,10.204776628394125,0,1,1,4,1,2435,7.798112628829788,0,2,0,6,5,246,5.5093883366279774,1,0,1,1,6,5,5,1,0,10.0
8,9114,9.117676687112763,1,0,4,0,4,1375,7.226936018493289,0,1,0,3,5,864,6.762729506931879,1,0,4,3,4,1,5,1,0,5.0
8,3244,8.08487062913819,1,1,4,3,4,310,5.739792912179234,1,1,0,2,0,1384,7.233455418621439,1,1,4,5,4,3,1,2,0,5.0
5,10085,9.21890360263667,0,2,0,5,5,1857,7.527255919373784,0,0,2,2,7,800,6.68586094706836,1,2,0,2,0,3,0,1,0,4.0
5,14747,9.598862759354034,0,2,2,5,7,2222,7.706612913964197,1,2,2,3,2,1415,7.255591274253665,0,2,0,1,5,1,5,1,0,5.0
5,31714,10.364545034067998,1,1,4,4,4,2580,7.855932199718614,1,0,0,4,0,754,6.626717749249025,1,1,4,5,4,2,2,2,0,11.0
5,7927,8.978156076009824,0,1,2,3,7,1252,7.133295954896068,1,1,2,6,2,1667,7.419380582918692,0,2,2,1,7,5,6,1,0,4.0
8,17437,9.766407011987761,0,1,2,0,7,2370,7.771067086065406,1,0,0,4,0,847,6.742880635791903,0,1,2,0,7,5,2,1,0,6.0
8,26867,10.198691266386755,0,2,2,1,7,1963,7.582738488914411,0,1,3,3,3,1348,7.207118856207756,1,1,3,4,8,5,6,1,0,12.0
6,19244,9.865006565717847,1,2,4,1,4,1770,7.479299637782834,1,0,0,6,0,1544,7.3427791893318455,1,2,4,4,4,4,5,2,0,9.0
3,15601,9.655154390148258,0,1,1,5,1,1382,7.232010331664759,1,2,2,3,2,399,5.991464547107982,0,0,4,0,9,5,6,1,0,10.0
6,8992,9.104201775914515,1,1,2,4,2,1029,6.937314081223682,0,0,4,0,9,1789,7.489970898834801,0,1,4,4,9,3,3,1,0,6.0
5,8453,9.042394981126735,0,2,3,4,3,2061,7.631431664576906,0,0,1,3,1,209,5.3471075307174685,0,2,4,6,9,0,5,1,0,3.0
2,9918,9.202207388745993,1,0,3,6,8,1086,6.99117688712121,1,0,1,1,6,1230,7.115582126184454,1,0,0,5,0,2,6,6,0,7.0
9,9997,9.210140351973516,0,1,2,1,7,1690,7.43307534889858,1,1,0,3,0,1547,7.344719054149673,0,2,2,0,7,2,3,13,0,4.0
3,23669,10.071963702508029,0,2,4,2,9,2079,7.640123172695364,0,0,4,0,9,800,6.68586094706836,1,2,0,2,0,4,2,1,0,10.0
6,18846,9.844109029016629,1,0,1,2,6,1978,7.590346945602565,1,1,3,4,8,1044,6.951772164398911,1,0,4,1,4,5,1,2,0,8.0
3,12493,9.433003808053515,0,1,3,5,3,1563,7.355001921105257,0,0,3,2,3,1552,7.347943823148687,1,1,2,5,2,1,3,1,0,6.0
8,20999,9.95227771670556,0,2,4,6,9,2453,7.805474625270857,0,2,3,3,3,1375,7.226936018493289,0,1,0,3,5,5,1,11,0,7.0
4,17951,9.795456808322422,0,2,1,3,1,2480,7.816416983691801,1,2,0,2,0,591,6.3835066348840055,0,0,1,3,1,6,6,1,0,6.0
3,22404,10.017039427220244,1,0,4,4,4,1818,7.506042178518122,1,0,3,5,8,588,6.3784261836515865,1,0,3,0,8,6,5,6,0,11.0
6,16323,9.700391696525696,0,0,3,6,3,1139,7.038783541388542,0,2,4,5,9,1516,7.324489979348532,1,1,1,4,6,4,5,1,0,12.0
4,3828,8.250358951477294,1,0,3,6,8,327,5.793013608384144,0,0,2,5,7,1212,7.10085190894405,1,0,2,1,2,0,6,3,0,7.0
7,7939,8.979668554241181,0,1,4,1,9,1849,7.52294091807237,0,1,4,1,9,543,6.298949246855942,0,0,3,4,3,2,5,1,0,3.0
8,12285,9.416215681723873,0,0,0,0,5,2334,7.755767170102998,1,0,4,3,4,615,6.423246963533519,0,0,0,6,5,4,4,3,0,4.0
5,10987,9.304559047215164,0,1,2,4,7,2486,7.818832443803404,1,2,1,1,6,1043,6.950814768442584,0,2,3,0,3,5,2,1,0,3.0
0,24008,10.086184039035157,1,2,3,5,8,2155,7.6760099320288875,0,1,0,6,5,303,5.717027701406222,0,0,3,2,3,5,1,1,0,10.0
1,8971,9.101863895640099,0,1,1,4,1,1577,7.363913501405819,0,2,2,2,7,1086,6.99117688712121,1,0,1,1,6,5,5,1,0,4.0
4,28002,10.240066926275098,1,0,2,2,2,2800,7.937731775260109,1,1,0,0,0,2,1.0986122886681098,1,2,2,2,2,3,3,2,2,9.0
9,11927,9.386643856444575,0,2,2,6,7,1260,7.13966033596492,1,0,0,0,0,1847,7.521859252201629,0,2,2,6,7,3,4,1,0,7.0
5,15592,9.654577374584886,1,1,2,3,2,2091,7.645875825184813,0,0,1,5,1,955,6.862757913051401,0,1,0,3,5,3,1,1,0,6.0
9,21592,9.980124467074832,1,1,2,4,2,2278,7.731492029245684,1,1,3,3,8,1090,6.994849985833071,1,1,0,5,0,6,1,2,0,8.0
5,2370,7.771067086065406,1,0,0,4,0,85,4.454347296253507,0,1,0,1,5,1605,7.381501894506707,0,0,0,2,5,4,4,5,0,8.0
3,3759,8.23217423638394,0,0,4,0,9,329,5.799092654460526,0,2,4,0,9,1456,7.284134806195205,1,1,1,0,6,1,6,7,0,6.0
1,1400,7.244941546337007,1,2,0,0,0,68,4.23410650459726,1,2,3,5,8,1060,6.966967138613983,1,1,0,3,0,1,3,4,0,4.0
7,19499,9.878169744551839,0,2,4,4,9,1981,7.591861714889934,0,1,1,0,1,1670,7.421177528595393,1,2,0,4,0,4,5,1,0,8.0
4,1532,7.334981878871814,1,2,2,6,2,103,4.6443908991413725,0,1,3,5,3,708,6.5638555265321274,1,0,3,1,8,2,5,1,0,7.0
7,8992,9.104201775914515,1,1,2,4,2,2244,7.716460800176355,1,0,4,4,4,16,2.833213344056216,1,1,1,2,6,1,4,4,1,3.0
6,5024,8.522180732927277,1,2,4,5,4,2050,7.62608275807238,1,1,0,6,0,924,6.829793737512425,1,0,4,0,4,0,4,2,0,1.0
6,2955,7.991592282068092,0,0,0,1,5,1182,7.075808863978387,1,0,2,6,2,591,6.3835066348840055,0,0,1,3,1,2,2,591,2,1.0
0,8488,9.046526486737967,1,1,3,4,8,2518,7.831617276352611,1,1,3,5,8,934,6.840546529288687,1,1,4,3,4,1,1,2,0,2.0
1,15685,9.660523873772611,0,1,0,5,5,1151,7.049254841255837,0,2,1,3,1,722,6.583409222158765,1,2,2,1,2,5,6,1,0,12.0
8,2133,7.665753431861699,0,0,3,5,3,509,6.234410725718371,0,2,4,5,9,97,4.584967478670572,0,1,2,6,7,2,3,1,0,3.0
1,19662,9.886493976159556,1,0,2,6,2,1557,7.351158226430694,0,0,2,3,7,978,6.88653164253051,1,0,3,5,8,3,0,3,0,11.0
9,3356,8.118802996980035,1,2,1,3,6,555,6.320768294250582,0,0,0,2,5,581,6.366470447731438,0,2,1,0,1,0,2,1,0,4.0
1,12712,9.450380370950123,1,1,2,0,2,1198,7.089243155027514,1,1,3,1,8,732,6.597145701886651,1,0,2,4,2,2,3,2,0,9.0
0,2039,7.620705086838262,0,2,4,2,9,111,4.718498871295094,0,0,1,6,1,1040,6.947937068614969,1,2,0,4,0,4,1,1,0,8.0
6,20217,9.914328575714002,0,0,2,1,7,2819,7.944492163932159,0,2,4,5,9,484,6.184148890937483,1,1,4,1,4,6,2,1,0,6.0
2,13048,9.476466781462246,1,1,3,0,8,1538,7.338888133838879,1,2,3,5,8,744,6.61338421837956,1,0,4,2,4,2,3,2,0,7.0
2,5716,8.651199471263972,1,1,1,4,6,1386,7.234898420314831,1,0,1,0,6,172,5.153291594497779,1,1,2,4,2,6,1,2,0,3.0
7,26316,10.177970397179921,1,0,1,3,6,2240,7.714677473800927,1,2,0,0,0,1676,7.424761761823209,1,2,1,3,6,5,1,4,0,10.0
0,28897,10.271527667553556,0,1,2,1,7,2746,7.918264686095274,1,1,1,2,6,1437,7.271008538280992,0,0,2,2,7,4,3,1,0,9.0
9,7066,8.863191340690854,1,1,1,3,6,690,6.53813982376767,1,0,0,4,0,856,6.75343791859778,1,1,1,2,6,0,1,2,0,8.0
6,2380,7.7752758464868625,1,1,0,0,0,120,4.795790545596741,1,0,0,1,0,1180,7.074116816197362,1,1,0,4,0,5,4,20,0,9.0
6,4451,8.401108712395436,0,2,1,6,1,1662,7.416378479192928,1,0,2,3,2,1127,7.028201432058005,0,2,2,0,7,0,0,1,0,1.0
1,10245,9.234642664499148,0,0,0,4,5,874,6.774223886357614,1,1,4,6,4,1505,7.317212408359839,0,2,0,0,5,0,2,1,0,9.0
5,26137,10.171145473156981,0,1,2,6,7,2093,7.646831391430482,0,2,3,0,3,1021,6.92951677076365,0,1,1,6,1,1,3,1,0,11.0
9,4487,8.409162447202533,0,2,2,0,7,2017,7.609862200913554,0,1,2,1,7,453,6.118097198041348,0,0,3,5,3,1,0,1,0,1.0
7,5698,8.648045999835,1,1,3,0,8,2071,7.6362696033793735,0,1,1,6,1,1556,7.350516171833998,1,2,1,2,6,1,6,1,0,1.0
5,31027,10.342645301610762,0,1,2,3,7,2579,7.855544677915663,0,2,4,3,9,79,4.382026634673881,0,1,4,2,9,6,3,1,0,11.0
2,5715,8.651024539049757,0,0,0,3,5,2321,7.7501841622578365,0,2,1,4,1,1073,6.97914527506881,0,2,3,2,3,3,1,1,0,1.0
5,12206,9.4097648366698,1,2,1,5,6,1135,7.035268599281097,0,1,0,1,5,856,6.75343791859778,1,1,1,2,6,3,3,1,0,9.0
7,7091,8.866722667194098,0,2,1,0,1,1305,7.174724309836376,0,0,0,3,5,566,6.340359303727752,1,2,1,6,6,4,2,1,0,4.0
2,16243,9.69547888880619,0,1,3,3,3,2184,7.68937110752969,1,0,4,0,4,955,6.862757913051401,0,1,0,3,5,4,5,1,0,6.0
1,23840,10.079162066608289,1,2,0,5,0,2768,7.926241523170962,1,2,3,3,8,1696,7.436617265234227,1,1,1,2,6,1,5,16,0,7.0
0,6487,8.77770959579525,0,1,2,5,7,2302,7.741967899820685,1,1,2,6,2,1883,7.5411524551363085,0,2,3,0,3,4,2,1,0,1.0
3,11200,9.32375833901174,1,1,0,0,0,1525,7.330405211844402,0,1,0,6,5,525,6.26530121273771,0,0,0,0,5,4,2,25,0,6.0
9,19819,9.894446807883979,0,1,4,2,9,2162,7.679251425953058,1,2,2,6,2,361,5.8916442118257715,0,1,1,4,1,5,3,1,0,8.0
4,6102,8.716535732544495,1,0,2,5,2,1538,7.338888133838879,1,2,3,5,8,1488,7.305860032684009,1,0,3,4,8,6,3,2,0,2.0
8,14745,9.598727138549595,0,0,0,3,5,1117,7.0192966537150445,0,1,2,4,7,1341,7.201916317531627,0,0,1,4,1,2,2,1,0,11.0
1,1741,7.462789157412448,0,1,1,5,1,126,4.844187086458591,1,0,1,0,6,1237,7.121252453244542,0,1,2,5,7,5,3,1,0,3.0
5,8049,8.99342737041261,0,0,4,6,9,1945,7.57353126274595,0,1,0,6,5,269,5.598421958998375,0,2,4,3,9,2,5,1,0,3.0
4,7061,8.862483576488332,0,2,1,5,1,476,6.1675164908883415,1,2,1,0,6,1825,7.509883061154913,0,1,0,5,5,4,5,1,0,10.0
3,9511,9.160309438370618,0,1,1,5,1,857,6.754604099487962,0,2,2,3,7,1798,7.4949862339505335,1,1,3,6,8,3,4,1,0,8.0
2,6532,8.78462153484075,1,1,2,1,2,582,6.368187186350492,1,0,2,1,2,1876,7.537430036586509,1,1,1,0,6,0,6,2,0,7.0
8,6248,8.740176729929082,1,2,3,4,8,1174,7.069023426578259,1,1,4,5,4,378,5.937536205082426,1,0,3,0,8,3,6,2,0,4.0
7,6035,8.70549681988774,0,2,0,1,5,1130,7.030857476116121,1,2,0,3,0,385,5.955837369464831,0,1,0,0,5,2,1,5,0,4.0
2,20399,9.923290179832307,0,2,4,1,9,2776,7.9291264873067995,1,1,1,4,6,967,6.875232087276577,0,1,2,1,7,4,5,1,0,6.0
2,10365,9.246286498749653,0,0,0,5,5,1265,7.143617602704121,0,2,0,5,5,245,5.5053315359323625,0,2,0,0,5,6,4,5,0,7.0
1,11146,9.318925682389624,1,1,1,2,6,2559,7.847762537473608,0,0,4,4,9,910,6.814542897259958,1,1,0,0,0,4,6,1,0,3.0
3,1473,7.295735072749282,0,0,3,3,3,69,4.248495242049359,0,0,4,6,9,1266,7.144407180321139,1,0,1,6,6,3,2,3,0,2.0
1,33555,10.420970963966186,0,0,0,4,5,2768,7.926241523170962,1,2,3,3,8,339,5.8289456176102075,0,0,4,3,9,6,4,1,0,11.0
7,16050,9.683526431913219,1,0,0,6,0,1901,7.550661243105336,0,2,1,4,1,842,6.736966958001855,1,2,2,2,2,3,4,1,0,7.0
7,14783,9.601300793881466,0,2,3,6,3,2354,7.764296006450518,1,2,4,2,4,659,6.492239835020471,0,2,4,1,9,6,4,1,0,5.0
2,14330,9.570180302058072,1,2,0,1,0,2010,7.606387389772652,1,0,0,1,0,260,5.564520407322694,1,2,0,1,0,3,5,10,0,6.0
2,12633,9.444146871458646,0,0,3,5,3,1835,7.515344571180436,0,2,0,1,5,1623,7.392647520721623,0,0,3,6,3,4,4,1,0,5.0
9,10127,9.223059144383958,0,2,2,5,7,1713,7.446585099157725,0,0,3,5,3,1562,7.354362330421477,1,2,2,1,2,6,0,1,0,4.0
5,8313,9.025696119812583,0,0,3,4,3,1197,7.088408778675395,0,0,2,0,7,1131,7.0317412587631285,0,0,1,4,1,3,6,3,0,5.0
0,1909,7.554858521040676,0,1,4,5,9,447,6.104793232414985,0,0,2,6,7,121,4.804021044733257,0,1,1,2,1,2,0,1,0,3.0
5,14628,9.590761138978086,1,0,3,5,8,1886,7.54274354536855,1,2,1,3,6,1426,7.2633296174768365,1,1,1,5,6,4,6,46,0,6.0
4,13543,9.51369892381297,0,1,3,5,3,1098,7.002155954403621,1,0,3,6,8,367,5.908082938168931,0,1,2,3,7,3,6,1,0,11.0
0,5176,8.551981016901902,1,1,1,3,6,368,5.910796644040527,1,2,3,4,8,1128,7.029087564149662,1,0,3,1,8,4,0,8,0,10.0
6,16891,9.734595416053834,0,1,1,0,1,2404,7.785305182539862,1,1,4,3,4,63,4.1588830833596715,0,0,3,0,3,5,0,1,0,6.0
8,21373,9.969930509084842,0,1,3,2,3,2062,7.631916513071252,1,1,2,4,2,753,6.625392368007956,0,0,3,4,3,4,4,1,0,9.0
6,27985,10.239459664115659,0,1,0,6,5,2051,7.62657020629066,0,2,1,0,1,1322,7.187657164114956,1,2,2,6,2,0,1,1,0,12.0
9,13183,9.486759252149254,0,1,3,2,3,1602,7.3796321526095525,1,0,2,6,2,367,5.908082938168931,0,1,2,3,7,4,5,1,0,7.0
9,36468,10.504217863629703,1,0,3,5,8,2896,7.9714309977693505,1,1,1,5,6,1716,7.448333860897476,1,0,1,1,6,2,1,4,0,11.0
1,8711,9.072456664612796,0,2,1,3,1,2170,7.682943169878292,1,1,0,0,0,31,3.4657359027997265,0,1,1,3,1,2,2,31,2,3.0
6,33261,10.412170883230086,0,0,1,4,1,2651,7.883069351305753,0,2,1,5,1,1449,7.27931883541462,0,0,4,0,9,6,1,1,0,11.0
0,20910,9.9480306152868,1,0,0,1,0,2454,7.805882040228621,1,0,4,4,4,1278,7.153833801578843,1,0,3,4,8,5,3,6,0,7.0
9,26800,10.196194479235656,1,1,0,4,0,2766,7.925518979786926,1,0,1,1,6,1906,7.553286605600419,1,1,1,2,6,5,3,2,0,8.0
6,8748,9.076694687106265,1,0,3,5,8,1907,7.553810852008231,0,2,2,3,7,1120,7.02197642307216,1,1,0,0,0,6,4,1,0,3.0
1,4356,8.379539026117442,1,0,1,2,6,967,6.875232087276577,0,1,2,1,7,1455,7.283448228756631,0,0,0,6,5,3,1,1,0,2.0
2,9369,9.145268375232467,0,0,4,3,9,2610,7.8674885686991285,1,0,0,6,0,1539,7.3395376954076745,0,0,4,6,9,5,1,9,0,2.0
8,4663,8.447628728030327,0,1,3,1,3,519,6.253828811575473,0,0,4,1,9,1549,7.346010209913293,0,1,4,2,9,0,2,1,0,5.0
8,8795,9.082052351674651,0,2,0,3,5,1174,7.069023426578259,1,1,4,5,4,1751,7.468513271496337,0,2,1,1,1,3,3,1,0,5.0
2,8576,9.056839480990421,1,2,1,1,6,1186,7.079184394609668,1,1,1,3,6,1460,7.2868764117507,1,2,0,4,0,4,2,2,0,5.0
8,26696,10.192306478524971,1,2,1,5,6,2965,7.994969522697877,0,1,0,4,5,11,2.4849066497880004,0,2,1,4,1,6,2,1,0,8.0
0,5005,8.518392471991719,0,1,0,0,5,1365,7.2196420401307355,0,0,0,0,5,910,6.814542897259958,1,1,0,0,0,4,3,455,0,2.0
5,6018,8.70267641154777,1,0,3,5,8,780,6.660575149839686,1,0,0,3,0,1338,7.199678345691172,1,0,3,1,8,6,6,6,0,5.0
7,10174,9.227689010310796,1,1,4,3,4,2501,7.824845691026856,0,2,1,2,1,170,5.14166355650266,1,2,0,2,0,6,0,1,0,3.0
