slot_n_people,slot_n_people_abs_log1p,slot_n_people_is_even,slot_n_people_mod3,slot_n_people_mod5,slot_n_people_mod7,slot_n_people_mod10,slot_total_amount,slot_total_amount_abs_log1p,slot_total_amount_is_even,slot_total_amount_mod3,slot_total_amount_mod7,slot_total_amount_mod10,slot_external_contrib,slot_external_contrib_abs_log1p,slot_external_contrib_mod3,slot_external_contrib_mod7,slot_currency,slot_org_source,slot_group_label,gcd_all,n_multiple_pairs,y
43,3.784189633918261,0,1,3,1,3,323095,12.685704771667865,0,1,3,5,101000,11.522885696764481,2,4,5,4,5,1,0,5165.0
60,4.110873864173311,1,0,0,4,0,658700,13.398024992769427,1,2,0,0,125000,11.736077016252437,2,1,4,2,4,20,0,8895.0
56,4.04305126783455,1,2,1,0,6,86600,11.369066641827967,1,2,3,0,32000,10.373522431293592,2,3,2,6,3,8,0,975.0
12,2.5649493574615367,1,0,2,5,2,193620,12.173657919016433,1,0,0,0,138000,11.835016210489899,0,2,1,0,6,12,2,4635.0
12,2.5649493574615367,1,0,2,5,2,105300,11.564578194753137,1,0,6,0,48000,10.778977123006351,0,1,0,3,4,12,2,4775.0
22,3.1354942159291497,1,1,2,1,2,125350,11.738873081217163,1,1,1,0,94000,11.451060699493427,1,4,0,1,6,2,0,1425.0
5,1.791759469228055,0,2,0,5,5,41850,10.641870970494749,1,0,4,0,15000,9.61587214452889,0,6,2,5,4,5,2,5370.0
16,2.833213344056216,1,1,1,2,6,187000,12.138869243416009,1,1,2,0,61000,11.0186455364637,1,2,3,4,0,8,0,7875.0
37,3.6375861597263857,0,1,2,2,7,379615,12.84691549446083,0,1,5,5,106000,11.571203807011969,1,6,5,6,5,1,0,7395.0
24,3.2188758248682006,1,0,4,3,4,293280,12.588886472778576,1,0,1,0,69000,11.141876276228,0,1,2,2,6,24,2,9345.0
32,3.4965075614664802,1,2,2,4,2,310920,12.647294139600401,1,0,1,0,101000,11.522885696764481,2,4,3,1,5,8,0,6560.0
10,2.3978952727983707,1,1,0,3,0,98600,11.498836682527127,1,2,5,0,82000,11.314486721293981,1,2,2,7,7,10,2,1660.0
54,4.007333185232471,1,0,4,5,4,322100,12.682620439940363,1,2,2,0,179000,12.095146671399466,2,3,4,1,6,2,0,2650.0
53,3.9889840465642745,0,2,3,4,3,368075,12.81604471756752,0,2,1,5,115000,11.652696102959753,1,4,5,0,5,1,0,4775.0
47,3.871201010907891,0,2,2,5,7,115815,11.659758003833879,0,0,0,5,62000,11.034905792929415,2,1,1,6,3,1,0,1145.0
35,3.58351893845611,0,2,0,0,5,234200,12.363934999991463,1,2,1,0,111000,11.6172944892629,0,1,2,2,4,5,0,3520.0
18,2.9444389791664403,1,0,3,4,8,217960,12.292071426684307,1,1,1,0,97000,11.48247656671073,1,1,2,2,7,2,0,6720.0
9,2.302585092994046,0,0,4,2,9,98480,11.49761891515284,1,2,4,0,20000,9.90353755128617,2,1,3,3,5,1,0,8720.0
12,2.5649493574615367,1,0,2,5,2,146840,11.89710564772106,1,2,1,0,116000,11.661354090741,2,3,1,7,2,4,0,2570.0
46,3.8501476017100584,1,1,1,4,6,400700,12.900970792253764,1,2,6,0,196000,12.185875040240456,1,0,2,2,2,2,0,4450.0
46,3.8501476017100584,1,1,1,4,6,389410,12.872390620108822,1,1,0,0,121000,11.703554089007538,1,5,2,1,7,2,0,5835.0
29,3.4011973816621555,0,2,4,1,9,248105,12.421611353184325,0,2,4,5,38000,10.545367754151743,2,4,4,5,2,1,0,7245.0
21,3.091042453358316,0,0,1,0,1,291650,12.583313160943264,1,2,2,0,131000,11.782960235741939,2,2,3,2,1,1,0,7650.0
15,2.772588722239781,0,0,0,1,5,189175,12.150433077659494,0,1,0,5,166000,12.019749091416921,1,2,5,7,4,5,0,1545.0
47,3.871201010907891,0,2,2,5,7,177920,12.089094910532157,1,2,1,0,161000,11.989165855127435,2,0,1,3,3,1,0,360.0
5,1.791759469228055,0,2,0,5,5,86500,11.367911253546788,1,1,1,0,61000,11.0186455364637,1,2,2,3,5,5,2,5100.0
24,3.2188758248682006,1,0,4,3,4,149240,11.913317727929101,1,2,0,0,62000,11.034905792929415,2,1,5,0,2,8,0,3635.0
57,4.060443010546419,0,0,2,1,7,682765,13.43390747370069,0,1,6,5,190000,12.154784614286667,1,6,4,1,7,19,0,8645.0
11,2.4849066497880004,0,2,1,4,1,137690,11.832767323103598,1,2,0,0,41000,10.62135173563291,2,1,0,5,4,1,0,8790.0
55,4.02535169073515,0,1,0,6,5,392400,12.880039555090077,1,0,1,0,102000,11.532737896139919,0,3,1,3,2,5,0,5280.0
47,3.871201010907891,0,2,2,5,7,585580,13.280359795747685,1,1,2,0,156000,11.957617696467539,0,5,3,7,0,1,0,9140.0
44,3.8066624897703196,1,2,4,2,4,313100,12.65428110117717,1,2,4,0,103000,11.542493975902508,1,2,5,5,6,4,0,4775.0
28,3.367295829986474,1,1,3,0,8,263580,12.482116000105245,1,0,2,0,75000,11.225256725762893,0,2,3,5,7,4,0,6735.0
45,3.828641396489095,0,0,0,3,5,246125,12.413598878909303,0,2,5,5,65000,11.082157933374816,2,5,4,2,2,5,0,4025.0
45,3.828641396489095,0,0,0,3,5,525875,13.172820722483598,0,2,0,5,113000,11.635151947212842,2,6,4,0,0,5,0,9175.0
11,2.4849066497880004,0,2,1,4,1,277345,12.533021103169176,0,1,5,5,185000,12.128116509451258,2,4,4,6,2,1,0,8395.0
26,3.295836866004329,1,2,1,5,6,324440,12.689858980413534,1,2,4,0,66000,11.097425172408931,0,4,2,3,4,2,0,9940.0
10,2.3978952727983707,1,1,0,3,0,157850,11.969406829094357,1,2,0,0,145000,11.884495917930655,1,2,2,7,0,10,2,1285.0
45,3.828641396489095,0,0,0,3,5,180200,12.101828173530544,1,2,6,0,11000,9.305741456739435,2,3,2,4,6,5,0,3760.0
14,2.70805020110221,1,2,4,0,4,219300,12.298200494359103,1,0,4,0,171000,12.049424683420915,0,4,0,4,6,2,0,3450.0
27,3.332204510175204,0,0,2,6,7,307510,12.636266137946617,1,1,0,0,142000,11.863589378812122,1,5,1,6,3,1,0,6130.0
23,3.1780538303479458,0,2,3,2,3,225210,12.324793019525464,1,0,6,0,127000,11.751950239425476,1,6,4,7,7,1,0,4270.0
31,3.4657359027997265,0,1,1,3,1,131950,11.790185920531021,1,1,0,0,118000,11.678448377988165,1,1,5,4,3,1,0,450.0
44,3.8066624897703196,1,2,4,2,4,412460,12.929896934832625,1,2,6,0,40000,10.596659732783579,1,2,4,7,3,4,0,8465.0
33,3.5263605246161616,0,0,3,5,3,168820,12.03659426098895,1,1,1,0,19000,9.852246888342531,1,2,0,5,2,1,0,4540.0
50,3.9318256327243257,1,2,0,1,0,85250,11.353355125282244,1,2,4,0,15000,9.61587214452889,0,6,0,4,4,50,2,1405.0
52,3.970291913552122,1,1,2,3,2,339300,12.734642898012305,1,0,3,0,130000,11.775297421715827,1,3,5,1,0,52,2,4025.0
14,2.70805020110221,1,2,4,0,4,156650,11.961775680017798,1,2,4,0,122000,11.711784520403112,2,4,1,4,6,2,0,2475.0
48,3.8918202981106265,1,0,3,6,8,383480,12.857045354885457,1,2,6,0,59000,10.985309671896763,2,4,1,3,0,8,0,6760.0
14,2.70805020110221,1,2,4,0,4,153230,11.939701865688106,1,2,0,0,35000,10.463131911491967,2,0,1,1,7,14,2,8445.0
38,3.6635616461296463,1,2,3,3,8,395130,12.886972634470643,1,0,1,0,29000,10.275085591132715,2,6,0,5,7,2,0,9635.0
31,3.4657359027997265,0,1,1,3,1,148500,11.908346971208951,1,0,2,0,40000,10.596659732783579,1,2,2,3,6,1,0,3500.0
47,3.871201010907891,0,2,2,5,7,30090,10.311981402704301,1,0,4,0,8000,8.987321812850125,2,6,5,4,1,1,0,470.0
22,3.1354942159291497,1,1,2,1,2,138410,11.837982798776142,1,2,6,0,3000,8.006700845440367,0,4,1,3,2,2,0,6155.0
16,2.833213344056216,1,1,1,2,6,55400,10.922352923113982,1,2,2,0,31000,10.34177474101152,1,4,4,1,2,8,0,1525.0
39,3.6888794541139363,0,0,4,4,9,126115,11.744957397329843,0,1,3,5,76000,11.23850177707664,1,1,1,2,2,1,0,1285.0
55,4.02535169073515,0,1,0,6,5,214925,12.278049061817676,0,2,4,5,15000,9.61587214452889,0,6,5,7,5,5,0,3635.0
47,3.871201010907891,0,2,2,5,7,445030,13.005899221643377,1,1,5,0,187000,12.138869243416009,1,2,2,6,2,1,0,5490.0
19,2.995732273553991,0,1,4,5,9,230865,12.34959273460853,0,0,5,5,44000,10.691967639914864,2,5,4,4,0,1,0,9835.0
12,2.5649493574615367,1,0,2,5,2,267840,12.49814879984856,1,0,6,0,165000,12.013706813470414,0,3,1,5,7,12,2,8570.0
16,2.833213344056216,1,1,1,2,6,199040,12.201266112636086,1,2,2,0,94000,11.451060699493427,1,4,4,2,7,16,2,6565.0
24,3.2188758248682006,1,0,4,3,4,217760,12.291153410086357,1,2,4,0,191000,12.160033942617156,2,5,4,1,7,8,0,1115.0
46,3.8501476017100584,1,1,1,4,6,583930,13.27753810414509,1,1,4,0,149000,11.91170829631447,2,5,4,4,2,2,0,9455.0
5,1.791759469228055,0,2,0,5,5,73225,11.201305828140752,0,1,5,5,40000,10.596659732783579,1,2,1,6,3,5,2,6645.0
37,3.6375861597263857,0,1,2,2,7,58510,10.97697004973177,1,1,4,0,50000,10.819798284210286,2,6,5,7,4,1,0,230.0
11,2.4849066497880004,0,2,1,4,1,161150,11.990097092623028,1,2,3,0,110000,11.608244735642321,2,2,1,5,5,11,2,4650.0
21,3.091042453358316,0,0,1,0,1,302825,12.620913662116816,0,2,5,5,149000,11.91170829631447,2,5,3,0,0,1,0,7325.0
14,2.70805020110221,1,2,4,0,4,220780,12.304926538957863,1,1,0,0,182000,12.111767460549332,2,0,0,6,5,14,2,2770.0
47,3.871201010907891,0,2,2,5,7,203480,12.223327913412536,1,2,4,0,164000,12.00762780434872,2,4,0,0,5,1,0,840.0
54,4.007333185232471,1,0,4,5,4,223740,12.318244411864429,1,0,6,0,126000,11.744045122410057,0,0,5,6,6,18,0,1810.0
58,4.07753744390572,1,1,3,2,8,393120,12.881872731504314,1,0,0,0,124000,11.728044909070785,1,2,3,4,6,2,0,4640.0
40,3.713572066704308,1,1,0,5,0,103400,11.546369912189585,1,2,3,0,36000,10.491301994830229,0,6,3,2,4,40,2,1685.0
26,3.295836866004329,1,2,1,5,6,182750,12.115879849553279,1,2,1,0,121000,11.703554089007538,1,5,0,4,1,2,0,2375.0
43,3.784189633918261,0,1,3,1,3,441875,12.998784578713865,0,2,0,5,157000,11.964007453736912,1,4,0,7,6,1,0,6625.0
60,4.110873864173311,1,0,0,4,0,281100,12.54646931434116,1,0,1,0,75000,11.225256725762893,0,2,3,5,2,60,2,3435.0
11,2.4849066497880004,0,2,1,4,1,235510,12.369512900477284,1,1,2,0,143000,11.870606902224587,2,4,2,1,6,11,2,8410.0
20,3.044522437723423,1,2,0,6,0,122700,11.717505780625043,1,0,4,0,10000,9.210440366976517,1,4,1,1,5,20,2,5635.0
56,4.04305126783455,1,2,1,0,6,199880,12.205477468447427,1,2,2,0,96000,11.472113887062386,0,2,1,0,3,8,0,1855.0
57,4.060443010546419,0,0,2,1,7,609060,13.319673705879548,1,0,4,0,177000,12.083910661257521,0,5,5,6,4,3,0,7580.0
9,2.302585092994046,0,0,4,2,9,74230,11.214937131663044,1,1,2,0,70000,11.156264806643742,1,0,4,4,2,1,0,470.0
43,3.784189633918261,0,1,3,1,3,239855,12.387794022252097,0,2,0,5,176000,12.07824495582233,2,6,3,5,6,1,0,1485.0
32,3.4965075614664802,1,2,2,4,2,280960,12.545971148648068,1,1,1,0,104000,11.552155793461898,2,1,4,1,4,32,2,5530.0
46,3.8501476017100584,1,1,1,4,6,493140,13.108550416190258,1,0,4,0,121000,11.703554089007538,1,5,3,7,3,2,0,8090.0
6,1.9459101490553132,1,0,1,6,6,139210,11.84374604674881,1,1,1,0,103000,11.542493975902508,1,2,1,2,6,2,0,6035.0
32,3.4965075614664802,1,2,2,4,2,191720,12.163796469199877,1,2,4,0,85000,11.350418300109132,1,6,0,5,6,8,0,3335.0
37,3.6375861597263857,0,1,2,2,7,268150,12.49930553366013,1,1,1,0,85000,11.350418300109132,1,6,1,4,4,1,0,4950.0
20,3.044522437723423,1,2,0,6,0,268900,12.502098561104633,1,1,2,0,116000,11.661354090741,2,3,1,2,3,20,2,7645.0
42,3.7612001156935624,1,0,2,0,2,362570,12.800975596167362,1,2,5,0,170000,12.04355959836804,2,5,2,1,6,2,0,4585.0
28,3.367295829986474,1,1,3,0,8,395220,12.887200381095917,1,0,0,0,147000,11.898194668458823,0,0,5,1,3,28,2,8865.0
58,4.07753744390572,1,1,3,2,8,248300,12.422396998874374,1,2,3,0,141000,11.856522261533737,0,6,0,3,5,2,0,1850.0
29,3.4011973816621555,0,2,4,1,9,367500,12.814481318719762,1,0,0,0,121000,11.703554089007538,1,5,0,7,7,1,0,8500.0
26,3.295836866004329,1,2,1,5,6,26070,10.168578864458095,1,0,2,0,8000,8.987321812850125,2,6,5,4,6,2,0,695.0
25,3.258096538021482,0,1,0,4,5,237875,12.379504808478211,0,2,1,5,197000,12.190964083849375,2,6,1,3,4,25,2,1635.0
20,3.044522437723423,1,2,0,6,0,94500,11.456365695436427,1,0,0,0,63000,11.050905878263567,0,0,5,4,5,20,2,1575.0
22,3.1354942159291497,1,1,2,1,2,237120,12.376325838354921,1,0,2,0,183000,12.117246896289503,0,6,5,1,2,2,0,2460.0
33,3.5263605246161616,0,0,3,5,3,184335,12.124515458277834,0,0,4,5,36000,10.491301994830229,0,6,2,5,4,3,0,4495.0
58,4.07753744390572,1,1,3,2,8,359010,12.791108307669523,1,0,1,0,20000,9.90353755128617,2,1,3,2,0,2,0,5845.0
5,1.791759469228055,0,2,0,5,5,196400,12.187913766539234,1,2,1,0,167000,12.025755079404917,2,1,1,0,6,5,2,5880.0
57,4.060443010546419,0,0,2,1,7,322720,12.684543451844617,1,1,6,0,40000,10.596659732783579,1,2,4,4,3,1,0,4960.0
13,2.6390573296152584,0,1,3,6,3,200590,12.2090232880997,1,1,5,0,182000,12.111767460549332,2,0,3,5,2,13,2,1430.0
49,3.912023005428146,0,1,4,0,9,454515,13.026988395500393,0,0,5,5,149000,11.91170829631447,2,5,5,0,3,1,0,6235.0
10,2.3978952727983707,1,1,0,3,0,137550,11.8317500364099,1,0,0,0,111000,11.6172944892629,0,1,0,5,1,10,2,2655.0
38,3.6635616461296463,1,2,3,3,8,383510,12.85712358255932,1,2,1,0,131000,11.782960235741939,2,2,4,3,5,2,0,6645.0
37,3.6375861597263857,0,1,2,2,7,195465,12.183141730239452,0,0,4,5,142000,11.863589378812122,1,5,2,2,0,1,0,1445.0
57,4.060443010546419,0,0,2,1,7,439175,12.992655522875634,0,2,2,5,53000,10.87806606028079,2,3,0,4,7,1,0,6775.0
14,2.70805020110221,1,2,4,0,4,105770,11.5690316587541,1,2,0,0,49000,10.799595985047786,1,0,1,0,0,14,2,4055.0
15,2.772588722239781,0,0,0,1,5,206525,12.238181591447793,0,2,4,5,200000,12.206077645517674,2,3,5,6,6,5,0,435.0
44,3.8066624897703196,1,2,4,2,4,410280,12.924597569778228,1,0,3,0,64000,11.06665398721974,1,6,3,6,3,4,0,7870.0
9,2.302585092994046,0,0,4,2,9,151040,11.925306602120122,1,2,1,0,119000,11.686887175419702,2,0,3,7,3,1,0,3560.0
6,1.9459101490553132,1,0,1,6,6,101880,11.531560744514401,1,0,2,0,84000,11.338583982516495,0,0,3,3,1,6,2,2980.0
19,2.995732273553991,0,1,4,5,9,316980,12.666597114154612,1,0,6,0,138000,11.835016210489899,0,2,0,1,1,1,0,9420.0
38,3.6635616461296463,1,2,3,3,8,44610,10.705735744369607,1,0,6,0,41000,10.62135173563291,2,1,1,6,3,2,0,95.0
23,3.1780538303479458,0,2,3,2,3,168100,12.032320268218989,1,1,2,0,83000,11.326607934898927,2,1,2,0,4,1,0,3700.0
37,3.6375861597263857,0,1,2,2,7,335790,12.724244221598747,1,0,0,0,52000,10.859018228147887,1,4,3,4,4,1,0,7670.0
25,3.258096538021482,0,1,0,4,5,303750,12.623963565812547,1,0,6,0,80000,11.289794413577894,2,4,3,1,6,25,2,8950.0
34,3.5553480614894135,1,1,4,6,4,411600,12.927809712482325,1,0,0,0,126000,11.744045122410057,0,0,1,5,1,2,0,8400.0
24,3.2188758248682006,1,0,4,3,4,222160,12.311157623230903,1,1,1,0,52000,10.859018228147887,1,4,5,3,5,8,0,7090.0
39,3.6888794541139363,0,0,4,4,9,264110,12.484124748307664,1,2,0,0,89000,11.39640288460621,2,2,0,4,7,1,0,4490.0
27,3.332204510175204,0,0,2,6,7,248365,12.422658743666645,0,1,5,5,100000,11.51293546492023,1,5,5,1,4,1,0,5495.0
25,3.258096538021482,0,1,0,4,5,164000,12.00762780434872,1,2,4,0,3000,8.006700845440367,0,4,4,0,1,25,2,6440.0
46,3.8501476017100584,1,1,1,4,6,177250,12.085322086127402,1,1,3,0,22000,9.99884318585288,1,6,4,1,6,2,0,3375.0
53,3.9889840465642745,0,2,3,4,3,470720,13.06202084079812,1,2,5,0,34000,10.434145214930487,1,1,1,5,7,1,0,8240.0
29,3.4011973816621555,0,2,4,1,9,118155,11.679761064228735,0,0,2,5,40000,10.596659732783579,1,2,3,5,5,1,0,2695.0
26,3.295836866004329,1,2,1,5,6,234750,12.366280656912341,1,0,5,0,199000,12.201065128819632,1,4,1,3,4,2,0,1375.0
40,3.713572066704308,1,1,0,5,0,434400,12.981723349624996,1,0,1,0,52000,10.859018228147887,1,4,2,6,7,40,2,9560.0
35,3.58351893845611,0,2,0,0,5,94975,11.461379507086997,0,1,6,5,64000,11.06665398721974,1,6,5,1,2,5,0,885.0
15,2.772588722239781,0,0,0,1,5,222150,12.311112609816899,1,0,5,0,117000,11.669937760751914,0,2,1,3,0,15,2,7010.0
38,3.6635616461296463,1,2,3,3,8,481510,13.08468435523455,1,1,1,0,134000,11.80560254159177,2,6,0,6,4,2,0,9145.0
33,3.5263605246161616,0,0,3,5,3,59500,10.993748398115178,1,1,0,0,43000,10.668978650219241,1,6,4,2,0,1,0,500.0
11,2.4849066497880004,0,2,1,4,1,209400,12.252006352956359,1,0,2,0,194000,12.175618592671356,2,2,5,7,3,1,0,1400.0
14,2.70805020110221,1,2,4,0,4,93280,11.44337172193852,1,1,5,0,72000,11.184435286790631,0,5,1,4,7,2,0,1520.0
50,3.9318256327243257,1,2,0,1,0,273500,12.519060557144618,1,2,3,0,5000,8.517393171418904,2,2,4,6,5,50,2,5370.0
54,4.007333185232471,1,0,4,5,4,176460,12.080855167766725,1,0,4,0,123000,11.719947764402807,0,3,1,2,7,6,0,990.0
60,4.110873864173311,1,0,0,4,0,691100,13.446041257047039,1,2,4,0,188000,12.144202560946876,2,1,1,4,6,20,0,8385.0
26,3.295836866004329,1,2,1,5,6,361390,12.797715753675776,1,1,1,0,192000,12.165255859329688,0,4,5,4,7,2,0,6515.0
19,2.995732273553991,0,1,4,5,9,35700,10.482933978579906,1,0,0,0,30000,10.308985993422082,0,5,4,0,6,1,0,300.0
44,3.8066624897703196,1,2,4,2,4,213420,12.271022019756055,1,0,4,0,112000,11.626263078808801,1,0,3,6,7,4,0,2305.0
27,3.332204510175204,0,0,2,6,7,261130,12.472777476096084,1,1,2,0,40000,10.596659732783579,1,2,0,2,7,1,0,8190.0
25,3.258096538021482,0,1,0,4,5,348875,12.76247183719066,0,2,2,5,152000,11.931642378754141,2,2,0,7,2,25,2,7875.0
29,3.4011973816621555,0,2,4,1,9,167195,12.026922055901592,0,2,0,5,67000,11.112462823634855,1,3,4,1,2,1,0,3455.0
60,4.110873864173311,1,0,0,4,0,168100,12.032320268218989,1,1,2,0,25000,10.12667110305036,1,3,5,7,7,20,0,2385.0
6,1.9459101490553132,1,0,1,6,6,58700,10.980212041446208,1,2,5,0,17000,9.741027444837728,2,4,3,3,2,2,0,6950.0
35,3.58351893845611,0,2,0,0,5,194150,12.176391485803258,1,2,5,0,177000,12.083910661257521,0,5,3,4,5,5,0,490.0
7,2.0794415416798357,0,1,2,0,7,164215,12.008937913397014,0,1,2,5,96000,11.472113887062386,0,2,0,4,5,1,0,9745.0
11,2.4849066497880004,0,2,1,4,1,165455,12.016460577424755,0,2,3,5,150000,11.918397239722838,0,4,0,5,3,1,0,1405.0
48,3.8918202981106265,1,0,3,6,8,495040,13.112395866403583,1,1,0,0,82000,11.314486721293981,1,2,0,4,6,16,0,8605.0
22,3.1354942159291497,1,1,2,1,2,254560,12.447295771910849,1,1,5,0,200000,12.206077645517674,2,3,5,6,7,2,0,2480.0
22,3.1354942159291497,1,1,2,1,2,204890,12.230233409397009,1,2,0,0,161000,11.989165855127435,2,0,3,1,3,2,0,1995.0
58,4.07753744390572,1,1,3,2,8,323500,12.686957484108422,1,1,2,0,106000,11.571203807011969,1,6,3,7,0,2,0,3750.0
45,3.828641396489095,0,0,0,3,5,242025,12.396800437384302,0,0,0,5,186000,12.133507329024972,0,3,5,0,5,15,0,1245.0
23,3.1780538303479458,0,2,3,2,3,240785,12.391663851191751,0,2,6,5,188000,12.144202560946876,2,1,2,3,2,1,0,2295.0
26,3.295836866004329,1,2,1,5,6,267200,12.495756463152594,1,2,3,0,28000,10.239995502805316,1,0,3,1,1,2,0,9200.0
23,3.1780538303479458,0,2,3,2,3,245710,12.411911327551891,1,1,3,0,182000,12.111767460549332,2,0,3,1,4,1,0,2770.0
47,3.871201010907891,0,2,2,5,7,242330,12.398059839190463,1,2,4,0,177000,12.083910661257521,0,5,5,5,4,1,0,1390.0
6,1.9459101490553132,1,0,1,6,6,166380,12.022035618157597,1,0,4,0,117000,11.669937760751914,0,2,5,0,4,6,2,8230.0
34,3.5553480614894135,1,1,4,6,4,475320,13.07174564424758,1,0,6,0,153000,11.938199736300925,0,1,5,3,7,34,2,9480.0
55,4.02535169073515,0,1,0,6,5,640425,13.369888858905789,0,0,2,5,116000,11.661354090741,2,3,1,2,2,5,0,9535.0
42,3.7612001156935624,1,0,2,0,2,452250,13.021992614421487,1,0,1,0,48000,10.778977123006351,0,1,2,7,5,6,0,9625.0
13,2.6390573296152584,0,1,3,6,3,202070,12.216374399775422,1,2,1,0,197000,12.190964083849375,2,6,4,6,5,1,0,390.0
27,3.332204510175204,0,0,2,6,7,196820,12.190049965224542,1,2,1,0,125000,11.736077016252437,2,1,2,4,7,1,0,2660.0
37,3.6375861597263857,0,1,2,2,7,139410,11.845181683807986,1,0,5,0,105000,11.561725152903833,0,0,5,6,1,1,0,930.0
52,3.970291913552122,1,1,2,3,2,254460,12.44690286157972,1,0,3,0,54000,10.896757843893464,0,2,2,5,0,4,0,3855.0
56,4.04305126783455,1,2,1,0,6,467240,13.054600463495062,1,2,4,0,178000,12.08954444723597,1,4,1,7,4,8,0,5165.0
5,1.791759469228055,0,2,0,5,5,123325,11.722586534725055,0,1,6,5,93000,11.440365524765756,0,5,3,6,0,5,2,6065.0
53,3.9889840465642745,0,2,3,4,3,654840,13.3921477370577,1,0,4,0,163000,12.001511614739405,1,5,2,1,0,1,0,9280.0
34,3.5553480614894135,1,1,4,6,4,376930,12.839817425806556,1,1,1,0,66000,11.097425172408931,0,4,4,4,1,2,0,9145.0
48,3.8918202981106265,1,0,3,6,8,490280,13.102733975103833,1,2,0,0,11000,9.305741456739435,2,3,4,2,2,8,0,9985.0
16,2.833213344056216,1,1,1,2,6,275280,12.525547673129687,1,0,5,0,188000,12.144202560946876,2,1,0,7,7,16,2,5455.0
28,3.367295829986474,1,1,3,0,8,343300,12.746362892345706,1,1,6,0,183000,12.117246896289503,0,6,1,2,0,4,0,5725.0
27,3.332204510175204,0,0,2,6,7,52440,10.86744400710848,1,0,3,0,6000,8.699681400989514,0,1,4,5,1,3,0,1720.0
54,4.007333185232471,1,0,4,5,4,363560,12.803702374806544,1,2,1,0,86000,11.362114203075018,2,5,1,3,1,2,0,5140.0
42,3.7612001156935624,1,0,2,0,2,241810,12.39591170827036,1,1,2,0,166000,12.019749091416921,1,2,2,5,4,2,0,1805.0
21,3.091042453358316,0,0,1,0,1,302455,12.61969109132804,0,1,6,5,190000,12.154784614286667,1,6,3,4,7,1,0,5355.0
46,3.8501476017100584,1,1,1,4,6,315220,12.66102925911204,1,1,3,0,82000,11.314486721293981,1,2,5,5,5,2,0,5070.0
38,3.6635616461296463,1,2,3,3,8,232610,12.357122809436026,1,2,0,0,20000,9.90353755128617,2,1,3,0,2,2,0,5595.0
10,2.3978952727983707,1,1,0,3,0,223700,12.318065617740915,1,2,1,0,147000,11.898194668458823,0,0,2,5,2,10,2,7670.0
11,2.4849066497880004,0,2,1,4,1,144450,11.88069562868108,1,0,5,0,46000,10.736418414365376,1,3,3,7,2,1,0,8950.0
