slot_d1,slot_d1_abs_log1p,slot_d1_is_even,slot_d1_mod3,slot_d1_mod5,slot_d1_mod7,slot_d1_mod10,slot_d2,slot_d2_abs_log1p,slot_d2_is_even,slot_d2_mod3,slot_d2_mod5,slot_d2_mod7,slot_d2_mod10,slot_d3,slot_d3_abs_log1p,slot_d3_is_even,slot_d3_mod3,slot_d3_mod5,slot_d3_mod7,slot_d3_mod10,slot_removed,slot_removed_abs_log1p,slot_removed_sign,slot_removed_is_even,slot_removed_mod3,slot_removed_mod5,slot_removed_mod7,slot_removed_mod10,slot_k,slot_k_abs_log1p,slot_k_is_even,slot_k_mod3,slot_k_mod5,slot_k_mod7,slot_k_mod10,slot_group,slot_place,slot_event_phrase,gcd_all,n_multiple_pairs,y
11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,0,0.0,0,1,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,1,3,1,1,0,42.0
25,3.258096538021482,0,1,0,4,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,1,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,2,4,5,1,2,17.0
16,2.833213344056216,1,1,1,2,6,16,2.833213344056216,1,1,1,2,6,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0,1,1,2,39.0
28,3.367295829986474,1,1,3,0,8,8,2.1972245773362196,1,2,3,1,8,26,3.295836866004329,1,2,1,5,6,0,0.0,0,1,0,0,0,0,5,1.791759469228055,0,2,0,5,5,5,4,4,1,0,78.0
18,2.9444389791664403,1,0,3,4,8,23,3.1780538303479458,0,2,3,2,3,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,1,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,0,1,2,1,5,23.0
17,2.8903717578961645,0,2,2,3,7,10,2.3978952727983707,1,1,0,3,0,17,2.8903717578961645,0,2,2,3,7,6,1.9459101490553132,1,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,2,2,1,2,47.0
19,2.995732273553991,0,1,4,5,9,23,3.1780538303479458,0,2,3,2,3,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,3,3,2,1,0,5.0
24,3.2188758248682006,1,0,4,3,4,13,2.6390573296152584,0,1,3,6,3,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,1,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,3,4,5,1,1,69.0
12,2.5649493574615367,1,0,2,5,2,29,3.4011973816621555,0,2,4,1,9,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,1,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,3,1,5,1,5,24.0
6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,17,2.8903717578961645,0,2,2,3,7,1,0.6931471805599453,1,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,1,1,0,1,5,4.0
27,3.332204510175204,0,0,2,6,7,30,3.4339872044851463,1,0,0,2,0,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,5,1,1,1,90.0
15,2.772588722239781,0,0,0,1,5,30,3.4339872044851463,1,0,0,2,0,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,1,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,2,5,0,1,4,41.0
8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,0,4,2,1,3,1.0
14,2.70805020110221,1,2,4,0,4,29,3.4011973816621555,0,2,4,1,9,28,3.367295829986474,1,1,3,0,8,3,1.3862943611198906,1,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,5,0,1,1,2,16.0
6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4,3,1,1,1,6.0
13,2.6390573296152584,0,1,3,6,3,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,1,3,1,3,17.0
7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,0,0.0,0,1,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,4,0,3,1,0,22.0
27,3.332204510175204,0,0,2,6,7,17,2.8903717578961645,0,2,2,3,7,22,3.1354942159291497,1,1,2,1,2,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,3,1,1,0,48.0
11,2.4849066497880004,0,2,1,4,1,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,2,5,1,1,22.0
27,3.332204510175204,0,0,2,6,7,19,2.995732273553991,0,1,4,5,9,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1,2,1,1,55.0
13,2.6390573296152584,0,1,3,6,3,28,3.367295829986474,1,1,3,0,8,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,1,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,5,0,4,1,0,16.0
29,3.4011973816621555,0,2,4,1,9,14,2.70805020110221,1,2,4,0,4,26,3.295836866004329,1,2,1,5,6,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,2,4,1,2,78.0
29,3.4011973816621555,0,2,4,1,9,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,2,0,4,1,1,45.0
26,3.295836866004329,1,2,1,5,6,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,0,0.0,0,1,0,0,0,0,5,1.791759469228055,0,2,0,5,5,5,2,5,1,0,85.0
21,3.091042453358316,0,0,1,0,1,28,3.367295829986474,1,1,3,0,8,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4,0,4,1,2,55.0
29,3.4011973816621555,0,2,4,1,9,4,1.6094379124341003,1,1,4,4,4,22,3.1354942159291497,1,1,2,1,2,0,0.0,0,1,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,0,4,5,1,0,119.0
22,3.1354942159291497,1,1,2,1,2,22,3.1354942159291497,1,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,5,3,1,2,21.0
26,3.295836866004329,1,2,1,5,6,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,0,1,4,2,5,66.0
18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,0,0,1,1,6,45.0
20,3.044522437723423,1,2,0,6,0,23,3.1780538303479458,0,2,3,2,3,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,1,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,1,0,1,1,12.0
27,3.332204510175204,0,0,2,6,7,16,2.833213344056216,1,1,1,2,6,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4,4,5,1,3,86.0
28,3.367295829986474,1,1,3,0,8,30,3.4339872044851463,1,0,0,2,0,23,3.1780538303479458,0,2,3,2,3,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,3,5,1,2,91.0
29,3.4011973816621555,0,2,4,1,9,11,2.4849066497880004,0,2,1,4,1,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,1,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,4,0,3,1,4,119.0
23,3.1780538303479458,0,2,3,2,3,21,3.091042453358316,0,0,1,0,1,24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,4,0,2,1,3,27.0
27,3.332204510175204,0,0,2,6,7,11,2.4849066497880004,0,2,1,4,1,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0,0,1,1,48.0
18,2.9444389791664403,1,0,3,4,8,16,2.833213344056216,1,1,1,2,6,23,3.1780538303479458,0,2,3,2,3,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,5,2,1,2,35.0
18,2.9444389791664403,1,0,3,4,8,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,3,1,5,2,3,40.0
16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,0,1,4,1,2,66.0
23,3.1780538303479458,0,2,3,2,3,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,1,1,1,1,104.0
12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,3,0,1,5,5.0
18,2.9444389791664403,1,0,3,4,8,12,2.5649493574615367,1,0,2,5,2,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,1,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,2,3,3,1,2,64.0
8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,1,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,4,0,1,5,2.0
12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,1,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,0,3,4,1,5,1.0
17,2.8903717578961645,0,2,2,3,7,11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,4,1,1,22.0
8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,3,3,1,1,4,10.0
16,2.833213344056216,1,1,1,2,6,14,2.70805020110221,1,2,4,0,4,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,5,3,1,1,35.0
18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,12,2.5649493574615367,1,0,2,5,2,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,4,4,4,1,1,35.0
27,3.332204510175204,0,0,2,6,7,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,1,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,3,0,1,7,42.0
13,2.6390573296152584,0,1,3,6,3,16,2.833213344056216,1,1,1,2,6,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,5,3,2,1,0,4.0
18,2.9444389791664403,1,0,3,4,8,16,2.833213344056216,1,1,1,2,6,11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,0,3,0,1,1,51.0
20,3.044522437723423,1,2,0,6,0,17,2.8903717578961645,0,2,2,3,7,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,1,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,5,5,3,1,1,59.0
8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,1,5,4,1,3,15.0
12,2.5649493574615367,1,0,2,5,2,19,2.995732273553991,0,1,4,5,9,29,3.4011973816621555,0,2,4,1,9,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,3,3,1,2,16.0
12,2.5649493574615367,1,0,2,5,2,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,1,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,2,1,3,1,2,47.0
26,3.295836866004329,1,2,1,5,6,6,1.9459101490553132,1,0,1,6,6,23,3.1780538303479458,0,2,3,2,3,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,4,5,1,1,0,49.0
9,2.302585092994046,0,0,4,2,9,17,2.8903717578961645,0,2,2,3,7,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,1,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,2,2,2,1,4,13.0
25,3.258096538021482,0,1,0,4,5,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,4,4,0,1,5,89.0
21,3.091042453358316,0,0,1,0,1,23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,0,3,0,1,2,13.0
13,2.6390573296152584,0,1,3,6,3,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,0,3,1,1,17.0
20,3.044522437723423,1,2,0,6,0,21,3.091042453358316,0,0,1,0,1,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,0,1,2,5.0
21,3.091042453358316,0,0,1,0,1,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,1,5,1,3,13.0
5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,17,2.8903717578961645,0,2,2,3,7,1,0.6931471805599453,1,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,0,4,5,1,5,6.0
15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,26,3.295836866004329,1,2,1,5,6,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,3,1,4,1,2,29.0
17,2.8903717578961645,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,1,5,1,1,66.0
29,3.4011973816621555,0,2,4,1,9,28,3.367295829986474,1,1,3,0,8,12,2.5649493574615367,1,0,2,5,2,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,5,4,3,1,2,47.0
22,3.1354942159291497,1,1,2,1,2,28,3.367295829986474,1,1,3,0,8,14,2.70805020110221,1,2,4,0,4,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,2,0,1,2,2,24.0
19,2.995732273553991,0,1,4,5,9,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,3,2,4,1,2,15.0
19,2.995732273553991,0,1,4,5,9,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,3,0,1,1,1,40.0
28,3.367295829986474,1,1,3,0,8,27,3.332204510175204,0,0,2,6,7,19,2.995732273553991,0,1,4,5,9,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,3,1,1,1,44.0
23,3.1780538303479458,0,2,3,2,3,7,2.0794415416798357,0,1,2,0,7,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,3,4,1,1,32.0
18,2.9444389791664403,1,0,3,4,8,16,2.833213344056216,1,1,1,2,6,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,3,5,1,2,22.0
19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,3,4,1,1,2,70.0
23,3.1780538303479458,0,2,3,2,3,22,3.1354942159291497,1,1,2,1,2,26,3.295836866004329,1,2,1,5,6,5,1.791759469228055,1,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,4,1,3,1,1,49.0
13,2.6390573296152584,0,1,3,6,3,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,4,0,1,1,5.0
30,3.4339872044851463,1,0,0,2,0,17,2.8903717578961645,0,2,2,3,7,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,1,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,4,3,1,5,33.0
19,2.995732273553991,0,1,4,5,9,27,3.332204510175204,0,0,2,6,7,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,1,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,4,2,5,1,0,69.0
29,3.4011973816621555,0,2,4,1,9,4,1.6094379124341003,1,1,4,4,4,23,3.1780538303479458,0,2,3,2,3,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,0,0,3,1,1,91.0
10,2.3978952727983707,1,1,0,3,0,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,0,0.0,0,1,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,2,1,5,1,4,15.0
25,3.258096538021482,0,1,0,4,5,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,1,4,5,1,5,118.0
23,3.1780538303479458,0,2,3,2,3,16,2.833213344056216,1,1,1,2,6,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,0,2,4,1,0,24.0
5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,0,0.0,0,1,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,0,2,0,1,3,7.0
29,3.4011973816621555,0,2,4,1,9,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,1,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,0,4,2,1,1,86.0
12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,1,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,2,1,5,1,7,39.0
13,2.6390573296152584,0,1,3,6,3,25,3.258096538021482,0,1,0,4,5,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,1,5,1,3,28.0
23,3.1780538303479458,0,2,3,2,3,11,2.4849066497880004,0,2,1,4,1,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,5,3,2,1,1,31.0
14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,2,4,1,3,6.0
11,2.4849066497880004,0,2,1,4,1,25,3.258096538021482,0,1,0,4,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,1,0,1,3,6.0
17,2.8903717578961645,0,2,2,3,7,6,1.9459101490553132,1,0,1,6,6,27,3.332204510175204,0,0,2,6,7,6,1.9459101490553132,1,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,3,0,1,1,3,58.0
16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,17,2.8903717578961645,0,2,2,3,7,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,0,1,1,1,60.0
23,3.1780538303479458,0,2,3,2,3,21,3.091042453358316,0,0,1,0,1,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,0,2,3,1,0,79.0
8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,3,5,1,1,0,16.0
18,2.9444389791664403,1,0,3,4,8,26,3.295836866004329,1,2,1,5,6,9,2.302585092994046,0,0,4,2,9,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,0,0,3,3,3,5,5,2,1,3,1.0
27,3.332204510175204,0,0,2,6,7,25,3.258096538021482,0,1,0,4,5,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,5,0,1,1,52.0
29,3.4011973816621555,0,2,4,1,9,5,1.791759469228055,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,4,5,5,1,1,67.0
