slot_name,slot_daily_amount,slot_daily_amount_abs_log1p,slot_daily_amount_is_even,slot_daily_amount_mod3,slot_daily_amount_mod5,slot_daily_amount_mod7,slot_daily_amount_mod10,slot_small_unit,slot_per_large,slot_per_large_abs_log1p,slot_per_large_is_even,slot_per_large_mod3,slot_per_large_mod5,slot_per_large_mod7,slot_per_large_mod10,slot_large_unit,slot_days,slot_days_abs_log1p,slot_days_is_even,slot_days_mod3,slot_days_mod5,slot_days_mod7,slot_days_mod10,gcd_all,n_multiple_pairs,y
0,40,3.713572066704308,1,1,0,5,0,0,10,2.3978952727983707,1,1,0,3,0,0,128,4.859812404361672,1,2,3,2,8,2,1,512.0
7,30,3.4339872044851463,1,0,0,2,0,4,6,1.9459101490553132,1,0,1,6,6,4,339,5.8289456176102075,0,0,4,3,9,3,1,1695.0
8,7,2.0794415416798357,0,1,2,0,7,2,200,5.303304908059076,1,2,0,4,0,2,200,5.303304908059076,1,2,0,4,0,1,1,7.0
5,30,3.4339872044851463,1,0,0,2,0,0,10,2.3978952727983707,1,1,0,3,0,0,220,5.3981627015177525,1,1,0,3,0,10,2,660.0
1,15,2.772588722239781,0,0,0,1,5,3,40,3.713572066704308,1,1,0,5,0,3,16,2.833213344056216,1,1,1,2,6,1,0,6.0
9,39,3.6888794541139363,0,0,4,4,9,4,6,1.9459101490553132,1,0,1,6,6,4,36,3.6109179126442243,1,0,1,1,6,3,1,234.0
1,6,1.9459101490553132,1,0,1,6,6,6,16,2.833213344056216,1,1,1,2,6,6,296,5.6937321388027,1,2,1,2,6,2,0,111.0
6,22,3.1354942159291497,1,1,2,1,2,7,60,4.110873864173311,1,0,0,4,0,7,330,5.802118375377063,1,0,0,1,0,2,1,121.0
8,16,2.833213344056216,1,1,1,2,6,6,16,2.833213344056216,1,1,1,2,6,6,124,4.8283137373023015,1,1,4,5,4,4,1,124.0
10,13,2.6390573296152584,0,1,3,6,3,7,60,4.110873864173311,1,0,0,4,0,7,120,4.795790545596741,1,0,0,1,0,1,1,26.0
8,36,3.6109179126442243,1,0,1,1,6,8,30,3.4339872044851463,1,0,0,2,0,8,20,3.044522437723423,1,2,0,6,0,2,0,24.0
4,38,3.6635616461296463,1,2,3,3,8,7,60,4.110873864173311,1,0,0,4,0,7,240,5.484796933490655,1,0,0,2,0,2,1,152.0
10,38,3.6635616461296463,1,2,3,3,8,2,200,5.303304908059076,1,2,0,4,0,2,100,4.61512051684126,1,1,0,2,0,2,1,19.0
6,21,3.091042453358316,0,0,1,0,1,2,100,4.61512051684126,1,1,0,2,0,2,200,5.303304908059076,1,2,0,4,0,1,1,42.0
7,3,1.3862943611198906,0,0,3,3,3,3,24,3.2188758248682006,1,0,4,3,4,3,280,5.638354669333745,1,1,0,0,0,1,1,35.0
0,47,3.871201010907891,0,2,2,5,7,1,25,3.258096538021482,0,1,0,4,5,1,75,4.330733340286331,0,0,0,5,5,1,1,141.0
4,20,3.044522437723423,1,2,0,6,0,7,60,4.110873864173311,1,0,0,4,0,7,177,5.181783550292085,0,0,2,2,7,1,1,59.0
9,23,3.1780538303479458,0,2,3,2,3,3,12,2.5649493574615367,1,0,2,5,2,3,12,2.5649493574615367,1,0,2,5,2,1,1,23.0
11,17,2.8903717578961645,0,2,2,3,7,4,6,1.9459101490553132,1,0,1,6,6,4,210,5.351858133476067,1,0,0,0,0,1,1,595.0
3,4,1.6094379124341003,1,1,4,4,4,4,24,3.2188758248682006,1,0,4,3,4,4,360,5.8888779583328805,1,0,0,3,0,4,3,60.0
8,47,3.871201010907891,0,2,2,5,7,0,20,3.044522437723423,1,2,0,6,0,0,240,5.484796933490655,1,0,0,2,0,1,1,564.0
5,16,2.833213344056216,1,1,1,2,6,0,20,3.044522437723423,1,2,0,6,0,0,260,5.564520407322694,1,2,0,1,0,4,1,208.0
10,30,3.4339872044851463,1,0,0,2,0,2,100,4.61512051684126,1,1,0,2,0,2,160,5.081404364984463,1,1,0,6,0,10,0,48.0
3,26,3.295836866004329,1,2,1,5,6,2,50,3.9318256327243257,1,2,0,1,0,2,200,5.303304908059076,1,2,0,4,0,2,1,104.0
4,37,3.6375861597263857,0,1,2,2,7,6,16,2.833213344056216,1,1,1,2,6,6,256,5.54907608489522,1,1,1,4,6,1,1,592.0
10,11,2.4849066497880004,0,2,1,4,1,4,24,3.2188758248682006,1,0,4,3,4,4,288,5.666426688112432,1,0,3,1,8,1,1,132.0
3,45,3.828641396489095,0,0,0,3,5,8,40,3.713572066704308,1,1,0,5,0,8,304,5.720311776607412,1,1,4,3,4,1,0,342.0
4,4,1.6094379124341003,1,1,4,4,4,9,20,3.044522437723423,1,2,0,6,0,9,245,5.5053315359323625,0,2,0,0,5,1,1,49.0
6,49,3.912023005428146,0,1,4,0,9,1,50,3.9318256327243257,1,2,0,1,0,1,350,5.860786223465865,1,2,0,0,0,1,1,343.0
6,21,3.091042453358316,0,0,1,0,1,2,200,5.303304908059076,1,2,0,4,0,2,200,5.303304908059076,1,2,0,4,0,1,1,21.0
8,10,2.3978952727983707,1,1,0,3,0,2,200,5.303304908059076,1,2,0,4,0,2,80,4.394449154672439,1,2,0,3,0,10,2,4.0
5,46,3.8501476017100584,1,1,1,4,6,2,50,3.9318256327243257,1,2,0,1,0,2,325,5.786897381366708,0,1,0,3,5,1,0,299.0
7,48,3.8918202981106265,1,0,3,6,8,0,10,2.3978952727983707,1,1,0,3,0,0,195,5.278114659230517,0,0,0,6,5,1,0,936.0
5,23,3.1780538303479458,0,2,3,2,3,5,16,2.833213344056216,1,1,1,2,6,5,304,5.720311776607412,1,1,4,3,4,1,1,437.0
8,22,3.1354942159291497,1,1,2,1,2,1,25,3.258096538021482,0,1,0,4,5,1,200,5.303304908059076,1,2,0,4,0,1,1,176.0
2,33,3.5263605246161616,0,0,3,5,3,8,50,3.9318256327243257,1,2,0,1,0,8,50,3.9318256327243257,1,2,0,1,0,1,1,33.0
5,10,2.3978952727983707,1,1,0,3,0,7,60,4.110873864173311,1,0,0,4,0,7,324,5.783825182329737,1,0,4,2,4,2,1,54.0
4,2,1.0986122886681098,1,2,2,2,2,2,100,4.61512051684126,1,1,0,2,0,2,150,5.017279836814924,1,0,0,3,0,2,2,3.0
9,9,2.302585092994046,0,0,4,2,9,3,40,3.713572066704308,1,1,0,5,0,3,160,5.081404364984463,1,1,0,6,0,1,1,36.0
10,19,2.995732273553991,0,1,4,5,9,8,50,3.9318256327243257,1,2,0,1,0,8,350,5.860786223465865,1,2,0,0,0,1,1,133.0
9,34,3.5553480614894135,1,1,4,6,4,5,8,2.1972245773362196,1,2,3,1,8,5,20,3.044522437723423,1,2,0,6,0,2,0,85.0
0,7,2.0794415416798357,0,1,2,0,7,6,16,2.833213344056216,1,1,1,2,6,6,96,4.574710978503383,1,0,1,5,6,1,1,42.0
4,45,3.828641396489095,0,0,0,3,5,1,25,3.258096538021482,0,1,0,4,5,1,350,5.860786223465865,1,2,0,0,0,5,1,630.0
4,3,1.3862943611198906,0,0,3,3,3,9,20,3.044522437723423,1,2,0,6,0,9,220,5.3981627015177525,1,1,0,3,0,1,1,33.0
10,40,3.713572066704308,1,1,0,5,0,1,25,3.258096538021482,0,1,0,4,5,1,335,5.817111159963204,0,2,0,6,5,5,0,536.0
9,22,3.1354942159291497,1,1,2,1,2,7,60,4.110873864173311,1,0,0,4,0,7,360,5.8888779583328805,1,0,0,3,0,2,1,132.0
2,39,3.6888794541139363,0,0,4,4,9,0,20,3.044522437723423,1,2,0,6,0,0,120,4.795790545596741,1,0,0,1,0,1,1,234.0
11,40,3.713572066704308,1,1,0,5,0,7,60,4.110873864173311,1,0,0,4,0,7,6,1.9459101490553132,1,0,1,6,6,2,1,4.0
1,13,2.6390573296152584,0,1,3,6,3,6,16,2.833213344056216,1,1,1,2,6,6,48,3.8918202981106265,1,0,3,6,8,1,1,39.0
3,12,2.5649493574615367,1,0,2,5,2,8,25,3.258096538021482,0,1,0,4,5,8,100,4.61512051684126,1,1,0,2,0,1,1,48.0
8,4,1.6094379124341003,1,1,4,4,4,2,100,4.61512051684126,1,1,0,2,0,2,325,5.786897381366708,0,1,0,3,5,1,1,13.0
1,28,3.367295829986474,1,1,3,0,8,3,20,3.044522437723423,1,2,0,6,0,3,350,5.860786223465865,1,2,0,0,0,2,0,490.0
5,15,2.772588722239781,0,0,0,1,5,1,50,3.9318256327243257,1,2,0,1,0,1,230,5.442417710521793,1,2,0,6,0,5,0,69.0
6,20,3.044522437723423,1,2,0,6,0,0,10,2.3978952727983707,1,1,0,3,0,0,41,3.7376696182833684,0,2,1,6,1,1,1,82.0
10,25,3.258096538021482,0,1,0,4,5,1,50,3.9318256327243257,1,2,0,1,0,1,160,5.081404364984463,1,1,0,6,0,5,1,80.0
5,37,3.6375861597263857,0,1,2,2,7,9,50,3.9318256327243257,1,2,0,1,0,9,300,5.707110264748875,1,0,0,6,0,1,1,222.0
2,18,2.9444389791664403,1,0,3,4,8,8,20,3.044522437723423,1,2,0,6,0,8,200,5.303304908059076,1,2,0,4,0,2,1,180.0
0,4,1.6094379124341003,1,1,4,4,4,6,16,2.833213344056216,1,1,1,2,6,6,288,5.666426688112432,1,0,3,1,8,4,3,72.0
6,5,1.791759469228055,0,2,0,5,5,7,60,4.110873864173311,1,0,0,4,0,7,180,5.198497031265826,1,0,0,5,0,5,3,15.0
0,35,3.58351893845611,0,2,0,0,5,6,16,2.833213344056216,1,1,1,2,6,6,192,5.262690188904886,1,0,2,3,2,1,1,420.0
4,29,3.4011973816621555,0,2,4,1,9,6,16,2.833213344056216,1,1,1,2,6,6,176,5.176149732573829,1,2,1,1,6,1,1,319.0
0,11,2.4849066497880004,0,2,1,4,1,9,20,3.044522437723423,1,2,0,6,0,9,260,5.564520407322694,1,2,0,1,0,1,1,143.0
11,4,1.6094379124341003,1,1,4,4,4,5,16,2.833213344056216,1,1,1,2,6,5,264,5.579729825986222,1,0,4,5,4,4,2,66.0
3,2,1.0986122886681098,1,2,2,2,2,7,60,4.110873864173311,1,0,0,4,0,7,240,5.484796933490655,1,0,0,2,0,2,3,8.0
3,18,2.9444389791664403,1,0,3,4,8,0,10,2.3978952727983707,1,1,0,3,0,0,130,4.875197323201151,1,1,0,4,0,2,1,234.0
11,4,1.6094379124341003,1,1,4,4,4,8,50,3.9318256327243257,1,2,0,1,0,8,200,5.303304908059076,1,2,0,4,0,2,2,16.0
6,47,3.871201010907891,0,2,2,5,7,7,60,4.110873864173311,1,0,0,4,0,7,240,5.484796933490655,1,0,0,2,0,1,1,188.0
9,35,3.58351893845611,0,2,0,0,5,5,16,2.833213344056216,1,1,1,2,6,5,320,5.771441123130016,1,2,0,5,0,1,1,700.0
4,25,3.258096538021482,0,1,0,4,5,2,50,3.9318256327243257,1,2,0,1,0,2,348,5.855071922202427,1,0,3,5,8,1,1,174.0
0,4,1.6094379124341003,1,1,4,4,4,3,15,2.772588722239781,0,0,0,1,5,3,255,5.545177444479562,0,0,0,3,5,1,1,68.0
8,10,2.3978952727983707,1,1,0,3,0,1,10,2.3978952727983707,1,1,0,3,0,1,307,5.730099782973574,0,1,2,6,7,1,1,307.0
8,42,3.7612001156935624,1,0,2,0,2,8,30,3.4339872044851463,1,0,0,2,0,8,65,4.189654742026425,0,2,0,2,5,1,0,91.0
0,7,2.0794415416798357,0,1,2,0,7,6,16,2.833213344056216,1,1,1,2,6,6,272,5.60947179518496,1,2,2,6,2,1,1,119.0
0,34,3.5553480614894135,1,1,4,6,4,5,8,2.1972245773362196,1,2,3,1,8,5,4,1.6094379124341003,1,1,4,4,4,2,1,17.0
10,19,2.995732273553991,0,1,4,5,9,3,30,3.4339872044851463,1,0,0,2,0,3,150,5.017279836814924,1,0,0,3,0,1,1,95.0
6,37,3.6375861597263857,0,1,2,2,7,8,20,3.044522437723423,1,2,0,6,0,8,220,5.3981627015177525,1,1,0,3,0,1,1,407.0
3,14,2.70805020110221,1,2,4,0,4,7,60,4.110873864173311,1,0,0,4,0,7,330,5.802118375377063,1,0,0,1,0,2,0,77.0
6,19,2.995732273553991,0,1,4,5,9,9,20,3.044522437723423,1,2,0,6,0,9,280,5.638354669333745,1,1,0,0,0,1,1,266.0
2,35,3.58351893845611,0,2,0,0,5,9,50,3.9318256327243257,1,2,0,1,0,9,20,3.044522437723423,1,2,0,6,0,5,0,14.0
4,30,3.4339872044851463,1,0,0,2,0,6,16,2.833213344056216,1,1,1,2,6,6,288,5.666426688112432,1,0,3,1,8,2,1,540.0
10,27,3.332204510175204,0,0,2,6,7,8,30,3.4339872044851463,1,0,0,2,0,8,210,5.351858133476067,1,0,0,0,0,3,1,189.0
0,22,3.1354942159291497,1,1,2,1,2,6,16,2.833213344056216,1,1,1,2,6,6,48,3.8918202981106265,1,0,3,6,8,2,1,66.0
9,14,2.70805020110221,1,2,4,0,4,2,200,5.303304908059076,1,2,0,4,0,2,200,5.303304908059076,1,2,0,4,0,2,1,14.0
11,26,3.295836866004329,1,2,1,5,6,9,20,3.044522437723423,1,2,0,6,0,9,180,5.198497031265826,1,0,0,5,0,2,1,234.0
11,40,3.713572066704308,1,1,0,5,0,3,10,2.3978952727983707,1,1,0,3,0,3,146,4.990432586778736,1,2,1,6,6,2,1,584.0
7,41,3.7376696182833684,0,2,1,6,1,3,15,2.772588722239781,0,0,0,1,5,3,75,4.330733340286331,0,0,0,5,5,1,1,205.0
6,44,3.8066624897703196,1,2,4,2,4,8,30,3.4339872044851463,1,0,0,2,0,8,60,4.110873864173311,1,0,0,4,0,2,1,88.0
2,42,3.7612001156935624,1,0,2,0,2,0,10,2.3978952727983707,1,1,0,3,0,0,355,5.87493073085203,0,1,0,5,5,1,0,1491.0
1,19,2.995732273553991,0,1,4,5,9,4,6,1.9459101490553132,1,0,1,6,6,4,72,4.290459441148391,1,0,2,2,2,1,1,228.0
6,38,3.6635616461296463,1,2,3,3,8,4,12,2.5649493574615367,1,0,2,5,2,4,60,4.110873864173311,1,0,0,4,0,2,1,190.0
2,17,2.8903717578961645,0,2,2,3,7,8,25,3.258096538021482,0,1,0,4,5,8,200,5.303304908059076,1,2,0,4,0,1,1,136.0
3,31,3.4657359027997265,0,1,1,3,1,9,50,3.9318256327243257,1,2,0,1,0,9,300,5.707110264748875,1,0,0,6,0,1,1,186.0
3,20,3.044522437723423,1,2,0,6,0,1,50,3.9318256327243257,1,2,0,1,0,1,320,5.771441123130016,1,2,0,5,0,10,1,128.0
7,13,2.6390573296152584,0,1,3,6,3,4,12,2.5649493574615367,1,0,2,5,2,4,240,5.484796933490655,1,0,0,2,0,1,1,260.0
6,39,3.6888794541139363,0,0,4,4,9,7,60,4.110873864173311,1,0,0,4,0,7,360,5.8888779583328805,1,0,0,3,0,3,1,234.0
6,16,2.833213344056216,1,1,1,2,6,1,50,3.9318256327243257,1,2,0,1,0,1,275,5.62040086571715,0,2,0,2,5,1,0,88.0
0,31,3.4657359027997265,0,1,1,3,1,2,200,5.303304908059076,1,2,0,4,0,2,200,5.303304908059076,1,2,0,4,0,1,1,31.0
0,40,3.713572066704308,1,1,0,5,0,8,40,3.713572066704308,1,1,0,5,0,8,20,3.044522437723423,1,2,0,6,0,20,3,20.0
5,10,2.3978952727983707,1,1,0,3,0,1,25,3.258096538021482,0,1,0,4,5,1,290,5.673323267171493,1,2,0,3,0,5,1,116.0
2,18,2.9444389791664403,1,0,3,4,8,3,15,2.772588722239781,0,0,0,1,5,3,185,5.225746673713202,0,2,0,3,5,1,0,222.0
10,4,1.6094379124341003,1,1,4,4,4,7,60,4.110873864173311,1,0,0,4,0,7,15,2.772588722239781,0,0,0,1,5,1,2,1.0
10,30,3.4339872044851463,1,0,0,2,0,9,20,3.044522437723423,1,2,0,6,0,9,112,4.727387818712341,1,1,2,0,2,2,0,168.0
1,2,1.0986122886681098,1,2,2,2,2,9,50,3.9318256327243257,1,2,0,1,0,9,275,5.62040086571715,0,2,0,2,5,1,1,11.0
4,21,3.091042453358316,0,0,1,0,1,2,200,5.303304908059076,1,2,0,4,0,2,200,5.303304908059076,1,2,0,4,0,1,1,21.0
0,35,3.58351893845611,0,2,0,0,5,6,16,2.833213344056216,1,1,1,2,6,6,144,4.976733742420574,1,0,4,4,4,1,1,315.0
1,29,3.4011973816621555,0,2,4,1,9,8,50,3.9318256327243257,1,2,0,1,0,8,200,5.303304908059076,1,2,0,4,0,1,1,116.0
8,47,3.871201010907891,0,2,2,5,7,8,50,3.9318256327243257,1,2,0,1,0,8,100,4.61512051684126,1,1,0,2,0,1,1,94.0
11,32,3.4965075614664802,1,2,2,4,2,2,200,5.303304908059076,1,2,0,4,0,2,225,5.420534999272286,0,0,0,1,5,1,0,36.0
4,14,2.70805020110221,1,2,4,0,4,6,16,2.833213344056216,1,1,1,2,6,6,248,5.517452896464707,1,2,3,3,8,2,0,217.0
10,42,3.7612001156935624,1,0,2,0,2,3,24,3.2188758248682006,1,0,4,3,4,3,8,2.1972245773362196,1,2,3,1,8,2,1,14.0
4,39,3.6888794541139363,0,0,4,4,9,4,6,1.9459101490553132,1,0,1,6,6,4,198,5.293304824724492,1,0,3,2,8,3,1,1287.0
9,33,3.5263605246161616,0,0,3,5,3,8,40,3.713572066704308,1,1,0,5,0,8,240,5.484796933490655,1,0,0,2,0,1,1,198.0
3,4,1.6094379124341003,1,1,4,4,4,0,20,3.044522437723423,1,2,0,6,0,0,140,4.948759890378168,1,2,0,0,0,4,3,28.0
5,27,3.332204510175204,0,0,2,6,7,7,60,4.110873864173311,1,0,0,4,0,7,360,5.8888779583328805,1,0,0,3,0,3,1,162.0
5,4,1.6094379124341003,1,1,4,4,4,6,16,2.833213344056216,1,1,1,2,6,6,232,5.4510384535657,1,1,2,1,2,4,2,58.0
5,26,3.295836866004329,1,2,1,5,6,1,25,3.258096538021482,0,1,0,4,5,1,225,5.420534999272286,0,0,0,1,5,1,1,234.0
5,40,3.713572066704308,1,1,0,5,0,5,16,2.833213344056216,1,1,1,2,6,5,192,5.262690188904886,1,0,2,3,2,8,1,480.0
9,27,3.332204510175204,0,0,2,6,7,5,16,2.833213344056216,1,1,1,2,6,5,80,4.394449154672439,1,2,0,3,0,1,1,135.0
7,48,3.8918202981106265,1,0,3,6,8,4,6,1.9459101490553132,1,0,1,6,6,4,358,5.883322388488279,1,1,3,1,8,2,1,2864.0
11,50,3.9318256327243257,1,2,0,1,0,5,16,2.833213344056216,1,1,1,2,6,5,344,5.84354441703136,1,2,4,1,4,2,0,1075.0
8,4,1.6094379124341003,1,1,4,4,4,8,20,3.044522437723423,1,2,0,6,0,8,195,5.278114659230517,0,0,0,6,5,1,1,39.0
1,8,2.1972245773362196,1,2,3,1,8,4,12,2.5649493574615367,1,0,2,5,2,4,363,5.8971538676367405,0,0,3,6,3,1,0,242.0
10,11,2.4849066497880004,0,2,1,4,1,7,60,4.110873864173311,1,0,0,4,0,7,360,5.8888779583328805,1,0,0,3,0,1,1,66.0
6,29,3.4011973816621555,0,2,4,1,9,7,60,4.110873864173311,1,0,0,4,0,7,60,4.110873864173311,1,0,0,4,0,1,1,29.0
5,42,3.7612001156935624,1,0,2,0,2,5,8,2.1972245773362196,1,2,3,1,8,5,212,5.3612921657094255,1,2,2,2,2,2,0,1113.0
10,8,2.1972245773362196,1,2,3,1,8,9,20,3.044522437723423,1,2,0,6,0,9,320,5.771441123130016,1,2,0,5,0,4,2,128.0
10,11,2.4849066497880004,0,2,1,4,1,2,50,3.9318256327243257,1,2,0,1,0,2,150,5.017279836814924,1,0,0,3,0,1,1,33.0
7,16,2.833213344056216,1,1,1,2,6,0,20,3.044522437723423,1,2,0,6,0,0,355,5.87493073085203,0,1,0,5,5,1,0,284.0
6,30,3.4339872044851463,1,0,0,2,0,3,20,3.044522437723423,1,2,0,6,0,3,296,5.6937321388027,1,2,1,2,6,2,0,444.0
2,16,2.833213344056216,1,1,1,2,6,9,20,3.044522437723423,1,2,0,6,0,9,345,5.846438775057725,0,0,0,2,5,1,0,276.0
4,4,1.6094379124341003,1,1,4,4,4,6,16,2.833213344056216,1,1,1,2,6,6,200,5.303304908059076,1,2,0,4,0,4,2,50.0
11,7,2.0794415416798357,0,1,2,0,7,2,100,4.61512051684126,1,1,0,2,0,2,300,5.707110264748875,1,0,0,6,0,1,1,21.0
6,27,3.332204510175204,0,0,2,6,7,3,15,2.772588722239781,0,0,0,1,5,3,80,4.394449154672439,1,2,0,3,0,1,0,144.0
11,43,3.784189633918261,0,1,3,1,3,5,16,2.833213344056216,1,1,1,2,6,5,304,5.720311776607412,1,1,4,3,4,1,1,817.0
0,22,3.1354942159291497,1,1,2,1,2,3,24,3.2188758248682006,1,0,4,3,4,3,168,5.1298987149230735,1,0,3,0,8,2,1,154.0
5,12,2.5649493574615367,1,0,2,5,2,3,24,3.2188758248682006,1,0,4,3,4,3,160,5.081404364984463,1,1,0,6,0,4,1,80.0
5,20,3.044522437723423,1,2,0,6,0,3,10,2.3978952727983707,1,1,0,3,0,3,146,4.990432586778736,1,2,1,6,6,2,1,292.0
10,40,3.713572066704308,1,1,0,5,0,8,50,3.9318256327243257,1,2,0,1,0,8,350,5.860786223465865,1,2,0,0,0,10,1,280.0
3,9,2.302585092994046,0,0,4,2,9,2,100,4.61512051684126,1,1,0,2,0,2,100,4.61512051684126,1,1,0,2,0,1,1,9.0
1,32,3.4965075614664802,1,2,2,4,2,9,50,3.9318256327243257,1,2,0,1,0,9,50,3.9318256327243257,1,2,0,1,0,2,1,32.0
2,7,2.0794415416798357,0,1,2,0,7,6,16,2.833213344056216,1,1,1,2,6,6,272,5.60947179518496,1,2,2,6,2,1,1,119.0
4,46,3.8501476017100584,1,1,1,4,6,9,50,3.9318256327243257,1,2,0,1,0,9,300,5.707110264748875,1,0,0,6,0,2,1,276.0
11,6,1.9459101490553132,1,0,1,6,6,7,60,4.110873864173311,1,0,0,4,0,7,20,3.044522437723423,1,2,0,6,0,2,2,2.0
8,11,2.4849066497880004,0,2,1,4,1,1,25,3.258096538021482,0,1,0,4,5,1,75,4.330733340286331,0,0,0,5,5,1,1,33.0
2,3,1.3862943611198906,0,0,3,3,3,6,16,2.833213344056216,1,1,1,2,6,6,96,4.574710978503383,1,0,1,5,6,1,2,18.0
5,19,2.995732273553991,0,1,4,5,9,2,200,5.303304908059076,1,2,0,4,0,2,200,5.303304908059076,1,2,0,4,0,1,1,19.0
6,8,2.1972245773362196,1,2,3,1,8,4,24,3.2188758248682006,1,0,4,3,4,4,264,5.579729825986222,1,0,4,5,4,8,3,88.0
4,45,3.828641396489095,0,0,0,3,5,3,40,3.713572066704308,1,1,0,5,0,3,336,5.820082930352362,1,0,1,0,6,1,0,378.0
0,35,3.58351893845611,0,2,0,0,5,3,20,3.044522437723423,1,2,0,6,0,3,156,5.056245805348308,1,0,1,2,6,1,0,273.0
2,14,2.70805020110221,1,2,4,0,4,0,10,2.3978952727983707,1,1,0,3,0,0,35,3.58351893845611,0,2,0,0,5,1,0,49.0
5,31,3.4657359027997265,0,1,1,3,1,8,20,3.044522437723423,1,2,0,6,0,8,300,5.707110264748875,1,0,0,6,0,1,1,465.0
6,7,2.0794415416798357,0,1,2,0,7,8,30,3.4339872044851463,1,0,0,2,0,8,90,4.51085950651685,1,0,0,6,0,1,1,21.0
10,29,3.4011973816621555,0,2,4,1,9,5,8,2.1972245773362196,1,2,3,1,8,5,344,5.84354441703136,1,2,4,1,4,1,1,1247.0
5,18,2.9444389791664403,1,0,3,4,8,1,10,2.3978952727983707,1,1,0,3,0,1,155,5.049856007249537,0,2,0,1,5,1,0,279.0
6,33,3.5263605246161616,0,0,3,5,3,2,50,3.9318256327243257,1,2,0,1,0,2,350,5.860786223465865,1,2,0,0,0,1,1,231.0
1,20,3.044522437723423,1,2,0,6,0,6,16,2.833213344056216,1,1,1,2,6,6,172,5.153291594497779,1,1,2,4,2,4,0,215.0
2,15,2.772588722239781,0,0,0,1,5,9,50,3.9318256327243257,1,2,0,1,0,9,90,4.51085950651685,1,0,0,6,0,5,1,27.0
0,19,2.995732273553991,0,1,4,5,9,3,24,3.2188758248682006,1,0,4,3,4,3,264,5.579729825986222,1,0,4,5,4,1,1,209.0
6,14,2.70805020110221,1,2,4,0,4,5,8,2.1972245773362196,1,2,3,1,8,5,4,1.6094379124341003,1,1,4,4,4,2,1,7.0
11,20,3.044522437723423,1,2,0,6,0,9,50,3.9318256327243257,1,2,0,1,0,9,345,5.846438775057725,0,0,0,2,5,5,0,138.0
10,37,3.6375861597263857,0,1,2,2,7,1,25,3.258096538021482,0,1,0,4,5,1,150,5.017279836814924,1,0,0,3,0,1,1,222.0
3,39,3.6888794541139363,0,0,4,4,9,6,16,2.833213344056216,1,1,1,2,6,6,192,5.262690188904886,1,0,2,3,2,1,1,468.0
3,50,3.9318256327243257,1,2,0,1,0,1,50,3.9318256327243257,1,2,0,1,0,1,262,5.572154032177765,1,1,2,3,2,2,1,262.0
0,32,3.4965075614664802,1,2,2,4,2,8,25,3.258096538021482,0,1,0,4,5,8,200,5.303304908059076,1,2,0,4,0,1,1,256.0
7,41,3.7376696182833684,0,2,1,6,1,5,16,2.833213344056216,1,1,1,2,6,5,112,4.727387818712341,1,1,2,0,2,1,1,287.0
0,34,3.5553480614894135,1,1,4,6,4,4,12,2.5649493574615367,1,0,2,5,2,4,288,5.666426688112432,1,0,3,1,8,2,1,816.0
4,38,3.6635616461296463,1,2,3,3,8,7,60,4.110873864173311,1,0,0,4,0,7,360,5.8888779583328805,1,0,0,3,0,2,1,228.0
