slot_items_per_container,slot_items_per_container_abs_log1p,slot_items_per_container_is_even,slot_items_per_container_mod3,slot_items_per_container_mod5,slot_items_per_container_mod7,slot_items_per_container_mod10,slot_num_containers,slot_num_containers_abs_log1p,slot_num_containers_is_even,slot_num_containers_mod3,slot_num_containers_mod5,slot_num_containers_mod7,slot_num_containers_mod10,slot_duration_per_item,slot_duration_per_item_abs_log1p,slot_duration_per_item_is_even,slot_duration_per_item_mod3,slot_duration_per_item_mod5,slot_duration_per_item_mod7,slot_duration_per_item_mod10,slot_time_unit,slot_person_name,slot_item_noun_plural,slot_container_noun_singular,slot_container_noun_plural,gcd_all,n_multiple_pairs,y
592,6.385194398997726,1,1,2,4,2,25,3.258096538021482,0,1,0,4,5,80,4.394449154672439,1,2,0,3,0,1,4,2,3,3,1,0,1184000.0
385,5.955837369464831,0,1,0,0,5,19,2.995732273553991,0,1,4,5,9,11,2.4849066497880004,0,2,1,4,1,0,2,1,1,1,1,1,80465.0
434,6.075346031088684,1,2,4,0,4,42,3.7612001156935624,1,0,2,0,2,9,2.302585092994046,0,0,4,2,9,0,1,5,1,1,1,0,164052.0
788,6.670766320845874,1,2,3,4,8,9,2.302585092994046,0,0,4,2,9,25,3.258096538021482,0,1,0,4,5,1,2,1,2,2,1,0,177300.0
674,6.51471269087253,1,2,4,2,4,31,3.4657359027997265,0,1,1,3,1,40,3.713572066704308,1,1,0,5,0,1,6,0,1,1,1,0,835760.0
702,6.555356891810665,1,0,2,2,2,49,3.912023005428146,0,1,4,0,9,172,5.153291594497779,1,1,2,4,2,1,5,2,5,5,1,0,5916456.0
632,6.450470422144176,1,2,2,2,2,56,4.04305126783455,1,2,1,0,6,27,3.332204510175204,0,0,2,6,7,1,4,5,0,0,1,0,955584.0
667,6.504288173536645,0,1,2,2,7,34,3.5553480614894135,1,1,4,6,4,33,3.5263605246161616,0,0,3,5,3,1,8,2,4,4,1,0,748374.0
220,5.3981627015177525,1,1,0,3,0,58,4.07753744390572,1,1,3,2,8,164,5.10594547390058,1,2,4,3,4,1,4,5,4,4,2,0,2092640.0
520,6.255750041753367,1,1,0,2,0,21,3.091042453358316,0,0,1,0,1,162,5.093750200806762,1,0,2,1,2,1,7,3,5,5,1,0,1769040.0
660,6.493753839851686,1,0,0,2,0,23,3.1780538303479458,0,2,3,2,3,121,4.804021044733257,0,1,1,2,1,1,2,3,5,5,1,0,1836780.0
431,6.068425588244111,0,2,1,4,1,23,3.1780538303479458,0,2,3,2,3,4,1.6094379124341003,1,1,4,4,4,0,5,5,2,2,1,0,39652.0
253,5.537334267018537,0,1,3,1,3,41,3.7376696182833684,0,2,1,6,1,3,1.3862943611198906,0,0,3,3,3,0,0,4,3,3,1,0,31119.0
78,4.3694478524670215,1,0,3,1,8,55,4.02535169073515,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,0,1,5,0,0,1,1,21450.0
671,6.51025834052315,0,2,1,6,1,42,3.7612001156935624,1,0,2,0,2,8,2.1972245773362196,1,2,3,1,8,0,1,4,0,0,1,0,225456.0
604,6.405228458030842,1,1,4,2,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,0,4,4,2,2,1,1,12080.0
764,6.639875833826536,1,2,4,1,4,5,1.791759469228055,0,2,0,5,5,31,3.4657359027997265,0,1,1,3,1,1,2,5,5,5,1,0,118420.0
773,6.651571873589727,0,2,3,3,3,59,4.0943445622221,0,2,4,3,9,44,3.8066624897703196,1,2,4,2,4,1,7,5,3,3,1,0,2006708.0
310,5.739792912179234,1,1,0,2,0,53,3.9889840465642745,0,2,3,4,3,119,4.787491742782046,0,2,4,0,9,1,3,1,4,4,1,0,1955170.0
386,5.958424693029782,1,2,1,1,6,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,0,8,3,4,4,1,0,15440.0
754,6.626717749249025,1,1,4,5,4,51,3.9512437185814275,0,0,1,2,1,152,5.030437921392435,1,2,2,5,2,1,8,4,4,4,1,0,5845008.0
207,5.337538079701318,0,0,2,4,7,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,0,1,1,3,3,1,0,24840.0
784,6.665683717782408,1,1,4,0,4,21,3.091042453358316,0,0,1,0,1,98,4.59511985013459,1,2,3,0,8,1,8,5,1,1,7,1,1613472.0
82,4.418840607796598,1,1,2,5,2,28,3.367295829986474,1,1,3,0,8,5,1.791759469228055,0,2,0,5,5,0,0,4,3,3,1,0,11480.0
295,5.69035945432406,0,1,0,1,5,52,3.970291913552122,1,1,2,3,2,7,2.0794415416798357,0,1,2,0,7,0,1,0,2,2,1,0,107380.0
649,6.476972362889683,0,1,4,5,9,55,4.02535169073515,0,1,0,6,5,3,1.3862943611198906,0,0,3,3,3,0,6,2,0,0,1,0,107085.0
469,6.152732694704104,0,1,4,0,9,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,0,2,4,0,0,1,1,117250.0
83,4.430816798843313,0,2,3,6,3,59,4.0943445622221,0,2,4,3,9,82,4.418840607796598,1,1,2,5,2,1,8,1,1,1,1,0,401554.0
258,5.556828061699537,1,0,3,6,8,13,2.6390573296152584,0,1,3,6,3,106,4.672828834461906,1,1,1,1,6,1,8,5,4,4,1,0,355524.0
86,4.465908118654584,1,2,1,2,6,22,3.1354942159291497,1,1,2,1,2,103,4.6443908991413725,0,1,3,5,3,1,0,0,2,2,1,0,194876.0
590,6.3818160174060985,1,2,0,2,0,20,3.044522437723423,1,2,0,6,0,63,4.1588830833596715,0,0,3,0,3,1,6,1,2,2,1,0,743400.0
595,6.39024066706535,0,1,0,0,5,44,3.8066624897703196,1,2,4,2,4,5,1.791759469228055,0,2,0,5,5,0,8,0,3,3,1,1,130900.0
404,6.003887067106539,1,2,4,5,4,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,0,7,2,0,0,1,1,101000.0
526,6.267200548541362,1,1,1,1,6,29,3.4011973816621555,0,2,4,1,9,38,3.6635616461296463,1,2,3,3,8,1,6,5,3,3,1,0,579652.0
57,4.060443010546419,0,0,2,1,7,31,3.4657359027997265,0,1,1,3,1,7,2.0794415416798357,0,1,2,0,7,0,2,1,2,2,1,0,12369.0
488,6.192362489474872,1,2,3,5,8,4,1.6094379124341003,1,1,4,4,4,145,4.983606621708336,0,1,0,5,5,1,1,4,4,4,1,1,283040.0
85,4.454347296253507,0,1,0,1,5,52,3.970291913552122,1,1,2,3,2,3,1.3862943611198906,0,0,3,3,3,0,1,1,2,2,1,0,13260.0
559,6.327936783729195,0,1,4,6,9,35,3.58351893845611,0,2,0,0,5,128,4.859812404361672,1,2,3,2,8,1,5,1,5,5,1,0,2504320.0
339,5.8289456176102075,0,0,4,3,9,55,4.02535169073515,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,0,3,5,4,4,1,1,93225.0
717,6.576469569048224,0,0,2,3,7,33,3.5263605246161616,0,0,3,5,3,2,1.0986122886681098,1,2,2,2,2,0,2,0,5,5,1,0,47322.0
362,5.8944028342648505,1,2,2,5,2,46,3.8501476017100584,1,1,1,4,6,10,2.3978952727983707,1,1,0,3,0,0,3,5,4,4,2,0,166520.0
194,5.272999558563747,1,2,4,5,4,58,4.07753744390572,1,1,3,2,8,6,1.9459101490553132,1,0,1,6,6,0,8,3,5,5,2,0,67512.0
531,6.2766434893416445,0,0,1,6,1,60,4.110873864173311,1,0,0,4,0,136,4.919980925828125,1,1,1,3,6,1,4,2,5,5,1,0,4332960.0
512,6.240275845170769,1,2,2,1,2,29,3.4011973816621555,0,2,4,1,9,55,4.02535169073515,0,1,0,6,5,1,7,4,3,3,1,0,816640.0
107,4.68213122712422,0,2,2,2,7,14,2.70805020110221,1,2,4,0,4,13,2.6390573296152584,0,1,3,6,3,1,3,4,0,0,1,0,19474.0
531,6.2766434893416445,0,0,1,6,1,10,2.3978952727983707,1,1,0,3,0,175,5.170483995038151,0,1,0,0,5,1,3,2,0,0,1,0,929250.0
344,5.84354441703136,1,2,4,1,4,60,4.110873864173311,1,0,0,4,0,67,4.219507705176107,0,1,2,4,7,1,3,4,3,3,1,0,1382880.0
257,5.552959584921617,0,2,2,5,7,15,2.772588722239781,0,0,0,1,5,12,2.5649493574615367,1,0,2,5,2,0,7,0,2,2,1,0,46260.0
319,5.768320995793772,0,1,4,4,9,47,3.871201010907891,0,2,2,5,7,154,5.043425116919247,1,1,4,0,4,1,4,0,4,4,1,0,2308922.0
336,5.820082930352362,1,0,1,0,6,31,3.4657359027997265,0,1,1,3,1,5,1.791759469228055,0,2,0,5,5,0,0,0,4,4,1,0,52080.0
322,5.777652323222656,1,1,2,0,2,51,3.9512437185814275,0,0,1,2,1,32,3.4965075614664802,1,2,2,4,2,1,2,1,5,5,1,0,525504.0
117,4.770684624465665,0,0,2,5,7,60,4.110873864173311,1,0,0,4,0,12,2.5649493574615367,1,0,2,5,2,0,2,1,2,2,3,1,84240.0
606,6.408528791059498,1,0,1,4,6,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,0,0,0,5,5,1,1,30300.0
557,6.324358962381311,0,2,2,4,7,16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,0,3,4,0,0,1,0,62384.0
563,6.335054251498059,0,2,3,3,3,59,4.0943445622221,0,2,4,3,9,60,4.110873864173311,1,0,0,4,0,1,2,4,0,0,1,0,1993020.0
742,6.610696044717759,1,1,2,0,2,28,3.367295829986474,1,1,3,0,8,78,4.3694478524670215,1,0,3,1,8,1,5,1,4,4,2,0,1620528.0
550,6.311734809152915,1,1,0,4,0,52,3.970291913552122,1,1,2,3,2,5,1.791759469228055,0,2,0,5,5,0,9,3,2,2,1,1,143000.0
62,4.143134726391533,1,2,2,6,2,33,3.5263605246161616,0,0,3,5,3,106,4.672828834461906,1,1,1,1,6,1,9,2,2,2,1,0,216876.0
514,6.244166900663736,1,1,4,3,4,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,0,2,3,4,4,1,0,46260.0
602,6.401917196727186,1,2,2,0,2,35,3.58351893845611,0,2,0,0,5,7,2.0794415416798357,0,1,2,0,7,0,0,4,4,4,7,2,147490.0
155,5.049856007249537,0,2,0,1,5,51,3.9512437185814275,0,0,1,2,1,161,5.087596335232384,0,2,1,0,1,1,0,1,3,3,1,0,1272705.0
264,5.579729825986222,1,0,4,5,4,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,6,0,4,4,3,3,4752.0
242,5.493061443340548,1,2,2,4,2,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,0,8,5,2,2,2,2,11616.0
77,4.356708826689592,0,2,2,0,7,54,4.007333185232471,1,0,4,5,4,4,1.6094379124341003,1,1,4,4,4,0,1,4,0,0,1,0,16632.0
701,6.553933404025811,0,2,1,1,1,58,4.07753744390572,1,1,3,2,8,11,2.4849066497880004,0,2,1,4,1,0,4,0,3,3,1,0,447238.0
564,6.336825731146441,1,0,4,4,4,32,3.4965075614664802,1,2,2,4,2,6,1.9459101490553132,1,0,1,6,6,0,9,0,4,4,2,1,108288.0
299,5.703782474656201,0,2,4,5,9,17,2.8903717578961645,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,0,7,2,3,3,1,0,15249.0
666,6.502790045915623,1,0,1,1,6,31,3.4657359027997265,0,1,1,3,1,168,5.1298987149230735,1,0,3,0,8,1,3,3,1,1,1,0,3468528.0
133,4.897839799950911,0,1,3,0,3,42,3.7612001156935624,1,0,2,0,2,47,3.871201010907891,0,2,2,5,7,1,8,1,1,1,1,0,262542.0
231,5.44673737166631,0,0,1,0,1,20,3.044522437723423,1,2,0,6,0,7,2.0794415416798357,0,1,2,0,7,0,6,1,2,2,1,1,32340.0
646,6.472346294500901,1,1,1,2,6,31,3.4657359027997265,0,1,1,3,1,6,1.9459101490553132,1,0,1,6,6,0,5,0,4,4,1,0,120156.0
220,5.3981627015177525,1,1,0,3,0,39,3.6888794541139363,0,0,4,4,9,6,1.9459101490553132,1,0,1,6,6,0,9,4,3,3,1,0,51480.0
213,5.365976015021851,0,0,3,3,3,45,3.828641396489095,0,0,0,3,5,11,2.4849066497880004,0,2,1,4,1,0,5,0,0,0,1,0,105435.0
704,6.558197802812269,1,2,4,4,4,47,3.871201010907891,0,2,2,5,7,96,4.574710978503383,1,0,1,5,6,1,4,1,0,0,1,0,3176448.0
350,5.860786223465865,1,2,0,0,0,40,3.713572066704308,1,1,0,5,0,11,2.4849066497880004,0,2,1,4,1,0,9,5,4,4,1,0,154000.0
111,4.718498871295094,0,0,1,6,1,44,3.8066624897703196,1,2,4,2,4,8,2.1972245773362196,1,2,3,1,8,0,4,3,0,0,1,0,39072.0
249,5.521460917862246,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,80,4.394449154672439,1,2,0,3,0,1,1,1,5,5,1,1,39840.0
572,6.35088571671474,1,2,2,5,2,60,4.110873864173311,1,0,0,4,0,21,3.091042453358316,0,0,1,0,1,1,5,0,4,4,1,0,720720.0
320,5.771441123130016,1,2,0,5,0,33,3.5263605246161616,0,0,3,5,3,9,2.302585092994046,0,0,4,2,9,0,3,0,4,4,1,0,95040.0
449,6.1092475827643655,0,2,4,1,9,25,3.258096538021482,0,1,0,4,5,151,5.0238805208462765,0,1,1,4,1,1,9,0,0,0,1,0,1694975.0
382,5.948034989180646,1,1,2,4,2,20,3.044522437723423,1,2,0,6,0,101,4.624972813284271,0,2,1,3,1,1,9,2,3,3,1,0,771640.0
527,6.269096283706261,0,2,2,2,7,28,3.367295829986474,1,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,0,8,1,4,4,1,1,59024.0
398,5.988961416889864,1,2,3,6,8,49,3.912023005428146,0,1,4,0,9,176,5.176149732573829,1,2,1,1,6,1,1,0,0,0,1,0,3432352.0
463,6.139884552226255,0,1,3,1,3,48,3.8918202981106265,1,0,3,6,8,12,2.5649493574615367,1,0,2,5,2,0,8,0,3,3,1,1,266688.0
138,4.9344739331306915,1,0,3,5,8,21,3.091042453358316,0,0,1,0,1,4,1.6094379124341003,1,1,4,4,4,0,5,5,3,3,1,0,11592.0
706,6.561030665896573,1,1,1,6,6,40,3.713572066704308,1,1,0,5,0,155,5.049856007249537,0,2,0,1,5,1,3,2,0,0,1,0,4377200.0
501,6.218600119691729,0,0,1,4,1,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,0,2,5,2,2,1,0,75150.0
575,6.3561076606958915,0,2,0,1,5,7,2.0794415416798357,0,1,2,0,7,114,4.74493212836325,1,0,4,2,4,1,6,1,0,0,1,0,458850.0
350,5.860786223465865,1,2,0,0,0,35,3.58351893845611,0,2,0,0,5,4,1.6094379124341003,1,1,4,4,4,0,0,3,4,4,1,1,49000.0
535,6.284134161070802,0,1,0,3,5,35,3.58351893845611,0,2,0,0,5,126,4.844187086458591,1,0,1,0,6,1,8,3,3,3,1,0,2359350.0
634,6.453624998892692,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,0,8,0,5,5,2,0,30432.0
186,5.231108616854587,1,0,1,4,6,48,3.8918202981106265,1,0,3,6,8,86,4.465908118654584,1,2,1,2,6,1,2,0,0,0,2,0,767808.0
507,6.230481447578482,0,0,2,3,7,57,4.060443010546419,0,0,2,1,7,6,1.9459101490553132,1,0,1,6,6,0,5,4,2,2,3,0,173394.0
98,4.59511985013459,1,2,3,0,8,54,4.007333185232471,1,0,4,5,4,106,4.672828834461906,1,1,1,1,6,1,1,0,3,3,2,0,560952.0
481,6.1779441140506,0,1,1,5,1,52,3.970291913552122,1,1,2,3,2,4,1.6094379124341003,1,1,4,4,4,0,4,1,2,2,1,1,100048.0
173,5.159055299214529,0,2,3,5,3,13,2.6390573296152584,0,1,3,6,3,94,4.553876891600541,1,1,4,3,4,1,1,5,1,1,1,0,211406.0
499,6.214608098422191,0,1,4,2,9,37,3.6375861597263857,0,1,2,2,7,33,3.5263605246161616,0,0,3,5,3,1,6,1,4,4,1,0,609279.0
494,6.20455776256869,1,2,4,4,4,16,2.833213344056216,1,1,1,2,6,10,2.3978952727983707,1,1,0,3,0,0,9,4,4,4,2,0,79040.0
445,6.100318952020064,0,1,0,4,5,32,3.4965075614664802,1,2,2,4,2,3,1.3862943611198906,0,0,3,3,3,0,5,1,2,2,1,0,42720.0
454,6.12029741895095,1,1,4,6,4,57,4.060443010546419,0,0,2,1,7,61,4.127134385045092,0,1,1,5,1,1,9,1,0,0,1,0,1578558.0
124,4.8283137373023015,1,1,4,5,4,56,4.04305126783455,1,2,1,0,6,2,1.0986122886681098,1,2,2,2,2,0,6,1,4,4,2,2,13888.0
97,4.584967478670572,0,1,2,6,7,15,2.772588722239781,0,0,0,1,5,51,3.9512437185814275,0,0,1,2,1,1,7,4,1,1,1,0,74205.0
43,3.784189633918261,0,1,3,1,3,47,3.871201010907891,0,2,2,5,7,141,4.955827057601261,0,0,1,1,1,1,2,4,0,0,1,1,284961.0
741,6.60934924316738,0,0,1,6,1,45,3.828641396489095,0,0,0,3,5,8,2.1972245773362196,1,2,3,1,8,1,4,4,4,4,1,0,266760.0
31,3.4657359027997265,0,1,1,3,1,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,0,5,2,0,0,1,0,2418.0
161,5.087596335232384,0,2,1,0,1,4,1.6094379124341003,1,1,4,4,4,63,4.1588830833596715,0,0,3,0,3,1,3,4,0,0,1,0,40572.0
397,5.986452005284438,0,1,2,5,7,17,2.8903717578961645,0,2,2,3,7,147,4.997212273764115,0,0,2,0,7,1,1,5,5,5,1,0,992103.0
460,6.133398042996649,1,1,0,5,0,17,2.8903717578961645,0,2,2,3,7,12,2.5649493574615367,1,0,2,5,2,1,0,2,4,4,1,0,93840.0
436,6.07993319509559,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,0,0,5,3,3,1,1,5232.0
421,6.045005314036012,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,61,4.127134385045092,0,1,1,5,1,1,5,5,0,0,1,0,231129.0
441,6.091309882077698,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,0,4,4,5,5,1,1,22050.0
710,6.566672429803241,1,2,0,3,0,52,3.970291913552122,1,1,2,3,2,43,3.784189633918261,0,1,3,1,3,1,7,5,3,3,1,0,1587560.0
785,6.666956792429207,0,2,0,1,5,25,3.258096538021482,0,1,0,4,5,9,2.302585092994046,0,0,4,2,9,0,1,5,0,0,1,0,176625.0
783,6.664409020350408,0,0,3,6,3,32,3.4965075614664802,1,2,2,4,2,45,3.828641396489095,0,0,0,3,5,1,8,0,3,3,1,0,1127520.0
359,5.886104031450156,0,2,4,2,9,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,0,2,0,1,1,1,1,17950.0
798,6.683360945766275,1,0,3,0,8,7,2.0794415416798357,0,1,2,0,7,10,2.3978952727983707,1,1,0,3,0,0,9,0,1,1,1,1,55860.0
505,6.226536669287466,0,1,0,1,5,19,2.995732273553991,0,1,4,5,9,146,4.990432586778736,1,2,1,6,6,1,8,2,1,1,1,0,1400870.0
247,5.5134287461649825,0,1,2,2,7,45,3.828641396489095,0,0,0,3,5,12,2.5649493574615367,1,0,2,5,2,0,1,5,4,4,1,0,133380.0
174,5.1647859739235145,1,0,4,6,4,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,0,6,2,4,4,6,2,18792.0
613,6.419994928147142,0,1,3,4,3,24,3.2188758248682006,1,0,4,3,4,171,5.147494476813453,0,0,1,3,1,1,1,5,3,3,1,0,2515752.0
324,5.783825182329737,1,0,4,2,4,59,4.0943445622221,0,2,4,3,9,7,2.0794415416798357,0,1,2,0,7,0,6,4,2,2,1,0,133812.0
329,5.799092654460526,0,2,4,0,9,17,2.8903717578961645,0,2,2,3,7,152,5.030437921392435,1,2,2,5,2,1,2,5,5,5,1,0,850136.0
359,5.886104031450156,0,2,4,2,9,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,0,2,4,5,5,1,1,12924.0
71,4.276666119016055,0,2,1,1,1,45,3.828641396489095,0,0,0,3,5,88,4.48863636973214,1,1,3,4,8,1,0,5,0,0,1,0,281160.0
454,6.12029741895095,1,1,4,6,4,37,3.6375861597263857,0,1,2,2,7,9,2.302585092994046,0,0,4,2,9,0,0,5,2,2,1,0,151182.0
482,6.180016653652572,1,2,2,6,2,43,3.784189633918261,0,1,3,1,3,2,1.0986122886681098,1,2,2,2,2,0,5,4,5,5,1,1,41452.0
66,4.204692619390966,1,0,1,3,6,41,3.7376696182833684,0,2,1,6,1,105,4.663439094112067,0,0,0,0,5,1,3,3,2,2,1,0,284130.0
57,4.060443010546419,0,0,2,1,7,28,3.367295829986474,1,1,3,0,8,16,2.833213344056216,1,1,1,2,6,1,0,5,2,2,1,0,25536.0
784,6.665683717782408,1,1,4,0,4,29,3.4011973816621555,0,2,4,1,9,76,4.343805421853684,1,1,1,6,6,1,0,2,1,1,1,0,1727936.0
573,6.352629396319567,0,0,3,6,3,47,3.871201010907891,0,2,2,5,7,34,3.5553480614894135,1,1,4,6,4,1,4,4,1,1,1,0,915654.0
94,4.553876891600541,1,1,4,3,4,54,4.007333185232471,1,0,4,5,4,58,4.07753744390572,1,1,3,2,8,1,8,5,3,3,2,0,294408.0
331,5.805134968916488,0,1,1,2,1,46,3.8501476017100584,1,1,1,4,6,10,2.3978952727983707,1,1,0,3,0,0,5,4,1,1,1,0,152260.0
425,6.054439346269371,0,2,0,5,5,58,4.07753744390572,1,1,3,2,8,133,4.897839799950911,0,1,3,0,3,1,8,3,3,3,1,0,3278450.0
345,5.846438775057725,0,0,0,2,5,44,3.8066624897703196,1,2,4,2,4,41,3.7376696182833684,0,2,1,6,1,1,2,0,5,5,1,0,622380.0
