slot_name1,slot_name2,slot_sold1_whole,slot_sold1_whole_abs_log1p,slot_sold1_whole_is_even,slot_sold1_whole_mod3,slot_sold1_whole_mod5,slot_sold1_whole_mod7,slot_sold1_whole_mod10,slot_sold2_whole,slot_sold2_whole_abs_log1p,slot_sold2_whole_is_even,slot_sold2_whole_mod3,slot_sold2_whole_mod5,slot_sold2_whole_mod7,slot_sold2_whole_mod10,slot_frac_num,slot_frac_num_abs_log1p,slot_frac_num_is_even,slot_frac_num_mod3,slot_frac_num_mod5,slot_frac_num_mod7,slot_frac_num_mod10,slot_frac_den,slot_frac_den_abs_log1p,slot_frac_den_is_even,slot_frac_den_mod3,slot_frac_den_mod5,slot_frac_den_mod7,slot_frac_den_mod10,slot_frac_decimal_str,slot_container_singular,slot_container_plural,slot_item_singular,slot_item_plural,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,gcd_all,n_multiple_pairs,y
8,9,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,3,3,0,0,324,5.783825182329737,1,0,4,2,4,2,9,36.0
0,10,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3,4,4,4,4,130,4.875197323201151,1,1,0,4,0,1,9,52.0
2,10,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,8,3,3,5,5,759,6.633318433280377,0,0,4,3,9,1,1,55.0
6,11,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3,1,1,1,1,544,6.300785794663244,1,1,4,5,4,1,8,64.0
0,7,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,0,3,3,0,0,684,6.529418838262226,1,0,4,5,4,1,6,90.0
9,11,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,2,2,2,2,874,6.774223886357614,1,1,4,6,4,1,1,76.0
10,12,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,3,3,6,6,208,5.342334251964811,1,1,3,5,8,1,5,16.0
10,12,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,0,4,4,0,0,952,6.859614903654202,1,1,2,0,2,1,5,170.0
3,9,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,9,2,2,2,2,288,5.666426688112432,1,0,3,1,8,1,5,20.0
0,0,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,10,1,1,5,5,1220,7.107425474110705,1,2,0,2,0,1,2,100.0
6,9,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,1,1,2,2,384,5.953243334287785,1,0,4,6,4,1,7,32.0
11,13,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,2,2,6,6,68,4.23410650459726,1,2,3,5,8,1,3,8.0
4,6,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3,0,0,3,3,102,4.634728988229636,1,0,2,4,2,1,8,12.0
8,6,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,8,1,1,5,5,432,6.07073772800249,1,0,2,5,2,1,5,40.0
12,14,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,13,2.6390573296152584,0,1,3,6,3,20,3.044522437723423,1,2,0,6,0,11,2,2,1,1,1314,7.181591944611865,1,0,4,5,4,1,5,180.0
1,15,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,12,3,3,7,7,1862,7.529943370601589,1,2,2,0,2,1,2,190.0
13,16,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,0,0,6,6,40,3.713572066704308,1,1,0,5,0,2,10,8.0
13,5,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,8,0,0,6,6,690,6.53813982376767,1,0,0,4,0,1,4,50.0
1,17,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,2,2,1,1,288,5.666426688112432,1,0,3,1,8,1,10,48.0
1,18,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,10,4,4,0,0,527,6.269096283706261,0,2,2,2,7,1,1,85.0
14,9,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,10,3,3,6,6,122,4.812184355372417,1,2,2,3,2,1,2,10.0
9,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,17,2.8903717578961645,0,2,2,3,7,20,3.044522437723423,1,2,0,6,0,13,0,0,6,6,2546,7.842671474979457,1,2,1,5,6,1,5,380.0
15,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,4,4,2,2,168,5.1298987149230735,1,0,3,0,8,1,7,24.0
16,2,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,8,2,2,3,3,944,6.851184927493743,1,2,4,6,4,1,3,80.0
2,6,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,0,4,4,0,0,215,5.375278407684165,0,2,0,5,5,1,2,25.0
3,18,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,1,1,3,3,240,5.484796933490655,1,0,0,2,0,1,8,30.0
4,0,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,8,1,1,1,1,1770,7.479299637782834,1,0,0,6,0,1,2,150.0
1,7,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,3,3,7,7,308,5.733341276897746,1,2,3,0,8,1,6,28.0
4,3,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,9,1,1,6,6,564,6.336825731146441,1,0,4,4,4,1,5,60.0
14,17,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,4,4,7,7,280,5.638354669333745,1,1,0,0,0,1,9,40.0
17,11,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3,0,0,6,6,72,4.290459441148391,1,0,2,2,2,1,9,16.0
18,19,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,0,4,4,0,0,986,6.894670039433482,1,2,1,6,6,1,1,85.0
8,7,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,0,1,1,3,3,2014,7.608374474380783,1,1,4,5,4,1,2,190.0
5,6,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0,0,2,2,140,4.948759890378168,1,2,0,0,0,1,10,20.0
1,6,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,4,4,3,3,112,4.727387818712341,1,1,2,0,2,1,7,14.0
4,19,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,20,3.044522437723423,1,2,0,6,0,14,2,2,2,2,476,6.1675164908883415,1,2,1,0,6,1,2,40.0
9,3,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,20,3.044522437723423,1,2,0,6,0,7,0,0,2,2,710,6.566672429803241,1,2,0,3,0,1,7,100.0
17,8,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,8,4,4,7,7,1062,6.968850378341948,1,0,2,5,2,1,2,90.0
19,6,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,9,2,2,1,1,572,6.35088571671474,1,2,2,5,2,1,7,55.0
6,11,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,9,2,2,4,4,504,6.22455842927536,1,0,4,0,4,1,7,60.0
8,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0,0,1,1,182,5.209486152841421,1,2,2,0,2,1,9,26.0
19,18,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,4,3,3,2,2,130,4.875197323201151,1,1,0,4,0,1,8,50.0
7,10,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,8,2,2,4,4,882,6.78332520060396,1,0,2,0,2,1,5,90.0
5,1,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,0,3,3,4,4,232,5.4510384535657,1,1,2,1,2,1,1,20.0
4,7,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,20,3.044522437723423,1,2,0,6,0,15,4,4,2,2,3366,8.121777419161074,1,0,1,6,6,1,5,340.0
11,5,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,20,3.044522437723423,1,2,0,6,0,13,3,3,5,5,308,5.733341276897746,1,2,3,0,8,1,5,40.0
20,7,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,4,4,2,2,504,6.22455842927536,1,0,4,0,4,2,10,72.0
0,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,0,0,1,1,72,4.290459441148391,1,0,2,2,2,1,7,12.0
17,12,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,3,3,6,6,240,5.484796933490655,1,0,0,2,0,1,8,40.0
9,20,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,12,1,1,7,7,780,6.660575149839686,1,0,0,3,0,1,5,100.0
8,10,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,4,4,7,7,240,5.484796933490655,1,0,0,2,0,1,7,20.0
19,4,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,9,0,0,0,0,880,6.78105762593618,1,1,0,5,0,2,10,200.0
9,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,1,4,4,7,7,1440,7.273092595999522,1,0,0,5,0,1,8,180.0
20,11,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,4,4,0,0,286,5.659482215759621,1,1,1,6,6,1,7,26.0
10,20,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,10,2.3978952727983707,1,1,0,3,0,16,2,2,3,3,962,6.870053411798126,1,2,2,3,2,1,5,130.0
5,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,2,2,6,6,144,4.976733742420574,1,0,4,4,4,1,7,18.0
9,15,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,3,3,1,1,144,4.976733742420574,1,0,4,4,4,1,10,36.0
9,11,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,12,0,0,2,2,464,6.142037405587356,1,2,4,2,4,1,5,80.0
8,10,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,3,3,2,2,360,5.8888779583328805,1,0,0,3,0,1,8,40.0
8,19,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,2,2,2,2,72,4.290459441148391,1,0,2,2,2,1,7,6.0
17,17,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,1,1,5,5,44,3.8066624897703196,1,2,4,2,4,1,5,4.0
7,11,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,3,1,1,7,7,500,6.2166061010848646,1,2,0,3,0,1,6,40.0
10,14,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,4,4,3,3,280,5.638354669333745,1,1,0,0,0,1,8,28.0
10,13,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,0,3,3,5,5,1392,7.239214973779806,1,0,2,6,2,1,2,120.0
8,0,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,3,3,5,5,36,3.6109179126442243,1,0,1,1,6,1,10,4.0
20,14,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,10,2.3978952727983707,1,1,0,3,0,16,4,4,0,0,402,5.998936561946683,1,0,2,3,2,1,2,30.0
16,1,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,0,3,3,2,2,684,6.529418838262226,1,0,4,5,4,1,6,90.0
9,20,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,1,1,5,5,270,5.602118820879701,1,0,0,4,0,1,2,20.0
1,19,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,9,1,1,5,5,481,6.1779441140506,0,1,1,5,1,1,5,65.0
16,19,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,18,2.9444389791664403,1,0,3,4,8,20,3.044522437723423,1,2,0,6,0,17,1,1,6,6,4320,8.371242135931933,1,0,0,1,0,1,6,400.0
0,0,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3,4,4,7,7,450,6.111467339502679,1,0,0,2,0,1,7,60.0
3,8,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,0,4,4,0,0,364,5.8998973535824915,1,1,4,0,4,1,5,65.0
13,8,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,20,3.044522437723423,1,2,0,6,0,18,1,1,2,2,710,6.566672429803241,1,2,0,3,0,1,4,100.0
17,12,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,1,0,0,3,3,900,6.803505257608338,1,0,0,4,0,1,7,100.0
1,8,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,4,4,3,3,140,4.948759890378168,1,2,0,0,0,1,8,28.0
4,16,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,0,6,0,19,2,2,0,0,2280,7.732369222284388,1,0,0,5,0,1,6,200.0
0,19,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,20,3.044522437723423,1,2,0,6,0,14,0,0,2,2,2780,7.930565854233965,1,2,0,1,0,1,3,200.0
5,17,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,10,0,0,4,4,738,6.6052979209482015,1,0,3,3,8,1,7,90.0
14,8,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,0,0,0,5,5,424,6.052089168924417,1,1,4,4,4,1,2,40.0
7,15,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,20,0,0,4,4,396,5.983936280687191,1,0,1,4,6,1,6,60.0
0,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,8,0,0,2,2,702,6.555356891810665,1,0,2,2,2,1,4,90.0
15,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,2,4,4,1,1,124,4.8283137373023015,1,1,4,5,4,1,8,20.0
9,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,3,3,6,6,112,4.727387818712341,1,1,2,0,2,2,10,16.0
20,12,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,0,0,5,5,646,6.472346294500901,1,1,1,2,6,1,2,76.0
2,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,10,2,2,4,4,310,5.739792912179234,1,1,0,2,0,1,5,50.0
15,19,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3,1,1,1,1,494,6.20455776256869,1,2,4,4,4,1,7,76.0
7,14,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,2,2,4,4,266,5.58724865840025,1,2,1,0,6,1,8,38.0
4,12,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,1,1,3,3,748,6.618738983517219,1,1,3,6,8,1,3,68.0
10,13,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,3,3,3,3,528,6.270988431858299,1,0,3,3,8,1,4,48.0
4,11,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,3,3,5,5,24,3.2188758248682006,1,0,4,3,4,1,10,4.0
17,0,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,8,0,0,3,3,2220,7.7057128238944275,1,0,0,1,0,1,3,150.0
7,3,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,10,2,2,4,4,820,6.710523109452428,1,1,0,1,0,1,6,100.0
1,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,4,4,1,1,972,6.880384082186005,1,0,2,6,2,1,2,72.0
