slot_old_item,slot_new_item,slot_old_units_per_day,slot_old_units_per_day_abs_log1p,slot_old_units_per_day_is_even,slot_old_units_per_day_mod3,slot_old_units_per_day_mod5,slot_old_units_per_day_mod7,slot_old_units_per_day_mod10,slot_old_unit_profit,slot_old_unit_profit_abs_log1p,slot_old_unit_profit_mod3,slot_old_unit_profit_mod7,slot_new_units_per_day,slot_new_units_per_day_abs_log1p,slot_new_units_per_day_is_even,slot_new_units_per_day_mod3,slot_new_units_per_day_mod5,slot_new_units_per_day_mod7,slot_new_units_per_day_mod10,slot_new_unit_profit,slot_new_unit_profit_abs_log1p,slot_new_unit_profit_is_even,slot_new_unit_profit_mod3,slot_new_unit_profit_mod5,slot_new_unit_profit_mod7,slot_new_unit_profit_mod10,slot_currency,gcd_all,n_multiple_pairs,y
7,8,17,2.8903717578961645,0,2,2,3,7,400,5.993961427306569,1,1,5,1.791759469228055,0,2,0,5,5,1700,7.438971592395862,1,2,0,6,0,0,1,3,25.0
5,1,19,2.995732273553991,0,1,4,5,9,240,5.484796933490655,0,2,4,1.6094379124341003,1,1,4,4,4,1254,7.134890851565884,1,0,4,1,4,0,1,2,10.0
2,9,13,2.6390573296152584,0,1,3,6,3,60,4.110873864173311,0,4,13,2.6390573296152584,0,1,3,6,3,78,4.3694478524670215,1,0,3,1,8,2,1,3,30.0
9,2,8,2.1972245773362196,1,2,3,1,8,60,4.110873864173311,0,4,24,3.2188758248682006,1,0,4,3,4,29,3.4011973816621555,0,2,4,1,9,2,1,1,45.0
5,4,15,2.772588722239781,0,0,0,1,5,380,5.942799375126701,2,2,5,1.791759469228055,0,2,0,5,5,1254,7.134890851565884,1,0,4,1,4,1,1,2,10.0
10,8,8,2.1972245773362196,1,2,3,1,8,60,4.110873864173311,0,4,24,3.2188758248682006,1,0,4,3,4,22,3.1354942159291497,1,1,2,1,2,1,2,1,10.0
0,7,5,1.791759469228055,0,2,0,5,5,460,6.133398042996649,1,5,5,1.791759469228055,0,2,0,5,5,529,6.272877006546167,0,1,4,4,9,2,1,3,15.0
1,8,8,2.1972245773362196,1,2,3,1,8,360,5.8888779583328805,0,3,15,2.772588722239781,0,0,0,1,5,240,5.484796933490655,1,0,0,2,0,3,1,4,25.0
4,9,9,2.302585092994046,0,0,4,2,9,340,5.831882477283517,1,4,3,1.3862943611198906,0,0,3,3,3,1479,7.299797366758161,0,0,4,2,9,0,1,2,45.0
6,9,11,2.4849066497880004,0,2,1,4,1,440,6.089044875446846,2,6,22,3.1354942159291497,1,1,2,1,2,330,5.802118375377063,1,0,0,1,0,1,11,5,50.0
9,5,9,2.302585092994046,0,0,4,2,9,320,5.771441123130016,2,5,6,1.9459101490553132,1,0,1,6,6,504,6.22455842927536,1,0,4,0,4,1,1,2,5.0
6,9,14,2.70805020110221,1,2,4,0,4,420,6.042632833682381,0,0,28,3.367295829986474,1,1,3,0,8,315,5.755742213586912,0,0,0,0,5,0,7,3,50.0
6,3,20,3.044522437723423,1,2,0,6,0,300,5.707110264748875,0,6,5,1.791759469228055,0,2,0,5,5,1320,7.186144304522325,1,0,0,4,0,2,5,5,10.0
8,4,18,2.9444389791664403,1,0,3,4,8,100,4.61512051684126,1,2,12,2.5649493574615367,1,0,2,5,2,195,5.278114659230517,0,0,0,6,5,3,1,0,30.0
0,8,15,2.772588722239781,0,0,0,1,5,140,4.948759890378168,2,0,15,2.772588722239781,0,0,0,1,5,161,5.087596335232384,0,2,1,0,1,3,1,1,15.0
2,7,20,3.044522437723423,1,2,0,6,0,140,4.948759890378168,2,0,1,0.6931471805599453,0,1,1,1,1,3080,8.033009498596668,1,2,0,0,0,0,1,6,10.0
4,2,19,2.995732273553991,0,1,4,5,9,220,5.3981627015177525,1,3,19,2.995732273553991,0,1,4,5,9,231,5.44673737166631,0,0,1,0,1,1,1,1,5.0
0,10,11,2.4849066497880004,0,2,1,4,1,200,5.303304908059076,2,4,12,2.5649493574615367,1,0,2,5,2,220,5.3981627015177525,1,1,0,3,0,1,1,1,20.0
10,8,14,2.70805020110221,1,2,4,0,4,500,6.2166061010848646,2,3,4,1.6094379124341003,1,1,4,4,4,2100,7.650168700845001,1,0,0,0,0,0,2,3,20.0
7,1,7,2.0794415416798357,0,1,2,0,7,460,6.133398042996649,1,5,6,1.9459101490553132,1,0,1,6,6,805,6.692083742506628,0,1,0,0,5,1,1,1,50.0
5,3,14,2.70805020110221,1,2,4,0,4,300,5.707110264748875,0,6,6,1.9459101490553132,1,0,1,6,6,1015,6.923628628138427,0,1,0,0,5,3,1,1,45.0
10,6,8,2.1972245773362196,1,2,3,1,8,160,5.081404364984463,1,6,27,3.332204510175204,0,0,2,6,7,64,4.174387269895637,1,1,4,1,4,2,1,2,35.0
4,4,10,2.3978952727983707,1,1,0,3,0,440,6.089044875446846,2,6,12,2.5649493574615367,1,0,2,5,2,440,6.089044875446846,1,2,0,6,0,1,2,3,20.0
2,5,11,2.4849066497880004,0,2,1,4,1,340,5.831882477283517,1,4,22,3.1354942159291497,1,1,2,1,2,221,5.402677381872279,0,2,1,4,1,2,1,1,30.0
6,2,11,2.4849066497880004,0,2,1,4,1,60,4.110873864173311,0,4,2,1.0986122886681098,1,2,2,2,2,495,6.206575926724928,0,0,0,5,5,3,1,2,50.0
5,3,15,2.772588722239781,0,0,0,1,5,140,4.948759890378168,2,0,28,3.367295829986474,1,1,3,0,8,105,4.663439094112067,0,0,0,0,5,1,1,2,40.0
9,0,16,2.833213344056216,1,1,1,2,6,120,4.795790545596741,0,1,24,3.2188758248682006,1,0,4,3,4,92,4.532599493153256,1,2,2,1,2,1,4,1,15.0
10,5,17,2.8903717578961645,0,2,2,3,7,500,6.2166061010848646,2,3,10,2.3978952727983707,1,1,0,3,0,1275,7.151485463904735,0,0,0,1,5,0,1,2,50.0
3,8,5,1.791759469228055,0,2,0,5,5,240,5.484796933490655,0,2,28,3.367295829986474,1,1,3,0,8,60,4.110873864173311,1,0,0,4,0,2,1,3,40.0
5,0,6,1.9459101490553132,1,0,1,6,6,340,5.831882477283517,1,4,15,2.772588722239781,0,0,0,1,5,170,5.14166355650266,1,2,0,2,0,0,1,1,25.0
10,7,13,2.6390573296152584,0,1,3,6,3,280,5.638354669333745,1,0,2,1.0986122886681098,1,2,2,2,2,2184,7.68937110752969,1,0,4,0,4,1,1,3,20.0
1,5,19,2.995732273553991,0,1,4,5,9,480,6.175867270105761,0,4,1,0.6931471805599453,0,1,1,1,1,13680,9.523763287920113,1,0,0,2,0,1,1,4,50.0
6,4,8,2.1972245773362196,1,2,3,1,8,400,5.993961427306569,1,1,10,2.3978952727983707,1,1,0,3,0,400,5.993961427306569,1,1,0,1,0,3,2,5,25.0
9,7,18,2.9444389791664403,1,0,3,4,8,360,5.8888779583328805,0,3,28,3.367295829986474,1,1,3,0,8,324,5.783825182329737,1,0,4,2,4,0,2,2,40.0
6,0,19,2.995732273553991,0,1,4,5,9,380,5.942799375126701,2,2,7,2.0794415416798357,0,1,2,0,7,1083,6.988413181999592,0,0,3,5,3,3,1,2,5.0
4,5,14,2.70805020110221,1,2,4,0,4,240,5.484796933490655,0,2,1,0.6931471805599453,0,1,1,1,1,4368,8.382289428951436,1,0,3,0,8,1,1,4,30.0
3,4,12,2.5649493574615367,1,0,2,5,2,200,5.303304908059076,2,4,12,2.5649493574615367,1,0,2,5,2,210,5.351858133476067,1,0,0,0,0,3,2,1,5.0
1,2,20,3.044522437723423,1,2,0,6,0,380,5.942799375126701,2,2,24,3.2188758248682006,1,0,4,3,4,380,5.942799375126701,1,2,0,2,0,0,4,3,20.0
2,8,7,2.0794415416798357,0,1,2,0,7,420,6.042632833682381,0,0,6,1.9459101490553132,1,0,1,6,6,686,6.532334292222349,1,2,1,0,6,0,1,3,40.0
9,4,18,2.9444389791664403,1,0,3,4,8,500,6.2166061010848646,2,3,25,3.258096538021482,0,1,0,4,5,414,6.028278520230698,1,0,4,1,4,3,1,2,15.0
2,4,15,2.772588722239781,0,0,0,1,5,60,4.110873864173311,0,4,29,3.4011973816621555,0,2,4,1,9,45,3.828641396489095,0,0,0,3,5,3,1,2,45.0
1,9,16,2.833213344056216,1,1,1,2,6,400,5.993961427306569,1,1,5,1.791759469228055,0,2,0,5,5,1408,7.25063551189868,1,1,3,1,8,2,1,3,10.0
8,9,18,2.9444389791664403,1,0,3,4,8,460,6.133398042996649,1,5,10,2.3978952727983707,1,1,0,3,0,1242,7.1252830915107115,1,0,2,3,2,1,2,2,50.0
0,5,16,2.833213344056216,1,1,1,2,6,60,4.110873864173311,0,4,14,2.70805020110221,1,2,4,0,4,96,4.574710978503383,1,0,1,5,6,3,2,1,40.0
7,2,5,1.791759469228055,0,2,0,5,5,160,5.081404364984463,1,6,2,1.0986122886681098,1,2,2,2,2,600,6.398594934535208,1,0,0,5,0,1,1,4,50.0
3,1,12,2.5649493574615367,1,0,2,5,2,220,5.3981627015177525,1,3,6,1.9459101490553132,1,0,1,6,6,528,6.270988431858299,1,0,3,3,8,0,2,3,20.0
10,5,13,2.6390573296152584,0,1,3,6,3,400,5.993961427306569,1,1,29,3.4011973816621555,0,2,4,1,9,260,5.564520407322694,1,2,0,1,0,1,1,1,45.0
4,1,6,1.9459101490553132,1,0,1,6,6,280,5.638354669333745,1,0,14,2.70805020110221,1,2,4,0,4,156,5.056245805348308,1,0,1,2,6,2,2,2,30.0
5,2,5,1.791759469228055,0,2,0,5,5,280,5.638354669333745,1,0,14,2.70805020110221,1,2,4,0,4,140,4.948759890378168,1,2,0,0,0,1,1,5,40.0
5,2,5,1.791759469228055,0,2,0,5,5,400,5.993961427306569,1,1,8,2.1972245773362196,1,2,3,1,8,375,5.929589143389895,0,0,0,4,5,2,1,3,50.0
2,10,10,2.3978952727983707,1,1,0,3,0,260,5.564520407322694,2,1,26,3.295836866004329,1,2,1,5,6,135,4.912654885736052,0,0,0,2,5,0,1,2,35.0
3,9,16,2.833213344056216,1,1,1,2,6,60,4.110873864173311,0,4,5,1.791759469228055,0,2,0,5,5,240,5.484796933490655,1,0,0,2,0,0,1,4,25.0
6,1,19,2.995732273553991,0,1,4,5,9,380,5.942799375126701,2,2,19,2.995732273553991,0,1,4,5,9,399,5.991464547107982,0,0,4,0,9,0,19,5,5.0
9,6,12,2.5649493574615367,1,0,2,5,2,280,5.638354669333745,1,0,28,3.367295829986474,1,1,3,0,8,132,4.890349128221754,1,0,2,6,2,2,4,2,10.0
1,5,18,2.9444389791664403,1,0,3,4,8,100,4.61512051684126,1,2,12,2.5649493574615367,1,0,2,5,2,225,5.420534999272286,0,0,0,1,5,3,1,0,50.0
8,2,7,2.0794415416798357,0,1,2,0,7,160,5.081404364984463,1,6,12,2.5649493574615367,1,0,2,5,2,112,4.727387818712341,1,1,2,0,2,2,1,1,20.0
8,5,16,2.833213344056216,1,1,1,2,6,160,5.081404364984463,1,6,8,2.1972245773362196,1,2,3,1,8,432,6.07073772800249,1,0,2,5,2,1,8,5,35.0
3,8,16,2.833213344056216,1,1,1,2,6,420,6.042632833682381,0,0,13,2.6390573296152584,0,1,3,6,3,672,6.511745329644728,1,0,2,0,2,2,1,1,30.0
5,1,18,2.9444389791664403,1,0,3,4,8,340,5.831882477283517,1,4,3,1.3862943611198906,0,0,3,3,3,2958,7.99260665240021,1,0,3,4,8,2,1,2,45.0
10,9,6,1.9459101490553132,1,0,1,6,6,460,6.133398042996649,1,5,6,1.9459101490553132,1,0,1,6,6,529,6.272877006546167,0,1,4,4,9,1,1,1,15.0
5,7,14,2.70805020110221,1,2,4,0,4,480,6.175867270105761,0,4,2,1.0986122886681098,1,2,2,2,2,4872,8.491465042843506,1,0,2,0,2,1,2,4,45.0
8,7,18,2.9444389791664403,1,0,3,4,8,100,4.61512051684126,1,2,3,1.3862943611198906,0,0,3,3,3,780,6.660575149839686,1,0,0,3,0,3,1,2,30.0
4,8,7,2.0794415416798357,0,1,2,0,7,100,4.61512051684126,1,2,5,1.791759469228055,0,2,0,5,5,154,5.043425116919247,1,1,4,0,4,2,1,2,10.0
4,2,16,2.833213344056216,1,1,1,2,6,440,6.089044875446846,2,6,22,3.1354942159291497,1,1,2,1,2,384,5.953243334287785,1,0,4,6,4,2,2,2,20.0
9,9,12,2.5649493574615367,1,0,2,5,2,380,5.942799375126701,2,2,3,1.3862943611198906,0,0,3,3,3,2128,7.663407664893479,1,1,3,0,8,0,1,1,40.0
6,7,15,2.772588722239781,0,0,0,1,5,460,6.133398042996649,1,5,23,3.1780538303479458,0,2,3,2,3,435,6.077642243349034,0,0,0,1,5,0,1,2,45.0
3,3,15,2.772588722239781,0,0,0,1,5,240,5.484796933490655,0,2,1,0.6931471805599453,0,1,1,1,1,3780,8.237743803890933,1,0,0,0,0,3,1,5,5.0
0,6,7,2.0794415416798357,0,1,2,0,7,400,5.993961427306569,1,1,20,3.044522437723423,1,2,0,6,0,182,5.209486152841421,1,2,2,0,2,3,1,2,30.0
9,7,11,2.4849066497880004,0,2,1,4,1,340,5.831882477283517,1,4,2,1.0986122886681098,1,2,2,2,2,2057,7.629489916393995,0,2,2,6,7,2,1,2,10.0
10,9,11,2.4849066497880004,0,2,1,4,1,80,4.394449154672439,2,3,9,2.302585092994046,0,0,4,2,9,132,4.890349128221754,1,0,2,6,2,3,1,1,35.0
8,2,16,2.833213344056216,1,1,1,2,6,240,5.484796933490655,0,2,12,2.5649493574615367,1,0,2,5,2,400,5.993961427306569,1,1,0,1,0,3,4,3,25.0
7,9,20,3.044522437723423,1,2,0,6,0,340,5.831882477283517,1,4,2,1.0986122886681098,1,2,2,2,2,4590,8.431853144249223,1,0,0,5,0,0,2,4,35.0
8,1,16,2.833213344056216,1,1,1,2,6,400,5.993961427306569,1,1,20,3.044522437723423,1,2,0,6,0,400,5.993961427306569,1,1,0,1,0,2,4,5,25.0
9,10,5,1.791759469228055,0,2,0,5,5,80,4.394449154672439,2,3,10,2.3978952727983707,1,1,0,3,0,58,4.07753744390572,1,1,3,2,8,0,1,3,45.0
3,0,18,2.9444389791664403,1,0,3,4,8,380,5.942799375126701,2,2,6,1.9459101490553132,1,0,1,6,6,1311,7.179307969504034,0,0,1,2,1,2,1,1,15.0
7,10,10,2.3978952727983707,1,1,0,3,0,60,4.110873864173311,0,4,4,1.6094379124341003,1,1,4,4,4,195,5.278114659230517,0,0,0,6,5,0,1,2,30.0
6,6,10,2.3978952727983707,1,1,0,3,0,360,5.8888779583328805,0,3,5,1.791759469228055,0,2,0,5,5,1044,6.951772164398911,1,0,4,1,4,2,1,3,45.0
1,2,10,2.3978952727983707,1,1,0,3,0,460,6.133398042996649,1,5,1,0.6931471805599453,0,1,1,1,1,6900,8.839421607620602,1,0,0,5,0,0,1,6,50.0
7,3,5,1.791759469228055,0,2,0,5,5,360,5.8888779583328805,0,3,29,3.4011973816621555,0,2,4,1,9,90,4.51085950651685,1,0,0,6,0,1,1,3,45.0
7,6,5,1.791759469228055,0,2,0,5,5,320,5.771441123130016,2,5,20,3.044522437723423,1,2,0,6,0,100,4.61512051684126,1,1,0,2,0,0,5,5,25.0
5,1,17,2.8903717578961645,0,2,2,3,7,180,5.198497031265826,0,5,17,2.8903717578961645,0,2,2,3,7,252,5.53338948872752,1,0,2,0,2,1,1,1,40.0
3,5,18,2.9444389791664403,1,0,3,4,8,240,5.484796933490655,0,2,8,2.1972245773362196,1,2,3,1,8,594,6.38856140554563,1,0,4,6,4,0,2,2,10.0
9,4,15,2.772588722239781,0,0,0,1,5,240,5.484796933490655,0,2,30,3.4339872044851463,1,0,0,2,0,162,5.093750200806762,1,0,2,1,2,2,3,3,35.0
9,9,14,2.70805020110221,1,2,4,0,4,100,4.61512051684126,1,2,20,3.044522437723423,1,2,0,6,0,105,4.663439094112067,0,0,0,0,5,0,1,1,50.0
3,0,8,2.1972245773362196,1,2,3,1,8,240,5.484796933490655,0,2,6,1.9459101490553132,1,0,1,6,6,480,6.175867270105761,1,0,0,4,0,2,2,5,50.0
2,9,19,2.995732273553991,0,1,4,5,9,480,6.175867270105761,0,4,4,1.6094379124341003,1,1,4,4,4,2736,7.914617709040679,1,0,1,6,6,3,1,3,20.0
5,0,14,2.70805020110221,1,2,4,0,4,100,4.61512051684126,1,2,14,2.70805020110221,1,2,4,0,4,125,4.836281906951478,0,2,0,6,5,2,1,1,25.0
5,10,16,2.833213344056216,1,1,1,2,6,360,5.8888779583328805,0,3,8,2.1972245773362196,1,2,3,1,8,936,6.842683282238422,1,0,1,5,6,1,8,3,30.0
9,3,19,2.995732273553991,0,1,4,5,9,360,5.8888779583328805,0,3,30,3.4339872044851463,1,0,0,2,0,342,5.8377304471659395,1,0,2,6,2,2,1,2,50.0
8,4,20,3.044522437723423,1,2,0,6,0,180,5.198497031265826,0,5,15,2.772588722239781,0,0,0,1,5,336,5.820082930352362,1,0,1,0,6,0,1,2,40.0
4,7,14,2.70805020110221,1,2,4,0,4,220,5.3981627015177525,1,3,11,2.4849066497880004,0,2,1,4,1,378,5.937536205082426,1,0,3,0,8,0,1,2,35.0
7,5,5,1.791759469228055,0,2,0,5,5,380,5.942799375126701,2,2,5,1.791759469228055,0,2,0,5,5,551,6.313548046277095,0,2,1,5,1,0,1,3,45.0
6,7,15,2.772588722239781,0,0,0,1,5,480,6.175867270105761,0,4,15,2.772588722239781,0,0,0,1,5,624,6.437751649736401,1,0,4,1,4,1,3,3,30.0
2,5,9,2.302585092994046,0,0,4,2,9,180,5.198497031265826,0,5,9,2.302585092994046,0,0,4,2,9,225,5.420534999272286,0,0,0,1,5,2,9,5,25.0
4,10,19,2.995732273553991,0,1,4,5,9,360,5.8888779583328805,0,3,19,2.995732273553991,0,1,4,5,9,522,6.259581464064923,1,0,2,4,2,3,1,1,45.0
6,3,18,2.9444389791664403,1,0,3,4,8,220,5.3981627015177525,1,3,18,2.9444389791664403,1,0,3,4,8,297,5.697093486505405,0,0,2,3,7,3,1,1,35.0
8,2,12,2.5649493574615367,1,0,2,5,2,300,5.707110264748875,0,6,10,2.3978952727983707,1,1,0,3,0,522,6.259581464064923,1,0,2,4,2,0,2,2,45.0
0,9,16,2.833213344056216,1,1,1,2,6,320,5.771441123130016,2,5,8,2.1972245773362196,1,2,3,1,8,800,6.68586094706836,1,2,0,2,0,3,8,5,25.0
5,0,8,2.1972245773362196,1,2,3,1,8,120,4.795790545596741,0,1,8,2.1972245773362196,1,2,3,1,8,162,5.093750200806762,1,0,2,1,2,3,2,3,35.0
4,4,6,1.9459101490553132,1,0,1,6,6,280,5.638354669333745,1,0,3,1.3862943611198906,0,0,3,3,3,784,6.665683717782408,1,1,4,0,4,0,1,1,40.0
6,6,11,2.4849066497880004,0,2,1,4,1,300,5.707110264748875,0,6,30,3.4339872044851463,1,0,0,2,0,132,4.890349128221754,1,0,2,6,2,3,1,2,20.0
4,4,13,2.6390573296152584,0,1,3,6,3,340,5.831882477283517,1,4,17,2.8903717578961645,0,2,2,3,7,351,5.863631175598097,0,0,1,1,1,0,1,2,35.0
5,3,20,3.044522437723423,1,2,0,6,0,420,6.042632833682381,0,0,21,3.091042453358316,0,0,1,0,1,580,6.364750756851911,1,1,0,6,0,2,1,3,45.0
1,4,13,2.6390573296152584,0,1,3,6,3,400,5.993961427306569,1,1,13,2.6390573296152584,0,1,3,6,3,580,6.364750756851911,1,1,0,6,0,0,1,1,45.0
6,6,15,2.772588722239781,0,0,0,1,5,340,5.831882477283517,1,4,28,3.367295829986474,1,1,3,0,8,255,5.545177444479562,0,0,0,3,5,0,1,1,40.0
6,7,15,2.772588722239781,0,0,0,1,5,240,5.484796933490655,0,2,9,2.302585092994046,0,0,4,2,9,440,6.089044875446846,1,2,0,6,0,0,1,1,10.0
0,9,20,3.044522437723423,1,2,0,6,0,380,5.942799375126701,2,2,20,3.044522437723423,1,2,0,6,0,551,6.313548046277095,0,2,1,5,1,1,1,3,45.0
6,1,5,1.791759469228055,0,2,0,5,5,100,4.61512051684126,1,2,29,3.4011973816621555,0,2,4,1,9,25,3.258096538021482,0,1,0,4,5,3,1,3,45.0
9,10,14,2.70805020110221,1,2,4,0,4,240,5.484796933490655,0,2,7,2.0794415416798357,0,1,2,0,7,576,6.3578422665081,1,0,1,2,6,2,1,1,20.0
10,9,10,2.3978952727983707,1,1,0,3,0,260,5.564520407322694,2,1,4,1.6094379124341003,1,1,4,4,4,845,6.740519359606223,0,2,0,5,5,1,1,2,30.0
1,7,18,2.9444389791664403,1,0,3,4,8,120,4.795790545596741,0,1,28,3.367295829986474,1,1,3,0,8,81,4.406719247264253,0,0,1,4,1,2,1,0,5.0
0,6,18,2.9444389791664403,1,0,3,4,8,60,4.110873864173311,0,4,12,2.5649493574615367,1,0,2,5,2,135,4.912654885736052,0,0,0,2,5,3,3,1,50.0
3,2,15,2.772588722239781,0,0,0,1,5,220,5.3981627015177525,1,3,11,2.4849066497880004,0,2,1,4,1,420,6.042632833682381,1,0,0,0,0,1,1,2,40.0
10,0,12,2.5649493574615367,1,0,2,5,2,400,5.993961427306569,1,1,26,3.295836866004329,1,2,1,5,6,240,5.484796933490655,1,0,0,2,0,3,2,1,30.0
5,1,11,2.4849066497880004,0,2,1,4,1,140,4.948759890378168,2,0,7,2.0794415416798357,0,1,2,0,7,286,5.659482215759621,1,1,1,6,6,3,1,2,30.0
10,6,10,2.3978952727983707,1,1,0,3,0,500,6.2166061010848646,2,3,1,0.6931471805599453,0,1,1,1,1,7500,8.922791623969637,1,0,0,3,0,1,1,6,50.0
10,2,11,2.4849066497880004,0,2,1,4,1,420,6.042632833682381,0,0,6,1.9459101490553132,1,0,1,6,6,847,6.742880635791903,0,1,2,0,7,2,1,2,10.0
2,8,6,1.9459101490553132,1,0,1,6,6,160,5.081404364984463,1,6,2,1.0986122886681098,1,2,2,2,2,696,6.546785410760524,1,0,1,3,6,2,2,4,45.0
3,6,7,2.0794415416798357,0,1,2,0,7,420,6.042632833682381,0,0,12,2.5649493574615367,1,0,2,5,2,343,5.840641657373398,0,1,3,0,3,2,1,3,40.0
7,7,15,2.772588722239781,0,0,0,1,5,140,4.948759890378168,2,0,1,0.6931471805599453,0,1,1,1,1,2205,7.698936199813447,0,0,0,0,5,2,1,4,5.0
1,0,13,2.6390573296152584,0,1,3,6,3,400,5.993961427306569,1,1,7,2.0794415416798357,0,1,2,0,7,1040,6.947937068614969,1,2,0,4,0,2,1,1,40.0
1,5,15,2.772588722239781,0,0,0,1,5,400,5.993961427306569,1,1,3,1.3862943611198906,0,0,3,3,3,2800,7.937731775260109,1,1,0,0,0,3,1,2,40.0
8,10,18,2.9444389791664403,1,0,3,4,8,280,5.638354669333745,1,0,12,2.5649493574615367,1,0,2,5,2,609,6.413458957167357,0,0,4,0,9,0,1,0,45.0
1,1,7,2.0794415416798357,0,1,2,0,7,180,5.198497031265826,0,5,14,2.70805020110221,1,2,4,0,4,135,4.912654885736052,0,0,0,2,5,3,1,1,50.0
6,6,18,2.9444389791664403,1,0,3,4,8,300,5.707110264748875,0,6,9,2.302585092994046,0,0,4,2,9,780,6.660575149839686,1,0,0,3,0,2,3,1,30.0
2,9,16,2.833213344056216,1,1,1,2,6,120,4.795790545596741,0,1,12,2.5649493574615367,1,0,2,5,2,232,5.4510384535657,1,1,2,1,2,0,4,1,45.0
6,8,14,2.70805020110221,1,2,4,0,4,80,4.394449154672439,2,3,4,1.6094379124341003,1,1,4,4,4,378,5.937536205082426,1,0,3,0,8,0,2,2,35.0
8,5,5,1.791759469228055,0,2,0,5,5,500,6.2166061010848646,2,3,25,3.258096538021482,0,1,0,4,5,105,4.663439094112067,0,0,0,0,5,1,5,4,5.0
9,5,16,2.833213344056216,1,1,1,2,6,360,5.8888779583328805,0,3,23,3.1780538303479458,0,2,3,2,3,288,5.666426688112432,1,0,3,1,8,3,1,1,15.0
0,4,10,2.3978952727983707,1,1,0,3,0,160,5.081404364984463,1,6,1,0.6931471805599453,0,1,1,1,1,1920,7.560601162768557,1,0,0,2,0,2,1,6,20.0
0,7,17,2.8903717578961645,0,2,2,3,7,80,4.394449154672439,2,3,17,2.8903717578961645,0,2,2,3,7,88,4.48863636973214,1,1,3,4,8,2,1,1,10.0
