slot_person_a,slot_person_b,slot_a_current_age,slot_a_current_age_abs_log1p,slot_a_current_age_is_even,slot_a_current_age_mod3,slot_a_current_age_mod5,slot_a_current_age_mod7,slot_a_current_age_mod10,slot_years_ago,slot_years_ago_abs_log1p,slot_years_ago_is_even,slot_years_ago_mod3,slot_years_ago_mod5,slot_years_ago_mod7,slot_years_ago_mod10,slot_multiple,slot_multiple_abs_log1p,slot_multiple_is_even,slot_multiple_mod3,slot_multiple_mod5,slot_multiple_mod7,slot_multiple_mod10,gcd_all,n_multiple_pairs,y
1,7,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,2,7.0
3,7,90,4.51085950651685,1,0,0,6,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,3,22.0
6,3,28,3.367295829986474,1,1,3,0,8,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,1,0,16.0
1,5,33,3.5263605246161616,0,0,3,5,3,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,3,2,15.0
3,4,45,3.828641396489095,0,0,0,3,5,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,1,18.0
8,9,83,4.430816798843313,0,2,3,6,3,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,1,0,45.0
5,4,68,4.23410650459726,1,2,3,5,8,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,4,2,23.0
8,3,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,3,12.0
9,6,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,3,9.0
6,9,81,4.406719247264253,0,0,1,4,1,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,1,0,25.0
8,9,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0,6.0
6,8,115,4.7535901911063645,0,1,0,3,5,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,0,62.0
7,9,30,3.4339872044851463,1,0,0,2,0,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,3,2,18.0
0,9,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,1,18.0
4,2,103,4.6443908991413725,0,1,3,5,3,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,0,39.0
6,6,57,4.060443010546419,0,0,2,1,7,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,3,2,23.0
4,2,106,4.672828834461906,1,1,1,1,6,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,0,31.0
5,6,43,3.784189633918261,0,1,3,1,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0,11.0
8,3,51,3.9512437185814275,0,0,1,2,1,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,3,19.0
1,9,59,4.0943445622221,0,2,4,3,9,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,1,0,23.0
7,8,16,2.833213344056216,1,1,1,2,6,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,1,0,12.0
5,4,112,4.727387818712341,1,1,2,0,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,1,24.0
3,5,39,3.6888794541139363,0,0,4,4,9,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,3,2,21.0
8,2,110,4.709530201312334,1,2,0,5,0,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,0,42.0
3,8,78,4.3694478524670215,1,0,3,1,8,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,3,2,32.0
9,7,102,4.634728988229636,1,0,2,4,2,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,2,2,57.0
8,3,86,4.465908118654584,1,2,1,2,6,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,2,23.0
3,8,49,3.912023005428146,0,1,4,0,9,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,1,0,17.0
7,8,53,3.9889840465642745,0,2,3,4,3,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,0,31.0
6,5,90,4.51085950651685,1,0,0,6,0,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,0,33.0
7,8,92,4.532599493153256,1,2,2,1,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,0,24.0
0,5,59,4.0943445622221,0,2,4,3,9,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,1,0,29.0
7,3,102,4.634728988229636,1,0,2,4,2,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,0,36.0
7,4,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,2,0,12.0
0,8,82,4.418840607796598,1,1,2,5,2,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,0,30.0
9,4,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,2,2,16.0
6,1,53,3.9889840465642745,0,2,3,4,3,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,0,21.0
9,2,78,4.3694478524670215,1,0,3,1,8,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,2,2,46.0
0,4,71,4.276666119016055,0,2,1,1,1,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,1,0,29.0
4,7,65,4.189654742026425,0,2,0,2,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0,23.0
6,4,108,4.6913478822291435,1,0,3,3,8,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,3,2,46.0
9,2,89,4.499809670330265,0,2,4,5,9,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,1,0,25.0
0,9,62,4.143134726391533,1,2,2,6,2,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,0,26.0
7,5,98,4.59511985013459,1,2,3,0,8,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,0,40.0
8,5,93,4.543294782270004,0,0,3,2,3,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,0,27.0
7,4,94,4.553876891600541,1,1,4,3,4,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,0,28.0
8,3,78,4.3694478524670215,1,0,3,1,8,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,3,3,30.0
6,6,82,4.418840607796598,1,1,2,5,2,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,2,2,47.0
0,9,108,4.6913478822291435,1,0,3,3,8,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,3,2,46.0
8,8,99,4.605170185988092,0,0,4,1,9,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,1,54.0
9,0,65,4.189654742026425,0,2,0,2,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,0,27.0
1,4,109,4.700480365792417,0,1,4,4,9,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,2,28.0
2,6,31,3.4657359027997265,0,1,1,3,1,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0,11.0
5,1,96,4.574710978503383,1,0,1,5,6,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,2,2,55.0
6,4,39,3.6888794541139363,0,0,4,4,9,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,1,12.0
3,6,71,4.276666119016055,0,2,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,0,37.0
9,2,41,3.7376696182833684,0,2,1,6,1,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,1,0,23.0
0,9,41,3.7376696182833684,0,2,1,6,1,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,1,0,17.0
2,5,77,4.356708826689592,0,2,2,0,7,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,0,43.0
9,9,54,4.007333185232471,1,0,4,5,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,2,15.0
4,2,24,3.2188758248682006,1,0,4,3,4,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,1,0,16.0
0,0,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,1,15.0
3,6,41,3.7376696182833684,0,2,1,6,1,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,1,0,23.0
3,0,99,4.605170185988092,0,0,4,1,9,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,3,3,39.0
5,1,41,3.7376696182833684,0,2,1,6,1,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,1,0,27.0
0,6,86,4.465908118654584,1,2,1,2,6,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,2,23.0
6,0,73,4.30406509320417,0,1,3,3,3,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,2,25.0
7,7,45,3.828641396489095,0,0,0,3,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,3,2,19.0
9,8,92,4.532599493153256,1,2,2,1,2,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,2,2,52.0
1,5,117,4.770684624465665,0,0,2,5,7,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,1,1,65.0
4,9,33,3.5263605246161616,0,0,3,5,3,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,1,22.0
4,4,96,4.574710978503383,1,0,1,5,6,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,2,2,55.0
7,1,21,3.091042453358316,0,0,1,0,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,2,6.0
1,4,20,3.044522437723423,1,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,4,2,11.0
3,3,59,4.0943445622221,0,2,4,3,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,0,31.0
1,9,48,3.8918202981106265,1,0,3,6,8,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,3,2,22.0
2,4,66,4.204692619390966,1,0,1,3,6,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,2,0,24.0
8,6,74,4.31748811353631,1,2,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,2,41.0
9,1,44,3.8066624897703196,1,2,4,2,4,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,4,2,20.0
8,2,65,4.189654742026425,0,2,0,2,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,2,33.0
1,3,61,4.127134385045092,0,1,1,5,1,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,1,0,25.0
3,1,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,2,9.0
1,1,38,3.6635616461296463,1,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,0,18.0
3,5,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,0,15.0
6,8,32,3.4965075614664802,1,2,2,4,2,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,3,17.0
5,2,87,4.477336814478207,0,0,2,3,7,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,0,49.0
0,7,14,2.70805020110221,1,2,4,0,4,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,1,0,10.0
3,3,109,4.700480365792417,0,1,4,4,9,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,0,39.0
2,3,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0,6.0
2,7,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,2,3.0
2,3,49,3.912023005428146,0,1,4,0,9,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,0,19.0
6,5,19,2.995732273553991,0,1,4,5,9,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,0,10.0
7,9,111,4.718498871295094,0,0,1,6,1,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,3,2,47.0
0,6,97,4.584967478670572,0,1,2,6,7,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,0,54.0
0,8,95,4.564348191467836,0,2,0,4,5,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,3,23.0
4,6,111,4.718498871295094,0,0,1,6,1,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,1,0,39.0
3,6,75,4.330733340286331,0,0,0,5,5,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,3,3,35.0
2,3,87,4.477336814478207,0,0,2,3,7,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,0,48.0
3,9,116,4.762173934797756,1,2,1,4,6,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,4,2,35.0
0,2,39,3.6888794541139363,0,0,4,4,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,1,21.0
6,8,50,3.9318256327243257,1,2,0,1,0,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,1,0,26.0
8,5,37,3.6375861597263857,0,1,2,2,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,9.0
4,8,71,4.276666119016055,0,2,1,1,1,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,1,0,40.0
6,0,61,4.127134385045092,0,1,1,5,1,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,1,0,21.0
9,4,53,3.9889840465642745,0,2,3,4,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0,13.0
3,0,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,3,13.0
4,3,111,4.718498871295094,0,0,1,6,1,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0,27.0
1,0,63,4.1588830833596715,0,0,3,0,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0,34.0
6,2,102,4.634728988229636,1,0,2,4,2,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,2,2,56.0
3,5,109,4.700480365792417,0,1,4,4,9,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,2,28.0
4,7,120,4.795790545596741,1,0,0,1,0,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,3,3,44.0
8,9,116,4.762173934797756,1,2,1,4,6,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,0,46.0
8,1,56,4.04305126783455,1,2,1,0,6,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,0,26.0
0,6,32,3.4965075614664802,1,2,2,4,2,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,0,14.0
4,6,82,4.418840607796598,1,1,2,5,2,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,0,36.0
1,4,95,4.564348191467836,0,2,0,4,5,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,0,29.0
9,9,113,4.736198448394496,0,2,3,1,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0,59.0
0,6,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,0,6.0
6,1,32,3.4965075614664802,1,2,2,4,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,0,12.0
2,7,110,4.709530201312334,1,2,0,5,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,2,29.0
1,9,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,3,8.0
9,7,56,4.04305126783455,1,2,1,0,6,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,2,12.0
7,9,84,4.442651256490317,1,0,4,0,4,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,3,30.0
0,0,60,4.110873864173311,1,0,0,4,0,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,4,2,21.0
1,4,31,3.4657359027997265,0,1,1,3,1,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,0,13.0
1,5,65,4.189654742026425,0,2,0,2,5,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,3,17.0
9,0,103,4.6443908991413725,0,1,3,5,3,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,1,0,34.0
5,3,118,4.77912349311153,1,1,3,6,8,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,0,40.0
2,1,32,3.4965075614664802,1,2,2,4,2,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,0,18.0
4,8,107,4.68213122712422,0,2,2,2,7,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0,37.0
9,0,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,3,9.0
3,4,69,4.248495242049359,0,0,4,6,9,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,1,0,42.0
2,9,98,4.59511985013459,1,2,3,0,8,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,0,26.0
5,1,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,0,19.0
8,7,114,4.74493212836325,1,0,4,2,4,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,0,39.0
3,0,99,4.605170185988092,0,0,4,1,9,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,3,35.0
9,0,81,4.406719247264253,0,0,1,4,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,2,21.0
4,0,93,4.543294782270004,0,0,3,2,3,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,1,0,29.0
0,5,106,4.672828834461906,1,1,1,1,6,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,2,2,59.0
3,5,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,2,27.0
2,6,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,2,5.0
7,7,18,2.9444389791664403,1,0,3,4,8,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,0,15.0
7,0,116,4.762173934797756,1,2,1,4,6,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,4,2,38.0
7,0,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0,11.0
0,4,102,4.634728988229636,1,0,2,4,2,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,2,55.0
2,9,64,4.174387269895637,1,1,4,1,4,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,3,19.0
7,6,13,2.6390573296152584,0,1,3,6,3,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,0,12.0
9,1,118,4.77912349311153,1,1,3,6,8,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,2,63.0
8,3,112,4.727387818712341,1,1,2,0,2,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,2,3,63.0
0,4,72,4.290459441148391,1,0,2,2,2,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,2,2,43.0
9,8,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,3,6.0
5,3,118,4.77912349311153,1,1,3,6,8,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,0,30.0
7,0,34,3.5553480614894135,1,1,4,6,4,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,3,18.0
3,2,28,3.367295829986474,1,1,3,0,8,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,4,2,16.0
0,4,114,4.74493212836325,1,0,4,2,4,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,1,0,34.0
3,6,104,4.653960350157523,1,2,4,6,4,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,3,53.0
8,8,46,3.8501476017100584,1,1,1,4,6,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,2,10.0
