slot_num_people,slot_num_people_abs_log1p,slot_num_people_is_even,slot_num_people_mod3,slot_num_people_mod5,slot_num_people_mod7,slot_num_people_mod10,slot_payer_name,slot_currency,slot_total_bill,slot_total_bill_abs_log1p,slot_total_bill_mod3,slot_total_bill_mod7,slot_tip_percent,slot_tip_percent_abs_log1p,slot_tip_percent_is_even,slot_tip_percent_mod3,slot_tip_percent_mod5,slot_tip_percent_mod7,slot_tip_percent_mod10,gcd_all,n_multiple_pairs,y
4,1.6094379124341003,1,1,4,4,4,5,3,40,3.713572066704308,1,5,30,3.4339872044851463,1,0,0,2,0,2,1,22.0
5,1.791759469228055,0,2,0,5,5,3,0,200,5.303304908059076,2,4,22,3.1354942159291497,1,1,2,1,2,1,1,84.0
5,1.791759469228055,0,2,0,5,5,1,1,340,5.831882477283517,1,4,5,1.791759469228055,0,2,0,5,5,5,3,85.0
3,1.3862943611198906,0,0,3,3,3,2,0,2040,7.621195162809845,0,3,20,3.044522437723423,1,2,0,6,0,1,2,1088.0
3,1.3862943611198906,0,0,3,3,3,1,3,1020,6.928537818164665,0,5,22,3.1354942159291497,1,1,2,1,2,1,1,564.4
3,1.3862943611198906,0,0,3,3,3,6,2,2400,7.783640596221253,0,6,10,2.3978952727983707,1,1,0,3,0,1,2,1040.0
2,1.0986122886681098,1,2,2,2,2,4,0,380,5.942799375126701,2,2,25,3.258096538021482,0,1,0,4,5,1,1,285.0
4,1.6094379124341003,1,1,4,4,4,0,0,760,6.634633357861686,1,4,22,3.1354942159291497,1,1,2,1,2,2,1,357.2
3,1.3862943611198906,0,0,3,3,3,6,3,420,6.042632833682381,0,0,25,3.258096538021482,0,1,0,4,5,1,1,245.0
3,1.3862943611198906,0,0,3,3,3,0,3,2100,7.650168700845001,0,0,22,3.1354942159291497,1,1,2,1,2,1,1,1162.0
4,1.6094379124341003,1,1,4,4,4,6,3,580,6.364750756851911,1,6,25,3.258096538021482,0,1,0,4,5,1,1,290.0
5,1.791759469228055,0,2,0,5,5,5,2,420,6.042632833682381,0,0,15,2.772588722239781,0,0,0,1,5,5,3,147.0
3,1.3862943611198906,0,0,3,3,3,7,1,2400,7.783640596221253,0,6,30,3.4339872044851463,1,0,0,2,0,3,3,1520.0
4,1.6094379124341003,1,1,4,4,4,2,3,60,4.110873864173311,0,4,10,2.3978952727983707,1,1,0,3,0,2,2,21.0
2,1.0986122886681098,1,2,2,2,2,2,1,160,5.081404364984463,1,6,25,3.258096538021482,0,1,0,4,5,1,1,120.0
6,1.9459101490553132,1,0,1,6,6,5,1,240,5.484796933490655,0,2,22,3.1354942159291497,1,1,2,1,2,2,1,92.8
4,1.6094379124341003,1,1,4,4,4,3,1,480,6.175867270105761,0,4,22,3.1354942159291497,1,1,2,1,2,2,1,225.6
4,1.6094379124341003,1,1,4,4,4,1,3,80,4.394449154672439,2,3,22,3.1354942159291497,1,1,2,1,2,2,1,37.6
3,1.3862943611198906,0,0,3,3,3,1,1,1800,7.496097345175956,0,1,5,1.791759469228055,0,2,0,5,5,1,2,690.0
3,1.3862943611198906,0,0,3,3,3,2,0,2340,7.75833346749091,0,2,10,2.3978952727983707,1,1,0,3,0,1,2,1014.0
6,1.9459101490553132,1,0,1,6,6,3,1,1980,7.591357046698551,0,6,22,3.1354942159291497,1,1,2,1,2,2,2,765.6
2,1.0986122886681098,1,2,2,2,2,4,1,360,5.8888779583328805,0,3,20,3.044522437723423,1,2,0,6,0,2,3,252.0
6,1.9459101490553132,1,0,1,6,6,3,3,240,5.484796933490655,0,2,22,3.1354942159291497,1,1,2,1,2,2,1,92.8
5,1.791759469228055,0,2,0,5,5,7,0,340,5.831882477283517,1,4,20,3.044522437723423,1,2,0,6,0,5,3,136.0
6,1.9459101490553132,1,0,1,6,6,7,3,2280,7.732369222284388,0,5,30,3.4339872044851463,1,0,0,2,0,6,3,1064.0
5,1.791759469228055,0,2,0,5,5,3,2,660,6.493753839851686,0,2,5,1.791759469228055,0,2,0,5,5,5,3,165.0
4,1.6094379124341003,1,1,4,4,4,0,1,400,5.993961427306569,1,1,5,1.791759469228055,0,2,0,5,5,1,2,120.0
5,1.791759469228055,0,2,0,5,5,6,3,740,6.608000625296087,2,5,20,3.044522437723423,1,2,0,6,0,5,3,296.0
6,1.9459101490553132,1,0,1,6,6,0,1,1020,6.928537818164665,0,5,22,3.1354942159291497,1,1,2,1,2,2,1,394.4
6,1.9459101490553132,1,0,1,6,6,6,2,2100,7.650168700845001,0,0,10,2.3978952727983707,1,1,0,3,0,2,2,560.0
3,1.3862943611198906,0,0,3,3,3,0,1,1680,7.427144133408616,0,0,20,3.044522437723423,1,2,0,6,0,1,2,896.0
6,1.9459101490553132,1,0,1,6,6,1,3,2040,7.621195162809845,0,3,20,3.044522437723423,1,2,0,6,0,2,2,748.0
2,1.0986122886681098,1,2,2,2,2,4,2,140,4.948759890378168,2,0,22,3.1354942159291497,1,1,2,1,2,2,2,100.8
5,1.791759469228055,0,2,0,5,5,5,0,640,6.46302945692067,1,3,25,3.258096538021482,0,1,0,4,5,5,2,288.0
5,1.791759469228055,0,2,0,5,5,5,2,540,6.293419278846481,0,1,5,1.791759469228055,0,2,0,5,5,5,3,135.0
6,1.9459101490553132,1,0,1,6,6,4,0,1740,7.462214939768189,0,4,20,3.044522437723423,1,2,0,6,0,2,2,638.0
3,1.3862943611198906,0,0,3,3,3,0,0,1920,7.560601162768557,0,2,30,3.4339872044851463,1,0,0,2,0,3,3,1216.0
4,1.6094379124341003,1,1,4,4,4,6,3,580,6.364750756851911,1,6,18,2.9444389791664403,1,0,3,4,8,2,1,249.4
4,1.6094379124341003,1,1,4,4,4,5,3,340,5.831882477283517,1,4,5,1.791759469228055,0,2,0,5,5,1,2,102.0
5,1.791759469228055,0,2,0,5,5,2,1,800,6.68586094706836,2,2,20,3.044522437723423,1,2,0,6,0,5,3,320.0
5,1.791759469228055,0,2,0,5,5,2,1,520,6.255750041753367,1,2,30,3.4339872044851463,1,0,0,2,0,5,2,260.0
3,1.3862943611198906,0,0,3,3,3,1,1,600,6.398594934535208,0,5,10,2.3978952727983707,1,1,0,3,0,1,2,260.0
3,1.3862943611198906,0,0,3,3,3,1,3,1680,7.427144133408616,0,0,10,2.3978952727983707,1,1,0,3,0,1,2,728.0
2,1.0986122886681098,1,2,2,2,2,6,3,120,4.795790545596741,0,1,20,3.044522437723423,1,2,0,6,0,2,3,84.0
2,1.0986122886681098,1,2,2,2,2,4,3,780,6.660575149839686,0,3,30,3.4339872044851463,1,0,0,2,0,2,3,624.0
2,1.0986122886681098,1,2,2,2,2,6,3,600,6.398594934535208,0,5,20,3.044522437723423,1,2,0,6,0,2,3,420.0
6,1.9459101490553132,1,0,1,6,6,2,1,840,6.734591659972948,0,0,22,3.1354942159291497,1,1,2,1,2,2,1,324.8
3,1.3862943611198906,0,0,3,3,3,3,0,1380,7.2305631534092925,0,1,20,3.044522437723423,1,2,0,6,0,1,2,736.0
4,1.6094379124341003,1,1,4,4,4,6,3,300,5.707110264748875,0,6,5,1.791759469228055,0,2,0,5,5,1,2,90.0
4,1.6094379124341003,1,1,4,4,4,4,3,800,6.68586094706836,2,2,15,2.772588722239781,0,0,0,1,5,1,1,320.0
4,1.6094379124341003,1,1,4,4,4,3,0,760,6.634633357861686,1,4,30,3.4339872044851463,1,0,0,2,0,2,1,418.0
3,1.3862943611198906,0,0,3,3,3,7,2,1260,7.13966033596492,0,0,25,3.258096538021482,0,1,0,4,5,1,1,735.0
2,1.0986122886681098,1,2,2,2,2,1,0,280,5.638354669333745,1,0,5,1.791759469228055,0,2,0,5,5,1,2,154.0
6,1.9459101490553132,1,0,1,6,6,2,0,900,6.803505257608338,0,4,15,2.772588722239781,0,0,0,1,5,3,2,285.0
3,1.3862943611198906,0,0,3,3,3,1,3,300,5.707110264748875,0,6,10,2.3978952727983707,1,1,0,3,0,1,2,130.0
3,1.3862943611198906,0,0,3,3,3,5,2,540,6.293419278846481,0,1,25,3.258096538021482,0,1,0,4,5,1,1,315.0
3,1.3862943611198906,0,0,3,3,3,1,1,480,6.175867270105761,0,4,20,3.044522437723423,1,2,0,6,0,1,2,256.0
3,1.3862943611198906,0,0,3,3,3,5,2,2040,7.621195162809845,0,3,15,2.772588722239781,0,0,0,1,5,3,3,986.0
5,1.791759469228055,0,2,0,5,5,1,0,220,5.3981627015177525,1,3,25,3.258096538021482,0,1,0,4,5,5,2,99.0
3,1.3862943611198906,0,0,3,3,3,5,0,1680,7.427144133408616,0,0,15,2.772588722239781,0,0,0,1,5,3,3,812.0
6,1.9459101490553132,1,0,1,6,6,1,0,360,5.8888779583328805,0,3,30,3.4339872044851463,1,0,0,2,0,6,3,168.0
5,1.791759469228055,0,2,0,5,5,5,3,620,6.431331081933479,2,4,15,2.772588722239781,0,0,0,1,5,5,2,217.0
5,1.791759469228055,0,2,0,5,5,5,2,320,5.771441123130016,2,5,5,1.791759469228055,0,2,0,5,5,5,3,80.0
5,1.791759469228055,0,2,0,5,5,3,2,300,5.707110264748875,0,6,20,3.044522437723423,1,2,0,6,0,5,3,120.0
6,1.9459101490553132,1,0,1,6,6,1,2,960,6.8679744089702925,0,1,30,3.4339872044851463,1,0,0,2,0,6,3,448.0
3,1.3862943611198906,0,0,3,3,3,5,0,1980,7.591357046698551,0,6,30,3.4339872044851463,1,0,0,2,0,3,3,1254.0
6,1.9459101490553132,1,0,1,6,6,6,2,600,6.398594934535208,0,5,30,3.4339872044851463,1,0,0,2,0,6,3,280.0
6,1.9459101490553132,1,0,1,6,6,6,3,2100,7.650168700845001,0,0,22,3.1354942159291497,1,1,2,1,2,2,1,812.0
4,1.6094379124341003,1,1,4,4,4,6,1,640,6.46302945692067,1,3,20,3.044522437723423,1,2,0,6,0,4,3,288.0
2,1.0986122886681098,1,2,2,2,2,0,0,300,5.707110264748875,0,6,5,1.791759469228055,0,2,0,5,5,1,2,165.0
5,1.791759469228055,0,2,0,5,5,5,3,320,5.771441123130016,2,5,30,3.4339872044851463,1,0,0,2,0,5,2,160.0
4,1.6094379124341003,1,1,4,4,4,6,3,380,5.942799375126701,2,2,10,2.3978952727983707,1,1,0,3,0,2,2,133.0
4,1.6094379124341003,1,1,4,4,4,7,1,200,5.303304908059076,2,4,22,3.1354942159291497,1,1,2,1,2,2,1,94.0
3,1.3862943611198906,0,0,3,3,3,0,1,300,5.707110264748875,0,6,10,2.3978952727983707,1,1,0,3,0,1,2,130.0
2,1.0986122886681098,1,2,2,2,2,1,0,380,5.942799375126701,2,2,25,3.258096538021482,0,1,0,4,5,1,1,285.0
6,1.9459101490553132,1,0,1,6,6,2,3,2340,7.75833346749091,0,2,5,1.791759469228055,0,2,0,5,5,1,2,507.0
4,1.6094379124341003,1,1,4,4,4,0,1,200,5.303304908059076,2,4,18,2.9444389791664403,1,0,3,4,8,2,1,86.0
2,1.0986122886681098,1,2,2,2,2,3,2,480,6.175867270105761,0,4,10,2.3978952727983707,1,1,0,3,0,2,3,288.0
2,1.0986122886681098,1,2,2,2,2,1,1,60,4.110873864173311,0,4,10,2.3978952727983707,1,1,0,3,0,2,3,36.0
5,1.791759469228055,0,2,0,5,5,7,2,460,6.133398042996649,1,5,5,1.791759469228055,0,2,0,5,5,5,3,115.0
6,1.9459101490553132,1,0,1,6,6,0,3,1200,7.0909098220799835,0,3,15,2.772588722239781,0,0,0,1,5,3,2,380.0
3,1.3862943611198906,0,0,3,3,3,3,3,2400,7.783640596221253,0,6,25,3.258096538021482,0,1,0,4,5,1,2,1400.0
4,1.6094379124341003,1,1,4,4,4,5,1,60,4.110873864173311,0,4,18,2.9444389791664403,1,0,3,4,8,2,1,25.8
4,1.6094379124341003,1,1,4,4,4,5,3,140,4.948759890378168,2,0,5,1.791759469228055,0,2,0,5,5,1,2,42.0
4,1.6094379124341003,1,1,4,4,4,2,3,560,6.329720905522696,2,0,22,3.1354942159291497,1,1,2,1,2,2,1,263.2
4,1.6094379124341003,1,1,4,4,4,3,0,340,5.831882477283517,1,4,25,3.258096538021482,0,1,0,4,5,1,1,170.0
4,1.6094379124341003,1,1,4,4,4,1,3,100,4.61512051684126,1,2,20,3.044522437723423,1,2,0,6,0,4,3,45.0
4,1.6094379124341003,1,1,4,4,4,7,3,80,4.394449154672439,2,3,15,2.772588722239781,0,0,0,1,5,1,1,32.0
2,1.0986122886681098,1,2,2,2,2,0,2,80,4.394449154672439,2,3,20,3.044522437723423,1,2,0,6,0,2,3,56.0
2,1.0986122886681098,1,2,2,2,2,1,2,240,5.484796933490655,0,2,30,3.4339872044851463,1,0,0,2,0,2,3,192.0
6,1.9459101490553132,1,0,1,6,6,7,1,2400,7.783640596221253,0,6,10,2.3978952727983707,1,1,0,3,0,2,2,640.0
2,1.0986122886681098,1,2,2,2,2,6,1,620,6.431331081933479,2,4,20,3.044522437723423,1,2,0,6,0,2,3,434.0
6,1.9459101490553132,1,0,1,6,6,3,1,780,6.660575149839686,0,3,15,2.772588722239781,0,0,0,1,5,3,2,247.0
3,1.3862943611198906,0,0,3,3,3,7,3,2160,7.6783263565068856,0,4,30,3.4339872044851463,1,0,0,2,0,3,3,1368.0
6,1.9459101490553132,1,0,1,6,6,7,3,300,5.707110264748875,0,6,25,3.258096538021482,0,1,0,4,5,1,2,125.0
2,1.0986122886681098,1,2,2,2,2,3,2,680,6.523562306149512,2,1,18,2.9444389791664403,1,0,3,4,8,2,2,462.4
2,1.0986122886681098,1,2,2,2,2,6,3,600,6.398594934535208,0,5,30,3.4339872044851463,1,0,0,2,0,2,3,480.0
6,1.9459101490553132,1,0,1,6,6,4,1,1860,7.528869256642251,0,5,15,2.772588722239781,0,0,0,1,5,3,2,589.0
6,1.9459101490553132,1,0,1,6,6,2,1,840,6.734591659972948,0,0,18,2.9444389791664403,1,0,3,4,8,6,2,291.2
2,1.0986122886681098,1,2,2,2,2,5,0,800,6.68586094706836,2,2,20,3.044522437723423,1,2,0,6,0,2,3,560.0
4,1.6094379124341003,1,1,4,4,4,5,0,160,5.081404364984463,1,6,5,1.791759469228055,0,2,0,5,5,1,2,48.0
4,1.6094379124341003,1,1,4,4,4,5,2,560,6.329720905522696,2,0,15,2.772588722239781,0,0,0,1,5,1,1,224.0
3,1.3862943611198906,0,0,3,3,3,5,2,780,6.660575149839686,0,3,10,2.3978952727983707,1,1,0,3,0,1,2,338.0
6,1.9459101490553132,1,0,1,6,6,7,3,720,6.580639137284949,0,6,25,3.258096538021482,0,1,0,4,5,1,1,300.0
3,1.3862943611198906,0,0,3,3,3,5,3,1860,7.528869256642251,0,5,15,2.772588722239781,0,0,0,1,5,3,3,899.0
3,1.3862943611198906,0,0,3,3,3,5,1,360,5.8888779583328805,0,3,15,2.772588722239781,0,0,0,1,5,3,3,174.0
2,1.0986122886681098,1,2,2,2,2,3,1,520,6.255750041753367,1,2,30,3.4339872044851463,1,0,0,2,0,2,2,416.0
4,1.6094379124341003,1,1,4,4,4,1,0,720,6.580639137284949,0,6,10,2.3978952727983707,1,1,0,3,0,2,2,252.0
2,1.0986122886681098,1,2,2,2,2,7,1,740,6.608000625296087,2,5,5,1.791759469228055,0,2,0,5,5,1,2,407.0
3,1.3862943611198906,0,0,3,3,3,1,2,1920,7.560601162768557,0,2,22,3.1354942159291497,1,1,2,1,2,1,1,1062.4
2,1.0986122886681098,1,2,2,2,2,5,2,500,6.2166061010848646,2,3,25,3.258096538021482,0,1,0,4,5,1,2,375.0
4,1.6094379124341003,1,1,4,4,4,7,0,600,6.398594934535208,0,5,25,3.258096538021482,0,1,0,4,5,1,2,300.0
5,1.791759469228055,0,2,0,5,5,5,0,580,6.364750756851911,1,6,10,2.3978952727983707,1,1,0,3,0,5,3,174.0
3,1.3862943611198906,0,0,3,3,3,0,0,1680,7.427144133408616,0,0,25,3.258096538021482,0,1,0,4,5,1,1,980.0
4,1.6094379124341003,1,1,4,4,4,1,1,180,5.198497031265826,0,5,30,3.4339872044851463,1,0,0,2,0,2,2,99.0
2,1.0986122886681098,1,2,2,2,2,2,0,80,4.394449154672439,2,3,22,3.1354942159291497,1,1,2,1,2,2,2,57.6
6,1.9459101490553132,1,0,1,6,6,2,2,1860,7.528869256642251,0,5,5,1.791759469228055,0,2,0,5,5,1,2,403.0
2,1.0986122886681098,1,2,2,2,2,5,2,480,6.175867270105761,0,4,5,1.791759469228055,0,2,0,5,5,1,2,264.0
3,1.3862943611198906,0,0,3,3,3,3,2,1860,7.528869256642251,0,5,30,3.4339872044851463,1,0,0,2,0,3,3,1178.0
4,1.6094379124341003,1,1,4,4,4,0,0,380,5.942799375126701,2,2,22,3.1354942159291497,1,1,2,1,2,2,1,178.6
5,1.791759469228055,0,2,0,5,5,4,0,800,6.68586094706836,2,2,20,3.044522437723423,1,2,0,6,0,5,3,320.0
3,1.3862943611198906,0,0,3,3,3,3,1,2280,7.732369222284388,0,5,30,3.4339872044851463,1,0,0,2,0,3,3,1444.0
5,1.791759469228055,0,2,0,5,5,1,1,540,6.293419278846481,0,1,10,2.3978952727983707,1,1,0,3,0,5,3,162.0
4,1.6094379124341003,1,1,4,4,4,5,1,200,5.303304908059076,2,4,18,2.9444389791664403,1,0,3,4,8,2,1,86.0
2,1.0986122886681098,1,2,2,2,2,0,1,640,6.46302945692067,1,3,22,3.1354942159291497,1,1,2,1,2,2,2,460.8
2,1.0986122886681098,1,2,2,2,2,1,3,520,6.255750041753367,1,2,22,3.1354942159291497,1,1,2,1,2,2,2,374.4
3,1.3862943611198906,0,0,3,3,3,4,0,540,6.293419278846481,0,1,18,2.9444389791664403,1,0,3,4,8,3,3,277.2
5,1.791759469228055,0,2,0,5,5,5,0,420,6.042632833682381,0,0,20,3.044522437723423,1,2,0,6,0,5,3,168.0
2,1.0986122886681098,1,2,2,2,2,1,0,80,4.394449154672439,2,3,20,3.044522437723423,1,2,0,6,0,2,3,56.0
6,1.9459101490553132,1,0,1,6,6,5,3,2040,7.621195162809845,0,3,22,3.1354942159291497,1,1,2,1,2,2,1,788.8
2,1.0986122886681098,1,2,2,2,2,7,0,660,6.493753839851686,0,2,25,3.258096538021482,0,1,0,4,5,1,1,495.0
3,1.3862943611198906,0,0,3,3,3,6,0,1800,7.496097345175956,0,1,15,2.772588722239781,0,0,0,1,5,3,3,870.0
3,1.3862943611198906,0,0,3,3,3,6,3,960,6.8679744089702925,0,1,15,2.772588722239781,0,0,0,1,5,3,3,464.0
6,1.9459101490553132,1,0,1,6,6,3,2,780,6.660575149839686,0,3,15,2.772588722239781,0,0,0,1,5,3,2,247.0
6,1.9459101490553132,1,0,1,6,6,6,2,2220,7.7057128238944275,0,1,30,3.4339872044851463,1,0,0,2,0,6,3,1036.0
6,1.9459101490553132,1,0,1,6,6,1,3,1440,7.273092595999522,0,5,30,3.4339872044851463,1,0,0,2,0,6,3,672.0
4,1.6094379124341003,1,1,4,4,4,5,0,100,4.61512051684126,1,2,22,3.1354942159291497,1,1,2,1,2,2,1,47.0
3,1.3862943611198906,0,0,3,3,3,1,1,1320,7.186144304522325,0,4,5,1.791759469228055,0,2,0,5,5,1,2,506.0
3,1.3862943611198906,0,0,3,3,3,5,2,240,5.484796933490655,0,2,25,3.258096538021482,0,1,0,4,5,1,1,140.0
6,1.9459101490553132,1,0,1,6,6,1,1,1200,7.0909098220799835,0,3,30,3.4339872044851463,1,0,0,2,0,6,3,560.0
3,1.3862943611198906,0,0,3,3,3,2,2,900,6.803505257608338,0,4,22,3.1354942159291497,1,1,2,1,2,1,1,498.0
4,1.6094379124341003,1,1,4,4,4,4,3,180,5.198497031265826,0,5,5,1.791759469228055,0,2,0,5,5,1,2,54.0
6,1.9459101490553132,1,0,1,6,6,6,1,720,6.580639137284949,0,6,25,3.258096538021482,0,1,0,4,5,1,1,300.0
5,1.791759469228055,0,2,0,5,5,6,0,620,6.431331081933479,2,4,18,2.9444389791664403,1,0,3,4,8,1,1,235.6
4,1.6094379124341003,1,1,4,4,4,5,2,320,5.771441123130016,2,5,20,3.044522437723423,1,2,0,6,0,4,3,144.0
2,1.0986122886681098,1,2,2,2,2,6,2,400,5.993961427306569,1,1,10,2.3978952727983707,1,1,0,3,0,2,3,240.0
6,1.9459101490553132,1,0,1,6,6,0,2,720,6.580639137284949,0,6,15,2.772588722239781,0,0,0,1,5,3,2,228.0
3,1.3862943611198906,0,0,3,3,3,1,0,1440,7.273092595999522,0,5,20,3.044522437723423,1,2,0,6,0,1,2,768.0
3,1.3862943611198906,0,0,3,3,3,7,0,1260,7.13966033596492,0,0,25,3.258096538021482,0,1,0,4,5,1,1,735.0
3,1.3862943611198906,0,0,3,3,3,0,0,840,6.734591659972948,0,0,30,3.4339872044851463,1,0,0,2,0,3,3,532.0
3,1.3862943611198906,0,0,3,3,3,4,2,600,6.398594934535208,0,5,18,2.9444389791664403,1,0,3,4,8,3,2,308.0
2,1.0986122886681098,1,2,2,2,2,5,3,460,6.133398042996649,1,5,5,1.791759469228055,0,2,0,5,5,1,2,253.0
6,1.9459101490553132,1,0,1,6,6,3,2,1500,7.313886831633462,0,2,22,3.1354942159291497,1,1,2,1,2,2,1,580.0
3,1.3862943611198906,0,0,3,3,3,5,1,540,6.293419278846481,0,1,20,3.044522437723423,1,2,0,6,0,1,2,288.0
4,1.6094379124341003,1,1,4,4,4,4,0,560,6.329720905522696,2,0,15,2.772588722239781,0,0,0,1,5,1,1,224.0
4,1.6094379124341003,1,1,4,4,4,1,3,380,5.942799375126701,2,2,10,2.3978952727983707,1,1,0,3,0,2,2,133.0
6,1.9459101490553132,1,0,1,6,6,6,2,1980,7.591357046698551,0,6,10,2.3978952727983707,1,1,0,3,0,2,2,528.0
4,1.6094379124341003,1,1,4,4,4,3,3,800,6.68586094706836,2,2,18,2.9444389791664403,1,0,3,4,8,2,1,344.0
6,1.9459101490553132,1,0,1,6,6,6,3,1620,7.390798521735676,0,3,5,1.791759469228055,0,2,0,5,5,1,2,351.0
6,1.9459101490553132,1,0,1,6,6,7,3,2100,7.650168700845001,0,0,25,3.258096538021482,0,1,0,4,5,1,2,875.0
5,1.791759469228055,0,2,0,5,5,4,3,280,5.638354669333745,1,0,30,3.4339872044851463,1,0,0,2,0,5,2,140.0
6,1.9459101490553132,1,0,1,6,6,5,2,1020,6.928537818164665,0,5,30,3.4339872044851463,1,0,0,2,0,6,3,476.0
4,1.6094379124341003,1,1,4,4,4,5,2,440,6.089044875446846,2,6,30,3.4339872044851463,1,0,0,2,0,2,1,242.0
4,1.6094379124341003,1,1,4,4,4,5,1,160,5.081404364984463,1,6,18,2.9444389791664403,1,0,3,4,8,2,1,68.8
4,1.6094379124341003,1,1,4,4,4,4,0,400,5.993961427306569,1,1,25,3.258096538021482,0,1,0,4,5,1,2,200.0
4,1.6094379124341003,1,1,4,4,4,0,1,420,6.042632833682381,0,0,22,3.1354942159291497,1,1,2,1,2,2,1,197.4
5,1.791759469228055,0,2,0,5,5,4,0,660,6.493753839851686,0,2,22,3.1354942159291497,1,1,2,1,2,1,2,277.2
4,1.6094379124341003,1,1,4,4,4,1,3,180,5.198497031265826,0,5,25,3.258096538021482,0,1,0,4,5,1,1,90.0
6,1.9459101490553132,1,0,1,6,6,3,0,1440,7.273092595999522,0,5,20,3.044522437723423,1,2,0,6,0,2,2,528.0
3,1.3862943611198906,0,0,3,3,3,1,2,2280,7.732369222284388,0,5,30,3.4339872044851463,1,0,0,2,0,3,3,1444.0
3,1.3862943611198906,0,0,3,3,3,1,3,2400,7.783640596221253,0,6,10,2.3978952727983707,1,1,0,3,0,1,2,1040.0
4,1.6094379124341003,1,1,4,4,4,4,2,340,5.831882477283517,1,4,18,2.9444389791664403,1,0,3,4,8,2,1,146.2
