slot_person1,slot_person2,slot_country,slot_years_ago,slot_years_ago_abs_log1p,slot_years_ago_is_even,slot_years_ago_mod3,slot_years_ago_mod5,slot_years_ago_mod7,slot_years_ago_mod10,slot_person2_current_age,slot_person2_current_age_abs_log1p,slot_person2_current_age_is_even,slot_person2_current_age_mod3,slot_person2_current_age_mod5,slot_person2_current_age_mod7,slot_person2_current_age_mod10,slot_ratio_num,slot_ratio_num_abs_log1p,slot_ratio_num_is_even,slot_ratio_num_mod3,slot_ratio_num_mod5,slot_ratio_num_mod7,slot_ratio_num_mod10,slot_ratio_den,slot_ratio_den_abs_log1p,slot_ratio_den_is_even,slot_ratio_den_mod3,slot_ratio_den_mod5,slot_ratio_den_mod7,slot_ratio_den_mod10,slot_pop_scale_k,slot_pop_scale_k_abs_log1p,slot_pop_scale_k_mod3,slot_pop_scale_k_mod7,slot_current_to_past_factor,slot_current_to_past_factor_abs_log1p,slot_current_to_past_factor_is_even,slot_current_to_past_factor_mod3,slot_current_to_past_factor_mod5,slot_current_to_past_factor_mod7,slot_current_to_past_factor_mod10,n_multiple_pairs,y
6,7,0,11,2.4849066497880004,0,2,1,4,1,86,4.465908118654584,1,2,1,2,6,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,3000,8.006700845440367,0,4,5,1.791759469228055,0,2,0,5,5,8,225000.0
6,8,5,9,2.302585092994046,0,0,4,2,9,93,4.543294782270004,0,0,3,2,3,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4300,8.366602832783736,1,2,3,1.3862943611198906,0,0,3,3,3,10,361200.0
7,6,3,3,1.3862943611198906,0,0,3,3,3,168,5.1298987149230735,1,0,3,0,8,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4200,8.343077871169383,0,0,5,1.791759469228055,0,2,0,5,5,11,693000.0
6,4,1,10,2.3978952727983707,1,1,0,3,0,166,5.117993812416755,1,1,1,5,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3000,8.006700845440367,0,4,5,1.791759469228055,0,2,0,5,5,9,585000.0
8,9,2,10,2.3978952727983707,1,1,0,3,0,58,4.07753744390572,1,1,3,2,8,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,6700,8.81001204797317,1,1,4,1.6094379124341003,1,1,4,4,4,11,643200.0
9,10,6,6,1.9459101490553132,1,0,1,6,6,126,4.844187086458591,1,0,1,0,6,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2200,7.696667081526462,1,2,4,1.6094379124341003,1,1,4,4,4,5,633600.0
2,2,1,9,2.302585092994046,0,0,4,2,9,114,4.74493212836325,1,0,4,2,4,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,7800,8.962007209588313,0,2,3,1.3862943611198906,0,0,3,3,3,8,1474200.0
10,11,7,8,2.1972245773362196,1,2,3,1,8,128,4.859812404361672,1,2,3,2,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4600,8.434028950155469,1,1,6,1.9459101490553132,1,0,1,6,6,7,1324800.0
11,2,4,12,2.5649493574615367,1,0,2,5,2,156,5.056245805348308,1,0,1,2,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,7500,8.922791623969637,0,3,4,1.6094379124341003,1,1,4,4,4,14,1080000.0
11,6,5,12,2.5649493574615367,1,0,2,5,2,45,3.828641396489095,0,0,0,3,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4100,8.31898612539206,2,5,2,1.0986122886681098,1,2,2,2,2,9,90200.0
9,12,6,7,2.0794415416798357,0,1,2,0,7,77,4.356708826689592,0,2,2,0,7,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,6400,8.764209507142004,1,2,6,1.9459101490553132,1,0,1,6,6,8,1344000.0
12,12,6,7,2.0794415416798357,0,1,2,0,7,100,4.61512051684126,1,1,0,2,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4400,8.38958706681109,2,4,5,1.791759469228055,0,2,0,5,5,8,682000.0
10,0,1,6,1.9459101490553132,1,0,1,6,6,166,5.117993812416755,1,1,1,5,6,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,7800,8.962007209588313,0,2,4,1.6094379124341003,1,1,4,4,4,8,998400.0
1,13,2,10,2.3978952727983707,1,1,0,3,0,91,4.5217885770490405,0,1,1,0,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5100,8.537191877922927,0,4,2,1.0986122886681098,1,2,2,2,2,7,550800.0
10,11,7,5,1.791759469228055,0,2,0,5,5,57,4.060443010546419,0,0,2,1,7,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,5000,8.517393171418904,2,2,4,1.6094379124341003,1,1,4,4,4,9,260000.0
13,11,8,6,1.9459101490553132,1,0,1,6,6,171,5.147494476813453,0,0,1,3,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,3800,8.24301946898925,2,6,2,1.0986122886681098,1,2,2,2,2,5,752400.0
6,14,6,6,1.9459101490553132,1,0,1,6,6,36,3.6109179126442243,1,0,1,1,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2600,7.8636512654486515,2,3,4,1.6094379124341003,1,1,4,4,4,10,104000.0
14,2,0,8,2.1972245773362196,1,2,3,1,8,98,4.59511985013459,1,2,3,0,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4600,8.434028950155469,1,1,3,1.3862943611198906,0,0,3,3,3,5,496800.0
2,11,3,4,1.6094379124341003,1,1,4,4,4,55,4.02535169073515,0,1,0,6,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2800,7.937731775260109,1,0,5,1.791759469228055,0,2,0,5,5,8,238000.0
4,3,1,3,1.3862943611198906,0,0,3,3,3,107,4.68213122712422,0,2,2,2,7,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,4000,8.294299608857235,1,3,4,1.6094379124341003,1,1,4,4,4,8,416000.0
12,0,6,5,1.791759469228055,0,2,0,5,5,68,4.23410650459726,1,2,3,5,8,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,4300,8.366602832783736,1,2,4,1.6094379124341003,1,1,4,4,4,6,722400.0
15,1,8,8,2.1972245773362196,1,2,3,1,8,58,4.07753744390572,1,1,3,2,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,3900,8.268988209506656,0,1,4,1.6094379124341003,1,1,4,4,4,7,312000.0
2,8,8,9,2.302585092994046,0,0,4,2,9,104,4.653960350157523,1,2,4,6,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,7700,8.94910546953925,2,0,3,1.3862943611198906,0,0,3,3,3,7,438900.0
0,15,3,9,2.302585092994046,0,0,4,2,9,164,5.10594547390058,1,2,4,3,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,3700,8.216358332386156,1,4,3,1.3862943611198906,0,0,3,3,3,7,344100.0
7,2,4,11,2.4849066497880004,0,2,1,4,1,151,5.0238805208462765,0,1,1,4,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3800,8.24301946898925,2,6,4,1.6094379124341003,1,1,4,4,4,8,532000.0
1,16,0,8,2.1972245773362196,1,2,3,1,8,128,4.859812404361672,1,2,3,2,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,7500,8.922791623969637,0,3,4,1.6094379124341003,1,1,4,4,4,9,2700000.0
2,4,1,8,2.1972245773362196,1,2,3,1,8,58,4.07753744390572,1,1,3,2,8,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,5500,8.612685172875459,1,5,4,1.6094379124341003,1,1,4,4,4,11,550000.0
7,2,6,3,1.3862943611198906,0,0,3,3,3,63,4.1588830833596715,0,0,3,0,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,7600,8.936035096566041,1,5,5,1.791759469228055,0,2,0,5,5,8,1140000.0
14,9,1,6,1.9459101490553132,1,0,1,6,6,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,5500,8.612685172875459,1,5,5,1.791759469228055,0,2,0,5,5,9,330000.0
16,11,8,5,1.791759469228055,0,2,0,5,5,110,4.709530201312334,1,2,0,5,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,2700,7.901377353792616,0,5,3,1.3862943611198906,0,0,3,3,3,11,170100.0
16,15,7,3,1.3862943611198906,0,0,3,3,3,83,4.430816798843313,0,2,3,6,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,6900,8.839421607620602,0,5,3,1.3862943611198906,0,0,3,3,3,9,414000.0
8,2,6,12,2.5649493574615367,1,0,2,5,2,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2000,7.601402334583733,2,5,2,1.0986122886681098,1,2,2,2,2,12,60000.0
5,10,1,10,2.3978952727983707,1,1,0,3,0,146,4.990432586778736,1,2,1,6,6,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,6700,8.81001204797317,1,1,5,1.791759469228055,0,2,0,5,5,4,3417000.0
11,10,9,7,2.0794415416798357,0,1,2,0,7,37,3.6375861597263857,0,1,2,2,7,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,7400,8.909370405197466,2,1,4,1.6094379124341003,1,1,4,4,4,7,296000.0
15,6,3,10,2.3978952727983707,1,1,0,3,0,70,4.2626798770413155,1,1,0,0,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2900,7.972810784121404,2,2,6,1.9459101490553132,1,0,1,6,6,4,783000.0
5,7,9,3,1.3862943611198906,0,0,3,3,3,99,4.605170185988092,0,0,4,1,9,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,4700,8.45553053102413,2,3,6,1.9459101490553132,1,0,1,6,6,7,1804800.0
16,8,6,10,2.3978952727983707,1,1,0,3,0,205,5.327876168789581,0,1,0,2,5,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5900,8.682877107057168,2,6,2,1.0986122886681098,1,2,2,2,2,9,920400.0
12,2,4,5,1.791759469228055,0,2,0,5,5,59,4.0943445622221,0,2,4,3,9,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,5200,8.556606193773073,1,6,2,1.0986122886681098,1,2,2,2,2,7,187200.0
12,9,2,6,1.9459101490553132,1,0,1,6,6,134,4.90527477843843,1,2,4,1,4,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,4300,8.366602832783736,1,2,6,1.9459101490553132,1,0,1,6,6,7,825600.0
7,10,5,6,1.9459101490553132,1,0,1,6,6,142,4.962844630259907,1,1,2,2,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,7100,8.867990898182093,2,2,6,1.9459101490553132,1,0,1,6,6,8,1448400.0
7,9,7,8,2.1972245773362196,1,2,3,1,8,98,4.59511985013459,1,2,3,0,8,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,7500,8.922791623969637,0,3,6,1.9459101490553132,1,0,1,6,6,4,2430000.0
8,15,4,5,1.791759469228055,0,2,0,5,5,86,4.465908118654584,1,2,1,2,6,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,6300,8.748463629942055,0,0,3,1.3862943611198906,0,0,3,3,3,6,1020600.0
8,8,1,3,1.3862943611198906,0,0,3,3,3,108,4.6913478822291435,1,0,3,3,8,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,3600,8.188966863648876,0,2,4,1.6094379124341003,1,1,4,4,4,12,504000.0
17,13,1,6,1.9459101490553132,1,0,1,6,6,136,4.919980925828125,1,1,1,3,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5100,8.537191877922927,0,4,4,1.6094379124341003,1,1,4,4,4,8,1060800.0
5,2,7,10,2.3978952727983707,1,1,0,3,0,145,4.983606621708336,0,1,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4100,8.31898612539206,2,5,3,1.3862943611198906,0,0,3,3,3,6,664200.0
16,11,5,8,2.1972245773362196,1,2,3,1,8,140,4.948759890378168,1,2,0,0,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3800,8.24301946898925,2,6,6,1.9459101490553132,1,0,1,6,6,9,752400.0
2,8,7,8,2.1972245773362196,1,2,3,1,8,178,5.187385805840755,1,1,3,3,8,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,4200,8.343077871169383,0,0,6,1.9459101490553132,1,0,1,6,6,5,2570400.0
6,8,5,8,2.1972245773362196,1,2,3,1,8,104,4.653960350157523,1,2,4,6,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2700,7.901377353792616,0,5,2,1.0986122886681098,1,2,2,2,2,9,388800.0
9,10,7,10,2.3978952727983707,1,1,0,3,0,82,4.418840607796598,1,1,2,5,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,5100,8.537191877922927,0,4,2,1.0986122886681098,1,2,2,2,2,11,183600.0
0,1,3,11,2.4849066497880004,0,2,1,4,1,111,4.718498871295094,0,0,1,6,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,7400,8.909370405197466,2,1,4,1.6094379124341003,1,1,4,4,4,4,2220000.0
5,12,9,11,2.4849066497880004,0,2,1,4,1,107,4.68213122712422,0,2,2,2,7,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3500,8.160803920954665,2,0,3,1.3862943611198906,0,0,3,3,3,6,252000.0
3,2,0,9,2.302585092994046,0,0,4,2,9,33,3.5263605246161616,0,0,3,5,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,5800,8.665785595466064,1,4,2,1.0986122886681098,1,2,2,2,2,8,139200.0
12,11,4,3,1.3862943611198906,0,0,3,3,3,54,4.007333185232471,1,0,4,5,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,6000,8.699681400989514,0,1,6,1.9459101490553132,1,0,1,6,6,12,1224000.0
8,8,6,4,1.6094379124341003,1,1,4,4,4,156,5.056245805348308,1,0,1,2,6,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,5600,8.630700432209832,2,0,3,1.3862943611198906,0,0,3,3,3,11,638400.0
1,11,6,9,2.302585092994046,0,0,4,2,9,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5200,8.556606193773073,1,6,2,1.0986122886681098,1,2,2,2,2,7,353600.0
9,16,4,10,2.3978952727983707,1,1,0,3,0,210,5.351858133476067,1,0,0,0,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,7800,8.962007209588313,0,2,2,1.0986122886681098,1,2,2,2,2,13,624000.0
0,2,1,6,1.9459101490553132,1,0,1,6,6,70,4.2626798770413155,1,1,0,0,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3900,8.268988209506656,0,1,5,1.791759469228055,0,2,0,5,5,9,312000.0
5,12,0,10,2.3978952727983707,1,1,0,3,0,170,5.14166355650266,1,2,0,2,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,7000,8.853808274977197,1,0,4,1.6094379124341003,1,1,4,4,4,10,1120000.0
15,17,1,11,2.4849066497880004,0,2,1,4,1,63,4.1588830833596715,0,0,3,0,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,5800,8.665785595466064,1,4,6,1.9459101490553132,1,0,1,6,6,7,904800.0
9,2,3,10,2.3978952727983707,1,1,0,3,0,43,3.784189633918261,0,1,3,1,3,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5100,8.537191877922927,0,4,3,1.3862943611198906,0,0,3,3,3,6,336600.0
10,17,0,10,2.3978952727983707,1,1,0,3,0,130,4.875197323201151,1,1,0,4,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,3300,8.101980731853192,0,3,3,1.3862943611198906,0,0,3,3,3,11,237600.0
7,16,2,7,2.0794415416798357,0,1,2,0,7,159,5.075173815233827,0,0,4,5,9,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5700,8.648396877031582,0,2,5,1.791759469228055,0,2,0,5,5,4,3249000.0
4,14,2,10,2.3978952727983707,1,1,0,3,0,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,4400,8.38958706681109,2,4,3,1.3862943611198906,0,0,3,3,3,5,396000.0
17,9,1,4,1.6094379124341003,1,1,4,4,4,82,4.418840607796598,1,1,2,5,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4300,8.366602832783736,1,2,5,1.791759469228055,0,2,0,5,5,7,559000.0
2,14,5,8,2.1972245773362196,1,2,3,1,8,203,5.318119993844216,0,2,3,0,3,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,5500,8.612685172875459,1,5,6,1.9459101490553132,1,0,1,6,6,6,1287000.0
11,12,4,9,2.302585092994046,0,0,4,2,9,199,5.298317366548036,0,1,4,3,9,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,6700,8.81001204797317,1,1,5,1.791759469228055,0,2,0,5,5,4,2546000.0
12,8,2,9,2.302585092994046,0,0,4,2,9,29,3.4011973816621555,0,2,4,1,9,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,4000,8.294299608857235,1,3,4,1.6094379124341003,1,1,4,4,4,8,160000.0
3,1,5,5,1.791759469228055,0,2,0,5,5,71,4.276666119016055,0,2,1,1,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4100,8.31898612539206,2,5,6,1.9459101490553132,1,0,1,6,6,7,541200.0
2,1,1,12,2.5649493574615367,1,0,2,5,2,152,5.030437921392435,1,2,2,5,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,7300,8.895766604056085,1,6,4,1.6094379124341003,1,1,4,4,4,8,1635200.0
13,14,3,4,1.6094379124341003,1,1,4,4,4,60,4.110873864173311,1,0,0,4,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3400,8.131824785007195,1,5,6,1.9459101490553132,1,0,1,6,6,11,285600.0
10,12,8,11,2.4849066497880004,0,2,1,4,1,146,4.990432586778736,1,2,1,6,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5600,8.630700432209832,2,0,6,1.9459101490553132,1,0,1,6,6,4,1814400.0
15,5,2,10,2.3978952727983707,1,1,0,3,0,135,4.912654885736052,0,0,0,2,5,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4300,8.366602832783736,1,2,2,1.0986122886681098,1,2,2,2,2,11,215000.0
17,0,8,9,2.302585092994046,0,0,4,2,9,139,4.941642422609304,0,1,4,6,9,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,2400,7.783640596221253,0,6,4,1.6094379124341003,1,1,4,4,4,7,249600.0
11,0,5,6,1.9459101490553132,1,0,1,6,6,122,4.812184355372417,1,2,2,3,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3200,8.071218539969863,2,1,5,1.791759469228055,0,2,0,5,5,7,464000.0
17,0,1,9,2.302585092994046,0,0,4,2,9,65,4.189654742026425,0,2,0,2,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3900,8.268988209506656,0,1,5,1.791759469228055,0,2,0,5,5,9,546000.0
14,7,7,5,1.791759469228055,0,2,0,5,5,68,4.23410650459726,1,2,3,5,8,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,3800,8.24301946898925,2,6,6,1.9459101490553132,1,0,1,6,6,7,478800.0
15,3,8,3,1.3862943611198906,0,0,3,3,3,95,4.564348191467836,0,2,0,4,5,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,7000,8.853808274977197,1,0,4,1.6094379124341003,1,1,4,4,4,8,644000.0
11,9,6,10,2.3978952727983707,1,1,0,3,0,54,4.007333185232471,1,0,4,5,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2000,7.601402334583733,2,5,2,1.0986122886681098,1,2,2,2,2,7,132000.0
8,9,3,11,2.4849066497880004,0,2,1,4,1,76,4.343805421853684,1,1,1,6,6,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,6000,8.699681400989514,0,1,4,1.6094379124341003,1,1,4,4,4,4,936000.0
4,5,5,3,1.3862943611198906,0,0,3,3,3,178,5.187385805840755,1,1,3,3,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,2500,7.824445930877619,1,1,6,1.9459101490553132,1,0,1,6,6,5,1050000.0
6,1,9,7,2.0794415416798357,0,1,2,0,7,94,4.553876891600541,1,1,4,3,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3900,8.268988209506656,0,1,6,1.9459101490553132,1,0,1,6,6,6,1357200.0
6,3,0,9,2.302585092994046,0,0,4,2,9,179,5.19295685089021,0,2,4,4,9,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5200,8.556606193773073,1,6,4,1.6094379124341003,1,1,4,4,4,4,1414400.0
13,7,5,6,1.9459101490553132,1,0,1,6,6,68,4.23410650459726,1,2,3,5,8,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3100,8.03947991910045,1,6,3,1.3862943611198906,0,0,3,3,3,9,288300.0
4,16,3,12,2.5649493574615367,1,0,2,5,2,120,4.795790545596741,1,0,0,1,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,7600,8.936035096566041,1,5,4,1.6094379124341003,1,1,4,4,4,11,1094400.0
1,0,0,6,1.9459101490553132,1,0,1,6,6,78,4.3694478524670215,1,0,3,1,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3500,8.160803920954665,2,0,5,1.791759469228055,0,2,0,5,5,5,945000.0
1,17,1,10,2.3978952727983707,1,1,0,3,0,110,4.709530201312334,1,2,0,5,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4300,8.366602832783736,1,2,4,1.6094379124341003,1,1,4,4,4,11,344000.0
8,13,6,3,1.3862943611198906,0,0,3,3,3,58,4.07753744390572,1,1,3,2,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5800,8.665785595466064,1,4,5,1.791759469228055,0,2,0,5,5,6,638000.0
