slot_first_item,slot_second_item,slot_third_item,slot_fourth_item,slot_place,slot_base_weight,slot_base_weight_abs_log1p,slot_base_weight_is_even,slot_base_weight_mod3,slot_base_weight_mod5,slot_base_weight_mod7,slot_base_weight_mod10,slot_m1,slot_m1_abs_log1p,slot_m1_is_even,slot_m1_mod3,slot_m1_mod5,slot_m1_mod7,slot_m1_mod10,slot_frac_num,slot_frac_num_abs_log1p,slot_frac_num_is_even,slot_frac_num_mod3,slot_frac_num_mod5,slot_frac_num_mod7,slot_frac_num_mod10,slot_frac_den,slot_frac_den_abs_log1p,slot_frac_den_is_even,slot_frac_den_mod3,slot_frac_den_mod5,slot_frac_den_mod7,slot_frac_den_mod10,slot_m3,slot_m3_abs_log1p,slot_m3_is_even,slot_m3_mod3,slot_m3_mod5,slot_m3_mod7,slot_m3_mod10,slot_unit,gcd_all,n_multiple_pairs,y
6,2,4,0,1,46,3.8501476017100584,1,1,1,4,6,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,0,1,8,1472.0
1,1,2,1,6,55,4.02535169073515,0,1,0,6,5,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,27,3.332204510175204,0,0,2,6,7,0,1,4,10935.0
3,4,2,5,1,135,4.912654885736052,0,0,0,2,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,35,3.58351893845611,0,2,0,0,5,1,1,3,6300.0
6,6,4,1,4,81,4.406719247264253,0,0,1,4,1,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,0,1,2,2592.0
4,5,4,6,4,54,4.007333185232471,1,0,4,5,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,23,3.1780538303479458,0,2,3,2,3,2,1,5,1656.0
4,0,5,5,5,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,57,4.060443010546419,0,0,2,1,7,0,1,6,1368.0
3,2,5,0,0,15,2.772588722239781,0,0,0,1,5,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,3,1,6,270.0
6,6,1,6,2,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,11,2.4849066497880004,0,2,1,4,1,12,2.5649493574615367,1,0,2,5,2,56,4.04305126783455,1,2,1,0,6,0,1,3,1848.0
2,4,2,2,2,275,5.62040086571715,0,2,0,2,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,0,1,6,6,0,1,2,3600.0
6,6,4,0,4,156,5.056245805348308,1,0,1,2,6,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,21,3.091042453358316,0,0,1,0,1,3,1,5,2730.0
4,5,0,3,6,78,4.3694478524670215,1,0,3,1,8,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,56,4.04305126783455,1,2,1,0,6,0,1,5,11648.0
2,4,0,4,6,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,0,1,1,6,1,1,7,360.0
6,3,6,1,6,144,4.976733742420574,1,0,4,4,4,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,47,3.871201010907891,0,2,2,5,7,2,1,3,33840.0
0,2,0,3,5,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,39,3.6888794541139363,0,0,4,4,9,3,1,7,468.0
4,2,6,1,4,140,4.948759890378168,1,2,0,0,0,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,48,3.8918202981106265,1,0,3,6,8,2,1,3,46080.0
1,1,4,5,5,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,27,3.332204510175204,0,0,2,6,7,2,1,2,324.0
0,1,5,0,1,243,5.497168225293202,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,18,2.9444389791664403,1,0,3,4,8,2,1,5,11664.0
2,6,2,0,5,288,5.666426688112432,1,0,3,1,8,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,12,2.5649493574615367,1,0,2,5,2,43,3.784189633918261,0,1,3,1,3,3,1,1,56760.0
1,4,1,6,3,261,5.568344503761097,0,0,1,2,1,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,2,1,1,4872.0
5,0,3,4,2,225,5.420534999272286,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,56,4.04305126783455,1,2,1,0,6,2,1,4,44800.0
1,6,1,0,6,72,4.290459441148391,1,0,2,2,2,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,14,2.70805020110221,1,2,4,0,4,0,1,7,3024.0
0,4,2,6,1,20,3.044522437723423,1,2,0,6,0,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,3,1,2,504.0
1,6,0,6,0,187,5.236441962829949,0,1,2,5,7,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,30,3.4339872044851463,1,0,0,2,0,0,1,2,21420.0
1,0,6,5,5,207,5.337538079701318,0,0,2,4,7,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,19,2.995732273553991,0,1,4,5,9,1,1,3,19665.0
5,0,0,4,4,270,5.602118820879701,1,0,0,4,0,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,11,2.4849066497880004,0,2,1,4,1,1,1,2,7128.0
2,2,5,1,6,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,29,3.4011973816621555,0,2,4,1,9,3,1,4,696.0
5,2,0,5,0,253,5.537334267018537,0,1,3,1,3,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,54,4.007333185232471,1,0,4,5,4,2,1,2,59616.0
5,5,0,0,4,34,3.5553480614894135,1,1,4,6,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,57,4.060443010546419,0,0,2,1,7,2,1,6,3876.0
4,6,4,3,5,40,3.713572066704308,1,1,0,5,0,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,0,1,0,2,1,5,12800.0
0,1,6,5,4,80,4.394449154672439,1,2,0,3,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,3,1,4,1080.0
3,6,5,5,5,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,3,1,3,504.0
4,0,3,1,5,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,56,4.04305126783455,1,2,1,0,6,1,2,2,2240.0
4,2,1,2,3,80,4.394449154672439,1,2,0,3,0,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,57,4.060443010546419,0,0,2,1,7,0,1,3,5472.0
2,5,6,1,1,162,5.093750200806762,1,0,2,1,2,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,23,3.1780538303479458,0,2,3,2,3,1,1,5,3105.0
4,5,5,1,5,70,4.2626798770413155,1,1,0,0,0,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,25,3.258096538021482,0,1,0,4,5,3,1,4,2100.0
3,1,4,5,2,165,5.111987788356544,0,0,0,4,5,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,7,2.0794415416798357,0,1,2,0,7,0,1,2,4410.0
6,5,0,0,0,88,4.48863636973214,1,1,3,4,8,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,11,2.4849066497880004,0,2,1,4,1,57,4.060443010546419,0,0,2,1,7,1,1,5,4104.0
0,5,4,5,3,42,3.7612001156935624,1,0,2,0,2,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,0,1,1,6,1,1,6,2520.0
0,2,2,1,2,90,4.51085950651685,1,0,0,6,0,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,0,4,5,3,1,2,12000.0
3,1,1,6,5,32,3.4965075614664802,1,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,19,2.995732273553991,0,1,4,5,9,3,1,7,2432.0
6,1,3,0,6,105,4.663439094112067,0,0,0,0,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,2,1,2,1512.0
3,5,6,2,6,171,5.147494476813453,0,0,1,3,1,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,25,3.258096538021482,0,1,0,4,5,1,1,3,8550.0
4,5,5,0,5,231,5.44673737166631,0,0,1,0,1,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,36,3.6109179126442243,1,0,1,1,6,2,1,3,13608.0
2,0,0,3,4,22,3.1354942159291497,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,29,3.4011973816621555,0,2,4,1,9,0,1,1,2552.0
2,2,2,3,4,264,5.579729825986222,1,0,4,5,4,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,42,3.7612001156935624,1,0,2,0,2,0,1,3,10080.0
5,1,2,2,0,14,2.70805020110221,1,2,4,0,4,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,3,1,6,441.0
3,1,3,0,1,140,4.948759890378168,1,2,0,0,0,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,0,1,3,1512.0
3,3,1,1,5,120,4.795790545596741,1,0,0,1,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,52,3.970291913552122,1,1,2,3,2,1,1,5,3744.0
6,5,6,0,5,105,4.663439094112067,0,0,0,0,5,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,44,3.8066624897703196,1,2,4,2,4,1,1,2,19800.0
5,1,0,4,5,48,3.8918202981106265,1,0,3,6,8,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,22,3.1354942159291497,1,1,2,1,2,0,1,2,6336.0
0,3,3,4,3,72,4.290459441148391,1,0,2,2,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,48,3.8918202981106265,1,0,3,6,8,3,1,3,3840.0
3,5,3,1,3,243,5.497168225293202,0,0,3,5,3,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,2,1,6,3645.0
6,5,2,1,4,72,4.290459441148391,1,0,2,2,2,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,49,3.912023005428146,0,1,4,0,9,3,1,4,23814.0
3,6,3,0,5,15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,47,3.871201010907891,0,2,2,5,7,3,1,0,3290.0
4,3,2,6,2,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,28,3.367295829986474,1,1,3,0,8,2,2,6,840.0
3,1,5,2,2,63,4.1588830833596715,0,0,3,0,3,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,0,1,3,1260.0
1,1,1,2,2,35,3.58351893845611,0,2,0,0,5,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,26,3.295836866004329,1,2,1,5,6,1,1,5,1092.0
5,5,4,2,3,133,4.897839799950911,0,1,3,0,3,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,0,1,3,3192.0
1,6,3,3,0,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,53,3.9889840465642745,0,2,3,4,3,1,1,4,4240.0
6,5,2,5,3,84,4.442651256490317,1,0,4,0,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,26,3.295836866004329,1,2,1,5,6,0,1,4,1820.0
4,4,5,2,1,63,4.1588830833596715,0,0,3,0,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,42,3.7612001156935624,1,0,2,0,2,2,1,4,5292.0
6,0,0,4,2,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,18,2.9444389791664403,1,0,3,4,8,1,1,2,1728.0
6,5,5,5,6,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,35,3.58351893845611,0,2,0,0,5,1,1,4,630.0
5,4,6,1,3,156,5.056245805348308,1,0,1,2,6,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,55,4.02535169073515,0,1,0,6,5,0,1,5,11440.0
1,1,1,0,1,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,0,1,4,160.0
5,5,3,0,1,78,4.3694478524670215,1,0,3,1,8,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,44,3.8066624897703196,1,2,4,2,4,2,1,3,11440.0
5,0,5,4,2,20,3.044522437723423,1,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,2,1,3,1920.0
2,4,3,1,5,75,4.330733340286331,0,0,0,5,5,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,9,2.302585092994046,0,0,4,2,9,3,1,3,1215.0
5,2,5,5,3,126,4.844187086458591,1,0,1,0,6,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,2,1,3,4725.0
0,1,1,1,0,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,58,4.07753744390572,1,1,3,2,8,0,2,6,2088.0
4,2,5,6,0,96,4.574710978503383,1,0,1,5,6,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,0,2,5,2,15,2.772588722239781,0,0,0,1,5,2,1,7,720.0
6,1,4,3,5,58,4.07753744390572,1,1,3,2,8,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,43,3.784189633918261,0,1,3,1,3,2,1,5,8729.0
1,1,4,5,2,231,5.44673737166631,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,19,2.995732273553991,0,1,4,5,9,1,1,2,11172.0
6,0,6,5,3,50,3.9318256327243257,1,2,0,1,0,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,26,3.295836866004329,1,2,1,5,6,0,1,1,5200.0
0,3,5,2,0,20,3.044522437723423,1,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,51,3.9512437185814275,0,0,1,2,1,2,1,5,4080.0
1,0,2,1,1,46,3.8501476017100584,1,1,1,4,6,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,0,4,5,2,1,2,5175.0
4,0,2,4,3,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,37,3.6375861597263857,0,1,2,2,7,1,1,7,1776.0
3,3,3,0,0,216,5.37989735354046,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,36,3.6109179126442243,1,0,1,1,6,3,1,6,38880.0
3,4,2,6,6,77,4.356708826689592,0,2,2,0,7,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,49,3.912023005428146,0,1,4,0,9,3,1,1,8232.0
5,2,4,1,1,91,4.5217885770490405,0,1,1,0,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,34,3.5553480614894135,1,1,4,6,4,2,1,2,4420.0
0,4,5,4,3,49,3.912023005428146,0,1,4,0,9,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,28,3.367295829986474,1,1,3,0,8,3,1,5,784.0
4,5,0,1,1,30,3.4339872044851463,1,0,0,2,0,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,23,3.1780538303479458,0,2,3,2,3,2,1,5,1035.0
4,4,1,6,5,207,5.337538079701318,0,0,2,4,7,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,47,3.871201010907891,0,2,2,5,7,2,1,1,30268.0
2,1,3,3,0,20,3.044522437723423,1,2,0,6,0,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,53,3.9889840465642745,0,2,3,4,3,0,1,3,4770.0
4,0,5,4,6,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,36,3.6109179126442243,1,0,1,1,6,2,1,5,2880.0
2,2,3,6,2,54,4.007333185232471,1,0,4,5,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,23,3.1780538303479458,0,2,3,2,3,1,1,2,5175.0
6,1,2,2,5,52,3.970291913552122,1,1,2,3,2,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,39,3.6888794541139363,0,0,4,4,9,2,1,6,6084.0
0,3,6,0,1,46,3.8501476017100584,1,1,1,4,6,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,27,3.332204510175204,0,0,2,6,7,3,1,1,4968.0
1,2,2,0,6,154,5.043425116919247,1,1,4,0,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,25,3.258096538021482,0,1,0,4,5,1,1,3,5500.0
2,5,5,0,0,32,3.4965075614664802,1,2,2,4,2,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,38,3.6635616461296463,1,2,3,3,8,0,1,5,2128.0
2,3,6,0,0,38,3.6635616461296463,1,2,3,3,8,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,41,3.7376696182833684,0,2,1,6,1,2,1,2,3895.0
5,6,5,6,6,44,3.8066624897703196,1,2,4,2,4,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,40,3.713572066704308,1,1,0,5,0,2,1,4,1920.0
5,3,2,2,1,243,5.497168225293202,0,0,3,5,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,52,3.970291913552122,1,1,2,3,2,1,1,4,11232.0
1,2,4,4,2,49,3.912023005428146,0,1,4,0,9,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,28,3.367295829986474,1,1,3,0,8,3,1,5,6860.0
