slot_person_a,slot_person_b,slot_person_c,slot_item,slot_product2,slot_product3_singular,slot_product3_plural,slot_a,slot_a_abs_log1p,slot_a_is_even,slot_a_mod3,slot_a_mod5,slot_a_mod7,slot_a_mod10,slot_m,slot_m_abs_log1p,slot_m_is_even,slot_m_mod3,slot_m_mod5,slot_m_mod7,slot_m_mod10,slot_p,slot_p_abs_log1p,slot_p_is_even,slot_p_mod3,slot_p_mod5,slot_p_mod7,slot_p_mod10,slot_r,slot_r_abs_log1p,slot_r_is_even,slot_r_mod3,slot_r_mod5,slot_r_mod7,slot_r_mod10,gcd_all,n_multiple_pairs,y
5,5,1,0,0,2,2,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,1,1,46.0
6,9,3,2,1,2,2,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,3,96.0
4,6,3,1,0,0,0,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,0,1,5,1,1,114.0
0,1,5,2,2,4,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,19,2.995732273553991,0,1,4,5,9,1,1,182.0
1,5,4,0,2,3,3,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,17,2.8903717578961645,0,2,2,3,7,1,3,94.0
1,2,8,4,0,3,3,14,2.70805020110221,1,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,0,1,5,1,1,203.0
6,1,1,0,2,0,0,16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,1,1,176.0
4,4,2,1,1,4,4,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,15,2.772588722239781,0,0,0,1,5,1,5,63.0
2,5,1,4,1,3,3,17,2.8903717578961645,0,2,2,3,7,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,19,2.995732273553991,0,1,4,5,9,1,1,176.0
7,8,6,4,2,0,0,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,1,1,96.0
7,8,2,4,0,0,0,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,1,114.0
9,5,9,1,0,2,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,1,0,98.0
4,7,5,1,1,4,4,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,16,2.833213344056216,1,1,1,2,6,1,3,128.0
3,8,4,0,2,2,2,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,16,2.833213344056216,1,1,1,2,6,1,5,116.0
4,8,4,1,2,1,1,12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,0,6,0,2,1,244.0
9,7,8,3,0,0,0,15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,1,1,215.0
1,4,3,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,14,2.70805020110221,1,2,4,0,4,1,4,26.0
4,8,8,1,1,1,1,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,1,0,202.0
6,3,7,2,2,3,3,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,0,138.0
1,8,9,0,1,3,3,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,14,2.70805020110221,1,2,4,0,4,1,1,208.0
2,1,7,4,1,0,0,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,1,1,136.0
3,5,4,2,0,3,3,17,2.8903717578961645,0,2,2,3,7,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,0,1,5,1,0,166.0
3,5,9,2,2,0,0,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,19,2.995732273553991,0,1,4,5,9,1,2,93.0
9,5,1,2,1,1,1,13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,0,126.0
1,4,0,4,0,0,0,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,18,2.9444389791664403,1,0,3,4,8,1,1,126.0
5,8,6,1,1,3,3,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,1,2,125.0
3,1,5,1,0,1,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,20,3.044522437723423,1,2,0,6,0,1,1,181.0
4,1,7,4,2,0,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,3,27.0
6,0,6,3,1,3,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,19,2.995732273553991,0,1,4,5,9,1,3,43.0
2,5,1,2,1,0,0,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,2,4,0,4,2,4,108.0
6,4,8,3,2,0,0,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,3,93.0
4,1,6,1,2,1,1,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,1,124.0
4,6,8,1,2,4,4,16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,1,164.0
5,4,4,1,2,0,0,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,2,2,142.0
0,3,8,3,1,1,1,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,2,4,0,4,1,2,176.0
2,3,9,0,2,1,1,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,1,3,42.0
3,2,3,4,2,4,4,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,15,2.772588722239781,0,0,0,1,5,1,1,198.0
1,8,7,3,2,4,4,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,19,2.995732273553991,0,1,4,5,9,1,2,147.0
5,6,1,0,2,2,2,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,1,2,122.0
3,5,1,3,1,2,2,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,1,1,84.0
9,3,1,1,2,4,4,10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,4,87.0
6,9,8,4,2,1,1,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,1,4,33.0
6,4,5,0,2,2,2,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,1,2,226.0
6,3,2,3,0,0,0,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,1,1,114.0
6,2,8,0,2,4,4,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,1,116.0
2,9,7,4,0,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,1,3,74.0
9,6,5,0,1,0,0,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,4,55.0
9,4,8,2,0,2,2,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,1,40.0
4,6,6,3,1,3,3,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,1,110.0
4,3,6,3,0,3,3,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,18,2.9444389791664403,1,0,3,4,8,1,1,135.0
7,1,0,1,2,2,2,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,13,2.6390573296152584,0,1,3,6,3,1,3,74.0
3,7,0,4,0,2,2,13,2.6390573296152584,0,1,3,6,3,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,14,2.70805020110221,1,2,4,0,4,1,3,202.0
2,1,0,3,0,1,1,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,1,57.0
5,9,4,0,1,1,1,17,2.8903717578961645,0,2,2,3,7,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,15,2.772588722239781,0,0,0,1,5,1,3,151.0
2,7,4,3,2,4,4,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,1,2,96.0
6,9,7,1,1,4,4,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,13,2.6390573296152584,0,1,3,6,3,1,3,121.0
5,6,5,2,2,1,1,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,17,2.8903717578961645,0,2,2,3,7,1,0,250.0
