slot_person1,slot_person2,slot_factor,slot_factor_abs_log1p,slot_factor_is_even,slot_factor_mod3,slot_factor_mod5,slot_factor_mod7,slot_factor_mod10,slot_total,slot_total_abs_log1p,slot_total_is_even,slot_total_mod3,slot_total_mod5,slot_total_mod7,slot_total_mod10,slot_item,gcd_all,n_multiple_pairs,y
15,1,11,2.4849066497880004,0,2,1,4,1,1824,7.509335266016592,1,0,4,4,4,12,1,0,152.0
15,1,4,1.6094379124341003,1,1,4,4,4,3960,8.284251797621916,1,0,0,5,0,9,4,1,792.0
11,10,9,2.302585092994046,0,0,4,2,9,7480,8.920121751872404,1,1,0,4,0,15,1,0,748.0
3,8,3,1.3862943611198906,0,0,3,3,3,28440000,17.16330719806106,1,0,0,1,0,7,3,1,7110000.0
17,17,7,2.0794415416798357,0,1,2,0,7,403200,12.90719047589495,1,0,0,0,0,4,7,1,50400.0
15,6,7,2.0794415416798357,0,1,2,0,7,3632000,15.10529429403368,1,2,0,1,0,1,1,0,454000.0
12,12,4,1.6094379124341003,1,1,4,4,4,192000,12.165255859329688,1,0,0,4,0,10,4,1,38400.0
4,2,11,2.4849066497880004,0,2,1,4,1,68280,11.131386822378166,1,0,0,2,0,7,1,0,5690.0
16,13,7,2.0794415416798357,0,1,2,0,7,57280000,17.863462098074766,1,1,0,1,0,12,1,0,7160000.0
9,2,11,2.4849066497880004,0,2,1,4,1,8040000,15.89993976553325,1,0,0,3,0,13,1,0,670000.0
3,17,4,1.6094379124341003,1,1,4,4,4,720,6.580639137284949,1,0,0,6,0,5,4,1,144.0
18,2,3,1.3862943611198906,0,0,3,3,3,160000,11.982935344196433,1,1,0,1,0,14,1,0,40000.0
15,9,2,1.0986122886681098,1,2,2,2,2,166200,12.020953178232556,1,0,0,6,0,8,2,1,55400.0
2,15,5,1.791759469228055,0,2,0,5,5,42240,10.651146592342338,1,0,0,2,0,11,5,1,7040.0
1,16,8,2.1972245773362196,1,2,3,1,8,59940,11.001116024081504,1,0,0,6,0,8,4,0,6660.0
14,17,10,2.3978952727983707,1,1,0,3,0,55440000,17.83081193088344,1,0,0,0,0,11,10,1,5040000.0
17,13,5,1.791759469228055,0,2,0,5,5,1992,7.597396320212795,1,0,2,4,2,8,1,0,332.0
4,1,4,1.6094379124341003,1,1,4,4,4,415,6.030685260261263,0,1,0,2,5,0,1,0,83.0
8,6,6,1.9459101490553132,1,0,1,6,6,58520000,17.884879151204373,1,2,0,0,0,2,2,0,8360000.0
9,0,2,1.0986122886681098,1,2,2,2,2,22980000,16.950134873900982,1,0,0,1,0,9,2,1,7660000.0
19,15,6,1.9459101490553132,1,0,1,6,6,49210,10.803872454726505,1,1,0,0,0,15,2,0,7030.0
6,14,5,1.791759469228055,0,2,0,5,5,1974,7.5883236773352225,1,0,4,0,4,7,1,0,329.0
14,0,4,1.6094379124341003,1,1,4,4,4,565000,13.244582780038517,1,1,0,2,0,3,4,1,113000.0
14,18,11,2.4849066497880004,0,2,1,4,1,129600,11.772215778919925,1,0,0,2,0,2,1,0,10800.0
6,7,4,1.6094379124341003,1,1,4,4,4,44100,10.694237736914808,1,0,0,0,0,0,4,1,8820.0
0,13,7,2.0794415416798357,0,1,2,0,7,6056,8.708969906980947,1,2,1,1,6,9,1,0,757.0
16,2,4,1.6094379124341003,1,1,4,4,4,825,6.716594773520978,0,0,0,6,5,2,1,0,165.0
4,2,9,2.302585092994046,0,0,4,2,9,1910,7.555381944240273,1,2,0,6,0,6,1,0,191.0
10,1,6,1.9459101490553132,1,0,1,6,6,517300,13.156380189103984,1,1,0,0,0,8,2,0,73900.0
0,12,11,2.4849066497880004,0,2,1,4,1,6672,8.805824812903607,1,0,2,1,2,8,1,0,556.0
14,10,11,2.4849066497880004,0,2,1,4,1,540000,13.199326270390594,1,0,0,6,0,13,1,0,45000.0
17,7,8,2.1972245773362196,1,2,3,1,8,524700,13.17058385552395,1,0,0,1,0,2,4,0,58300.0
15,9,8,2.1972245773362196,1,2,3,1,8,576,6.3578422665081,1,0,1,2,6,0,8,1,64.0
7,17,6,1.9459101490553132,1,0,1,6,6,21070,9.955652966516807,1,1,0,0,0,15,2,0,3010.0
15,18,7,2.0794415416798357,0,1,2,0,7,888,6.790097235513905,1,0,3,6,8,12,1,0,111.0
16,8,2,1.0986122886681098,1,2,2,2,2,2175,7.685243607975833,0,0,0,5,5,15,1,0,725.0
15,9,9,2.302585092994046,0,0,4,2,9,8090,8.99850761180784,1,2,0,5,0,11,1,0,809.0
9,4,6,1.9459101490553132,1,0,1,6,6,14840,9.605148899895818,1,2,0,0,0,10,2,0,2120.0
9,2,5,1.791759469228055,0,2,0,5,5,511800,13.145691156594154,1,0,0,2,0,11,5,1,85300.0
16,7,7,2.0794415416798357,0,1,2,0,7,38400,10.555838779903407,1,0,0,5,0,4,1,0,4800.0
0,12,11,2.4849066497880004,0,2,1,4,1,8448000,15.949440403299384,1,0,0,1,0,7,11,1,704000.0
14,13,4,1.6094379124341003,1,1,4,4,4,43300000,17.583663216067407,1,1,0,2,0,0,4,1,8660000.0
14,0,9,2.302585092994046,0,0,4,2,9,1550,7.346655163176539,1,2,0,3,0,1,1,0,155.0
12,6,8,2.1972245773362196,1,2,3,1,8,4797,8.47595444339964,0,0,2,2,7,1,1,0,533.0
17,8,11,2.4849066497880004,0,2,1,4,1,105840000,18.4774390872192,1,0,0,0,0,14,1,0,8820000.0
10,4,12,2.5649493574615367,1,0,2,5,2,10660000,16.1820090705106,1,1,0,1,0,0,4,0,820000.0
18,12,5,1.791759469228055,0,2,0,5,5,150000,11.918397239722838,1,0,0,4,0,0,5,1,25000.0
13,12,3,1.3862943611198906,0,0,3,3,3,2396000,14.68931165557966,1,2,0,5,0,10,1,0,599000.0
11,5,8,2.1972245773362196,1,2,3,1,8,3753000,15.138066344570626,1,0,0,6,0,13,8,1,417000.0
1,0,4,1.6094379124341003,1,1,4,4,4,41150,10.625003507146516,1,2,0,4,0,14,2,0,8230.0
18,18,6,1.9459101490553132,1,0,1,6,6,235200,12.36819574669825,1,0,0,0,0,15,6,1,33600.0
5,7,7,2.0794415416798357,0,1,2,0,7,30320,10.319595820742773,1,2,0,3,0,14,1,0,3790.0
9,4,12,2.5649493574615367,1,0,2,5,2,30290,10.31860591767243,1,2,0,1,0,12,2,0,2330.0
1,9,8,2.1972245773362196,1,2,3,1,8,5292000,15.48170699318144,1,0,0,0,0,12,8,1,588000.0
14,8,3,1.3862943611198906,0,0,3,3,3,744000,13.519797657900346,1,0,0,5,0,1,3,1,186000.0
4,11,6,1.9459101490553132,1,0,1,6,6,19390,9.872564319882619,1,1,0,0,0,15,2,0,2770.0
4,8,12,2.5649493574615367,1,0,2,5,2,133900,11.804855999911272,1,1,0,4,0,8,4,0,10300.0
4,6,6,1.9459101490553132,1,0,1,6,6,12600,9.441531454869693,1,0,0,0,0,7,6,1,1800.0
14,6,11,2.4849066497880004,0,2,1,4,1,13920,9.541153770388567,1,0,0,4,0,14,1,0,1160.0
16,5,5,1.791759469228055,0,2,0,5,5,365400,12.808750659649172,1,0,0,0,0,7,5,1,60900.0
16,16,12,2.5649493574615367,1,0,2,5,2,884000,13.69221347284086,1,2,0,5,0,14,4,0,68000.0
4,13,4,1.6094379124341003,1,1,4,4,4,4375,8.383890344101816,0,1,0,0,5,2,1,0,875.0
9,8,3,1.3862943611198906,0,0,3,3,3,78000,11.264476926102367,1,0,0,6,0,11,3,1,19500.0
3,19,12,2.5649493574615367,1,0,2,5,2,547300,13.212754204281811,1,1,0,5,0,4,4,0,42100.0
9,6,6,1.9459101490553132,1,0,1,6,6,55090000,17.824478787601013,1,1,0,0,0,12,2,0,7870000.0
17,19,12,2.5649493574615367,1,0,2,5,2,48880,10.797144051901348,1,1,0,6,0,6,4,0,3760.0
8,1,10,2.3978952727983707,1,1,0,3,0,2640,7.878912912297133,1,0,0,1,0,7,10,1,240.0
5,10,9,2.302585092994046,0,0,4,2,9,28400,10.254179634797001,1,2,0,1,0,0,1,0,2840.0
15,16,2,1.0986122886681098,1,2,2,2,2,543,6.298949246855942,0,0,3,4,3,12,1,0,181.0
1,17,5,1.791759469228055,0,2,0,5,5,1890000,14.452087916136215,1,0,0,0,0,10,5,1,315000.0
5,5,2,1.0986122886681098,1,2,2,2,2,23820000,16.986036163872956,1,0,0,1,0,2,2,1,7940000.0
3,13,6,1.9459101490553132,1,0,1,6,6,28910000,17.179698148582634,1,2,0,0,0,3,2,0,4130000.0
18,1,4,1.6094379124341003,1,1,4,4,4,7950000,15.88868261241667,1,0,0,2,0,5,4,1,1590000.0
2,16,4,1.6094379124341003,1,1,4,4,4,12150000,16.312839810055355,1,0,0,2,0,7,4,1,2430000.0
6,17,8,2.1972245773362196,1,2,3,1,8,10530000,16.169738979076914,1,0,0,5,0,3,8,1,1170000.0
6,8,4,1.6094379124341003,1,1,4,4,4,21500,9.975854724662028,1,2,0,3,0,3,4,1,4300.0
12,10,2,1.0986122886681098,1,2,2,2,2,1149,7.047517221357296,0,0,4,1,9,8,1,0,383.0
18,19,7,2.0794415416798357,0,1,2,0,7,16720,9.724420693462669,1,1,0,4,0,10,1,0,2090.0
15,8,12,2.5649493574615367,1,0,2,5,2,8515000,15.957339989518731,1,1,0,4,0,3,4,0,655000.0
11,0,10,2.3978952727983707,1,1,0,3,0,936100,13.749478655621203,1,1,0,4,0,1,10,1,85100.0
11,16,10,2.3978952727983707,1,1,0,3,0,660000,13.399996629152975,1,0,0,5,0,7,10,1,60000.0
13,2,8,2.1972245773362196,1,2,3,1,8,7659,8.943767262734637,0,0,4,1,9,13,1,0,851.0
18,17,8,2.1972245773362196,1,2,3,1,8,67050,11.11320880284171,1,0,0,4,0,10,2,0,7450.0
6,9,2,1.0986122886681098,1,2,2,2,2,25350,10.140573455973044,1,0,0,3,0,15,2,1,8450.0
7,11,7,2.0794415416798357,0,1,2,0,7,2904,7.974188669286011,1,0,4,6,4,8,1,0,363.0
12,3,4,1.6094379124341003,1,1,4,4,4,288000,12.570719231334277,1,0,0,6,0,15,4,1,57600.0
12,16,4,1.6094379124341003,1,1,4,4,4,9700000,16.08763654656639,1,1,0,2,0,3,4,1,1940000.0
19,11,7,2.0794415416798357,0,1,2,0,7,6976,8.850374303939237,1,1,1,4,6,5,1,0,872.0
10,8,2,1.0986122886681098,1,2,2,2,2,136500,11.824087219587643,1,0,0,0,0,4,2,1,45500.0
8,10,11,2.4849066497880004,0,2,1,4,1,9384000,16.054516775879808,1,0,0,3,0,8,1,0,782000.0
9,13,12,2.5649493574615367,1,0,2,5,2,8801000,15.990376022979394,1,2,0,5,0,10,4,0,677000.0
19,10,10,2.3978952727983707,1,1,0,3,0,3432,8.141189793457691,1,0,2,2,2,2,2,0,312.0
18,15,12,2.5649493574615367,1,0,2,5,2,8229000,15.923175180109292,1,0,0,3,0,12,12,1,633000.0
9,7,12,2.5649493574615367,1,0,2,5,2,3146,8.054204897064407,1,2,1,3,6,12,2,0,242.0
2,7,11,2.4849066497880004,0,2,1,4,1,352800,12.773659437577876,1,0,0,0,0,12,1,0,29400.0
13,5,9,2.302585092994046,0,0,4,2,9,49100000,17.709369613131347,1,2,0,5,0,10,1,0,4910000.0
12,9,11,2.4849066497880004,0,2,1,4,1,42360,10.65398340661328,1,0,0,3,0,15,1,0,3530.0
18,1,7,2.0794415416798357,0,1,2,0,7,1384,7.233455418621439,1,1,4,5,4,8,1,0,173.0
2,6,8,2.1972245773362196,1,2,3,1,8,39060,10.572879805741458,1,0,0,0,0,2,4,0,4340.0
3,7,11,2.4849066497880004,0,2,1,4,1,7740,8.954286157204713,1,0,0,5,0,0,1,0,645.0
12,2,9,2.302585092994046,0,0,4,2,9,310000,12.644330802262578,1,1,0,5,0,11,1,0,31000.0
8,3,9,2.302585092994046,0,0,4,2,9,4470000,15.312899190303373,1,0,0,3,0,6,3,0,447000.0
12,15,8,2.1972245773362196,1,2,3,1,8,567000,13.248116346376765,1,0,0,0,0,2,8,1,63000.0
7,13,3,1.3862943611198906,0,0,3,3,3,28640000,17.170314934972918,1,2,0,4,0,3,1,0,7160000.0
8,6,7,2.0794415416798357,0,1,2,0,7,27440000,17.127512397265107,1,2,0,0,0,6,7,1,3430000.0
15,18,6,1.9459101490553132,1,0,1,6,6,33810,10.42854147231275,1,0,0,0,0,4,6,1,4830.0
0,2,11,2.4849066497880004,0,2,1,4,1,2580000,14.763300344494624,1,0,0,3,0,12,1,0,215000.0
13,7,2,1.0986122886681098,1,2,2,2,2,2271000,14.635731261422253,1,0,0,4,0,5,2,1,757000.0
6,13,7,2.0794415416798357,0,1,2,0,7,38800000,17.473930830366697,1,1,0,1,0,14,1,0,4850000.0
8,17,5,1.791759469228055,0,2,0,5,5,421800,12.952288917815846,1,0,0,1,0,15,5,1,70300.0
8,11,10,2.3978952727983707,1,1,0,3,0,23870000,16.988133040208602,1,2,0,0,0,11,10,1,2170000.0
14,4,12,2.5649493574615367,1,0,2,5,2,97630000,18.396695391444606,1,1,0,6,0,8,4,0,7510000.0
12,11,6,1.9459101490553132,1,0,1,6,6,5600,8.630700432209832,1,2,0,0,0,14,2,0,800.0
16,5,6,1.9459101490553132,1,0,1,6,6,12810000,16.365736751936925,1,0,0,0,0,3,6,1,1830000.0
10,9,2,1.0986122886681098,1,2,2,2,2,13050,9.476620038167528,1,0,0,2,0,3,2,1,4350.0
5,1,8,2.1972245773362196,1,2,3,1,8,7920000,15.884901890053227,1,0,0,4,0,5,8,1,880000.0
13,3,10,2.3978952727983707,1,1,0,3,0,22440000,16.92635568318205,1,0,0,2,0,9,10,1,2040000.0
15,14,6,1.9459101490553132,1,0,1,6,6,25200,10.134638955251866,1,0,0,0,0,10,6,1,3600.0
17,9,7,2.0794415416798357,0,1,2,0,7,6136,8.722091302389098,1,1,1,4,6,12,1,0,767.0
5,3,5,1.791759469228055,0,2,0,5,5,76200,11.241129864948206,1,0,0,5,0,10,5,1,12700.0
14,14,7,2.0794415416798357,0,1,2,0,7,366400,12.81148364103603,1,1,0,6,0,5,1,0,45800.0
12,10,7,2.0794415416798357,0,1,2,0,7,18320000,16.72350397179541,1,2,0,6,0,0,1,0,2290000.0
15,4,6,1.9459101490553132,1,0,1,6,6,40950,10.620131509007471,1,0,0,0,0,4,6,1,5850.0
3,8,6,1.9459101490553132,1,0,1,6,6,35210000,17.376840719532257,1,2,0,0,0,10,2,0,5030000.0
14,18,7,2.0794415416798357,0,1,2,0,7,487200,13.096432047920874,1,0,0,0,0,3,7,1,60900.0
8,6,10,2.3978952727983707,1,1,0,3,0,8470000,15.952041184691984,1,1,0,0,0,11,10,1,770000.0
4,9,8,2.1972245773362196,1,2,3,1,8,19890,9.89802264710506,1,0,0,3,0,5,2,0,2210.0
13,10,11,2.4849066497880004,0,2,1,4,1,7560,8.93075873555827,1,0,0,0,0,2,1,0,630.0
4,8,6,1.9459101490553132,1,0,1,6,6,3976000,15.195787098267624,1,1,0,0,0,9,2,0,568000.0
0,3,10,2.3978952727983707,1,1,0,3,0,33220000,17.31866269225177,1,1,0,2,0,15,10,1,3020000.0
10,5,9,2.302585092994046,0,0,4,2,9,3910,8.271548374755515,1,1,0,4,0,5,1,0,391.0
3,5,7,2.0794415416798357,0,1,2,0,7,15200000,16.536806051605975,1,2,0,4,0,0,1,0,1900000.0
13,7,7,2.0794415416798357,0,1,2,0,7,64960000,17.989282269211785,1,1,0,0,0,3,7,1,8120000.0
9,15,8,2.1972245773362196,1,2,3,1,8,7704,8.949624747754216,1,0,4,4,4,2,8,1,856.0
19,7,10,2.3978952727983707,1,1,0,3,0,66990,11.112313560992032,1,0,0,0,0,7,10,1,6090.0
1,7,3,1.3862943611198906,0,0,3,3,3,4240,8.352554369474591,1,1,0,5,0,4,1,0,1060.0
16,18,9,2.302585092994046,0,0,4,2,9,2570,7.852050207265889,1,2,0,1,0,5,1,0,257.0
2,11,8,2.1972245773362196,1,2,3,1,8,712800,13.476957558055823,1,0,0,4,0,10,8,1,79200.0
7,14,10,2.3978952727983707,1,1,0,3,0,51150000,17.75027306991225,1,0,0,6,0,10,10,1,4650000.0
1,7,5,1.791759469228055,0,2,0,5,5,1176000,13.977630257780485,1,0,0,0,0,15,5,1,196000.0
2,13,8,2.1972245773362196,1,2,3,1,8,22950,10.041116787524166,1,0,0,4,0,15,2,0,2550.0
5,10,11,2.4849066497880004,0,2,1,4,1,6876,8.835937789319836,1,0,1,2,6,13,1,0,573.0
17,15,9,2.302585092994046,0,0,4,2,9,419000,12.945628585536271,1,2,0,1,0,13,1,0,41900.0
12,10,8,2.1972245773362196,1,2,3,1,8,435600,12.984481965722422,1,0,0,4,0,8,8,1,48400.0
14,9,6,1.9459101490553132,1,0,1,6,6,210,5.351858133476067,1,0,0,0,0,5,6,1,30.0
17,15,7,2.0794415416798357,0,1,2,0,7,952,6.859614903654202,1,1,2,0,2,1,7,1,119.0
13,12,7,2.0794415416798357,0,1,2,0,7,53360000,17.79257197831227,1,2,0,1,0,2,1,0,6670000.0
10,4,10,2.3978952727983707,1,1,0,3,0,9691000,16.086708280905206,1,1,0,4,0,11,10,1,881000.0
5,17,8,2.1972245773362196,1,2,3,1,8,496800,13.115944822481827,1,0,0,3,0,0,8,1,55200.0
12,4,7,2.0794415416798357,0,1,2,0,7,6288,8.746557354543503,1,0,3,2,8,3,1,0,786.0
2,10,2,1.0986122886681098,1,2,2,2,2,1773,7.480992162869525,0,0,3,2,3,4,1,0,591.0
15,15,9,2.302585092994046,0,0,4,2,9,46300000,17.650652540654736,1,1,0,5,0,11,1,0,4630000.0
8,11,11,2.4849066497880004,0,2,1,4,1,64800000,17.9868161767546,1,0,0,6,0,9,1,0,5400000.0
19,0,4,1.6094379124341003,1,1,4,4,4,3050,8.02322468471667,1,2,0,5,0,14,2,0,610.0
11,11,11,2.4849066497880004,0,2,1,4,1,88200,11.38737357979909,1,0,0,0,0,6,1,0,7350.0
8,7,4,1.6094379124341003,1,1,4,4,4,34100,10.43708198835482,1,2,0,3,0,7,4,1,6820.0
5,3,4,1.6094379124341003,1,1,4,4,4,36950000,17.425076232422082,1,2,0,3,0,2,4,1,7390000.0
15,14,7,2.0794415416798357,0,1,2,0,7,402400,12.905204382854041,1,1,0,5,0,7,1,0,50300.0
18,13,5,1.791759469228055,0,2,0,5,5,9060000,16.01937978839443,1,0,0,5,0,8,5,1,1510000.0
0,2,3,1.3862943611198906,0,0,3,3,3,3100000,14.946912992035967,1,1,0,1,0,13,1,0,775000.0
17,14,3,1.3862943611198906,0,0,3,3,3,1500000,14.220976332738882,1,0,0,5,0,3,3,1,375000.0
18,8,6,1.9459101490553132,1,0,1,6,6,249900,12.428820118415677,1,0,0,0,0,5,6,1,35700.0
11,8,12,2.5649493574615367,1,0,2,5,2,5629000,15.543442542097596,1,1,0,6,0,6,4,0,433000.0
8,4,11,2.4849066497880004,0,2,1,4,1,840000,13.641158361294979,1,0,0,0,0,5,1,0,70000.0
2,2,2,1.0986122886681098,1,2,2,2,2,220800,12.30501712236033,1,0,0,6,0,1,2,1,73600.0
7,15,7,2.0794415416798357,0,1,2,0,7,446400,13.0089729301901,1,0,0,3,0,11,1,0,55800.0
15,10,3,1.3862943611198906,0,0,3,3,3,2092,7.646353722445999,1,1,2,6,2,3,1,0,523.0
8,0,10,2.3978952727983707,1,1,0,3,0,57420,10.958165369058063,1,0,0,6,0,5,10,1,5220.0
19,2,3,1.3862943611198906,0,0,3,3,3,6680,8.807022955925477,1,2,0,2,0,8,1,0,1670.0
0,17,6,1.9459101490553132,1,0,1,6,6,707,6.56244409369372,0,2,2,0,7,12,1,0,101.0
10,4,2,1.0986122886681098,1,2,2,2,2,2202000,14.604877050397265,1,0,0,3,0,7,2,1,734000.0
8,1,3,1.3862943611198906,0,0,3,3,3,197200,12.19197879213173,1,1,0,3,0,13,1,0,49300.0
5,3,2,1.0986122886681098,1,2,2,2,2,41100,10.623787731088578,1,0,0,3,0,5,2,1,13700.0
7,15,6,1.9459101490553132,1,0,1,6,6,4340000,15.283385136491308,1,2,0,0,0,0,2,0,620000.0
4,6,4,1.6094379124341003,1,1,4,4,4,29950000,17.215039915914712,1,1,0,3,0,10,4,1,5990000.0
4,1,8,2.1972245773362196,1,2,3,1,8,6570000,15.698024542667783,1,0,0,3,0,0,8,1,730000.0
5,1,3,1.3862943611198906,0,0,3,3,3,88000,11.385103457032141,1,1,0,3,0,0,1,0,22000.0
0,11,4,1.6094379124341003,1,1,4,4,4,40750000,17.522966422191022,1,1,0,4,0,6,4,1,8150000.0
5,4,2,1.0986122886681098,1,2,2,2,2,250500,12.431218191515056,1,0,0,5,0,0,2,1,83500.0
8,15,3,1.3862943611198906,0,0,3,3,3,32000,10.373522431293592,1,2,0,3,0,7,1,0,8000.0
3,1,3,1.3862943611198906,0,0,3,3,3,285200,12.560949473827492,1,2,0,6,0,10,1,0,71300.0
0,3,2,1.0986122886681098,1,2,2,2,2,2397000,14.689728930604586,1,0,0,4,0,0,2,1,799000.0
11,6,9,2.302585092994046,0,0,4,2,9,73500,11.205054290550551,1,0,0,0,0,1,3,0,7350.0
16,16,3,1.3862943611198906,0,0,3,3,3,154000,11.944714374881176,1,1,0,0,0,11,1,0,38500.0
6,9,7,2.0794415416798357,0,1,2,0,7,6112000,15.625764773441045,1,1,0,6,0,10,1,0,764000.0
5,5,6,1.9459101490553132,1,0,1,6,6,27020000,17.11208792750595,1,2,0,0,0,4,2,0,3860000.0
4,0,2,1.0986122886681098,1,2,2,2,2,5700,8.648396877031582,1,0,0,2,0,10,2,1,1900.0
13,2,9,2.302585092994046,0,0,4,2,9,210,5.351858133476067,1,0,0,0,0,14,3,0,21.0
7,8,6,1.9459101490553132,1,0,1,6,6,403900,12.908925077408801,1,1,0,0,0,10,2,0,57700.0
5,9,4,1.6094379124341003,1,1,4,4,4,12900000,16.372737946851277,1,0,0,1,0,9,4,1,2580000.0
1,1,11,2.4849066497880004,0,2,1,4,1,33840000,17.337154122253125,1,0,0,5,0,5,1,0,2820000.0
8,14,4,1.6094379124341003,1,1,4,4,4,3185,8.066521490469993,0,2,0,0,5,3,1,0,637.0
17,1,6,1.9459101490553132,1,0,1,6,6,1400,7.244941546337007,1,2,0,0,0,15,2,0,200.0
11,14,7,2.0794415416798357,0,1,2,0,7,13200000,16.395727463314174,1,0,0,2,0,4,1,0,1650000.0
