slot_a,slot_a_abs_log1p,slot_a_mod3,slot_a_mod5,slot_a_mod7,slot_a_mod10,slot_d,slot_d_abs_log1p,slot_d_sign,slot_d_is_even,slot_d_mod3,slot_d_mod5,slot_d_mod7,slot_d_mod10,slot_name1,slot_name2,gcd_all,n_multiple_pairs,y
536,6.285998094508865,2,1,4,6,33,3.5263605246161616,1,0,0,3,5,3,15,1,1,0,837.0
950,6.85751406254539,2,0,5,0,5,1.791759469228055,1,0,2,0,5,5,8,15,5,1,1430.0
986,6.894670039433482,2,1,6,6,32,3.4965075614664802,1,1,2,2,4,2,1,16,2,0,1511.0
1200,7.0909098220799835,0,0,3,0,37,3.6375861597263857,1,0,1,2,2,7,4,1,1,0,1837.0
760,6.634633357861686,1,0,4,0,23,3.1780538303479458,1,0,2,3,2,3,14,16,1,0,1163.0
194,5.272999558563747,2,4,5,4,21,3.091042453358316,1,0,0,1,0,1,5,4,1,0,312.0
526,6.267200548541362,1,1,1,6,29,3.4011973816621555,1,0,2,4,1,9,0,7,1,0,818.0
482,6.180016653652572,2,2,6,2,18,2.9444389791664403,1,1,0,3,4,8,7,3,2,0,741.0
796,6.680854678790215,1,1,5,6,20,3.044522437723423,1,1,2,0,6,0,16,0,4,0,1214.0
502,6.220590170099739,1,2,5,2,0,0.0,0,1,0,0,0,0,15,17,502,0,753.0
748,6.618738983517219,1,3,6,8,7,2.0794415416798357,1,0,1,2,0,7,15,2,1,0,1129.0
732,6.597145701886651,0,2,4,2,24,3.2188758248682006,1,1,0,4,3,4,9,14,12,0,1122.0
1030,6.93828448401696,1,0,1,0,13,2.6390573296152584,1,0,1,3,6,3,6,17,1,0,1558.0
942,6.849066282633458,0,2,4,2,38,3.6635616461296463,1,1,2,3,3,8,3,7,2,0,1451.0
526,6.267200548541362,1,1,1,6,23,3.1780538303479458,1,0,2,3,2,3,10,11,1,0,812.0
620,6.431331081933479,2,0,4,0,17,2.8903717578961645,1,0,2,2,3,7,17,18,1,0,947.0
1144,7.0431599159883405,1,4,3,4,30,3.4339872044851463,1,1,0,0,2,0,18,8,2,0,1746.0
492,6.20050917404269,0,2,2,2,13,2.6390573296152584,1,0,1,3,6,3,4,6,1,0,751.0
752,6.6240652277998935,2,2,3,2,50,3.9318256327243257,1,1,2,0,1,0,7,19,2,0,1178.0
1166,7.062191632286556,2,1,4,6,9,2.302585092994046,1,0,0,4,2,9,4,0,1,0,1758.0
1026,6.934397209928558,0,1,4,6,3,1.3862943611198906,1,0,0,3,3,3,15,5,3,1,1542.0
814,6.703188113240863,1,4,2,4,3,1.3862943611198906,1,0,0,3,3,3,11,11,1,0,1224.0
218,5.389071729816501,2,3,1,8,2,1.0986122886681098,1,1,2,2,2,2,15,11,2,1,329.0
886,6.787844982309579,1,1,4,6,3,1.3862943611198906,1,0,0,3,3,3,8,12,1,0,1332.0
130,4.875197323201151,1,0,4,0,43,3.784189633918261,1,0,1,3,1,3,8,1,1,0,238.0
1078,6.983789965258135,1,3,0,8,11,2.4849066497880004,1,0,2,1,4,1,0,6,11,1,1628.0
248,5.517452896464707,2,3,3,8,15,2.772588722239781,1,0,0,0,1,5,9,1,1,0,387.0
632,6.450470422144176,2,2,2,2,34,3.5553480614894135,1,1,1,4,6,4,11,14,2,0,982.0
1046,6.953684210870537,2,1,3,6,26,3.295836866004329,1,1,2,1,5,6,1,14,2,0,1595.0
152,5.030437921392435,2,2,5,2,23,3.1780538303479458,1,0,2,3,2,3,3,15,1,0,251.0
274,5.616771097666572,1,4,1,4,43,3.784189633918261,1,0,1,3,1,3,0,3,1,0,454.0
296,5.6937321388027,2,1,2,6,45,3.828641396489095,1,0,0,0,3,5,7,17,1,0,489.0
700,6.55250788703459,1,0,0,0,4,1.6094379124341003,1,1,1,4,4,4,0,9,4,1,1054.0
1144,7.0431599159883405,1,4,3,4,13,2.6390573296152584,1,0,1,3,6,3,4,6,13,1,1729.0
1156,7.053585727193677,1,1,1,6,42,3.7612001156935624,1,1,0,2,0,2,13,6,2,0,1776.0
142,4.962844630259907,1,2,2,2,35,3.58351893845611,1,0,2,0,0,5,18,16,1,0,248.0
546,6.304448802421981,0,1,0,6,34,3.5553480614894135,1,1,1,4,6,4,10,0,2,0,853.0
936,6.842683282238422,0,1,5,6,28,3.367295829986474,1,1,1,3,0,8,6,14,4,0,1432.0
580,6.364750756851911,1,0,6,0,17,2.8903717578961645,1,0,2,2,3,7,16,10,1,0,887.0
1100,7.00397413672268,2,0,1,0,17,2.8903717578961645,1,0,2,2,3,7,7,2,1,0,1667.0
262,5.572154032177765,1,2,3,2,12,2.5649493574615367,1,1,0,2,5,2,14,11,2,0,405.0
350,5.860786223465865,2,0,0,0,40,3.713572066704308,1,1,1,0,5,0,19,18,10,0,565.0
410,6.018593214496234,2,0,4,0,23,3.1780538303479458,1,0,2,3,2,3,5,18,1,0,638.0
448,6.1070228877422545,1,3,0,8,25,3.258096538021482,1,0,1,0,4,5,17,16,1,0,697.0
444,6.09807428216624,0,4,3,4,33,3.5263605246161616,1,0,0,3,5,3,6,16,3,0,699.0
596,6.391917113392602,2,1,1,6,9,2.302585092994046,1,0,0,4,2,9,14,0,1,0,903.0
542,6.297109319933935,2,2,3,2,8,2.1972245773362196,1,1,2,3,1,8,18,4,2,0,821.0
414,6.028278520230698,0,4,1,4,45,3.828641396489095,1,0,0,0,3,5,15,5,9,0,666.0
284,5.652489180268651,2,4,4,4,18,2.9444389791664403,1,1,0,3,4,8,5,19,2,0,444.0
706,6.561030665896573,1,1,6,6,21,3.091042453358316,1,0,0,1,0,1,1,15,1,0,1080.0
436,6.07993319509559,1,1,2,6,41,3.7376696182833684,1,0,2,1,6,1,0,17,1,0,695.0
746,6.616065185132817,2,1,4,6,13,2.6390573296152584,1,0,1,3,6,3,18,0,1,0,1132.0
472,6.159095388491933,1,2,3,2,1,0.6931471805599453,1,0,1,1,1,1,13,4,1,1,709.0
474,6.163314804034641,0,4,5,4,23,3.1780538303479458,1,0,2,3,2,3,5,5,1,0,734.0
328,5.796057750765372,1,3,6,8,50,3.9318256327243257,1,1,2,0,1,0,10,4,2,0,542.0
830,6.7226297948554485,2,0,4,0,42,3.7612001156935624,1,1,0,2,0,2,10,5,2,0,1287.0
274,5.616771097666572,1,4,1,4,46,3.8501476017100584,1,1,1,1,4,6,17,10,2,0,457.0
876,6.776506992372183,0,1,1,6,12,2.5649493574615367,1,1,0,2,5,2,15,17,12,1,1326.0
474,6.163314804034641,0,4,5,4,50,3.9318256327243257,1,1,2,0,1,0,6,0,2,0,761.0
1184,7.077498053569231,2,4,1,4,8,2.1972245773362196,1,1,2,3,1,8,16,15,8,1,1784.0
212,5.3612921657094255,2,2,2,2,10,2.3978952727983707,1,1,1,0,3,0,14,18,2,0,328.0
738,6.6052979209482015,0,3,3,8,22,3.1354942159291497,1,1,1,2,1,2,13,7,2,0,1129.0
796,6.680854678790215,1,1,5,6,36,3.6109179126442243,1,1,0,1,1,6,0,15,4,0,1230.0
124,4.8283137373023015,1,4,5,4,30,3.4339872044851463,1,1,0,0,2,0,7,17,2,0,216.0
1004,6.912742820493176,2,4,3,4,5,1.791759469228055,1,0,2,0,5,5,7,0,1,0,1511.0
486,6.18826412308259,0,1,3,6,39,3.6888794541139363,1,0,0,4,4,9,15,14,3,0,768.0
280,5.638354669333745,1,0,0,0,40,3.713572066704308,1,1,1,0,5,0,6,11,40,1,460.0
450,6.111467339502679,0,0,2,0,13,2.6390573296152584,1,0,1,3,6,3,8,10,1,0,688.0
460,6.133398042996649,1,0,5,0,24,3.2188758248682006,1,1,0,4,3,4,3,0,4,0,714.0
462,6.137727054086234,0,2,0,2,5,1.791759469228055,1,0,2,0,5,5,7,12,1,0,698.0
768,6.645090969505644,0,3,5,8,28,3.367295829986474,1,1,1,3,0,8,3,0,4,0,1180.0
730,6.594413459749778,1,0,2,0,11,2.4849066497880004,1,0,2,1,4,1,0,4,1,0,1106.0
1012,6.920671504248683,1,2,4,2,42,3.7612001156935624,1,1,0,2,0,2,9,4,2,0,1560.0
1034,6.942156705699469,2,4,5,4,4,1.6094379124341003,1,1,1,4,4,4,3,8,2,0,1555.0
340,5.831882477283517,1,0,4,0,26,3.295836866004329,1,1,2,1,5,6,17,17,2,0,536.0
1034,6.942156705699469,2,4,5,4,37,3.6375861597263857,1,0,1,2,2,7,19,14,1,0,1588.0
1154,7.051855622955894,2,4,6,4,50,3.9318256327243257,1,1,2,0,1,0,18,18,2,0,1781.0
328,5.796057750765372,1,3,6,8,37,3.6375861597263857,1,0,1,2,2,7,15,5,1,0,529.0
744,6.61338421837956,0,4,2,4,0,0.0,0,1,0,0,0,0,6,16,744,0,1116.0
138,4.9344739331306915,0,3,5,8,40,3.713572066704308,1,1,1,0,5,0,3,1,2,0,247.0
960,6.8679744089702925,0,0,1,0,8,2.1972245773362196,1,1,2,3,1,8,5,15,8,1,1448.0
304,5.720311776607412,1,4,3,4,21,3.091042453358316,1,0,0,1,0,1,9,10,1,0,477.0
686,6.532334292222349,2,1,0,6,12,2.5649493574615367,1,1,0,2,5,2,6,18,2,0,1041.0
576,6.3578422665081,0,1,2,6,34,3.5553480614894135,1,1,1,4,6,4,6,18,2,0,898.0
254,5.541263545158426,2,4,2,4,49,3.912023005428146,1,0,1,4,0,9,4,11,1,0,430.0
214,5.3706380281276624,1,4,4,4,40,3.713572066704308,1,1,1,0,5,0,9,3,2,0,361.0
636,6.456769655572163,0,1,6,6,20,3.044522437723423,1,1,2,0,6,0,18,8,4,0,974.0
844,6.739336627357174,1,4,4,4,18,2.9444389791664403,1,1,0,3,4,8,14,5,2,0,1284.0
180,5.198497031265826,0,0,5,0,2,1.0986122886681098,1,1,2,2,2,2,19,6,2,1,272.0
1016,6.92461239604856,2,1,1,6,29,3.4011973816621555,1,0,2,4,1,9,18,1,1,0,1553.0
1122,7.023758954738443,0,2,2,2,2,1.0986122886681098,1,1,2,2,2,2,12,17,2,1,1685.0
494,6.20455776256869,2,4,4,4,43,3.784189633918261,1,0,1,3,1,3,7,10,1,0,784.0
808,6.695798917058491,1,3,3,8,17,2.8903717578961645,1,0,2,2,3,7,19,12,1,0,1229.0
678,6.520621127558696,0,3,6,8,41,3.7376696182833684,1,0,2,1,6,1,17,9,1,0,1058.0
278,5.631211781821365,2,3,5,8,20,3.044522437723423,1,1,2,0,6,0,15,7,2,0,437.0
862,6.760414691083428,1,2,1,2,16,2.833213344056216,1,1,1,1,2,6,6,16,2,0,1309.0
642,6.466144724237619,0,2,5,2,14,2.70805020110221,1,1,2,4,0,4,5,9,2,0,977.0
1162,7.0587581525186645,1,2,0,2,29,3.4011973816621555,1,0,2,4,1,9,12,7,1,0,1772.0
470,6.154858094016418,2,0,1,0,2,1.0986122886681098,1,1,2,2,2,2,3,11,2,1,707.0
992,6.900730664045173,2,2,5,2,12,2.5649493574615367,1,1,0,2,5,2,15,6,4,0,1500.0
872,6.771935555839602,2,2,4,2,5,1.791759469228055,1,0,2,0,5,5,14,15,1,0,1313.0
616,6.424869023905388,1,1,0,6,14,2.70805020110221,1,1,2,4,0,4,0,15,14,1,938.0
694,6.543911845564792,1,4,1,4,24,3.2188758248682006,1,1,0,4,3,4,9,2,2,0,1065.0
458,6.129050210060545,2,3,3,8,3,1.3862943611198906,1,0,0,3,3,3,3,14,1,0,690.0
174,5.1647859739235145,0,4,6,4,33,3.5263605246161616,1,0,0,3,5,3,6,17,3,0,294.0
926,6.831953565565855,2,1,2,6,6,1.9459101490553132,1,1,0,1,6,6,0,10,2,0,1395.0
920,6.825460036255307,2,0,3,0,8,2.1972245773362196,1,1,2,3,1,8,19,5,8,1,1388.0
232,5.4510384535657,1,2,1,2,4,1.6094379124341003,1,1,1,4,4,4,12,15,4,1,352.0
1134,7.034387929915503,0,4,0,4,47,3.871201010907891,1,0,2,2,5,7,10,14,1,0,1748.0
584,6.371611847231857,2,4,3,4,17,2.8903717578961645,1,0,2,2,3,7,19,2,1,0,893.0
672,6.511745329644728,0,2,0,2,44,3.8066624897703196,1,1,2,4,2,4,2,13,4,0,1052.0
570,6.3473892096560105,0,0,3,0,8,2.1972245773362196,1,1,2,3,1,8,16,17,2,0,863.0
944,6.851184927493743,2,4,6,4,8,2.1972245773362196,1,1,2,3,1,8,0,11,8,1,1424.0
1074,6.980075940561763,0,4,3,4,10,2.3978952727983707,1,1,1,0,3,0,3,9,2,0,1621.0
724,6.586171654854675,1,4,3,4,41,3.7376696182833684,1,0,2,1,6,1,5,6,1,0,1127.0
960,6.8679744089702925,0,0,1,0,16,2.833213344056216,1,1,1,1,2,6,1,18,16,1,1456.0
1070,6.976348070447749,2,0,6,0,45,3.828641396489095,1,0,0,0,3,5,1,9,5,0,1650.0
368,5.910796644040527,2,3,4,8,23,3.1780538303479458,1,0,2,3,2,3,14,2,23,1,575.0
946,6.853299093186078,1,1,1,6,23,3.1780538303479458,1,0,2,3,2,3,16,7,1,0,1442.0
920,6.825460036255307,2,0,3,0,46,3.8501476017100584,1,1,1,1,4,6,7,18,46,1,1426.0
320,5.771441123130016,2,0,5,0,6,1.9459101490553132,1,1,0,1,6,6,15,6,2,0,486.0
296,5.6937321388027,2,1,2,6,21,3.091042453358316,1,0,0,1,0,1,1,4,1,0,465.0
370,5.916202062607435,1,0,6,0,13,2.6390573296152584,1,0,1,3,6,3,9,6,1,0,568.0
264,5.579729825986222,0,4,5,4,20,3.044522437723423,1,1,2,0,6,0,6,17,4,0,416.0
452,6.115892125483034,2,2,4,2,0,0.0,0,1,0,0,0,0,2,5,452,0,678.0
678,6.520621127558696,0,3,6,8,18,2.9444389791664403,1,1,0,3,4,8,13,15,6,0,1035.0
1128,7.029087564149662,0,3,1,8,41,3.7376696182833684,1,0,2,1,6,1,8,19,1,0,1733.0
270,5.602118820879701,0,0,4,0,16,2.833213344056216,1,1,1,1,2,6,2,7,2,0,421.0
138,4.9344739331306915,0,3,5,8,12,2.5649493574615367,1,1,0,2,5,2,7,14,6,0,219.0
212,5.3612921657094255,2,2,2,2,37,3.6375861597263857,1,0,1,2,2,7,14,5,1,0,355.0
420,6.042632833682381,0,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,16,0,1,1,631.0
288,5.666426688112432,0,3,1,8,10,2.3978952727983707,1,1,1,0,3,0,4,7,2,0,442.0
742,6.610696044717759,1,2,0,2,34,3.5553480614894135,1,1,1,4,6,4,10,14,2,0,1147.0
1004,6.912742820493176,2,4,3,4,44,3.8066624897703196,1,1,2,4,2,4,10,16,4,0,1550.0
178,5.187385805840755,1,3,3,8,20,3.044522437723423,1,1,2,0,6,0,2,15,2,0,287.0
184,5.220355825078324,1,4,2,4,15,2.772588722239781,1,0,0,0,1,5,2,13,1,0,291.0
626,6.440946540632921,2,1,3,6,30,3.4339872044851463,1,1,0,0,2,0,5,18,2,0,969.0
782,6.663132695990803,2,2,5,2,10,2.3978952727983707,1,1,1,0,3,0,16,14,2,0,1183.0
714,6.5722825426940075,0,4,0,4,12,2.5649493574615367,1,1,0,2,5,2,14,6,6,0,1083.0
610,6.415096959171596,1,0,1,0,9,2.302585092994046,1,0,0,4,2,9,4,8,1,0,924.0
1140,7.039660349862076,0,0,6,0,16,2.833213344056216,1,1,1,1,2,6,16,4,4,0,1726.0
466,6.1463292576688975,1,1,4,6,32,3.4965075614664802,1,1,2,2,4,2,8,15,2,0,731.0
1038,6.946013991099227,0,3,2,8,50,3.9318256327243257,1,1,2,0,1,0,14,7,2,0,1607.0
556,6.322565239927284,1,1,3,6,10,2.3978952727983707,1,1,1,0,3,0,9,9,2,0,844.0
790,6.673297967767654,1,0,6,0,23,3.1780538303479458,1,0,2,3,2,3,16,5,1,0,1208.0
854,6.75110146893676,2,4,0,4,3,1.3862943611198906,1,0,0,3,3,3,17,3,1,0,1284.0
776,6.655440350367647,2,1,6,6,33,3.5263605246161616,1,0,0,3,5,3,3,15,1,0,1197.0
764,6.639875833826536,2,4,1,4,29,3.4011973816621555,1,0,2,4,1,9,10,8,1,0,1175.0
1184,7.077498053569231,2,4,1,4,48,3.8918202981106265,1,1,0,3,6,8,16,4,16,0,1824.0
162,5.093750200806762,0,2,1,2,38,3.6635616461296463,1,1,2,3,3,8,3,8,2,0,281.0
506,6.2285110035911835,2,1,2,6,1,0.6931471805599453,1,0,1,1,1,1,13,16,1,1,760.0
216,5.37989735354046,0,1,6,6,33,3.5263605246161616,1,0,0,3,5,3,5,8,3,0,357.0
364,5.8998973535824915,1,4,0,4,47,3.871201010907891,1,0,2,2,5,7,5,8,1,0,593.0
916,6.821107472256465,1,1,6,6,47,3.871201010907891,1,0,2,2,5,7,7,13,1,0,1421.0
280,5.638354669333745,1,0,0,0,35,3.58351893845611,1,0,2,0,0,5,17,5,35,1,455.0
1114,7.016609683894219,1,4,1,4,3,1.3862943611198906,1,0,0,3,3,3,19,2,1,0,1674.0
1008,6.9167150203536085,0,3,0,8,34,3.5553480614894135,1,1,1,4,6,4,6,16,2,0,1546.0
752,6.6240652277998935,2,2,3,2,42,3.7612001156935624,1,1,0,2,0,2,16,8,2,0,1170.0
1004,6.912742820493176,2,4,3,4,13,2.6390573296152584,1,0,1,3,6,3,14,1,1,0,1519.0
168,5.1298987149230735,0,3,0,8,9,2.302585092994046,1,0,0,4,2,9,7,2,3,0,261.0
514,6.244166900663736,1,4,3,4,45,3.828641396489095,1,0,0,0,3,5,18,14,1,0,816.0
352,5.8664680569332965,1,2,2,2,12,2.5649493574615367,1,1,0,2,5,2,6,12,4,0,540.0
130,4.875197323201151,1,0,4,0,11,2.4849066497880004,1,0,2,1,4,1,0,18,1,0,206.0
294,5.68697535633982,0,4,0,4,32,3.4965075614664802,1,1,2,2,4,2,12,4,2,0,473.0
880,6.78105762593618,1,0,5,0,16,2.833213344056216,1,1,1,1,2,6,14,9,16,1,1336.0
1130,7.030857476116121,2,0,3,0,27,3.332204510175204,1,0,0,2,6,7,14,1,1,0,1722.0
732,6.597145701886651,0,2,4,2,2,1.0986122886681098,1,1,2,2,2,2,0,12,2,1,1100.0
1070,6.976348070447749,2,0,6,0,33,3.5263605246161616,1,0,0,3,5,3,14,11,1,0,1638.0
1174,7.069023426578259,1,4,5,4,40,3.713572066704308,1,1,1,0,5,0,8,10,2,0,1801.0
660,6.493753839851686,0,0,2,0,20,3.044522437723423,1,1,2,0,6,0,13,13,20,1,1010.0
990,6.898714534329988,0,0,3,0,17,2.8903717578961645,1,0,2,2,3,7,18,0,1,0,1502.0
568,6.343880434126331,1,3,1,8,49,3.912023005428146,1,0,1,4,0,9,19,1,1,0,901.0
504,6.22455842927536,0,4,0,4,8,2.1972245773362196,1,1,2,3,1,8,2,16,8,1,764.0
1070,6.976348070447749,2,0,6,0,10,2.3978952727983707,1,1,1,0,3,0,3,5,10,1,1615.0
316,5.75890177387728,1,1,1,6,18,2.9444389791664403,1,1,0,3,4,8,2,15,2,0,492.0
956,6.863803391452954,2,1,4,6,36,3.6109179126442243,1,1,0,1,1,6,4,9,4,0,1470.0
958,6.8658910748834385,1,3,6,8,20,3.044522437723423,1,1,2,0,6,0,8,9,2,0,1457.0
840,6.734591659972948,0,0,0,0,22,3.1354942159291497,1,1,1,2,1,2,7,6,2,0,1282.0
190,5.25227342804663,1,0,1,0,39,3.6888794541139363,1,0,0,4,4,9,8,12,1,0,324.0
348,5.855071922202427,0,3,5,8,44,3.8066624897703196,1,1,2,4,2,4,18,10,4,0,566.0
730,6.594413459749778,1,0,2,0,25,3.258096538021482,1,0,1,0,4,5,8,0,5,0,1120.0
646,6.472346294500901,1,1,2,6,4,1.6094379124341003,1,1,1,4,4,4,10,18,2,0,973.0
672,6.511745329644728,0,2,0,2,6,1.9459101490553132,1,1,0,1,6,6,7,2,6,1,1014.0
104,4.653960350157523,2,4,6,4,29,3.4011973816621555,1,0,2,4,1,9,4,7,1,0,185.0
1154,7.051855622955894,2,4,6,4,0,0.0,0,1,0,0,0,0,4,16,1154,0,1731.0
808,6.695798917058491,1,3,3,8,31,3.4657359027997265,1,0,1,1,3,1,3,18,1,0,1243.0
1196,7.087573705557973,2,1,6,6,16,2.833213344056216,1,1,1,1,2,6,5,4,4,0,1810.0
942,6.849066282633458,0,2,4,2,30,3.4339872044851463,1,1,0,0,2,0,1,8,6,0,1443.0
574,6.354370040797351,1,4,0,4,45,3.828641396489095,1,0,0,0,3,5,8,13,1,0,906.0
880,6.78105762593618,1,0,5,0,33,3.5263605246161616,1,0,0,3,5,3,18,5,11,0,1353.0
514,6.244166900663736,1,4,3,4,43,3.784189633918261,1,0,1,3,1,3,17,9,1,0,814.0
222,5.407171771460119,0,2,5,2,37,3.6375861597263857,1,0,1,2,2,7,5,13,37,1,370.0
746,6.616065185132817,2,1,4,6,48,3.8918202981106265,1,1,0,3,6,8,15,9,2,0,1167.0
314,5.752572638825633,2,4,6,4,14,2.70805020110221,1,1,2,4,0,4,1,9,2,0,485.0
678,6.520621127558696,0,3,6,8,31,3.4657359027997265,1,0,1,1,3,1,12,17,1,0,1048.0
780,6.660575149839686,0,0,3,0,40,3.713572066704308,1,1,1,0,5,0,6,3,20,0,1210.0
844,6.739336627357174,1,4,4,4,46,3.8501476017100584,1,1,1,1,4,6,3,18,2,0,1312.0
284,5.652489180268651,2,4,4,4,27,3.332204510175204,1,0,0,2,6,7,5,15,1,0,453.0
1042,6.949856455000773,1,2,6,2,20,3.044522437723423,1,1,2,0,6,0,12,17,2,0,1583.0
696,6.546785410760524,0,1,3,6,19,2.995732273553991,1,0,1,4,5,9,18,9,1,0,1063.0
490,6.19644412779452,1,0,0,0,10,2.3978952727983707,1,1,1,0,3,0,11,14,10,1,745.0
314,5.752572638825633,2,4,6,4,48,3.8918202981106265,1,1,0,3,6,8,1,18,2,0,519.0
392,5.973809611869261,2,2,0,2,8,2.1972245773362196,1,1,2,3,1,8,3,3,8,1,596.0
162,5.093750200806762,0,2,1,2,14,2.70805020110221,1,1,2,4,0,4,6,8,2,0,257.0
338,5.82600010738045,2,3,2,8,27,3.332204510175204,1,0,0,2,6,7,0,9,1,0,534.0
794,6.678342114654332,2,4,3,4,16,2.833213344056216,1,1,1,1,2,6,9,11,2,0,1207.0
154,5.043425116919247,1,4,0,4,33,3.5263605246161616,1,0,0,3,5,3,13,12,11,0,264.0
484,6.184148890937483,1,4,1,4,43,3.784189633918261,1,0,1,3,1,3,17,14,1,0,769.0
638,6.459904454377535,2,3,1,8,1,0.6931471805599453,1,0,1,1,1,1,12,5,1,1,958.0
728,6.591673732008658,2,3,0,8,41,3.7376696182833684,1,0,2,1,6,1,13,16,1,0,1133.0
732,6.597145701886651,0,2,4,2,34,3.5553480614894135,1,1,1,4,6,4,9,16,2,0,1132.0
896,6.799055862058796,2,1,0,6,13,2.6390573296152584,1,0,1,3,6,3,10,6,1,0,1357.0
512,6.240275845170769,2,2,1,2,25,3.258096538021482,1,0,1,0,4,5,19,8,1,0,793.0
1034,6.942156705699469,2,4,5,4,33,3.5263605246161616,1,0,0,3,5,3,10,4,11,0,1584.0
1132,7.0326242610280065,1,2,5,2,9,2.302585092994046,1,0,0,4,2,9,3,7,1,0,1707.0
1156,7.053585727193677,1,1,1,6,32,3.4965075614664802,1,1,2,2,4,2,5,5,4,0,1766.0
1038,6.946013991099227,0,3,2,8,38,3.6635616461296463,1,1,2,3,3,8,19,8,2,0,1595.0
490,6.19644412779452,1,0,0,0,19,2.995732273553991,1,0,1,4,5,9,3,4,1,0,754.0
630,6.447305862541213,0,0,0,0,4,1.6094379124341003,1,1,1,4,4,4,1,11,2,0,949.0
430,6.066108090103747,1,0,3,0,12,2.5649493574615367,1,1,0,2,5,2,6,10,2,0,657.0
144,4.976733742420574,0,4,4,4,6,1.9459101490553132,1,1,0,1,6,6,10,1,6,1,222.0
590,6.3818160174060985,2,0,2,0,47,3.871201010907891,1,0,2,2,5,7,0,3,1,0,932.0
554,6.318968113746434,2,4,1,4,45,3.828641396489095,1,0,0,0,3,5,19,9,1,0,876.0
358,5.883322388488279,1,3,1,8,37,3.6375861597263857,1,0,1,2,2,7,4,12,1,0,574.0
654,6.484635235635252,0,4,3,4,41,3.7376696182833684,1,0,2,1,6,1,18,9,1,0,1022.0
338,5.82600010738045,2,3,2,8,4,1.6094379124341003,1,1,1,4,4,4,8,19,2,0,511.0
