slot_name_a,slot_name_b,slot_a_yesterday,slot_a_yesterday_abs_log1p,slot_a_yesterday_is_even,slot_a_yesterday_mod3,slot_a_yesterday_mod5,slot_a_yesterday_mod7,slot_a_yesterday_mod10,slot_b_yesterday,slot_b_yesterday_abs_log1p,slot_b_yesterday_is_even,slot_b_yesterday_mod3,slot_b_yesterday_mod5,slot_b_yesterday_mod7,slot_b_yesterday_mod10,slot_delta,slot_delta_abs_log1p,slot_delta_is_even,slot_delta_mod3,slot_delta_mod5,slot_delta_mod7,slot_delta_mod10,gcd_all,n_multiple_pairs,y
2,11,61,4.127134385045092,0,1,1,5,1,19,2.995732273553991,0,1,4,5,9,13,2.6390573296152584,0,1,3,6,3,1,0,74.0
3,9,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,24,3.2188758248682006,1,0,4,3,4,1,1,59.0
2,6,21,3.091042453358316,0,0,1,0,1,50,3.9318256327243257,1,2,0,1,0,13,2.6390573296152584,0,1,3,6,3,1,0,34.0
2,6,39,3.6888794541139363,0,0,4,4,9,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,1,0,43.0
7,3,45,3.828641396489095,0,0,0,3,5,39,3.6888794541139363,0,0,4,4,9,11,2.4849066497880004,0,2,1,4,1,1,0,56.0
1,6,52,3.970291913552122,1,1,2,3,2,34,3.5553480614894135,1,1,4,6,4,15,2.772588722239781,0,0,0,1,5,1,0,67.0
7,5,35,3.58351893845611,0,2,0,0,5,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,1,0,39.0
10,5,37,3.6375861597263857,0,1,2,2,7,69,4.248495242049359,0,0,4,6,9,5,1.791759469228055,0,2,0,5,5,1,0,42.0
10,2,34,3.5553480614894135,1,1,4,6,4,55,4.02535169073515,0,1,0,6,5,1,0.6931471805599453,0,1,1,1,1,1,2,35.0
3,10,54,4.007333185232471,1,0,4,5,4,61,4.127134385045092,0,1,1,5,1,10,2.3978952727983707,1,1,0,3,0,1,0,64.0
11,13,11,2.4849066497880004,0,2,1,4,1,14,2.70805020110221,1,2,4,0,4,15,2.772588722239781,0,0,0,1,5,1,0,26.0
10,9,76,4.343805421853684,1,1,1,6,6,17,2.8903717578961645,0,2,2,3,7,7,2.0794415416798357,0,1,2,0,7,1,0,83.0
3,14,3,1.3862943611198906,0,0,3,3,3,75,4.330733340286331,0,0,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,1,10.0
5,8,75,4.330733340286331,0,0,0,5,5,80,4.394449154672439,1,2,0,3,0,10,2.3978952727983707,1,1,0,3,0,5,1,85.0
4,5,37,3.6375861597263857,0,1,2,2,7,80,4.394449154672439,1,2,0,3,0,11,2.4849066497880004,0,2,1,4,1,1,0,48.0
11,8,65,4.189654742026425,0,2,0,2,5,11,2.4849066497880004,0,2,1,4,1,6,1.9459101490553132,1,0,1,6,6,1,0,71.0
4,0,3,1.3862943611198906,0,0,3,3,3,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,1,0,5.0
6,13,65,4.189654742026425,0,2,0,2,5,39,3.6888794541139363,0,0,4,4,9,8,2.1972245773362196,1,2,3,1,8,1,0,73.0
8,1,9,2.302585092994046,0,0,4,2,9,55,4.02535169073515,0,1,0,6,5,18,2.9444389791664403,1,0,3,4,8,1,1,27.0
10,4,78,4.3694478524670215,1,0,3,1,8,73,4.30406509320417,0,1,3,3,3,14,2.70805020110221,1,2,4,0,4,1,0,92.0
7,8,31,3.4657359027997265,0,1,1,3,1,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,0,37.0
4,3,36,3.6109179126442243,1,0,1,1,6,65,4.189654742026425,0,2,0,2,5,1,0.6931471805599453,0,1,1,1,1,1,2,37.0
4,1,30,3.4339872044851463,1,0,0,2,0,47,3.871201010907891,0,2,2,5,7,10,2.3978952727983707,1,1,0,3,0,1,1,40.0
5,1,73,4.30406509320417,0,1,3,3,3,25,3.258096538021482,0,1,0,4,5,20,3.044522437723423,1,2,0,6,0,1,0,93.0
5,14,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,21,3.091042453358316,0,0,1,0,1,1,1,31.0
4,10,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,14,2.70805020110221,1,2,4,0,4,1,0,26.0
2,12,77,4.356708826689592,0,2,2,0,7,51,3.9512437185814275,0,0,1,2,1,16,2.833213344056216,1,1,1,2,6,1,0,93.0
12,10,79,4.382026634673881,0,1,4,2,9,68,4.23410650459726,1,2,3,5,8,13,2.6390573296152584,0,1,3,6,3,1,0,92.0
5,6,62,4.143134726391533,1,2,2,6,2,70,4.2626798770413155,1,1,0,0,0,18,2.9444389791664403,1,0,3,4,8,2,0,80.0
9,5,41,3.7376696182833684,0,2,1,6,1,29,3.4011973816621555,0,2,4,1,9,22,3.1354942159291497,1,1,2,1,2,1,0,63.0
0,13,59,4.0943445622221,0,2,4,3,9,6,1.9459101490553132,1,0,1,6,6,14,2.70805020110221,1,2,4,0,4,1,0,73.0
9,1,60,4.110873864173311,1,0,0,4,0,77,4.356708826689592,0,2,2,0,7,7,2.0794415416798357,0,1,2,0,7,1,1,67.0
13,0,17,2.8903717578961645,0,2,2,3,7,56,4.04305126783455,1,2,1,0,6,19,2.995732273553991,0,1,4,5,9,1,0,36.0
4,6,40,3.713572066704308,1,1,0,5,0,6,1.9459101490553132,1,0,1,6,6,17,2.8903717578961645,0,2,2,3,7,1,0,57.0
9,4,67,4.219507705176107,0,1,2,4,7,33,3.5263605246161616,0,0,3,5,3,21,3.091042453358316,0,0,1,0,1,1,0,88.0
4,12,77,4.356708826689592,0,2,2,0,7,57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,1,1,80.0
12,14,36,3.6109179126442243,1,0,1,1,6,72,4.290459441148391,1,0,2,2,2,16,2.833213344056216,1,1,1,2,6,4,1,52.0
3,11,23,3.1780538303479458,0,2,3,2,3,57,4.060443010546419,0,0,2,1,7,16,2.833213344056216,1,1,1,2,6,1,0,39.0
4,9,80,4.394449154672439,1,2,0,3,0,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,1,0,91.0
13,9,31,3.4657359027997265,0,1,1,3,1,58,4.07753744390572,1,1,3,2,8,3,1.3862943611198906,0,0,3,3,3,1,0,34.0
10,1,9,2.302585092994046,0,0,4,2,9,27,3.332204510175204,0,0,2,6,7,3,1.3862943611198906,0,0,3,3,3,3,3,12.0
5,6,21,3.091042453358316,0,0,1,0,1,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,1,1,45.0
12,1,23,3.1780538303479458,0,2,3,2,3,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,1,0,29.0
11,3,69,4.248495242049359,0,0,4,6,9,65,4.189654742026425,0,2,0,2,5,23,3.1780538303479458,0,2,3,2,3,1,1,92.0
14,6,42,3.7612001156935624,1,0,2,0,2,6,1.9459101490553132,1,0,1,6,6,22,3.1354942159291497,1,1,2,1,2,2,1,64.0
14,6,27,3.332204510175204,0,0,2,6,7,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,1,0,29.0
4,14,27,3.332204510175204,0,0,2,6,7,13,2.6390573296152584,0,1,3,6,3,15,2.772588722239781,0,0,0,1,5,1,0,42.0
12,1,25,3.258096538021482,0,1,0,4,5,15,2.772588722239781,0,0,0,1,5,16,2.833213344056216,1,1,1,2,6,1,0,41.0
8,8,69,4.248495242049359,0,0,4,6,9,13,2.6390573296152584,0,1,3,6,3,15,2.772588722239781,0,0,0,1,5,1,0,84.0
8,1,70,4.2626798770413155,1,1,0,0,0,37,3.6375861597263857,0,1,2,2,7,8,2.1972245773362196,1,2,3,1,8,1,0,78.0
5,4,38,3.6635616461296463,1,2,3,3,8,72,4.290459441148391,1,0,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,2,40.0
5,9,11,2.4849066497880004,0,2,1,4,1,79,4.382026634673881,0,1,4,2,9,25,3.258096538021482,0,1,0,4,5,1,0,36.0
7,8,18,2.9444389791664403,1,0,3,4,8,37,3.6375861597263857,0,1,2,2,7,11,2.4849066497880004,0,2,1,4,1,1,0,29.0
10,7,57,4.060443010546419,0,0,2,1,7,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,1,0,68.0
2,13,68,4.23410650459726,1,2,3,5,8,46,3.8501476017100584,1,1,1,4,6,23,3.1780538303479458,0,2,3,2,3,1,1,91.0
8,8,76,4.343805421853684,1,1,1,6,6,26,3.295836866004329,1,2,1,5,6,18,2.9444389791664403,1,0,3,4,8,2,0,94.0
13,6,24,3.2188758248682006,1,0,4,3,4,54,4.007333185232471,1,0,4,5,4,12,2.5649493574615367,1,0,2,5,2,6,1,36.0
14,14,75,4.330733340286331,0,0,0,5,5,27,3.332204510175204,0,0,2,6,7,7,2.0794415416798357,0,1,2,0,7,1,0,82.0
7,4,76,4.343805421853684,1,1,1,6,6,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,1,1,81.0
2,14,54,4.007333185232471,1,0,4,5,4,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,1,0,75.0
0,0,3,1.3862943611198906,0,0,3,3,3,24,3.2188758248682006,1,0,4,3,4,19,2.995732273553991,0,1,4,5,9,1,1,22.0
10,3,34,3.5553480614894135,1,1,4,6,4,64,4.174387269895637,1,1,4,1,4,11,2.4849066497880004,0,2,1,4,1,1,0,45.0
9,4,31,3.4657359027997265,0,1,1,3,1,46,3.8501476017100584,1,1,1,4,6,19,2.995732273553991,0,1,4,5,9,1,0,50.0
6,3,76,4.343805421853684,1,1,1,6,6,40,3.713572066704308,1,1,0,5,0,16,2.833213344056216,1,1,1,2,6,4,0,92.0
0,12,63,4.1588830833596715,0,0,3,0,3,48,3.8918202981106265,1,0,3,6,8,16,2.833213344056216,1,1,1,2,6,1,1,79.0
3,2,70,4.2626798770413155,1,1,0,0,0,14,2.70805020110221,1,2,4,0,4,14,2.70805020110221,1,2,4,0,4,14,3,84.0
13,3,9,2.302585092994046,0,0,4,2,9,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,1,0,11.0
7,12,59,4.0943445622221,0,2,4,3,9,79,4.382026634673881,0,1,4,2,9,8,2.1972245773362196,1,2,3,1,8,1,0,67.0
9,14,64,4.174387269895637,1,1,4,1,4,63,4.1588830833596715,0,0,3,0,3,11,2.4849066497880004,0,2,1,4,1,1,0,75.0
1,3,30,3.4339872044851463,1,0,0,2,0,79,4.382026634673881,0,1,4,2,9,17,2.8903717578961645,0,2,2,3,7,1,0,47.0
13,2,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,1,0,21.0
6,7,17,2.8903717578961645,0,2,2,3,7,29,3.4011973816621555,0,2,4,1,9,6,1.9459101490553132,1,0,1,6,6,1,0,23.0
5,12,41,3.7376696182833684,0,2,1,6,1,65,4.189654742026425,0,2,0,2,5,13,2.6390573296152584,0,1,3,6,3,1,1,54.0
8,5,43,3.784189633918261,0,1,3,1,3,77,4.356708826689592,0,2,2,0,7,7,2.0794415416798357,0,1,2,0,7,1,1,50.0
10,13,24,3.2188758248682006,1,0,4,3,4,63,4.1588830833596715,0,0,3,0,3,19,2.995732273553991,0,1,4,5,9,1,0,43.0
7,1,62,4.143134726391533,1,2,2,6,2,37,3.6375861597263857,0,1,2,2,7,13,2.6390573296152584,0,1,3,6,3,1,0,75.0
0,14,53,3.9889840465642745,0,2,3,4,3,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,1,0,57.0
12,4,28,3.367295829986474,1,1,3,0,8,80,4.394449154672439,1,2,0,3,0,23,3.1780538303479458,0,2,3,2,3,1,0,51.0
12,6,57,4.060443010546419,0,0,2,1,7,26,3.295836866004329,1,2,1,5,6,10,2.3978952727983707,1,1,0,3,0,1,0,67.0
7,1,52,3.970291913552122,1,1,2,3,2,48,3.8918202981106265,1,0,3,6,8,18,2.9444389791664403,1,0,3,4,8,2,0,70.0
14,7,9,2.302585092994046,0,0,4,2,9,16,2.833213344056216,1,1,1,2,6,11,2.4849066497880004,0,2,1,4,1,1,0,20.0
6,7,5,1.791759469228055,0,2,0,5,5,66,4.204692619390966,1,0,1,3,6,5,1.791759469228055,0,2,0,5,5,1,1,10.0
2,11,26,3.295836866004329,1,2,1,5,6,26,3.295836866004329,1,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,1,1,29.0
1,8,77,4.356708826689592,0,2,2,0,7,67,4.219507705176107,0,1,2,4,7,9,2.302585092994046,0,0,4,2,9,1,0,86.0
4,3,9,2.302585092994046,0,0,4,2,9,23,3.1780538303479458,0,2,3,2,3,5,1.791759469228055,0,2,0,5,5,1,0,14.0
5,7,41,3.7376696182833684,0,2,1,6,1,54,4.007333185232471,1,0,4,5,4,9,2.302585092994046,0,0,4,2,9,1,1,50.0
6,3,12,2.5649493574615367,1,0,2,5,2,34,3.5553480614894135,1,1,4,6,4,19,2.995732273553991,0,1,4,5,9,1,0,31.0
4,14,11,2.4849066497880004,0,2,1,4,1,30,3.4339872044851463,1,0,0,2,0,13,2.6390573296152584,0,1,3,6,3,1,0,24.0
4,2,56,4.04305126783455,1,2,1,0,6,78,4.3694478524670215,1,0,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,2,58.0
8,10,24,3.2188758248682006,1,0,4,3,4,18,2.9444389791664403,1,0,3,4,8,25,3.258096538021482,0,1,0,4,5,1,0,49.0
8,14,51,3.9512437185814275,0,0,1,2,1,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,1,0,70.0
0,0,57,4.060443010546419,0,0,2,1,7,51,3.9512437185814275,0,0,1,2,1,15,2.772588722239781,0,0,0,1,5,3,0,72.0
2,4,52,3.970291913552122,1,1,2,3,2,31,3.4657359027997265,0,1,1,3,1,24,3.2188758248682006,1,0,4,3,4,1,0,76.0
12,4,33,3.5263605246161616,0,0,3,5,3,60,4.110873864173311,1,0,0,4,0,15,2.772588722239781,0,0,0,1,5,3,1,48.0
13,13,56,4.04305126783455,1,2,1,0,6,56,4.04305126783455,1,2,1,0,6,20,3.044522437723423,1,2,0,6,0,4,1,76.0
3,5,16,2.833213344056216,1,1,1,2,6,12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,4,1,28.0
10,12,33,3.5263605246161616,0,0,3,5,3,43,3.784189633918261,0,1,3,1,3,19,2.995732273553991,0,1,4,5,9,1,0,52.0
4,2,59,4.0943445622221,0,2,4,3,9,22,3.1354942159291497,1,1,2,1,2,3,1.3862943611198906,0,0,3,3,3,1,0,62.0
13,14,57,4.060443010546419,0,0,2,1,7,41,3.7376696182833684,0,2,1,6,1,11,2.4849066497880004,0,2,1,4,1,1,0,68.0
4,11,12,2.5649493574615367,1,0,2,5,2,33,3.5263605246161616,0,0,3,5,3,17,2.8903717578961645,0,2,2,3,7,1,0,29.0
4,11,67,4.219507705176107,0,1,2,4,7,80,4.394449154672439,1,2,0,3,0,20,3.044522437723423,1,2,0,6,0,1,1,87.0
0,4,12,2.5649493574615367,1,0,2,5,2,60,4.110873864173311,1,0,0,4,0,14,2.70805020110221,1,2,4,0,4,2,1,26.0
12,7,55,4.02535169073515,0,1,0,6,5,8,2.1972245773362196,1,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,1,0,67.0
6,6,70,4.2626798770413155,1,1,0,0,0,31,3.4657359027997265,0,1,1,3,1,15,2.772588722239781,0,0,0,1,5,1,0,85.0
10,7,79,4.382026634673881,0,1,4,2,9,27,3.332204510175204,0,0,2,6,7,9,2.302585092994046,0,0,4,2,9,1,1,88.0
9,7,76,4.343805421853684,1,1,1,6,6,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,4,2,100.0
14,2,54,4.007333185232471,1,0,4,5,4,64,4.174387269895637,1,1,4,1,4,4,1.6094379124341003,1,1,4,4,4,2,1,58.0
9,7,59,4.0943445622221,0,2,4,3,9,44,3.8066624897703196,1,2,4,2,4,23,3.1780538303479458,0,2,3,2,3,1,0,82.0
14,7,59,4.0943445622221,0,2,4,3,9,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,64.0
13,10,25,3.258096538021482,0,1,0,4,5,48,3.8918202981106265,1,0,3,6,8,25,3.258096538021482,0,1,0,4,5,1,1,50.0
3,5,20,3.044522437723423,1,2,0,6,0,40,3.713572066704308,1,1,0,5,0,21,3.091042453358316,0,0,1,0,1,1,1,41.0
12,12,50,3.9318256327243257,1,2,0,1,0,59,4.0943445622221,0,2,4,3,9,9,2.302585092994046,0,0,4,2,9,1,0,59.0
11,7,11,2.4849066497880004,0,2,1,4,1,13,2.6390573296152584,0,1,3,6,3,11,2.4849066497880004,0,2,1,4,1,1,1,22.0
0,7,75,4.330733340286331,0,0,0,5,5,58,4.07753744390572,1,1,3,2,8,3,1.3862943611198906,0,0,3,3,3,1,1,78.0
6,8,28,3.367295829986474,1,1,3,0,8,78,4.3694478524670215,1,0,3,1,8,10,2.3978952727983707,1,1,0,3,0,2,0,38.0
12,10,72,4.290459441148391,1,0,2,2,2,58,4.07753744390572,1,1,3,2,8,4,1.6094379124341003,1,1,4,4,4,2,1,76.0
3,10,17,2.8903717578961645,0,2,2,3,7,39,3.6888794541139363,0,0,4,4,9,17,2.8903717578961645,0,2,2,3,7,1,1,34.0
6,1,68,4.23410650459726,1,2,3,5,8,75,4.330733340286331,0,0,0,5,5,13,2.6390573296152584,0,1,3,6,3,1,0,81.0
13,1,7,2.0794415416798357,0,1,2,0,7,29,3.4011973816621555,0,2,4,1,9,24,3.2188758248682006,1,0,4,3,4,1,0,31.0
7,8,67,4.219507705176107,0,1,2,4,7,9,2.302585092994046,0,0,4,2,9,22,3.1354942159291497,1,1,2,1,2,1,0,89.0
12,12,73,4.30406509320417,0,1,3,3,3,45,3.828641396489095,0,0,0,3,5,25,3.258096538021482,0,1,0,4,5,1,0,98.0
9,6,10,2.3978952727983707,1,1,0,3,0,55,4.02535169073515,0,1,0,6,5,25,3.258096538021482,0,1,0,4,5,5,0,35.0
2,12,62,4.143134726391533,1,2,2,6,2,17,2.8903717578961645,0,2,2,3,7,8,2.1972245773362196,1,2,3,1,8,1,0,70.0
8,14,10,2.3978952727983707,1,1,0,3,0,18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,1,0,17.0
5,0,35,3.58351893845611,0,2,0,0,5,38,3.6635616461296463,1,2,3,3,8,21,3.091042453358316,0,0,1,0,1,1,0,56.0
3,13,59,4.0943445622221,0,2,4,3,9,30,3.4339872044851463,1,0,0,2,0,22,3.1354942159291497,1,1,2,1,2,1,0,81.0
3,7,47,3.871201010907891,0,2,2,5,7,35,3.58351893845611,0,2,0,0,5,17,2.8903717578961645,0,2,2,3,7,1,0,64.0
14,7,33,3.5263605246161616,0,0,3,5,3,21,3.091042453358316,0,0,1,0,1,6,1.9459101490553132,1,0,1,6,6,3,0,39.0
7,10,52,3.970291913552122,1,1,2,3,2,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,1,2,53.0
5,1,50,3.9318256327243257,1,2,0,1,0,67,4.219507705176107,0,1,2,4,7,3,1.3862943611198906,0,0,3,3,3,1,0,53.0
6,2,15,2.772588722239781,0,0,0,1,5,38,3.6635616461296463,1,2,3,3,8,1,0.6931471805599453,0,1,1,1,1,1,2,16.0
11,14,20,3.044522437723423,1,2,0,6,0,29,3.4011973816621555,0,2,4,1,9,17,2.8903717578961645,0,2,2,3,7,1,0,37.0
2,13,73,4.30406509320417,0,1,3,3,3,55,4.02535169073515,0,1,0,6,5,7,2.0794415416798357,0,1,2,0,7,1,0,80.0
6,5,38,3.6635616461296463,1,2,3,3,8,45,3.828641396489095,0,0,0,3,5,10,2.3978952727983707,1,1,0,3,0,1,0,48.0
9,13,78,4.3694478524670215,1,0,3,1,8,28,3.367295829986474,1,1,3,0,8,18,2.9444389791664403,1,0,3,4,8,2,0,96.0
3,1,61,4.127134385045092,0,1,1,5,1,23,3.1780538303479458,0,2,3,2,3,4,1.6094379124341003,1,1,4,4,4,1,0,65.0
0,11,18,2.9444389791664403,1,0,3,4,8,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,1,1,23.0
14,8,38,3.6635616461296463,1,2,3,3,8,66,4.204692619390966,1,0,1,3,6,18,2.9444389791664403,1,0,3,4,8,2,0,56.0
1,8,34,3.5553480614894135,1,1,4,6,4,36,3.6109179126442243,1,0,1,1,6,19,2.995732273553991,0,1,4,5,9,1,0,53.0
7,9,29,3.4011973816621555,0,2,4,1,9,70,4.2626798770413155,1,1,0,0,0,25,3.258096538021482,0,1,0,4,5,1,0,54.0
12,6,63,4.1588830833596715,0,0,3,0,3,13,2.6390573296152584,0,1,3,6,3,12,2.5649493574615367,1,0,2,5,2,1,0,75.0
4,14,69,4.248495242049359,0,0,4,6,9,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,1,1,71.0
1,9,29,3.4011973816621555,0,2,4,1,9,39,3.6888794541139363,0,0,4,4,9,4,1.6094379124341003,1,1,4,4,4,1,0,33.0
13,12,68,4.23410650459726,1,2,3,5,8,34,3.5553480614894135,1,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,1,1,71.0
7,3,80,4.394449154672439,1,2,0,3,0,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,1,1,85.0
10,7,5,1.791759469228055,0,2,0,5,5,55,4.02535169073515,0,1,0,6,5,16,2.833213344056216,1,1,1,2,6,1,1,21.0
4,0,29,3.4011973816621555,0,2,4,1,9,38,3.6635616461296463,1,2,3,3,8,17,2.8903717578961645,0,2,2,3,7,1,0,46.0
11,11,55,4.02535169073515,0,1,0,6,5,42,3.7612001156935624,1,0,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,1,62.0
11,5,60,4.110873864173311,1,0,0,4,0,39,3.6888794541139363,0,0,4,4,9,24,3.2188758248682006,1,0,4,3,4,3,0,84.0
9,2,56,4.04305126783455,1,2,1,0,6,41,3.7376696182833684,0,2,1,6,1,23,3.1780538303479458,0,2,3,2,3,1,0,79.0
3,6,77,4.356708826689592,0,2,2,0,7,47,3.871201010907891,0,2,2,5,7,21,3.091042453358316,0,0,1,0,1,1,0,98.0
6,7,55,4.02535169073515,0,1,0,6,5,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,1,2,56.0
8,8,51,3.9512437185814275,0,0,1,2,1,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,1,0,70.0
