slot_person_name,slot_years_ahead,slot_years_ahead_abs_log1p,slot_years_ahead_is_even,slot_years_ahead_mod3,slot_years_ahead_mod5,slot_years_ahead_mod7,slot_years_ahead_mod10,slot_future_age,slot_future_age_abs_log1p,slot_future_age_is_even,slot_future_age_mod3,slot_future_age_mod5,slot_future_age_mod7,slot_future_age_mod10,slot_k,slot_k_abs_log1p,slot_k_is_even,slot_k_mod3,slot_k_mod5,slot_k_mod7,slot_k_mod10,gcd_all,n_multiple_pairs,y
7,19,2.995732273553991,0,1,4,5,9,73,4.30406509320417,0,1,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0,162.0
2,37,3.6375861597263857,0,1,2,2,7,84,4.442651256490317,1,0,4,0,4,6,1.9459101490553132,1,0,1,6,6,1,1,235.0
8,34,3.5553480614894135,1,1,4,6,4,38,3.6635616461296463,1,2,3,3,8,6,1.9459101490553132,1,0,1,6,6,2,0,20.0
8,33,3.5263605246161616,0,0,3,5,3,58,4.07753744390572,1,1,3,2,8,4,1.6094379124341003,1,1,4,4,4,1,0,75.0
8,38,3.6635616461296463,1,2,3,3,8,71,4.276666119016055,0,2,1,1,1,5,1.791759469228055,0,2,0,5,5,1,0,132.0
0,15,2.772588722239781,0,0,0,1,5,21,3.091042453358316,0,0,1,0,1,2,1.0986122886681098,1,2,2,2,2,1,0,6.0
6,37,3.6375861597263857,0,1,2,2,7,59,4.0943445622221,0,2,4,3,9,3,1.3862943611198906,0,0,3,3,3,1,0,44.0
4,32,3.4965075614664802,1,2,2,4,2,84,4.442651256490317,1,0,4,0,4,4,1.6094379124341003,1,1,4,4,4,4,2,156.0
9,28,3.367295829986474,1,1,3,0,8,43,3.784189633918261,0,1,3,1,3,4,1.6094379124341003,1,1,4,4,4,1,1,45.0
8,7,2.0794415416798357,0,1,2,0,7,57,4.060443010546419,0,0,2,1,7,5,1.791759469228055,0,2,0,5,5,1,0,200.0
4,9,2.302585092994046,0,0,4,2,9,36,3.6109179126442243,1,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,3,2,135.0
0,21,3.091042453358316,0,0,1,0,1,29,3.4011973816621555,0,2,4,1,9,4,1.6094379124341003,1,1,4,4,4,1,0,24.0
4,19,2.995732273553991,0,1,4,5,9,68,4.23410650459726,1,2,3,5,8,3,1.3862943611198906,0,0,3,3,3,1,0,98.0
4,12,2.5649493574615367,1,0,2,5,2,55,4.02535169073515,0,1,0,6,5,4,1.6094379124341003,1,1,4,4,4,1,1,129.0
2,28,3.367295829986474,1,1,3,0,8,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,2,2,2,2,2,2,10.0
1,8,2.1972245773362196,1,2,3,1,8,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,2,2,52.0
4,30,3.4339872044851463,1,0,0,2,0,55,4.02535169073515,0,1,0,6,5,4,1.6094379124341003,1,1,4,4,4,1,0,75.0
0,31,3.4657359027997265,0,1,1,3,1,74,4.31748811353631,1,2,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0,172.0
8,25,3.258096538021482,0,1,0,4,5,58,4.07753744390572,1,1,3,2,8,4,1.6094379124341003,1,1,4,4,4,1,0,99.0
3,12,2.5649493574615367,1,0,2,5,2,27,3.332204510175204,0,0,2,6,7,3,1.3862943611198906,0,0,3,3,3,3,2,30.0
1,13,2.6390573296152584,0,1,3,6,3,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,1,1,88.0
6,15,2.772588722239781,0,0,0,1,5,21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,1,1,24.0
6,35,3.58351893845611,0,2,0,0,5,91,4.5217885770490405,0,1,1,0,1,5,1.791759469228055,0,2,0,5,5,1,1,224.0
9,25,3.258096538021482,0,1,0,4,5,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,2,2,2,2,1,1,11.0
2,25,3.258096538021482,0,1,0,4,5,69,4.248495242049359,0,0,4,6,9,4,1.6094379124341003,1,1,4,4,4,1,0,132.0
9,40,3.713572066704308,1,1,0,5,0,84,4.442651256490317,1,0,4,0,4,3,1.3862943611198906,0,0,3,3,3,1,1,88.0
2,3,1.3862943611198906,0,0,3,3,3,33,3.5263605246161616,0,0,3,5,3,4,1.6094379124341003,1,1,4,4,4,1,1,90.0
0,6,1.9459101490553132,1,0,1,6,6,53,3.9889840465642745,0,2,3,4,3,6,1.9459101490553132,1,0,1,6,6,1,1,235.0
9,14,2.70805020110221,1,2,4,0,4,44,3.8066624897703196,1,2,4,2,4,5,1.791759469228055,0,2,0,5,5,1,0,120.0
9,13,2.6390573296152584,0,1,3,6,3,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,1,0,35.0
2,28,3.367295829986474,1,1,3,0,8,37,3.6375861597263857,0,1,2,2,7,2,1.0986122886681098,1,2,2,2,2,1,1,9.0
1,38,3.6635616461296463,1,2,3,3,8,97,4.584967478670572,0,1,2,6,7,2,1.0986122886681098,1,2,2,2,2,1,1,59.0
3,29,3.4011973816621555,0,2,4,1,9,32,3.4965075614664802,1,2,2,4,2,4,1.6094379124341003,1,1,4,4,4,1,1,9.0
6,20,3.044522437723423,1,2,0,6,0,51,3.9512437185814275,0,0,1,2,1,2,1.0986122886681098,1,2,2,2,2,1,1,31.0
9,16,2.833213344056216,1,1,1,2,6,41,3.7376696182833684,0,2,1,6,1,6,1.9459101490553132,1,0,1,6,6,1,0,125.0
0,7,2.0794415416798357,0,1,2,0,7,62,4.143134726391533,1,2,2,6,2,5,1.791759469228055,0,2,0,5,5,1,0,220.0
0,7,2.0794415416798357,0,1,2,0,7,42,3.7612001156935624,1,0,2,0,2,5,1.791759469228055,0,2,0,5,5,1,1,140.0
7,36,3.6109179126442243,1,0,1,1,6,41,3.7376696182833684,0,2,1,6,1,2,1.0986122886681098,1,2,2,2,2,1,1,5.0
9,40,3.713572066704308,1,1,0,5,0,97,4.584967478670572,0,1,2,6,7,6,1.9459101490553132,1,0,1,6,6,1,0,285.0
2,25,3.258096538021482,0,1,0,4,5,66,4.204692619390966,1,0,1,3,6,4,1.6094379124341003,1,1,4,4,4,1,0,123.0
3,1,0.6931471805599453,0,1,1,1,1,57,4.060443010546419,0,0,2,1,7,5,1.791759469228055,0,2,0,5,5,1,2,224.0
7,11,2.4849066497880004,0,2,1,4,1,51,3.9512437185814275,0,0,1,2,1,2,1.0986122886681098,1,2,2,2,2,1,0,40.0
5,28,3.367295829986474,1,1,3,0,8,72,4.290459441148391,1,0,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,1,88.0
6,9,2.302585092994046,0,0,4,2,9,65,4.189654742026425,0,2,0,2,5,4,1.6094379124341003,1,1,4,4,4,1,0,168.0
5,16,2.833213344056216,1,1,1,2,6,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,2,2,160.0
5,17,2.8903717578961645,0,2,2,3,7,39,3.6888794541139363,0,0,4,4,9,3,1.3862943611198906,0,0,3,3,3,1,1,44.0
3,23,3.1780538303479458,0,2,3,2,3,33,3.5263605246161616,0,0,3,5,3,6,1.9459101490553132,1,0,1,6,6,1,0,50.0
7,15,2.772588722239781,0,0,0,1,5,72,4.290459441148391,1,0,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,1,171.0
2,26,3.295836866004329,1,2,1,5,6,35,3.58351893845611,0,2,0,0,5,2,1.0986122886681098,1,2,2,2,2,1,1,9.0
4,14,2.70805020110221,1,2,4,0,4,35,3.58351893845611,0,2,0,0,5,4,1.6094379124341003,1,1,4,4,4,1,0,63.0
6,26,3.295836866004329,1,2,1,5,6,69,4.248495242049359,0,0,4,6,9,3,1.3862943611198906,0,0,3,3,3,1,1,86.0
7,10,2.3978952727983707,1,1,0,3,0,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,1,0,6.0
5,14,2.70805020110221,1,2,4,0,4,28,3.367295829986474,1,1,3,0,8,5,1.791759469228055,0,2,0,5,5,1,1,56.0
0,28,3.367295829986474,1,1,3,0,8,72,4.290459441148391,1,0,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,1,88.0
8,9,2.302585092994046,0,0,4,2,9,45,3.828641396489095,0,0,0,3,5,2,1.0986122886681098,1,2,2,2,2,1,1,36.0
7,38,3.6635616461296463,1,2,3,3,8,41,3.7376696182833684,0,2,1,6,1,4,1.6094379124341003,1,1,4,4,4,1,0,9.0
4,29,3.4011973816621555,0,2,4,1,9,69,4.248495242049359,0,0,4,6,9,3,1.3862943611198906,0,0,3,3,3,1,1,80.0
5,20,3.044522437723423,1,2,0,6,0,77,4.356708826689592,0,2,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,0,114.0
3,8,2.1972245773362196,1,2,3,1,8,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,1,1,31.0
5,38,3.6635616461296463,1,2,3,3,8,63,4.1588830833596715,0,0,3,0,3,3,1.3862943611198906,0,0,3,3,3,1,1,50.0
5,25,3.258096538021482,0,1,0,4,5,72,4.290459441148391,1,0,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,1,235.0
2,8,2.1972245773362196,1,2,3,1,8,27,3.332204510175204,0,0,2,6,7,4,1.6094379124341003,1,1,4,4,4,1,1,57.0
3,1,0.6931471805599453,0,1,1,1,1,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,1,2,111.0
1,22,3.1354942159291497,1,1,2,1,2,51,3.9512437185814275,0,0,1,2,1,4,1.6094379124341003,1,1,4,4,4,1,0,87.0
4,2,1.0986122886681098,1,2,2,2,2,54,4.007333185232471,1,0,4,5,4,2,1.0986122886681098,1,2,2,2,2,2,3,52.0
7,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,4,1.6094379124341003,1,1,4,4,4,1,0,45.0
9,1,0.6931471805599453,0,1,1,1,1,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,1,2,64.0
6,1,0.6931471805599453,0,1,1,1,1,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,1,3,70.0
2,10,2.3978952727983707,1,1,0,3,0,46,3.8501476017100584,1,1,1,4,6,5,1.791759469228055,0,2,0,5,5,1,1,144.0
0,26,3.295836866004329,1,2,1,5,6,72,4.290459441148391,1,0,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,184.0
0,31,3.4657359027997265,0,1,1,3,1,62,4.143134726391533,1,2,2,6,2,3,1.3862943611198906,0,0,3,3,3,1,1,62.0
1,13,2.6390573296152584,0,1,3,6,3,54,4.007333185232471,1,0,4,5,4,4,1.6094379124341003,1,1,4,4,4,1,0,123.0
6,30,3.4339872044851463,1,0,0,2,0,51,3.9512437185814275,0,0,1,2,1,5,1.791759469228055,0,2,0,5,5,1,1,84.0
7,30,3.4339872044851463,1,0,0,2,0,55,4.02535169073515,0,1,0,6,5,2,1.0986122886681098,1,2,2,2,2,1,1,25.0
0,40,3.713572066704308,1,1,0,5,0,97,4.584967478670572,0,1,2,6,7,2,1.0986122886681098,1,2,2,2,2,1,1,57.0
9,33,3.5263605246161616,0,0,3,5,3,75,4.330733340286331,0,0,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,168.0
5,6,1.9459101490553132,1,0,1,6,6,59,4.0943445622221,0,2,4,3,9,5,1.791759469228055,0,2,0,5,5,1,0,212.0
9,36,3.6109179126442243,1,0,1,1,6,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,3,2,48.0
3,37,3.6375861597263857,0,1,2,2,7,57,4.060443010546419,0,0,2,1,7,5,1.791759469228055,0,2,0,5,5,1,0,80.0
7,34,3.5553480614894135,1,1,4,6,4,66,4.204692619390966,1,0,1,3,6,5,1.791759469228055,0,2,0,5,5,1,0,128.0
9,1,0.6931471805599453,0,1,1,1,1,45,3.828641396489095,0,0,0,3,5,4,1.6094379124341003,1,1,4,4,4,1,2,132.0
9,5,1.791759469228055,0,2,0,5,5,44,3.8066624897703196,1,2,4,2,4,5,1.791759469228055,0,2,0,5,5,1,1,156.0
0,11,2.4849066497880004,0,2,1,4,1,36,3.6109179126442243,1,0,1,1,6,5,1.791759469228055,0,2,0,5,5,1,0,100.0
8,36,3.6109179126442243,1,0,1,1,6,88,4.48863636973214,1,1,3,4,8,6,1.9459101490553132,1,0,1,6,6,2,1,260.0
7,35,3.58351893845611,0,2,0,0,5,74,4.31748811353631,1,2,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,0,117.0
2,5,1.791759469228055,0,2,0,5,5,64,4.174387269895637,1,1,4,1,4,6,1.9459101490553132,1,0,1,6,6,1,0,295.0
8,38,3.6635616461296463,1,2,3,3,8,69,4.248495242049359,0,0,4,6,9,3,1.3862943611198906,0,0,3,3,3,1,1,62.0
0,29,3.4011973816621555,0,2,4,1,9,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,1,1,95.0
0,15,2.772588722239781,0,0,0,1,5,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,3,2,42.0
6,20,3.044522437723423,1,2,0,6,0,47,3.871201010907891,0,2,2,5,7,2,1.0986122886681098,1,2,2,2,2,1,1,27.0
4,33,3.5263605246161616,0,0,3,5,3,38,3.6635616461296463,1,2,3,3,8,3,1.3862943611198906,0,0,3,3,3,1,1,10.0
4,40,3.713572066704308,1,1,0,5,0,57,4.060443010546419,0,0,2,1,7,2,1.0986122886681098,1,2,2,2,2,1,1,17.0
0,40,3.713572066704308,1,1,0,5,0,95,4.564348191467836,0,2,0,4,5,4,1.6094379124341003,1,1,4,4,4,1,1,165.0
1,24,3.2188758248682006,1,0,4,3,4,33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,3,2,18.0
3,24,3.2188758248682006,1,0,4,3,4,49,3.912023005428146,0,1,4,0,9,3,1.3862943611198906,0,0,3,3,3,1,1,50.0
5,17,2.8903717578961645,0,2,2,3,7,66,4.204692619390966,1,0,1,3,6,5,1.791759469228055,0,2,0,5,5,1,0,196.0
3,30,3.4339872044851463,1,0,0,2,0,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,2,2,2,2,2,2,6.0
5,30,3.4339872044851463,1,0,0,2,0,53,3.9889840465642745,0,2,3,4,3,2,1.0986122886681098,1,2,2,2,2,1,1,23.0
5,15,2.772588722239781,0,0,0,1,5,71,4.276666119016055,0,2,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,0,168.0
4,1,0.6931471805599453,0,1,1,1,1,53,3.9889840465642745,0,2,3,4,3,6,1.9459101490553132,1,0,1,6,6,1,2,260.0
3,16,2.833213344056216,1,1,1,2,6,63,4.1588830833596715,0,0,3,0,3,2,1.0986122886681098,1,2,2,2,2,1,1,47.0
0,25,3.258096538021482,0,1,0,4,5,60,4.110873864173311,1,0,0,4,0,6,1.9459101490553132,1,0,1,6,6,1,1,175.0
9,29,3.4011973816621555,0,2,4,1,9,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,1,1,33.0
1,5,1.791759469228055,0,2,0,5,5,39,3.6888794541139363,0,0,4,4,9,3,1.3862943611198906,0,0,3,3,3,1,1,68.0
0,32,3.4965075614664802,1,2,2,4,2,72,4.290459441148391,1,0,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,2,40.0
6,32,3.4965075614664802,1,2,2,4,2,80,4.394449154672439,1,2,0,3,0,3,1.3862943611198906,0,0,3,3,3,1,0,96.0
7,18,2.9444389791664403,1,0,3,4,8,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,2,1,126.0
7,33,3.5263605246161616,0,0,3,5,3,85,4.454347296253507,0,1,0,1,5,2,1.0986122886681098,1,2,2,2,2,1,0,52.0
1,33,3.5263605246161616,0,0,3,5,3,90,4.51085950651685,1,0,0,6,0,2,1.0986122886681098,1,2,2,2,2,1,1,57.0
4,37,3.6375861597263857,0,1,2,2,7,90,4.51085950651685,1,0,0,6,0,6,1.9459101490553132,1,0,1,6,6,1,1,265.0
1,40,3.713572066704308,1,1,0,5,0,85,4.454347296253507,0,1,0,1,5,2,1.0986122886681098,1,2,2,2,2,1,1,45.0
0,40,3.713572066704308,1,1,0,5,0,97,4.584967478670572,0,1,2,6,7,3,1.3862943611198906,0,0,3,3,3,1,0,114.0
3,36,3.6109179126442243,1,0,1,1,6,78,4.3694478524670215,1,0,3,1,8,4,1.6094379124341003,1,1,4,4,4,2,1,126.0
8,16,2.833213344056216,1,1,1,2,6,54,4.007333185232471,1,0,4,5,4,5,1.791759469228055,0,2,0,5,5,1,0,152.0
1,20,3.044522437723423,1,2,0,6,0,54,4.007333185232471,1,0,4,5,4,3,1.3862943611198906,0,0,3,3,3,1,1,68.0
0,15,2.772588722239781,0,0,0,1,5,51,3.9512437185814275,0,0,1,2,1,2,1.0986122886681098,1,2,2,2,2,1,0,36.0
3,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,1,7.0
1,19,2.995732273553991,0,1,4,5,9,44,3.8066624897703196,1,2,4,2,4,5,1.791759469228055,0,2,0,5,5,1,0,100.0
5,20,3.044522437723423,1,2,0,6,0,39,3.6888794541139363,0,0,4,4,9,6,1.9459101490553132,1,0,1,6,6,1,0,95.0
5,22,3.1354942159291497,1,1,2,1,2,49,3.912023005428146,0,1,4,0,9,4,1.6094379124341003,1,1,4,4,4,1,0,81.0
8,18,2.9444389791664403,1,0,3,4,8,53,3.9889840465642745,0,2,3,4,3,6,1.9459101490553132,1,0,1,6,6,1,1,175.0
4,10,2.3978952727983707,1,1,0,3,0,28,3.367295829986474,1,1,3,0,8,6,1.9459101490553132,1,0,1,6,6,2,0,90.0
4,8,2.1972245773362196,1,2,3,1,8,66,4.204692619390966,1,0,1,3,6,5,1.791759469228055,0,2,0,5,5,1,0,232.0
0,40,3.713572066704308,1,1,0,5,0,98,4.59511985013459,1,2,3,0,8,3,1.3862943611198906,0,0,3,3,3,1,0,116.0
8,20,3.044522437723423,1,2,0,6,0,80,4.394449154672439,1,2,0,3,0,6,1.9459101490553132,1,0,1,6,6,2,1,300.0
9,7,2.0794415416798357,0,1,2,0,7,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,1,0,44.0
8,37,3.6375861597263857,0,1,2,2,7,74,4.31748811353631,1,2,4,4,4,2,1.0986122886681098,1,2,2,2,2,1,2,37.0
5,11,2.4849066497880004,0,2,1,4,1,50,3.9318256327243257,1,2,0,1,0,3,1.3862943611198906,0,0,3,3,3,1,0,78.0
9,8,2.1972245773362196,1,2,3,1,8,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,4,3,24.0
6,30,3.4339872044851463,1,0,0,2,0,87,4.477336814478207,0,0,2,3,7,4,1.6094379124341003,1,1,4,4,4,1,0,171.0
1,12,2.5649493574615367,1,0,2,5,2,17,2.8903717578961645,0,2,2,3,7,6,1.9459101490553132,1,0,1,6,6,1,1,25.0
4,28,3.367295829986474,1,1,3,0,8,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,1,0,135.0
8,29,3.4011973816621555,0,2,4,1,9,55,4.02535169073515,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,1,1,104.0
9,27,3.332204510175204,0,0,2,6,7,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,1,0,12.0
3,27,3.332204510175204,0,0,2,6,7,33,3.5263605246161616,0,0,3,5,3,6,1.9459101490553132,1,0,1,6,6,3,0,30.0
1,28,3.367295829986474,1,1,3,0,8,72,4.290459441148391,1,0,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,1,88.0
0,21,3.091042453358316,0,0,1,0,1,73,4.30406509320417,0,1,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,0,260.0
1,4,1.6094379124341003,1,1,4,4,4,27,3.332204510175204,0,0,2,6,7,6,1.9459101490553132,1,0,1,6,6,1,0,115.0
7,16,2.833213344056216,1,1,1,2,6,48,3.8918202981106265,1,0,3,6,8,3,1.3862943611198906,0,0,3,3,3,1,2,64.0
6,14,2.70805020110221,1,2,4,0,4,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,2,2,4.0
2,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,2,1.0986122886681098,1,2,2,2,2,1,1,15.0
9,29,3.4011973816621555,0,2,4,1,9,57,4.060443010546419,0,0,2,1,7,5,1.791759469228055,0,2,0,5,5,1,0,112.0
7,14,2.70805020110221,1,2,4,0,4,49,3.912023005428146,0,1,4,0,9,6,1.9459101490553132,1,0,1,6,6,1,0,175.0
8,30,3.4339872044851463,1,0,0,2,0,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,2,2,2,2,2,2,8.0
3,21,3.091042453358316,0,0,1,0,1,28,3.367295829986474,1,1,3,0,8,6,1.9459101490553132,1,0,1,6,6,1,0,35.0
8,22,3.1354942159291497,1,1,2,1,2,55,4.02535169073515,0,1,0,6,5,2,1.0986122886681098,1,2,2,2,2,1,1,33.0
0,26,3.295836866004329,1,2,1,5,6,78,4.3694478524670215,1,0,3,1,8,4,1.6094379124341003,1,1,4,4,4,2,1,156.0
5,8,2.1972245773362196,1,2,3,1,8,61,4.127134385045092,0,1,1,5,1,2,1.0986122886681098,1,2,2,2,2,1,1,53.0
6,11,2.4849066497880004,0,2,1,4,1,52,3.970291913552122,1,1,2,3,2,4,1.6094379124341003,1,1,4,4,4,1,1,123.0
9,27,3.332204510175204,0,0,2,6,7,66,4.204692619390966,1,0,1,3,6,3,1.3862943611198906,0,0,3,3,3,3,2,78.0
3,17,2.8903717578961645,0,2,2,3,7,70,4.2626798770413155,1,1,0,0,0,6,1.9459101490553132,1,0,1,6,6,1,0,265.0
7,1,0.6931471805599453,0,1,1,1,1,40,3.713572066704308,1,1,0,5,0,4,1.6094379124341003,1,1,4,4,4,1,3,117.0
5,30,3.4339872044851463,1,0,0,2,0,55,4.02535169073515,0,1,0,6,5,2,1.0986122886681098,1,2,2,2,2,1,1,25.0
7,25,3.258096538021482,0,1,0,4,5,45,3.828641396489095,0,0,0,3,5,6,1.9459101490553132,1,0,1,6,6,1,0,100.0
9,17,2.8903717578961645,0,2,2,3,7,41,3.7376696182833684,0,2,1,6,1,4,1.6094379124341003,1,1,4,4,4,1,0,72.0
6,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,1,0,25.0
1,14,2.70805020110221,1,2,4,0,4,43,3.784189633918261,0,1,3,1,3,2,1.0986122886681098,1,2,2,2,2,1,1,29.0
9,21,3.091042453358316,0,0,1,0,1,65,4.189654742026425,0,2,0,2,5,2,1.0986122886681098,1,2,2,2,2,1,0,44.0
7,10,2.3978952727983707,1,1,0,3,0,52,3.970291913552122,1,1,2,3,2,4,1.6094379124341003,1,1,4,4,4,2,1,126.0
6,22,3.1354942159291497,1,1,2,1,2,66,4.204692619390966,1,0,1,3,6,5,1.791759469228055,0,2,0,5,5,1,1,176.0
6,36,3.6109179126442243,1,0,1,1,6,44,3.8066624897703196,1,2,4,2,4,6,1.9459101490553132,1,0,1,6,6,2,1,40.0
9,5,1.791759469228055,0,2,0,5,5,47,3.871201010907891,0,2,2,5,7,2,1.0986122886681098,1,2,2,2,2,1,0,42.0
0,27,3.332204510175204,0,0,2,6,7,87,4.477336814478207,0,0,2,3,7,3,1.3862943611198906,0,0,3,3,3,3,2,120.0
6,13,2.6390573296152584,0,1,3,6,3,56,4.04305126783455,1,2,1,0,6,2,1.0986122886681098,1,2,2,2,2,1,1,43.0
3,15,2.772588722239781,0,0,0,1,5,24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,1,1,27.0
6,22,3.1354942159291497,1,1,2,1,2,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,2,2,26.0
3,26,3.295836866004329,1,2,1,5,6,51,3.9512437185814275,0,0,1,2,1,2,1.0986122886681098,1,2,2,2,2,1,1,25.0
5,11,2.4849066497880004,0,2,1,4,1,61,4.127134385045092,0,1,1,5,1,5,1.791759469228055,0,2,0,5,5,1,0,200.0
