slot_name_r,slot_name_m,slot_name_a,slot_s_r,slot_s_r_abs_log1p,slot_s_r_is_even,slot_s_r_mod3,slot_s_r_mod5,slot_s_r_mod7,slot_s_r_mod10,slot_diff_m,slot_diff_m_abs_log1p,slot_diff_m_is_even,slot_diff_m_mod3,slot_diff_m_mod5,slot_diff_m_mod7,slot_diff_m_mod10,slot_diff_a,slot_diff_a_abs_log1p,slot_diff_a_is_even,slot_diff_a_mod3,slot_diff_a_mod5,slot_diff_a_mod7,slot_diff_a_mod10,slot_item_plural,slot_context,gcd_all,n_multiple_pairs,y
8,13,1,24,3.2188758248682006,1,0,4,3,4,22,3.1354942159291497,1,1,2,1,2,23,3.1780538303479458,0,2,3,2,3,7,3,1,0,27.0
12,14,12,34,3.5553480614894135,1,1,4,6,4,17,2.8903717578961645,0,2,2,3,7,28,3.367295829986474,1,1,3,0,8,6,8,1,1,57.0
13,8,13,102,4.634728988229636,1,0,2,4,2,45,3.828641396489095,0,0,0,3,5,99,4.605170185988092,0,0,4,1,9,2,1,3,0,162.0
14,15,14,29,3.4011973816621555,0,2,4,1,9,25,3.258096538021482,0,1,0,4,5,20,3.044522437723423,1,2,0,6,0,2,2,1,0,42.0
15,4,8,75,4.330733340286331,0,0,0,5,5,59,4.0943445622221,0,2,4,3,9,37,3.6375861597263857,0,1,2,2,7,0,2,1,0,129.0
16,16,0,176,5.176149732573829,1,2,1,1,6,132,4.890349128221754,1,0,2,6,2,128,4.859812404361672,1,2,3,2,8,8,6,4,0,268.0
8,17,15,133,4.897839799950911,0,1,3,0,3,21,3.091042453358316,0,0,1,0,1,47,3.871201010907891,0,2,2,5,7,6,1,1,0,331.0
17,13,15,199,5.298317366548036,0,1,4,3,9,195,5.278114659230517,0,0,0,6,5,195,5.278114659230517,0,0,0,6,5,6,5,1,1,207.0
9,15,5,48,3.8918202981106265,1,0,3,6,8,45,3.828641396489095,0,0,0,3,5,7,2.0794415416798357,0,1,2,0,7,4,0,1,0,92.0
3,18,16,174,5.1647859739235145,1,0,4,6,4,54,4.007333185232471,1,0,4,5,4,86,4.465908118654584,1,2,1,2,6,8,8,2,0,382.0
18,1,12,166,5.117993812416755,1,1,1,5,6,124,4.8283137373023015,1,1,4,5,4,15,2.772588722239781,0,0,0,1,5,4,4,1,0,359.0
9,19,2,74,4.31748811353631,1,2,4,4,4,57,4.060443010546419,0,0,2,1,7,21,3.091042453358316,0,0,1,0,1,5,9,1,0,144.0
5,5,9,191,5.2574953720277815,0,2,1,2,1,13,2.6390573296152584,0,1,3,6,3,122,4.812184355372417,1,2,2,3,2,2,9,1,0,438.0
16,20,15,66,4.204692619390966,1,0,1,3,6,29,3.4011973816621555,0,2,4,1,9,47,3.871201010907891,0,2,2,5,7,2,8,1,0,122.0
1,18,17,126,4.844187086458591,1,0,1,0,6,33,3.5263605246161616,0,0,3,5,3,85,4.454347296253507,0,1,0,1,5,9,0,1,0,260.0
16,21,18,117,4.770684624465665,0,0,2,5,7,59,4.0943445622221,0,2,4,3,9,72,4.290459441148391,1,0,2,2,2,10,2,1,0,220.0
19,19,9,130,4.875197323201151,1,1,0,4,0,127,4.852030263919617,0,1,2,1,7,101,4.624972813284271,0,2,1,3,1,9,3,1,0,162.0
2,15,6,81,4.406719247264253,0,0,1,4,1,76,4.343805421853684,1,1,1,6,6,38,3.6635616461296463,1,2,3,3,8,7,9,1,1,129.0
0,22,17,142,4.962844630259907,1,1,2,2,2,117,4.770684624465665,0,0,2,5,7,87,4.477336814478207,0,0,2,3,7,1,1,1,0,222.0
18,23,19,193,5.267858159063328,0,1,3,4,3,142,4.962844630259907,1,1,2,2,2,117,4.770684624465665,0,0,2,5,7,5,3,1,0,320.0
13,16,20,137,4.927253685157205,0,2,2,4,7,5,1.791759469228055,0,2,0,5,5,81,4.406719247264253,0,0,1,4,1,4,1,1,0,325.0
10,20,16,126,4.844187086458591,1,0,1,0,6,76,4.343805421853684,1,1,1,6,6,55,4.02535169073515,0,1,0,6,5,4,9,1,0,247.0
14,12,4,95,4.564348191467836,0,2,0,4,5,59,4.0943445622221,0,2,4,3,9,93,4.543294782270004,0,0,3,2,3,2,8,1,0,133.0
20,0,21,138,4.9344739331306915,1,0,3,5,8,62,4.143134726391533,1,2,2,6,2,99,4.605170185988092,0,0,4,1,9,10,2,1,0,253.0
19,24,9,106,4.672828834461906,1,1,1,1,6,31,3.4657359027997265,0,1,1,3,1,6,1.9459101490553132,1,0,1,6,6,2,1,1,0,281.0
21,23,6,192,5.262690188904886,1,0,2,3,2,36,3.6109179126442243,1,0,1,1,6,17,2.8903717578961645,0,2,2,3,7,7,5,1,0,523.0
22,11,8,143,4.969813299576001,0,2,3,3,3,83,4.430816798843313,0,2,3,6,3,98,4.59511985013459,1,2,3,0,8,6,7,1,0,248.0
3,19,5,181,5.204006687076795,0,1,1,6,1,97,4.584967478670572,0,1,2,6,7,17,2.8903717578961645,0,2,2,3,7,9,3,1,0,429.0
10,18,22,146,4.990432586778736,1,2,1,6,6,137,4.927253685157205,0,2,2,4,7,94,4.553876891600541,1,1,4,3,4,8,6,1,0,207.0
18,3,23,180,5.198497031265826,1,0,0,5,0,112,4.727387818712341,1,1,2,0,2,123,4.820281565605037,0,0,3,4,3,3,4,1,0,305.0
0,8,18,152,5.030437921392435,1,2,2,5,2,60,4.110873864173311,1,0,0,4,0,57,4.060443010546419,0,0,2,1,7,4,3,1,0,339.0
22,9,24,188,5.241747015059643,1,2,3,6,8,73,4.30406509320417,0,1,3,3,3,136,4.919980925828125,1,1,1,3,6,9,7,1,0,355.0
23,1,4,155,5.049856007249537,0,2,0,1,5,138,4.9344739331306915,1,0,3,5,8,144,4.976733742420574,1,0,4,4,4,1,4,1,0,183.0
24,25,25,119,4.787491742782046,0,2,4,0,9,117,4.770684624465665,0,0,2,5,7,108,4.6913478822291435,1,0,3,3,8,2,7,1,0,132.0
4,21,12,58,4.07753744390572,1,1,3,2,8,49,3.912023005428146,0,1,4,0,9,56,4.04305126783455,1,2,1,0,6,1,4,1,0,69.0
4,9,21,75,4.330733340286331,0,0,0,5,5,8,2.1972245773362196,1,2,3,1,8,47,3.871201010907891,0,2,2,5,7,10,3,1,0,170.0
18,15,10,62,4.143134726391533,1,2,2,6,2,60,4.110873864173311,1,0,0,4,0,9,2.302585092994046,0,0,4,2,9,0,1,1,0,117.0
11,21,26,50,3.9318256327243257,1,2,0,1,0,46,3.8501476017100584,1,1,1,4,6,24,3.2188758248682006,1,0,4,3,4,2,4,2,0,80.0
15,23,17,109,4.700480365792417,0,1,4,4,9,13,2.6390573296152584,0,1,3,6,3,94,4.553876891600541,1,1,4,3,4,5,8,1,0,220.0
7,24,10,127,4.852030263919617,0,1,2,1,7,93,4.543294782270004,0,0,3,2,3,37,3.6375861597263857,0,1,2,2,7,7,7,1,0,251.0
25,18,0,179,5.19295685089021,0,2,4,4,9,39,3.6888794541139363,0,0,4,4,9,46,3.8501476017100584,1,1,1,4,6,10,5,1,0,452.0
10,1,16,47,3.871201010907891,0,2,2,5,7,12,2.5649493574615367,1,0,2,5,2,36,3.6109179126442243,1,0,1,1,6,5,6,1,1,93.0
17,22,7,25,3.258096538021482,0,1,0,4,5,16,2.833213344056216,1,1,1,2,6,19,2.995732273553991,0,1,4,5,9,7,7,1,0,40.0
15,6,6,69,4.248495242049359,0,0,4,6,9,54,4.007333185232471,1,0,4,5,4,23,3.1780538303479458,0,2,3,2,3,9,7,1,1,130.0
25,26,24,58,4.07753744390572,1,1,3,2,8,11,2.4849066497880004,0,2,1,4,1,37,3.6375861597263857,0,1,2,2,7,5,4,1,0,126.0
11,22,11,178,5.187385805840755,1,1,3,3,8,104,4.653960350157523,1,2,4,6,4,42,3.7612001156935624,1,0,2,0,2,0,0,2,0,388.0
26,3,26,168,5.1298987149230735,1,0,3,0,8,164,5.10594547390058,1,2,4,3,4,96,4.574710978503383,1,0,1,5,6,1,7,4,0,244.0
0,27,10,64,4.174387269895637,1,1,4,1,4,61,4.127134385045092,0,1,1,5,1,61,4.127134385045092,0,1,1,5,1,9,1,1,1,70.0
18,11,26,27,3.332204510175204,0,0,2,6,7,25,3.258096538021482,0,1,0,4,5,19,2.995732273553991,0,1,4,5,9,1,1,1,0,37.0
12,0,25,64,4.174387269895637,1,1,4,1,4,9,2.302585092994046,0,0,4,2,9,55,4.02535169073515,0,1,0,6,5,6,3,1,0,128.0
18,1,27,117,4.770684624465665,0,0,2,5,7,112,4.727387818712341,1,1,2,0,2,56,4.04305126783455,1,2,1,0,6,2,8,1,1,183.0
6,25,3,92,4.532599493153256,1,2,2,1,2,58,4.07753744390572,1,1,3,2,8,82,4.418840607796598,1,1,2,5,2,10,5,2,0,136.0
13,27,17,85,4.454347296253507,0,1,0,1,5,40,3.713572066704308,1,1,0,5,0,8,2.1972245773362196,1,2,3,1,8,6,8,1,1,207.0
1,5,14,85,4.454347296253507,0,1,0,1,5,84,4.442651256490317,1,0,4,0,4,79,4.382026634673881,0,1,4,2,9,4,3,1,0,92.0
23,9,13,173,5.159055299214529,0,2,3,5,3,116,4.762173934797756,1,2,1,4,6,17,2.8903717578961645,0,2,2,3,7,1,3,1,0,386.0
27,12,23,42,3.7612001156935624,1,0,2,0,2,12,2.5649493574615367,1,0,2,5,2,34,3.5553480614894135,1,1,4,6,4,3,6,2,0,80.0
23,18,1,175,5.170483995038151,0,1,0,0,5,67,4.219507705176107,0,1,2,4,7,15,2.772588722239781,0,0,0,1,5,8,0,1,0,443.0
20,10,5,98,4.59511985013459,1,2,3,0,8,92,4.532599493153256,1,2,2,1,2,62,4.143134726391533,1,2,2,6,2,5,7,2,0,140.0
26,20,4,38,3.6635616461296463,1,2,3,3,8,24,3.2188758248682006,1,0,4,3,4,31,3.4657359027997265,0,1,1,3,1,1,3,1,0,59.0
1,22,14,113,4.736198448394496,0,2,3,1,3,66,4.204692619390966,1,0,1,3,6,31,3.4657359027997265,0,1,1,3,1,0,6,1,0,242.0
26,26,25,74,4.31748811353631,1,2,4,4,4,16,2.833213344056216,1,1,1,2,6,58,4.07753744390572,1,1,3,2,8,1,9,2,0,148.0
12,23,0,158,5.0689042022202315,1,2,3,4,8,10,2.3978952727983707,1,1,0,3,0,14,2.70805020110221,1,2,4,0,4,1,4,2,0,450.0
18,14,11,39,3.6888794541139363,0,0,4,4,9,17,2.8903717578961645,0,2,2,3,7,38,3.6635616461296463,1,2,3,3,8,5,3,1,0,62.0
13,17,9,75,4.330733340286331,0,0,0,5,5,70,4.2626798770413155,1,1,0,0,0,44,3.8066624897703196,1,2,4,2,4,6,9,1,0,111.0
20,6,16,24,3.2188758248682006,1,0,4,3,4,13,2.6390573296152584,0,1,3,6,3,12,2.5649493574615367,1,0,2,5,2,1,3,1,1,47.0
0,6,25,40,3.713572066704308,1,1,0,5,0,19,2.995732273553991,0,1,4,5,9,11,2.4849066497880004,0,2,1,4,1,11,9,1,0,90.0
21,21,9,67,4.219507705176107,0,1,2,4,7,49,3.912023005428146,0,1,4,0,9,58,4.07753744390572,1,1,3,2,8,5,0,1,0,94.0
25,17,12,101,4.624972813284271,0,2,1,3,1,78,4.3694478524670215,1,0,3,1,8,9,2.302585092994046,0,0,4,2,9,5,8,1,0,216.0
0,25,4,48,3.8918202981106265,1,0,3,6,8,37,3.6375861597263857,0,1,2,2,7,15,2.772588722239781,0,0,0,1,5,8,0,1,0,92.0
3,27,5,72,4.290459441148391,1,0,2,2,2,63,4.1588830833596715,0,0,3,0,3,11,2.4849066497880004,0,2,1,4,1,5,7,1,0,142.0
11,9,21,108,4.6913478822291435,1,0,3,3,8,38,3.6635616461296463,1,2,3,3,8,75,4.330733340286331,0,0,0,5,5,11,8,1,0,211.0
17,11,12,191,5.2574953720277815,0,2,1,2,1,178,5.187385805840755,1,1,3,3,8,122,4.812184355372417,1,2,2,3,2,10,7,1,0,273.0
27,21,3,31,3.4657359027997265,0,1,1,3,1,22,3.1354942159291497,1,1,2,1,2,11,2.4849066497880004,0,2,1,4,1,5,0,1,1,60.0
14,1,4,149,5.0106352940962555,0,2,4,2,9,143,4.969813299576001,0,2,3,3,3,15,2.772588722239781,0,0,0,1,5,8,0,1,0,289.0
15,5,11,36,3.6109179126442243,1,0,1,1,6,7,2.0794415416798357,0,1,2,0,7,28,3.367295829986474,1,1,3,0,8,7,7,1,1,73.0
21,19,16,146,4.990432586778736,1,2,1,6,6,94,4.553876891600541,1,1,4,3,4,130,4.875197323201151,1,1,0,4,0,6,0,2,0,214.0
15,25,1,59,4.0943445622221,0,2,4,3,9,6,1.9459101490553132,1,0,1,6,6,35,3.58351893845611,0,2,0,0,5,0,4,1,0,136.0
11,11,1,23,3.1780538303479458,0,2,3,2,3,21,3.091042453358316,0,0,1,0,1,17,2.8903717578961645,0,2,2,3,7,6,4,1,0,31.0
13,4,9,197,5.288267030694535,0,2,2,1,7,17,2.8903717578961645,0,2,2,3,7,104,4.653960350157523,1,2,4,6,4,7,2,1,0,470.0
28,22,20,188,5.241747015059643,1,2,3,6,8,136,4.919980925828125,1,1,1,3,6,103,4.6443908991413725,0,1,3,5,3,4,4,1,0,325.0
1,27,6,73,4.30406509320417,0,1,3,3,3,13,2.6390573296152584,0,1,3,6,3,17,2.8903717578961645,0,2,2,3,7,4,8,1,0,189.0
13,2,8,29,3.4011973816621555,0,2,4,1,9,9,2.302585092994046,0,0,4,2,9,26,3.295836866004329,1,2,1,5,6,7,3,1,0,52.0
14,19,28,82,4.418840607796598,1,1,2,5,2,23,3.1780538303479458,0,2,3,2,3,36,3.6109179126442243,1,0,1,1,6,10,4,1,0,187.0
7,8,23,53,3.9889840465642745,0,2,3,4,3,17,2.8903717578961645,0,2,2,3,7,24,3.2188758248682006,1,0,4,3,4,10,6,1,0,118.0
28,21,16,198,5.293304824724492,1,0,3,2,8,64,4.174387269895637,1,1,4,1,4,104,4.653960350157523,1,2,4,6,4,6,5,2,0,426.0
19,18,28,75,4.330733340286331,0,0,0,5,5,50,3.9318256327243257,1,2,0,1,0,46,3.8501476017100584,1,1,1,4,6,11,3,1,0,129.0
22,2,22,175,5.170483995038151,0,1,0,0,5,162,5.093750200806762,1,0,2,1,2,153,5.0369526024136295,0,0,3,6,3,4,3,1,0,210.0
28,20,25,76,4.343805421853684,1,1,1,6,6,46,3.8501476017100584,1,1,1,4,6,31,3.4657359027997265,0,1,1,3,1,6,0,1,0,151.0
28,25,22,155,5.049856007249537,0,2,0,1,5,9,2.302585092994046,0,0,4,2,9,68,4.23410650459726,1,2,3,5,8,8,4,1,0,388.0
0,18,28,86,4.465908118654584,1,2,1,2,6,78,4.3694478524670215,1,0,3,1,8,62,4.143134726391533,1,2,2,6,2,7,8,2,0,118.0
27,23,2,39,3.6888794541139363,0,0,4,4,9,34,3.5553480614894135,1,1,4,6,4,29,3.4011973816621555,0,2,4,1,9,7,9,1,0,54.0
5,5,26,161,5.087596335232384,0,2,1,0,1,18,2.9444389791664403,1,0,3,4,8,126,4.844187086458591,1,0,1,0,6,3,4,1,1,339.0
24,19,5,115,4.7535901911063645,0,1,0,3,5,20,3.044522437723423,1,2,0,6,0,35,3.58351893845611,0,2,0,0,5,0,4,5,0,290.0
6,5,3,160,5.081404364984463,1,1,0,6,0,108,4.6913478822291435,1,0,3,3,8,65,4.189654742026425,0,2,0,2,5,11,3,1,0,307.0
1,22,0,177,5.181783550292085,0,0,2,2,7,139,4.941642422609304,0,1,4,6,9,151,5.0238805208462765,0,1,1,4,1,1,2,1,0,241.0
0,27,21,162,5.093750200806762,1,0,2,1,2,104,4.653960350157523,1,2,4,6,4,44,3.8066624897703196,1,2,4,2,4,6,2,2,0,338.0
26,16,6,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,6,4,1,0,48.0
19,1,8,43,3.784189633918261,0,1,3,1,3,35,3.58351893845611,0,2,0,0,5,19,2.995732273553991,0,1,4,5,9,8,4,1,0,75.0
1,15,26,23,3.1780538303479458,0,2,3,2,3,14,2.70805020110221,1,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,0,7,1,0,49.0
25,4,5,177,5.181783550292085,0,0,2,2,7,115,4.7535901911063645,0,1,0,3,5,174,5.1647859739235145,1,0,4,6,4,11,1,1,0,242.0
14,9,11,173,5.159055299214529,0,2,3,5,3,14,2.70805020110221,1,2,4,0,4,115,4.7535901911063645,0,1,0,3,5,9,8,1,0,390.0
19,12,25,20,3.044522437723423,1,2,0,6,0,19,2.995732273553991,0,1,4,5,9,16,2.833213344056216,1,1,1,2,6,8,5,1,0,25.0
10,15,2,31,3.4657359027997265,0,1,1,3,1,9,2.302585092994046,0,0,4,2,9,24,3.2188758248682006,1,0,4,3,4,4,2,1,0,60.0
10,18,17,63,4.1588830833596715,0,0,3,0,3,46,3.8501476017100584,1,1,1,4,6,59,4.0943445622221,0,2,4,3,9,2,1,1,0,84.0
18,24,9,174,5.1647859739235145,1,0,4,6,4,49,3.912023005428146,0,1,4,0,9,47,3.871201010907891,0,2,2,5,7,5,5,1,0,426.0
9,19,2,198,5.293304824724492,1,0,3,2,8,97,4.584967478670572,0,1,2,6,7,139,4.941642422609304,0,1,4,6,9,3,7,1,0,358.0
28,28,11,175,5.170483995038151,0,1,0,0,5,153,5.0369526024136295,0,0,3,6,3,53,3.9889840465642745,0,2,3,4,3,10,1,1,0,319.0
16,0,5,53,3.9889840465642745,0,2,3,4,3,19,2.995732273553991,0,1,4,5,9,17,2.8903717578961645,0,2,2,3,7,0,6,1,0,123.0
26,0,2,29,3.4011973816621555,0,2,4,1,9,24,3.2188758248682006,1,0,4,3,4,8,2.1972245773362196,1,2,3,1,8,5,0,1,1,55.0
18,25,2,160,5.081404364984463,1,1,0,6,0,42,3.7612001156935624,1,0,2,0,2,94,4.553876891600541,1,1,4,3,4,2,8,2,0,344.0
20,12,2,58,4.07753744390572,1,1,3,2,8,22,3.1354942159291497,1,1,2,1,2,45,3.828641396489095,0,0,0,3,5,10,5,1,0,107.0
16,23,23,121,4.804021044733257,0,1,1,2,1,73,4.30406509320417,0,1,3,3,3,87,4.477336814478207,0,0,2,3,7,10,2,1,0,203.0
23,9,6,107,4.68213122712422,0,2,2,2,7,28,3.367295829986474,1,1,3,0,8,88,4.48863636973214,1,1,3,4,8,3,0,1,0,205.0
16,3,18,46,3.8501476017100584,1,1,1,4,6,13,2.6390573296152584,0,1,3,6,3,43,3.784189633918261,0,1,3,1,3,3,0,1,0,82.0
26,27,2,169,5.135798437050262,0,1,4,1,9,62,4.143134726391533,1,2,2,6,2,51,3.9512437185814275,0,0,1,2,1,2,7,1,0,394.0
21,23,2,34,3.5553480614894135,1,1,4,6,4,29,3.4011973816621555,0,2,4,1,9,18,2.9444389791664403,1,0,3,4,8,10,8,1,0,55.0
10,18,27,55,4.02535169073515,0,1,0,6,5,46,3.8501476017100584,1,1,1,4,6,25,3.258096538021482,0,1,0,4,5,2,0,1,0,94.0
2,17,3,177,5.181783550292085,0,0,2,2,7,124,4.8283137373023015,1,1,4,5,4,148,5.003946305945459,1,1,3,1,8,7,1,1,0,259.0
20,10,25,117,4.770684624465665,0,0,2,5,7,89,4.499809670330265,0,2,4,5,9,81,4.406719247264253,0,0,1,4,1,5,9,1,0,181.0
7,24,11,185,5.225746673713202,0,2,0,3,5,181,5.204006687076795,0,1,1,6,1,35,3.58351893845611,0,2,0,0,5,1,8,1,0,339.0
6,8,26,131,4.882801922586371,0,2,1,5,1,104,4.653960350157523,1,2,4,6,4,57,4.060443010546419,0,0,2,1,7,11,0,1,0,232.0
27,26,25,180,5.198497031265826,1,0,0,5,0,53,3.9889840465642745,0,2,3,4,3,121,4.804021044733257,0,1,1,2,1,2,5,1,0,366.0
27,1,8,177,5.181783550292085,0,0,2,2,7,109,4.700480365792417,0,1,4,4,9,122,4.812184355372417,1,2,2,3,2,3,2,1,0,300.0
14,2,22,117,4.770684624465665,0,0,2,5,7,91,4.5217885770490405,0,1,1,0,1,19,2.995732273553991,0,1,4,5,9,3,3,1,0,241.0
20,13,20,23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,0,3,1,0,43.0
15,21,5,108,4.6913478822291435,1,0,3,3,8,79,4.382026634673881,0,1,4,2,9,7,2.0794415416798357,0,1,2,0,7,4,9,1,0,238.0
11,10,18,26,3.295836866004329,1,2,1,5,6,19,2.995732273553991,0,1,4,5,9,25,3.258096538021482,0,1,0,4,5,8,6,1,0,34.0
13,7,5,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,51,3.9512437185814275,0,0,1,2,1,5,2,1,0,108.0
18,17,3,99,4.605170185988092,0,0,4,1,9,53,3.9889840465642745,0,2,3,4,3,87,4.477336814478207,0,0,2,3,7,3,4,1,0,157.0
4,8,26,125,4.836281906951478,0,2,0,6,5,6,1.9459101490553132,1,0,1,6,6,122,4.812184355372417,1,2,2,3,2,8,8,1,0,247.0
10,26,19,118,4.77912349311153,1,1,3,6,8,87,4.477336814478207,0,0,2,3,7,90,4.51085950651685,1,0,0,6,0,9,6,1,0,177.0
2,13,11,26,3.295836866004329,1,2,1,5,6,13,2.6390573296152584,0,1,3,6,3,24,3.2188758248682006,1,0,4,3,4,3,0,1,1,41.0
3,3,16,118,4.77912349311153,1,1,3,6,8,70,4.2626798770413155,1,1,0,0,0,44,3.8066624897703196,1,2,4,2,4,4,6,2,0,240.0
20,14,23,122,4.812184355372417,1,2,2,3,2,95,4.564348191467836,0,2,0,4,5,85,4.454347296253507,0,1,0,1,5,10,9,1,0,186.0
20,16,23,65,4.189654742026425,0,2,0,2,5,27,3.332204510175204,0,0,2,6,7,11,2.4849066497880004,0,2,1,4,1,7,4,1,0,157.0
13,12,17,173,5.159055299214529,0,2,3,5,3,94,4.553876891600541,1,1,4,3,4,11,2.4849066497880004,0,2,1,4,1,5,5,1,0,414.0
14,25,6,61,4.127134385045092,0,1,1,5,1,48,3.8918202981106265,1,0,3,6,8,23,3.1780538303479458,0,2,3,2,3,5,3,1,0,112.0
14,19,2,101,4.624972813284271,0,2,1,3,1,74,4.31748811353631,1,2,4,4,4,15,2.772588722239781,0,0,0,1,5,7,3,1,0,214.0
13,2,7,30,3.4339872044851463,1,0,0,2,0,28,3.367295829986474,1,1,3,0,8,29,3.4011973816621555,0,2,4,1,9,9,1,1,0,33.0
14,0,11,85,4.454347296253507,0,1,0,1,5,34,3.5553480614894135,1,1,4,6,4,29,3.4011973816621555,0,2,4,1,9,4,2,1,0,192.0
11,17,1,134,4.90527477843843,1,2,4,1,4,27,3.332204510175204,0,0,2,6,7,114,4.74493212836325,1,0,4,2,4,4,1,1,0,261.0
11,5,20,142,4.962844630259907,1,1,2,2,2,85,4.454347296253507,0,1,0,1,5,128,4.859812404361672,1,2,3,2,8,2,5,1,0,213.0
17,19,6,38,3.6635616461296463,1,2,3,3,8,13,2.6390573296152584,0,1,3,6,3,9,2.302585092994046,0,0,4,2,9,6,9,1,0,92.0
24,26,17,20,3.044522437723423,1,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,16,2.833213344056216,1,1,1,2,6,10,9,4,1,36.0
18,7,15,47,3.871201010907891,0,2,2,5,7,13,2.6390573296152584,0,1,3,6,3,32,3.4965075614664802,1,2,2,4,2,3,2,1,0,96.0
14,2,1,71,4.276666119016055,0,2,1,1,1,59,4.0943445622221,0,2,4,3,9,21,3.091042453358316,0,0,1,0,1,4,8,1,0,133.0
1,22,5,87,4.477336814478207,0,0,2,3,7,55,4.02535169073515,0,1,0,6,5,21,3.091042453358316,0,0,1,0,1,9,7,1,0,185.0
6,26,19,142,4.962844630259907,1,1,2,2,2,123,4.820281565605037,0,0,3,4,3,101,4.624972813284271,0,2,1,3,1,11,4,1,0,202.0
16,7,6,175,5.170483995038151,0,1,0,0,5,141,4.955827057601261,0,0,1,1,1,94,4.553876891600541,1,1,4,3,4,5,0,1,0,290.0
6,17,14,118,4.77912349311153,1,1,3,6,8,71,4.276666119016055,0,2,1,1,1,67,4.219507705176107,0,1,2,4,7,8,4,1,0,216.0
14,28,25,109,4.700480365792417,0,1,4,4,9,14,2.70805020110221,1,2,4,0,4,33,3.5263605246161616,0,0,3,5,3,4,0,1,0,280.0
3,4,26,182,5.209486152841421,1,2,2,0,2,84,4.442651256490317,1,0,4,0,4,164,5.10594547390058,1,2,4,3,4,7,1,2,0,298.0
20,8,22,62,4.143134726391533,1,2,2,6,2,51,3.9512437185814275,0,0,1,2,1,29,3.4011973816621555,0,2,4,1,9,6,1,1,0,106.0
0,15,15,74,4.31748811353631,1,2,4,4,4,42,3.7612001156935624,1,0,2,0,2,13,2.6390573296152584,0,1,3,6,3,10,6,1,0,167.0
