slot_person_name,slot_giver_name,slot_item_plural,slot_init_amt,slot_init_amt_abs_log1p,slot_init_amt_is_even,slot_init_amt_mod3,slot_init_amt_mod5,slot_init_amt_mod7,slot_init_amt_mod10,slot_loss_amt,slot_loss_amt_abs_log1p,slot_loss_amt_is_even,slot_loss_amt_mod3,slot_loss_amt_mod5,slot_loss_amt_mod7,slot_loss_amt_mod10,slot_gain_amt,slot_gain_amt_abs_log1p,slot_gain_amt_is_even,slot_gain_amt_mod3,slot_gain_amt_mod5,slot_gain_amt_mod7,slot_gain_amt_mod10,slot_reason_initial,slot_loss_context,slot_reason_additional,gcd_all,n_multiple_pairs,y
6,0,1,44,3.8066624897703196,1,2,4,2,4,9,2.302585092994046,0,0,4,2,9,37,3.6375861597263857,0,1,2,2,7,5,6,1,1,0,72.0
5,3,7,10,2.3978952727983707,1,1,0,3,0,9,2.302585092994046,0,0,4,2,9,33,3.5263605246161616,0,0,3,5,3,6,7,5,1,0,34.0
0,7,4,29,3.4011973816621555,0,2,4,1,9,3,1.3862943611198906,0,0,3,3,3,28,3.367295829986474,1,1,3,0,8,7,7,2,1,0,54.0
6,3,4,29,3.4011973816621555,0,2,4,1,9,13,2.6390573296152584,0,1,3,6,3,28,3.367295829986474,1,1,3,0,8,4,4,1,1,0,44.0
4,4,7,16,2.833213344056216,1,1,1,2,6,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,0,2,5,2,0,8,2,1,2,27.0
7,6,5,18,2.9444389791664403,1,0,3,4,8,8,2.1972245773362196,1,2,3,1,8,39,3.6888794541139363,0,0,4,4,9,5,4,5,1,0,49.0
3,8,2,42,3.7612001156935624,1,0,2,0,2,29,3.4011973816621555,0,2,4,1,9,20,3.044522437723423,1,2,0,6,0,3,6,3,1,0,33.0
2,7,6,14,2.70805020110221,1,2,4,0,4,7,2.0794415416798357,0,1,2,0,7,38,3.6635616461296463,1,2,3,3,8,8,8,3,1,1,45.0
7,6,6,42,3.7612001156935624,1,0,2,0,2,3,1.3862943611198906,0,0,3,3,3,27,3.332204510175204,0,0,2,6,7,6,3,5,3,2,66.0
0,0,8,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,1,3,1,1,2,10.0
2,9,3,11,2.4849066497880004,0,2,1,4,1,11,2.4849066497880004,0,2,1,4,1,31,3.4657359027997265,0,1,1,3,1,4,5,1,1,1,31.0
2,0,6,50,3.9318256327243257,1,2,0,1,0,29,3.4011973816621555,0,2,4,1,9,4,1.6094379124341003,1,1,4,4,4,2,3,2,1,0,25.0
1,6,4,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,3,8,4,1,3,5.0
5,9,9,47,3.871201010907891,0,2,2,5,7,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,5,5,3,1,1,37.0
7,1,6,25,3.258096538021482,0,1,0,4,5,13,2.6390573296152584,0,1,3,6,3,25,3.258096538021482,0,1,0,4,5,4,0,2,1,1,37.0
8,4,9,28,3.367295829986474,1,1,3,0,8,1,0.6931471805599453,0,1,1,1,1,19,2.995732273553991,0,1,4,5,9,6,4,6,1,2,46.0
7,1,0,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,32,3.4965075614664802,1,2,2,4,2,6,7,7,1,0,33.0
3,7,1,47,3.871201010907891,0,2,2,5,7,5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,0,1,5,8,3,2,1,1,57.0
4,0,0,36,3.6109179126442243,1,0,1,1,6,6,1.9459101490553132,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,1,5,0,2,1,50.0
5,6,4,30,3.4339872044851463,1,0,0,2,0,27,3.332204510175204,0,0,2,6,7,18,2.9444389791664403,1,0,3,4,8,5,4,3,3,0,21.0
6,8,5,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,0,7,5,1,2,9.0
0,6,9,18,2.9444389791664403,1,0,3,4,8,11,2.4849066497880004,0,2,1,4,1,25,3.258096538021482,0,1,0,4,5,4,1,2,1,0,32.0
9,2,1,49,3.912023005428146,0,1,4,0,9,24,3.2188758248682006,1,0,4,3,4,34,3.5553480614894135,1,1,4,6,4,0,4,0,1,0,59.0
7,9,8,21,3.091042453358316,0,0,1,0,1,15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,1,6,5,1,1,13.0
5,6,9,43,3.784189633918261,0,1,3,1,3,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,1,7,3,1,2,33.0
8,3,1,43,3.784189633918261,0,1,3,1,3,34,3.5553480614894135,1,1,4,6,4,8,2.1972245773362196,1,2,3,1,8,4,2,0,1,0,17.0
8,8,6,38,3.6635616461296463,1,2,3,3,8,32,3.4965075614664802,1,2,2,4,2,15,2.772588722239781,0,0,0,1,5,6,2,1,1,0,21.0
2,2,3,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,37,3.6375861597263857,0,1,2,2,7,3,7,5,1,1,67.0
4,4,1,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,29,3.4011973816621555,0,2,4,1,9,2,1,6,1,1,43.0
5,3,2,46,3.8501476017100584,1,1,1,4,6,32,3.4965075614664802,1,2,2,4,2,7,2.0794415416798357,0,1,2,0,7,3,7,1,1,0,21.0
2,2,3,50,3.9318256327243257,1,2,0,1,0,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,3,7,7,1,1,63.0
8,9,4,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,0,1,6,1,0,30.0
7,6,3,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,39,3.6888794541139363,0,0,4,4,9,4,6,1,3,1,39.0
5,8,9,35,3.58351893845611,0,2,0,0,5,27,3.332204510175204,0,0,2,6,7,39,3.6888794541139363,0,0,4,4,9,1,5,4,1,0,47.0
0,7,4,48,3.8918202981106265,1,0,3,6,8,47,3.871201010907891,0,2,2,5,7,30,3.4339872044851463,1,0,0,2,0,1,8,4,1,0,31.0
1,4,6,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,0,7,1,1,1,22.0
9,6,0,48,3.8918202981106265,1,0,3,6,8,33,3.5263605246161616,0,0,3,5,3,9,2.302585092994046,0,0,4,2,9,0,4,6,3,0,24.0
6,3,6,45,3.828641396489095,0,0,0,3,5,11,2.4849066497880004,0,2,1,4,1,10,2.3978952727983707,1,1,0,3,0,0,8,6,1,0,44.0
2,5,6,45,3.828641396489095,0,0,0,3,5,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,3,1,5,1,0,47.0
2,0,4,17,2.8903717578961645,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,0,1,5,7,7,3,1,0,28.0
5,5,3,41,3.7376696182833684,0,2,1,6,1,12,2.5649493574615367,1,0,2,5,2,37,3.6375861597263857,0,1,2,2,7,6,0,4,1,0,66.0
4,4,9,44,3.8066624897703196,1,2,4,2,4,31,3.4657359027997265,0,1,1,3,1,26,3.295836866004329,1,2,1,5,6,1,7,3,1,0,39.0
3,9,2,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,13,2.6390573296152584,0,1,3,6,3,5,0,3,1,0,14.0
8,1,9,39,3.6888794541139363,0,0,4,4,9,29,3.4011973816621555,0,2,4,1,9,35,3.58351893845611,0,2,0,0,5,1,8,6,1,0,45.0
7,7,5,33,3.5263605246161616,0,0,3,5,3,26,3.295836866004329,1,2,1,5,6,27,3.332204510175204,0,0,2,6,7,3,3,4,1,0,34.0
2,8,9,31,3.4657359027997265,0,1,1,3,1,13,2.6390573296152584,0,1,3,6,3,20,3.044522437723423,1,2,0,6,0,7,4,2,1,0,38.0
5,4,7,39,3.6888794541139363,0,0,4,4,9,35,3.58351893845611,0,2,0,0,5,34,3.5553480614894135,1,1,4,6,4,0,5,6,1,0,38.0
4,1,6,40,3.713572066704308,1,1,0,5,0,24,3.2188758248682006,1,0,4,3,4,19,2.995732273553991,0,1,4,5,9,2,8,1,1,0,35.0
1,9,9,27,3.332204510175204,0,0,2,6,7,24,3.2188758248682006,1,0,4,3,4,31,3.4657359027997265,0,1,1,3,1,8,2,0,1,0,34.0
3,4,8,15,2.772588722239781,0,0,0,1,5,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,6,8,6,1,0,28.0
9,9,4,44,3.8066624897703196,1,2,4,2,4,2,1.0986122886681098,1,2,2,2,2,34,3.5553480614894135,1,1,4,6,4,2,1,7,2,2,76.0
6,2,7,36,3.6109179126442243,1,0,1,1,6,12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,4,4,3,12,3,36.0
3,1,7,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,22,3.1354942159291497,1,1,2,1,2,6,8,3,2,1,34.0
1,8,9,39,3.6888794541139363,0,0,4,4,9,27,3.332204510175204,0,0,2,6,7,14,2.70805020110221,1,2,4,0,4,8,6,0,1,0,26.0
5,7,6,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,28,3.367295829986474,1,1,3,0,8,4,3,2,1,0,30.0
5,5,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,8,5,0,1,1,7.0
2,7,5,29,3.4011973816621555,0,2,4,1,9,23,3.1780538303479458,0,2,3,2,3,16,2.833213344056216,1,1,1,2,6,1,7,6,1,0,22.0
1,7,4,18,2.9444389791664403,1,0,3,4,8,12,2.5649493574615367,1,0,2,5,2,24,3.2188758248682006,1,0,4,3,4,0,5,1,6,1,30.0
0,8,7,24,3.2188758248682006,1,0,4,3,4,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,0,5,3,4,2,12.0
9,1,2,34,3.5553480614894135,1,1,4,6,4,28,3.367295829986474,1,1,3,0,8,2,1.0986122886681098,1,2,2,2,2,7,6,6,2,2,8.0
6,6,2,19,2.995732273553991,0,1,4,5,9,16,2.833213344056216,1,1,1,2,6,20,3.044522437723423,1,2,0,6,0,3,1,4,1,0,23.0
5,1,9,25,3.258096538021482,0,1,0,4,5,17,2.8903717578961645,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,1,8,7,1,0,12.0
0,2,9,29,3.4011973816621555,0,2,4,1,9,16,2.833213344056216,1,1,1,2,6,27,3.332204510175204,0,0,2,6,7,8,3,7,1,0,40.0
5,4,5,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,0,5,0,0,1,1,1,1,77.0
4,2,9,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,11,2.4849066497880004,0,2,1,4,1,3,0,2,1,2,35.0
1,8,6,29,3.4011973816621555,0,2,4,1,9,18,2.9444389791664403,1,0,3,4,8,17,2.8903717578961645,0,2,2,3,7,5,5,7,1,0,28.0
1,0,1,28,3.367295829986474,1,1,3,0,8,17,2.8903717578961645,0,2,2,3,7,25,3.258096538021482,0,1,0,4,5,5,1,6,1,0,36.0
4,5,3,47,3.871201010907891,0,2,2,5,7,21,3.091042453358316,0,0,1,0,1,6,1.9459101490553132,1,0,1,6,6,7,2,1,1,0,32.0
9,8,4,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,37,3.6375861597263857,0,1,2,2,7,3,4,4,1,1,37.0
9,3,8,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,32,3.4965075614664802,1,2,2,4,2,5,7,0,2,1,34.0
6,3,7,22,3.1354942159291497,1,1,2,1,2,16,2.833213344056216,1,1,1,2,6,10,2.3978952727983707,1,1,0,3,0,8,3,6,2,0,16.0
4,3,3,13,2.6390573296152584,0,1,3,6,3,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,0,4,0,1,0,7.0
5,4,9,24,3.2188758248682006,1,0,4,3,4,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,2,8,1,1,1,11.0
2,0,8,49,3.912023005428146,0,1,4,0,9,43,3.784189633918261,0,1,3,1,3,18,2.9444389791664403,1,0,3,4,8,1,5,3,1,0,24.0
7,6,1,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,0,2,0,0,7,4,2,1,32.0
7,0,6,21,3.091042453358316,0,0,1,0,1,14,2.70805020110221,1,2,4,0,4,29,3.4011973816621555,0,2,4,1,9,0,4,5,1,0,36.0
3,5,3,13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,2,5,4,1,0,14.0
0,1,8,22,3.1354942159291497,1,1,2,1,2,21,3.091042453358316,0,0,1,0,1,21,3.091042453358316,0,0,1,0,1,3,5,3,1,1,22.0
2,7,4,44,3.8066624897703196,1,2,4,2,4,42,3.7612001156935624,1,0,2,0,2,19,2.995732273553991,0,1,4,5,9,4,7,2,1,0,21.0
6,9,9,50,3.9318256327243257,1,2,0,1,0,26,3.295836866004329,1,2,1,5,6,4,1.6094379124341003,1,1,4,4,4,5,7,7,2,0,28.0
0,5,9,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,19,2.995732273553991,0,1,4,5,9,7,3,4,1,2,42.0
8,1,9,37,3.6375861597263857,0,1,2,2,7,19,2.995732273553991,0,1,4,5,9,19,2.995732273553991,0,1,4,5,9,4,1,2,1,1,37.0
5,3,9,38,3.6635616461296463,1,2,3,3,8,33,3.5263605246161616,0,0,3,5,3,32,3.4965075614664802,1,2,2,4,2,2,2,2,1,0,37.0
6,6,1,33,3.5263605246161616,0,0,3,5,3,22,3.1354942159291497,1,1,2,1,2,36,3.6109179126442243,1,0,1,1,6,3,5,2,1,0,47.0
7,1,8,33,3.5263605246161616,0,0,3,5,3,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,4,5,2,1,2,28.0
4,9,0,42,3.7612001156935624,1,0,2,0,2,9,2.302585092994046,0,0,4,2,9,27,3.332204510175204,0,0,2,6,7,5,0,2,3,1,60.0
3,5,1,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,2,3,1,1,0,40.0
0,2,5,22,3.1354942159291497,1,1,2,1,2,7,2.0794415416798357,0,1,2,0,7,10,2.3978952727983707,1,1,0,3,0,5,8,5,1,0,25.0
3,4,7,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,1,4,5,1,2,13.0
3,0,5,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,5,8,3,2,1,38.0
0,1,7,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,2,5,0,1,0,24.0
1,8,1,27,3.332204510175204,0,0,2,6,7,24,3.2188758248682006,1,0,4,3,4,34,3.5553480614894135,1,1,4,6,4,6,5,5,1,0,37.0
0,1,3,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,33,3.5263605246161616,0,0,3,5,3,6,0,0,1,1,40.0
7,9,9,31,3.4657359027997265,0,1,1,3,1,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,6,5,3,1,0,17.0
7,2,5,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,0,0,1,1,1,15.0
8,2,9,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,4,6,0,1,0,17.0
7,9,7,42,3.7612001156935624,1,0,2,0,2,42,3.7612001156935624,1,0,2,0,2,2,1.0986122886681098,1,2,2,2,2,2,8,1,2,3,2.0
1,1,4,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,0,4,6,1,0,30.0
8,5,7,15,2.772588722239781,0,0,0,1,5,15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,3,8,6,1,1,11.0
0,8,3,49,3.912023005428146,0,1,4,0,9,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,6,2,2,1,1,9.0
9,3,2,28,3.367295829986474,1,1,3,0,8,23,3.1780538303479458,0,2,3,2,3,25,3.258096538021482,0,1,0,4,5,4,5,3,1,0,30.0
0,9,5,44,3.8066624897703196,1,2,4,2,4,20,3.044522437723423,1,2,0,6,0,25,3.258096538021482,0,1,0,4,5,8,1,5,1,0,49.0
5,3,2,33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,0,2,0,2,3,2,3,2,60.0
3,0,9,37,3.6375861597263857,0,1,2,2,7,11,2.4849066497880004,0,2,1,4,1,17,2.8903717578961645,0,2,2,3,7,6,3,5,1,0,43.0
1,7,5,44,3.8066624897703196,1,2,4,2,4,23,3.1780538303479458,0,2,3,2,3,39,3.6888794541139363,0,0,4,4,9,8,0,0,1,0,60.0
2,5,4,25,3.258096538021482,0,1,0,4,5,22,3.1354942159291497,1,1,2,1,2,2,1.0986122886681098,1,2,2,2,2,4,4,6,1,1,5.0
2,3,3,24,3.2188758248682006,1,0,4,3,4,13,2.6390573296152584,0,1,3,6,3,30,3.4339872044851463,1,0,0,2,0,4,2,7,1,0,41.0
5,0,4,31,3.4657359027997265,0,1,1,3,1,31,3.4657359027997265,0,1,1,3,1,17,2.8903717578961645,0,2,2,3,7,6,0,1,1,1,17.0
8,2,8,14,2.70805020110221,1,2,4,0,4,12,2.5649493574615367,1,0,2,5,2,35,3.58351893845611,0,2,0,0,5,3,3,4,1,0,37.0
6,7,2,14,2.70805020110221,1,2,4,0,4,11,2.4849066497880004,0,2,1,4,1,35,3.58351893845611,0,2,0,0,5,8,6,5,1,0,38.0
1,4,0,22,3.1354942159291497,1,1,2,1,2,21,3.091042453358316,0,0,1,0,1,18,2.9444389791664403,1,0,3,4,8,8,3,5,1,0,19.0
0,3,6,43,3.784189633918261,0,1,3,1,3,36,3.6109179126442243,1,0,1,1,6,33,3.5263605246161616,0,0,3,5,3,1,1,3,1,0,40.0
9,4,6,31,3.4657359027997265,0,1,1,3,1,9,2.302585092994046,0,0,4,2,9,14,2.70805020110221,1,2,4,0,4,4,0,1,1,0,36.0
9,9,0,39,3.6888794541139363,0,0,4,4,9,6,1.9459101490553132,1,0,1,6,6,38,3.6635616461296463,1,2,3,3,8,3,5,1,1,0,71.0
4,8,1,47,3.871201010907891,0,2,2,5,7,17,2.8903717578961645,0,2,2,3,7,38,3.6635616461296463,1,2,3,3,8,7,1,2,1,0,68.0
0,6,8,48,3.8918202981106265,1,0,3,6,8,10,2.3978952727983707,1,1,0,3,0,39,3.6888794541139363,0,0,4,4,9,1,4,0,1,0,77.0
1,1,2,36,3.6109179126442243,1,0,1,1,6,35,3.58351893845611,0,2,0,0,5,24,3.2188758248682006,1,0,4,3,4,7,1,3,1,0,25.0
1,1,4,43,3.784189633918261,0,1,3,1,3,21,3.091042453358316,0,0,1,0,1,34,3.5553480614894135,1,1,4,6,4,1,7,5,1,0,56.0
9,8,0,28,3.367295829986474,1,1,3,0,8,16,2.833213344056216,1,1,1,2,6,13,2.6390573296152584,0,1,3,6,3,2,2,3,1,0,25.0
7,3,1,37,3.6375861597263857,0,1,2,2,7,10,2.3978952727983707,1,1,0,3,0,31,3.4657359027997265,0,1,1,3,1,3,0,5,1,0,58.0
7,0,4,49,3.912023005428146,0,1,4,0,9,16,2.833213344056216,1,1,1,2,6,29,3.4011973816621555,0,2,4,1,9,0,1,3,1,0,62.0
8,0,5,33,3.5263605246161616,0,0,3,5,3,24,3.2188758248682006,1,0,4,3,4,26,3.295836866004329,1,2,1,5,6,5,5,4,1,0,35.0
9,4,9,30,3.4339872044851463,1,0,0,2,0,17,2.8903717578961645,0,2,2,3,7,16,2.833213344056216,1,1,1,2,6,3,2,1,1,0,29.0
3,7,3,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,0,7,4,1,1,31.0
5,8,7,42,3.7612001156935624,1,0,2,0,2,38,3.6635616461296463,1,2,3,3,8,32,3.4965075614664802,1,2,2,4,2,3,3,5,2,0,36.0
9,4,8,50,3.9318256327243257,1,2,0,1,0,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,7,1,0,1,0,46.0
2,3,9,28,3.367295829986474,1,1,3,0,8,10,2.3978952727983707,1,1,0,3,0,40,3.713572066704308,1,1,0,5,0,7,6,5,2,1,58.0
3,7,9,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,2,1,1,2,1,18.0
3,2,3,46,3.8501476017100584,1,1,1,4,6,3,1.3862943611198906,0,0,3,3,3,21,3.091042453358316,0,0,1,0,1,0,5,6,1,1,64.0
0,4,5,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,0,1,7,1,1,14.0
7,0,7,37,3.6375861597263857,0,1,2,2,7,17,2.8903717578961645,0,2,2,3,7,25,3.258096538021482,0,1,0,4,5,6,6,0,1,0,45.0
4,6,8,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,27,3.332204510175204,0,0,2,6,7,1,6,6,1,1,31.0
0,3,1,23,3.1780538303479458,0,2,3,2,3,14,2.70805020110221,1,2,4,0,4,20,3.044522437723423,1,2,0,6,0,6,8,6,1,0,29.0
7,3,9,32,3.4965075614664802,1,2,2,4,2,32,3.4965075614664802,1,2,2,4,2,22,3.1354942159291497,1,1,2,1,2,2,4,3,2,1,22.0
9,4,7,39,3.6888794541139363,0,0,4,4,9,19,2.995732273553991,0,1,4,5,9,38,3.6635616461296463,1,2,3,3,8,4,0,1,1,1,58.0
4,8,6,19,2.995732273553991,0,1,4,5,9,16,2.833213344056216,1,1,1,2,6,13,2.6390573296152584,0,1,3,6,3,8,0,2,1,0,16.0
6,4,9,35,3.58351893845611,0,2,0,0,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,0,1,1,1,0,30.0
8,3,6,32,3.4965075614664802,1,2,2,4,2,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,7,6,1,1,1,35.0
7,8,9,34,3.5553480614894135,1,1,4,6,4,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,0,7,0,1,0,38.0
6,6,0,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,4,4,1,3,8.0
1,4,1,25,3.258096538021482,0,1,0,4,5,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,0,0,7,5,2,15.0
2,4,3,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,8,6,7,1,0,30.0
1,9,3,20,3.044522437723423,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,4,7,5,1,0,12.0
3,9,2,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,37,3.6375861597263857,0,1,2,2,7,5,0,1,1,0,46.0
3,0,9,14,2.70805020110221,1,2,4,0,4,9,2.302585092994046,0,0,4,2,9,22,3.1354942159291497,1,1,2,1,2,7,6,6,1,0,27.0
9,6,5,20,3.044522437723423,1,2,0,6,0,12,2.5649493574615367,1,0,2,5,2,30,3.4339872044851463,1,0,0,2,0,4,7,1,2,0,38.0
9,2,0,19,2.995732273553991,0,1,4,5,9,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,2,3,1,1,1,29.0
6,9,5,43,3.784189633918261,0,1,3,1,3,31,3.4657359027997265,0,1,1,3,1,16,2.833213344056216,1,1,1,2,6,2,5,5,1,0,28.0
9,9,6,44,3.8066624897703196,1,2,4,2,4,38,3.6635616461296463,1,2,3,3,8,5,1.791759469228055,0,2,0,5,5,2,4,7,1,0,11.0
3,5,8,42,3.7612001156935624,1,0,2,0,2,10,2.3978952727983707,1,1,0,3,0,14,2.70805020110221,1,2,4,0,4,2,2,1,2,1,46.0
5,9,5,29,3.4011973816621555,0,2,4,1,9,24,3.2188758248682006,1,0,4,3,4,31,3.4657359027997265,0,1,1,3,1,1,2,6,1,0,36.0
4,7,3,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,16,2.833213344056216,1,1,1,2,6,1,7,0,1,0,27.0
