slot_person,slot_object,slot_place,slot_level_term,slot_floors,slot_floors_abs_log1p,slot_floors_is_even,slot_floors_mod3,slot_floors_mod5,slot_floors_mod7,slot_floors_mod10,slot_height_per_floor,slot_height_per_floor_abs_log1p,slot_height_per_floor_is_even,slot_height_per_floor_mod3,slot_height_per_floor_mod5,slot_height_per_floor_mod7,slot_height_per_floor_mod10,slot_unit,slot_ratio_numer,slot_ratio_numer_abs_log1p,slot_ratio_numer_is_even,slot_ratio_numer_mod3,slot_ratio_numer_mod5,slot_ratio_numer_mod7,slot_ratio_numer_mod10,slot_ratio_denom,slot_ratio_denom_abs_log1p,slot_ratio_denom_is_even,slot_ratio_denom_mod3,slot_ratio_denom_mod5,slot_ratio_denom_mod7,slot_ratio_denom_mod10,slot_bounce_count,slot_bounce_count_abs_log1p,slot_bounce_count_is_even,slot_bounce_count_mod3,slot_bounce_count_mod5,slot_bounce_count_mod7,slot_bounce_count_mod10,n_multiple_pairs,y
2,4,3,0,6,1.9459101490553132,1,0,1,6,6,27,3.332204510175204,0,0,2,6,7,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,5,72.0
5,2,2,0,2,1.0986122886681098,1,2,2,2,2,28,3.367295829986474,1,1,3,0,8,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,10,14.0
1,2,0,1,2,1.0986122886681098,1,2,2,2,2,625,6.439350371100098,0,1,0,2,5,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,2,640.0
6,2,2,1,2,1.0986122886681098,1,2,2,2,2,18,2.9444389791664403,1,0,3,4,8,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,10,18.0
0,4,1,2,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,10,18.0
3,3,4,0,3,1.3862943611198906,0,0,3,3,3,250,5.5254529391317835,1,1,0,5,0,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,3,270.0
6,2,4,1,3,1.3862943611198906,0,0,3,3,3,96,4.574710978503383,1,0,1,5,6,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,6,162.0
4,2,0,0,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,10,24.0
3,4,3,1,6,1.9459101490553132,1,0,1,6,6,128,4.859812404361672,1,2,3,2,8,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,432.0
4,1,3,1,3,1.3862943611198906,0,0,3,3,3,21,3.091042453358316,0,0,1,0,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,7,42.0
2,1,0,2,6,1.9459101490553132,1,0,1,6,6,128,4.859812404361672,1,2,3,2,8,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,432.0
5,1,3,1,3,1.3862943611198906,0,0,3,3,3,44,3.8066624897703196,1,2,4,2,4,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,6,99.0
3,4,4,2,6,1.9459101490553132,1,0,1,6,6,108,4.6913478822291435,1,0,3,3,8,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,8,288.0
0,0,5,1,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,6,40.0
7,3,2,1,4,1.6094379124341003,1,1,4,4,4,625,6.439350371100098,0,1,0,2,5,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,2,540.0
1,0,1,2,5,1.791759469228055,0,2,0,5,5,100,4.61512051684126,1,1,0,2,0,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,180.0
0,1,4,0,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,0,4,5,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,5,60.0
3,2,5,0,5,1.791759469228055,0,2,0,5,5,576,6.3578422665081,1,0,1,2,6,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,4,1215.0
4,0,5,1,3,1.3862943611198906,0,0,3,3,3,21,3.091042453358316,0,0,1,0,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,7,42.0
3,4,1,1,5,1.791759469228055,0,2,0,5,5,64,4.174387269895637,1,1,4,1,4,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,40.0
7,1,4,1,4,1.6094379124341003,1,1,4,4,4,75,4.330733340286331,0,0,0,5,5,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,192.0
1,3,2,1,4,1.6094379124341003,1,1,4,4,4,75,4.330733340286331,0,0,0,5,5,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,3,108.0
0,4,0,1,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,0,2,0,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,72.0
3,2,1,1,6,1.9459101490553132,1,0,1,6,6,176,5.176149732573829,1,2,1,1,6,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,594.0
7,3,1,0,6,1.9459101490553132,1,0,1,6,6,144,4.976733742420574,1,0,4,4,4,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,7,486.0
4,2,2,0,3,1.3862943611198906,0,0,3,3,3,1500,7.313886831633462,1,0,0,2,0,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,7,972.0
7,2,5,2,4,1.6094379124341003,1,1,4,4,4,175,5.170483995038151,0,1,0,0,5,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,448.0
0,4,4,2,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,0,6,0,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,7,15.0
5,1,2,0,4,1.6094379124341003,1,1,4,4,4,60,4.110873864173311,1,0,0,4,0,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,7,144.0
3,1,4,0,3,1.3862943611198906,0,0,3,3,3,60,4.110873864173311,1,0,0,4,0,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,8,108.0
5,2,2,2,2,1.0986122886681098,1,2,2,2,2,48,3.8918202981106265,1,0,3,6,8,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,8,12.0
1,3,1,1,6,1.9459101490553132,1,0,1,6,6,35,3.58351893845611,0,2,0,0,5,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,126.0
0,0,1,1,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,8,27.0
7,4,4,0,2,1.0986122886681098,1,2,2,2,2,72,4.290459441148391,1,0,2,2,2,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,7,64.0
5,4,5,1,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,0,4,5,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,80.0
0,1,2,2,5,1.791759469228055,0,2,0,5,5,250,5.5254529391317835,1,1,0,5,0,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,800.0
3,0,3,2,5,1.791759469228055,0,2,0,5,5,45,3.828641396489095,0,0,0,3,5,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,8,135.0
7,3,0,0,3,1.3862943611198906,0,0,3,3,3,448,6.1070228877422545,1,1,3,0,8,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,4,567.0
5,3,2,1,3,1.3862943611198906,0,0,3,3,3,27,3.332204510175204,0,0,2,6,7,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,4,36.0
1,0,0,1,5,1.791759469228055,0,2,0,5,5,750,6.621405651764134,1,0,0,1,0,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,1920.0
0,1,0,2,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,0,5,0,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,6,90.0
1,0,4,0,2,1.0986122886681098,1,2,2,2,2,16,2.833213344056216,1,1,1,2,6,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,10,16.0
7,4,1,0,3,1.3862943611198906,0,0,3,3,3,200,5.303304908059076,1,2,0,4,0,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,384.0
7,4,2,0,4,1.6094379124341003,1,1,4,4,4,72,4.290459441148391,1,0,2,2,2,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,8,36.0
1,4,1,2,3,1.3862943611198906,0,0,3,3,3,128,4.859812404361672,1,2,3,2,8,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,4,216.0
2,0,1,0,5,1.791759469228055,0,2,0,5,5,270,5.602118820879701,1,0,0,4,0,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,5,400.0
1,2,5,2,6,1.9459101490553132,1,0,1,6,6,48,3.8918202981106265,1,0,3,6,8,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,7,162.0
0,4,3,2,5,1.791759469228055,0,2,0,5,5,640,6.46302945692067,1,1,0,3,0,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,3,1350.0
6,0,5,1,3,1.3862943611198906,0,0,3,3,3,24,3.2188758248682006,1,0,4,3,4,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,8,48.0
7,3,1,0,5,1.791759469228055,0,2,0,5,5,45,3.828641396489095,0,0,0,3,5,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,3,100.0
7,3,2,1,4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,0,1,0,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,160.0
7,3,2,2,4,1.6094379124341003,1,1,4,4,4,48,3.8918202981106265,1,0,3,6,8,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,8,144.0
4,0,0,0,6,1.9459101490553132,1,0,1,6,6,128,4.859812404361672,1,2,3,2,8,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,432.0
5,4,5,0,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,0,5,0,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,48.0
5,3,2,0,5,1.791759469228055,0,2,0,5,5,44,3.8066624897703196,1,2,4,2,4,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,5,165.0
1,1,4,0,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,0,5,0,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,192.0
7,1,4,0,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,8,15.0
1,0,0,2,5,1.791759469228055,0,2,0,5,5,56,4.04305126783455,1,2,1,0,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,5,35.0
4,0,1,2,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,0,2,0,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,7,80.0
0,4,1,2,3,1.3862943611198906,0,0,3,3,3,768,6.645090969505644,1,0,3,5,8,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,7,972.0
4,0,3,2,2,1.0986122886681098,1,2,2,2,2,324,5.783825182329737,1,0,4,2,4,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,6,192.0
5,2,2,1,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,0,6,0,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,6,75.0
3,0,2,0,2,1.0986122886681098,1,2,2,2,2,175,5.170483995038151,0,1,0,0,5,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,2,126.0
4,2,0,2,2,1.0986122886681098,1,2,2,2,2,704,6.558197802812269,1,2,4,4,4,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,4,594.0
7,0,2,2,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,10,10.0
2,0,1,0,3,1.3862943611198906,0,0,3,3,3,160,5.081404364984463,1,1,0,6,0,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,4,270.0
3,1,1,0,5,1.791759469228055,0,2,0,5,5,44,3.8066624897703196,1,2,4,2,4,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,7,55.0
1,3,5,1,5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,0,1,5,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,8,45.0
1,4,3,1,6,1.9459101490553132,1,0,1,6,6,375,5.929589143389895,0,0,0,4,5,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,3,1152.0
6,0,3,1,6,1.9459101490553132,1,0,1,6,6,324,5.783825182329737,1,0,4,2,4,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,8,576.0
5,1,3,1,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,0,5,0,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,7,60.0
7,3,1,1,2,1.0986122886681098,1,2,2,2,2,32,3.4965075614664802,1,2,2,4,2,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,10,16.0
6,4,0,1,4,1.6094379124341003,1,1,4,4,4,128,4.859812404361672,1,2,3,2,8,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,6,288.0
3,4,4,0,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,9,48.0
0,4,3,2,5,1.791759469228055,0,2,0,5,5,1375,7.226936018493289,0,1,0,3,5,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,3,3520.0
7,1,0,0,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,0,5,0,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,192.0
7,3,3,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,9,9.0
7,1,4,0,6,1.9459101490553132,1,0,1,6,6,36,3.6109179126442243,1,0,1,1,6,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,9,144.0
7,4,5,0,4,1.6094379124341003,1,1,4,4,4,36,3.6109179126442243,1,0,1,1,6,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,8,108.0
2,0,2,2,5,1.791759469228055,0,2,0,5,5,80,4.394449154672439,1,2,0,3,0,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,6,50.0
4,1,1,0,4,1.6094379124341003,1,1,4,4,4,54,4.007333185232471,1,0,4,5,4,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,6,96.0
1,4,1,2,5,1.791759469228055,0,2,0,5,5,64,4.174387269895637,1,1,4,1,4,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,180.0
6,2,0,2,3,1.3862943611198906,0,0,3,3,3,21,3.091042453358316,0,0,1,0,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,7,42.0
1,4,2,2,3,1.3862943611198906,0,0,3,3,3,60,4.110873864173311,1,0,0,4,0,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,7,144.0
4,4,3,1,2,1.0986122886681098,1,2,2,2,2,448,6.1070228877422545,1,1,3,0,8,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,4,378.0
1,3,2,0,6,1.9459101490553132,1,0,1,6,6,36,3.6109179126442243,1,0,1,1,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,10,54.0
6,3,4,1,5,1.791759469228055,0,2,0,5,5,35,3.58351893845611,0,2,0,0,5,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,7,105.0
4,2,1,1,3,1.3862943611198906,0,0,3,3,3,1125,7.026426808699636,0,0,0,5,5,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,7,729.0
3,1,4,0,4,1.6094379124341003,1,1,4,4,4,45,3.828641396489095,0,0,0,3,5,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,108.0
5,0,1,2,6,1.9459101490553132,1,0,1,6,6,45,3.828641396489095,0,0,0,3,5,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,5,120.0
0,3,5,1,2,1.0986122886681098,1,2,2,2,2,875,6.775366090936392,0,2,0,0,5,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,2,378.0
1,2,3,1,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,0,5,0,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,8,128.0
6,2,0,0,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,1,0,4,3,4,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,8,32.0
7,4,2,1,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,0,6,0,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,10,10.0
4,0,1,1,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,10,36.0
1,0,3,0,4,1.6094379124341003,1,1,4,4,4,175,5.170483995038151,0,1,0,0,5,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,448.0
7,3,2,1,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,0,1,5,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,36.0
0,3,3,0,3,1.3862943611198906,0,0,3,3,3,35,3.58351893845611,0,2,0,0,5,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,5,84.0
