slot_buyer_name,slot_store_type,slot_unit_name,slot_item1_name,slot_item2_name,slot_item3_name,slot_q1,slot_q1_abs_log1p,slot_q1_is_even,slot_q1_mod3,slot_q1_mod5,slot_q1_mod7,slot_q1_mod10,slot_q2,slot_q2_abs_log1p,slot_q2_is_even,slot_q2_mod3,slot_q2_mod5,slot_q2_mod7,slot_q2_mod10,slot_q3,slot_q3_abs_log1p,slot_q3_is_even,slot_q3_mod3,slot_q3_mod5,slot_q3_mod7,slot_q3_mod10,slot_p1,slot_p1_abs_log1p,slot_p1_is_even,slot_p1_mod3,slot_p1_mod5,slot_p1_mod7,slot_p1_mod10,slot_p2,slot_p2_abs_log1p,slot_p2_is_even,slot_p2_mod3,slot_p2_mod5,slot_p2_mod7,slot_p2_mod10,slot_p3,slot_p3_abs_log1p,slot_p3_is_even,slot_p3_mod3,slot_p3_mod5,slot_p3_mod7,slot_p3_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
6,3,4,1,1,8,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,170,5.14166355650266,1,2,0,2,0,69,4.248495242049359,0,0,4,6,9,107,4.68213122712422,0,2,2,2,7,1,1,5,1610.0
0,2,2,2,1,6,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,116,4.762173934797756,1,2,1,4,6,39,3.6888794541139363,0,0,4,4,9,52,3.970291913552122,1,1,2,3,2,3,1,2,1602.0
7,4,1,6,6,1,11,2.4849066497880004,0,2,1,4,1,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,24,3.2188758248682006,1,0,4,3,4,79,4.382026634673881,0,1,4,2,9,52,3.970291913552122,1,1,2,3,2,3,1,3,1312.0
3,3,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,78,4.3694478524670215,1,0,3,1,8,12,2.5649493574615367,1,0,2,5,2,71,4.276666119016055,0,2,1,1,1,2,1,8,346.0
8,5,3,7,4,2,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,158,5.0689042022202315,1,2,3,4,8,39,3.6888794541139363,0,0,4,4,9,15,2.772588722239781,0,0,0,1,5,0,1,2,1906.0
1,2,2,0,4,6,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,196,5.2832037287379885,1,1,1,0,6,96,4.574710978503383,1,0,1,5,6,182,5.209486152841421,1,2,2,0,2,2,1,3,2208.0
8,6,4,8,7,3,10,2.3978952727983707,1,1,0,3,0,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,107,4.68213122712422,0,2,2,2,7,102,4.634728988229636,1,0,2,4,2,49,3.912023005428146,0,1,4,0,9,1,1,1,2331.0
4,3,3,4,2,7,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,59,4.0943445622221,0,2,4,3,9,89,4.499809670330265,0,2,4,5,9,103,4.6443908991413725,0,1,3,5,3,2,1,0,1876.0
9,1,3,3,7,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,67,4.219507705176107,0,1,2,4,7,196,5.2832037287379885,1,1,1,0,6,61,4.127134385045092,0,1,1,5,1,2,1,6,1074.0
9,4,0,4,6,7,10,2.3978952727983707,1,1,0,3,0,9,2.302585092994046,0,0,4,2,9,12,2.5649493574615367,1,0,2,5,2,65,4.189654742026425,0,2,0,2,5,144,4.976733742420574,1,0,4,4,4,160,5.081404364984463,1,1,0,6,0,2,1,3,3866.0
3,5,3,9,8,2,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,57,4.060443010546419,0,0,2,1,7,125,4.836281906951478,0,2,0,6,5,57,4.060443010546419,0,0,2,1,7,1,1,10,296.0
6,3,1,3,7,1,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,192,5.262690188904886,1,0,2,3,2,49,3.912023005428146,0,1,4,0,9,134,4.90527477843843,1,2,4,1,4,2,1,4,2040.0
9,6,3,8,8,5,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,103,4.6443908991413725,0,1,3,5,3,82,4.418840607796598,1,1,2,5,2,182,5.209486152841421,1,2,2,0,2,0,1,1,2169.0
7,3,2,10,4,10,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,89,4.499809670330265,0,2,4,5,9,93,4.543294782270004,0,0,3,2,3,134,4.90527477843843,1,2,4,1,4,0,1,1,2170.0
0,1,0,11,2,7,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,61,4.127134385045092,0,1,1,5,1,58,4.07753744390572,1,1,3,2,8,158,5.0689042022202315,1,2,3,4,8,1,1,11,435.0
5,1,2,2,3,2,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,130,4.875197323201151,1,1,0,4,0,95,4.564348191467836,0,2,0,4,5,186,5.231108616854587,1,0,1,4,6,3,1,1,3017.0
3,5,1,11,8,9,8,2.1972245773362196,1,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,119,4.787491742782046,0,2,4,0,9,173,5.159055299214529,0,2,3,5,3,18,2.9444389791664403,1,0,3,4,8,0,1,1,3244.0
4,1,1,4,0,4,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,107,4.68213122712422,0,2,2,2,7,40,3.713572066704308,1,1,0,5,0,39,3.6888794541139363,0,0,4,4,9,2,1,10,935.0
2,1,0,2,7,4,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,192,5.262690188904886,1,0,2,3,2,110,4.709530201312334,1,2,0,5,0,49,3.912023005428146,0,1,4,0,9,2,1,4,1041.0
7,1,3,8,4,1,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,152,5.030437921392435,1,2,2,5,2,161,5.087596335232384,0,2,1,0,1,65,4.189654742026425,0,2,0,2,5,1,1,3,2407.0
2,0,4,6,9,7,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,99,4.605170185988092,0,0,4,1,9,54,4.007333185232471,1,0,4,5,4,120,4.795790545596741,1,0,0,1,0,0,1,2,1833.0
0,6,0,7,6,8,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,85,4.454347296253507,0,1,0,1,5,151,5.0238805208462765,0,1,1,4,1,46,3.8501476017100584,1,1,1,4,6,2,1,2,1233.0
3,4,0,4,0,0,10,2.3978952727983707,1,1,0,3,0,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,192,5.262690188904886,1,0,2,3,2,34,3.5553480614894135,1,1,4,6,4,166,5.117993812416755,1,1,1,5,6,3,1,0,4052.0
4,5,1,2,10,8,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,163,5.099866427824199,0,1,3,2,3,195,5.278114659230517,0,0,0,6,5,189,5.247024072160486,0,0,4,0,9,2,1,5,3663.0
4,1,1,1,1,9,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,87,4.477336814478207,0,0,2,3,7,190,5.25227342804663,1,1,0,1,0,179,5.19295685089021,0,2,4,4,9,3,1,1,3132.0
1,2,1,4,1,6,10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,107,4.68213122712422,0,2,2,2,7,97,4.584967478670572,0,1,2,6,7,178,5.187385805840755,1,1,3,3,8,2,1,1,3464.0
0,5,3,2,9,9,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,124,4.8283137373023015,1,1,4,5,4,145,4.983606621708336,0,1,0,5,5,3,1,7,535.0
6,4,1,9,2,3,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,123,4.820281565605037,0,0,3,4,3,13,2.6390573296152584,0,1,3,6,3,53,3.9889840465642745,0,2,3,4,3,0,1,2,872.0
4,2,2,0,5,11,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,1,0.6931471805599453,0,1,1,1,1,15,2.772588722239781,0,0,0,1,5,41,3.7376696182833684,0,2,1,6,1,29,3.4011973816621555,0,2,4,1,9,3,1,5,600.0
8,4,2,8,1,0,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,31,3.4657359027997265,0,1,1,3,1,83,4.430816798843313,0,2,3,6,3,47,3.871201010907891,0,2,2,5,7,3,1,0,1222.0
7,0,1,3,11,11,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,12,2.5649493574615367,1,0,2,5,2,108,4.6913478822291435,1,0,3,3,8,80,4.394449154672439,1,2,0,3,0,181,5.204006687076795,0,1,1,6,1,3,1,3,3380.0
1,3,2,0,2,8,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,37,3.6375861597263857,0,1,2,2,7,196,5.2832037287379885,1,1,1,0,6,154,5.043425116919247,1,1,4,0,4,1,1,8,842.0
5,2,2,6,2,5,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,120,4.795790545596741,1,0,0,1,0,195,5.278114659230517,0,0,0,6,5,59,4.0943445622221,0,2,4,3,9,2,1,3,2561.0
8,1,4,2,9,9,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,45,3.828641396489095,0,0,0,3,5,157,5.062595033026967,0,1,2,3,7,30,3.4339872044851463,1,0,0,2,0,2,1,4,1863.0
8,0,4,8,10,1,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,85,4.454347296253507,0,1,0,1,5,53,3.9889840465642745,0,2,3,4,3,114,4.74493212836325,1,0,4,2,4,0,1,4,780.0
8,5,2,4,0,10,7,2.0794415416798357,0,1,2,0,7,11,2.4849066497880004,0,2,1,4,1,9,2.302585092994046,0,0,4,2,9,68,4.23410650459726,1,2,3,5,8,161,5.087596335232384,0,2,1,0,1,142,4.962844630259907,1,1,2,2,2,1,1,1,3525.0
3,6,1,2,11,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,130,4.875197323201151,1,1,0,4,0,99,4.605170185988092,0,0,4,1,9,169,5.135798437050262,0,1,4,1,9,1,1,6,2385.0
2,1,3,1,0,5,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,13,2.6390573296152584,0,1,3,6,3,55,4.02535169073515,0,1,0,6,5,165,5.111987788356544,0,0,0,4,5,1,1,5,735.0
5,5,2,6,7,11,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,99,4.605170185988092,0,0,4,1,9,179,5.19295685089021,0,2,4,4,9,28,3.367295829986474,1,1,3,0,8,1,1,5,1811.0
8,1,1,1,3,1,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,126,4.844187086458591,1,0,1,0,6,86,4.465908118654584,1,2,1,2,6,97,4.584967478670572,0,1,2,6,7,2,1,6,1587.0
6,5,3,7,11,6,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,192,5.262690188904886,1,0,2,3,2,87,4.477336814478207,0,0,2,3,7,170,5.14166355650266,1,2,0,2,0,3,1,7,2422.0
1,6,2,3,3,3,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,151,5.0238805208462765,0,1,1,4,1,181,5.204006687076795,0,1,1,6,1,158,5.0689042022202315,1,2,3,4,8,0,1,6,2096.0
2,2,3,9,9,1,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,159,5.075173815233827,0,0,4,5,9,186,5.231108616854587,1,0,1,4,6,168,5.1298987149230735,1,0,3,0,8,3,1,2,3999.0
1,4,0,5,4,9,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,60,4.110873864173311,1,0,0,4,0,18,2.9444389791664403,1,0,3,4,8,144,4.976733742420574,1,0,4,4,4,2,2,8,1704.0
1,3,4,9,7,5,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,192,5.262690188904886,1,0,2,3,2,39,3.6888794541139363,0,0,4,4,9,35,3.58351893845611,0,2,0,0,5,3,1,6,868.0
3,1,1,2,1,3,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,0,6,0,42,3.7612001156935624,1,0,2,0,2,19,2.995732273553991,0,1,4,5,9,1,1,3,362.0
4,5,1,1,7,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,58,4.07753744390572,1,1,3,2,8,176,5.176149732573829,1,2,1,1,6,2,2,7,2496.0
4,6,1,10,1,9,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,80,4.394449154672439,1,2,0,3,0,104,4.653960350157523,1,2,4,6,4,12,2.5649493574615367,1,0,2,5,2,1,1,4,784.0
3,2,0,1,11,6,12,2.5649493574615367,1,0,2,5,2,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,69,4.248495242049359,0,0,4,6,9,100,4.61512051684126,1,1,0,2,0,83,4.430816798843313,0,2,3,6,3,1,1,1,2475.0
7,2,0,5,8,3,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,39,3.6888794541139363,0,0,4,4,9,11,2.4849066497880004,0,2,1,4,1,146,4.990432586778736,1,2,1,6,6,0,1,1,1546.0
5,1,3,3,4,5,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,69,4.248495242049359,0,0,4,6,9,151,5.0238805208462765,0,1,1,4,1,58,4.07753744390572,1,1,3,2,8,0,1,0,2363.0
5,1,4,10,0,5,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,64,4.174387269895637,1,1,4,1,4,40,3.713572066704308,1,1,0,5,0,76,4.343805421853684,1,1,1,6,6,1,1,4,1204.0
6,1,0,11,4,0,8,2.1972245773362196,1,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,9,2.302585092994046,0,0,4,2,9,57,4.060443010546419,0,0,2,1,7,89,4.499809670330265,0,2,4,5,9,25,3.258096538021482,0,1,0,4,5,2,1,0,1749.0
6,5,3,5,5,2,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,7,2.0794415416798357,0,1,2,0,7,111,4.718498871295094,0,0,1,6,1,34,3.5553480614894135,1,1,4,6,4,112,4.727387818712341,1,1,2,0,2,3,1,1,2490.0
1,2,2,9,3,1,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,154,5.043425116919247,1,1,4,0,4,43,3.784189633918261,0,1,3,1,3,118,4.77912349311153,1,1,3,6,8,1,1,4,2292.0
9,5,1,5,1,0,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,164,5.10594547390058,1,2,4,3,4,73,4.30406509320417,0,1,3,3,3,109,4.700480365792417,0,1,4,4,9,3,1,2,1619.0
2,3,0,11,11,6,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,0,2,5,2,84,4.442651256490317,1,0,4,0,4,127,4.852030263919617,0,1,2,1,7,159,5.075173815233827,0,0,4,5,9,0,1,8,2539.0
3,4,0,1,2,8,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,159,5.075173815233827,0,0,4,5,9,109,4.700480365792417,0,1,4,4,9,11,2.4849066497880004,0,2,1,4,1,1,1,3,1524.0
4,5,4,1,10,1,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,137,4.927253685157205,0,2,2,4,7,50,3.9318256327243257,1,2,0,1,0,132,4.890349128221754,1,0,2,6,2,0,1,4,1782.0
5,0,3,4,0,5,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,100,4.61512051684126,1,1,0,2,0,81,4.406719247264253,0,0,1,4,1,132,4.890349128221754,1,0,2,6,2,2,1,3,2234.0
3,4,4,9,9,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,118,4.77912349311153,1,1,3,6,8,143,4.969813299576001,0,2,3,3,3,123,4.820281565605037,0,0,3,4,3,0,1,1,1930.0
3,3,3,6,6,4,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,142,4.962844630259907,1,1,2,2,2,13,2.6390573296152584,0,1,3,6,3,182,5.209486152841421,1,2,2,0,2,3,1,2,2746.0
5,5,3,5,9,9,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,68,4.23410650459726,1,2,3,5,8,66,4.204692619390966,1,0,1,3,6,39,3.6888794541139363,0,0,4,4,9,1,1,9,921.0
0,5,2,8,4,1,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,104,4.653960350157523,1,2,4,6,4,138,4.9344739331306915,1,0,3,5,8,150,5.017279836814924,1,0,0,3,0,1,1,2,3138.0
5,3,3,11,5,11,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,100,4.61512051684126,1,1,0,2,0,67,4.219507705176107,0,1,2,4,7,128,4.859812404361672,1,2,3,2,8,2,1,3,1944.0
1,0,0,6,8,4,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,9,2.302585092994046,0,0,4,2,9,26,3.295836866004329,1,2,1,5,6,54,4.007333185232471,1,0,4,5,4,124,4.8283137373023015,1,1,4,5,4,3,1,6,1836.0
4,6,1,11,4,3,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,37,3.6375861597263857,0,1,2,2,7,97,4.584967478670572,0,1,2,6,7,159,5.075173815233827,0,0,4,5,9,2,1,0,1936.0
7,6,3,4,3,0,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,161,5.087596335232384,0,2,1,0,1,165,5.111987788356544,0,0,0,4,5,193,5.267858159063328,0,1,3,4,3,0,1,2,2213.0
8,6,1,4,3,4,11,2.4849066497880004,0,2,1,4,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,46,3.8501476017100584,1,1,1,4,6,154,5.043425116919247,1,1,4,0,4,28,3.367295829986474,1,1,3,0,8,1,1,5,2102.0
8,1,2,1,7,9,10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,9,2.302585092994046,0,0,4,2,9,127,4.852030263919617,0,1,2,1,7,164,5.10594547390058,1,2,4,3,4,141,4.955827057601261,0,0,1,1,1,1,1,1,4179.0
7,3,3,6,1,8,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,82,4.418840607796598,1,1,2,5,2,77,4.356708826689592,0,2,2,0,7,19,2.995732273553991,0,1,4,5,9,3,1,3,1092.0
5,3,0,5,11,5,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,90,4.51085950651685,1,0,0,6,0,154,5.043425116919247,1,1,4,0,4,173,5.159055299214529,0,2,3,5,3,0,1,4,2642.0
5,4,0,10,10,2,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,110,4.709530201312334,1,2,0,5,0,11,2.4849066497880004,0,2,1,4,1,107,4.68213122712422,0,2,2,2,7,0,1,5,758.0
0,0,0,4,11,3,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,9,2.302585092994046,0,0,4,2,9,27,3.332204510175204,0,0,2,6,7,27,3.332204510175204,0,0,2,6,7,35,3.58351893845611,0,2,0,0,5,2,1,3,693.0
6,2,3,9,6,1,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,191,5.2574953720277815,0,2,1,2,1,50,3.9318256327243257,1,2,0,1,0,71,4.276666119016055,0,2,1,1,1,3,1,2,1859.0
2,5,1,8,1,7,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,66,4.204692619390966,1,0,1,3,6,37,3.6375861597263857,0,1,2,2,7,33,3.5263605246161616,0,0,3,5,3,3,1,3,1076.0
2,3,2,0,5,0,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,0,2,0,107,4.68213122712422,0,2,2,2,7,166,5.117993812416755,1,1,1,5,6,0,1,3,1855.0
7,4,0,5,3,11,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,168,5.1298987149230735,1,0,3,0,8,88,4.48863636973214,1,1,3,4,8,45,3.828641396489095,0,0,0,3,5,0,1,8,2109.0
1,4,1,6,5,9,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,192,5.262690188904886,1,0,2,3,2,165,5.111987788356544,0,0,0,4,5,36,3.6109179126442243,1,0,1,1,6,2,1,4,3036.0
