slot_person1,slot_person2,slot_item1,slot_item2,slot_multiplier,slot_multiplier_abs_log1p,slot_multiplier_is_even,slot_multiplier_mod3,slot_multiplier_mod5,slot_multiplier_mod7,slot_multiplier_mod10,slot_count1_person2,slot_count1_person2_abs_log1p,slot_count1_person2_is_even,slot_count1_person2_mod3,slot_count1_person2_mod5,slot_count1_person2_mod7,slot_count1_person2_mod10,slot_count2_person2,slot_count2_person2_abs_log1p,slot_count2_person2_is_even,slot_count2_person2_mod3,slot_count2_person2_mod5,slot_count2_person2_mod7,slot_count2_person2_mod10,gcd_all,n_multiple_pairs,y
0,3,8,6,4,1.6094379124341003,1,1,4,4,4,80,4.394449154672439,1,2,0,3,0,36,3.6109179126442243,1,0,1,1,6,4,2,29.0
2,3,0,4,6,1.9459101490553132,1,0,1,6,6,78,4.3694478524670215,1,0,3,1,8,60,4.110873864173311,1,0,0,4,0,6,2,23.0
8,8,2,2,2,1.0986122886681098,1,2,2,2,2,74,4.31748811353631,1,2,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,2,41.0
5,1,3,3,8,2.1972245773362196,1,2,3,1,8,152,5.030437921392435,1,2,2,5,2,56,4.04305126783455,1,2,1,0,6,8,2,26.0
9,8,0,1,2,1.0986122886681098,1,2,2,2,2,72,4.290459441148391,1,0,2,2,2,52,3.970291913552122,1,1,2,3,2,2,2,62.0
5,8,5,1,3,1.3862943611198906,0,0,3,3,3,27,3.332204510175204,0,0,2,6,7,105,4.663439094112067,0,0,0,0,5,3,2,44.0
1,7,0,3,5,1.791759469228055,0,2,0,5,5,75,4.330733340286331,0,0,0,5,5,60,4.110873864173311,1,0,0,4,0,5,2,27.0
1,7,6,8,5,1.791759469228055,0,2,0,5,5,65,4.189654742026425,0,2,0,2,5,45,3.828641396489095,0,0,0,3,5,5,2,22.0
1,6,1,8,9,2.302585092994046,0,0,4,2,9,216,5.37989735354046,1,0,1,6,6,225,5.420534999272286,0,0,0,1,5,9,2,49.0
5,5,0,5,8,2.1972245773362196,1,2,3,1,8,232,5.4510384535657,1,1,2,1,2,72,4.290459441148391,1,0,2,2,2,8,2,38.0
3,6,0,0,2,1.0986122886681098,1,2,2,2,2,56,4.04305126783455,1,2,1,0,6,14,2.70805020110221,1,2,4,0,4,2,3,35.0
0,9,8,9,5,1.791759469228055,0,2,0,5,5,135,4.912654885736052,0,0,0,2,5,85,4.454347296253507,0,1,0,1,5,5,2,44.0
1,6,1,2,5,1.791759469228055,0,2,0,5,5,140,4.948759890378168,1,2,0,0,0,55,4.02535169073515,0,1,0,6,5,5,2,39.0
0,1,7,7,9,2.302585092994046,0,0,4,2,9,153,5.0369526024136295,0,0,3,6,3,90,4.51085950651685,1,0,0,6,0,9,2,27.0
2,0,4,8,9,2.302585092994046,0,0,4,2,9,171,5.147494476813453,0,0,1,3,1,252,5.53338948872752,1,0,2,0,2,9,2,47.0
5,6,8,9,7,2.0794415416798357,0,1,2,0,7,259,5.560681631015528,0,1,4,0,9,273,5.6131281063880705,0,0,3,0,3,7,2,76.0
1,2,9,7,7,2.0794415416798357,0,1,2,0,7,56,4.04305126783455,1,2,1,0,6,203,5.318119993844216,0,2,3,0,3,7,2,37.0
9,7,0,6,5,1.791759469228055,0,2,0,5,5,190,5.25227342804663,1,1,0,1,0,15,2.772588722239781,0,0,0,1,5,5,2,41.0
0,1,4,1,7,2.0794415416798357,0,1,2,0,7,133,4.897839799950911,0,1,3,0,3,28,3.367295829986474,1,1,3,0,8,7,2,23.0
7,2,4,1,8,2.1972245773362196,1,2,3,1,8,72,4.290459441148391,1,0,2,2,2,192,5.262690188904886,1,0,2,3,2,8,2,33.0
8,4,0,7,9,2.302585092994046,0,0,4,2,9,99,4.605170185988092,0,0,4,1,9,54,4.007333185232471,1,0,4,5,4,9,2,17.0
2,6,8,8,9,2.302585092994046,0,0,4,2,9,54,4.007333185232471,1,0,4,5,4,153,5.0369526024136295,0,0,3,6,3,9,2,23.0
8,0,9,3,2,1.0986122886681098,1,2,2,2,2,42,3.7612001156935624,1,0,2,0,2,12,2.5649493574615367,1,0,2,5,2,2,2,27.0
4,7,3,5,3,1.3862943611198906,0,0,3,3,3,120,4.795790545596741,1,0,0,1,0,81,4.406719247264253,0,0,1,4,1,3,2,67.0
6,5,6,3,2,1.0986122886681098,1,2,2,2,2,70,4.2626798770413155,1,1,0,0,0,18,2.9444389791664403,1,0,3,4,8,2,2,44.0
4,1,5,1,5,1.791759469228055,0,2,0,5,5,120,4.795790545596741,1,0,0,1,0,170,5.14166355650266,1,2,0,2,0,5,2,58.0
3,6,1,0,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,3,3,6.0
7,7,6,1,7,2.0794415416798357,0,1,2,0,7,133,4.897839799950911,0,1,3,0,3,63,4.1588830833596715,0,0,3,0,3,7,2,28.0
3,7,2,4,8,2.1972245773362196,1,2,3,1,8,64,4.174387269895637,1,1,4,1,4,232,5.4510384535657,1,1,2,1,2,8,2,37.0
4,1,0,4,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,0,1,1,6,78,4.3694478524670215,1,0,3,1,8,3,2,38.0
7,8,5,6,3,1.3862943611198906,0,0,3,3,3,33,3.5263605246161616,0,0,3,5,3,63,4.1588830833596715,0,0,3,0,3,3,2,32.0
1,1,3,9,7,2.0794415416798357,0,1,2,0,7,280,5.638354669333745,1,1,0,0,0,266,5.58724865840025,1,2,1,0,6,7,2,78.0
7,8,3,7,8,2.1972245773362196,1,2,3,1,8,144,4.976733742420574,1,0,4,4,4,8,2.1972245773362196,1,2,3,1,8,8,3,19.0
9,2,1,0,9,2.302585092994046,0,0,4,2,9,288,5.666426688112432,1,0,3,1,8,351,5.863631175598097,0,0,1,1,1,9,2,71.0
7,7,6,7,4,1.6094379124341003,1,1,4,4,4,108,4.6913478822291435,1,0,3,3,8,80,4.394449154672439,1,2,0,3,0,4,2,47.0
6,3,4,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,3,3,5.0
4,4,1,9,3,1.3862943611198906,0,0,3,3,3,24,3.2188758248682006,1,0,4,3,4,30,3.4339872044851463,1,0,0,2,0,3,2,18.0
7,9,9,7,5,1.791759469228055,0,2,0,5,5,145,4.983606621708336,0,1,0,5,5,80,4.394449154672439,1,2,0,3,0,5,2,45.0
4,2,8,0,8,2.1972245773362196,1,2,3,1,8,256,5.54907608489522,1,1,1,4,6,24,3.2188758248682006,1,0,4,3,4,8,2,35.0
8,9,6,4,6,1.9459101490553132,1,0,1,6,6,162,5.093750200806762,1,0,2,1,2,240,5.484796933490655,1,0,0,2,0,6,2,67.0
1,4,8,9,4,1.6094379124341003,1,1,4,4,4,84,4.442651256490317,1,0,4,0,4,104,4.653960350157523,1,2,4,6,4,4,2,47.0
4,8,4,0,3,1.3862943611198906,0,0,3,3,3,21,3.091042453358316,0,0,1,0,1,99,4.605170185988092,0,0,4,1,9,3,2,40.0
3,7,1,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,0,5,0,2,2,23.0
2,5,7,3,3,1.3862943611198906,0,0,3,3,3,102,4.634728988229636,1,0,2,4,2,63,4.1588830833596715,0,0,3,0,3,3,2,55.0
3,6,1,6,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,66,4.204692619390966,1,0,1,3,6,2,2,37.0
0,0,9,7,9,2.302585092994046,0,0,4,2,9,189,5.247024072160486,0,0,4,0,9,315,5.755742213586912,0,0,0,0,5,9,2,56.0
8,4,3,0,8,2.1972245773362196,1,2,3,1,8,160,5.081404364984463,1,1,0,6,0,64,4.174387269895637,1,1,4,1,4,8,2,28.0
3,7,8,7,9,2.302585092994046,0,0,4,2,9,189,5.247024072160486,0,0,4,0,9,333,5.811140992976701,0,0,3,4,3,9,2,58.0
9,7,6,7,5,1.791759469228055,0,2,0,5,5,80,4.394449154672439,1,2,0,3,0,75,4.330733340286331,0,0,0,5,5,5,2,31.0
5,1,1,6,9,2.302585092994046,0,0,4,2,9,63,4.1588830833596715,0,0,3,0,3,225,5.420534999272286,0,0,0,1,5,9,2,32.0
2,0,0,5,5,1.791759469228055,0,2,0,5,5,155,5.049856007249537,0,2,0,1,5,20,3.044522437723423,1,2,0,6,0,5,2,35.0
3,8,1,3,8,2.1972245773362196,1,2,3,1,8,136,4.919980925828125,1,1,1,3,6,120,4.795790545596741,1,0,0,1,0,8,2,32.0
7,7,6,0,2,1.0986122886681098,1,2,2,2,2,36,3.6109179126442243,1,0,1,1,6,78,4.3694478524670215,1,0,3,1,8,2,2,57.0
6,7,5,3,4,1.6094379124341003,1,1,4,4,4,68,4.23410650459726,1,2,3,5,8,76,4.343805421853684,1,1,1,6,6,4,2,36.0
9,5,7,8,3,1.3862943611198906,0,0,3,3,3,87,4.477336814478207,0,0,2,3,7,120,4.795790545596741,1,0,0,1,0,3,2,69.0
8,5,7,0,7,2.0794415416798357,0,1,2,0,7,133,4.897839799950911,0,1,3,0,3,28,3.367295829986474,1,1,3,0,8,7,2,23.0
8,2,2,1,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,0,2,0,50,3.9318256327243257,1,2,0,1,0,5,2,16.0
3,1,8,6,8,2.1972245773362196,1,2,3,1,8,240,5.484796933490655,1,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,8,3,31.0
5,1,0,8,6,1.9459101490553132,1,0,1,6,6,72,4.290459441148391,1,0,2,2,2,42,3.7612001156935624,1,0,2,0,2,6,2,19.0
9,7,2,8,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,0,2,0,58,4.07753744390572,1,1,3,2,8,2,2,44.0
7,3,2,2,7,2.0794415416798357,0,1,2,0,7,252,5.53338948872752,1,0,2,0,2,189,5.247024072160486,0,0,4,0,9,7,2,63.0
0,7,4,5,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,132,4.890349128221754,1,0,2,6,2,6,3,23.0
0,0,2,8,8,2.1972245773362196,1,2,3,1,8,248,5.517452896464707,1,2,3,3,8,144,4.976733742420574,1,0,4,4,4,8,2,49.0
4,2,3,7,3,1.3862943611198906,0,0,3,3,3,15,2.772588722239781,0,0,0,1,5,117,4.770684624465665,0,0,2,5,7,3,2,44.0
6,5,3,5,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,132,4.890349128221754,1,0,2,6,2,6,3,23.0
8,7,3,9,2,1.0986122886681098,1,2,2,2,2,24,3.2188758248682006,1,0,4,3,4,30,3.4339872044851463,1,0,0,2,0,2,2,27.0
3,5,0,8,3,1.3862943611198906,0,0,3,3,3,102,4.634728988229636,1,0,2,4,2,93,4.543294782270004,0,0,3,2,3,3,2,65.0
4,8,9,3,5,1.791759469228055,0,2,0,5,5,175,5.170483995038151,0,1,0,0,5,10,2.3978952727983707,1,1,0,3,0,5,2,37.0
9,2,0,0,6,1.9459101490553132,1,0,1,6,6,210,5.351858133476067,1,0,0,0,0,102,4.634728988229636,1,0,2,4,2,6,2,52.0
1,4,1,9,8,2.1972245773362196,1,2,3,1,8,280,5.638354669333745,1,1,0,0,0,240,5.484796933490655,1,0,0,2,0,8,2,65.0
0,7,9,1,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,117,4.770684624465665,0,0,2,5,7,3,2,45.0
7,8,4,0,5,1.791759469228055,0,2,0,5,5,190,5.25227342804663,1,1,0,1,0,65,4.189654742026425,0,2,0,2,5,5,2,51.0
3,1,5,1,8,2.1972245773362196,1,2,3,1,8,224,5.41610040220442,1,2,4,0,4,304,5.720311776607412,1,1,4,3,4,8,2,66.0
5,3,6,5,2,1.0986122886681098,1,2,2,2,2,36,3.6109179126442243,1,0,1,1,6,44,3.8066624897703196,1,2,4,2,4,2,2,40.0
0,8,8,1,9,2.302585092994046,0,0,4,2,9,207,5.337538079701318,0,0,2,4,7,261,5.568344503761097,0,0,1,2,1,9,2,52.0
0,0,2,0,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,2,6,84,4.442651256490317,1,0,4,0,4,4,2,25.0
4,0,4,2,7,2.0794415416798357,0,1,2,0,7,224,5.41610040220442,1,2,4,0,4,154,5.043425116919247,1,1,4,0,4,7,2,54.0
9,6,1,8,4,1.6094379124341003,1,1,4,4,4,104,4.653960350157523,1,2,4,6,4,108,4.6913478822291435,1,0,3,3,8,4,2,53.0
5,3,4,0,7,2.0794415416798357,0,1,2,0,7,231,5.44673737166631,0,0,1,0,1,238,5.476463551931511,1,1,3,0,8,7,2,67.0
1,2,0,3,4,1.6094379124341003,1,1,4,4,4,16,2.833213344056216,1,1,1,2,6,36,3.6109179126442243,1,0,1,1,6,4,2,13.0
5,7,1,0,4,1.6094379124341003,1,1,4,4,4,44,3.8066624897703196,1,2,4,2,4,96,4.574710978503383,1,0,1,5,6,4,2,35.0
9,3,9,9,8,2.1972245773362196,1,2,3,1,8,104,4.653960350157523,1,2,4,6,4,296,5.6937321388027,1,2,1,2,6,8,2,50.0
6,5,6,4,8,2.1972245773362196,1,2,3,1,8,248,5.517452896464707,1,2,3,3,8,176,5.176149732573829,1,2,1,1,6,8,2,53.0
9,5,7,5,3,1.3862943611198906,0,0,3,3,3,117,4.770684624465665,0,0,2,5,7,15,2.772588722239781,0,0,0,1,5,3,2,44.0
5,0,0,9,4,1.6094379124341003,1,1,4,4,4,148,5.003946305945459,1,1,3,1,8,8,2.1972245773362196,1,2,3,1,8,4,2,39.0
6,7,3,1,5,1.791759469228055,0,2,0,5,5,125,4.836281906951478,0,2,0,6,5,200,5.303304908059076,1,2,0,4,0,5,2,65.0
6,1,6,6,5,1.791759469228055,0,2,0,5,5,195,5.278114659230517,0,0,0,6,5,175,5.170483995038151,0,1,0,0,5,5,2,74.0
4,3,3,3,6,1.9459101490553132,1,0,1,6,6,120,4.795790545596741,1,0,0,1,0,78,4.3694478524670215,1,0,3,1,8,6,2,33.0
0,3,7,5,3,1.3862943611198906,0,0,3,3,3,27,3.332204510175204,0,0,2,6,7,39,3.6888794541139363,0,0,4,4,9,3,2,22.0
4,2,4,3,8,2.1972245773362196,1,2,3,1,8,168,5.1298987149230735,1,0,3,0,8,224,5.41610040220442,1,2,4,0,4,8,2,49.0
1,5,4,2,5,1.791759469228055,0,2,0,5,5,160,5.081404364984463,1,1,0,6,0,145,4.983606621708336,0,1,0,5,5,5,2,61.0
0,9,6,5,6,1.9459101490553132,1,0,1,6,6,120,4.795790545596741,1,0,0,1,0,18,2.9444389791664403,1,0,3,4,8,6,2,23.0
8,6,6,9,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,22,3.1354942159291497,1,1,2,1,2,2,2,13.0
8,4,6,2,6,1.9459101490553132,1,0,1,6,6,102,4.634728988229636,1,0,2,4,2,12,2.5649493574615367,1,0,2,5,2,6,2,19.0
1,0,8,0,2,1.0986122886681098,1,2,2,2,2,64,4.174387269895637,1,1,4,1,4,32,3.4965075614664802,1,2,2,4,2,2,3,48.0
9,5,8,1,3,1.3862943611198906,0,0,3,3,3,90,4.51085950651685,1,0,0,6,0,120,4.795790545596741,1,0,0,1,0,3,2,70.0
4,7,3,0,7,2.0794415416798357,0,1,2,0,7,175,5.170483995038151,0,1,0,0,5,119,4.787491742782046,0,2,4,0,9,7,2,42.0
0,3,9,0,6,1.9459101490553132,1,0,1,6,6,150,5.017279836814924,1,0,0,3,0,204,5.3230099791384085,1,0,4,1,4,6,2,59.0
8,4,9,4,3,1.3862943611198906,0,0,3,3,3,48,3.8918202981106265,1,0,3,6,8,27,3.332204510175204,0,0,2,6,7,3,2,25.0
1,4,7,3,8,2.1972245773362196,1,2,3,1,8,112,4.727387818712341,1,1,2,0,2,176,5.176149732573829,1,2,1,1,6,8,2,36.0
4,4,0,3,5,1.791759469228055,0,2,0,5,5,35,3.58351893845611,0,2,0,0,5,75,4.330733340286331,0,0,0,5,5,5,2,22.0
7,3,5,6,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,0,1,0,95,4.564348191467836,0,2,0,4,5,5,2,29.0
6,2,6,2,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,0,2,0,28,3.367295829986474,1,1,3,0,8,2,2,29.0
0,3,3,4,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,81,4.406719247264253,0,0,1,4,1,3,3,28.0
