slot_person_name,slot_item,slot_place,slot_d1,slot_d2,slot_d3,slot_base_count,slot_base_count_abs_log1p,slot_base_count_is_even,slot_base_count_mod3,slot_base_count_mod5,slot_base_count_mod7,slot_base_count_mod10,slot_mult2,slot_mult2_abs_log1p,slot_mult2_is_even,slot_mult2_mod3,slot_mult2_mod5,slot_mult2_mod7,slot_mult2_mod10,slot_mult3,slot_mult3_abs_log1p,slot_mult3_is_even,slot_mult3_mod3,slot_mult3_mod5,slot_mult3_mod7,slot_mult3_mod10,gcd_all,n_multiple_pairs,y
8,11,0,9,9,7,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0,63.0
10,6,9,0,7,3,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,1,390.0
8,8,0,7,9,4,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,1,108.0
11,1,5,3,3,8,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,93.0
5,3,10,3,5,1,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,0,170.0
9,3,0,8,4,3,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0,144.0
2,3,10,9,9,0,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,2,3,28.0
6,6,2,1,5,6,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,3,180.0
6,3,8,3,2,5,19,2.995732273553991,0,1,4,5,9,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,1,475.0
0,5,1,0,3,0,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,0,442.0
3,5,7,4,4,1,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,1,648.0
6,6,7,5,2,2,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,217.0
7,9,8,2,2,8,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,1,342.0
2,8,8,1,3,9,13,2.6390573296152584,0,1,3,6,3,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,1,273.0
11,10,8,5,5,3,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,1,740.0
3,0,7,0,5,0,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0,208.0
4,3,6,3,5,8,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,0,130.0
8,7,11,3,8,2,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,3,270.0
4,3,11,0,6,9,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,0,144.0
8,11,3,1,3,7,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,1,195.0
5,10,4,8,5,3,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,1,3,13.0
8,5,6,7,2,6,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,1,228.0
11,8,1,2,7,2,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,93.0
0,3,1,4,8,6,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,1,169.0
4,2,11,5,6,0,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,1,171.0
6,8,2,3,8,1,17,2.8903717578961645,0,2,2,3,7,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,1,323.0
0,9,5,8,8,7,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,1,186.0
4,1,5,7,4,5,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,3,3,396.0
7,11,10,6,1,4,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,0,576.0
9,3,6,9,3,3,19,2.995732273553991,0,1,4,5,9,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,1,247.0
1,3,11,8,6,1,16,2.833213344056216,1,1,1,2,6,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,1,688.0
11,11,5,3,6,0,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,169.0
0,1,3,5,5,6,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,3,3,66.0
11,11,10,0,6,8,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,62.0
6,7,4,4,9,7,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,1,128.0
10,6,7,2,3,8,12,2.5649493574615367,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,2,372.0
5,4,9,4,8,0,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,0,396.0
7,4,5,8,4,5,15,2.772588722239781,0,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,3,1,645.0
11,2,0,6,5,5,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,1,1,65.0
8,6,11,2,8,3,17,2.8903717578961645,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,0,170.0
7,6,0,5,0,5,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,1,430.0
1,5,5,9,3,6,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,2,240.0
0,5,10,7,0,0,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,0,504.0
2,0,4,8,2,0,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,3,22.0
3,2,11,9,5,3,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0,350.0
7,3,11,3,8,2,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,3,336.0
3,3,11,3,4,9,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,169.0
8,8,3,2,6,1,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,1,522.0
6,0,10,2,8,1,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,169.0
7,8,4,4,7,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,0,42.0
8,7,11,2,1,0,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,1,133.0
2,11,4,8,8,7,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,210.0
2,4,5,4,8,9,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,143.0
11,10,7,0,4,4,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,0,468.0
6,4,11,0,2,6,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,1,352.0
4,5,2,1,5,6,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,126.0
10,8,6,1,5,5,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,1,96.0
10,11,8,4,4,1,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,1,48.0
0,2,6,2,7,0,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,1,126.0
4,8,4,2,2,5,14,2.70805020110221,1,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,2,266.0
4,2,11,9,9,6,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,2,60.0
5,2,5,6,1,0,16,2.833213344056216,1,1,1,2,6,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,1,496.0
2,4,2,3,3,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,3,22.0
7,8,6,9,9,8,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,0,294.0
2,9,6,8,5,0,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,0,494.0
5,8,3,8,3,0,17,2.8903717578961645,0,2,2,3,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,221.0
2,8,7,9,3,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,1,72.0
4,5,3,4,9,9,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0,475.0
4,4,2,4,7,3,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0,224.0
6,4,8,2,3,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,1,185.0
8,5,10,0,2,5,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,1,30.0
2,3,4,3,8,8,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,1,133.0
7,5,11,9,4,9,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,1,216.0
1,5,5,2,0,0,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,3,176.0
8,10,1,6,7,5,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,2,130.0
4,7,6,0,8,3,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,1,208.0
4,4,8,6,8,4,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,1,105.0
11,1,10,9,4,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,1,87.0
7,8,1,8,7,1,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,1,301.0
7,7,4,8,1,2,17,2.8903717578961645,0,2,2,3,7,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0,629.0
11,5,3,8,9,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,2,13.0
9,3,10,1,2,6,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,0,203.0
11,3,3,3,9,2,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,0,85.0
4,4,3,8,7,4,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,3,270.0
10,5,2,5,1,7,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,434.0
1,9,9,2,1,3,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,558.0
4,8,5,1,9,2,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,1,370.0
11,1,7,8,8,9,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0,208.0
9,10,10,8,7,0,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0,176.0
9,11,3,4,8,8,19,2.995732273553991,0,1,4,5,9,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0,703.0
10,8,10,4,0,6,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,2,315.0
10,2,4,9,0,4,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,2,260.0
9,8,11,2,2,1,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,0,396.0
8,6,3,6,6,4,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,434.0
11,8,4,9,5,9,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,1,312.0
2,10,11,8,8,2,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,248.0
4,6,3,9,3,0,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0,224.0
3,0,9,2,3,9,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,3,52.0
6,7,2,5,5,2,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,1,403.0
0,4,0,1,8,3,14,2.70805020110221,1,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,1,602.0
1,0,11,9,7,6,14,2.70805020110221,1,2,4,0,4,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,2,266.0
6,1,3,7,3,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,1,125.0
1,11,1,4,8,8,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,1,360.0
2,5,6,7,8,0,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,0,323.0
9,0,2,1,0,1,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,210.0
6,8,10,7,3,6,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,3,1,387.0
4,11,11,9,3,0,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,2,234.0
9,11,3,5,2,1,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,1,88.0
9,4,3,5,1,3,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,143.0
9,9,0,5,1,3,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,0,319.0
11,11,9,1,0,9,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,2,16.0
3,10,3,0,3,5,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,2,62.0
1,7,1,1,2,9,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,1,176.0
9,11,5,0,5,9,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,1,90.0
2,8,10,1,8,3,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,2,192.0
5,0,6,4,2,1,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,1,125.0
11,8,9,9,6,7,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,1,440.0
