slot_person_name,slot_room_name,slot_length_ft,slot_length_ft_abs_log1p,slot_length_ft_is_even,slot_length_ft_mod3,slot_length_ft_mod5,slot_length_ft_mod7,slot_length_ft_mod10,slot_width_ft,slot_width_ft_abs_log1p,slot_width_ft_is_even,slot_width_ft_mod3,slot_width_ft_mod5,slot_width_ft_mod7,slot_width_ft_mod10,slot_cost_material_per_sqft,slot_cost_material_per_sqft_abs_log1p,slot_cost_material_per_sqft_is_even,slot_cost_material_per_sqft_mod3,slot_cost_material_per_sqft_mod5,slot_cost_material_per_sqft_mod7,slot_cost_material_per_sqft_mod10,slot_cost_padding_per_sqft,slot_cost_padding_per_sqft_abs_log1p,slot_cost_padding_per_sqft_sign,slot_cost_padding_per_sqft_is_even,slot_cost_padding_per_sqft_mod3,slot_cost_padding_per_sqft_mod5,slot_cost_padding_per_sqft_mod7,slot_cost_padding_per_sqft_mod10,slot_cost_removal_per_sqft,slot_cost_removal_per_sqft_abs_log1p,slot_cost_removal_per_sqft_sign,slot_cost_removal_per_sqft_is_even,slot_cost_removal_per_sqft_mod3,slot_cost_removal_per_sqft_mod5,slot_cost_removal_per_sqft_mod7,slot_cost_removal_per_sqft_mod10,slot_cost_install_per_sqft,slot_cost_install_per_sqft_abs_log1p,slot_cost_install_per_sqft_is_even,slot_cost_install_per_sqft_mod3,slot_cost_install_per_sqft_mod5,slot_cost_install_per_sqft_mod7,slot_cost_install_per_sqft_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
4,0,23,3.1780538303479458,0,2,3,2,3,28,3.367295829986474,1,1,3,0,8,26,3.295836866004329,1,2,1,5,6,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,38,3.6635616461296463,1,2,3,3,8,2,1,3,42504.0
7,2,10,2.3978952727983707,1,1,0,3,0,22,3.1354942159291497,1,1,2,1,2,12,2.5649493574615367,1,0,2,5,2,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,29,3.4011973816621555,0,2,4,1,9,1,1,3,9460.0
4,4,26,3.295836866004329,1,2,1,5,6,22,3.1354942159291497,1,1,2,1,2,40,3.713572066704308,1,1,0,5,0,6,1.9459101490553132,1,1,0,1,6,6,8,2.1972245773362196,1,1,2,3,1,8,19,2.995732273553991,0,1,4,5,9,0,1,1,41756.0
0,3,25,3.258096538021482,0,1,0,4,5,11,2.4849066497880004,0,2,1,4,1,32,3.4965075614664802,1,2,2,4,2,8,2.1972245773362196,1,1,2,3,1,8,0,0.0,0,1,0,0,0,0,31,3.4657359027997265,0,1,1,3,1,2,1,1,19525.0
5,3,13,2.6390573296152584,0,1,3,6,3,15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,27,3.332204510175204,0,0,2,6,7,0,1,2,8385.0
0,2,16,2.833213344056216,1,1,1,2,6,22,3.1354942159291497,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,1,2,2,2,2,4,1.6094379124341003,1,1,1,4,4,4,21,3.091042453358316,0,0,1,0,1,2,1,7,12320.0
6,3,13,2.6390573296152584,0,1,3,6,3,28,3.367295829986474,1,1,3,0,8,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,1,0,1,2,0,7,4,1.6094379124341003,1,1,1,4,4,4,35,3.58351893845611,0,2,0,0,5,0,1,3,20020.0
5,1,25,3.258096538021482,0,1,0,4,5,12,2.5649493574615367,1,0,2,5,2,23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,1,4,4,4,25,3.258096538021482,0,1,0,4,5,1,1,3,17400.0
6,2,18,2.9444389791664403,1,0,3,4,8,29,3.4011973816621555,0,2,4,1,9,24,3.2188758248682006,1,0,4,3,4,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,20,3.044522437723423,1,2,0,6,0,2,1,0,22968.0
3,4,27,3.332204510175204,0,0,2,6,7,26,3.295836866004329,1,2,1,5,6,16,2.833213344056216,1,1,1,2,6,6,1.9459101490553132,1,1,0,1,6,6,4,1.6094379124341003,1,1,1,4,4,4,28,3.367295829986474,1,1,3,0,8,2,1,2,37908.0
1,3,16,2.833213344056216,1,1,1,2,6,11,2.4849066497880004,0,2,1,4,1,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,23,3.1780538303479458,0,2,3,2,3,1,1,7,6336.0
4,3,15,2.772588722239781,0,0,0,1,5,27,3.332204510175204,0,0,2,6,7,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,1,0,2,0,5,5,0,0.0,0,1,0,0,0,0,21,3.091042453358316,0,0,1,0,1,1,1,1,13770.0
4,1,19,2.995732273553991,0,1,4,5,9,30,3.4339872044851463,1,0,0,2,0,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,1,0,2,0,5,5,0,0.0,0,1,0,0,0,0,12,2.5649493574615367,1,0,2,5,2,0,1,2,23940.0
4,1,17,2.8903717578961645,0,2,2,3,7,14,2.70805020110221,1,2,4,0,4,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,1,0,2,0,5,5,7,2.0794415416798357,1,0,1,2,0,7,43,3.784189633918261,0,1,3,1,3,2,1,1,15946.0
6,0,27,3.332204510175204,0,0,2,6,7,15,2.772588722239781,0,0,0,1,5,23,3.1780538303479458,0,2,3,2,3,4,1.6094379124341003,1,1,1,4,4,4,8,2.1972245773362196,1,1,2,3,1,8,45,3.828641396489095,0,0,0,3,5,0,1,2,32400.0
1,4,22,3.1354942159291497,1,1,2,1,2,25,3.258096538021482,0,1,0,4,5,34,3.5553480614894135,1,1,4,6,4,6,1.9459101490553132,1,1,0,1,6,6,6,1.9459101490553132,1,1,0,1,6,6,33,3.5263605246161616,0,0,3,5,3,1,1,1,43450.0
2,1,16,2.833213344056216,1,1,1,2,6,14,2.70805020110221,1,2,4,0,4,34,3.5553480614894135,1,1,4,6,4,7,2.0794415416798357,1,0,1,2,0,7,3,1.3862943611198906,1,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,2,1,2,13888.0
0,2,26,3.295836866004329,1,2,1,5,6,26,3.295836866004329,1,2,1,5,6,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,1,4,4,4,9,2.302585092994046,1,0,0,4,2,9,28,3.367295829986474,1,1,3,0,8,1,1,3,32448.0
4,4,30,3.4339872044851463,1,0,0,2,0,25,3.258096538021482,0,1,0,4,5,18,2.9444389791664403,1,0,3,4,8,8,2.1972245773362196,1,1,2,3,1,8,8,2.1972245773362196,1,1,2,3,1,8,32,3.4965075614664802,1,2,2,4,2,2,1,3,49500.0
6,4,24,3.2188758248682006,1,0,4,3,4,21,3.091042453358316,0,0,1,0,1,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,27,3.332204510175204,0,0,2,6,7,0,1,4,23688.0
6,2,29,3.4011973816621555,0,2,4,1,9,22,3.1354942159291497,1,1,2,1,2,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,1,0,1,6,6,1,0.6931471805599453,1,0,1,1,1,1,49,3.912023005428146,0,1,4,0,9,0,1,6,51040.0
7,2,30,3.4339872044851463,1,0,0,2,0,17,2.8903717578961645,0,2,2,3,7,9,2.302585092994046,0,0,4,2,9,8,2.1972245773362196,1,1,2,3,1,8,3,1.3862943611198906,1,0,0,3,3,3,15,2.772588722239781,0,0,0,1,5,2,1,4,17850.0
1,3,25,3.258096538021482,0,1,0,4,5,12,2.5649493574615367,1,0,2,5,2,26,3.295836866004329,1,2,1,5,6,7,2.0794415416798357,1,0,1,2,0,7,0,0.0,0,1,0,0,0,0,15,2.772588722239781,0,0,0,1,5,2,1,0,14400.0
5,4,22,3.1354942159291497,1,1,2,1,2,12,2.5649493574615367,1,0,2,5,2,21,3.091042453358316,0,0,1,0,1,4,1.6094379124341003,1,1,1,4,4,4,10,2.3978952727983707,1,1,1,0,3,0,27,3.332204510175204,0,0,2,6,7,0,1,1,16368.0
5,1,15,2.772588722239781,0,0,0,1,5,10,2.3978952727983707,1,1,0,3,0,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,1,0,2,0,5,5,9,2.302585092994046,1,0,0,4,2,9,39,3.6888794541139363,0,0,4,4,9,2,1,2,9000.0
6,4,18,2.9444389791664403,1,0,3,4,8,12,2.5649493574615367,1,0,2,5,2,26,3.295836866004329,1,2,1,5,6,3,1.3862943611198906,1,0,0,3,3,3,2,1.0986122886681098,1,1,2,2,2,2,14,2.70805020110221,1,2,4,0,4,1,1,6,9720.0
2,3,26,3.295836866004329,1,2,1,5,6,26,3.295836866004329,1,2,1,5,6,22,3.1354942159291497,1,1,2,1,2,7,2.0794415416798357,1,0,1,2,0,7,8,2.1972245773362196,1,1,2,3,1,8,17,2.8903717578961645,0,2,2,3,7,1,1,1,36504.0
7,2,22,3.1354942159291497,1,1,2,1,2,17,2.8903717578961645,0,2,2,3,7,26,3.295836866004329,1,2,1,5,6,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,40,3.713572066704308,1,1,0,5,0,2,1,0,24684.0
0,0,22,3.1354942159291497,1,1,2,1,2,21,3.091042453358316,0,0,1,0,1,27,3.332204510175204,0,0,2,6,7,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,1,0,0,3,3,3,38,3.6635616461296463,1,2,3,3,8,2,1,2,33264.0
4,0,11,2.4849066497880004,0,2,1,4,1,17,2.8903717578961645,0,2,2,3,7,39,3.6888794541139363,0,0,4,4,9,7,2.0794415416798357,1,0,1,2,0,7,3,1.3862943611198906,1,0,0,3,3,3,23,3.1780538303479458,0,2,3,2,3,0,1,1,13464.0
0,3,10,2.3978952727983707,1,1,0,3,0,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,1,0,1,6,6,1,0.6931471805599453,1,0,1,1,1,1,38,3.6635616461296463,1,2,3,3,8,2,1,6,10920.0
1,2,27,3.332204510175204,0,0,2,6,7,15,2.772588722239781,0,0,0,1,5,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,1,0,1,6,6,10,2.3978952727983707,1,1,1,0,3,0,38,3.6635616461296463,1,2,3,3,8,1,1,1,29160.0
4,0,11,2.4849066497880004,0,2,1,4,1,24,3.2188758248682006,1,0,4,3,4,27,3.332204510175204,0,0,2,6,7,1,0.6931471805599453,1,0,1,1,1,1,7,2.0794415416798357,1,0,1,2,0,7,49,3.912023005428146,0,1,4,0,9,0,1,6,22176.0
0,0,19,2.995732273553991,0,1,4,5,9,29,3.4011973816621555,0,2,4,1,9,30,3.4339872044851463,1,0,0,2,0,7,2.0794415416798357,1,0,1,2,0,7,2,1.0986122886681098,1,1,2,2,2,2,50,3.9318256327243257,1,2,0,1,0,2,1,2,49039.0
1,0,14,2.70805020110221,1,2,4,0,4,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,1,2,2,2,2,10,2.3978952727983707,1,1,1,0,3,0,19,2.995732273553991,0,1,4,5,9,1,1,3,12950.0
7,4,21,3.091042453358316,0,0,1,0,1,26,3.295836866004329,1,2,1,5,6,26,3.295836866004329,1,2,1,5,6,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,1,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,1,1,3,27846.0
3,0,20,3.044522437723423,1,2,0,6,0,29,3.4011973816621555,0,2,4,1,9,21,3.091042453358316,0,0,1,0,1,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,2,1,3,29580.0
4,2,27,3.332204510175204,0,0,2,6,7,13,2.6390573296152584,0,1,3,6,3,34,3.5553480614894135,1,1,4,6,4,1,0.6931471805599453,1,0,1,1,1,1,8,2.1972245773362196,1,1,2,3,1,8,13,2.6390573296152584,0,1,3,6,3,2,1,6,19656.0
0,1,27,3.332204510175204,0,0,2,6,7,13,2.6390573296152584,0,1,3,6,3,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,1,0,0,3,3,3,6,1.9459101490553132,1,1,0,1,6,6,14,2.70805020110221,1,2,4,0,4,0,1,4,12285.0
6,4,19,2.995732273553991,0,1,4,5,9,21,3.091042453358316,0,0,1,0,1,16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,1,0,1,2,0,7,6,1.9459101490553132,1,1,0,1,6,6,34,3.5553480614894135,1,1,4,6,4,2,1,1,25137.0
5,3,30,3.4339872044851463,1,0,0,2,0,15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,1,0,1,6,6,1,0.6931471805599453,1,0,1,1,1,1,45,3.828641396489095,0,0,0,3,5,0,1,8,26550.0
0,4,14,2.70805020110221,1,2,4,0,4,10,2.3978952727983707,1,1,0,3,0,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,1,0,0,3,3,3,0,0.0,0,1,0,0,0,0,21,3.091042453358316,0,0,1,0,1,0,1,1,6860.0
3,0,24,3.2188758248682006,1,0,4,3,4,18,2.9444389791664403,1,0,3,4,8,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,1,4,4,4,42,3.7612001156935624,1,0,2,0,2,2,1,7,36720.0
6,2,18,2.9444389791664403,1,0,3,4,8,28,3.367295829986474,1,1,3,0,8,16,2.833213344056216,1,1,1,2,6,0,0.0,0,1,0,0,0,0,9,2.302585092994046,1,0,0,4,2,9,13,2.6390573296152584,0,1,3,6,3,2,1,1,19152.0
5,2,27,3.332204510175204,0,0,2,6,7,16,2.833213344056216,1,1,1,2,6,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,1,2,2,2,2,6,1.9459101490553132,1,1,0,1,6,6,42,3.7612001156935624,1,0,2,0,2,0,1,4,29808.0
7,1,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,28,3.367295829986474,1,1,3,0,8,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,49,3.912023005428146,0,1,4,0,9,0,1,4,16400.0
0,2,17,2.8903717578961645,0,2,2,3,7,19,2.995732273553991,0,1,4,5,9,20,3.044522437723423,1,2,0,6,0,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,1,4,4,4,40,3.713572066704308,1,1,0,5,0,1,1,3,20672.0
4,0,23,3.1780538303479458,0,2,3,2,3,29,3.4011973816621555,0,2,4,1,9,38,3.6635616461296463,1,2,3,3,8,7,2.0794415416798357,1,0,1,2,0,7,0,0.0,0,1,0,0,0,0,12,2.5649493574615367,1,0,2,5,2,2,1,0,38019.0
6,0,29,3.4011973816621555,0,2,4,1,9,23,3.1780538303479458,0,2,3,2,3,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,1,0,1,6,6,3,1.3862943611198906,1,0,0,3,3,3,22,3.1354942159291497,1,1,2,1,2,1,1,1,25346.0
4,0,30,3.4339872044851463,1,0,0,2,0,16,2.833213344056216,1,1,1,2,6,23,3.1780538303479458,0,2,3,2,3,2,1.0986122886681098,1,1,2,2,2,2,9,2.302585092994046,1,0,0,4,2,9,45,3.828641396489095,0,0,0,3,5,0,1,3,37920.0
5,1,22,3.1354942159291497,1,1,2,1,2,13,2.6390573296152584,0,1,3,6,3,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,1,0,1,2,0,7,2,1.0986122886681098,1,1,2,2,2,2,35,3.58351893845611,0,2,0,0,5,1,1,3,14872.0
7,2,17,2.8903717578961645,0,2,2,3,7,20,3.044522437723423,1,2,0,6,0,37,3.6375861597263857,0,1,2,2,7,6,1.9459101490553132,1,1,0,1,6,6,6,1.9459101490553132,1,1,0,1,6,6,13,2.6390573296152584,0,1,3,6,3,0,1,1,21080.0
0,2,27,3.332204510175204,0,0,2,6,7,18,2.9444389791664403,1,0,3,4,8,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,1,2,2,2,2,6,1.9459101490553132,1,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,2,1,5,31590.0
0,3,16,2.833213344056216,1,1,1,2,6,24,3.2188758248682006,1,0,4,3,4,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,1,0,1,2,0,7,2,1.0986122886681098,1,1,2,2,2,2,44,3.8066624897703196,1,2,4,2,4,1,1,5,22656.0
5,4,28,3.367295829986474,1,1,3,0,8,15,2.772588722239781,0,0,0,1,5,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,1,2,2,2,2,7,2.0794415416798357,1,0,1,2,0,7,50,3.9318256327243257,1,2,0,1,0,1,1,4,32340.0
0,4,11,2.4849066497880004,0,2,1,4,1,17,2.8903717578961645,0,2,2,3,7,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,1,2,3,1,8,3,1.3862943611198906,1,0,0,3,3,3,21,3.091042453358316,0,0,1,0,1,1,1,2,7293.0
2,4,25,3.258096538021482,0,1,0,4,5,10,2.3978952727983707,1,1,0,3,0,24,3.2188758248682006,1,0,4,3,4,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,17,2.8903717578961645,0,2,2,3,7,0,1,0,10250.0
1,4,27,3.332204510175204,0,0,2,6,7,11,2.4849066497880004,0,2,1,4,1,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,1,0,2,0,5,5,8,2.1972245773362196,1,1,2,3,1,8,19,2.995732273553991,0,1,4,5,9,2,1,0,14850.0
0,2,28,3.367295829986474,1,1,3,0,8,16,2.833213344056216,1,1,1,2,6,21,3.091042453358316,0,0,1,0,1,6,1.9459101490553132,1,1,0,1,6,6,0,0.0,0,1,0,0,0,0,49,3.912023005428146,0,1,4,0,9,0,1,0,34048.0
6,2,16,2.833213344056216,1,1,1,2,6,24,3.2188758248682006,1,0,4,3,4,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,27,3.332204510175204,0,0,2,6,7,0,1,7,21504.0
0,1,26,3.295836866004329,1,2,1,5,6,27,3.332204510175204,0,0,2,6,7,15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,1,0,1,2,0,7,5,1.791759469228055,1,0,2,0,5,5,41,3.7376696182833684,0,2,1,6,1,0,1,1,47736.0
5,3,21,3.091042453358316,0,0,1,0,1,23,3.1780538303479458,0,2,3,2,3,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,1,2,3,1,8,3,1.3862943611198906,1,0,0,3,3,3,43,3.784189633918261,0,1,3,1,3,1,1,2,29463.0
2,3,27,3.332204510175204,0,0,2,6,7,23,3.1780538303479458,0,2,3,2,3,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,1,0,1,6,6,17,2.8903717578961645,0,2,2,3,7,0,1,1,22356.0
0,0,28,3.367295829986474,1,1,3,0,8,10,2.3978952727983707,1,1,0,3,0,26,3.295836866004329,1,2,1,5,6,7,2.0794415416798357,1,0,1,2,0,7,10,2.3978952727983707,1,1,1,0,3,0,28,3.367295829986474,1,1,3,0,8,1,1,4,19880.0
6,3,23,3.1780538303479458,0,2,3,2,3,20,3.044522437723423,1,2,0,6,0,15,2.772588722239781,0,0,0,1,5,1,0.6931471805599453,1,0,1,1,1,1,9,2.302585092994046,1,0,0,4,2,9,41,3.7376696182833684,0,2,1,6,1,0,1,5,30360.0
7,2,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,36,3.6109179126442243,1,0,1,1,6,2,1.0986122886681098,1,1,2,2,2,2,7,2.0794415416798357,1,0,1,2,0,7,43,3.784189633918261,0,1,3,1,3,1,1,3,11616.0
0,0,23,3.1780538303479458,0,2,3,2,3,21,3.091042453358316,0,0,1,0,1,37,3.6375861597263857,0,1,2,2,7,7,2.0794415416798357,1,0,1,2,0,7,6,1.9459101490553132,1,1,0,1,6,6,20,3.044522437723423,1,2,0,6,0,2,1,1,33810.0
1,4,19,2.995732273553991,0,1,4,5,9,10,2.3978952727983707,1,1,0,3,0,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,29,3.4011973816621555,0,2,4,1,9,1,1,3,9880.0
4,1,27,3.332204510175204,0,0,2,6,7,16,2.833213344056216,1,1,1,2,6,25,3.258096538021482,0,1,0,4,5,8,2.1972245773362196,1,1,2,3,1,8,7,2.0794415416798357,1,0,1,2,0,7,21,3.091042453358316,0,0,1,0,1,2,1,2,26352.0
3,1,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,36,3.6109179126442243,1,0,1,1,6,7,2.0794415416798357,1,0,1,2,0,7,5,1.791759469228055,1,0,2,0,5,5,39,3.6888794541139363,0,0,4,4,9,2,1,3,17400.0
5,0,23,3.1780538303479458,0,2,3,2,3,23,3.1780538303479458,0,2,3,2,3,11,2.4849066497880004,0,2,1,4,1,7,2.0794415416798357,1,0,1,2,0,7,1,0.6931471805599453,1,0,1,1,1,1,45,3.828641396489095,0,0,0,3,5,0,1,6,33856.0
6,1,27,3.332204510175204,0,0,2,6,7,23,3.1780538303479458,0,2,3,2,3,38,3.6635616461296463,1,2,3,3,8,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,16,2.833213344056216,1,1,1,2,6,2,1,2,34776.0
4,2,25,3.258096538021482,0,1,0,4,5,10,2.3978952727983707,1,1,0,3,0,33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,1,0,0,3,3,3,0,0.0,0,1,0,0,0,0,14,2.70805020110221,1,2,4,0,4,1,1,1,12500.0
7,2,23,3.1780538303479458,0,2,3,2,3,26,3.295836866004329,1,2,1,5,6,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,1,4,4,4,17,2.8903717578961645,0,2,2,3,7,1,1,0,29302.0
0,2,18,2.9444389791664403,1,0,3,4,8,11,2.4849066497880004,0,2,1,4,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,48,3.8918202981106265,1,0,3,6,8,1,1,5,12474.0
3,2,29,3.4011973816621555,0,2,4,1,9,27,3.332204510175204,0,0,2,6,7,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,1,2,3,1,8,5,1.791759469228055,1,0,2,0,5,5,29,3.4011973816621555,0,2,4,1,9,1,1,2,39150.0
7,2,20,3.044522437723423,1,2,0,6,0,17,2.8903717578961645,0,2,2,3,7,19,2.995732273553991,0,1,4,5,9,1,0.6931471805599453,1,0,1,1,1,1,6,1.9459101490553132,1,1,0,1,6,6,49,3.912023005428146,0,1,4,0,9,0,1,5,25500.0
3,4,16,2.833213344056216,1,1,1,2,6,30,3.4339872044851463,1,0,0,2,0,40,3.713572066704308,1,1,0,5,0,0,0.0,0,1,0,0,0,0,10,2.3978952727983707,1,1,1,0,3,0,27,3.332204510175204,0,0,2,6,7,1,1,2,36960.0
