slot_base_price,slot_base_price_abs_log1p,slot_base_price_is_even,slot_base_price_mod3,slot_base_price_mod7,slot_base_price_mod10,slot_inc_pct,slot_inc_pct_abs_log1p,slot_inc_pct_is_even,slot_inc_pct_mod3,slot_inc_pct_mod7,slot_inc_pct_mod10,slot_dec_pct,slot_dec_pct_abs_log1p,slot_dec_pct_is_even,slot_dec_pct_mod3,slot_dec_pct_mod7,slot_dec_pct_mod10,slot_currency,slot_item,slot_month1,slot_month2,slot_month3,gcd_all,n_multiple_pairs,y
500,6.2166061010848646,1,2,3,0,15,2.772588722239781,0,0,1,5,60,4.110873864173311,1,0,4,0,1,7,6,4,7,5,1,230.0
160,5.081404364984463,1,1,6,0,20,3.044522437723423,1,2,6,0,90,4.51085950651685,1,0,6,0,1,7,6,1,5,10,1,19.2
365,5.902633333401366,0,2,1,5,100,4.61512051684126,1,1,2,0,55,4.02535169073515,0,1,6,5,2,2,5,7,1,5,0,328.5
255,5.545177444479562,0,0,3,5,100,4.61512051684126,1,1,2,0,50,3.9318256327243257,1,2,1,0,2,4,3,8,8,5,1,255.0
45,3.828641396489095,0,0,3,5,30,3.4339872044851463,1,0,2,0,75,4.330733340286331,0,0,5,5,3,3,9,1,6,15,0,14.62
90,4.51085950651685,1,0,6,0,20,3.044522437723423,1,2,6,0,25,3.258096538021482,0,1,4,5,2,6,9,0,0,5,0,81.0
100,4.61512051684126,1,1,2,0,15,2.772588722239781,0,0,1,5,70,4.2626798770413155,1,1,0,0,1,6,6,6,4,5,0,34.5
40,3.713572066704308,1,1,5,0,75,4.330733340286331,0,0,5,5,25,3.258096538021482,0,1,4,5,3,0,1,1,9,5,1,52.5
65,4.189654742026425,0,2,2,5,90,4.51085950651685,1,0,6,0,30,3.4339872044851463,1,0,2,0,2,3,0,6,6,5,1,86.45
45,3.828641396489095,0,0,3,5,75,4.330733340286331,0,0,5,5,90,4.51085950651685,1,0,6,0,1,7,8,8,10,15,1,7.87
345,5.846438775057725,0,0,2,5,20,3.044522437723423,1,2,6,0,40,3.713572066704308,1,1,5,0,0,8,1,9,9,5,1,248.4
445,6.100318952020064,0,1,4,5,10,2.3978952727983707,1,1,3,0,35,3.58351893845611,0,2,0,5,3,9,9,9,0,5,0,318.18
50,3.9318256327243257,1,2,1,0,100,4.61512051684126,1,1,2,0,10,2.3978952727983707,1,1,3,0,2,4,7,7,6,10,3,90.0
375,5.929589143389895,0,0,4,5,10,2.3978952727983707,1,1,3,0,40,3.713572066704308,1,1,5,0,2,4,7,6,6,5,1,247.5
330,5.802118375377063,1,0,1,0,10,2.3978952727983707,1,1,3,0,70,4.2626798770413155,1,1,0,0,2,1,9,9,2,10,2,108.9
110,4.709530201312334,1,2,5,0,120,4.795790545596741,1,0,1,0,60,4.110873864173311,1,0,4,0,1,8,2,5,7,10,1,96.8
130,4.875197323201151,1,1,4,0,30,3.4339872044851463,1,0,2,0,90,4.51085950651685,1,0,6,0,3,6,4,3,0,10,1,16.9
105,4.663439094112067,0,0,0,5,30,3.4339872044851463,1,0,2,0,10,2.3978952727983707,1,1,3,0,0,0,0,9,0,5,1,122.85
365,5.902633333401366,0,2,1,5,15,2.772588722239781,0,0,1,5,75,4.330733340286331,0,0,5,5,2,0,10,4,0,5,1,104.94
65,4.189654742026425,0,2,2,5,5,1.791759469228055,0,2,5,5,30,3.4339872044851463,1,0,2,0,3,5,1,3,9,5,2,47.77
375,5.929589143389895,0,0,4,5,50,3.9318256327243257,1,2,1,0,10,2.3978952727983707,1,1,3,0,0,5,6,9,0,5,1,506.25
50,3.9318256327243257,1,2,1,0,100,4.61512051684126,1,1,2,0,65,4.189654742026425,0,2,2,5,1,4,5,10,1,5,1,35.0
75,4.330733340286331,0,0,5,5,90,4.51085950651685,1,0,6,0,30,3.4339872044851463,1,0,2,0,3,7,4,0,4,15,1,99.75
105,4.663439094112067,0,0,0,5,25,3.258096538021482,0,1,4,5,40,3.713572066704308,1,1,5,0,3,9,10,2,3,5,0,78.75
165,5.111987788356544,0,0,4,5,120,4.795790545596741,1,0,1,0,20,3.044522437723423,1,2,6,0,0,4,11,6,6,5,1,290.4
190,5.25227342804663,1,1,1,0,60,4.110873864173311,1,0,4,0,60,4.110873864173311,1,0,4,0,1,9,8,0,10,10,1,121.6
340,5.831882477283517,1,1,4,0,10,2.3978952727983707,1,1,3,0,15,2.772588722239781,0,0,1,5,3,5,2,5,3,5,1,317.9
190,5.25227342804663,1,1,1,0,20,3.044522437723423,1,2,6,0,55,4.02535169073515,0,1,6,5,1,7,6,9,4,5,0,102.6
465,6.144185634125646,0,0,3,5,120,4.795790545596741,1,0,1,0,70,4.2626798770413155,1,1,0,0,2,5,4,8,0,5,0,306.9
290,5.673323267171493,1,2,3,0,20,3.044522437723423,1,2,6,0,70,4.2626798770413155,1,1,0,0,2,2,3,4,10,10,0,104.4
60,4.110873864173311,1,0,4,0,60,4.110873864173311,1,0,4,0,40,3.713572066704308,1,1,5,0,3,0,1,3,5,20,1,57.6
185,5.225746673713202,0,2,3,5,70,4.2626798770413155,1,1,0,0,75,4.330733340286331,0,0,5,5,3,0,6,0,3,5,0,78.62
495,6.206575926724928,0,0,5,5,100,4.61512051684126,1,1,2,0,40,3.713572066704308,1,1,5,0,2,9,7,11,5,5,0,594.0
25,3.258096538021482,0,1,4,5,75,4.330733340286331,0,0,5,5,25,3.258096538021482,0,1,4,5,2,3,11,2,10,25,3,32.81
370,5.916202062607435,1,1,6,0,100,4.61512051684126,1,1,2,0,55,4.02535169073515,0,1,6,5,3,3,8,11,0,5,0,333.0
435,6.077642243349034,0,0,1,5,20,3.044522437723423,1,2,6,0,75,4.330733340286331,0,0,5,5,3,0,10,0,4,5,0,130.5
415,6.030685260261263,0,1,2,5,80,4.394449154672439,1,2,3,0,65,4.189654742026425,0,2,2,5,0,8,4,0,8,5,0,261.45
390,5.968707559985366,1,0,5,0,100,4.61512051684126,1,1,2,0,75,4.330733340286331,0,0,5,5,3,5,0,8,10,5,0,195.0
465,6.144185634125646,0,0,3,5,5,1.791759469228055,0,2,5,5,40,3.713572066704308,1,1,5,0,0,8,1,1,7,5,2,292.95
40,3.713572066704308,1,1,5,0,15,2.772588722239781,0,0,1,5,50,3.9318256327243257,1,2,1,0,3,8,3,7,6,5,0,23.0
220,5.3981627015177525,1,1,3,0,75,4.330733340286331,0,0,5,5,40,3.713572066704308,1,1,5,0,1,6,11,8,7,5,0,231.0
385,5.955837369464831,0,1,0,5,25,3.258096538021482,0,1,4,5,70,4.2626798770413155,1,1,0,0,0,1,11,1,7,5,0,144.38
10,2.3978952727983707,1,1,3,0,100,4.61512051684126,1,1,2,0,10,2.3978952727983707,1,1,3,0,1,4,6,0,0,10,3,18.0
465,6.144185634125646,0,0,3,5,75,4.330733340286331,0,0,5,5,35,3.58351893845611,0,2,0,5,3,4,10,2,6,5,0,528.94
350,5.860786223465865,1,2,0,0,60,4.110873864173311,1,0,4,0,10,2.3978952727983707,1,1,3,0,1,7,10,1,11,10,2,504.0
450,6.111467339502679,1,0,2,0,25,3.258096538021482,0,1,4,5,45,3.828641396489095,0,0,3,5,1,8,11,4,9,5,2,309.38
175,5.170483995038151,0,1,0,5,75,4.330733340286331,0,0,5,5,35,3.58351893845611,0,2,0,5,3,0,5,3,1,5,1,199.06
470,6.154858094016418,1,2,1,0,100,4.61512051684126,1,1,2,0,15,2.772588722239781,0,0,1,5,2,5,10,5,2,5,0,799.0
345,5.846438775057725,0,0,2,5,5,1.791759469228055,0,2,5,5,35,3.58351893845611,0,2,0,5,0,5,9,1,9,5,2,235.46
400,5.993961427306569,1,1,1,0,30,3.4339872044851463,1,0,2,0,55,4.02535169073515,0,1,6,5,0,8,5,2,9,5,0,234.0
465,6.144185634125646,0,0,3,5,5,1.791759469228055,0,2,5,5,10,2.3978952727983707,1,1,3,0,2,8,11,10,1,5,2,439.43
155,5.049856007249537,0,2,1,5,80,4.394449154672439,1,2,3,0,75,4.330733340286331,0,0,5,5,1,9,4,9,3,5,0,69.75
340,5.831882477283517,1,1,4,0,100,4.61512051684126,1,1,2,0,25,3.258096538021482,0,1,4,5,1,0,5,4,10,5,1,510.0
110,4.709530201312334,1,2,5,0,70,4.2626798770413155,1,1,0,0,55,4.02535169073515,0,1,6,5,1,7,10,5,5,5,1,84.15
230,5.442417710521793,1,2,6,0,100,4.61512051684126,1,1,2,0,55,4.02535169073515,0,1,6,5,2,6,5,9,9,5,0,207.0
200,5.303304908059076,1,2,4,0,10,2.3978952727983707,1,1,3,0,10,2.3978952727983707,1,1,3,0,1,8,9,1,9,10,3,198.0
410,6.018593214496234,1,2,4,0,70,4.2626798770413155,1,1,0,0,40,3.713572066704308,1,1,5,0,2,1,9,11,6,10,0,418.2
135,4.912654885736052,0,0,2,5,75,4.330733340286331,0,0,5,5,25,3.258096538021482,0,1,4,5,0,0,4,2,4,5,1,177.19
260,5.564520407322694,1,2,1,0,25,3.258096538021482,0,1,4,5,20,3.044522437723423,1,2,6,0,1,7,7,8,11,5,1,260.0
340,5.831882477283517,1,1,4,0,25,3.258096538021482,0,1,4,5,5,1.791759469228055,0,2,5,5,1,2,4,9,7,5,2,403.75
250,5.5254529391317835,1,1,5,0,5,1.791759469228055,0,2,5,5,40,3.713572066704308,1,1,5,0,2,4,10,5,1,5,2,157.5
290,5.673323267171493,1,2,3,0,10,2.3978952727983707,1,1,3,0,75,4.330733340286331,0,0,5,5,2,7,0,2,3,5,1,79.75
400,5.993961427306569,1,1,1,0,120,4.795790545596741,1,0,1,0,60,4.110873864173311,1,0,4,0,1,9,0,6,11,20,1,352.0
220,5.3981627015177525,1,1,3,0,5,1.791759469228055,0,2,5,5,80,4.394449154672439,1,2,3,0,2,0,5,1,5,5,2,46.2
475,6.16541785423142,0,1,6,5,60,4.110873864173311,1,0,4,0,20,3.044522437723423,1,2,6,0,2,7,5,7,0,5,1,608.0
255,5.545177444479562,0,0,3,5,5,1.791759469228055,0,2,5,5,5,1.791759469228055,0,2,5,5,3,0,4,8,1,5,3,254.36
300,5.707110264748875,1,0,6,0,50,3.9318256327243257,1,2,1,0,50,3.9318256327243257,1,2,1,0,2,4,3,2,10,50,3,225.0
375,5.929589143389895,0,0,4,5,15,2.772588722239781,0,0,1,5,40,3.713572066704308,1,1,5,0,2,5,9,2,8,5,1,258.75
320,5.771441123130016,1,2,5,0,60,4.110873864173311,1,0,4,0,45,3.828641396489095,0,0,3,5,0,3,3,5,9,5,0,281.6
325,5.786897381366708,0,1,3,5,30,3.4339872044851463,1,0,2,0,15,2.772588722239781,0,0,1,5,3,2,4,10,2,5,1,359.12
55,4.02535169073515,0,1,6,5,75,4.330733340286331,0,0,5,5,45,3.828641396489095,0,0,3,5,0,3,1,9,2,5,0,52.94
135,4.912654885736052,0,0,2,5,15,2.772588722239781,0,0,1,5,55,4.02535169073515,0,1,6,5,3,3,2,6,6,5,1,69.86
420,6.042632833682381,1,0,0,0,60,4.110873864173311,1,0,4,0,90,4.51085950651685,1,0,6,0,1,7,1,7,0,30,1,67.2
300,5.707110264748875,1,0,6,0,25,3.258096538021482,0,1,4,5,40,3.713572066704308,1,1,5,0,2,7,7,8,3,5,1,225.0
210,5.351858133476067,1,0,0,0,80,4.394449154672439,1,2,3,0,20,3.044522437723423,1,2,6,0,0,1,3,3,6,10,1,302.4
195,5.278114659230517,0,0,6,5,50,3.9318256327243257,1,2,1,0,50,3.9318256327243257,1,2,1,0,0,6,3,10,3,5,1,146.25
40,3.713572066704308,1,1,5,0,90,4.51085950651685,1,0,6,0,20,3.044522437723423,1,2,6,0,1,4,5,0,0,10,1,60.8
295,5.69035945432406,0,1,1,5,30,3.4339872044851463,1,0,2,0,30,3.4339872044851463,1,0,2,0,1,8,10,0,3,5,1,268.45
195,5.278114659230517,0,0,6,5,25,3.258096538021482,0,1,4,5,75,4.330733340286331,0,0,5,5,2,6,8,2,2,5,1,60.94
220,5.3981627015177525,1,1,3,0,75,4.330733340286331,0,0,5,5,25,3.258096538021482,0,1,4,5,3,8,2,1,8,5,1,288.75
105,4.663439094112067,0,0,0,5,15,2.772588722239781,0,0,1,5,20,3.044522437723423,1,2,6,0,1,5,4,10,8,5,1,96.6
75,4.330733340286331,0,0,5,5,120,4.795790545596741,1,0,1,0,30,3.4339872044851463,1,0,2,0,3,2,7,1,9,15,1,115.5
10,2.3978952727983707,1,1,3,0,15,2.772588722239781,0,0,1,5,75,4.330733340286331,0,0,5,5,3,4,10,8,1,5,1,2.88
325,5.786897381366708,0,1,3,5,90,4.51085950651685,1,0,6,0,25,3.258096538021482,0,1,4,5,3,9,2,5,3,5,1,463.12
55,4.02535169073515,0,1,6,5,100,4.61512051684126,1,1,2,0,45,3.828641396489095,0,0,3,5,1,5,11,1,1,5,0,60.5
50,3.9318256327243257,1,2,1,0,25,3.258096538021482,0,1,4,5,30,3.4339872044851463,1,0,2,0,0,9,1,3,8,5,1,43.75
170,5.14166355650266,1,2,2,0,100,4.61512051684126,1,1,2,0,75,4.330733340286331,0,0,5,5,3,1,5,6,9,5,0,85.0
195,5.278114659230517,0,0,6,5,90,4.51085950651685,1,0,6,0,65,4.189654742026425,0,2,2,5,0,6,2,0,9,5,1,129.67
260,5.564520407322694,1,2,1,0,75,4.330733340286331,0,0,5,5,40,3.713572066704308,1,1,5,0,2,2,3,0,11,5,0,273.0
110,4.709530201312334,1,2,5,0,20,3.044522437723423,1,2,6,0,55,4.02535169073515,0,1,6,5,0,0,2,4,2,5,1,59.4
500,6.2166061010848646,1,2,3,0,80,4.394449154672439,1,2,3,0,5,1.791759469228055,0,2,5,5,0,8,3,10,8,5,2,855.0
310,5.739792912179234,1,1,2,0,60,4.110873864173311,1,0,4,0,15,2.772588722239781,0,0,1,5,2,1,10,11,1,5,1,421.6
30,3.4339872044851463,1,0,2,0,120,4.795790545596741,1,0,1,0,80,4.394449154672439,1,2,3,0,1,3,3,6,4,10,1,13.2
450,6.111467339502679,1,0,2,0,70,4.2626798770413155,1,1,0,0,55,4.02535169073515,0,1,6,5,3,1,7,7,9,5,0,344.25
145,4.983606621708336,0,1,5,5,30,3.4339872044851463,1,0,2,0,90,4.51085950651685,1,0,6,0,0,2,11,0,3,5,1,18.85
185,5.225746673713202,0,2,3,5,15,2.772588722239781,0,0,1,5,60,4.110873864173311,1,0,4,0,0,3,0,8,8,5,1,85.1
300,5.707110264748875,1,0,6,0,30,3.4339872044851463,1,0,2,0,25,3.258096538021482,0,1,4,5,0,9,4,7,3,5,2,292.5
420,6.042632833682381,1,0,0,0,30,3.4339872044851463,1,0,2,0,60,4.110873864173311,1,0,4,0,0,9,5,0,10,30,3,218.4
150,5.017279836814924,1,0,3,0,50,3.9318256327243257,1,2,1,0,15,2.772588722239781,0,0,1,5,0,6,9,9,3,5,2,191.25
75,4.330733340286331,0,0,5,5,10,2.3978952727983707,1,1,3,0,30,3.4339872044851463,1,0,2,0,3,8,10,8,6,5,1,57.75
260,5.564520407322694,1,2,1,0,90,4.51085950651685,1,0,6,0,75,4.330733340286331,0,0,5,5,3,9,1,11,0,5,0,123.5
115,4.7535901911063645,0,1,3,5,40,3.713572066704308,1,1,5,0,55,4.02535169073515,0,1,6,5,3,6,3,6,11,5,0,72.45
95,4.564348191467836,0,2,4,5,60,4.110873864173311,1,0,4,0,20,3.044522437723423,1,2,6,0,1,7,4,0,5,5,1,121.6
415,6.030685260261263,0,1,2,5,40,3.713572066704308,1,1,5,0,55,4.02535169073515,0,1,6,5,1,1,8,10,1,5,0,261.45
125,4.836281906951478,0,2,6,5,50,3.9318256327243257,1,2,1,0,55,4.02535169073515,0,1,6,5,1,9,5,9,9,5,0,84.37
180,5.198497031265826,1,0,5,0,75,4.330733340286331,0,0,5,5,75,4.330733340286331,0,0,5,5,0,5,10,2,10,15,1,78.75
450,6.111467339502679,1,0,2,0,100,4.61512051684126,1,1,2,0,55,4.02535169073515,0,1,6,5,1,1,6,11,11,5,0,405.0
335,5.817111159963204,0,2,6,5,90,4.51085950651685,1,0,6,0,55,4.02535169073515,0,1,6,5,2,2,4,9,3,5,0,286.42
495,6.206575926724928,0,0,5,5,100,4.61512051684126,1,1,2,0,25,3.258096538021482,0,1,4,5,2,3,10,2,6,5,1,742.5
150,5.017279836814924,1,0,3,0,75,4.330733340286331,0,0,5,5,80,4.394449154672439,1,2,3,0,2,6,5,6,2,5,1,52.5
460,6.133398042996649,1,1,5,0,100,4.61512051684126,1,1,2,0,55,4.02535169073515,0,1,6,5,3,0,2,4,4,5,0,414.0
190,5.25227342804663,1,1,1,0,60,4.110873864173311,1,0,4,0,65,4.189654742026425,0,2,2,5,0,4,7,9,3,5,0,106.4
325,5.786897381366708,0,1,3,5,50,3.9318256327243257,1,2,1,0,75,4.330733340286331,0,0,5,5,0,0,0,3,3,25,0,121.88
80,4.394449154672439,1,2,3,0,15,2.772588722239781,0,0,1,5,15,2.772588722239781,0,0,1,5,0,3,3,11,1,5,1,78.2
210,5.351858133476067,1,0,0,0,15,2.772588722239781,0,0,1,5,10,2.3978952727983707,1,1,3,0,3,2,2,0,0,5,2,217.35
425,6.054439346269371,0,2,5,5,5,1.791759469228055,0,2,5,5,60,4.110873864173311,1,0,4,0,2,8,8,2,0,5,2,178.5
270,5.602118820879701,1,0,4,0,90,4.51085950651685,1,0,6,0,80,4.394449154672439,1,2,3,0,2,0,5,10,2,10,1,102.6
70,4.2626798770413155,1,1,0,0,60,4.110873864173311,1,0,4,0,35,3.58351893845611,0,2,0,5,2,1,6,1,0,5,1,72.8
75,4.330733340286331,0,0,5,5,60,4.110873864173311,1,0,4,0,25,3.258096538021482,0,1,4,5,0,3,2,6,2,5,1,90.0
490,6.19644412779452,1,1,0,0,30,3.4339872044851463,1,0,2,0,75,4.330733340286331,0,0,5,5,1,0,9,1,5,5,0,159.25
230,5.442417710521793,1,2,6,0,50,3.9318256327243257,1,2,1,0,40,3.713572066704308,1,1,5,0,1,1,10,9,10,10,0,207.0
240,5.484796933490655,1,0,2,0,15,2.772588722239781,0,0,1,5,10,2.3978952727983707,1,1,3,0,0,3,3,11,3,5,2,248.4
480,6.175867270105761,1,0,4,0,20,3.044522437723423,1,2,6,0,45,3.828641396489095,0,0,3,5,3,8,7,9,0,5,1,316.8
420,6.042632833682381,1,0,0,0,10,2.3978952727983707,1,1,3,0,40,3.713572066704308,1,1,5,0,3,9,9,9,0,10,2,277.2
310,5.739792912179234,1,1,2,0,70,4.2626798770413155,1,1,0,0,5,1.791759469228055,0,2,5,5,1,0,5,0,6,5,2,500.65
165,5.111987788356544,0,0,4,5,75,4.330733340286331,0,0,5,5,50,3.9318256327243257,1,2,1,0,1,2,10,1,7,5,0,144.38
10,2.3978952727983707,1,1,3,0,15,2.772588722239781,0,0,1,5,5,1.791759469228055,0,2,5,5,3,5,6,5,7,5,2,10.92
430,6.066108090103747,1,1,3,0,15,2.772588722239781,0,0,1,5,30,3.4339872044851463,1,0,2,0,2,0,8,8,11,5,1,346.15
325,5.786897381366708,0,1,3,5,100,4.61512051684126,1,1,2,0,70,4.2626798770413155,1,1,0,0,1,5,6,4,5,5,0,195.0
320,5.771441123130016,1,2,5,0,100,4.61512051684126,1,1,2,0,40,3.713572066704308,1,1,5,0,2,7,10,5,4,20,1,384.0
35,3.58351893845611,0,2,0,5,100,4.61512051684126,1,1,2,0,90,4.51085950651685,1,0,6,0,2,8,1,10,6,5,0,7.0
115,4.7535901911063645,0,1,3,5,100,4.61512051684126,1,1,2,0,30,3.4339872044851463,1,0,2,0,0,7,3,8,4,5,0,161.0
175,5.170483995038151,0,1,0,5,20,3.044522437723423,1,2,6,0,75,4.330733340286331,0,0,5,5,3,8,5,0,11,5,0,52.5
490,6.19644412779452,1,1,0,0,70,4.2626798770413155,1,1,0,0,60,4.110873864173311,1,0,4,0,0,1,7,5,3,10,1,333.2
160,5.081404364984463,1,1,6,0,60,4.110873864173311,1,0,4,0,80,4.394449154672439,1,2,3,0,3,1,7,7,2,20,1,51.2
175,5.170483995038151,0,1,0,5,60,4.110873864173311,1,0,4,0,5,1.791759469228055,0,2,5,5,1,2,9,1,4,5,2,266.0
495,6.206575926724928,0,0,5,5,100,4.61512051684126,1,1,2,0,45,3.828641396489095,0,0,3,5,0,7,8,6,0,5,1,544.5
495,6.206575926724928,0,0,5,5,40,3.713572066704308,1,1,5,0,50,3.9318256327243257,1,2,1,0,3,2,9,4,3,5,0,346.5
135,4.912654885736052,0,0,2,5,25,3.258096538021482,0,1,4,5,50,3.9318256327243257,1,2,1,0,0,6,2,2,7,5,1,84.38
180,5.198497031265826,1,0,5,0,75,4.330733340286331,0,0,5,5,50,3.9318256327243257,1,2,1,0,0,1,10,0,4,5,0,157.5
210,5.351858133476067,1,0,0,0,30,3.4339872044851463,1,0,2,0,80,4.394449154672439,1,2,3,0,0,2,10,11,11,10,1,54.6
120,4.795790545596741,1,0,1,0,30,3.4339872044851463,1,0,2,0,65,4.189654742026425,0,2,2,5,2,6,1,3,7,5,1,54.6
225,5.420534999272286,0,0,1,5,15,2.772588722239781,0,0,1,5,20,3.044522437723423,1,2,6,0,0,5,1,6,9,5,1,207.0
45,3.828641396489095,0,0,3,5,120,4.795790545596741,1,0,1,0,40,3.713572066704308,1,1,5,0,1,0,5,3,7,5,1,59.4
460,6.133398042996649,1,1,5,0,120,4.795790545596741,1,0,1,0,20,3.044522437723423,1,2,6,0,1,8,11,3,6,20,2,809.6
190,5.25227342804663,1,1,1,0,60,4.110873864173311,1,0,4,0,15,2.772588722239781,0,0,1,5,2,3,4,5,9,5,1,258.4
385,5.955837369464831,0,1,0,5,80,4.394449154672439,1,2,3,0,90,4.51085950651685,1,0,6,0,3,5,4,1,1,5,0,69.3
20,3.044522437723423,1,2,6,0,20,3.044522437723423,1,2,6,0,80,4.394449154672439,1,2,3,0,1,6,10,2,6,20,3,4.8
480,6.175867270105761,1,0,4,0,60,4.110873864173311,1,0,4,0,55,4.02535169073515,0,1,6,5,2,4,10,8,1,5,1,345.6
15,2.772588722239781,0,0,1,5,30,3.4339872044851463,1,0,2,0,20,3.044522437723423,1,2,6,0,3,3,9,4,0,5,1,15.6
30,3.4339872044851463,1,0,2,0,5,1.791759469228055,0,2,5,5,55,4.02535169073515,0,1,6,5,2,4,10,3,1,5,2,14.17
480,6.175867270105761,1,0,4,0,120,4.795790545596741,1,0,1,0,60,4.110873864173311,1,0,4,0,3,8,0,6,3,60,3,422.4
410,6.018593214496234,1,2,4,0,60,4.110873864173311,1,0,4,0,40,3.713572066704308,1,1,5,0,1,1,5,1,10,10,0,393.6
425,6.054439346269371,0,2,5,5,120,4.795790545596741,1,0,1,0,50,3.9318256327243257,1,2,1,0,2,4,2,6,4,5,0,467.5
185,5.225746673713202,0,2,3,5,70,4.2626798770413155,1,1,0,0,20,3.044522437723423,1,2,6,0,2,2,11,7,6,5,0,251.6
365,5.902633333401366,0,2,1,5,120,4.795790545596741,1,0,1,0,65,4.189654742026425,0,2,2,5,3,6,0,3,5,5,0,281.05
270,5.602118820879701,1,0,4,0,20,3.044522437723423,1,2,6,0,80,4.394449154672439,1,2,3,0,2,0,9,4,4,10,1,64.8
465,6.144185634125646,0,0,3,5,60,4.110873864173311,1,0,4,0,60,4.110873864173311,1,0,4,0,2,2,3,8,7,15,1,297.6
120,4.795790545596741,1,0,1,0,15,2.772588722239781,0,0,1,5,55,4.02535169073515,0,1,6,5,2,8,1,5,6,5,1,62.1
280,5.638354669333745,1,1,0,0,80,4.394449154672439,1,2,3,0,30,3.4339872044851463,1,0,2,0,2,4,2,0,11,10,0,352.8
240,5.484796933490655,1,0,2,0,100,4.61512051684126,1,1,2,0,35,3.58351893845611,0,2,0,5,3,2,9,4,5,5,0,312.0
285,5.655991810819852,0,0,5,5,25,3.258096538021482,0,1,4,5,15,2.772588722239781,0,0,1,5,1,1,1,9,0,5,1,302.81
15,2.772588722239781,0,0,1,5,120,4.795790545596741,1,0,1,0,20,3.044522437723423,1,2,6,0,0,0,4,9,11,5,2,26.4
180,5.198497031265826,1,0,5,0,25,3.258096538021482,0,1,4,5,55,4.02535169073515,0,1,6,5,2,0,6,5,3,5,0,101.25
345,5.846438775057725,0,0,2,5,70,4.2626798770413155,1,1,0,0,70,4.2626798770413155,1,1,0,0,3,6,7,9,0,5,1,175.95
95,4.564348191467836,0,2,4,5,70,4.2626798770413155,1,1,0,0,45,3.828641396489095,0,0,3,5,2,8,0,9,4,5,0,88.83
125,4.836281906951478,0,2,6,5,70,4.2626798770413155,1,1,0,0,50,3.9318256327243257,1,2,1,0,0,8,2,1,8,5,0,106.25
165,5.111987788356544,0,0,4,5,75,4.330733340286331,0,0,5,5,40,3.713572066704308,1,1,5,0,1,2,5,2,0,5,0,173.25
230,5.442417710521793,1,2,6,0,100,4.61512051684126,1,1,2,0,55,4.02535169073515,0,1,6,5,2,4,2,6,6,5,0,207.0
170,5.14166355650266,1,2,2,0,30,3.4339872044851463,1,0,2,0,40,3.713572066704308,1,1,5,0,1,3,6,11,9,10,0,132.6
40,3.713572066704308,1,1,5,0,20,3.044522437723423,1,2,6,0,45,3.828641396489095,0,0,3,5,1,0,7,6,2,5,1,26.4
90,4.51085950651685,1,0,6,0,30,3.4339872044851463,1,0,2,0,40,3.713572066704308,1,1,5,0,0,4,2,5,7,10,1,70.2
360,5.8888779583328805,1,0,3,0,75,4.330733340286331,0,0,5,5,75,4.330733340286331,0,0,5,5,3,5,11,10,11,15,1,157.5
320,5.771441123130016,1,2,5,0,25,3.258096538021482,0,1,4,5,45,3.828641396489095,0,0,3,5,3,3,5,4,5,5,0,220.0
