slot_pair_noun_plural,slot_start_place,slot_opposite_phrase,slot_fast_speed,slot_fast_speed_abs_log1p,slot_fast_speed_mod3,slot_fast_speed_mod7,slot_distance_unit,slot_ratio_num,slot_ratio_num_abs_log1p,slot_ratio_num_is_even,slot_ratio_num_mod3,slot_ratio_num_mod5,slot_ratio_num_mod7,slot_ratio_num_mod10,slot_ratio_den,slot_ratio_den_abs_log1p,slot_ratio_den_mod3,slot_ratio_den_mod5,slot_ratio_den_mod7,slot_ratio_den_mod10,slot_time_h,slot_time_h_abs_log1p,slot_time_h_is_even,slot_time_h_mod3,slot_time_h_mod5,slot_time_h_mod7,slot_time_h_mod10,gcd_all,n_multiple_pairs,y
5,5,2,110,4.709530201312334,2,5,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,4,330.0
3,5,2,60,4.110873864173311,0,4,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,1,4,990.0
0,5,0,170,5.14166355650266,2,2,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,3,1275.0
2,0,2,70,4.2626798770413155,1,0,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,4,315.0
4,0,2,60,4.110873864173311,0,4,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,3,540.0
1,1,1,100,4.61512051684126,1,2,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,3,750.0
0,1,2,130,4.875197323201151,1,4,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,2,975.0
5,2,1,130,4.875197323201151,1,4,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,4,780.0
4,5,1,160,5.081404364984463,1,6,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,6,960.0
0,5,3,140,4.948759890378168,2,0,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,3,1260.0
3,2,1,100,4.61512051684126,1,2,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,2,600.0
4,2,1,100,4.61512051684126,1,2,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,4,3,1800.0
5,5,1,60,4.110873864173311,0,4,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,2,5,900.0
5,1,2,170,5.14166355650266,2,2,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,3,765.0
1,0,3,40,3.713572066704308,1,5,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,3,180.0
3,2,2,80,4.394449154672439,2,3,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,6,240.0
2,0,0,140,4.948759890378168,2,0,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,3,630.0
1,2,3,130,4.875197323201151,1,4,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,6,390.0
0,2,1,50,3.9318256327243257,2,1,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,1,450.0
2,4,0,160,5.081404364984463,1,6,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,3,2160.0
3,0,0,60,4.110873864173311,0,4,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,1,3,990.0
2,4,2,110,4.709530201312334,2,5,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,5,990.0
2,4,1,30,3.4339872044851463,0,2,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,3,180.0
3,2,2,70,4.2626798770413155,1,0,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,1,6,1050.0
1,2,2,170,5.14166355650266,2,2,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,5,1530.0
4,4,0,120,4.795790545596741,0,1,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,6,1080.0
1,0,3,90,4.51085950651685,0,6,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,2,4,1620.0
1,4,0,30,3.4339872044851463,0,2,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,2,4,540.0
1,2,0,40,3.713572066704308,1,5,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,5,300.0
1,3,1,110,4.709530201312334,2,5,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,9,2.302585092994046,0,0,4,2,9,1,2,1485.0
3,0,3,40,3.713572066704308,1,5,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,6,480.0
3,0,0,40,3.713572066704308,1,5,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,3,360.0
1,5,2,60,4.110873864173311,0,4,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,3,990.0
2,2,3,180,5.198497031265826,0,5,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,5,1620.0
0,1,3,90,4.51085950651685,0,6,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,5,270.0
3,3,1,100,4.61512051684126,1,2,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,3,750.0
3,5,2,120,4.795790545596741,0,1,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,3,6,2160.0
5,5,2,180,5.198497031265826,0,5,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,5,1350.0
0,3,3,40,3.713572066704308,1,5,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,3,540.0
1,2,3,60,4.110873864173311,0,4,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,6,540.0
0,4,3,120,4.795790545596741,0,1,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,6,1440.0
5,2,1,80,4.394449154672439,2,3,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,3,720.0
1,4,0,40,3.713572066704308,1,5,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,3,360.0
1,4,0,40,3.713572066704308,1,5,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,6,120.0
3,2,2,140,4.948759890378168,2,0,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,9,2.302585092994046,0,0,4,2,9,1,4,1890.0
5,3,3,150,5.017279836814924,0,3,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,4,1350.0
4,1,0,140,4.948759890378168,2,0,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,9,2.302585092994046,0,0,4,2,9,1,2,1890.0
3,5,3,40,3.713572066704308,1,5,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,1,4,660.0
4,3,0,130,4.875197323201151,1,4,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,4,780.0
5,2,3,60,4.110873864173311,0,4,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,3,6,1080.0
1,1,2,60,4.110873864173311,0,4,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,3,450.0
2,2,2,110,4.709530201312334,2,5,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,3,330.0
2,1,3,180,5.198497031265826,0,5,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,4,2430.0
3,2,3,80,4.394449154672439,2,3,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,4,840.0
1,2,1,130,4.875197323201151,1,4,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,3,1170.0
3,5,2,130,4.875197323201151,1,4,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,1,4,2145.0
2,2,1,120,4.795790545596741,0,1,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,3,6,2160.0
5,0,3,180,5.198497031265826,0,5,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,2,5,2700.0
4,1,3,120,4.795790545596741,0,1,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,4,5,2160.0
0,0,0,160,5.081404364984463,1,6,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,6,1920.0
5,2,3,110,4.709530201312334,2,5,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,5,660.0
4,0,0,40,3.713572066704308,1,5,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,5,360.0
5,3,3,80,4.394449154672439,2,3,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,3,1320.0
5,2,0,160,5.081404364984463,1,6,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,9,2.302585092994046,0,0,4,2,9,1,3,2160.0
3,3,2,140,4.948759890378168,2,0,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,6,420.0
0,4,0,120,4.795790545596741,0,1,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,6,360.0
3,1,3,40,3.713572066704308,1,5,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,3,180.0
2,1,2,50,3.9318256327243257,2,1,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,9,2.302585092994046,0,0,4,2,9,1,4,675.0
3,3,2,100,4.61512051684126,1,2,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,1,2,1500.0
0,5,1,130,4.875197323201151,1,4,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,2,2145.0
5,4,2,40,3.713572066704308,1,5,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,1,4,660.0
2,4,2,160,5.081404364984463,1,6,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,4,6,960.0
5,2,1,180,5.198497031265826,0,5,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,1,2,1890.0
5,0,1,80,4.394449154672439,2,3,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,3,1320.0
3,0,3,70,4.2626798770413155,1,0,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,1,3,735.0
4,2,3,70,4.2626798770413155,1,0,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,3,630.0
4,0,2,110,4.709530201312334,2,5,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,1,5,1980.0
2,1,1,70,4.2626798770413155,1,0,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,1,6,1050.0
0,2,2,140,4.948759890378168,2,0,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,5,420.0
5,5,1,60,4.110873864173311,0,4,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,5,180.0
4,0,2,50,3.9318256327243257,2,1,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,1,525.0
1,0,3,110,4.709530201312334,2,5,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,2,825.0
1,0,2,120,4.795790545596741,0,1,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,1,3,1980.0
2,4,0,40,3.713572066704308,1,5,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,3,540.0
4,2,3,40,3.713572066704308,1,5,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,3,180.0
5,3,1,60,4.110873864173311,0,4,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,5,180.0
4,1,0,140,4.948759890378168,2,0,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,4,4,1680.0
4,3,0,130,4.875197323201151,1,4,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,2,3,1560.0
2,0,1,170,5.14166355650266,2,2,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,4,765.0
3,3,2,160,5.081404364984463,1,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,5,1440.0
4,0,2,50,3.9318256327243257,2,1,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,3,150.0
0,2,0,180,5.198497031265826,0,5,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,3,1890.0
5,3,2,90,4.51085950651685,0,6,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,1,1,945.0
4,5,0,150,5.017279836814924,0,3,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,5,1800.0
5,5,2,50,3.9318256327243257,2,1,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,1,525.0
1,0,3,90,4.51085950651685,0,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,1,5,1620.0
5,5,3,100,4.61512051684126,1,2,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,3,1350.0
2,4,3,100,4.61512051684126,1,2,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,9,2.302585092994046,0,0,4,2,9,1,3,1350.0
2,0,0,110,4.709530201312334,2,5,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,9,2.302585092994046,0,0,4,2,9,1,2,1485.0
4,0,1,100,4.61512051684126,1,2,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,5,300.0
5,0,2,170,5.14166355650266,2,2,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,5,510.0
4,2,2,180,5.198497031265826,0,5,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,5,1350.0
1,3,3,170,5.14166355650266,2,2,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,6,510.0
4,2,2,150,5.017279836814924,0,3,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,5,900.0
0,0,2,40,3.713572066704308,1,5,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,4,360.0
5,0,3,130,4.875197323201151,1,4,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,1,1,1365.0
5,3,3,90,4.51085950651685,0,6,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,1,4,1350.0
3,1,1,120,4.795790545596741,0,1,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,1,6,2160.0
3,5,2,150,5.017279836814924,0,3,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,2,1125.0
5,5,0,30,3.4339872044851463,0,2,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,2,270.0
1,0,3,110,4.709530201312334,2,5,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,4,1320.0
2,2,1,110,4.709530201312334,2,5,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,6,330.0
1,1,1,180,5.198497031265826,0,5,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,1,3,2160.0
1,4,3,80,4.394449154672439,2,3,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,1,2,960.0
0,0,2,60,4.110873864173311,0,4,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,9,2.302585092994046,0,0,4,2,9,1,2,810.0
1,0,3,50,3.9318256327243257,2,1,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,2,4,900.0
3,2,1,130,4.875197323201151,1,4,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,5,780.0
0,4,1,170,5.14166355650266,2,2,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,2,1275.0
0,2,2,160,5.081404364984463,1,6,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,4,1680.0
1,2,1,30,3.4339872044851463,0,2,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,1,6,450.0
3,4,2,150,5.017279836814924,0,3,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,2,3,900.0
4,2,1,170,5.14166355650266,2,2,1,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,4,1020.0
3,5,0,60,4.110873864173311,0,4,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,3,630.0
4,1,1,120,4.795790545596741,0,1,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,1,4,1800.0
1,5,0,100,4.61512051684126,1,2,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,5,1200.0
3,2,2,60,4.110873864173311,0,4,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,1,3,720.0
2,0,0,100,4.61512051684126,1,2,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,2,3,1500.0
0,4,1,70,4.2626798770413155,1,0,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,2,2,1050.0
0,1,3,40,3.713572066704308,1,5,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,3,180.0
1,0,3,80,4.394449154672439,2,3,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,4,840.0
3,2,3,30,3.4339872044851463,0,2,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,1,1,495.0
2,2,2,110,4.709530201312334,2,5,1,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,2,2,1980.0
4,5,1,130,4.875197323201151,1,4,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,5,975.0
1,4,3,30,3.4339872044851463,0,2,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,3,6,135.0
3,1,2,100,4.61512051684126,1,2,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,1,1,1650.0
