slot_person1,slot_person2,slot_item1,slot_item2,slot_currency_symbol,slot_rate1,slot_rate1_abs_log1p,slot_rate1_is_even,slot_rate1_mod3,slot_rate1_mod5,slot_rate1_mod7,slot_rate1_mod10,slot_rate2,slot_rate2_abs_log1p,slot_rate2_is_even,slot_rate2_mod3,slot_rate2_mod5,slot_rate2_mod7,slot_rate2_mod10,slot_hours1,slot_hours1_abs_log1p,slot_hours1_is_even,slot_hours1_mod3,slot_hours1_mod5,slot_hours1_mod7,slot_hours1_mod10,slot_hours2,slot_hours2_abs_log1p,slot_hours2_is_even,slot_hours2_mod3,slot_hours2_mod5,slot_hours2_mod7,slot_hours2_mod10,gcd_all,n_multiple_pairs,y
7,2,6,3,0,45,3.828641396489095,0,0,0,3,5,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,1,3,325.0
3,7,4,3,0,12,2.5649493574615367,1,0,2,5,2,35,3.58351893845611,0,2,0,0,5,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,3,234.0
0,5,2,2,1,28,3.367295829986474,1,1,3,0,8,12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,1,296.0
8,8,4,1,2,12,2.5649493574615367,1,0,2,5,2,35,3.58351893845611,0,2,0,0,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,1,201.0
0,9,7,7,0,55,4.02535169073515,0,1,0,6,5,28,3.367295829986474,1,1,3,0,8,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,1,2,386.0
8,0,3,8,0,50,3.9318256327243257,1,2,0,1,0,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,1,0,305.0
3,10,5,6,1,20,3.044522437723423,1,2,0,6,0,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,5,250.0
1,1,8,0,1,15,2.772588722239781,0,0,0,1,5,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,1,4,40.0
9,11,1,6,0,30,3.4339872044851463,1,0,0,2,0,28,3.367295829986474,1,1,3,0,8,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,1,380.0
10,12,4,9,1,45,3.828641396489095,0,0,0,3,5,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,1,275.0
11,6,0,5,1,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,6,40.0
0,13,8,2,2,45,3.828641396489095,0,0,0,3,5,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,1,5,265.0
12,11,6,5,1,30,3.4339872044851463,1,0,0,2,0,22,3.1354942159291497,1,1,2,1,2,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,3,312.0
10,9,3,8,3,8,2.1972245773362196,1,2,3,1,8,22,3.1354942159291497,1,1,2,1,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,3,46.0
6,10,9,7,1,30,3.4339872044851463,1,0,0,2,0,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,3,270.0
0,14,10,1,2,45,3.828641396489095,0,0,0,3,5,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,3,255.0
4,15,7,5,1,8,2.1972245773362196,1,2,3,1,8,15,2.772588722239781,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,1,3,98.0
13,16,7,0,2,60,4.110873864173311,1,0,0,4,0,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,3,316.0
14,11,10,4,3,40,3.713572066704308,1,1,0,5,0,50,3.9318256327243257,1,2,0,1,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,5,290.0
4,3,0,5,2,20,3.044522437723423,1,2,0,6,0,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,4,112.0
0,10,0,3,2,30,3.4339872044851463,1,0,0,2,0,22,3.1354942159291497,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,1,1,306.0
15,12,0,4,1,15,2.772588722239781,0,0,0,1,5,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,3,95.0
16,17,2,4,0,45,3.828641396489095,0,0,0,3,5,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,3,126.0
8,0,3,0,1,25,3.258096538021482,0,1,0,4,5,20,3.044522437723423,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,5,45.0
5,4,4,9,1,25,3.258096538021482,0,1,0,4,5,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,0,535.0
7,13,1,9,0,30,3.4339872044851463,1,0,0,2,0,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,5,144.0
0,15,0,6,2,50,3.9318256327243257,1,2,0,1,0,45,3.828641396489095,0,0,0,3,5,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,3,410.0
17,4,2,9,1,22,3.1354942159291497,1,1,2,1,2,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,3,124.0
7,16,10,4,3,40,3.713572066704308,1,1,0,5,0,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,4,260.0
2,0,6,10,0,8,2.1972245773362196,1,2,3,1,8,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,2,320.0
0,2,11,9,1,28,3.367295829986474,1,1,3,0,8,28,3.367295829986474,1,1,3,0,8,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,4,252.0
1,18,4,5,3,25,3.258096538021482,0,1,0,4,5,22,3.1354942159291497,1,1,2,1,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,3,91.0
1,14,1,6,1,35,3.58351893845611,0,2,0,0,5,22,3.1354942159291497,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,1,1,368.0
15,19,2,5,2,28,3.367295829986474,1,1,3,0,8,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2,3,536.0
16,19,3,2,3,30,3.4339872044851463,1,0,0,2,0,22,3.1354942159291497,1,1,2,1,2,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,1,0,386.0
12,6,0,6,0,25,3.258096538021482,0,1,0,4,5,55,4.02535169073515,0,1,0,6,5,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,1,1,640.0
14,19,1,4,1,35,3.58351893845611,0,2,0,0,5,28,3.367295829986474,1,1,3,0,8,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,1,2,413.0
14,8,7,2,3,20,3.044522437723423,1,2,0,6,0,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,6,200.0
0,5,3,5,3,12,2.5649493574615367,1,0,2,5,2,28,3.367295829986474,1,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,3,216.0
3,9,1,1,3,35,3.58351893845611,0,2,0,0,5,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,2,475.0
1,8,3,5,0,55,4.02535169073515,0,1,0,6,5,60,4.110873864173311,1,0,0,4,0,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1,3,445.0
3,20,8,0,1,20,3.044522437723423,1,2,0,6,0,22,3.1354942159291497,1,1,2,1,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,3,150.0
9,13,8,3,2,45,3.828641396489095,0,0,0,3,5,30,3.4339872044851463,1,0,0,2,0,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,1,1,495.0
10,21,0,3,0,12,2.5649493574615367,1,0,2,5,2,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,2,348.0
16,14,9,11,2,30,3.4339872044851463,1,0,0,2,0,35,3.58351893845611,0,2,0,0,5,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,1,2,310.0
8,2,8,11,2,22,3.1354942159291497,1,1,2,1,2,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,2,1,216.0
1,9,8,8,2,10,2.3978952727983707,1,1,0,3,0,28,3.367295829986474,1,1,3,0,8,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,3,234.0
13,14,9,2,2,45,3.828641396489095,0,0,0,3,5,60,4.110873864173311,1,0,0,4,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,5,345.0
17,21,4,10,3,45,3.828641396489095,0,0,0,3,5,35,3.58351893845611,0,2,0,0,5,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,1,300.0
0,2,9,5,0,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,4,62.0
13,18,8,8,0,8,2.1972245773362196,1,2,3,1,8,40,3.713572066704308,1,1,0,5,0,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,1,1,304.0
18,12,7,7,1,35,3.58351893845611,0,2,0,0,5,28,3.367295829986474,1,1,3,0,8,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,1,5,273.0
9,14,11,3,2,30,3.4339872044851463,1,0,0,2,0,12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,3,264.0
2,0,9,2,0,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,2,48.0
11,6,1,7,3,30,3.4339872044851463,1,0,0,2,0,15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,1,2,300.0
11,20,10,7,2,45,3.828641396489095,0,0,0,3,5,55,4.02535169073515,0,1,0,6,5,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,5,100.0
8,18,7,8,0,25,3.258096538021482,0,1,0,4,5,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,3,170.0
19,10,10,3,0,25,3.258096538021482,0,1,0,4,5,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,1,2,205.0
17,21,0,3,0,30,3.4339872044851463,1,0,0,2,0,20,3.044522437723423,1,2,0,6,0,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,3,280.0
20,13,9,7,3,22,3.1354942159291497,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0,172.0
12,7,7,3,0,28,3.367295829986474,1,1,3,0,8,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,1,4,81.0
3,21,1,6,0,10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,5,6,100.0
14,14,3,5,0,55,4.02535169073515,0,1,0,6,5,15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,1,430.0
2,0,9,6,3,10,2.3978952727983707,1,1,0,3,0,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,3,400.0
13,16,10,0,3,30,3.4339872044851463,1,0,0,2,0,15,2.772588722239781,0,0,0,1,5,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,1,3,210.0
17,15,3,8,0,30,3.4339872044851463,1,0,0,2,0,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,3,165.0
14,18,9,3,3,22,3.1354942159291497,1,1,2,1,2,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,1,1,150.0
11,10,4,11,3,40,3.713572066704308,1,1,0,5,0,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,3,280.0
16,17,4,7,2,50,3.9318256327243257,1,2,0,1,0,20,3.044522437723423,1,2,0,6,0,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,3,420.0
8,10,5,8,1,45,3.828641396489095,0,0,0,3,5,55,4.02535169073515,0,1,0,6,5,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,1,1,800.0
0,4,6,1,2,28,3.367295829986474,1,1,3,0,8,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,4,172.0
10,15,2,10,2,35,3.58351893845611,0,2,0,0,5,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,1,180.0
16,19,10,9,2,50,3.9318256327243257,1,2,0,1,0,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,3,550.0
8,1,0,7,2,20,3.044522437723423,1,2,0,6,0,40,3.713572066704308,1,1,0,5,0,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,3,140.0
13,14,11,0,3,15,2.772588722239781,0,0,0,1,5,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,3,285.0
12,4,10,6,2,20,3.044522437723423,1,2,0,6,0,60,4.110873864173311,1,0,0,4,0,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,1,2,500.0
13,21,11,0,1,20,3.044522437723423,1,2,0,6,0,12,2.5649493574615367,1,0,2,5,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,2,172.0
14,4,2,7,3,10,2.3978952727983707,1,1,0,3,0,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,1,4,74.0
8,14,9,7,3,30,3.4339872044851463,1,0,0,2,0,18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,2,264.0
20,7,6,5,3,28,3.367295829986474,1,1,3,0,8,35,3.58351893845611,0,2,0,0,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,4,98.0
15,14,2,3,1,15,2.772588722239781,0,0,0,1,5,15,2.772588722239781,0,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,1,135.0
9,5,9,11,2,22,3.1354942159291497,1,1,2,1,2,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,0,106.0
19,1,0,4,2,60,4.110873864173311,1,0,0,4,0,50,3.9318256327243257,1,2,0,1,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,4,210.0
2,8,3,0,0,40,3.713572066704308,1,1,0,5,0,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,5,80.0
0,13,4,8,1,55,4.02535169073515,0,1,0,6,5,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,4,225.0
10,13,6,10,3,25,3.258096538021482,0,1,0,4,5,22,3.1354942159291497,1,1,2,1,2,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,1,1,301.0
20,16,0,5,0,55,4.02535169073515,0,1,0,6,5,60,4.110873864173311,1,0,0,4,0,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,1,750.0
5,21,6,7,1,60,4.110873864173311,1,0,0,4,0,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,2,528.0
8,8,7,8,1,45,3.828641396489095,0,0,0,3,5,28,3.367295829986474,1,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,2,320.0
16,20,3,5,3,22,3.1354942159291497,1,1,2,1,2,15,2.772588722239781,0,0,0,1,5,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,1,229.0
4,7,11,1,0,22,3.1354942159291497,1,1,2,1,2,35,3.58351893845611,0,2,0,0,5,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,3,123.0
12,8,3,10,2,15,2.772588722239781,0,0,0,1,5,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,1,2,240.0
17,1,2,2,1,25,3.258096538021482,0,1,0,4,5,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,2,530.0
7,11,3,10,0,10,2.3978952727983707,1,1,0,3,0,55,4.02535169073515,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,2,435.0
18,20,1,2,3,45,3.828641396489095,0,0,0,3,5,35,3.58351893845611,0,2,0,0,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,2,375.0
10,15,2,0,0,50,3.9318256327243257,1,2,0,1,0,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,2,520.0
5,16,9,1,3,8,2.1972245773362196,1,2,3,1,8,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,1,164.0
6,4,8,10,1,15,2.772588722239781,0,0,0,1,5,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,3,220.0
4,21,10,5,0,22,3.1354942159291497,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,3,78.0
13,8,6,10,3,50,3.9318256327243257,1,2,0,1,0,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,6,60.0
17,11,4,4,2,18,2.9444389791664403,1,0,3,4,8,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,1,1,264.0
8,8,6,4,2,12,2.5649493574615367,1,0,2,5,2,28,3.367295829986474,1,1,3,0,8,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,1,5,52.0
10,12,10,0,3,30,3.4339872044851463,1,0,0,2,0,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,1,565.0
11,21,0,2,0,8,2.1972245773362196,1,2,3,1,8,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,1,1,304.0
10,5,10,10,2,18,2.9444389791664403,1,0,3,4,8,35,3.58351893845611,0,2,0,0,5,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,1,1,352.0
10,5,1,10,0,35,3.58351893845611,0,2,0,0,5,35,3.58351893845611,0,2,0,0,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,1,2,210.0
14,20,11,11,3,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,1,108.0
17,7,5,5,1,20,3.044522437723423,1,2,0,6,0,45,3.828641396489095,0,0,0,3,5,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,3,305.0
7,1,4,6,2,18,2.9444389791664403,1,0,3,4,8,22,3.1354942159291497,1,1,2,1,2,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,1,1,280.0
0,16,3,8,1,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2,4,180.0
7,17,11,10,2,28,3.367295829986474,1,1,3,0,8,35,3.58351893845611,0,2,0,0,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,1,273.0
14,4,7,11,2,18,2.9444389791664403,1,0,3,4,8,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,5,144.0
19,2,9,1,1,50,3.9318256327243257,1,2,0,1,0,10,2.3978952727983707,1,1,0,3,0,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,2,360.0
14,13,8,2,3,18,2.9444389791664403,1,0,3,4,8,40,3.713572066704308,1,1,0,5,0,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,2,344.0
1,2,1,11,2,28,3.367295829986474,1,1,3,0,8,25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,1,318.0
5,18,11,11,1,8,2.1972245773362196,1,2,3,1,8,28,3.367295829986474,1,1,3,0,8,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,4,4,176.0
2,11,5,2,2,22,3.1354942159291497,1,1,2,1,2,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,2,3,104.0
6,16,3,11,2,30,3.4339872044851463,1,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,4,70.0
11,5,7,3,1,10,2.3978952727983707,1,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,1,0,164.0
18,0,4,7,1,50,3.9318256327243257,1,2,0,1,0,30,3.4339872044851463,1,0,0,2,0,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,2,3,460.0
2,7,10,7,2,30,3.4339872044851463,1,0,0,2,0,60,4.110873864173311,1,0,0,4,0,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,1,3,510.0
