slot_person_name,slot_base_item,slot_other_item,slot_base_count,slot_base_count_abs_log1p,slot_base_count_mod3,slot_base_count_mod7,slot_percent_more,slot_percent_more_abs_log1p,slot_percent_more_is_even,slot_percent_more_mod3,slot_percent_more_mod7,slot_percent_more_mod10,gcd_all,n_multiple_pairs,y
6,8,8,840,6.734591659972948,0,0,55,4.02535169073515,0,1,6,5,5,0,2142.0
8,1,1,960,6.8679744089702925,0,1,95,4.564348191467836,0,2,4,5,5,0,2832.0
8,3,3,940,6.846943139585379,1,2,50,3.9318256327243257,1,2,1,0,10,0,2350.0
6,2,2,880,6.78105762593618,1,5,75,4.330733340286331,0,0,5,5,5,0,2420.0
2,4,4,900,6.803505257608338,0,4,85,4.454347296253507,0,1,1,5,5,0,2565.0
7,6,6,980,6.8885724595653635,2,0,60,4.110873864173311,1,0,4,0,20,0,2548.0
8,0,0,460,6.133398042996649,1,5,70,4.2626798770413155,1,1,0,0,10,0,1242.0
2,4,4,400,5.993961427306569,1,1,25,3.258096538021482,0,1,4,5,25,1,900.0
8,0,0,600,6.398594934535208,0,5,40,3.713572066704308,1,1,5,0,40,1,1440.0
1,6,6,500,6.2166061010848646,2,3,55,4.02535169073515,0,1,6,5,5,0,1275.0
8,2,2,760,6.634633357861686,1,4,90,4.51085950651685,1,0,6,0,10,0,2204.0
6,7,7,960,6.8679744089702925,0,1,10,2.3978952727983707,1,1,3,0,10,1,2016.0
1,8,8,160,5.081404364984463,1,6,80,4.394449154672439,1,2,3,0,80,1,448.0
0,0,0,280,5.638354669333745,1,0,55,4.02535169073515,0,1,6,5,5,0,714.0
7,5,5,700,6.55250788703459,1,0,75,4.330733340286331,0,0,5,5,25,0,1925.0
8,6,6,760,6.634633357861686,1,4,20,3.044522437723423,1,2,6,0,20,1,1672.0
2,0,0,860,6.7580945044277305,2,6,45,3.828641396489095,0,0,3,5,5,0,2107.0
1,0,0,120,4.795790545596741,0,1,10,2.3978952727983707,1,1,3,0,10,1,252.0
6,6,6,240,5.484796933490655,0,2,80,4.394449154672439,1,2,3,0,80,1,672.0
1,0,0,440,6.089044875446846,2,6,95,4.564348191467836,0,2,4,5,5,0,1298.0
4,3,3,840,6.734591659972948,0,0,20,3.044522437723423,1,2,6,0,20,1,1848.0
2,4,4,460,6.133398042996649,1,5,85,4.454347296253507,0,1,1,5,5,0,1311.0
9,2,2,780,6.660575149839686,0,3,50,3.9318256327243257,1,2,1,0,10,0,1950.0
8,5,5,1000,6.90875477931522,1,6,85,4.454347296253507,0,1,1,5,5,0,2850.0
2,7,7,200,5.303304908059076,2,4,55,4.02535169073515,0,1,6,5,5,0,510.0
1,0,0,560,6.329720905522696,2,0,30,3.4339872044851463,1,0,2,0,10,0,1288.0
5,0,0,120,4.795790545596741,0,1,10,2.3978952727983707,1,1,3,0,10,1,252.0
6,6,6,640,6.46302945692067,1,3,40,3.713572066704308,1,1,5,0,40,1,1536.0
6,0,0,280,5.638354669333745,1,0,35,3.58351893845611,0,2,0,5,35,1,658.0
0,8,8,140,4.948759890378168,2,0,40,3.713572066704308,1,1,5,0,20,0,336.0
8,0,0,760,6.634633357861686,1,4,10,2.3978952727983707,1,1,3,0,10,1,1596.0
7,0,0,140,4.948759890378168,2,0,60,4.110873864173311,1,0,4,0,20,0,364.0
7,7,7,800,6.68586094706836,2,2,65,4.189654742026425,0,2,2,5,5,0,2120.0
0,6,6,820,6.710523109452428,1,1,25,3.258096538021482,0,1,4,5,5,0,1845.0
1,5,5,900,6.803505257608338,0,4,45,3.828641396489095,0,0,3,5,45,1,2205.0
9,1,1,220,5.3981627015177525,1,3,5,1.791759469228055,0,2,5,5,5,1,451.0
9,5,5,420,6.042632833682381,0,0,60,4.110873864173311,1,0,4,0,60,1,1092.0
5,8,8,500,6.2166061010848646,2,3,95,4.564348191467836,0,2,4,5,5,0,1475.0
7,1,1,200,5.303304908059076,2,4,40,3.713572066704308,1,1,5,0,40,1,480.0
2,7,7,760,6.634633357861686,1,4,55,4.02535169073515,0,1,6,5,5,0,1938.0
7,3,3,700,6.55250788703459,1,0,45,3.828641396489095,0,0,3,5,5,0,1715.0
0,0,0,700,6.55250788703459,1,0,15,2.772588722239781,0,0,1,5,5,0,1505.0
7,7,7,160,5.081404364984463,1,6,30,3.4339872044851463,1,0,2,0,10,0,368.0
5,3,3,380,5.942799375126701,2,2,10,2.3978952727983707,1,1,3,0,10,1,798.0
6,1,1,280,5.638354669333745,1,0,35,3.58351893845611,0,2,0,5,35,1,658.0
3,3,3,120,4.795790545596741,0,1,80,4.394449154672439,1,2,3,0,40,0,336.0
9,6,6,520,6.255750041753367,1,2,70,4.2626798770413155,1,1,0,0,10,0,1404.0
5,3,3,420,6.042632833682381,0,0,65,4.189654742026425,0,2,2,5,5,0,1113.0
3,0,0,760,6.634633357861686,1,4,35,3.58351893845611,0,2,0,5,5,0,1786.0
4,0,0,100,4.61512051684126,1,2,20,3.044522437723423,1,2,6,0,20,1,220.0
4,2,2,180,5.198497031265826,0,5,50,3.9318256327243257,1,2,1,0,10,0,450.0
8,0,0,360,5.8888779583328805,0,3,45,3.828641396489095,0,0,3,5,45,1,882.0
5,5,5,980,6.8885724595653635,2,0,25,3.258096538021482,0,1,4,5,5,0,2205.0
6,3,3,140,4.948759890378168,2,0,55,4.02535169073515,0,1,6,5,5,0,357.0
7,5,5,220,5.3981627015177525,1,3,70,4.2626798770413155,1,1,0,0,10,0,594.0
1,5,5,260,5.564520407322694,2,1,50,3.9318256327243257,1,2,1,0,10,0,650.0
4,0,0,360,5.8888779583328805,0,3,70,4.2626798770413155,1,1,0,0,10,0,972.0
6,0,0,820,6.710523109452428,1,1,90,4.51085950651685,1,0,6,0,10,0,2378.0
4,4,4,760,6.634633357861686,1,4,50,3.9318256327243257,1,2,1,0,10,0,1900.0
6,0,0,840,6.734591659972948,0,0,15,2.772588722239781,0,0,1,5,15,1,1806.0
7,5,5,660,6.493753839851686,0,2,10,2.3978952727983707,1,1,3,0,10,1,1386.0
9,1,1,740,6.608000625296087,2,5,20,3.044522437723423,1,2,6,0,20,1,1628.0
0,2,2,500,6.2166061010848646,2,3,50,3.9318256327243257,1,2,1,0,50,1,1250.0
3,4,4,500,6.2166061010848646,2,3,10,2.3978952727983707,1,1,3,0,10,1,1050.0
7,3,3,760,6.634633357861686,1,4,40,3.713572066704308,1,1,5,0,40,1,1824.0
2,8,8,120,4.795790545596741,0,1,35,3.58351893845611,0,2,0,5,5,0,282.0
6,4,4,680,6.523562306149512,2,1,25,3.258096538021482,0,1,4,5,5,0,1530.0
3,3,3,580,6.364750756851911,1,6,25,3.258096538021482,0,1,4,5,5,0,1305.0
9,7,7,460,6.133398042996649,1,5,10,2.3978952727983707,1,1,3,0,10,1,966.0
5,7,7,200,5.303304908059076,2,4,30,3.4339872044851463,1,0,2,0,10,0,460.0
5,0,0,200,5.303304908059076,2,4,70,4.2626798770413155,1,1,0,0,10,0,540.0
1,8,8,460,6.133398042996649,1,5,50,3.9318256327243257,1,2,1,0,10,0,1150.0
9,4,4,300,5.707110264748875,0,6,50,3.9318256327243257,1,2,1,0,50,1,750.0
5,8,8,640,6.46302945692067,1,3,5,1.791759469228055,0,2,5,5,5,1,1312.0
9,0,0,400,5.993961427306569,1,1,75,4.330733340286331,0,0,5,5,25,0,1100.0
0,5,5,100,4.61512051684126,1,2,65,4.189654742026425,0,2,2,5,5,0,265.0
8,8,8,600,6.398594934535208,0,5,65,4.189654742026425,0,2,2,5,5,0,1590.0
4,8,8,220,5.3981627015177525,1,3,35,3.58351893845611,0,2,0,5,5,0,517.0
5,8,8,900,6.803505257608338,0,4,60,4.110873864173311,1,0,4,0,60,1,2340.0
0,1,1,600,6.398594934535208,0,5,55,4.02535169073515,0,1,6,5,5,0,1530.0
9,8,8,180,5.198497031265826,0,5,85,4.454347296253507,0,1,1,5,5,0,513.0
7,0,0,840,6.734591659972948,0,0,20,3.044522437723423,1,2,6,0,20,1,1848.0
8,7,7,900,6.803505257608338,0,4,30,3.4339872044851463,1,0,2,0,30,1,2070.0
8,3,3,640,6.46302945692067,1,3,55,4.02535169073515,0,1,6,5,5,0,1632.0
1,3,3,440,6.089044875446846,2,6,80,4.394449154672439,1,2,3,0,40,0,1232.0
3,5,5,820,6.710523109452428,1,1,65,4.189654742026425,0,2,2,5,5,0,2173.0
0,1,1,560,6.329720905522696,2,0,25,3.258096538021482,0,1,4,5,5,0,1260.0
5,6,6,640,6.46302945692067,1,3,40,3.713572066704308,1,1,5,0,40,1,1536.0
8,5,5,780,6.660575149839686,0,3,90,4.51085950651685,1,0,6,0,30,0,2262.0
5,7,7,100,4.61512051684126,1,2,95,4.564348191467836,0,2,4,5,5,0,295.0
7,2,2,100,4.61512051684126,1,2,45,3.828641396489095,0,0,3,5,5,0,245.0
2,6,6,740,6.608000625296087,2,5,55,4.02535169073515,0,1,6,5,5,0,1887.0
5,3,3,720,6.580639137284949,0,6,70,4.2626798770413155,1,1,0,0,10,0,1944.0
5,1,1,420,6.042632833682381,0,0,15,2.772588722239781,0,0,1,5,15,1,903.0
0,4,4,980,6.8885724595653635,2,0,65,4.189654742026425,0,2,2,5,5,0,2597.0
0,2,2,80,4.394449154672439,2,3,60,4.110873864173311,1,0,4,0,20,0,208.0
0,3,3,980,6.8885724595653635,2,0,50,3.9318256327243257,1,2,1,0,10,0,2450.0
9,7,7,440,6.089044875446846,2,6,85,4.454347296253507,0,1,1,5,5,0,1254.0
8,8,8,80,4.394449154672439,2,3,25,3.258096538021482,0,1,4,5,5,0,180.0
1,3,3,900,6.803505257608338,0,4,60,4.110873864173311,1,0,4,0,60,1,2340.0
7,3,3,640,6.46302945692067,1,3,25,3.258096538021482,0,1,4,5,5,0,1440.0
1,6,6,160,5.081404364984463,1,6,55,4.02535169073515,0,1,6,5,5,0,408.0
0,2,2,800,6.68586094706836,2,2,20,3.044522437723423,1,2,6,0,20,1,1760.0
7,1,1,560,6.329720905522696,2,0,25,3.258096538021482,0,1,4,5,5,0,1260.0
8,1,1,840,6.734591659972948,0,0,5,1.791759469228055,0,2,5,5,5,1,1722.0
6,5,5,960,6.8679744089702925,0,1,35,3.58351893845611,0,2,0,5,5,0,2256.0
9,1,1,480,6.175867270105761,0,4,80,4.394449154672439,1,2,3,0,80,1,1344.0
3,0,0,140,4.948759890378168,2,0,60,4.110873864173311,1,0,4,0,20,0,364.0
8,8,8,820,6.710523109452428,1,1,25,3.258096538021482,0,1,4,5,5,0,1845.0
5,3,3,880,6.78105762593618,1,5,50,3.9318256327243257,1,2,1,0,10,0,2200.0
5,4,4,760,6.634633357861686,1,4,20,3.044522437723423,1,2,6,0,20,1,1672.0
7,5,5,480,6.175867270105761,0,4,10,2.3978952727983707,1,1,3,0,10,1,1008.0
0,2,2,600,6.398594934535208,0,5,15,2.772588722239781,0,0,1,5,15,1,1290.0
0,7,7,780,6.660575149839686,0,3,55,4.02535169073515,0,1,6,5,5,0,1989.0
5,6,6,140,4.948759890378168,2,0,65,4.189654742026425,0,2,2,5,5,0,371.0
8,4,4,180,5.198497031265826,0,5,35,3.58351893845611,0,2,0,5,5,0,423.0
4,7,7,620,6.431331081933479,2,4,45,3.828641396489095,0,0,3,5,5,0,1519.0
8,0,0,800,6.68586094706836,2,2,50,3.9318256327243257,1,2,1,0,50,1,2000.0
4,6,6,980,6.8885724595653635,2,0,30,3.4339872044851463,1,0,2,0,10,0,2254.0
3,6,6,660,6.493753839851686,0,2,95,4.564348191467836,0,2,4,5,5,0,1947.0
2,1,1,200,5.303304908059076,2,4,70,4.2626798770413155,1,1,0,0,10,0,540.0
0,0,0,380,5.942799375126701,2,2,15,2.772588722239781,0,0,1,5,5,0,817.0
4,6,6,860,6.7580945044277305,2,6,15,2.772588722239781,0,0,1,5,5,0,1849.0
6,3,3,660,6.493753839851686,0,2,45,3.828641396489095,0,0,3,5,15,0,1617.0
9,5,5,700,6.55250788703459,1,0,90,4.51085950651685,1,0,6,0,10,0,2030.0
0,2,2,340,5.831882477283517,1,4,25,3.258096538021482,0,1,4,5,5,0,765.0
2,4,4,100,4.61512051684126,1,2,90,4.51085950651685,1,0,6,0,10,0,290.0
7,1,1,920,6.825460036255307,2,3,35,3.58351893845611,0,2,0,5,5,0,2162.0
7,8,8,80,4.394449154672439,2,3,70,4.2626798770413155,1,1,0,0,10,0,216.0
3,4,4,340,5.831882477283517,1,4,95,4.564348191467836,0,2,4,5,5,0,1003.0
7,8,8,60,4.110873864173311,0,4,20,3.044522437723423,1,2,6,0,20,1,132.0
4,5,5,620,6.431331081933479,2,4,90,4.51085950651685,1,0,6,0,10,0,1798.0
8,8,8,900,6.803505257608338,0,4,95,4.564348191467836,0,2,4,5,5,0,2655.0
4,7,7,580,6.364750756851911,1,6,95,4.564348191467836,0,2,4,5,5,0,1711.0
1,5,5,920,6.825460036255307,2,3,55,4.02535169073515,0,1,6,5,5,0,2346.0
5,3,3,720,6.580639137284949,0,6,45,3.828641396489095,0,0,3,5,45,1,1764.0
9,3,3,60,4.110873864173311,0,4,70,4.2626798770413155,1,1,0,0,10,0,162.0
9,5,5,680,6.523562306149512,2,1,55,4.02535169073515,0,1,6,5,5,0,1734.0
1,8,8,120,4.795790545596741,0,1,5,1.791759469228055,0,2,5,5,5,1,246.0
3,8,8,620,6.431331081933479,2,4,85,4.454347296253507,0,1,1,5,5,0,1767.0
2,0,0,300,5.707110264748875,0,6,50,3.9318256327243257,1,2,1,0,50,1,750.0
7,3,3,360,5.8888779583328805,0,3,35,3.58351893845611,0,2,0,5,5,0,846.0
3,2,2,80,4.394449154672439,2,3,80,4.394449154672439,1,2,3,0,80,1,224.0
0,3,3,800,6.68586094706836,2,2,15,2.772588722239781,0,0,1,5,5,0,1720.0
8,7,7,340,5.831882477283517,1,4,55,4.02535169073515,0,1,6,5,5,0,867.0
5,0,0,860,6.7580945044277305,2,6,90,4.51085950651685,1,0,6,0,10,0,2494.0
5,5,5,980,6.8885724595653635,2,0,80,4.394449154672439,1,2,3,0,20,0,2744.0
3,1,1,540,6.293419278846481,0,1,95,4.564348191467836,0,2,4,5,5,0,1593.0
4,4,4,800,6.68586094706836,2,2,40,3.713572066704308,1,1,5,0,40,1,1920.0
8,6,6,760,6.634633357861686,1,4,75,4.330733340286331,0,0,5,5,5,0,2090.0
6,0,0,540,6.293419278846481,0,1,80,4.394449154672439,1,2,3,0,20,0,1512.0
1,6,6,360,5.8888779583328805,0,3,20,3.044522437723423,1,2,6,0,20,1,792.0
2,6,6,860,6.7580945044277305,2,6,50,3.9318256327243257,1,2,1,0,10,0,2150.0
9,7,7,820,6.710523109452428,1,1,30,3.4339872044851463,1,0,2,0,10,0,1886.0
3,1,1,760,6.634633357861686,1,4,45,3.828641396489095,0,0,3,5,5,0,1862.0
9,8,8,100,4.61512051684126,1,2,35,3.58351893845611,0,2,0,5,5,0,235.0
2,8,8,360,5.8888779583328805,0,3,95,4.564348191467836,0,2,4,5,5,0,1062.0
5,3,3,840,6.734591659972948,0,0,5,1.791759469228055,0,2,5,5,5,1,1722.0
0,7,7,720,6.580639137284949,0,6,25,3.258096538021482,0,1,4,5,5,0,1620.0
1,8,8,160,5.081404364984463,1,6,90,4.51085950651685,1,0,6,0,10,0,464.0
3,2,2,520,6.255750041753367,1,2,55,4.02535169073515,0,1,6,5,5,0,1326.0
7,7,7,960,6.8679744089702925,0,1,55,4.02535169073515,0,1,6,5,5,0,2448.0
2,1,1,860,6.7580945044277305,2,6,70,4.2626798770413155,1,1,0,0,10,0,2322.0
9,6,6,180,5.198497031265826,0,5,35,3.58351893845611,0,2,0,5,5,0,423.0
6,8,8,960,6.8679744089702925,0,1,35,3.58351893845611,0,2,0,5,5,0,2256.0
0,5,5,260,5.564520407322694,2,1,25,3.258096538021482,0,1,4,5,5,0,585.0
6,6,6,1000,6.90875477931522,1,6,35,3.58351893845611,0,2,0,5,5,0,2350.0
9,3,3,620,6.431331081933479,2,4,50,3.9318256327243257,1,2,1,0,10,0,1550.0
7,8,8,340,5.831882477283517,1,4,5,1.791759469228055,0,2,5,5,5,1,697.0
8,7,7,60,4.110873864173311,0,4,5,1.791759469228055,0,2,5,5,5,1,123.0
7,4,4,300,5.707110264748875,0,6,55,4.02535169073515,0,1,6,5,5,0,765.0
6,1,1,860,6.7580945044277305,2,6,25,3.258096538021482,0,1,4,5,5,0,1935.0
0,4,4,680,6.523562306149512,2,1,50,3.9318256327243257,1,2,1,0,10,0,1700.0
5,6,6,900,6.803505257608338,0,4,10,2.3978952727983707,1,1,3,0,10,1,1890.0
9,3,3,920,6.825460036255307,2,3,90,4.51085950651685,1,0,6,0,10,0,2668.0
9,5,5,640,6.46302945692067,1,3,40,3.713572066704308,1,1,5,0,40,1,1536.0
9,4,4,80,4.394449154672439,2,3,15,2.772588722239781,0,0,1,5,5,0,172.0
4,7,7,280,5.638354669333745,1,0,15,2.772588722239781,0,0,1,5,5,0,602.0
4,2,2,60,4.110873864173311,0,4,70,4.2626798770413155,1,1,0,0,10,0,162.0
4,1,1,640,6.46302945692067,1,3,60,4.110873864173311,1,0,4,0,20,0,1664.0
1,8,8,560,6.329720905522696,2,0,90,4.51085950651685,1,0,6,0,10,0,1624.0
3,2,2,400,5.993961427306569,1,1,50,3.9318256327243257,1,2,1,0,50,1,1000.0
3,8,8,260,5.564520407322694,2,1,35,3.58351893845611,0,2,0,5,5,0,611.0
8,2,2,940,6.846943139585379,1,2,20,3.044522437723423,1,2,6,0,20,1,2068.0
3,2,2,580,6.364750756851911,1,6,55,4.02535169073515,0,1,6,5,5,0,1479.0
8,8,8,580,6.364750756851911,1,6,45,3.828641396489095,0,0,3,5,5,0,1421.0
0,0,0,520,6.255750041753367,1,2,10,2.3978952727983707,1,1,3,0,10,1,1092.0
7,2,2,920,6.825460036255307,2,3,20,3.044522437723423,1,2,6,0,20,1,2024.0
7,6,6,840,6.734591659972948,0,0,50,3.9318256327243257,1,2,1,0,10,0,2100.0
7,0,0,120,4.795790545596741,0,1,70,4.2626798770413155,1,1,0,0,10,0,324.0
3,3,3,780,6.660575149839686,0,3,5,1.791759469228055,0,2,5,5,5,1,1599.0
3,0,0,800,6.68586094706836,2,2,20,3.044522437723423,1,2,6,0,20,1,1760.0
4,3,3,160,5.081404364984463,1,6,35,3.58351893845611,0,2,0,5,5,0,376.0
6,2,2,160,5.081404364984463,1,6,70,4.2626798770413155,1,1,0,0,10,0,432.0
3,4,4,600,6.398594934535208,0,5,30,3.4339872044851463,1,0,2,0,30,1,1380.0
1,2,2,380,5.942799375126701,2,2,10,2.3978952727983707,1,1,3,0,10,1,798.0
6,3,3,180,5.198497031265826,0,5,50,3.9318256327243257,1,2,1,0,10,0,450.0
5,6,6,940,6.846943139585379,1,2,65,4.189654742026425,0,2,2,5,5,0,2491.0
8,5,5,800,6.68586094706836,2,2,10,2.3978952727983707,1,1,3,0,10,1,1680.0
7,7,7,800,6.68586094706836,2,2,95,4.564348191467836,0,2,4,5,5,0,2360.0
5,0,0,660,6.493753839851686,0,2,5,1.791759469228055,0,2,5,5,5,1,1353.0
5,7,7,740,6.608000625296087,2,5,30,3.4339872044851463,1,0,2,0,10,0,1702.0
1,4,4,120,4.795790545596741,0,1,35,3.58351893845611,0,2,0,5,5,0,282.0
0,2,2,280,5.638354669333745,1,0,65,4.189654742026425,0,2,2,5,5,0,742.0
2,8,8,560,6.329720905522696,2,0,5,1.791759469228055,0,2,5,5,5,1,1148.0
6,8,8,220,5.3981627015177525,1,3,30,3.4339872044851463,1,0,2,0,10,0,506.0
9,1,1,520,6.255750041753367,1,2,5,1.791759469228055,0,2,5,5,5,1,1066.0
4,6,6,920,6.825460036255307,2,3,70,4.2626798770413155,1,1,0,0,10,0,2484.0
0,1,1,600,6.398594934535208,0,5,50,3.9318256327243257,1,2,1,0,50,1,1500.0
2,1,1,600,6.398594934535208,0,5,20,3.044522437723423,1,2,6,0,20,1,1320.0
9,4,4,100,4.61512051684126,1,2,80,4.394449154672439,1,2,3,0,20,0,280.0
6,5,5,180,5.198497031265826,0,5,20,3.044522437723423,1,2,6,0,20,1,396.0
8,8,8,800,6.68586094706836,2,2,15,2.772588722239781,0,0,1,5,5,0,1720.0
9,6,6,620,6.431331081933479,2,4,80,4.394449154672439,1,2,3,0,20,0,1736.0
6,6,6,660,6.493753839851686,0,2,55,4.02535169073515,0,1,6,5,55,1,1683.0
8,3,3,460,6.133398042996649,1,5,80,4.394449154672439,1,2,3,0,20,0,1288.0
8,7,7,840,6.734591659972948,0,0,75,4.330733340286331,0,0,5,5,15,0,2310.0
0,1,1,920,6.825460036255307,2,3,65,4.189654742026425,0,2,2,5,5,0,2438.0
7,7,7,600,6.398594934535208,0,5,30,3.4339872044851463,1,0,2,0,30,1,1380.0
5,1,1,840,6.734591659972948,0,0,60,4.110873864173311,1,0,4,0,60,1,2184.0
9,3,3,960,6.8679744089702925,0,1,80,4.394449154672439,1,2,3,0,80,1,2688.0
9,4,4,840,6.734591659972948,0,0,45,3.828641396489095,0,0,3,5,15,0,2058.0
4,0,0,360,5.8888779583328805,0,3,5,1.791759469228055,0,2,5,5,5,1,738.0
3,5,5,160,5.081404364984463,1,6,70,4.2626798770413155,1,1,0,0,10,0,432.0
2,1,1,360,5.8888779583328805,0,3,35,3.58351893845611,0,2,0,5,5,0,846.0
7,4,4,740,6.608000625296087,2,5,20,3.044522437723423,1,2,6,0,20,1,1628.0
8,0,0,900,6.803505257608338,0,4,15,2.772588722239781,0,0,1,5,15,1,1935.0
9,4,4,240,5.484796933490655,0,2,15,2.772588722239781,0,0,1,5,15,1,516.0
7,3,3,240,5.484796933490655,0,2,30,3.4339872044851463,1,0,2,0,30,1,552.0
5,1,1,860,6.7580945044277305,2,6,65,4.189654742026425,0,2,2,5,5,0,2279.0
3,8,8,700,6.55250788703459,1,0,95,4.564348191467836,0,2,4,5,5,0,2065.0
8,6,6,240,5.484796933490655,0,2,35,3.58351893845611,0,2,0,5,5,0,564.0
1,4,4,520,6.255750041753367,1,2,30,3.4339872044851463,1,0,2,0,10,0,1196.0
9,5,5,620,6.431331081933479,2,4,40,3.713572066704308,1,1,5,0,20,0,1488.0
7,8,8,200,5.303304908059076,2,4,15,2.772588722239781,0,0,1,5,5,0,430.0
