slot_person_name,slot_sold_item,slot_bought_item,slot_initial_qty,slot_initial_qty_abs_log1p,slot_initial_qty_is_even,slot_initial_qty_mod3,slot_initial_qty_mod5,slot_initial_qty_mod7,slot_initial_qty_mod10,slot_sell_price,slot_sell_price_abs_log1p,slot_sell_price_is_even,slot_sell_price_mod3,slot_sell_price_mod7,slot_sell_price_mod10,slot_buy_qty,slot_buy_qty_abs_log1p,slot_buy_qty_is_even,slot_buy_qty_mod3,slot_buy_qty_mod5,slot_buy_qty_mod7,slot_buy_qty_mod10,slot_buy_price,slot_buy_price_abs_log1p,slot_buy_price_is_even,slot_buy_price_mod3,slot_buy_price_mod7,slot_buy_price_mod10,slot_leftover_cash,slot_leftover_cash_abs_log1p,slot_leftover_cash_sign,slot_leftover_cash_is_even,slot_leftover_cash_mod3,slot_leftover_cash_mod7,slot_leftover_cash_mod10,gcd_all,n_multiple_pairs,y
2,2,0,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,4,5,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,5,0,65,4.189654742026425,1,0,2,2,5,1,2,3.0
2,3,3,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,55,4.02535169073515,0,1,6,5,20,3.044522437723423,1,1,2,6,0,1,4,4.0
6,5,3,28,3.367295829986474,1,1,3,0,8,10,2.3978952727983707,1,1,3,0,1,0.6931471805599453,0,1,1,1,1,35,3.58351893845611,0,2,0,5,145,4.983606621708336,1,0,1,5,5,1,4,10.0
4,4,0,33,3.5263605246161616,0,0,3,5,3,10,2.3978952727983707,1,1,3,0,13,2.6390573296152584,0,1,3,6,3,20,3.044522437723423,1,2,6,0,20,3.044522437723423,1,1,2,6,0,1,3,5.0
5,4,5,31,3.4657359027997265,0,1,1,3,1,25,3.258096538021482,0,1,4,5,10,2.3978952727983707,1,1,0,3,0,45,3.828641396489095,0,0,3,5,275,5.62040086571715,1,0,2,2,5,1,1,2.0
2,3,5,11,2.4849066497880004,0,2,1,4,1,15,2.772588722239781,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,45,3.828641396489095,0,0,3,5,45,3.828641396489095,1,0,0,3,5,1,3,2.0
4,7,4,37,3.6375861597263857,0,1,2,2,7,10,2.3978952727983707,1,1,3,0,3,1.3862943611198906,0,0,3,3,3,60,4.110873864173311,1,0,4,0,120,4.795790545596741,1,1,0,1,0,1,5,7.0
8,0,4,37,3.6375861597263857,0,1,2,2,7,15,2.772588722239781,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,45,3.828641396489095,0,0,3,5,75,4.330733340286331,1,0,0,5,5,1,2,8.0
0,5,6,31,3.4657359027997265,0,1,1,3,1,50,3.9318256327243257,1,2,1,0,18,2.9444389791664403,1,0,3,4,8,15,2.772588722239781,0,0,1,5,830,6.7226297948554485,1,1,2,4,0,1,0,9.0
1,5,0,17,2.8903717578961645,0,2,2,3,7,60,4.110873864173311,1,0,4,0,12,2.5649493574615367,1,0,2,5,2,35,3.58351893845611,0,2,0,5,120,4.795790545596741,1,1,0,1,0,1,3,8.0
9,3,2,21,3.091042453358316,0,0,1,0,1,60,4.110873864173311,1,0,4,0,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,560,6.329720905522696,1,1,2,0,0,1,3,10.0
7,5,7,29,3.4011973816621555,0,2,4,1,9,45,3.828641396489095,0,0,3,5,5,1.791759469228055,0,2,0,5,5,45,3.828641396489095,0,0,3,5,855,6.752270376141742,1,0,0,1,5,1,6,5.0
3,5,1,25,3.258096538021482,0,1,0,4,5,10,2.3978952727983707,1,1,3,0,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,1,5,105,4.663439094112067,1,0,0,0,5,1,1,1.0
7,7,2,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,4,5,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,1,5,45,3.828641396489095,1,0,0,3,5,1,2,9.0
6,4,6,36,3.6109179126442243,1,0,1,1,6,30,3.4339872044851463,1,0,2,0,11,2.4849066497880004,0,2,1,4,1,55,4.02535169073515,0,1,6,5,265,5.583496308781699,1,0,1,6,5,1,1,7.0
9,6,1,24,3.2188758248682006,1,0,4,3,4,55,4.02535169073515,0,1,6,5,1,0.6931471805599453,0,1,1,1,1,60,4.110873864173311,1,0,4,0,1040,6.947937068614969,1,1,2,4,0,1,4,4.0
2,7,0,27,3.332204510175204,0,0,2,6,7,25,3.258096538021482,0,1,4,5,10,2.3978952727983707,1,1,0,3,0,45,3.828641396489095,0,0,3,5,75,4.330733340286331,1,0,0,5,5,1,1,6.0
5,4,3,31,3.4657359027997265,0,1,1,3,1,45,3.828641396489095,0,0,3,5,16,2.833213344056216,1,1,1,2,6,60,4.110873864173311,1,0,4,0,390,5.968707559985366,1,1,0,5,0,1,0,1.0
2,7,2,33,3.5263605246161616,0,0,3,5,3,60,4.110873864173311,1,0,4,0,15,2.772588722239781,0,0,0,1,5,50,3.9318256327243257,1,2,1,0,870,6.769641976852503,1,1,0,2,0,1,2,6.0
3,0,7,31,3.4657359027997265,0,1,1,3,1,25,3.258096538021482,0,1,4,5,15,2.772588722239781,0,0,0,1,5,15,2.772588722239781,0,0,1,5,425,6.054439346269371,1,0,2,5,5,1,2,5.0
8,2,7,31,3.4657359027997265,0,1,1,3,1,60,4.110873864173311,1,0,4,0,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,3,0,1630,7.396948602621014,1,1,1,6,0,1,5,3.0
5,7,3,21,3.091042453358316,0,0,1,0,1,50,3.9318256327243257,1,2,1,0,13,2.6390573296152584,0,1,3,6,3,45,3.828641396489095,0,0,3,5,15,2.772588722239781,1,0,0,1,5,1,1,9.0
5,7,0,17,2.8903717578961645,0,2,2,3,7,30,3.4339872044851463,1,0,2,0,7,2.0794415416798357,0,1,2,0,7,60,4.110873864173311,1,0,4,0,90,4.51085950651685,1,1,0,6,0,1,2,0.0
2,5,5,13,2.6390573296152584,0,1,3,6,3,55,4.02535169073515,0,1,6,5,9,2.302585092994046,0,0,4,2,9,40,3.713572066704308,1,1,5,0,25,3.258096538021482,1,0,1,4,5,1,0,6.0
8,2,1,8,2.1972245773362196,1,2,3,1,8,30,3.4339872044851463,1,0,2,0,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,5,5,85,4.454347296253507,1,0,1,1,5,1,3,1.0
0,6,6,6,1.9459101490553132,1,0,1,6,6,15,2.772588722239781,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,1,5,15,2.772588722239781,1,0,0,1,5,1,4,3.0
8,5,1,35,3.58351893845611,0,2,0,0,5,55,4.02535169073515,0,1,6,5,14,2.70805020110221,1,2,4,0,4,30,3.4339872044851463,1,0,2,0,1010,6.918695219020472,1,1,2,2,0,1,0,9.0
1,1,0,26,3.295836866004329,1,2,1,5,6,35,3.58351893845611,0,2,0,5,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,345,5.846438775057725,1,0,0,2,5,1,3,9.0
9,0,2,11,2.4849066497880004,0,2,1,4,1,35,3.58351893845611,0,2,0,5,5,1.791759469228055,0,2,0,5,5,35,3.58351893845611,0,2,0,5,0,0.0,0,1,0,0,0,1,3,6.0
9,4,6,11,2.4849066497880004,0,2,1,4,1,35,3.58351893845611,0,2,0,5,1,0.6931471805599453,0,1,1,1,1,25,3.258096538021482,0,1,4,5,45,3.828641396489095,1,0,0,3,5,1,4,9.0
3,1,5,19,2.995732273553991,0,1,4,5,9,10,2.3978952727983707,1,1,3,0,3,1.3862943611198906,0,0,3,3,3,15,2.772588722239781,0,0,1,5,85,4.454347296253507,1,0,1,1,5,1,1,6.0
1,0,3,16,2.833213344056216,1,1,1,2,6,50,3.9318256327243257,1,2,1,0,5,1.791759469228055,0,2,0,5,5,35,3.58351893845611,0,2,0,5,225,5.420534999272286,1,0,0,1,5,1,3,8.0
0,5,5,36,3.6109179126442243,1,0,1,1,6,15,2.772588722239781,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,2,0,240,5.484796933490655,1,1,0,2,0,3,6,8.0
7,7,3,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,1,5,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,1,5,0,0.0,0,1,0,0,0,1,2,0.0
9,3,5,21,3.091042453358316,0,0,1,0,1,25,3.258096538021482,0,1,4,5,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,6,0,300,5.707110264748875,1,1,0,6,0,1,4,1.0
7,5,0,9,2.302585092994046,0,0,4,2,9,15,2.772588722239781,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,30,3.4339872044851463,1,0,2,0,75,4.330733340286331,1,0,0,5,5,1,6,2.0
7,1,3,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,4,5,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,5,5,245,5.5053315359323625,1,0,2,0,5,1,3,1.0
8,3,6,23,3.1780538303479458,0,2,3,2,3,40,3.713572066704308,1,1,5,0,8,2.1972245773362196,1,2,3,1,8,55,4.02535169073515,0,1,6,5,80,4.394449154672439,1,1,2,3,0,1,3,10.0
5,1,2,32,3.4965075614664802,1,2,2,4,2,10,2.3978952727983707,1,1,3,0,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,5,0,60,4.110873864173311,1,1,0,4,0,2,5,10.0
1,7,0,29,3.4011973816621555,0,2,4,1,9,60,4.110873864173311,1,0,4,0,13,2.6390573296152584,0,1,3,6,3,50,3.9318256327243257,1,2,1,0,550,6.311734809152915,1,1,1,4,0,1,1,9.0
8,7,2,18,2.9444389791664403,1,0,3,4,8,55,4.02535169073515,0,1,6,5,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,5,5,910,6.814542897259958,1,1,1,0,0,1,5,1.0
8,0,6,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,5,5,1,0.6931471805599453,0,1,1,1,1,55,4.02535169073515,0,1,6,5,35,3.58351893845611,1,0,2,0,5,1,6,0.0
6,2,5,22,3.1354942159291497,1,1,2,1,2,55,4.02535169073515,0,1,6,5,6,1.9459101490553132,1,0,1,6,6,55,4.02535169073515,0,1,6,5,605,6.406879986069314,1,0,2,3,5,1,3,5.0
5,6,6,40,3.713572066704308,1,1,0,5,0,30,3.4339872044851463,1,0,2,0,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,5,5,850,6.7464121285733745,1,1,1,3,0,5,7,10.0
3,7,1,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,5,5,3,1.3862943611198906,0,0,3,3,3,15,2.772588722239781,0,0,1,5,105,4.663439094112067,1,0,0,0,5,1,7,5.0
0,1,2,26,3.295836866004329,1,2,1,5,6,5,1.791759469228055,0,2,5,5,2,1.0986122886681098,1,2,2,2,2,35,3.58351893845611,0,2,0,5,10,2.3978952727983707,1,1,1,3,0,1,4,10.0
7,0,2,21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,5,5,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,6,0,25,3.258096538021482,1,0,1,4,5,1,3,8.0
4,6,3,21,3.091042453358316,0,0,1,0,1,40,3.713572066704308,1,1,5,0,7,2.0794415416798357,0,1,2,0,7,55,4.02535169073515,0,1,6,5,375,5.929589143389895,1,0,0,4,5,1,1,2.0
1,1,0,21,3.091042453358316,0,0,1,0,1,55,4.02535169073515,0,1,6,5,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,5,5,485,6.186208623900494,1,0,2,2,5,1,2,10.0
4,4,7,21,3.091042453358316,0,0,1,0,1,50,3.9318256327243257,1,2,1,0,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,5,0,730,6.594413459749778,1,1,1,2,0,1,1,4.0
7,2,0,23,3.1780538303479458,0,2,3,2,3,40,3.713572066704308,1,1,5,0,20,3.044522437723423,1,2,0,6,0,15,2.772588722239781,0,0,1,5,420,6.042632833682381,1,1,0,0,0,1,3,5.0
1,3,2,12,2.5649493574615367,1,0,2,5,2,55,4.02535169073515,0,1,6,5,22,3.1354942159291497,1,1,2,1,2,20,3.044522437723423,1,2,6,0,55,4.02535169073515,1,0,1,6,5,1,1,3.0
6,0,0,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,5,5,2,1.0986122886681098,1,2,2,2,2,20,3.044522437723423,1,2,6,0,0,0.0,0,1,0,0,0,1,2,1.0
0,4,3,33,3.5263605246161616,0,0,3,5,3,30,3.4339872044851463,1,0,2,0,14,2.70805020110221,1,2,4,0,4,50,3.9318256327243257,1,2,1,0,50,3.9318256327243257,1,1,2,1,0,1,1,8.0
8,7,6,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,5,5,2,1.0986122886681098,1,2,2,2,2,35,3.58351893845611,0,2,0,5,30,3.4339872044851463,1,1,0,2,0,1,5,0.0
1,1,6,28,3.367295829986474,1,1,3,0,8,50,3.9318256327243257,1,2,1,0,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,950,6.85751406254539,1,1,2,5,0,1,3,6.0
9,6,3,18,2.9444389791664403,1,0,3,4,8,60,4.110873864173311,1,0,4,0,11,2.4849066497880004,0,2,1,4,1,30,3.4339872044851463,1,0,2,0,450,6.111467339502679,1,1,0,2,0,1,3,5.0
3,0,7,29,3.4011973816621555,0,2,4,1,9,15,2.772588722239781,0,0,1,5,6,1.9459101490553132,1,0,1,6,6,40,3.713572066704308,1,1,5,0,165,5.111987788356544,1,0,0,4,5,1,1,2.0
9,2,3,31,3.4657359027997265,0,1,1,3,1,50,3.9318256327243257,1,2,1,0,5,1.791759469228055,0,2,0,5,5,40,3.713572066704308,1,1,5,0,950,6.85751406254539,1,1,2,5,0,1,4,8.0
5,0,0,26,3.295836866004329,1,2,1,5,6,45,3.828641396489095,0,0,3,5,2,1.0986122886681098,1,2,2,2,2,35,3.58351893845611,0,2,0,5,1010,6.918695219020472,1,1,2,2,0,1,2,2.0
1,7,2,13,2.6390573296152584,0,1,3,6,3,45,3.828641396489095,0,0,3,5,4,1.6094379124341003,1,1,4,4,4,60,4.110873864173311,1,0,4,0,30,3.4339872044851463,1,1,0,2,0,1,2,7.0
8,6,0,8,2.1972245773362196,1,2,3,1,8,60,4.110873864173311,1,0,4,0,2,1.0986122886681098,1,2,2,2,2,60,4.110873864173311,1,0,4,0,300,5.707110264748875,1,1,0,6,0,2,7,1.0
9,3,4,14,2.70805020110221,1,2,4,0,4,20,3.044522437723423,1,2,6,0,23,3.1780538303479458,0,2,3,2,3,5,1.791759469228055,0,2,5,5,125,4.836281906951478,1,0,2,6,5,1,2,2.0
9,1,6,35,3.58351893845611,0,2,0,0,5,20,3.044522437723423,1,2,6,0,21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,5,5,415,6.030685260261263,1,0,1,2,5,1,3,9.0
4,2,4,13,2.6390573296152584,0,1,3,6,3,20,3.044522437723423,1,2,6,0,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,60,4.110873864173311,1,1,0,4,0,1,4,5.0
5,5,3,27,3.332204510175204,0,0,2,6,7,45,3.828641396489095,0,0,3,5,8,2.1972245773362196,1,2,3,1,8,45,3.828641396489095,0,0,3,5,495,6.206575926724928,1,0,0,5,5,1,3,8.0
6,6,4,31,3.4657359027997265,0,1,1,3,1,60,4.110873864173311,1,0,4,0,14,2.70805020110221,1,2,4,0,4,35,3.58351893845611,0,2,0,5,770,6.647688373563329,1,1,2,0,0,1,2,10.0
6,1,6,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,6,0,1,0.6931471805599453,0,1,1,1,1,40,3.713572066704308,1,1,5,0,20,3.044522437723423,1,1,2,6,0,1,7,9.0
0,5,0,6,1.9459101490553132,1,0,1,6,6,55,4.02535169073515,0,1,6,5,17,2.8903717578961645,0,2,2,3,7,5,1.791759469228055,0,2,5,5,25,3.258096538021482,1,0,1,4,5,1,2,4.0
1,3,6,6,1.9459101490553132,1,0,1,6,6,55,4.02535169073515,0,1,6,5,2,1.0986122886681098,1,2,2,2,2,45,3.828641396489095,0,0,3,5,75,4.330733340286331,1,0,0,5,5,1,1,3.0
