slot_seller,slot_item_plural,slot_container_singular,slot_container_plural,slot_bag_size,slot_bag_size_abs_log1p,slot_bag_size_is_even,slot_bag_size_mod3,slot_bag_size_mod5,slot_bag_size_mod7,slot_bag_size_mod10,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_price_per_container,slot_price_per_container_abs_log1p,slot_price_per_container_is_even,slot_price_per_container_mod3,slot_price_per_container_mod5,slot_price_per_container_mod7,slot_price_per_container_mod10,slot_currency_symbol,slot_timeframe,gcd_all,n_multiple_pairs,y
4,3,5,5,17,2.8903717578961645,0,2,2,3,7,2448,7.803435056952168,1,0,3,5,8,6,1.9459101490553132,1,0,1,6,6,0,0,1,2,864.0
0,5,4,4,28,3.367295829986474,1,1,3,0,8,13216,9.489259158757807,1,1,1,0,6,4,1.6094379124341003,1,1,4,4,4,0,4,4,3,1888.0
3,8,0,0,21,3.091042453358316,0,0,1,0,1,5586,8.628197749459149,1,0,1,0,6,32,3.4965075614664802,1,2,2,4,2,3,6,1,1,8512.0
6,8,3,3,16,2.833213344056216,1,1,1,2,6,4560,8.4252971767117,1,0,0,3,0,48,3.8918202981106265,1,0,3,6,8,1,1,16,3,13680.0
1,3,3,3,2,1.0986122886681098,1,2,2,2,2,832,6.725033642166843,1,1,2,6,2,26,3.295836866004329,1,2,1,5,6,1,0,2,3,10816.0
5,6,2,2,23,3.1780538303479458,0,2,3,2,3,9683,9.178230318057949,0,2,3,2,3,3,1.3862943611198906,0,0,3,3,3,2,6,1,1,1263.0
2,3,3,3,30,3.4339872044851463,1,0,0,2,0,15600,9.65509029374725,1,0,0,4,0,28,3.367295829986474,1,1,3,0,8,1,6,2,1,14560.0
5,8,6,6,17,2.8903717578961645,0,2,2,3,7,4114,8.32239411311117,1,1,4,5,4,2,1.0986122886681098,1,2,2,2,2,3,5,1,2,484.0
1,1,1,1,10,2.3978952727983707,1,1,0,3,0,7520,8.925454386826402,1,2,0,2,0,3,1.3862943611198906,0,0,3,3,3,0,5,1,1,2256.0
6,1,6,6,9,2.302585092994046,0,0,4,2,9,2412,7.7886260656250315,1,0,2,4,2,46,3.8501476017100584,1,1,1,4,6,0,4,1,1,12328.0
0,1,4,4,14,2.70805020110221,1,2,4,0,4,7560,8.93075873555827,1,0,0,0,0,31,3.4657359027997265,0,1,1,3,1,1,3,1,1,16740.0
2,0,1,1,16,2.833213344056216,1,1,1,2,6,6192,8.731174900938061,1,0,2,4,2,16,2.833213344056216,1,1,1,2,6,1,2,16,3,6192.0
1,2,5,5,12,2.5649493574615367,1,0,2,5,2,6072,8.711607995897575,1,0,2,3,2,6,1.9459101490553132,1,0,1,6,6,3,1,6,3,3036.0
1,7,2,2,20,3.044522437723423,1,2,0,6,0,12760,9.454148923733976,1,1,0,6,0,25,3.258096538021482,0,1,0,4,5,3,0,5,1,15950.0
2,9,4,4,28,3.367295829986474,1,1,3,0,8,15512,9.64943366106433,1,2,2,0,2,6,1.9459101490553132,1,0,1,6,6,2,4,2,1,3324.0
1,4,1,1,4,1.6094379124341003,1,1,4,4,4,952,6.859614903654202,1,1,2,0,2,1,0.6931471805599453,0,1,1,1,1,2,4,1,3,238.0
2,9,2,2,5,1.791759469228055,0,2,0,5,5,605,6.406879986069314,0,2,0,3,5,12,2.5649493574615367,1,0,2,5,2,3,3,1,1,1452.0
2,8,3,3,21,3.091042453358316,0,0,1,0,1,10668,9.275097619191461,1,0,3,0,8,36,3.6109179126442243,1,0,1,1,6,1,3,3,1,18288.0
6,9,5,5,29,3.4011973816621555,0,2,4,1,9,6931,8.843903650835497,0,1,1,1,1,38,3.6635616461296463,1,2,3,3,8,0,4,1,1,9082.0
6,1,1,1,30,3.4339872044851463,1,0,0,2,0,510,6.236369590203704,1,0,0,6,0,36,3.6109179126442243,1,0,1,1,6,2,3,6,1,612.0
5,8,4,4,23,3.1780538303479458,0,2,3,2,3,575,6.3561076606958915,0,2,0,1,5,48,3.8918202981106265,1,0,3,6,8,1,0,1,1,1200.0
1,5,3,3,12,2.5649493574615367,1,0,2,5,2,8172,9.00859131751613,1,0,2,3,2,2,1.0986122886681098,1,2,2,2,2,1,6,2,3,1362.0
4,0,1,1,11,2.4849066497880004,0,2,1,4,1,638,6.459904454377535,1,2,3,1,8,43,3.784189633918261,0,1,3,1,3,2,3,1,1,2494.0
1,8,2,2,23,3.1780538303479458,0,2,3,2,3,15410,9.642836819135377,1,2,0,3,0,18,2.9444389791664403,1,0,3,4,8,3,4,1,1,12060.0
4,8,5,5,27,3.332204510175204,0,0,2,6,7,3024,8.014666370464942,1,0,4,0,4,47,3.871201010907891,0,2,2,5,7,1,4,1,1,5264.0
6,0,0,0,10,2.3978952727983707,1,1,0,3,0,6180,8.729235349659273,1,0,0,6,0,44,3.8066624897703196,1,2,4,2,4,3,4,2,1,27192.0
6,8,4,4,20,3.044522437723423,1,2,0,6,0,11940,9.387733135533384,1,0,0,5,0,49,3.912023005428146,0,1,4,0,9,1,1,1,1,29253.0
5,3,3,3,10,2.3978952727983707,1,1,0,3,0,1740,7.462214939768189,1,0,0,4,0,8,2.1972245773362196,1,2,3,1,8,3,5,2,1,1392.0
4,5,0,0,25,3.258096538021482,0,1,0,4,5,2600,7.8636512654486515,1,2,0,3,0,32,3.4965075614664802,1,2,2,4,2,3,4,1,1,3328.0
0,8,5,5,21,3.091042453358316,0,0,1,0,1,13083,9.479145388658274,0,0,3,0,3,11,2.4849066497880004,0,2,1,4,1,1,2,1,1,6853.0
3,5,0,0,27,3.332204510175204,0,0,2,6,7,14202,9.561208488881128,1,0,2,6,2,19,2.995732273553991,0,1,4,5,9,1,3,1,1,9994.0
5,7,6,6,25,3.258096538021482,0,1,0,4,5,6275,8.744488113852924,0,2,0,3,5,11,2.4849066497880004,0,2,1,4,1,1,3,1,1,2761.0
2,9,4,4,22,3.1354942159291497,1,1,2,1,2,17204,9.752955318231582,1,2,4,5,4,26,3.295836866004329,1,2,1,5,6,0,2,2,1,20332.0
3,8,0,0,14,2.70805020110221,1,2,4,0,4,10374,9.247154345098899,1,0,4,0,4,27,3.332204510175204,0,0,2,6,7,0,6,1,1,20007.0
1,4,0,0,21,3.091042453358316,0,0,1,0,1,6090,8.714567550836485,1,0,0,0,0,44,3.8066624897703196,1,2,4,2,4,0,2,1,1,12760.0
1,4,3,3,17,2.8903717578961645,0,2,2,3,7,8041,8.992433087457218,0,1,1,5,1,2,1.0986122886681098,1,2,2,2,2,0,4,1,1,946.0
4,7,4,4,22,3.1354942159291497,1,1,2,1,2,5368,8.58839695042257,1,1,3,6,8,50,3.9318256327243257,1,2,0,1,0,1,1,2,1,12200.0
0,0,0,0,3,1.3862943611198906,0,0,3,3,3,303,5.717027701406222,0,0,3,2,3,36,3.6109179126442243,1,0,1,1,6,3,1,3,2,3636.0
1,6,1,1,25,3.258096538021482,0,1,0,4,5,19050,9.854874872615435,1,0,0,3,0,9,2.302585092994046,0,0,4,2,9,1,1,1,1,6858.0
5,7,3,3,23,3.1780538303479458,0,2,3,2,3,8119,9.002085433155724,0,1,4,6,9,22,3.1354942159291497,1,1,2,1,2,3,0,1,1,7766.0
2,9,1,1,7,2.0794415416798357,0,1,2,0,7,889,6.7912214627261855,0,1,4,0,9,36,3.6109179126442243,1,0,1,1,6,2,0,1,1,4572.0
6,2,5,5,21,3.091042453358316,0,0,1,0,1,3045,8.021584533455107,0,0,0,0,5,11,2.4849066497880004,0,2,1,4,1,0,3,1,1,1595.0
1,7,1,1,9,2.302585092994046,0,0,4,2,9,6210,8.734077192559303,1,0,0,1,0,12,2.5649493574615367,1,0,2,5,2,0,4,3,1,8280.0
6,2,0,0,11,2.4849066497880004,0,2,1,4,1,6710,8.811503250158239,1,2,0,4,0,5,1.791759469228055,0,2,0,5,5,0,3,1,2,3050.0
4,9,2,2,23,3.1780538303479458,0,2,3,2,3,12236,9.412219427985669,1,2,1,0,6,5,1.791759469228055,0,2,0,5,5,2,4,1,1,2660.0
6,8,3,3,11,2.4849066497880004,0,2,1,4,1,2992,8.0040315078527,1,1,2,3,2,32,3.4965075614664802,1,2,2,4,2,3,4,1,1,8704.0
6,8,0,0,10,2.3978952727983707,1,1,0,3,0,7550,8.929435283803425,1,2,0,4,0,1,0.6931471805599453,0,1,1,1,1,0,6,1,3,755.0
6,3,4,4,19,2.995732273553991,0,1,4,5,9,3876,8.262816937670928,1,0,1,5,6,1,0.6931471805599453,0,1,1,1,1,1,4,1,3,204.0
1,5,2,2,17,2.8903717578961645,0,2,2,3,7,12291,9.416703923250376,0,0,1,6,1,45,3.828641396489095,0,0,0,3,5,0,3,1,1,32535.0
5,2,3,3,7,2.0794415416798357,0,1,2,0,7,4732,8.462314529906248,1,1,2,0,2,31,3.4657359027997265,0,1,1,3,1,3,6,1,1,20956.0
1,4,0,0,24,3.2188758248682006,1,0,4,3,4,5448,8.603187384583098,1,0,3,2,8,14,2.70805020110221,1,2,4,0,4,2,6,2,1,3178.0
2,6,1,1,28,3.367295829986474,1,1,3,0,8,15204,9.629379600111465,1,0,4,0,4,21,3.091042453358316,0,0,1,0,1,2,6,7,2,11403.0
1,1,0,0,16,2.833213344056216,1,1,1,2,6,10032,9.213634938925614,1,0,2,1,2,7,2.0794415416798357,0,1,2,0,7,0,2,1,1,4389.0
4,9,0,0,3,1.3862943611198906,0,0,3,3,3,1707,7.443078374348516,0,0,2,6,7,23,3.1780538303479458,0,2,3,2,3,2,3,1,1,13087.0
0,7,4,4,8,2.1972245773362196,1,2,3,1,8,6384,8.76170676846664,1,0,4,0,4,11,2.4849066497880004,0,2,1,4,1,0,2,1,1,8778.0
6,9,5,5,27,3.332204510175204,0,0,2,6,7,17874,9.791158367562208,1,0,4,3,4,18,2.9444389791664403,1,0,3,4,8,2,3,9,2,11916.0
3,4,0,0,12,2.5649493574615367,1,0,2,5,2,3852,8.256607344626158,1,0,2,2,2,13,2.6390573296152584,0,1,3,6,3,1,0,1,1,4173.0
0,8,3,3,23,3.1780538303479458,0,2,3,2,3,17480,9.768869855811184,1,2,0,1,0,15,2.772588722239781,0,0,0,1,5,3,2,1,1,11400.0
2,3,5,5,4,1.6094379124341003,1,1,4,4,4,2896,7.9714309977693505,1,1,1,5,6,14,2.70805020110221,1,2,4,0,4,1,1,2,1,10136.0
1,2,6,6,18,2.9444389791664403,1,0,3,4,8,1170,7.065613363597717,1,0,0,1,0,29,3.4011973816621555,0,2,4,1,9,0,5,1,1,1885.0
0,7,5,5,9,2.302585092994046,0,0,4,2,9,5319,8.57922858233569,0,0,4,6,9,24,3.2188758248682006,1,0,4,3,4,3,1,3,1,14184.0
2,3,1,1,28,3.367295829986474,1,1,3,0,8,336,5.820082930352362,1,0,1,0,6,5,1.791759469228055,0,2,0,5,5,1,4,1,1,60.0
4,8,4,4,15,2.772588722239781,0,0,0,1,5,6975,8.850230965588816,0,0,0,3,5,7,2.0794415416798357,0,1,2,0,7,1,6,1,1,3255.0
4,9,1,1,29,3.4011973816621555,0,2,4,1,9,3364,8.121183242078828,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,2,1,1,1,348.0
2,0,0,0,27,3.332204510175204,0,0,2,6,7,14364,9.57254997141339,1,0,4,0,4,47,3.871201010907891,0,2,2,5,7,3,3,1,1,25004.0
2,7,2,2,13,2.6390573296152584,0,1,3,6,3,585,6.373319789577012,0,0,0,4,5,19,2.995732273553991,0,1,4,5,9,2,0,1,1,855.0
0,5,5,5,30,3.4339872044851463,1,0,0,2,0,870,6.769641976852503,1,0,0,2,0,36,3.6109179126442243,1,0,1,1,6,0,3,6,1,1044.0
5,9,6,6,23,3.1780538303479458,0,2,3,2,3,1426,7.2633296174768365,1,1,1,5,6,30,3.4339872044851463,1,0,0,2,0,1,2,1,1,1860.0
6,2,6,6,11,2.4849066497880004,0,2,1,4,1,7414,8.911260254572033,1,1,4,1,4,20,3.044522437723423,1,2,0,6,0,0,0,1,1,13480.0
6,1,5,5,22,3.1354942159291497,1,1,2,1,2,3696,8.215276958936633,1,0,1,0,6,42,3.7612001156935624,1,0,2,0,2,0,1,2,2,7056.0
2,9,0,0,5,1.791759469228055,0,2,0,5,5,550,6.311734809152915,1,1,0,4,0,42,3.7612001156935624,1,0,2,0,2,0,5,1,1,4620.0
6,8,6,6,26,3.295836866004329,1,2,1,5,6,20098,9.908425341565751,1,1,3,1,8,12,2.5649493574615367,1,0,2,5,2,0,1,2,1,9276.0
2,7,5,5,16,2.833213344056216,1,1,1,2,6,2288,7.735870319952567,1,2,3,6,8,17,2.8903717578961645,0,2,2,3,7,2,4,1,1,2431.0
6,9,4,4,12,2.5649493574615367,1,0,2,5,2,1956,7.579167967396076,1,0,1,3,6,33,3.5263605246161616,0,0,3,5,3,2,2,3,1,5379.0
