slot_person_name,slot_activity,slot_venue,slot_distance_km,slot_distance_km_abs_log1p,slot_speed_offset_1,slot_speed_offset_1_abs_log1p,slot_total_time1_hours,slot_total_time1_hours_abs_log1p,slot_total_time1_hours_frac,slot_total_time1_hours_n_decimals,slot_total_time2_hours,slot_total_time2_hours_abs_log1p,slot_total_time2_hours_frac,slot_total_time2_hours_n_decimals,y
7,2,3,49.0,3.912023005428146,2.0,1.0986122886681098,7.638461538461538,2.1562245042828607,0.638461538461538,15,5.864705882352941,1.9263931952362943,0.8647058823529408,15,426.0
4,1,2,36.0,3.6109179126442243,1.0,0.6931471805599453,6.945454545454546,2.072600009863119,0.9454545454545462,15,5.938461538461539,1.9370800696070414,0.9384615384615387,15,384.0
1,3,1,24.0,3.2188758248682006,2.0,1.0986122886681098,9.9,2.388762789235098,0.9000000000000004,1,5.633333333333333,1.892107443062337,0.6333333333333329,15,498.0
0,1,4,28.0,3.367295829986474,2.0,1.0986122886681098,8.7,2.272125885509337,0.6999999999999993,1,5.790909090909091,1.915584819340401,0.790909090909091,15,462.0
1,0,2,10.0,2.3978952727983707,1.0,0.6931471805599453,6.866666666666667,2.0626344233634546,0.8666666666666671,15,4.2,1.6486586255873816,0.20000000000000018,1,312.0
3,2,0,12.0,2.5649493574615367,3.0,1.3862943611198906,8.4,2.2407096892759584,0.40000000000000036,1,3.0666666666666664,1.402823663071101,0.06666666666666643,16,384.0
2,1,1,24.0,3.2188758248682006,1.0,0.6931471805599453,6.957142857142856,2.074069997877925,0.9571428571428564,15,5.433333333333333,1.8614928072427301,0.4333333333333327,15,366.0
1,3,3,30.0,3.4339872044851463,1.0,0.6931471805599453,5.754545454545454,1.9102156789253428,0.754545454545454,15,4.915384615384615,1.7775565190500615,0.9153846153846148,15,318.0
0,0,3,24.0,3.2188758248682006,1.0,0.6931471805599453,10.2,2.4159137783010487,0.1999999999999993,1,7.457142857142856,2.1350113928346466,0.4571428571428564,15,516.0
0,1,2,35.0,3.58351893845611,3.0,1.3862943611198906,5.484615384615385,1.869432507546273,0.48461538461538467,15,3.7842105263157895,1.5653210220169926,0.7842105263157895,16,306.0
2,2,2,6.0,1.9459101490553132,3.0,1.3862943611198906,4.5,1.7047480922384253,0.5,1,1.8333333333333333,1.041453874828161,0.8333333333333333,16,210.0
1,2,0,12.0,2.5649493574615367,3.0,1.3862943611198906,3.8285714285714283,1.5745506534336597,0.8285714285714283,16,2.246153846153846,1.1774708635804294,0.24615384615384617,15,204.0
1,1,0,10.0,2.3978952727983707,3.0,1.3862943611198906,6.766666666666667,2.049841071903545,0.7666666666666666,15,2.3222222222222224,1.2006339030604214,0.3222222222222224,16,306.0
2,2,1,30.0,3.4339872044851463,1.0,0.6931471805599453,6.766666666666667,2.049841071903545,0.7666666666666666,15,5.554545454545454,1.8801587714925327,0.5545454545454538,15,366.0
3,3,3,24.0,3.2188758248682006,3.0,1.3862943611198906,7.457142857142856,2.1350113928346466,0.4571428571428564,15,4.292307692307692,1.6662543874777611,0.29230769230769216,15,396.0
1,2,3,56.0,4.04305126783455,3.0,1.3862943611198906,8.915384615384616,2.294087552483605,0.9153846153846157,15,6.194736842105263,1.9733497645634634,0.19473684210526265,15,498.0
2,2,4,9.0,2.302585092994046,1.0,0.6931471805599453,3.7,1.547562508716013,0.7000000000000002,1,2.6714285714285717,1.300580842845861,0.6714285714285717,16,186.0
5,3,3,21.0,3.091042453358316,3.0,1.3862943611198906,3.830769230769231,1.5750057160126163,0.8307692307692309,15,2.810526315789474,1.3377673202252303,0.810526315789474,15,216.0
4,1,0,30.0,3.4339872044851463,2.0,1.0986122886681098,7.166666666666667,2.1000608288825715,0.16666666666666696,15,5.115384615384615,1.8108076641987494,0.11538461538461497,15,390.0
1,0,1,30.0,3.4339872044851463,3.0,1.3862943611198906,5.8545454545454545,1.92491200221554,0.8545454545454545,16,3.929411764705882,1.5952196634318212,0.9294117647058822,15,324.0
4,1,1,21.0,3.091042453358316,1.0,0.6931471805599453,9.1,2.312535423847214,0.09999999999999964,1,6.7,2.0412203288596382,0.7000000000000002,1,462.0
0,2,4,15.0,2.772588722239781,3.0,1.3862943611198906,3.6333333333333333,1.5332765514685365,0.6333333333333333,16,2.3,1.1939224684724346,0.2999999999999998,1,198.0
2,0,0,14.0,2.70805020110221,1.0,0.6931471805599453,9.933333333333334,2.3918162267219882,0.9333333333333336,15,6.199999999999999,1.9740810260220096,0.1999999999999993,15,456.0
6,2,0,48.0,3.8918202981106265,1.0,0.6931471805599453,8.827272727272726,2.285161451846792,0.8272727272727263,15,7.484615384615385,2.13825456879792,0.48461538461538467,15,486.0
5,3,2,24.0,3.2188758248682006,2.0,1.0986122886681098,10.299999999999999,2.424802725718295,0.29999999999999893,15,6.033333333333333,1.9506607518139112,0.033333333333333215,15,522.0
0,0,0,25.0,3.258096538021482,3.0,1.3862943611198906,6.055555555555555,1.9538153285624265,0.05555555555555536,15,3.8333333333333335,1.575536360758419,0.8333333333333335,16,330.0
7,3,0,20.0,3.044522437723423,1.0,0.6931471805599453,4.7444444444444445,1.748233204178164,0.7444444444444445,16,3.936363636363636,1.596628954141519,0.9363636363636361,15,258.0
0,1,2,40.0,3.713572066704308,1.0,0.6931471805599453,8.988888888888889,2.3014733641413554,0.9888888888888889,15,7.372727272727272,2.1249796704628907,0.37272727272727213,15,486.0
6,2,4,30.0,3.4339872044851463,2.0,1.0986122886681098,6.154545454545454,1.967747882624987,0.15454545454545432,15,4.7,1.7404661748405046,0.7000000000000002,1,342.0
6,3,3,24.0,3.2188758248682006,2.0,1.0986122886681098,7.557142857142857,2.1467663560660903,0.5571428571428569,15,5.0636363636363635,1.8023096801232075,0.06363636363636349,16,402.0
4,0,3,48.0,3.8918202981106265,2.0,1.0986122886681098,9.427272727272726,2.3444247513369545,0.4272727272727259,15,7.1000000000000005,2.0918640616783932,0.10000000000000053,16,522.0
5,1,1,9.0,2.302585092994046,2.0,1.0986122886681098,3.7,1.547562508716013,0.7000000000000002,1,2.1,1.1314021114911006,0.10000000000000009,1,186.0
4,0,3,20.0,3.044522437723423,1.0,0.6931471805599453,5.814285714285714,1.9190212488389822,0.8142857142857141,15,4.544444444444444,1.7127964254212535,0.5444444444444443,15,306.0
4,0,1,14.0,2.70805020110221,1.0,0.6931471805599453,9.733333333333334,2.373354163882253,0.7333333333333343,15,6.0,1.9459101490553132,0.0,1,444.0
7,0,2,6.0,1.9459101490553132,2.0,1.0986122886681098,4.4,1.6863989535702288,0.40000000000000036,1,2.1142857142857143,1.13599982073973,0.11428571428571432,16,204.0
0,0,1,8.0,2.1972245773362196,1.0,0.6931471805599453,5.633333333333333,1.892107443062337,0.6333333333333329,15,3.5,1.5040773967762742,0.5,1,258.0
7,0,0,36.0,3.6109179126442243,3.0,1.3862943611198906,7.1454545454545455,2.097460047182514,0.1454545454545455,16,4.8352941176470585,1.763924670234611,0.8352941176470585,16,396.0
6,2,3,12.0,2.5649493574615367,1.0,0.6931471805599453,4.0285714285714285,1.615135933548738,0.02857142857142847,16,3.2666666666666666,1.4508328822574619,0.2666666666666666,16,216.0
0,2,3,30.0,3.4339872044851463,1.0,0.6931471805599453,5.754545454545454,1.9102156789253428,0.754545454545454,15,4.915384615384615,1.7775565190500615,0.9153846153846148,15,318.0
6,3,4,12.0,2.5649493574615367,2.0,1.0986122886681098,8.2,2.2192034840549946,0.1999999999999993,1,3.6285714285714286,1.5322482737429703,0.6285714285714286,16,372.0
7,1,0,25.0,3.258096538021482,2.0,1.0986122886681098,6.2555555555555555,1.981767458946166,0.25555555555555554,16,4.546153846153846,1.7131046868293667,0.546153846153846,15,342.0
1,1,0,21.0,3.091042453358316,1.0,0.6931471805599453,8.9,2.2925347571405443,0.9000000000000004,1,6.5,2.0149030205422647,0.5,1,450.0
1,2,4,42.0,3.7612001156935624,1.0,0.6931471805599453,8.236363636363636,2.223148262346011,0.23636363636363633,15,7.061538461538461,2.087104414425405,0.06153846153846132,15,456.0
4,0,4,12.0,2.5649493574615367,2.0,1.0986122886681098,8.1,2.2082744135228043,0.09999999999999964,1,3.5285714285714285,1.5104065318279216,0.5285714285714285,16,366.0
1,0,0,48.0,3.8918202981106265,3.0,1.3862943611198906,8.927272727272726,2.295285790512434,0.9272727272727259,15,5.847058823529412,1.9238191912411216,0.8470588235294123,15,492.0
4,0,4,36.0,3.6109179126442243,3.0,1.3862943611198906,7.245454545454546,2.1096620843227205,0.24545454545454604,15,4.935294117647059,1.7809165833033471,0.935294117647059,15,402.0
0,1,3,12.0,2.5649493574615367,2.0,1.0986122886681098,8.7,2.272125885509337,0.6999999999999993,1,4.128571428571428,1.6348271464389197,0.12857142857142811,15,402.0
0,1,3,30.0,3.4339872044851463,3.0,1.3862943611198906,7.166666666666667,2.1000608288825715,0.16666666666666696,15,4.5,1.7047480922384253,0.5,1,390.0
6,3,0,56.0,4.04305126783455,2.0,1.0986122886681098,9.315384615384614,2.333636432826096,0.31538461538461426,15,7.288235294117647,2.1148370748484187,0.2882352941176469,15,522.0
4,1,3,28.0,3.367295829986474,1.0,0.6931471805599453,4.907692307692307,1.7762552826920897,0.9076923076923071,15,4.333333333333333,1.6739764335716716,0.33333333333333304,15,276.0
4,0,2,10.0,2.3978952727983707,3.0,1.3862943611198906,7.066666666666667,2.0877403444945313,0.06666666666666732,15,2.6222222222222222,1.2870877110364425,0.6222222222222222,16,324.0
3,2,0,16.0,2.833213344056216,3.0,1.3862943611198906,4.671428571428571,1.7354410386378314,0.6714285714285708,15,2.5615384615384618,1.2701926036306517,0.5615384615384618,16,246.0
4,1,3,12.0,2.5649493574615367,2.0,1.0986122886681098,8.1,2.2082744135228043,0.09999999999999964,1,3.5285714285714285,1.5104065318279216,0.5285714285714285,16,366.0
3,2,1,15.0,2.772588722239781,1.0,0.6931471805599453,6.4,2.0014800002101243,0.40000000000000036,1,4.685714285714286,1.7379567632350787,0.6857142857142859,15,324.0
0,3,4,28.0,3.367295829986474,3.0,1.3862943611198906,8.6,2.2617630984737906,0.5999999999999996,1,4.907692307692307,1.7762552826920897,0.9076923076923071,15,456.0
0,3,1,56.0,4.04305126783455,2.0,1.0986122886681098,9.315384615384614,2.333636432826096,0.31538461538461426,15,7.288235294117647,2.1148370748484187,0.2882352941176469,15,522.0
2,2,0,15.0,2.772588722239781,3.0,1.3862943611198906,6.3,1.9878743481543455,0.2999999999999998,1,3.027272727272727,1.3930894042527193,0.027272727272726893,15,318.0
5,2,1,30.0,3.4339872044851463,3.0,1.3862943611198906,7.266666666666667,2.112231364502827,0.2666666666666666,15,4.6,1.7227665977411035,0.5999999999999996,1,396.0
0,3,4,12.0,2.5649493574615367,2.0,1.0986122886681098,4.8999999999999995,1.7749523509116736,0.8999999999999995,16,2.7666666666666666,1.3261904370501851,0.7666666666666666,16,246.0
4,0,1,32.0,3.4965075614664802,1.0,0.6931471805599453,9.442857142857143,2.3459182177004196,0.44285714285714306,15,7.4111111111111105,2.1295535831071835,0.41111111111111054,16,498.0
0,2,2,35.0,3.58351893845611,3.0,1.3862943611198906,7.877777777777777,2.1835512754360096,0.8777777777777773,15,4.766666666666667,1.7520942128356236,0.7666666666666666,15,426.0
6,3,0,49.0,3.912023005428146,3.0,1.3862943611198906,7.938461538461539,2.190363486956274,0.9384615384615387,15,5.557894736842106,1.8806696271869123,0.5578947368421057,15,444.0
4,0,0,12.0,2.5649493574615367,2.0,1.0986122886681098,5.2,1.824549292051046,0.20000000000000018,1,3.0666666666666664,1.402823663071101,0.06666666666666643,16,264.0
7,3,3,28.0,3.367295829986474,2.0,1.0986122886681098,4.8076923076923075,1.7591832987934422,0.8076923076923075,16,3.7941176470588234,1.567389676190601,0.7941176470588234,16,270.0
1,0,3,48.0,3.8918202981106265,3.0,1.3862943611198906,9.127272727272727,2.315232054694813,0.12727272727272698,15,6.0470588235294125,1.952610341625133,0.047058823529412486,16,504.0
7,0,4,21.0,3.091042453358316,1.0,0.6931471805599453,8.700000000000001,2.2721258855093374,0.7000000000000011,15,6.3,1.9878743481543455,0.2999999999999998,1,438.0
6,1,4,18.0,2.9444389791664403,1.0,0.6931471805599453,7.6000000000000005,2.1517622032594623,0.6000000000000005,16,5.542857142857144,1.878373942064826,0.5428571428571436,15,384.0
4,1,4,14.0,2.70805020110221,3.0,1.3862943611198906,9.533333333333333,2.354544831924757,0.5333333333333332,15,3.3111111111111113,1.4611956692930084,0.31111111111111134,16,432.0
0,1,2,36.0,3.6109179126442243,1.0,0.6931471805599453,7.1454545454545455,2.097460047182514,0.1454545454545455,16,6.138461538461538,1.965497282330618,0.13846153846153797,15,396.0
4,1,4,15.0,2.772588722239781,3.0,1.3862943611198906,6.6,2.028148247292285,0.5999999999999996,1,3.327272727272727,1.4649374884390038,0.32727272727272716,15,336.0
2,1,2,18.0,2.9444389791664403,2.0,1.0986122886681098,7.9,2.186051276738094,0.9000000000000004,1,4.7,1.7404661748405046,0.7000000000000002,1,402.0
5,3,3,35.0,3.58351893845611,3.0,1.3862943611198906,5.784615384615385,1.914657605551209,0.7846153846153854,15,4.08421052631579,1.626139762052032,0.08421052631578974,14,324.0
0,2,4,12.0,2.5649493574615367,1.0,0.6931471805599453,5.3,1.840549633397487,0.2999999999999998,1,3.9285714285714284,1.5950491749820008,0.9285714285714284,16,270.0
4,2,3,15.0,2.772588722239781,1.0,0.6931471805599453,6.2,1.9740810260220096,0.20000000000000018,1,4.485714285714286,1.702147310538368,0.48571428571428577,15,312.0
5,2,4,42.0,3.7612001156935624,1.0,0.6931471805599453,7.836363636363637,2.178875438668023,0.8363636363636369,15,6.661538461538462,2.036212807129016,0.6615384615384619,15,432.0
6,2,0,6.0,1.9459101490553132,2.0,1.0986122886681098,4.1,1.62924053973028,0.09999999999999964,1,1.8142857142857143,1.0347084866886296,0.8142857142857143,16,186.0
5,0,1,48.0,3.8918202981106265,3.0,1.3862943611198906,8.927272727272726,2.295285790512434,0.9272727272727259,15,5.847058823529412,1.9238191912411216,0.8470588235294123,15,492.0
0,1,2,16.0,2.833213344056216,3.0,1.3862943611198906,4.771428571428571,1.7529196359117911,0.7714285714285714,15,2.661538461538462,1.2978834037758378,0.6615384615384619,15,252.0
0,0,1,36.0,3.6109179126442243,3.0,1.3862943611198906,7.1454545454545455,2.097460047182514,0.1454545454545455,16,4.8352941176470585,1.763924670234611,0.8352941176470585,16,396.0
7,3,2,42.0,3.7612001156935624,1.0,0.6931471805599453,8.236363636363636,2.223148262346011,0.23636363636363633,15,7.061538461538461,2.087104414425405,0.06153846153846132,15,456.0
