slot_x,slot_x_abs_log1p,slot_x_is_even,slot_x_mod3,slot_x_mod5,slot_x_mod7,slot_x_mod10,slot_y,slot_y_abs_log1p,slot_y_is_even,slot_y_mod3,slot_y_mod5,slot_y_mod7,slot_y_mod10,slot_z,slot_z_abs_log1p,slot_z_is_even,slot_z_mod3,slot_z_mod5,slot_z_mod7,slot_z_mod10,gcd_all,n_multiple_pairs,y
68,4.23410650459726,1,2,3,5,8,51,3.9512437185814275,0,0,1,2,1,65,4.189654742026425,0,2,0,2,5,1,0,225514.0
23,3.1780538303479458,0,2,3,2,3,77,4.356708826689592,0,2,2,0,7,71,4.276666119016055,0,2,1,1,1,1,0,30802967.0
80,4.394449154672439,1,2,0,3,0,15,2.772588722239781,0,0,0,1,5,89,4.499809670330265,0,2,4,5,9,1,0,92105.0
75,4.330733340286331,0,0,0,5,5,78,4.3694478524670215,1,0,3,1,8,74,4.31748811353631,1,2,4,4,4,1,0,14821772611.0
11,2.4849066497880004,0,2,1,4,1,26,3.295836866004329,1,2,1,5,6,33,3.5263605246161616,0,0,3,5,3,1,1,144.0
60,4.110873864173311,1,0,0,4,0,67,4.219507705176107,0,1,2,4,7,65,4.189654742026425,0,2,0,2,5,1,0,2753103.0
58,4.07753744390572,1,1,3,2,8,59,4.0943445622221,0,2,4,3,9,30,3.4339872044851463,1,0,0,2,0,1,0,1138979.0
88,4.48863636973214,1,1,3,4,8,81,4.406719247264253,0,0,1,4,1,20,3.044522437723423,1,2,0,6,0,1,0,73371689.0
75,4.330733340286331,0,0,0,5,5,56,4.04305126783455,1,2,1,0,6,56,4.04305126783455,1,2,1,0,6,1,1,33679.0
66,4.204692619390966,1,0,1,3,6,53,3.9889840465642745,0,2,3,4,3,16,2.833213344056216,1,1,1,2,6,1,0,60643659.0
73,4.30406509320417,0,1,3,3,3,79,4.382026634673881,0,1,4,2,9,73,4.30406509320417,0,1,3,3,3,1,1,2255671.0
38,3.6635616461296463,1,2,3,3,8,90,4.51085950651685,1,0,0,6,0,77,4.356708826689592,0,2,2,0,7,1,0,1804651.0
27,3.332204510175204,0,0,2,6,7,13,2.6390573296152584,0,1,3,6,3,28,3.367295829986474,1,1,3,0,8,1,0,81.0
23,3.1780538303479458,0,2,3,2,3,68,4.23410650459726,1,2,3,5,8,75,4.330733340286331,0,0,0,5,5,1,0,36.0
30,3.4339872044851463,1,0,0,2,0,73,4.30406509320417,0,1,3,3,3,88,4.48863636973214,1,1,3,4,8,1,0,747669.0
44,3.8066624897703196,1,2,4,2,4,50,3.9318256327243257,1,2,0,1,0,90,4.51085950651685,1,0,0,6,0,2,0,490.0
61,4.127134385045092,0,1,1,5,1,57,4.060443010546419,0,0,2,1,7,72,4.290459441148391,1,0,2,2,2,1,0,5476648.0
71,4.276666119016055,0,2,1,1,1,53,3.9889840465642745,0,2,3,4,3,48,3.8918202981106265,1,0,3,6,8,1,0,4848257.0
33,3.5263605246161616,0,0,3,5,3,48,3.8918202981106265,1,0,3,6,8,26,3.295836866004329,1,2,1,5,6,1,0,1358715.0
61,4.127134385045092,0,1,1,5,1,53,3.9889840465642745,0,2,3,4,3,24,3.2188758248682006,1,0,4,3,4,1,0,912.0
46,3.8501476017100584,1,1,1,4,6,90,4.51085950651685,1,0,0,6,0,57,4.060443010546419,0,0,2,1,7,1,0,2140759103.0
51,3.9512437185814275,0,0,1,2,1,54,4.007333185232471,1,0,4,5,4,10,2.3978952727983707,1,1,0,3,0,1,0,34432355.0
76,4.343805421853684,1,1,1,6,6,72,4.290459441148391,1,0,2,2,2,79,4.382026634673881,0,1,4,2,9,1,0,7273271.0
11,2.4849066497880004,0,2,1,4,1,86,4.465908118654584,1,2,1,2,6,85,4.454347296253507,0,1,0,1,5,1,0,1458.0
76,4.343805421853684,1,1,1,6,6,41,3.7376696182833684,0,2,1,6,1,57,4.060443010546419,0,0,2,1,7,1,0,2103539.0
66,4.204692619390966,1,0,1,3,6,55,4.02535169073515,0,1,0,6,5,58,4.07753744390572,1,1,3,2,8,1,0,53240349.0
38,3.6635616461296463,1,2,3,3,8,24,3.2188758248682006,1,0,4,3,4,37,3.6375861597263857,0,1,2,2,7,1,0,7104055.0
51,3.9512437185814275,0,0,1,2,1,79,4.382026634673881,0,1,4,2,9,47,3.871201010907891,0,2,2,5,7,1,0,87342787.0
17,2.8903717578961645,0,2,2,3,7,49,3.912023005428146,0,1,4,0,9,37,3.6375861597263857,0,1,2,2,7,1,0,49854875.0
30,3.4339872044851463,1,0,0,2,0,67,4.219507705176107,0,1,2,4,7,73,4.30406509320417,0,1,3,3,3,1,0,17419.0
47,3.871201010907891,0,2,2,5,7,65,4.189654742026425,0,2,0,2,5,29,3.4011973816621555,0,2,4,1,9,1,0,457538407.0
32,3.4965075614664802,1,2,2,4,2,23,3.1780538303479458,0,2,3,2,3,25,3.258096538021482,0,1,0,4,5,1,0,261122.0
64,4.174387269895637,1,1,4,1,4,13,2.6390573296152584,0,1,3,6,3,56,4.04305126783455,1,2,1,0,6,1,0,64882439.0
54,4.007333185232471,1,0,4,5,4,80,4.394449154672439,1,2,0,3,0,44,3.8066624897703196,1,2,4,2,4,2,0,1820.0
27,3.332204510175204,0,0,2,6,7,40,3.713572066704308,1,1,0,5,0,39,3.6888794541139363,0,0,4,4,9,1,0,1582.0
42,3.7612001156935624,1,0,2,0,2,21,3.091042453358316,0,0,1,0,1,26,3.295836866004329,1,2,1,5,6,1,1,37553647.0
30,3.4339872044851463,1,0,0,2,0,57,4.060443010546419,0,0,2,1,7,55,4.02535169073515,0,1,0,6,5,1,0,209378.0
84,4.442651256490317,1,0,4,0,4,44,3.8066624897703196,1,2,4,2,4,80,4.394449154672439,1,2,0,3,0,4,0,404.0
60,4.110873864173311,1,0,0,4,0,27,3.332204510175204,0,0,2,6,7,39,3.6888794541139363,0,0,4,4,9,3,0,90.0
64,4.174387269895637,1,1,4,1,4,69,4.248495242049359,0,0,4,6,9,35,3.58351893845611,0,2,0,0,5,1,0,6455.0
64,4.174387269895637,1,1,4,1,4,23,3.1780538303479458,0,2,3,2,3,54,4.007333185232471,1,0,4,5,4,1,0,391185687.0
16,2.833213344056216,1,1,1,2,6,74,4.31748811353631,1,2,4,4,4,66,4.204692619390966,1,0,1,3,6,2,0,12221.0
65,4.189654742026425,0,2,0,2,5,81,4.406719247264253,0,0,1,4,1,55,4.02535169073515,0,1,0,6,5,1,0,38110911.0
24,3.2188758248682006,1,0,4,3,4,79,4.382026634673881,0,1,4,2,9,90,4.51085950651685,1,0,0,6,0,1,0,39142303.0
26,3.295836866004329,1,2,1,5,6,62,4.143134726391533,1,2,2,6,2,72,4.290459441148391,1,0,2,2,2,2,0,304.0
71,4.276666119016055,0,2,1,1,1,28,3.367295829986474,1,1,3,0,8,62,4.143134726391533,1,2,2,6,2,1,0,971874623.0
65,4.189654742026425,0,2,0,2,5,67,4.219507705176107,0,1,2,4,7,36,3.6109179126442243,1,0,1,1,6,1,0,1989472.0
53,3.9889840465642745,0,2,3,4,3,53,3.9889840465642745,0,2,3,4,3,17,2.8903717578961645,0,2,2,3,7,1,1,590851.0
66,4.204692619390966,1,0,1,3,6,18,2.9444389791664403,1,0,3,4,8,54,4.007333185232471,1,0,4,5,4,6,1,27500.0
68,4.23410650459726,1,2,3,5,8,89,4.499809670330265,0,2,4,5,9,41,3.7376696182833684,0,2,1,6,1,1,0,189127.0
42,3.7612001156935624,1,0,2,0,2,69,4.248495242049359,0,0,4,6,9,54,4.007333185232471,1,0,4,5,4,3,0,4335.0
28,3.367295829986474,1,1,3,0,8,68,4.23410650459726,1,2,3,5,8,59,4.0943445622221,0,2,4,3,9,1,0,96641093.0
61,4.127134385045092,0,1,1,5,1,72,4.290459441148391,1,0,2,2,2,79,4.382026634673881,0,1,4,2,9,1,0,208387.0
54,4.007333185232471,1,0,4,5,4,33,3.5263605246161616,0,0,3,5,3,48,3.8918202981106265,1,0,3,6,8,3,0,1120157.0
29,3.4011973816621555,0,2,4,1,9,61,4.127134385045092,0,1,1,5,1,34,3.5553480614894135,1,1,4,6,4,1,0,228521.0
82,4.418840607796598,1,1,2,5,2,65,4.189654742026425,0,2,0,2,5,73,4.30406509320417,0,1,3,3,3,1,0,5133459.0
33,3.5263605246161616,0,0,3,5,3,61,4.127134385045092,0,1,1,5,1,40,3.713572066704308,1,1,0,5,0,1,0,5674.0
84,4.442651256490317,1,0,4,0,4,12,2.5649493574615367,1,0,2,5,2,74,4.31748811353631,1,2,4,4,4,2,1,714036.0
34,3.5553480614894135,1,1,4,6,4,30,3.4339872044851463,1,0,0,2,0,15,2.772588722239781,0,0,0,1,5,1,1,708545.0
35,3.58351893845611,0,2,0,0,5,53,3.9889840465642745,0,2,3,4,3,55,4.02535169073515,0,1,0,6,5,1,0,1128627371.0
32,3.4965075614664802,1,2,2,4,2,27,3.332204510175204,0,0,2,6,7,20,3.044522437723423,1,2,0,6,0,1,0,1295.0
57,4.060443010546419,0,0,2,1,7,63,4.1588830833596715,0,0,3,0,3,17,2.8903717578961645,0,2,2,3,7,1,0,195718111.0
65,4.189654742026425,0,2,0,2,5,52,3.970291913552122,1,1,2,3,2,45,3.828641396489095,0,0,0,3,5,1,0,15636.0
54,4.007333185232471,1,0,4,5,4,84,4.442651256490317,1,0,4,0,4,73,4.30406509320417,0,1,3,3,3,1,0,8014198307.0
78,4.3694478524670215,1,0,3,1,8,53,3.9889840465642745,0,2,3,4,3,52,3.970291913552122,1,1,2,3,2,1,0,375788093.0
83,4.430816798843313,0,2,3,6,3,65,4.189654742026425,0,2,0,2,5,60,4.110873864173311,1,0,0,4,0,1,0,3463613.0
31,3.4657359027997265,0,1,1,3,1,76,4.343805421853684,1,1,1,6,6,88,4.48863636973214,1,1,3,4,8,1,0,606851.0
29,3.4011973816621555,0,2,4,1,9,82,4.418840607796598,1,1,2,5,2,66,4.204692619390966,1,0,1,3,6,1,0,115853841.0
42,3.7612001156935624,1,0,2,0,2,87,4.477336814478207,0,0,2,3,7,74,4.31748811353631,1,2,4,4,4,1,0,4400105875.0
47,3.871201010907891,0,2,2,5,7,51,3.9512437185814275,0,0,1,2,1,17,2.8903717578961645,0,2,2,3,7,1,1,187683.0
42,3.7612001156935624,1,0,2,0,2,77,4.356708826689592,0,2,2,0,7,46,3.8501476017100584,1,1,1,4,6,1,0,12247279.0
27,3.332204510175204,0,0,2,6,7,76,4.343805421853684,1,1,1,6,6,53,3.9889840465642745,0,2,3,4,3,1,0,148413.0
18,2.9444389791664403,1,0,3,4,8,81,4.406719247264253,0,0,1,4,1,65,4.189654742026425,0,2,0,2,5,1,0,21046.0
60,4.110873864173311,1,0,0,4,0,58,4.07753744390572,1,1,3,2,8,25,3.258096538021482,0,1,0,4,5,1,0,7523477.0
78,4.3694478524670215,1,0,3,1,8,53,3.9889840465642745,0,2,3,4,3,68,4.23410650459726,1,2,3,5,8,1,0,78191877.0
77,4.356708826689592,0,2,2,0,7,21,3.091042453358316,0,0,1,0,1,87,4.477336814478207,0,0,2,3,7,1,0,5117991.0
24,3.2188758248682006,1,0,4,3,4,59,4.0943445622221,0,2,4,3,9,56,4.04305126783455,1,2,1,0,6,1,0,129253.0
83,4.430816798843313,0,2,3,6,3,60,4.110873864173311,1,0,0,4,0,70,4.2626798770413155,1,1,0,0,0,1,0,9311538471.0
70,4.2626798770413155,1,1,0,0,0,44,3.8066624897703196,1,2,4,2,4,72,4.290459441148391,1,0,2,2,2,2,0,26774.0
82,4.418840607796598,1,1,2,5,2,87,4.477336814478207,0,0,2,3,7,70,4.2626798770413155,1,1,0,0,0,1,0,362225.0
79,4.382026634673881,0,1,4,2,9,49,3.912023005428146,0,1,4,0,9,53,3.9889840465642745,0,2,3,4,3,1,0,112964427.0
64,4.174387269895637,1,1,4,1,4,77,4.356708826689592,0,2,2,0,7,28,3.367295829986474,1,1,3,0,8,1,0,965035343.0
28,3.367295829986474,1,1,3,0,8,39,3.6888794541139363,0,0,4,4,9,52,3.970291913552122,1,1,2,3,2,1,0,3968997.0
24,3.2188758248682006,1,0,4,3,4,59,4.0943445622221,0,2,4,3,9,50,3.9318256327243257,1,2,0,1,0,1,0,68687.0
73,4.30406509320417,0,1,3,3,3,59,4.0943445622221,0,2,4,3,9,83,4.430816798843313,0,2,3,6,3,1,0,198533537.0
53,3.9889840465642745,0,2,3,4,3,29,3.4011973816621555,0,2,4,1,9,29,3.4011973816621555,0,2,4,1,9,1,1,3795.0
64,4.174387269895637,1,1,4,1,4,56,4.04305126783455,1,2,1,0,6,22,3.1354942159291497,1,1,2,1,2,2,0,48.0
78,4.3694478524670215,1,0,3,1,8,77,4.356708826689592,0,2,2,0,7,14,2.70805020110221,1,2,4,0,4,1,0,25319255.0
57,4.060443010546419,0,0,2,1,7,44,3.8066624897703196,1,2,4,2,4,44,3.8066624897703196,1,2,4,2,4,1,1,421023.0
63,4.1588830833596715,0,0,3,0,3,80,4.394449154672439,1,2,0,3,0,46,3.8501476017100584,1,1,1,4,6,1,0,423438889.0
19,2.995732273553991,0,1,4,5,9,40,3.713572066704308,1,1,0,5,0,36,3.6109179126442243,1,0,1,1,6,1,0,135843.0
67,4.219507705176107,0,1,2,4,7,56,4.04305126783455,1,2,1,0,6,60,4.110873864173311,1,0,0,4,0,1,0,230263.0
52,3.970291913552122,1,1,2,3,2,85,4.454347296253507,0,1,0,1,5,36,3.6109179126442243,1,0,1,1,6,1,0,3864151.0
57,4.060443010546419,0,0,2,1,7,57,4.060443010546419,0,0,2,1,7,42,3.7612001156935624,1,0,2,0,2,3,1,251.0
48,3.8918202981106265,1,0,3,6,8,80,4.394449154672439,1,2,0,3,0,53,3.9889840465642745,0,2,3,4,3,1,0,465987.0
67,4.219507705176107,0,1,2,4,7,58,4.07753744390572,1,1,3,2,8,76,4.343805421853684,1,1,1,6,6,1,0,149751349.0
75,4.330733340286331,0,0,0,5,5,86,4.465908118654584,1,2,1,2,6,35,3.58351893845611,0,2,0,0,5,1,0,133977.0
43,3.784189633918261,0,1,3,1,3,60,4.110873864173311,1,0,0,4,0,84,4.442651256490317,1,0,4,0,4,1,0,2560956851.0
19,2.995732273553991,0,1,4,5,9,83,4.430816798843313,0,2,3,6,3,79,4.382026634673881,0,1,4,2,9,1,0,570237047.0
28,3.367295829986474,1,1,3,0,8,49,3.912023005428146,0,1,4,0,9,64,4.174387269895637,1,1,4,1,4,1,0,56169823.0
67,4.219507705176107,0,1,2,4,7,20,3.044522437723423,1,2,0,6,0,82,4.418840607796598,1,1,2,5,2,1,0,9639279.0
75,4.330733340286331,0,0,0,5,5,70,4.2626798770413155,1,1,0,0,0,63,4.1588830833596715,0,0,3,0,3,1,0,144287533.0
25,3.258096538021482,0,1,0,4,5,23,3.1780538303479458,0,2,3,2,3,18,2.9444389791664403,1,0,3,4,8,1,0,50.0
18,2.9444389791664403,1,0,3,4,8,11,2.4849066497880004,0,2,1,4,1,23,3.1780538303479458,0,2,3,2,3,1,0,232.0
52,3.970291913552122,1,1,2,3,2,26,3.295836866004329,1,2,1,5,6,30,3.4339872044851463,1,0,0,2,0,2,1,4172.0
84,4.442651256490317,1,0,4,0,4,79,4.382026634673881,0,1,4,2,9,15,2.772588722239781,0,0,0,1,5,1,0,10847.0
53,3.9889840465642745,0,2,3,4,3,10,2.3978952727983707,1,1,0,3,0,52,3.970291913552122,1,1,2,3,2,1,0,4185909.0
22,3.1354942159291497,1,1,2,1,2,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,1,0,618429.0
73,4.30406509320417,0,1,3,3,3,62,4.143134726391533,1,2,2,6,2,52,3.970291913552122,1,1,2,3,2,1,0,534349893.0
29,3.4011973816621555,0,2,4,1,9,55,4.02535169073515,0,1,0,6,5,52,3.970291913552122,1,1,2,3,2,1,0,4122.0
90,4.51085950651685,1,0,0,6,0,46,3.8501476017100584,1,1,1,4,6,87,4.477336814478207,0,0,2,3,7,1,0,159571937.0
40,3.713572066704308,1,1,0,5,0,68,4.23410650459726,1,2,3,5,8,74,4.31748811353631,1,2,4,4,4,2,0,168026.0
89,4.499809670330265,0,2,4,5,9,88,4.48863636973214,1,1,3,4,8,66,4.204692619390966,1,0,1,3,6,1,0,18376233699.0
39,3.6888794541139363,0,0,4,4,9,62,4.143134726391533,1,2,2,6,2,42,3.7612001156935624,1,0,2,0,2,1,0,902239195.0
79,4.382026634673881,0,1,4,2,9,33,3.5263605246161616,0,0,3,5,3,67,4.219507705176107,0,1,2,4,7,1,0,22167117.0
65,4.189654742026425,0,2,0,2,5,64,4.174387269895637,1,1,4,1,4,43,3.784189633918261,0,1,3,1,3,1,0,45914949.0
82,4.418840607796598,1,1,2,5,2,22,3.1354942159291497,1,1,2,1,2,88,4.48863636973214,1,1,3,4,8,2,1,225766.0
61,4.127134385045092,0,1,1,5,1,62,4.143134726391533,1,2,2,6,2,44,3.8066624897703196,1,2,4,2,4,1,0,301926941.0
51,3.9512437185814275,0,0,1,2,1,79,4.382026634673881,0,1,4,2,9,41,3.7376696182833684,0,2,1,6,1,1,0,1308495651.0
73,4.30406509320417,0,1,3,3,3,36,3.6109179126442243,1,0,1,1,6,80,4.394449154672439,1,2,0,3,0,1,0,313591849.0
35,3.58351893845611,0,2,0,0,5,76,4.343805421853684,1,1,1,6,6,77,4.356708826689592,0,2,2,0,7,1,0,4760971.0
87,4.477336814478207,0,0,2,3,7,80,4.394449154672439,1,2,0,3,0,69,4.248495242049359,0,0,4,6,9,1,0,5379627.0
44,3.8066624897703196,1,2,4,2,4,33,3.5263605246161616,0,0,3,5,3,18,2.9444389791664403,1,0,3,4,8,1,0,55750267.0
25,3.258096538021482,0,1,0,4,5,27,3.332204510175204,0,0,2,6,7,32,3.4965075614664802,1,2,2,4,2,1,0,2393.0
52,3.970291913552122,1,1,2,3,2,26,3.295836866004329,1,2,1,5,6,71,4.276666119016055,0,2,1,1,1,1,1,36409049.0
16,2.833213344056216,1,1,1,2,6,28,3.367295829986474,1,1,3,0,8,27,3.332204510175204,0,0,2,6,7,1,0,369739.0
47,3.871201010907891,0,2,2,5,7,44,3.8066624897703196,1,2,4,2,4,42,3.7612001156935624,1,0,2,0,2,1,0,262259.0
76,4.343805421853684,1,1,1,6,6,37,3.6375861597263857,0,1,2,2,7,54,4.007333185232471,1,0,4,5,4,1,0,15787723.0
60,4.110873864173311,1,0,0,4,0,82,4.418840607796598,1,1,2,5,2,30,3.4339872044851463,1,0,0,2,0,2,1,40810.0
67,4.219507705176107,0,1,2,4,7,71,4.276666119016055,0,2,1,1,1,16,2.833213344056216,1,1,1,2,6,1,0,237504.0
60,4.110873864173311,1,0,0,4,0,30,3.4339872044851463,1,0,0,2,0,73,4.30406509320417,0,1,3,3,3,1,1,1040727491.0
