slot_p,slot_p_abs_log1p,slot_p_mod3,slot_p_mod5,slot_p_mod7,slot_p_mod10,slot_t,slot_t_abs_log1p,slot_t_sign,slot_t_is_even,slot_t_mod3,slot_t_mod5,slot_t_mod7,slot_t_mod10,slot_u,slot_u_abs_log1p,slot_u_sign,slot_u_is_even,slot_u_mod3,slot_u_mod5,slot_u_mod7,slot_u_mod10,slot_mod,slot_mod_abs_log1p,slot_mod_is_even,slot_mod_mod3,slot_mod_mod5,slot_mod_mod7,slot_mod_mod10,gcd_all,n_multiple_pairs,y
13,2.6390573296152584,1,3,6,3,5,1.791759469228055,1,0,2,0,5,5,-2,1.0986122886681098,-1,1,1,3,5,8,1000,6.90875477931522,1,1,0,6,0,1,2,871.0
7,2.0794415416798357,1,2,0,7,-4,1.6094379124341003,-1,1,2,1,3,6,4,1.6094379124341003,1,1,1,4,4,4,10000,9.210440366976517,1,1,0,4,0,1,3,1849.0
7,2.0794415416798357,1,2,0,7,1,0.6931471805599453,1,0,1,1,1,1,-6,1.9459101490553132,-1,1,0,4,1,4,578,6.361302477572996,1,2,3,4,8,1,3,181.0
17,2.8903717578961645,2,2,3,7,1,0.6931471805599453,1,0,1,1,1,1,-4,1.6094379124341003,-1,1,2,1,3,6,3452,8.146998697389993,1,2,2,1,2,1,4,213.0
13,2.6390573296152584,1,3,6,3,5,1.791759469228055,1,0,2,0,5,5,1,0.6931471805599453,1,0,1,1,1,1,2302,7.741967899820685,1,1,2,6,2,1,3,1535.0
5,1.791759469228055,2,0,5,5,-3,1.3862943611198906,-1,0,0,2,4,7,-3,1.3862943611198906,-1,0,0,2,4,7,2758,7.922623574217286,1,1,3,0,8,1,1,541.0
5,1.791759469228055,2,0,5,5,2,1.0986122886681098,1,1,2,2,2,2,0,0.0,0,1,0,0,0,0,2851,7.955775781534187,0,1,1,2,1,1,0,31.0
17,2.8903717578961645,2,2,3,7,1,0.6931471805599453,1,0,1,1,1,1,-4,1.6094379124341003,-1,1,2,1,3,6,1000,6.90875477931522,1,1,0,6,0,1,4,181.0
7,2.0794415416798357,1,2,0,7,2,1.0986122886681098,1,1,2,2,2,2,0,0.0,0,1,0,0,0,0,1000,6.90875477931522,1,1,0,6,0,1,1,127.0
7,2.0794415416798357,1,2,0,7,-2,1.0986122886681098,-1,1,1,3,5,8,4,1.6094379124341003,1,1,1,4,4,4,1000,6.90875477931522,1,1,0,6,0,1,3,359.0
23,3.1780538303479458,2,3,2,3,-2,1.0986122886681098,-1,1,1,3,5,8,4,1.6094379124341003,1,1,1,4,4,4,1000,6.90875477931522,1,1,0,6,0,1,3,39.0
5,1.791759469228055,2,0,5,5,-1,0.6931471805599453,-1,0,2,4,6,9,-3,1.3862943611198906,-1,0,0,2,4,7,1000,6.90875477931522,1,1,0,6,0,1,4,181.0
13,2.6390573296152584,1,3,6,3,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,1,0,2,0,5,5,10000,9.210440366976517,1,1,0,4,0,1,2,201.0
7,2.0794415416798357,1,2,0,7,-5,1.791759469228055,-1,0,1,0,2,5,6,1.9459101490553132,1,1,0,1,6,6,1000,6.90875477931522,1,1,0,6,0,1,1,521.0
23,3.1780538303479458,2,3,2,3,5,1.791759469228055,1,0,2,0,5,5,-2,1.0986122886681098,-1,1,1,3,5,8,10000,9.210440366976517,1,1,0,4,0,1,2,667.0
7,2.0794415416798357,1,2,0,7,1,0.6931471805599453,1,0,1,1,1,1,3,1.3862943611198906,1,0,0,3,3,3,2918,7.978996370854115,1,2,3,6,8,1,3,757.0
17,2.8903717578961645,2,2,3,7,5,1.791759469228055,1,0,2,0,5,5,-2,1.0986122886681098,-1,1,1,3,5,8,1000,6.90875477931522,1,1,0,6,0,1,2,951.0
17,2.8903717578961645,2,2,3,7,-5,1.791759469228055,-1,0,1,0,2,5,6,1.9459101490553132,1,1,0,1,6,6,1000,6.90875477931522,1,1,0,6,0,1,1,331.0
5,1.791759469228055,2,0,5,5,-4,1.6094379124341003,-1,1,2,1,3,6,0,0.0,0,1,0,0,0,0,1000,6.90875477931522,1,1,0,6,0,1,2,205.0
5,1.791759469228055,2,0,5,5,-6,1.9459101490553132,-1,1,0,4,1,4,3,1.3862943611198906,1,0,0,3,3,3,10000,9.210440366976517,1,1,0,4,0,1,2,505.0
13,2.6390573296152584,1,3,6,3,4,1.6094379124341003,1,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,4847,8.48632152774915,0,2,2,3,7,1,3,3411.0
17,2.8903717578961645,2,2,3,7,-3,1.3862943611198906,-1,0,0,2,4,7,3,1.3862943611198906,1,0,0,3,3,3,4287,8.363575702750637,0,0,2,3,7,1,3,3109.0
19,2.995732273553991,1,4,5,9,-6,1.9459101490553132,-1,1,0,4,1,4,1,0.6931471805599453,1,0,1,1,1,1,10000,9.210440366976517,1,1,0,4,0,1,3,1881.0
17,2.8903717578961645,2,2,3,7,3,1.3862943611198906,1,0,0,3,3,3,3,1.3862943611198906,1,0,0,3,3,3,10000,9.210440366976517,1,1,0,4,0,1,1,9847.0
19,2.995732273553991,1,4,5,9,1,0.6931471805599453,1,0,1,1,1,1,-1,0.6931471805599453,-1,0,2,4,6,9,1346,7.205635176410364,1,2,1,2,6,1,5,1273.0
5,1.791759469228055,2,0,5,5,-4,1.6094379124341003,-1,1,2,1,3,6,-3,1.3862943611198906,-1,0,0,2,4,7,1000,6.90875477931522,1,1,0,6,0,1,2,961.0
17,2.8903717578961645,2,2,3,7,-5,1.791759469228055,-1,0,1,0,2,5,-3,1.3862943611198906,-1,0,0,2,4,7,1000,6.90875477931522,1,1,0,6,0,1,1,341.0
13,2.6390573296152584,1,3,6,3,-3,1.3862943611198906,-1,0,0,2,4,7,2,1.0986122886681098,1,1,2,2,2,2,1000,6.90875477931522,1,1,0,6,0,1,1,731.0
13,2.6390573296152584,1,3,6,3,-1,0.6931471805599453,-1,0,2,4,6,9,2,1.0986122886681098,1,1,2,2,2,2,1000,6.90875477931522,1,1,0,6,0,1,4,3.0
5,1.791759469228055,2,0,5,5,-4,1.6094379124341003,-1,1,2,1,3,6,-4,1.6094379124341003,-1,1,2,1,3,6,1000,6.90875477931522,1,1,0,6,0,1,4,601.0
19,2.995732273553991,1,4,5,9,-5,1.791759469228055,-1,0,1,0,2,5,6,1.9459101490553132,1,1,0,1,6,6,4772,8.470730317005897,1,2,2,5,2,1,0,2401.0
23,3.1780538303479458,2,3,2,3,-6,1.9459101490553132,-1,1,0,4,1,4,2,1.0986122886681098,1,1,2,2,2,2,4714,8.458504195067558,1,1,4,3,4,1,2,2281.0
19,2.995732273553991,1,4,5,9,6,1.9459101490553132,1,1,0,1,6,6,3,1.3862943611198906,1,0,0,3,3,3,10000,9.210440366976517,1,1,0,4,0,1,1,1667.0
23,3.1780538303479458,2,3,2,3,2,1.0986122886681098,1,1,2,2,2,2,-4,1.6094379124341003,-1,1,2,1,3,6,1000,6.90875477931522,1,1,0,6,0,1,3,939.0
17,2.8903717578961645,2,2,3,7,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,10000,9.210440366976517,1,1,0,4,0,1,2,1.0
17,2.8903717578961645,2,2,3,7,-4,1.6094379124341003,-1,1,2,1,3,6,-6,1.9459101490553132,-1,1,0,4,1,4,1000,6.90875477931522,1,1,0,6,0,1,1,631.0
19,2.995732273553991,1,4,5,9,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,1,2,2,2,2,4640,8.442685139241176,1,2,0,6,0,1,3,993.0
5,1.791759469228055,2,0,5,5,4,1.6094379124341003,1,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,3962,8.284756593190435,1,2,2,0,2,1,2,431.0
17,2.8903717578961645,2,2,3,7,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,1,2,2,2,2,10000,9.210440366976517,1,1,0,4,0,1,3,561.0
13,2.6390573296152584,1,3,6,3,-4,1.6094379124341003,-1,1,2,1,3,6,1,0.6931471805599453,1,0,1,1,1,1,1280,7.155396301896734,1,2,0,6,0,1,4,1001.0
19,2.995732273553991,1,4,5,9,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,1,4,4,4,3149,8.055157731819678,0,2,4,6,9,1,0,2542.0
11,2.4849066497880004,2,1,4,1,4,1.6094379124341003,1,1,1,4,4,4,4,1.6094379124341003,1,1,1,4,4,4,1000,6.90875477931522,1,1,0,6,0,1,3,209.0
19,2.995732273553991,1,4,5,9,1,0.6931471805599453,1,0,1,1,1,1,-4,1.6094379124341003,-1,1,2,1,3,6,4532,8.41913925094085,1,2,2,3,2,1,4,1615.0
19,2.995732273553991,1,4,5,9,-6,1.9459101490553132,-1,1,0,4,1,4,4,1.6094379124341003,1,1,1,4,4,4,10000,9.210440366976517,1,1,0,4,0,1,1,4019.0
7,2.0794415416798357,1,2,0,7,-2,1.0986122886681098,-1,1,1,3,5,8,5,1.791759469228055,1,0,2,0,5,5,1935,7.568379267836522,0,0,0,3,5,1,1,98.0
23,3.1780538303479458,2,3,2,3,3,1.3862943611198906,1,0,0,3,3,3,3,1.3862943611198906,1,0,0,3,3,3,10000,9.210440366976517,1,1,0,4,0,1,1,7387.0
11,2.4849066497880004,2,1,4,1,4,1.6094379124341003,1,1,1,4,4,4,-1,0.6931471805599453,-1,0,2,4,6,9,10000,9.210440366976517,1,1,0,4,0,1,4,299.0
23,3.1780538303479458,2,3,2,3,-3,1.3862943611198906,-1,0,0,2,4,7,-3,1.3862943611198906,-1,0,0,2,4,7,10000,9.210440366976517,1,1,0,4,0,1,1,1253.0
17,2.8903717578961645,2,2,3,7,2,1.0986122886681098,1,1,2,2,2,2,-1,0.6931471805599453,-1,0,2,4,6,9,10000,9.210440366976517,1,1,0,4,0,1,4,7521.0
19,2.995732273553991,1,4,5,9,6,1.9459101490553132,1,1,0,1,6,6,-4,1.6094379124341003,-1,1,2,1,3,6,10000,9.210440366976517,1,1,0,4,0,1,1,8471.0
7,2.0794415416798357,1,2,0,7,5,1.791759469228055,1,0,2,0,5,5,-6,1.9459101490553132,-1,1,0,4,1,4,1480,7.300472814267799,1,1,0,3,0,1,1,1227.0
7,2.0794415416798357,1,2,0,7,-4,1.6094379124341003,-1,1,2,1,3,6,-6,1.9459101490553132,-1,1,0,4,1,4,3370,8.12296471523406,1,1,0,3,0,1,0,259.0
19,2.995732273553991,1,4,5,9,-1,0.6931471805599453,-1,0,2,4,6,9,1,0.6931471805599453,1,0,1,1,1,1,1000,6.90875477931522,1,1,0,6,0,1,5,1.0
13,2.6390573296152584,1,3,6,3,3,1.3862943611198906,1,0,0,3,3,3,-6,1.9459101490553132,-1,1,0,4,1,4,4990,8.515391569469609,1,1,0,6,0,1,1,2581.0
23,3.1780538303479458,2,3,2,3,0,0.0,0,1,0,0,0,0,-2,1.0986122886681098,-1,1,1,3,5,8,2879,7.965545573129992,0,2,4,2,9,1,0,2080.0
7,2.0794415416798357,1,2,0,7,5,1.791759469228055,1,0,2,0,5,5,6,1.9459101490553132,1,1,0,1,6,6,1000,6.90875477931522,1,1,0,6,0,1,1,811.0
19,2.995732273553991,1,4,5,9,-4,1.6094379124341003,-1,1,2,1,3,6,6,1.9459101490553132,1,1,0,1,6,6,10000,9.210440366976517,1,1,0,4,0,1,1,7331.0
23,3.1780538303479458,2,3,2,3,2,1.0986122886681098,1,1,2,2,2,2,-3,1.3862943611198906,-1,0,0,2,4,7,4289,8.364042011922063,0,2,4,5,9,1,0,3129.0
7,2.0794415416798357,1,2,0,7,-2,1.0986122886681098,-1,1,1,3,5,8,5,1.791759469228055,1,0,2,0,5,5,1000,6.90875477931522,1,1,0,6,0,1,2,773.0
11,2.4849066497880004,2,1,4,1,-5,1.791759469228055,-1,0,1,0,2,5,-2,1.0986122886681098,-1,1,1,3,5,8,2814,7.942717540573791,1,0,4,0,4,1,1,1999.0
5,1.791759469228055,2,0,5,5,5,1.791759469228055,1,0,2,0,5,5,2,1.0986122886681098,1,1,2,2,2,2,1000,6.90875477931522,1,1,0,6,0,1,4,971.0
13,2.6390573296152584,1,3,6,3,0,0.0,0,1,0,0,0,0,-5,1.791759469228055,-1,0,1,0,2,5,1000,6.90875477931522,1,1,0,6,0,1,1,781.0
5,1.791759469228055,2,0,5,5,-6,1.9459101490553132,-1,1,0,4,1,4,3,1.3862943611198906,1,0,0,3,3,3,1000,6.90875477931522,1,1,0,6,0,1,2,505.0
5,1.791759469228055,2,0,5,5,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,3274,8.094073148069352,1,1,4,5,4,1,1,1231.0
23,3.1780538303479458,2,3,2,3,-6,1.9459101490553132,-1,1,0,4,1,4,0,0.0,0,1,0,0,0,0,10000,9.210440366976517,1,1,0,4,0,1,0,1831.0
23,3.1780538303479458,2,3,2,3,-4,1.6094379124341003,-1,1,2,1,3,6,3,1.3862943611198906,1,0,0,3,3,3,2929,7.982757702011113,0,1,4,3,9,1,0,2663.0
23,3.1780538303479458,2,3,2,3,-5,1.791759469228055,-1,0,1,0,2,5,4,1.6094379124341003,1,1,1,4,4,4,10000,9.210440366976517,1,1,0,4,0,1,2,5533.0
19,2.995732273553991,1,4,5,9,3,1.3862943611198906,1,0,0,3,3,3,5,1.791759469228055,1,0,2,0,5,5,10000,9.210440366976517,1,1,0,4,0,1,1,7473.0
23,3.1780538303479458,2,3,2,3,-3,1.3862943611198906,-1,0,0,2,4,7,-2,1.0986122886681098,-1,1,1,3,5,8,4995,8.516392871245468,0,0,0,4,5,1,1,4342.0
5,1.791759469228055,2,0,5,5,-4,1.6094379124341003,-1,1,2,1,3,6,-2,1.0986122886681098,-1,1,1,3,5,8,1000,6.90875477931522,1,1,0,6,0,1,4,571.0
11,2.4849066497880004,2,1,4,1,1,0.6931471805599453,1,0,1,1,1,1,-1,0.6931471805599453,-1,0,2,4,6,9,10000,9.210440366976517,1,1,0,4,0,1,5,199.0
7,2.0794415416798357,1,2,0,7,5,1.791759469228055,1,0,2,0,5,5,-3,1.3862943611198906,-1,0,0,2,4,7,1000,6.90875477931522,1,1,0,6,0,1,1,233.0
11,2.4849066497880004,2,1,4,1,4,1.6094379124341003,1,1,1,4,4,4,-3,1.3862943611198906,-1,0,0,2,4,7,4131,8.326516830239528,0,0,1,1,1,1,1,4025.0
17,2.8903717578961645,2,2,3,7,-1,0.6931471805599453,-1,0,2,4,6,9,-1,0.6931471805599453,-1,0,2,4,6,9,1000,6.90875477931522,1,1,0,6,0,1,5,571.0
17,2.8903717578961645,2,2,3,7,-3,1.3862943611198906,-1,0,0,2,4,7,-6,1.9459101490553132,-1,1,0,4,1,4,10000,9.210440366976517,1,1,0,4,0,1,1,5491.0
5,1.791759469228055,2,0,5,5,-2,1.0986122886681098,-1,1,1,3,5,8,4,1.6094379124341003,1,1,1,4,4,4,1000,6.90875477931522,1,1,0,6,0,1,4,151.0
19,2.995732273553991,1,4,5,9,-4,1.6094379124341003,-1,1,2,1,3,6,-2,1.0986122886681098,-1,1,1,3,5,8,1000,6.90875477931522,1,1,0,6,0,1,3,387.0
23,3.1780538303479458,2,3,2,3,-2,1.0986122886681098,-1,1,1,3,5,8,-2,1.0986122886681098,-1,1,1,3,5,8,4767,8.469682208745185,0,0,2,0,7,1,1,4387.0
11,2.4849066497880004,2,1,4,1,-2,1.0986122886681098,-1,1,1,3,5,8,-4,1.6094379124341003,-1,1,2,1,3,6,10000,9.210440366976517,1,1,0,4,0,1,3,6751.0
19,2.995732273553991,1,4,5,9,-3,1.3862943611198906,-1,0,0,2,4,7,4,1.6094379124341003,1,1,1,4,4,4,3309,8.104703468371108,0,0,4,5,9,1,1,997.0
7,2.0794415416798357,1,2,0,7,0,0.0,0,1,0,0,0,0,-4,1.6094379124341003,-1,1,2,1,3,6,1000,6.90875477931522,1,1,0,6,0,1,1,461.0
5,1.791759469228055,2,0,5,5,-4,1.6094379124341003,-1,1,2,1,3,6,-2,1.0986122886681098,-1,1,1,3,5,8,609,6.413458957167357,0,0,4,0,9,1,1,571.0
23,3.1780538303479458,2,3,2,3,1,0.6931471805599453,1,0,1,1,1,1,-3,1.3862943611198906,-1,0,0,2,4,7,1000,6.90875477931522,1,1,0,6,0,1,3,773.0
13,2.6390573296152584,1,3,6,3,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,1000,6.90875477931522,1,1,0,6,0,1,1,561.0
11,2.4849066497880004,2,1,4,1,-1,0.6931471805599453,-1,0,2,4,6,9,-6,1.9459101490553132,-1,1,0,4,1,4,10000,9.210440366976517,1,1,0,4,0,1,3,5489.0
5,1.791759469228055,2,0,5,5,-5,1.791759469228055,-1,0,1,0,2,5,-5,1.791759469228055,-1,0,1,0,2,5,1078,6.983789965258135,1,1,3,0,8,1,3,517.0
11,2.4849066497880004,2,1,4,1,-3,1.3862943611198906,-1,0,0,2,4,7,0,0.0,0,1,0,0,0,0,3462,8.149890544402423,1,0,2,4,2,1,1,2743.0
17,2.8903717578961645,2,2,3,7,-1,0.6931471805599453,-1,0,2,4,6,9,5,1.791759469228055,1,0,2,0,5,5,10000,9.210440366976517,1,1,0,4,0,1,4,1181.0
19,2.995732273553991,1,4,5,9,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,1,0,1,6,6,10000,9.210440366976517,1,1,0,4,0,1,1,3451.0
7,2.0794415416798357,1,2,0,7,-3,1.3862943611198906,-1,0,0,2,4,7,6,1.9459101490553132,1,1,0,1,6,6,1000,6.90875477931522,1,1,0,6,0,1,1,99.0
19,2.995732273553991,1,4,5,9,6,1.9459101490553132,1,1,0,1,6,6,6,1.9459101490553132,1,1,0,1,6,6,10000,9.210440366976517,1,1,0,4,0,1,1,8801.0
11,2.4849066497880004,2,1,4,1,-5,1.791759469228055,-1,0,1,0,2,5,3,1.3862943611198906,1,0,0,3,3,3,10000,9.210440366976517,1,1,0,4,0,1,1,9587.0
23,3.1780538303479458,2,3,2,3,-6,1.9459101490553132,-1,1,0,4,1,4,-4,1.6094379124341003,-1,1,2,1,3,6,1000,6.90875477931522,1,1,0,6,0,1,1,411.0
11,2.4849066497880004,2,1,4,1,3,1.3862943611198906,1,0,0,3,3,3,-3,1.3862943611198906,-1,0,0,2,4,7,10000,9.210440366976517,1,1,0,4,0,1,1,677.0
5,1.791759469228055,2,0,5,5,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,1000,6.90875477931522,1,1,0,6,0,1,3,231.0
11,2.4849066497880004,2,1,4,1,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,1,0,2,0,5,5,1459,7.286191714702382,0,1,4,3,9,1,0,721.0
17,2.8903717578961645,2,2,3,7,-5,1.791759469228055,-1,0,1,0,2,5,0,0.0,0,1,0,0,0,0,10000,9.210440366976517,1,1,0,4,0,1,1,5521.0
13,2.6390573296152584,1,3,6,3,-2,1.0986122886681098,-1,1,1,3,5,8,1,0.6931471805599453,1,0,1,1,1,1,3323,8.10892415597534,0,2,3,5,3,1,3,1.0
13,2.6390573296152584,1,3,6,3,1,0.6931471805599453,1,0,1,1,1,1,-5,1.791759469228055,-1,0,1,0,2,5,508,6.2324480165505225,1,1,3,4,8,1,3,425.0
19,2.995732273553991,1,4,5,9,6,1.9459101490553132,1,1,0,1,6,6,-6,1.9459101490553132,-1,1,0,4,1,4,10000,9.210440366976517,1,1,0,4,0,1,1,7229.0
7,2.0794415416798357,1,2,0,7,3,1.3862943611198906,1,0,0,3,3,3,-6,1.9459101490553132,-1,1,0,4,1,4,10000,9.210440366976517,1,1,0,4,0,1,1,8809.0
13,2.6390573296152584,1,3,6,3,-5,1.791759469228055,-1,0,1,0,2,5,3,1.3862943611198906,1,0,0,3,3,3,636,6.456769655572163,1,0,1,6,6,1,1,1.0
5,1.791759469228055,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,10000,9.210440366976517,1,1,0,4,0,1,4,121.0
23,3.1780538303479458,2,3,2,3,-4,1.6094379124341003,-1,1,2,1,3,6,-4,1.6094379124341003,-1,1,2,1,3,6,4817,8.480114183174816,0,2,2,1,7,1,1,2444.0
19,2.995732273553991,1,4,5,9,-3,1.3862943611198906,-1,0,0,2,4,7,0,0.0,0,1,0,0,0,0,1000,6.90875477931522,1,1,0,6,0,1,0,367.0
13,2.6390573296152584,1,3,6,3,-6,1.9459101490553132,-1,1,0,4,1,4,-2,1.0986122886681098,-1,1,1,3,5,8,2620,7.8713112033234065,1,1,0,2,0,1,2,313.0
23,3.1780538303479458,2,3,2,3,6,1.9459101490553132,1,1,0,1,6,6,-6,1.9459101490553132,-1,1,0,4,1,4,4365,8.38160253710989,0,0,0,4,5,1,1,364.0
19,2.995732273553991,1,4,5,9,4,1.6094379124341003,1,1,1,4,4,4,6,1.9459101490553132,1,1,0,1,6,6,3176,8.063692634269517,1,2,1,5,6,1,1,1371.0
11,2.4849066497880004,2,1,4,1,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,1000,6.90875477931522,1,1,0,6,0,1,1,683.0
23,3.1780538303479458,2,3,2,3,0,0.0,0,1,0,0,0,0,-2,1.0986122886681098,-1,1,1,3,5,8,3411,8.13505390861157,0,0,1,2,1,1,0,958.0
13,2.6390573296152584,1,3,6,3,-4,1.6094379124341003,-1,1,2,1,3,6,2,1.0986122886681098,1,1,2,2,2,2,1000,6.90875477931522,1,1,0,6,0,1,3,887.0
23,3.1780538303479458,2,3,2,3,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,10000,9.210440366976517,1,1,0,4,0,1,0,1.0
19,2.995732273553991,1,4,5,9,2,1.0986122886681098,1,1,2,2,2,2,-6,1.9459101490553132,-1,1,0,4,1,4,772,6.650279048587422,1,1,2,2,2,1,2,293.0
19,2.995732273553991,1,4,5,9,-5,1.791759469228055,-1,0,1,0,2,5,1,0.6931471805599453,1,0,1,1,1,1,1000,6.90875477931522,1,1,0,6,0,1,4,201.0
13,2.6390573296152584,1,3,6,3,-4,1.6094379124341003,-1,1,2,1,3,6,-3,1.3862943611198906,-1,0,0,2,4,7,1000,6.90875477931522,1,1,0,6,0,1,1,497.0
5,1.791759469228055,2,0,5,5,-1,0.6931471805599453,-1,0,2,4,6,9,-6,1.9459101490553132,-1,1,0,4,1,4,4449,8.400659375160286,0,0,4,4,9,1,3,1891.0
5,1.791759469228055,2,0,5,5,4,1.6094379124341003,1,1,1,4,4,4,0,0.0,0,1,0,0,0,0,1000,6.90875477931522,1,1,0,6,0,1,2,341.0
17,2.8903717578961645,2,2,3,7,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,1,2,2,2,2,4477,8.4069317971587,0,1,2,4,7,1,1,728.0
23,3.1780538303479458,2,3,2,3,-3,1.3862943611198906,-1,0,0,2,4,7,4,1.6094379124341003,1,1,1,4,4,4,2774,7.928406026180535,1,2,4,2,4,1,0,2767.0
17,2.8903717578961645,2,2,3,7,4,1.6094379124341003,1,1,1,4,4,4,-5,1.791759469228055,-1,0,1,0,2,5,10000,9.210440366976517,1,1,0,4,0,1,2,3281.0
23,3.1780538303479458,2,3,2,3,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,10000,9.210440366976517,1,1,0,4,0,1,1,2267.0
5,1.791759469228055,2,0,5,5,4,1.6094379124341003,1,1,1,4,4,4,0,0.0,0,1,0,0,0,0,10000,9.210440366976517,1,1,0,4,0,1,2,341.0
11,2.4849066497880004,2,1,4,1,-4,1.6094379124341003,-1,1,2,1,3,6,4,1.6094379124341003,1,1,1,4,4,4,10000,9.210440366976517,1,1,0,4,0,1,3,6489.0
7,2.0794415416798357,1,2,0,7,-3,1.3862943611198906,-1,0,0,2,4,7,-5,1.791759469228055,-1,0,1,0,2,5,3749,8.229511118964457,0,2,4,4,9,1,0,2871.0
23,3.1780538303479458,2,3,2,3,-1,0.6931471805599453,-1,0,2,4,6,9,0,0.0,0,1,0,0,0,0,10000,9.210440366976517,1,1,0,4,0,1,2,1.0
5,1.791759469228055,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,-4,1.6094379124341003,-1,1,2,1,3,6,10000,9.210440366976517,1,1,0,4,0,1,2,341.0
11,2.4849066497880004,2,1,4,1,0,0.0,0,1,0,0,0,0,4,1.6094379124341003,1,1,1,4,4,4,10000,9.210440366976517,1,1,0,4,0,1,1,8861.0
7,2.0794415416798357,1,2,0,7,1,0.6931471805599453,1,0,1,1,1,1,-2,1.0986122886681098,-1,1,1,3,5,8,1000,6.90875477931522,1,1,0,6,0,1,4,127.0
5,1.791759469228055,2,0,5,5,2,1.0986122886681098,1,1,2,2,2,2,-5,1.791759469228055,-1,0,1,0,2,5,3989,8.29154650988391,0,2,4,6,9,1,1,601.0
23,3.1780538303479458,2,3,2,3,4,1.6094379124341003,1,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,3243,8.084562415235304,0,0,3,2,3,1,2,47.0
